"lady_lucas::determined";"william::determined"
"kitty::determined";"kitty::satisfied"
"kitty::determined";"lydia::little"
"kitty::determined";"lydia::satisfied"
"kitty::little";"kitty::satisfied"
"kitty::little";"lydia::determined"
"kitty::little";"lydia::little"
"kitty::little";"lydia::satisfied"
"kitty::satisfied";"lydia::determined"
"kitty::satisfied";"lydia::little"
"kitty::satisfied";"lydia::satisfied"
"lydia::determined";"lydia::little"
"lydia::determined";"lydia::satisfied"
"lydia::little";"lydia::satisfied"
"collins::uncomfortable";"elizabeth::uncomfortable"
"bingley::surprised";"elizabeth::surprised"
"bingley::surprised";"jane::surprised"
"elizabeth::surprised";"jane::surprised"
"bingley::short";"elizabeth::short"
"georgiana_darcy::interesting";"louisa::interesting"
"jane::secure";"lizzy::secure"
"darcy::#-rich";"darcy::anxious"
"darcy::#-rich";"miss_de_bourgh::#-rich"
"darcy::#-rich";"miss_de_bourgh::anxious"
"darcy::anxious";"miss_de_bourgh::#-rich"
"darcy::anxious";"miss_de_bourgh::anxious"
"miss_de_bourgh::#-rich";"miss_de_bourgh::anxious"
"bingley::sensible";"darcy::sensible"
"bingley::sensible";"jane::sensible"
"darcy::sensible";"jane::sensible"
"bennet::great";"bennet::unlucky"
"bingley::comfortable";"bingley::thinking"
"bennet::kind";"elizabeth::kind"
"bennet::kind";"jane::kind"
"bennet::kind";"kitty::kind"
"bennet::kind";"lucas::kind"
"bennet::kind";"lydia::kind"
"bennet::kind";"mary::kind"
"bennet::kind";"william::kind"
"collins::kind";"elizabeth::kind"
"collins::kind";"jane::kind"
"collins::kind";"kitty::kind"
"collins::kind";"lucas::kind"
"collins::kind";"lydia::kind"
"collins::kind";"mary::kind"
"collins::kind";"william::kind"
"elizabeth::kind";"jane::kind"
"elizabeth::kind";"kitty::kind"
"elizabeth::kind";"lady_lucas::kind"
"elizabeth::kind";"lucas::kind"
"elizabeth::kind";"lydia::kind"
"elizabeth::kind";"mary::kind"
"elizabeth::kind";"william::kind"
"jane::kind";"kitty::kind"
"jane::kind";"lady_lucas::kind"
"jane::kind";"lucas::kind"
"jane::kind";"lydia::kind"
"jane::kind";"mary::kind"
"jane::kind";"william::kind"
"kitty::kind";"lady_lucas::kind"
"kitty::kind";"lucas::kind"
"kitty::kind";"lydia::kind"
"kitty::kind";"mary::kind"
"kitty::kind";"william::kind"
"lady_lucas::kind";"lucas::kind"
"lady_lucas::kind";"lydia::kind"
"lady_lucas::kind";"mary::kind"
"lady_lucas::kind";"william::kind"
"lucas::kind";"lydia::kind"
"lucas::kind";"mary::kind"
"lucas::kind";"william::kind"
"lydia::kind";"mary::kind"
"lydia::kind";"william::kind"
"mary::kind";"william::kind"
"collins::secure";"elizabeth::secure"
"lucas::anxious";"lucas::encouraging"
"lucas::anxious";"lucas::secure"
"lucas::encouraging";"lucas::secure"
"collins::giving";"collins::thinking"
"collins::giving";"collins::young"
"collins::thinking";"collins::young"
"bennet::good";"catherine::good"
"bennet::agreeable";"bennet::clever"
"bennet::agreeable";"bennet::encouraged"
"bennet::agreeable";"mary::agreeable"
"bennet::agreeable";"mary::clever"
"bennet::agreeable";"mary::encouraged"
"bennet::clever";"bennet::encouraged"
"bennet::clever";"mary::agreeable"
"bennet::clever";"mary::clever"
"bennet::clever";"mary::encouraged"
"bennet::encouraged";"mary::agreeable"
"bennet::encouraged";"mary::clever"
"bennet::encouraged";"mary::encouraged"
"mary::agreeable";"mary::clever"
"mary::agreeable";"mary::encouraged"
"mary::clever";"mary::encouraged"
"elizabeth::private";"lucas::private"
"collins::great";"elizabeth::great"
"collins::good";"collins::positive"
"collins::good";"lizzy::good"
"collins::good";"lizzy::positive"
"collins::good";"william::good"
"collins::good";"william::positive"
"collins::positive";"lizzy::good"
"collins::positive";"lizzy::positive"
"collins::positive";"william::good"
"collins::positive";"william::positive"
"lizzy::good";"lizzy::positive"
"lizzy::good";"william::good"
"lizzy::good";"william::positive"
"lizzy::positive";"william::good"
"lizzy::positive";"william::positive"
"william::good";"william::positive"
"collins::excellent";"collins::forward"
"collins::excellent";"elizabeth::forward"
"collins::excellent";"jane::excellent"
"collins::excellent";"jane::forward"
"collins::excellent";"william::excellent"
"collins::excellent";"william::forward"
"collins::forward";"elizabeth::excellent"
"collins::forward";"elizabeth::forward"
"collins::forward";"jane::excellent"
"collins::forward";"jane::forward"
"collins::forward";"william::excellent"
"collins::forward";"william::forward"
"elizabeth::excellent";"elizabeth::forward"
"elizabeth::excellent";"jane::excellent"
"elizabeth::excellent";"jane::forward"
"elizabeth::excellent";"william::excellent"
"elizabeth::excellent";"william::forward"
"elizabeth::forward";"jane::excellent"
"elizabeth::forward";"jane::forward"
"elizabeth::forward";"william::excellent"
"elizabeth::forward";"william::forward"
"jane::excellent";"jane::forward"
"jane::excellent";"william::excellent"
"jane::excellent";"william::forward"
"jane::forward";"william::excellent"
"jane::forward";"william::forward"
"william::excellent";"william::forward"
"bennet::great";"william::great"
"elizabeth::rude";"lucas::rude"
"elizabeth::rude";"william::rude"
"lucas::rude";"william::rude"
"lady_catherine::kind";"lady_catherine::trusted"
"lady_catherine::kind";"lucas::kind"
"lady_catherine::kind";"lucas::trusted"
"lady_catherine::trusted";"lucas::kind"
"lady_catherine::trusted";"lucas::trusted"
"lucas::kind";"lucas::trusted"
"bennet::strange";"collins::strange"
"bennet::gentle";"bingley::gentle"
"elizabeth::comfortable";"jane::comfortable"
"bingley::successful";"elizabeth::successful"
"bennet::hard";"charlotte_lucas::hard"
"elizabeth::good";"jane::good"
"bennet::extraordinary";"bennet::warm"
"bennet::great";"bennet::intelligent"
"bennet::great";"gardiner::great"
"bennet::great";"gardiner::intelligent"
"bennet::intelligent";"gardiner::great"
"bennet::intelligent";"gardiner::intelligent"
"gardiner::great";"gardiner::intelligent"
"bingley::pretty";"bingley::young"
"darcy::little";"wickham::little"
"bennet::great";"collins::great"
"bennet::great";"jane::great"
"bennet::great";"lady_lucas::great"
"bennet::great";"lucas::great"
"collins::great";"gardiner::great"
"collins::great";"jane::great"
"collins::great";"lady_lucas::great"
"collins::great";"lucas::great"
"gardiner::great";"jane::great"
"gardiner::great";"lady_lucas::great"
"gardiner::great";"lucas::great"
"jane::great";"lady_lucas::great"
"jane::great";"lucas::great"
"lady_lucas::great";"lucas::great"
"elizabeth::ashamed";"elizabeth::good"
"elizabeth::ashamed";"lucas::ashamed"
"elizabeth::ashamed";"lucas::good"
"elizabeth::good";"lucas::ashamed"
"elizabeth::good";"lucas::good"
"lucas::ashamed";"lucas::good"
"charlotte::good";"charlotte::happy"
"charlotte::good";"elizabeth::good"
"charlotte::good";"elizabeth::happy"
"charlotte::good";"lady_catherine::good"
"charlotte::good";"lady_catherine::happy"
"charlotte::happy";"elizabeth::good"
"charlotte::happy";"elizabeth::happy"
"charlotte::happy";"lady_catherine::good"
"charlotte::happy";"lady_catherine::happy"
"elizabeth::good";"elizabeth::happy"
"elizabeth::good";"lady_catherine::good"
"elizabeth::good";"lady_catherine::happy"
"elizabeth::happy";"lady_catherine::good"
"elizabeth::happy";"lady_catherine::happy"
"lady_catherine::good";"lady_catherine::happy"
"elizabeth::agreeable";"elizabeth::remarkable"
"elizabeth::agreeable";"elizabeth::young"
"elizabeth::remarkable";"elizabeth::young"
"catherine_de_bourgh::pleasing";"catherine_de_bourgh::sincere"
"catherine_de_bourgh::pleasing";"catherine_de_bourgh::trusting"
"catherine_de_bourgh::pleasing";"elizabeth::pleasing"
"catherine_de_bourgh::pleasing";"elizabeth::sincere"
"catherine_de_bourgh::pleasing";"elizabeth::trusting"
"catherine_de_bourgh::sincere";"catherine_de_bourgh::trusting"
"catherine_de_bourgh::sincere";"elizabeth::pleasing"
"catherine_de_bourgh::sincere";"elizabeth::sincere"
"catherine_de_bourgh::sincere";"elizabeth::trusting"
"catherine_de_bourgh::trusting";"elizabeth::pleasing"
"catherine_de_bourgh::trusting";"elizabeth::sincere"
"catherine_de_bourgh::trusting";"elizabeth::trusting"
"elizabeth::pleasing";"elizabeth::sincere"
"elizabeth::pleasing";"elizabeth::trusting"
"elizabeth::sincere";"elizabeth::trusting"
"maria::good";"william_lucas::good"
"elizabeth::lovely";"elizabeth::pleased"
"elizabeth::lovely";"gardiner::lovely"
"elizabeth::lovely";"gardiner::pleased"
"elizabeth::lovely";"jane::lovely"
"elizabeth::lovely";"jane::pleased"
"elizabeth::pleased";"gardiner::lovely"
"elizabeth::pleased";"gardiner::pleased"
"elizabeth::pleased";"jane::lovely"
"elizabeth::pleased";"jane::pleased"
"gardiner::lovely";"gardiner::pleased"
"gardiner::lovely";"jane::lovely"
"gardiner::lovely";"jane::pleased"
"gardiner::pleased";"jane::lovely"
"gardiner::pleased";"jane::pleased"
"jane::lovely";"jane::pleased"
"elizabeth::little";"gardiner::little"
"gardiner::little";"jane::little"
"gardiner::well";"wickham::well"
"catherine::attentive";"catherine::respectable"
"catherine::attentive";"catherine::sensible"
"catherine::respectable";"catherine::sensible"
"de_bourgh::well";"elizabeth::well"
"de_bourgh::proper";"elizabeth::proper"
"catherine::awful";"catherine::extraordinary"
"collins::fine";"jenkinson::fine"
"collins::fine";"lady_catherine::fine"
"jenkinson::fine";"lady_catherine::fine"
"darcy::thin";"maria::thin"
"catherine::delighted";"elizabeth::delighted"
"catherine::delighted";"william::delighted"
"elizabeth::delighted";"william::delighted"
"de_bourgh::employed";"de_bourgh::little"
"de_bourgh::employed";"jenkinson::employed"
"de_bourgh::employed";"jenkinson::little"
"de_bourgh::little";"jenkinson::employed"
"de_bourgh::little";"jenkinson::little"
"jenkinson::employed";"jenkinson::little"
"jenkinson::delighted";"jenkinson::young"
"catherine::great";"collins::great"
"catherine::great";"darcy::great"
"collins::great";"darcy::great"
"bennet::#-fortunate";"bennet::confused"
"bennet::#-fortunate";"bennet::little"
"bennet::#-fortunate";"bennet::sensible"
"bennet::#-fortunate";"bingley::#-fortunate"
"bennet::#-fortunate";"bingley::confused"
"bennet::#-fortunate";"bingley::little"
"bennet::#-fortunate";"bingley::sensible"
"bennet::#-fortunate";"caroline::#-fortunate"
"bennet::#-fortunate";"caroline::confused"
"bennet::#-fortunate";"caroline::little"
"bennet::#-fortunate";"caroline::sensible"
"bennet::#-fortunate";"jane::#-fortunate"
"bennet::#-fortunate";"jane::confused"
"bennet::#-fortunate";"jane::little"
"bennet::#-fortunate";"jane::sensible"
"bennet::confused";"bennet::little"
"bennet::confused";"bennet::sensible"
"bennet::confused";"bingley::#-fortunate"
"bennet::confused";"bingley::confused"
"bennet::confused";"bingley::little"
"bennet::confused";"bingley::sensible"
"bennet::confused";"caroline::#-fortunate"
"bennet::confused";"caroline::confused"
"bennet::confused";"caroline::little"
"bennet::confused";"caroline::sensible"
"bennet::confused";"jane::#-fortunate"
"bennet::confused";"jane::confused"
"bennet::confused";"jane::little"
"bennet::confused";"jane::sensible"
"bennet::little";"bennet::sensible"
"bennet::little";"bingley::#-fortunate"
"bennet::little";"bingley::confused"
"bennet::little";"bingley::sensible"
"bennet::little";"caroline::#-fortunate"
"bennet::little";"caroline::confused"
"bennet::little";"caroline::little"
"bennet::little";"caroline::sensible"
"bennet::little";"jane::#-fortunate"
"bennet::little";"jane::confused"
"bennet::little";"jane::little"
"bennet::little";"jane::sensible"
"bennet::sensible";"bingley::#-fortunate"
"bennet::sensible";"bingley::confused"
"bennet::sensible";"bingley::little"
"bennet::sensible";"bingley::sensible"
"bennet::sensible";"caroline::#-fortunate"
"bennet::sensible";"caroline::confused"
"bennet::sensible";"caroline::little"
"bennet::sensible";"caroline::sensible"
"bennet::sensible";"jane::#-fortunate"
"bennet::sensible";"jane::confused"
"bennet::sensible";"jane::little"
"bennet::sensible";"jane::sensible"
"bingley::#-fortunate";"bingley::confused"
"bingley::#-fortunate";"bingley::little"
"bingley::#-fortunate";"bingley::sensible"
"bingley::#-fortunate";"caroline::#-fortunate"
"bingley::#-fortunate";"caroline::confused"
"bingley::#-fortunate";"caroline::little"
"bingley::#-fortunate";"caroline::sensible"
"bingley::#-fortunate";"jane::#-fortunate"
"bingley::#-fortunate";"jane::confused"
"bingley::#-fortunate";"jane::little"
"bingley::#-fortunate";"jane::sensible"
"bingley::confused";"bingley::little"
"bingley::confused";"bingley::sensible"
"bingley::confused";"caroline::#-fortunate"
"bingley::confused";"caroline::confused"
"bingley::confused";"caroline::little"
"bingley::confused";"caroline::sensible"
"bingley::confused";"jane::#-fortunate"
"bingley::confused";"jane::confused"
"bingley::confused";"jane::little"
"bingley::confused";"jane::sensible"
"bingley::little";"bingley::sensible"
"bingley::little";"caroline::#-fortunate"
"bingley::little";"caroline::confused"
"bingley::little";"caroline::little"
"bingley::little";"caroline::sensible"
"bingley::little";"jane::#-fortunate"
"bingley::little";"jane::confused"
"bingley::little";"jane::sensible"
"bingley::sensible";"caroline::#-fortunate"
"bingley::sensible";"caroline::confused"
"bingley::sensible";"caroline::little"
"bingley::sensible";"caroline::sensible"
"bingley::sensible";"jane::#-fortunate"
"bingley::sensible";"jane::confused"
"bingley::sensible";"jane::little"
"caroline::#-fortunate";"caroline::confused"
"caroline::#-fortunate";"caroline::little"
"caroline::#-fortunate";"caroline::sensible"
"caroline::#-fortunate";"jane::#-fortunate"
"caroline::#-fortunate";"jane::confused"
"caroline::#-fortunate";"jane::little"
"caroline::#-fortunate";"jane::sensible"
"caroline::confused";"caroline::little"
"caroline::confused";"caroline::sensible"
"caroline::confused";"jane::#-fortunate"
"caroline::confused";"jane::confused"
"caroline::confused";"jane::little"
"caroline::confused";"jane::sensible"
"caroline::little";"caroline::sensible"
"caroline::little";"jane::#-fortunate"
"caroline::little";"jane::confused"
"caroline::little";"jane::little"
"caroline::little";"jane::sensible"
"caroline::sensible";"jane::#-fortunate"
"caroline::sensible";"jane::confused"
"caroline::sensible";"jane::little"
"caroline::sensible";"jane::sensible"
"jane::#-fortunate";"jane::confused"
"jane::#-fortunate";"jane::little"
"jane::#-fortunate";"jane::sensible"
"jane::confused";"jane::little"
"jane::confused";"jane::sensible"
"jane::little";"jane::sensible"
"darcy::well";"elizabeth::well"
"darcy::well";"kent::well"
"darcy::well";"lady_catherine::well"
"elizabeth::well";"kent::well"
"kent::well";"lady_catherine::well"
"darcy::ashamed";"darcy::little"
"darcy::great";"lady_catherine::great"
"darcy::alone";"lady_catherine::alone"
"elizabeth::afraid";"elizabeth::determined"
"collins::great";"lady_catherine::great"
"collins::grateful";"lady_catherine::grateful"
"collins::#-certain";"collins::excellent"
"collins::agreeable";"collins::good"
"collins::agreeable";"collins::happy"
"collins::good";"collins::happy"
"kent::experienced";"kent::pleased"
"kent::calm";"kent::short"
"eliza::great";"fitzwilliam::great"
"darcy::awkward";"elizabeth::awkward"
"collins::#-understanding";"collins::great"
"collins::#-understanding";"kent::#-understanding"
"collins::#-understanding";"kent::great"
"collins::great";"kent::#-understanding"
"collins::great";"kent::great"
"kent::#-understanding";"kent::great"
"colonel_fitzwilliam::mean";"colonel_fitzwilliam::meant"
"colonel_fitzwilliam::glad";"colonel_fitzwilliam::little"
"darcy::surprised";"fitzwilliam::surprised"
"darcy::surprised";"jane::surprised"
"fitzwilliam::surprised";"jane::surprised"
"darcy::great";"kent::great"
"earl::lively";"elizabeth::lively"
"darcy::great";"darcy::pleasant"
"bingley::kind";"darcy::kind"
"darcy::little";"kent::little"
"darcy::angry";"elizabeth::angry"
"bingley::great";"bingley::natural"
"george_wickham::young";"wickham::young"
"darcy::careful";"darcy::young"
"georgiana::happy";"wickham::happy"
"georgiana::happy";"younge::happy"
"wickham::happy";"younge::happy"
"wickham::concerned";"wickham::faithful"
"darcy::strong";"elizabeth::strong"
"darcy::satisfied";"elizabeth::satisfied"
"darcy::well";"pemberley::well"
"darcy::great";"pemberley::great"
"darcy::good";"darcy::social"
"philips::forward";"wickham::forward"
"darcy::encouraging";"netherfield::encouraging"
"bingley::proud";"darcy::proud"
"bingley::proud";"jane::proud"
"darcy::proud";"jane::proud"
"bingley::capable";"wickham::capable"
"darcy::blind";"darcy::prejudiced"
"darcy::blind";"wickham::blind"
"darcy::blind";"wickham::prejudiced"
"darcy::prejudiced";"wickham::blind"
"darcy::prejudiced";"wickham::prejudiced"
"wickham::blind";"wickham::prejudiced"
"jane::great";"jane::little"
"bennet::little";"catherine::little"
"dawson::cool";"dawson::good"
"collins::young";"john::young"
"catherine::lucky";"elizabeth::lucky"
"bingley::good";"jane::good"
"darcy::good";"jane::good"
"elizabeth::great";"elizabeth::kind"
"collins::affectionate";"elizabeth::affectionate"
"collins::affectionate";"gardiner::affectionate"
"elizabeth::affectionate";"gardiner::affectionate"
"bennet::young";"kitty::young"
"kitty::young";"lydia::young"
"elizabeth::great";"mary_king::great"
"forster::little";"harriet::little"
"forster::little";"kitty::little"
"forster::little";"pen::little"
"harriet::little";"kitty::little"
"harriet::little";"pen::little"
"kitty::little";"pen::little"
"forster::well";"kitty::well"
"kitty::good";"kitty::kind"
"kitty::good";"lydia::good"
"kitty::good";"lydia::kind"
"kitty::kind";"lydia::good"
"lydia::good";"lydia::kind"
"elizabeth::little";"wickham::little"
"bennet::glad";"elizabeth::glad"
"bennet::glad";"jane::glad"
"bennet::glad";"lizzy::glad"
"elizabeth::glad";"jane::glad"
"elizabeth::glad";"lizzy::glad"
"jane::glad";"lizzy::glad"
"george::cold";"kitty::cold"
"george::cold";"mary::cold"
"kitty::cold";"mary::cold"
"darcy::concerned";"darcy::surprised"
"darcy::concerned";"elizabeth::concerned"
"darcy::concerned";"elizabeth::surprised"
"darcy::concerned";"jane::concerned"
"darcy::concerned";"jane::surprised"
"darcy::surprised";"elizabeth::concerned"
"darcy::surprised";"elizabeth::surprised"
"darcy::surprised";"jane::concerned"
"elizabeth::concerned";"elizabeth::surprised"
"elizabeth::concerned";"jane::concerned"
"elizabeth::concerned";"jane::surprised"
"elizabeth::surprised";"jane::concerned"
"jane::concerned";"jane::surprised"
"bennet::natural";"bennet::strong"
"bennet::natural";"elizabeth::natural"
"bennet::natural";"elizabeth::strong"
"bennet::strong";"elizabeth::natural"
"bennet::strong";"elizabeth::strong"
"elizabeth::natural";"elizabeth::strong"
"darcy::sensible";"darcy::understanding"
"bennet::sad";"jane::sad"
"bennet::sad";"lizzy::sad"
"jane::sad";"lizzy::sad"
"forster::well";"lydia::well"
"elizabeth::reasonable";"jane::reasonable"
"elizabeth::exciting";"lydia::exciting"
"forster::little";"lydia::little"
"elizabeth::great";"lydia::great"
"darcy::good";"darcy::little"
"darcy::good";"elizabeth::good"
"darcy::good";"elizabeth::little"
"darcy::good";"fitzwilliam::good"
"darcy::good";"fitzwilliam::little"
"darcy::little";"elizabeth::good"
"darcy::little";"fitzwilliam::good"
"darcy::little";"fitzwilliam::little"
"elizabeth::good";"elizabeth::little"
"elizabeth::good";"fitzwilliam::good"
"elizabeth::good";"fitzwilliam::little"
"elizabeth::little";"fitzwilliam::good"
"elizabeth::little";"fitzwilliam::little"
"fitzwilliam::good";"fitzwilliam::little"
"elizabeth::surprised";"fitzwilliam::surprised"
"kitty::evil";"kitty::natural"
"forster::beautiful";"forster::little"
"forster::beautiful";"forster::violent"
"forster::beautiful";"kitty::beautiful"
"forster::beautiful";"kitty::little"
"forster::beautiful";"kitty::violent"
"forster::little";"forster::violent"
"forster::little";"kitty::beautiful"
"forster::little";"kitty::violent"
"forster::violent";"kitty::beautiful"
"forster::violent";"kitty::little"
"forster::violent";"kitty::violent"
"kitty::beautiful";"kitty::little"
"kitty::beautiful";"kitty::violent"
"kitty::little";"kitty::violent"
"forster::good";"kitty::good"
"jane::loving";"jane::old"
"elizabeth::little";"lambton::little"
"elizabeth::little";"pemberley::little"
"gardiner::little";"lambton::little"
"gardiner::little";"pemberley::little"
"lambton::little";"pemberley::little"
"gardiner::delightful";"gardiner::fine"
"pemberley::fine";"pemberley::little"
"elizabeth::awkward";"elizabeth::little"
"elizabeth::awkward";"elizabeth::natural"
"elizabeth::little";"elizabeth::natural"
"miss_darcy::old";"reynolds::old"
"darcy::handsome";"gardiner::handsome"
"darcy::young";"gardiner::young"
"elizabeth::#-consistent";"elizabeth::fine"
"elizabeth::#-consistent";"elizabeth::poor"
"elizabeth::fine";"elizabeth::poor"
"elizabeth::gentle";"elizabeth::original"
"elizabeth::great";"gardiner::great"
"elizabeth::expressive";"gardiner::expressive"
"elizabeth::#-comfortable";"elizabeth::pleased"
"gardiner::pleasing";"wickham::pleasing"
"gardiner::good";"wickham::good"
"elizabeth::capable";"wickham::capable"
"darcy::good";"darcy::great"
"darcy::good";"darcy::lively"
"darcy::giving";"darcy::little"
"elizabeth::concerned";"gardiner::concerned"
"darcy::old";"darcy::sensible"
"elizabeth::forward";"elizabeth::valuable"
"hurst::awkward";"miss_bingley::awkward"
"elizabeth::cold";"miss_bingley::cold"
"annesley::cold";"darcy::cold"
"darcy::fair";"elizabeth::fair"
"darcy::anxious";"elizabeth::anxious"
"bingley::anxious";"elizabeth::anxious"
"elizabeth::lovely";"georgiana::lovely"
"bingley::pretty";"darcy::pretty"
"bingley::pretty";"elizabeth::pretty"
"darcy::pretty";"elizabeth::pretty"
"elizabeth::disappointed";"elizabeth::good"
"elizabeth::disappointed";"jane::disappointed"
"elizabeth::disappointed";"jane::good"
"elizabeth::good";"jane::disappointed"
"jane::disappointed";"jane::good"
"elizabeth::#-surprised";"jane::#-surprised"
"elizabeth::quiet";"jane::quiet"
"lydia::anxious";"lydia::poor"
"lydia::anxious";"wickham::anxious"
"lydia::anxious";"wickham::poor"
"lydia::poor";"wickham::anxious"
"lydia::poor";"wickham::poor"
"wickham::anxious";"wickham::poor"
"denny::short";"f.::short"
"denny::short";"lydia::short"
"f.::short";"lydia::short"
"--_elizabeth::concerned";"gardiner::concerned"
"--_elizabeth::concerned";"lydia::concerned"
"gardiner::concerned";"lydia::concerned"
"elizabeth::certain";"elizabeth::well"
"jane::capable";"wickham::capable"
"colonel_fitzwilliam::ignorant";"darcy::ignorant"
"elizabeth::giving";"jane::giving"
"forster::#-kind";"forster::great"
"forster::#-kind";"forster::well"
"forster::great";"forster::well"
"bennet::terrific";"gardiner::terrific"
"bennet::terrific";"lydia::terrific"
"gardiner::terrific";"lydia::terrific"
"bennet::certain";"gardiner::certain"
"bennet::certain";"lydia::certain"
"gardiner::certain";"lydia::certain"
"elizabeth::useful";"lydia::useful"
"mary::evil";"mary::kind"
"kitty::natural";"lydia::natural"
"bennet::certain";"bennet::glad"
"bennet::certain";"bennet::pleasing"
"bennet::glad";"bennet::pleasing"
"bennet::determined";"clapham::determined"
"forster::young";"wickham::young"
"collins::open";"gardiner::open"
"collins::open";"jane::open"
"elizabeth::open";"gardiner::open"
"elizabeth::open";"jane::open"
"gardiner::open";"jane::open"
"forster::pleasant";"gardiner::pleasant"
"gardiner::great";"hill::great"
"gardiner::violent";"jane::violent"
"gardiner::violent";"lydia::violent"
"jane::violent";"lydia::violent"
"lydia::bad";"lydia::thankful"
"lydia::concerned";"lydia::determined"
"lydia::concerned";"lydia::little"
"ashworth::great";"william_goulding::great"
"darcy::proper";"elizabeth::proper"
"darcy::kind";"lydia::kind"
"darcy::happy";"lydia::happy"
"darcy::generous";"lydia::generous"
"darcy::understanding";"lydia::understanding"
"lydia::little";"wickham::little"
"bennet::#-pleased";"bennet::well"
"lydia::demanding";"lydia::great"
"lydia::demanding";"lydia::little"
"lydia::great";"lydia::little"
"elizabeth::good";"wickham::good"
"hill::mean";"wickham::mean"
"hill::charming";"wickham::charming"
"elizabeth::caring";"elizabeth::certain"
"elizabeth::caring";"elizabeth::satisfied"
"elizabeth::caring";"elizabeth::young"
"elizabeth::caring";"lydia::caring"
"elizabeth::caring";"lydia::certain"
"elizabeth::caring";"lydia::satisfied"
"elizabeth::caring";"lydia::young"
"elizabeth::caring";"wickham::caring"
"elizabeth::caring";"wickham::certain"
"elizabeth::caring";"wickham::satisfied"
"elizabeth::caring";"wickham::young"
"elizabeth::certain";"elizabeth::satisfied"
"elizabeth::certain";"elizabeth::young"
"elizabeth::certain";"lydia::caring"
"elizabeth::certain";"lydia::certain"
"elizabeth::certain";"lydia::satisfied"
"elizabeth::certain";"lydia::young"
"elizabeth::certain";"wickham::caring"
"elizabeth::certain";"wickham::certain"
"elizabeth::certain";"wickham::satisfied"
"elizabeth::certain";"wickham::young"
"elizabeth::satisfied";"elizabeth::young"
"elizabeth::satisfied";"lydia::caring"
"elizabeth::satisfied";"lydia::certain"
"elizabeth::satisfied";"lydia::young"
"elizabeth::satisfied";"wickham::caring"
"elizabeth::satisfied";"wickham::certain"
"elizabeth::satisfied";"wickham::satisfied"
"elizabeth::satisfied";"wickham::young"
"elizabeth::young";"lydia::caring"
"elizabeth::young";"lydia::certain"
"elizabeth::young";"lydia::satisfied"
"elizabeth::young";"lydia::young"
"elizabeth::young";"wickham::caring"
"elizabeth::young";"wickham::certain"
"elizabeth::young";"wickham::satisfied"
"elizabeth::young";"wickham::young"
"lydia::caring";"lydia::certain"
"lydia::caring";"lydia::satisfied"
"lydia::caring";"lydia::young"
"lydia::caring";"wickham::caring"
"lydia::caring";"wickham::certain"
"lydia::caring";"wickham::satisfied"
"lydia::caring";"wickham::young"
"lydia::certain";"lydia::satisfied"
"lydia::certain";"lydia::young"
"lydia::certain";"wickham::caring"
"lydia::certain";"wickham::certain"
"lydia::certain";"wickham::satisfied"
"lydia::certain";"wickham::young"
"lydia::satisfied";"lydia::young"
"lydia::satisfied";"wickham::caring"
"lydia::satisfied";"wickham::certain"
"lydia::satisfied";"wickham::satisfied"
"lydia::satisfied";"wickham::young"
"lydia::young";"wickham::caring"
"lydia::young";"wickham::certain"
"lydia::young";"wickham::satisfied"
"wickham::caring";"wickham::certain"
"wickham::caring";"wickham::satisfied"
"wickham::caring";"wickham::young"
"wickham::certain";"wickham::satisfied"
"wickham::certain";"wickham::young"
"wickham::satisfied";"wickham::young"
"elizabeth::glad";"lydia::glad"
"jane::glad";"lydia::glad"
"darcy::punctual";"lydia::punctual"
"lizzy::#-bold";"lizzy::angry"
"darcy::forward";"darcy::great"
"reynolds::afraid";"reynolds::well"
"wickham::handsome";"wickham::pretty"
"bingley::reasonable";"jane::reasonable"
"elizabeth::cheerful";"jane::cheerful"
"darcy::well";"lucas::well"
"bennet::agreeable";"elizabeth::agreeable"
"bennet::punctual";"bingley::punctual"
"bennet::agreeable";"bingley::agreeable"
"elizabeth::anxious";"elizabeth::reasonable"
"kitty::hard";"mary::hard"
"elizabeth::little";"elizabeth::useful"
"elizabeth::little";"jane::useful"
"elizabeth::useful";"jane::little"
"elizabeth::useful";"jane::useful"
"jane::little";"jane::useful"
"bingley::ignorant";"elizabeth::ignorant"
"bingley::ignorant";"jane::ignorant"
"elizabeth::ignorant";"jane::ignorant"
"elizabeth::forgiving";"elizabeth::generous"
"elizabeth::forgiving";"elizabeth::pleased"
"elizabeth::forgiving";"jane::forgiving"
"elizabeth::forgiving";"jane::generous"
"elizabeth::forgiving";"jane::pleased"
"elizabeth::generous";"elizabeth::pleased"
"elizabeth::generous";"jane::forgiving"
"elizabeth::generous";"jane::generous"
"elizabeth::generous";"jane::pleased"
"elizabeth::pleased";"jane::forgiving"
"elizabeth::pleased";"jane::generous"
"jane::forgiving";"jane::generous"
"jane::forgiving";"jane::pleased"
"jane::generous";"jane::pleased"
"bennet::certain";"bingley::certain"
"bennet::delighted";"catherine::delighted"
"lady_catherine::decent";"lady_catherine::short"
"elizabeth::little";"lizzy::little"
"elizabeth::eager";"jane::eager"
"bennet::great";"bennet::kind"
"bennet::great";"bennet::satisfied"
"bennet::great";"elizabeth::great"
"bennet::great";"elizabeth::kind"
"bennet::great";"elizabeth::satisfied"
"bennet::kind";"bennet::satisfied"
"bennet::kind";"elizabeth::great"
"bennet::kind";"elizabeth::satisfied"
"bennet::satisfied";"elizabeth::great"
