"anne_page::careful";"hugh_evans::careful"
"john::well";"willet::well"
"willet::good";"willet::great"
"willet::good";"willet::old"
"willet::good";"willet::original"
"willet::good";"willet::well"
"willet::great";"willet::old"
"willet::great";"willet::original"
"willet::great";"willet::well"
"willet::old";"willet::original"
"willet::old";"willet::well"
"willet::original";"willet::well"
"joe_willet::old";"joe_willet::poor"
"joe_willet::old";"joe_willet::short"
"joe_willet::old";"joe_willet::tired"
"joe_willet::old";"joe_willet::young"
"joe_willet::old";"john::poor"
"joe_willet::old";"john::short"
"joe_willet::old";"john::tired"
"joe_willet::old";"john::young"
"joe_willet::poor";"joe_willet::short"
"joe_willet::poor";"joe_willet::tired"
"joe_willet::poor";"joe_willet::young"
"joe_willet::poor";"john::old"
"joe_willet::poor";"john::poor"
"joe_willet::poor";"john::short"
"joe_willet::poor";"john::tired"
"joe_willet::poor";"john::young"
"joe_willet::short";"joe_willet::tired"
"joe_willet::short";"joe_willet::young"
"joe_willet::short";"john::old"
"joe_willet::short";"john::poor"
"joe_willet::short";"john::short"
"joe_willet::short";"john::tired"
"joe_willet::short";"john::young"
"joe_willet::tired";"joe_willet::young"
"joe_willet::tired";"john::old"
"joe_willet::tired";"john::poor"
"joe_willet::tired";"john::short"
"joe_willet::tired";"john::tired"
"joe_willet::tired";"john::young"
"joe_willet::young";"john::old"
"joe_willet::young";"john::poor"
"joe_willet::young";"john::short"
"joe_willet::young";"john::tired"
"joe_willet::young";"john::young"
"john::old";"john::poor"
"john::old";"john::short"
"john::old";"john::tired"
"john::old";"john::young"
"john::poor";"john::short"
"john::poor";"john::tired"
"john::poor";"john::young"
"john::short";"john::tired"
"john::short";"john::young"
"john::tired";"john::young"
"dolly_varden::old";"joe::old"
"dolly_varden::old";"john::old"
"joe::angry";"john::angry"
"cobb::embarrassing";"joe::embarrassing"
"cobb::old";"cobb::young"
"cobb::old";"joe::old"
"cobb::old";"joe::young"
"cobb::old";"mr_cobb::old"
"cobb::old";"mr_cobb::young"
"cobb::young";"joe::old"
"cobb::young";"joe::young"
"cobb::young";"mr_cobb::old"
"cobb::young";"mr_cobb::young"
"joe::old";"mr_cobb::old"
"joe::old";"mr_cobb::young"
"joe::young";"mr_cobb::old"
"joe::young";"mr_cobb::young"
"mr_cobb::old";"mr_cobb::young"
"joe::bright";"joe::little"
"joe::firm";"joe::old"
"mr_willet::great";"mr_willet::little"
"joe::fine";"joe::little"
"dolly_varden::charming";"dolly_varden::hard"
"dolly_varden::charming";"joe::charming"
"dolly_varden::charming";"joe::hard"
"dolly_varden::hard";"joe::charming"
"dolly_varden::hard";"joe::hard"
"joe::charming";"joe::hard"
"miggs::alone";"mrs_varden::alone"
"joe::poor";"tom_cobb::poor"
"dolly::fine";"dolly::short"
"joe::old";"willet::old"
"dolly::young";"joe::young"
"dolly::little";"joe::little"
"crooked_billet::open";"joe::open"
"edward_chester::certain";"joe::certain"
"chester::#-caring";"chester::open"
"edward::cool";"ned::cool"
"edward::sad";"edward::strong"
"willet::giving";"willet::loud"
"cobb::old";"phil_parkes::old"
"cobb::old";"john::old"
"cobb::old";"parkes::old"
"john::old";"parkes::old"
"willet::good";"willet::little"
"messrs_parkes::great";"messrs_parkes::little"
"messrs_parkes::great";"messrs_parkes::lively"
"messrs_parkes::little";"messrs_parkes::lively"
"john_willet::great";"parkes::great"
"john_willet::great";"solomon::great"
"parkes::great";"solomon::great"
"john::bad";"john::great"
"john::bad";"parkes::bad"
"john::bad";"parkes::great"
"john::great";"parkes::bad"
"john::great";"parkes::great"
"parkes::bad";"parkes::great"
"cobb::nervous";"phil_parkes::nervous"
"cobb::nervous";"solomon_daisy::nervous"
"phil_parkes::nervous";"solomon_daisy::nervous"
"john::old";"solomon_daisy::old"
"hugh::open";"hugh::strict"
"hugh::old";"john::old"
"john::old";"reuben::old"
"hugh::fat";"john::fat"
"haredale::great";"hugh::great"
"haredale::good";"john::good"
"haredale::good";"willet::good"
"willet_haredale::#-good";"willet_haredale::evil"
"haredale::loud";"john::loud"
"haredale::disturbed";"haredale::surprised"
"haredale::disturbed";"solomon::disturbed"
"haredale::disturbed";"solomon::surprised"
"haredale::disturbed";"willet::disturbed"
"haredale::disturbed";"willet::surprised"
"haredale::surprised";"solomon::disturbed"
"haredale::surprised";"solomon::surprised"
"haredale::surprised";"willet::disturbed"
"haredale::surprised";"willet::surprised"
"solomon::disturbed";"solomon::surprised"
"solomon::disturbed";"willet::disturbed"
"solomon::disturbed";"willet::surprised"
"solomon::surprised";"willet::disturbed"
"solomon::surprised";"willet::surprised"
"willet::disturbed";"willet::surprised"
"haredale::foolish";"solomon::foolish"
"haredale::foolish";"willet::foolish"
"solomon::foolish";"willet::foolish"
"haredale::mean";"hugh::mean"
"haredale::mean";"john::mean"
"hugh::mean";"john::mean"
"hugh::open";"hugh::thinking"
"hugh::open";"john_willet::open"
"hugh::open";"john_willet::thinking"
"hugh::thinking";"john_willet::open"
"hugh::thinking";"john_willet::thinking"
"john_willet::open";"john_willet::thinking"
"hugh::unusual";"john_willet::unusual"
"hugh::angry";"hugh::loud"
"hugh::dumb";"john_grueby::dumb"
"hugh::young";"john_grueby::young"
"willet::great";"willet::slender"
"willet::cruel";"willet::kind"
"willet::cruel";"willet::thin"
"willet::kind";"willet::thin"
"john::certain";"john::great"
"john_grueby::alone";"john_grueby::great"
"john_grueby::alone";"john_willet::alone"
"john_grueby::alone";"john_willet::great"
"john_grueby::great";"john_willet::alone"
"john_grueby::great";"john_willet::great"
"john_willet::alone";"john_willet::great"
"bloody_mary::old";"john::old"
"gashford::awake";"george::awake"
"george::good";"george::sincere"
"george::conscientious";"george::elderly"
"george::conscientious";"george::little"
"george::elderly";"george::little"
"george::strange";"gordon::strange"
"dennis::good";"gashford::good"
"dennis::good";"george::good"
"dennis::good";"muster_gashford::good"
"gashford::good";"george::good"
"gashford::good";"muster_gashford::good"
"george::good";"muster_gashford::good"
"dennis::young";"mary_jones::young"
"gashford::blind";"gashford::religious"
"dennis::short";"dennis::valuable"
"gashford::forward";"gashford::reckless"
"gashford::forward";"john_grueby::forward"
"gashford::forward";"john_grueby::reckless"
"gashford::forward";"muster_gashford::forward"
"gashford::forward";"muster_gashford::reckless"
"gashford::reckless";"john_grueby::forward"
"gashford::reckless";"john_grueby::reckless"
"gashford::reckless";"muster_gashford::forward"
"gashford::reckless";"muster_gashford::reckless"
"john_grueby::forward";"john_grueby::reckless"
"john_grueby::forward";"muster_gashford::forward"
"john_grueby::forward";"muster_gashford::reckless"
"john_grueby::reckless";"muster_gashford::forward"
"john_grueby::reckless";"muster_gashford::reckless"
"muster_gashford::forward";"muster_gashford::reckless"
"gashford::good";"gashford::natural"
"dennis::little";"hugh::little"
"hugh::good";"muster_gashford::good"
"dennis::kind";"hugh::kind"
"dennis::popular";"muster_gashford::popular"
"dennis::great";"dennis::happy"
"dennis::great";"dennis::professional"
"dennis::happy";"dennis::professional"
"hugh::great";"hugh::weak"
"hugh::little";"hugh::plain"
"hugh::great";"hugh::terrible"
"dennis::good";"dennis::strong"
"mark_gilbert::tall";"tappertit::tall"
"mark_gilbert::tall";"thomas_curzon::tall"
"tappertit::tall";"thomas_curzon::tall"
"george_gordon::great";"mr_tappertit::great"
"hugh::great";"tappertit::great"
"hugh::proud";"tappertit::proud"
"mr_dennis::delighted";"mr_dennis::great"
"hugh::delighted";"hugh::fair"
"mr_dennis::distinguished";"mr_dennis::great"
"mr_tappertit::#-mean";"mr_tappertit::little"
"mr_tappertit::#-mean";"mr_tappertit::old"
"mr_tappertit::little";"mr_tappertit::old"
"dennis::great";"dennis::social"
"dennis::great";"hugh::great"
"dennis::great";"hugh::professional"
"dennis::great";"hugh::social"
"dennis::professional";"dennis::social"
"dennis::professional";"hugh::great"
"dennis::professional";"hugh::professional"
"dennis::professional";"hugh::social"
"dennis::social";"hugh::great"
"dennis::social";"hugh::professional"
"dennis::social";"hugh::social"
"hugh::great";"hugh::professional"
"hugh::great";"hugh::social"
"hugh::professional";"hugh::social"
"hugh::kind";"hugh::open"
"hugh::pleasant";"john::pleasant"
"dennis::laughing";"john::laughing"
"george::kind";"hugh::kind"
"chester::kind";"chester::rough"
"john::bold";"john::good"
"john::bold";"john::old"
"gordon::polite";"saville::polite"
"toby::hard";"toby::tall"
"martha::ridiculous";"varden::ridiculous"
"dolly::nice";"dolly::relaxed"
"dolly::nice";"mrs_varden::nice"
"dolly::nice";"mrs_varden::relaxed"
"dolly::relaxed";"mrs_varden::nice"
"dolly::relaxed";"mrs_varden::relaxed"
"mrs_varden::nice";"mrs_varden::relaxed"
"dolly::old";"dolly::serious"
"dolly::old";"gabriel::old"
"dolly::old";"gabriel::serious"
"dolly::serious";"gabriel::old"
"dolly::serious";"gabriel::serious"
"gabriel::old";"gabriel::serious"
"dolly_varden::caring";"dolly_varden::hard"
"dolly_varden::caring";"dolly_varden::pleasant"
"dolly_varden::caring";"dolly_varden::young"
"dolly_varden::hard";"dolly_varden::pleasant"
"dolly_varden::hard";"dolly_varden::young"
"dolly_varden::pleasant";"dolly_varden::young"
"solomon::foolish";"solomon::little"
"dolly::bright";"dolly::great"
"dolly::bright";"dolly::loving"
"dolly::bright";"miggs::bright"
"dolly::bright";"miggs::great"
"dolly::bright";"miggs::loving"
"dolly::great";"dolly::loving"
"dolly::great";"miggs::bright"
"dolly::great";"miggs::great"
"dolly::great";"miggs::loving"
"dolly::loving";"miggs::bright"
"dolly::loving";"miggs::great"
"dolly::loving";"miggs::loving"
"miggs::bright";"miggs::great"
"miggs::bright";"miggs::loving"
"miggs::great";"miggs::loving"
"miggs::great";"miggs::well"
"gabriel::fair";"miggs::fair"
"dolly::forgiving";"mrs_varden::forgiving"
"dolly::distinguished";"mrs_varden::distinguished"
"mrs_varden::good";"mrs_varden::pretty"
"mrs_varden::good";"varden::good"
"mrs_varden::good";"varden::pretty"
"mrs_varden::pretty";"varden::good"
"mrs_varden::pretty";"varden::pretty"
"varden::good";"varden::pretty"
"martha::good";"martha::hard"
"dolly::gracious";"gabriel::gracious"
"mr_haredale::good";"varden::good"
"edward_chester::strange";"mrs_rudge::strange"
"haredale::thorough";"varden::thorough"
"gad::great";"gad::strange"
"haredale::awkward";"haredale::embarrassed"
"gashford::educated";"gashford::old"
"gashford::educated";"gashford::young"
"gashford::educated";"haredale::educated"
"gashford::educated";"haredale::old"
"gashford::educated";"haredale::young"
"gashford::educated";"john::educated"
"gashford::educated";"john::old"
"gashford::educated";"john::young"
"gashford::old";"gashford::young"
"gashford::old";"haredale::educated"
"gashford::old";"haredale::old"
"gashford::old";"haredale::young"
"gashford::old";"john::educated"
"gashford::old";"john::old"
"gashford::old";"john::young"
"gashford::young";"haredale::educated"
"gashford::young";"haredale::old"
"gashford::young";"haredale::young"
"gashford::young";"john::educated"
"gashford::young";"john::old"
"gashford::young";"john::young"
"haredale::educated";"haredale::old"
"haredale::educated";"haredale::young"
"haredale::educated";"john::educated"
"haredale::educated";"john::old"
"haredale::educated";"john::young"
"haredale::old";"haredale::young"
"haredale::old";"john::educated"
"haredale::old";"john::old"
"haredale::old";"john::young"
"haredale::young";"john::educated"
"haredale::young";"john::old"
"haredale::young";"john::young"
"john::educated";"john::old"
"john::educated";"john::young"
"gashford::hard";"john::hard"
"george_gordon::good";"haredale::good"
"george::kind";"george::violent"
"george::kind";"haredale::kind"
"george::kind";"haredale::violent"
"george::kind";"john::kind"
"george::kind";"john::violent"
"george::violent";"haredale::kind"
"george::violent";"haredale::violent"
"george::violent";"john::kind"
"george::violent";"john::violent"
"haredale::kind";"haredale::violent"
"haredale::kind";"john::kind"
"haredale::kind";"john::violent"
"haredale::violent";"john::kind"
"haredale::violent";"john::violent"
"john::kind";"john::violent"
"george_gordon::ignorant";"haredale::ignorant"
"john::hard";"mr_haredale::hard"
"haredale::good";"haredale::hard"
"haredale::good";"john::hard"
"haredale::hard";"john::good"
"haredale::hard";"john::hard"
"john::good";"john::hard"
"haredale::great";"haredale::pretty"
"george::friendly";"john::friendly"
"john_grueby::giving";"john::giving"
"george::cool";"george::strong"
"george::cool";"john::cool"
"george::cool";"john::strong"
"george::strong";"john::cool"
"george::strong";"john::strong"
"john::cool";"john::strong"
"gashford::gracious";"muster_gashford::gracious"
"hugh::friendly";"muster_gashford::friendly"
"dennis::well";"hugh::well"
"dennis::great";"muster_gashford::great"
"dennis::noisy";"dennis::quiet"
"dennis::noisy";"harry::noisy"
"dennis::noisy";"harry::quiet"
"dennis::noisy";"muster_gashford::noisy"
"dennis::noisy";"muster_gashford::quiet"
"dennis::quiet";"harry::noisy"
"dennis::quiet";"harry::quiet"
"dennis::quiet";"muster_gashford::noisy"
"dennis::quiet";"muster_gashford::quiet"
"harry::noisy";"harry::quiet"
"harry::noisy";"muster_gashford::noisy"
"harry::noisy";"muster_gashford::quiet"
"harry::quiet";"muster_gashford::noisy"
"harry::quiet";"muster_gashford::quiet"
"muster_gashford::noisy";"muster_gashford::quiet"
"hugh::wonderful";"muster_gashford::wonderful"
"barnaby::great";"barnaby::quiet"
"grip::fine";"grip::little"
"barnaby::important";"barnaby::wonderful"
"barnaby::good";"barnaby::well"
"barnaby::blind";"barnaby::good"
"barnaby::clever";"barnaby::lazy"
"john_bull::good";"john_bull::old"
"john_bull::good";"john_bull::poor"
"john_bull::good";"john_bull::young"
"john_bull::old";"john_bull::poor"
"john_bull::old";"john_bull::young"
"john_bull::poor";"john_bull::young"
"barnaby::great";"barnaby::handsome"
"grip::bad";"grip::good"
"john_bull::genuine";"john_bull::stable"
"barnaby::thoughtful";"barnaby::wise"
"barnaby::great";"gashford::great"
"barnaby::great";"george_gordon::great"
"barnaby::great";"george::great"
"gashford::great";"george_gordon::great"
"gashford::great";"george::great"
"george_gordon::great";"george::great"
"barnaby::great";"barnaby::sensible"
"barnaby::great";"barnaby::young"
"barnaby::great";"george::sensible"
"barnaby::great";"george::young"
"barnaby::sensible";"barnaby::young"
"barnaby::sensible";"george::great"
"barnaby::sensible";"george::sensible"
"barnaby::sensible";"george::young"
"barnaby::young";"george::great"
"barnaby::young";"george::sensible"
"barnaby::young";"george::young"
"george::great";"george::sensible"
"george::great";"george::young"
"george::sensible";"george::young"
"dennis::forward";"dennis::tired"
"gashford::kind";"george_gordon::kind"
"dennis::appreciated";"dennis::serious"
"dennis::appreciated";"hugh::appreciated"
"dennis::appreciated";"hugh::serious"
"dennis::appreciated";"simon_tappertit::appreciated"
"dennis::appreciated";"simon_tappertit::serious"
"dennis::serious";"hugh::appreciated"
"dennis::serious";"hugh::serious"
"dennis::serious";"simon_tappertit::appreciated"
"dennis::serious";"simon_tappertit::serious"
"hugh::appreciated";"hugh::serious"
"hugh::appreciated";"simon_tappertit::appreciated"
"hugh::appreciated";"simon_tappertit::serious"
"hugh::serious";"simon_tappertit::appreciated"
"hugh::serious";"simon_tappertit::serious"
"simon_tappertit::appreciated";"simon_tappertit::serious"
"barnaby::great";"barnaby::happy"
"barnaby::great";"barnaby::proud"
"barnaby::great";"hugh::great"
"barnaby::great";"hugh::happy"
"barnaby::great";"hugh::proud"
"barnaby::happy";"barnaby::proud"
"barnaby::happy";"hugh::great"
"barnaby::happy";"hugh::happy"
"barnaby::happy";"hugh::proud"
"barnaby::proud";"hugh::great"
"barnaby::proud";"hugh::happy"
"barnaby::proud";"hugh::proud"
"hugh::great";"hugh::happy"
"hugh::great";"hugh::proud"
"hugh::happy";"hugh::proud"
"barnaby::glad";"hugh::glad"
"dennis::alone";"dennis::natural"
"barnaby::rushed";"dennis::rushed"
"barnaby::rushed";"hugh::rushed"
"dennis::rushed";"hugh::rushed"
"gashford::little";"george::little"
"gashford::certain";"george::certain"
"barnaby::open";"hugh::open"
"barnaby::poor";"george_gordon::poor"
"barnaby::good";"hugh::good"
"barnaby::alone";"dennis::alone"
"barnaby::alone";"hugh::alone"
"dennis::alone";"hugh::alone"
"hugh::relaxed";"muster_gashford::relaxed"
"gashford::confused";"gashford::great"
"gashford::confused";"holborn::confused"
"gashford::confused";"holborn::great"
"gashford::great";"holborn::confused"
"gashford::great";"holborn::great"
"holborn::confused";"holborn::great"
"gabriel_varden::little";"miggs::little"
"miggs::extraordinary";"mrs_varden::extraordinary"
"martha::open";"martha::poor"
"sim::kind-hearted";"sim::mean"
"sim::kind-hearted";"tappertit::kind-hearted"
"sim::kind-hearted";"tappertit::mean"
"sim::mean";"tappertit::kind-hearted"
"sim::mean";"tappertit::mean"
"tappertit::kind-hearted";"tappertit::mean"
"miggs::old";"mrs_varden::old"
"miggs::old";"simon::old"
"mrs_varden::old";"simon::old"
"simon::friendly";"simon::great"
"simon::friendly";"simon::respectable"
"simon::friendly";"simon::well"
"simon::great";"simon::respectable"
"simon::great";"simon::well"
"simon::respectable";"simon::well"
"miggs::faithful";"mrs_varden::faithful"
"dennis::loud";"hugh::loud"
"dennis::loud";"muster_gashford::loud"
"hugh::loud";"muster_gashford::loud"
"dennis::cruel";"hugh::cruel"
"dennis::good";"dennis::proper"
"dennis::good";"dennis::pleasant"
"dennis::good";"muster_gashford::pleasant"
"dennis::pleasant";"muster_gashford::good"
"dennis::pleasant";"muster_gashford::pleasant"
"muster_gashford::good";"muster_gashford::pleasant"
"barnaby::cool";"barnaby::professional"
"barnaby::cool";"dennis::cool"
"barnaby::cool";"dennis::professional"
"barnaby::professional";"dennis::cool"
"barnaby::professional";"dennis::professional"
"dennis::cool";"dennis::professional"
"hugh::good";"hugh::kind"
"gashford::active";"gashford::great"
"gashford::active";"hugh::active"
"gashford::active";"hugh::great"
"gashford::great";"hugh::active"
"gashford::great";"hugh::great"
"hugh::active";"hugh::great"
"dennis::active";"hugh::active"
"dennis::violent";"hugh::violent"
"gashford::spoiled";"hugh::spoiled"
"johnny::adventurous";"king_george::adventurous"
"johnny::adventurous";"parkes::adventurous"
"king_george::adventurous";"parkes::adventurous"
"solomon_daisy::#-afraid";"solomon_daisy::young"
"john_willet::old";"john_willet::secure"
"hugh::quiet";"john::quiet"
"hugh::scared";"jack::scared"
"hugh::forward";"hugh::old"
"hugh::forward";"john::forward"
"hugh::forward";"john::old"
"hugh::old";"john::forward"
"john::forward";"john::old"
"dennis::fine";"hugh::fine"
"dennis::old";"hugh::old"
"dennis::old";"john::old"
"john::noisy";"john::quiet"
"haredale::old";"hugh::old"
"haredale::old";"john_willet::old"
"hugh::old";"john_willet::old"
"george_saville::hard";"george::hard"
"johnny::old";"solomon::old"
"haredale::little";"haredale::old"
"haredale::little";"johnny::little"
"haredale::little";"johnny::old"
"haredale::little";"solomon_daisy::little"
"haredale::little";"solomon_daisy::old"
"haredale::little";"warren::little"
"haredale::little";"warren::old"
"haredale::little";"willet::little"
"haredale::little";"willet::old"
"haredale::old";"johnny::little"
"haredale::old";"johnny::old"
"haredale::old";"solomon_daisy::little"
"haredale::old";"solomon_daisy::old"
"haredale::old";"warren::little"
"haredale::old";"warren::old"
"haredale::old";"willet::little"
"haredale::old";"willet::old"
"johnny::little";"johnny::old"
"johnny::little";"solomon_daisy::little"
"johnny::little";"solomon_daisy::old"
"johnny::little";"warren::little"
"johnny::little";"warren::old"
"johnny::little";"willet::little"
"johnny::little";"willet::old"
"johnny::old";"solomon_daisy::little"
"johnny::old";"solomon_daisy::old"
"johnny::old";"warren::little"
"johnny::old";"warren::old"
"johnny::old";"willet::little"
"johnny::old";"willet::old"
"solomon_daisy::little";"solomon_daisy::old"
"solomon_daisy::little";"warren::little"
"solomon_daisy::little";"warren::old"
"solomon_daisy::little";"willet::little"
"solomon_daisy::little";"willet::old"
"solomon_daisy::old";"warren::little"
"solomon_daisy::old";"warren::old"
"solomon_daisy::old";"willet::little"
"solomon_daisy::old";"willet::old"
"warren::little";"warren::old"
"warren::little";"willet::little"
"warren::little";"willet::old"
"warren::old";"willet::little"
"warren::old";"willet::old"
"willet::little";"willet::old"
"john::old";"solomon::old"
"john::great";"solomon::great"
"johnny::anxious";"solomon::anxious"
"johnny::anxious";"willet::anxious"
"solomon::anxious";"willet::anxious"
"johnny::great";"johnny::little"
"john_willet::dumb";"john_willet::old"
"john_willet::dumb";"johnny::dumb"
"john_willet::dumb";"johnny::old"
"john_willet::dumb";"willet::dumb"
"john_willet::dumb";"willet::old"
"john_willet::old";"johnny::dumb"
"john_willet::old";"johnny::old"
"john_willet::old";"willet::dumb"
"john_willet::old";"willet::old"
"johnny::dumb";"johnny::old"
"johnny::dumb";"willet::dumb"
"johnny::dumb";"willet::old"
"johnny::old";"willet::dumb"
"willet::dumb";"willet::old"
"haredale::great";"johnny::great"
"john::little";"solomon::little"
"hugh::bold";"hugh::trusted"
"barnaby::short";"barnaby::thoughtful"
"barnaby::extraordinary";"barnaby::kind"
"barnaby::extraordinary";"barnaby::popular"
"barnaby::kind";"barnaby::popular"
"barnaby::good";"george::good"
"barnaby::young";"john_grueby::young"
"barnaby::young";"john::young"
"george::young";"john_grueby::young"
"george::young";"john::young"
"john_grueby::young";"john::young"
"john_grueby::angry";"john_grueby::corrupt"
"john_grueby::angry";"john_grueby::great"
"john_grueby::angry";"john::angry"
"john_grueby::angry";"john::corrupt"
"john_grueby::angry";"john::great"
"john_grueby::corrupt";"john_grueby::great"
"john_grueby::corrupt";"john::angry"
"john_grueby::corrupt";"john::corrupt"
"john_grueby::corrupt";"john::great"
"john_grueby::great";"john::angry"
"john_grueby::great";"john::corrupt"
"john_grueby::great";"john::great"
"john::angry";"john::corrupt"
"john::angry";"john::great"
"john::corrupt";"john::great"
"gashford::prejudiced";"george::prejudiced"
"gashford::good";"john::good"
"barnaby::afraid";"george::afraid"
"barnaby::little";"barnaby::private"
"barnaby::little";"barnaby::strong"
"barnaby::private";"barnaby::strong"
"barnaby::great";"barnaby::powerful"
"barnaby::great";"barnaby::thorough"
"barnaby::poor";"barnaby::powerful"
"barnaby::poor";"barnaby::strong"
"barnaby::poor";"barnaby::thorough"
"barnaby::powerful";"barnaby::strong"
"barnaby::powerful";"barnaby::thorough"
"barnaby::strong";"barnaby::thorough"
"mr_tappertit::handsome";"mr_tappertit::pretty"
"hugh::open";"tappertit::open"
"dolly::kind";"haredale::kind"
"dolly::old";"joe::old"
"dolly::pretty";"hugh::pretty"
"haredale::awkward";"haredale::comfortable"
"haredale::awkward";"sim::awkward"
"haredale::awkward";"sim::comfortable"
"haredale::comfortable";"sim::awkward"
"haredale::comfortable";"sim::comfortable"
"sim::awkward";"sim::comfortable"
"dolly_v.::forward";"dolly_v.::sweet"
"dolly::little";"simon::little"
"hugh::handsome";"muster_gashford::handsome"
"hugh::well";"sim::well"
"hugh::old";"miggs::old"
"hugh::good";"hugh::great"
"barnaby::open";"barnaby::weak"
"barnaby::open";"hugh::weak"
"barnaby::weak";"hugh::open"
"barnaby::weak";"hugh::weak"
"hugh::open";"hugh::weak"
"hugh::concerned";"warren::concerned"
"mr_haredale::bright";"mr_haredale::quiet"
"barnaby::foolish";"barnaby::poor"
"--_g.::open";"simmun::open"
"--_g.::open";"tappertit::open"
"simmun::open";"tappertit::open"
"hugh::hard";"hugh::honest"
"simon_tappertit::good";"simon_tappertit::negative"
"tappertit::lovely";"tappertit::young"
"tappertit::good";"tappertit::strong"
"akerman::honest";"akerman::respectable"
"akerman::honest";"gabriel_varden::honest"
"akerman::honest";"gabriel_varden::respectable"
"akerman::respectable";"gabriel_varden::honest"
"akerman::respectable";"gabriel_varden::respectable"
"gabriel_varden::honest";"gabriel_varden::respectable"
"dennis::certain";"dennis::great"
"dennis::certain";"mr_dennis::certain"
"dennis::certain";"mr_dennis::great"
"dennis::great";"mr_dennis::certain"
"dennis::great";"mr_dennis::great"
"mr_dennis::certain";"mr_dennis::great"
"haredale::little";"haredale::thankful"
"haredale::thinking";"haredale::thoughtful"
"haredale::kind";"john_grueby::kind"
"haredale::strange";"john_grueby::strange"
"haredale::great";"john_grueby::great"
"john::pretty";"john::strong"
"john::old";"john::worthy"
"john_grueby::good";"john_grueby::little"
"john_grueby::good";"john_grueby::old"
"john_grueby::good";"john_grueby::trustworthy"
"john_grueby::little";"john_grueby::old"
"john_grueby::little";"john_grueby::trustworthy"
"john_grueby::old";"john_grueby::trustworthy"
"cornhill::old";"cornhill::private"
"holborn::alone";"mansfield::alone"
"algernon_percy::brave";"lincoln::brave"
"haredale::bright";"hugh::bright"
"barnaby::strong";"dennis::strong"
"barnaby::strong";"hugh::strong"
"dennis::strong";"hugh::strong"
"barnaby::mean";"dennis::mean"
"barnaby::mean";"hugh::mean"
"dennis::mean";"hugh::mean"
"barnaby::dangerous";"dennis::dangerous"
"barnaby::dangerous";"hugh::dangerous"
"dennis::dangerous";"hugh::dangerous"
"dennis::great";"haredale::great"
"dolly::great";"dolly::muscular"
"dolly::great";"dolly::powerful"
"dolly::muscular";"dolly::powerful"
"miggs::harmless";"miggs::little"
"miggs::good";"miggs::young"
"miggs::afraid";"miggs::kind"
"dennis::expressive";"dennis::little"
"haredale::alone";"hugh::alone"
"haredale::alone";"miggs::alone"
"haredale::alone";"tappertit::alone"
"hugh::alone";"miggs::alone"
"hugh::alone";"tappertit::alone"
"miggs::alone";"tappertit::alone"
"dolly::tall";"miggs::tall"
"dolly::rough";"miggs::rough"
"dennis::young";"miggs::young"
"dennis::practical";"miggs::practical"
"dennis::certain";"dennis::little"
"dennis::certain";"dolly::certain"
"dennis::certain";"dolly::little"
"dennis::certain";"miggs::certain"
"dennis::certain";"miggs::little"
"dennis::little";"dolly::certain"
"dennis::little";"dolly::little"
"dennis::little";"miggs::certain"
"dennis::little";"miggs::little"
"dolly::certain";"dolly::little"
"dolly::certain";"miggs::certain"
"dolly::certain";"miggs::little"
"dolly::little";"miggs::certain"
"dolly::little";"miggs::little"
"miggs::certain";"miggs::little"
"dolly_varden::gentle";"dolly::gentle"
"dolly::bright";"dolly::gentle"
"dolly::bright";"dolly::little"
"dolly::gentle";"dolly::little"
"emma::bright";"emma::young"
"miggs::serious";"miggs::young"
"miggs::short";"miggs::unhappy"
"dolly::rushed";"emma::rushed"
"dolly::pretty";"emma::pretty"
"edward::old";"joe::old"
"haredale::important";"mr_haredale::important"
"dolly::strange";"edward_chester::strange"
"dolly::strange";"joe_willet::strange"
"edward_chester::strange";"joe_willet::strange"
"john::awake";"willet::awake"
"john::distinguished";"john::old"
"black_lion::familiar";"black_lion::kind"
"black_lion::familiar";"willet::familiar"
"black_lion::familiar";"willet::kind"
"black_lion::kind";"willet::familiar"
"black_lion::kind";"willet::kind"
"willet::familiar";"willet::kind"
"dolly::glad";"dolly::proud"
"mansfield::great";"saville::great"
"mansfield::serious";"saville::serious"
"barnaby::trusted";"barnaby::well"
"barnaby::evil";"barnaby::quiet"
"barnaby::evil";"barnaby::thoughtful"
"barnaby::quiet";"barnaby::thoughtful"
"george_gordon::cruel";"george_gordon::little"
"george_gordon::cruel";"george_gordon::unhappy"
"george_gordon::little";"george_gordon::unhappy"
"dennis::interesting";"dennis::unusual"
"dennis::uncomfortable";"hugh::uncomfortable"
"john::agreeable";"john::pleasant"
"john::happy";"john::independent"
"gabriel::good";"varden::good"
"varden::little";"varden::sensitive"
"john_chester::kind";"john_chester::sad"
"john_chester::kind";"john_chester::strange"
"john_chester::kind";"john::kind"
"john_chester::kind";"john::sad"
"john_chester::kind";"john::strange"
"john_chester::kind";"mr_varden::kind"
"john_chester::kind";"mr_varden::sad"
"john_chester::kind";"mr_varden::strange"
"john_chester::sad";"john_chester::strange"
"john_chester::sad";"john::kind"
"john_chester::sad";"john::sad"
"john_chester::sad";"john::strange"
"john_chester::sad";"mr_varden::kind"
"john_chester::sad";"mr_varden::sad"
"john_chester::sad";"mr_varden::strange"
"john_chester::strange";"john::kind"
"john_chester::strange";"john::sad"
"john_chester::strange";"john::strange"
"john_chester::strange";"mr_varden::kind"
"john_chester::strange";"mr_varden::sad"
