"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"629","intellig",0,0,0,0,0,0,0
"630","intemper",0,0,0,0,0,0,0
"631","intense",2,0,1,1,0,0,0
"632","intimate",6,1,1,1,1,1,1
"633","intolera",0,0,0,0,0,0,0
"634","intricat",0,0,0,0,0,0,0
"635","introspe",0,0,0,0,0,0,0
"636","introver",0,0,0,0,0,0,0
"637","intrusiv",0,0,0,0,0,0,0
"638","intuitiv",0,0,0,0,0,0,0
"639","invariab",0,0,0,0,0,0,0
"640","inventiv",0,0,0,0,0,0,0
"641","invincib",0,0,0,0,0,0,0
"642","inward",1,1,0,0,0,0,0
"643","ironhear",0,0,0,0,0,0,0
"644","ironical",0,0,0,0,0,0,0
"645","irration",0,0,0,0,0,0,0
"646","irreform",0,0,0,0,0,0,0
"647","irreligi",0,0,0,0,0,0,0
