"accessible" "accomplished" "accurate" "active" "affable" "affectionate" "agreeable" "amiable" "anxious" "audacious" "bashful" "benevolent" "bitter" "bold" "brave" "bright" "brisk" "calm" "capable" "careful" "careless" "cautious" "certain" "cheerful" "civil" "clever" "clumsy" "coarse" "cold" "complimentary" "confident" "confused" "considerate" "constant" "conventional" "conversational" "cool" "cordial" "cruel" "curious" "deep" "deliberate" "dependent" "despondent" "determined" "direct" "dissatisfied" "distant" "doleful" "dull" "eager" "earnest" "elegant" "emphatic" "exact" "expressive" "faithful" "fearful" "fierce" "firm" "foolish" "frank" "friendly" "gallant" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "hasty" "haughty" "hearty" "honest" "humble" "ignorant" "immovable" "impartial" "impatient" "independent" "indifferent" "ingenious" "insolent" "intimate" "irresolute" "jealous" "kind" "lively" "loud" "lucid" "magnanimous" "maternal" "methodical" "mild" "modest" "moral" "musical" "narrow" "natural" "negative" "obliging" "observant" "original" "particular" "passionate" "patient" "peaceful" "pious" "placid" "pleasant" "polished" "polite" "political" "practical" "precise" "prejudiced" "profound" "proper" "proud" "prudent" "quick" "quiet" "reasonable" "refined" "resentful" "reserved" "responsible" "rigid" "rough" "rugged" "selfish" "sensitive" "sentimental" "serene" "serious" "severe" "shallow" "shrewd" "shy" "silent" "simple" "slow" "social" "solemn" "solicitous" "spirited" "steady" "stern" "strict" "submissive" "sullen" "tender" "thorough" "thoughtful" "tight" "timid" "tough" "transparent" "treacherous" "unkind" "unreasonable" "vague" "vain" "vigorous" "violent" "warm" "wild" "wise" "worldly" "womanly" "suspicious" "wishful"
"conversational" 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0
"cool" 0 1 0 0 0 1 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 3 1 0 2 0 0 1 0 0 0 1 0 0 0 0 1 3 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1 2 3 1 0 0 1 1 0 1 0 0 0 1 0 1 0 0 1 0 0 2 1 0 0 0 0 1 0 0 3 0 0 3 0 1 1 0 1 0 0 0 0 0 1 1 2 0 0 1 0 2 0 2 0 2 0 0 0 0 1 0 1 0 0 0 1 1 1 1 1 0 0 1 2 2 0 1 0 1 0 0 1 0 0 0 4 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0
"cordial" 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 3 2 0 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 1 1 0 3 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
"cruel" 0 0 1 0 0 2 1 2 3 2 0 0 0 1 0 2 0 1 1 0 1 0 4 0 2 1 0 1 3 0 0 0 1 1 0 0 3 1 0 1 1 0 0 1 0 1 0 1 1 1 0 2 0 0 0 2 3 0 1 2 0 0 2 0 1 0 1 2 2 1 1 3 1 4 2 0 1 1 1 0 2 0 3 1 1 0 5 0 1 1 1 1 0 1 0 0 1 1 5 0 1 1 1 2 1 3 0 0 0 0 0 1 0 1 0 0 0 2 3 1 5 3 3 0 0 1 0 2 1 0 0 0 2 2 2 0 0 1 1 5 1 1 1 0 1 0 1 1 0 1 1 4 0 0 1 3 2 0 1 1 0 1 0 0 1 1 3 1 1 0 0 0
"curious" 0 0 1 0 0 2 3 0 2 0 2 0 0 1 0 6 1 0 0 0 0 0 13 2 0 2 1 0 5 0 0 1 3 0 0 1 0 2 1 0 1 0 2 1 0 0 1 2 0 5 1 2 0 0 0 1 4 1 0 1 1 0 2 1 1 1 1 3 1 1 1 0 0 3 0 2 1 0 1 0 0 2 0 2 0 1 2 1 2 0 0 0 0 2 0 0 0 2 4 0 1 0 2 0 2 1 0 1 0 6 0 1 1 2 1 2 0 0 2 1 3 7 1 0 1 1 0 1 2 0 1 1 0 0 0 1 1 1 0 1 1 1 4 0 0 3 1 0 0 0 2 1 0 0 1 0 0 0 0 0 0 2 0 0 0 2 1 0 2 0 0 0
"deep" 0 1 1 1 0 1 1 0 0 1 0 0 0 1 1 6 0 1 0 0 0 0 3 3 0 2 0 1 3 1 2 1 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 3 1 3 1 0 0 0 0 2 1 0 1 0 2 0 2 0 2 1 1 5 0 0 0 0 0 2 1 0 3 0 1 0 0 1 0 0 1 1 1 0 1 0 0 0 0 1 1 0 0 4 3 0 0 0 2 3 1 0 1 0 0 3 1 0 0 2 0 1 0 3 3 0 3 11 0 0 0 0 0 1 3 2 0 1 0 0 1 1 0 0 0 3 1 0 2 1 0 1 3 2 0 1 0 2 1 0 1 2 2 2 1 0 1 2 0 2 2 3 3 1 2 1 0 0
"deliberate" 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"dependent" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 2 0 1 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1
"despondent" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"determined" 0 2 0 0 0 0 1 0 2 1 0 0 0 0 0 2 0 0 1 1 0 1 2 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 0 0 0 0 2 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 2 1 0 0 1 0 0 1 2 1 0 0 3 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"direct" 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 1 1 1 1 0 2 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 1 1 0 1 1 0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 2 1 0 0 3 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1 0 0 2 2 0 1 3 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 2 2 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 1 1 0 2 0 0 0 1
"dissatisfied" 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 2 1 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"distant" 1 0 0 2 0 0 2 2 4 0 0 1 0 1 0 4 0 2 2 0 1 0 8 0 0 0 0 0 1 0 0 1 0 2 0 1 0 0 1 2 3 0 0 0 0 1 1 0 0 3 0 0 0 0 0 2 0 0 1 0 1 0 0 1 4 3 4 2 0 5 0 0 1 1 0 1 1 0 2 0 0 0 1 0 0 2 2 0 0 0 0 0 0 0 1 0 0 2 3 0 1 0 1 4 0 0 0 0 1 1 0 2 1 0 0 1 1 0 2 0 0 6 0 1 1 0 0 1 3 1 1 0 0 2 0 0 0 0 0 4 2 0 2 2 1 1 1 1 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 1 2 6 0 0 0 0 1
"doleful" 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 1 1 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
"dull" 0 0 2 0 0 1 3 1 2 0 1 1 0 2 0 5 0 1 2 0 2 0 6 3 0 3 3 1 3 0 0 0 0 0 0 0 1 0 1 5 3 0 1 0 2 1 1 3 2 0 0 1 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 4 1 1 0 1 0 1 1 0 2 0 0 0 0 1 1 0 1 1 4 1 0 0 0 0 0 0 0 1 0 4 4 2 1 0 1 5 1 0 0 1 0 4 0 1 1 0 0 1 0 2 3 1 3 4 0 1 0 1 1 0 1 0 0 1 0 0 1 1 1 0 2 2 0 2 0 0 1 2 0 1 0 1 0 2 0 0 0 0 0 1 0 1 0 0 1 0 3 1 2 1 0 1 0 2
"eager" 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0
"earnest" 0 0 1 1 0 0 3 0 2 0 0 1 0 0 0 1 0 1 0 3 0 0 2 0 0 2 1 0 2 0 0 1 0 0 1 0 0 0 2 2 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 2 0 0 1 1 1 0 0 0 0 1 0 2 1 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 2 0 1 0 0 1 0 0 1 1 0 1 5 0 0 0 1 2 1 2 0 0 0 2 0 1 0 0 1 0 0 0 2 0 3 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 2 0 1 0 0 1 0 1 0 0 2 1 1 1 2 0 0 0 0 1 1 0 1 1 1 0 1 0 0 0 0
"elegant" 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1
"emphatic" 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 1 2 1 0 0 0 1 2 0 0 0 1 0 0 1 1 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0
"exact" 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
"expressive" 0 0 0 1 2 0 4 1 5 0 0 1 0 0 0 2 1 1 0 3 0 0 8 0 0 3 1 0 1 0 1 3 0 1 0 0 1 0 2 1 2 1 0 1 0 1 2 2 0 1 1 0 0 2 1 0 2 2 1 1 0 0 2 0 4 1 1 1 2 0 1 0 0 1 0 1 1 1 2 0 2 0 0 1 1 1 5 0 1 0 0 0 0 1 0 1 0 0 0 2 0 0 0 2 1 1 0 0 2 4 0 1 0 0 0 0 0 3 3 0 0 6 0 1 0 1 2 0 1 0 0 1 0 1 0 1 0 0 0 4 0 0 1 2 1 0 1 1 0 2 1 0 0 0 0 0 1 1 0 0 0 1 0 2 1 1 1 1 0 0 0 0
"faithful" 0 0 0 0 0 1 2 0 3 0 0 0 0 1 0 3 2 2 0 2 0 0 5 0 0 3 0 0 2 0 0 0 0 0 0 1 0 0 3 4 1 0 0 1 1 0 1 0 0 1 0 2 0 1 0 2 0 0 0 1 0 0 2 0 1 0 1 0 3 2 1 0 0 3 1 2 0 0 0 0 0 0 0 0 1 1 2 1 0 1 1 0 0 2 2 0 1 0 5 1 0 0 2 2 0 3 1 1 2 1 0 0 0 0 0 0 0 2 3 1 1 4 1 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 3 1 3 3 0 0 0 1 1 2 1 0 1 0 1 0 2 0 0 0 1 1 0 0 0 2 0 0 1 0 1 0 0
"fearful" 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0
"fierce" 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 2 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 3 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0
"firm" 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 2 0 0 2 0 1 2 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0
"foolish" 1 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 3 0 0 3 0 0 1 0 0 1 0 0 0 0 0 0 0 1 2 0 1 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
"frank" 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"friendly" 0 0 0 0 1 3 6 1 1 1 0 0 0 0 1 5 1 1 0 1 1 0 7 1 0 1 0 0 2 1 0 0 3 0 0 0 1 3 2 2 2 0 1 1 0 1 0 0 0 0 1 0 2 0 1 2 2 0 0 0 1 2 0 0 1 0 1 1 1 1 2 0 1 3 1 0 0 2 1 0 1 1 0 0 0 1 2 2 1 2 0 0 2 1 2 3 0 0 2 0 1 0 0 1 0 1 0 1 0 2 0 1 1 2 3 0 1 3 3 0 8 4 0 0 0 1 0 2 1 1 0 1 0 0 2 0 0 0 0 4 0 4 3 1 0 0 3 2 0 1 0 1 0 2 2 1 0 0 0 0 1 1 1 0 2 0 1 2 0 0 0 1
"gallant" 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"generous" 0 1 0 0 2 2 2 2 2 0 0 1 0 0 0 2 1 0 0 0 0 2 5 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 1 2 1 0 0 1 1 0 4 0 0 0 0 0 0 0 4 1 0 1 0 0 0 1 1 0 2 3 1 0 3 2 0 1 2 0 0 0 0 1 0 1 0 1 0 0 1 3 1 0 0 0 0 0 1 0 0 0 2 2 0 0 0 1 1 0 0 1 1 0 2 1 0 0 0 0 0 2 1 3 0 2 6 0 1 0 0 1 0 3 1 0 3 0 0 1 0 0 0 0 1 2 1 0 1 1 1 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 1 1 0 2 1 2 0 0 0 1
"genteel" 0 0 0 1 1 0 1 1 2 0 0 0 1 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 1 1 1 1 0 0 0 1 3 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 0 3 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 3 0 2 0 0 0 1 0 0 0 0 1 0 1 0 2 0 0 1 0 0 0 0 1 1 1 1 0 1 0 0 0 1 0 0 0 1 3 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 1 0 0 0 1
"gentle" 0 0 0 2 0 2 2 2 4 1 0 0 0 0 0 1 1 0 0 2 0 1 6 0 0 0 0 0 3 0 0 0 2 2 0 1 2 0 1 1 1 0 0 1 1 0 1 4 2 0 1 1 0 1 0 1 1 1 0 1 1 0 1 0 3 3 0 3 1 1 0 0 0 2 1 1 0 0 2 0 1 0 0 0 0 1 4 1 2 0 1 0 1 0 0 2 0 0 2 1 1 0 2 1 0 0 0 1 0 0 0 0 0 2 1 0 3 0 4 1 2 4 1 0 1 0 1 2 0 0 0 1 1 1 1 0 1 0 1 2 2 4 2 0 0 0 1 2 1 2 3 1 0 2 2 1 1 0 0 0 1 0 0 0 0 1 2 4 0 0 1 0
"gloomy" 1 0 1 0 0 0 2 0 1 0 0 1 1 0 1 10 1 2 0 0 0 0 2 2 0 4 1 0 2 0 1 1 1 1 0 0 3 0 2 3 5 0 0 0 0 1 0 2 2 4 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 3 0 1 1 0 2 1 1 1 0 3 0 2 0 1 0 0 0 0 1 2 4 2 0 0 0 1 0 0 1 0 3 2 0 0 1 2 2 1 0 0 2 1 2 0 0 0 1 0 1 0 2 3 0 2 4 0 0 1 2 1 1 2 1 0 1 0 1 1 2 1 0 1 3 0 4 0 0 0 1 3 5 1 2 2 2 0 2 1 0 3 2 0 0 1 1 0 1 1 2 5 0 0 0 0 0
"graceful" 0 1 0 0 1 1 1 1 2 0 0 0 0 1 0 2 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 1 0 1 0 1 0 2 1 0 0 0 1 1 1 1 0 0 1 0 2 1 1 0 2 3 0 1 1 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1 2 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 0 1 0 0 0 0 1 0 0 1 1 1 1 0 1 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 1 3 0 0 0 0 1 1 2 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"gracious" 1 0 0 2 1 1 3 1 2 0 1 0 0 0 0 5 0 0 0 2 0 0 6 0 2 1 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 5 0 1 0 1 1 2 0 0 2 0 0 0 0 0 1 2 3 1 1 1 1 0 0 1 1 1 1 2 0 0 3 0 2 0 1 1 0 1 8 1 1 0 2 2 0 1 3 0 0 3 3 0 0 1 6 5 1 2 0 0 0 2 0 2 0 1 0 1 2 6 3 1 2 4 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 1 0 1 1 1 0 2 0 0 2 0 0 0 0 3 0 0 1 0 3 0 0 1 1 0 1 0
"hasty" 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 2 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0
"haughty" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 3 0 0 0 1 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 2 1 0 0 0 0 1 0 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
