"abrupt" "active" "affected" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bashful" "benevolent" "bitter" "bold" "boyish" "brave" "bright" "brisk" "calm" "capable" "capricious" "careful" "careless" "certain" "cheerful" "childish" "civil" "clever" "cold" "compassionate" "complacent" "conciliatory" "confident" "confused" "considerate" "constant" "contrary" "cool" "cordial" "cruel" "curious" "deep" "demonstrative" "determined" "distant" "dreamy" "dull" "eager" "earnest" "exact" "expressive" "faithful" "fearful" "fervent" "fierce" "fiery" "firm" "foolish" "formal" "friendly" "gallant" "generous" "genteel" "gentle" "girlish" "gloomy" "graceful" "gracious" "harsh" "hasty" "haughty" "hearty" "honest" "humble" "ignorant" "immovable" "impatient" "impetuous" "indifferent" "inexperienced" "ingenious" "intimate" "jealous" "kind" "lazy" "lively" "loud" "loving" "masculine" "meek" "mercenary" "merry" "mild" "modest" "moral" "narrow" "natural" "nervous" "observant" "orderly" "original" "particular" "passionate" "patient" "peaceful" "pious" "placid" "pleasant" "pliant" "polished" "polite" "practical" "profound" "proper" "prophetic" "proud" "prudent" "punctual" "quick" "quiet" "reasonable" "rebellious" "reliant" "religious" "reproachful" "respectful" "restless" "rigid" "rough" "rude" "rugged" "selfish" "sensitive" "serene" "serious" "severe" "shy" "silent" "simple" "sincere" "slow" "solemn" "spirited" "stable" "steady" "stern" "stormy" "strict" "submissive" "sullen" "sunny" "suspicious" "systematic" "tender" "thoughtful" "thoughtless" "tight" "timid" "unaffected" "undisciplined" "unreasonable" "vague" "vain" "violent" "warm" "wild" "vigorous" "wise" "worldly"
"cordial" 1 0 0 1 0 0 0 0 0 1 0 1 1 0 2 0 1 0 0 0 0 2 2 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 0 3 1 3 0 0 0 0 1 1 0 0 0 0 1 0 0 0 3 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 1 1 0 1 3 0 0 0 0 2 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 1 0 0 0 0 2 1 1 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 1 0 0 2 0 0 0
"cruel" 1 1 0 3 5 3 2 1 0 0 3 0 1 1 2 0 2 0 0 2 0 2 3 3 0 1 3 0 0 0 0 0 0 1 1 0 0 0 1 4 0 0 2 0 0 1 4 0 0 1 0 1 1 1 1 2 0 2 0 3 0 1 1 1 1 1 0 1 2 0 3 0 0 0 0 1 0 1 0 0 2 4 1 0 0 0 1 0 1 0 0 0 1 0 4 0 0 0 1 2 1 1 0 0 1 7 1 1 0 0 0 0 0 2 0 0 1 7 1 0 0 0 1 3 2 1 0 1 1 2 1 0 4 2 0 8 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 3 1 1 0 0 0 1 1 1 1 1 0 2 1 0 1
"curious" 0 0 0 1 1 1 4 0 1 0 0 4 0 0 3 0 1 2 0 2 1 6 0 1 0 1 1 0 0 0 0 0 1 3 1 0 0 1 0 5 0 0 1 0 4 0 0 0 1 1 2 0 2 0 0 1 1 3 0 1 2 2 0 1 0 1 0 1 0 1 0 0 0 0 2 0 2 0 1 0 0 4 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 4 0 0 0 0 0 1 0 2 0 0 2 3 0 1 1 0 0 1 1 0 3 0 0 1 1 0 0 0 1 4 1 0 0 1 0 0 2 3 1 0 0 0 1 0 0 0 2 1 0 1 0 0 0 0 2 1 0 4 0 0 2
"deep" 0 1 0 4 3 0 3 1 0 1 1 4 1 1 4 0 2 0 0 0 0 9 1 2 0 0 3 0 0 0 2 1 0 0 1 0 0 4 5 0 0 1 2 1 2 1 3 0 0 0 2 0 0 1 2 3 0 1 0 0 4 5 0 1 0 2 0 1 0 0 3 1 1 2 2 1 1 1 0 1 1 3 4 0 1 1 0 0 0 1 1 0 0 2 4 1 0 0 2 2 0 1 0 1 0 8 0 0 0 1 4 1 0 3 0 0 3 5 0 1 1 2 0 3 3 0 2 2 2 1 0 1 2 0 0 3 0 2 1 2 1 1 2 2 2 0 1 2 1 1 0 1 1 0 1 0 0 0 0 0 1 2 0 4 0 0 0
"demonstrative" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"determined" 0 0 0 2 1 0 0 0 0 1 0 1 0 1 1 0 0 1 0 1 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 3 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 3 0 1 0
"distant" 0 0 0 1 6 2 1 0 0 0 0 1 0 0 4 0 1 2 1 0 0 7 3 2 0 0 5 0 0 1 2 0 0 0 0 1 3 2 1 2 0 3 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1 4 0 0 2 3 0 2 1 0 1 0 0 1 2 1 0 0 0 0 1 0 1 0 0 3 1 0 1 1 0 0 0 0 1 0 1 0 5 0 0 2 2 5 1 0 0 0 3 4 0 1 1 1 0 0 0 4 0 0 2 9 0 0 0 0 0 1 1 1 1 0 1 2 1 1 0 0 1 3 1 0 2 0 0 1 1 2 2 0 0 0 1 0 0 2 2 0 0 2 1 1 0 2 2 0 1 2 2 1 0
"dreamy" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
"dull" 0 1 1 3 1 1 5 0 1 1 0 1 0 1 3 0 1 3 0 2 0 1 5 2 0 2 2 0 1 0 1 1 0 1 2 0 3 0 4 2 1 2 1 1 0 1 1 0 1 0 2 0 3 0 1 1 0 1 1 1 2 4 0 4 0 0 1 1 1 0 1 0 0 2 0 0 0 0 2 0 1 4 0 1 0 0 0 2 1 3 1 1 0 3 6 1 0 1 1 3 2 0 0 0 2 7 0 0 0 0 0 0 0 3 0 0 2 6 0 0 0 0 2 0 0 0 1 0 0 0 3 1 0 0 1 5 0 1 2 0 1 0 4 1 0 1 0 1 0 0 0 0 2 0 1 1 0 0 0 0 4 1 1 7 0 0 0
"eager" 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"earnest" 2 0 0 5 1 1 2 0 0 0 1 3 1 3 5 0 1 0 0 0 0 6 4 2 0 4 2 1 1 0 2 0 2 1 0 0 3 4 0 3 1 1 1 0 1 1 0 0 1 1 1 2 0 0 0 0 0 2 0 3 0 4 0 0 0 1 2 0 0 0 1 0 1 2 0 0 3 1 0 1 0 4 2 0 1 0 2 1 0 0 2 4 0 0 5 1 1 0 0 3 0 1 0 0 1 5 0 0 0 2 2 0 1 4 1 0 3 6 1 1 1 0 1 1 1 0 3 0 0 2 1 1 3 1 1 3 3 0 3 1 1 2 1 0 0 0 1 0 0 1 0 4 2 1 1 2 0 1 2 1 0 1 0 6 0 0 0
"exact" 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 2 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"expressive" 1 0 0 0 1 1 2 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 2 0 1 0 0 0 1 0 0 2 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2 0 0 1 2 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 3 0 0 0 1 0 0 1 0 3 0 0 2 1 0 0 0 1 0 1 1 1 0 0 0 1 0 0 0 2 0 0 0 1 0 1 1 3 0 0 1
"faithful" 0 0 0 0 0 0 1 0 0 0 1 2 0 1 2 0 0 0 0 1 0 5 1 1 0 2 0 1 2 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 3 1 1 0 1 0 3 0 0 0 1 0 0 1 0 0 1 0 0 1 1 1 1 0 0 1 2 0 0 0 0 0 0 0 1 1 2 1 0 3 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 1 4 0 0 0 0 0 1 2 0 1 0 0 0 0 1 3 0 0 1 2 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 1 1 3 0 1 0
"fearful" 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 2 0 1 1 0 0 0 0 2 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0
"fervent" 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 2 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0
"fierce" 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 3 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 2 0 1 0 0 0 3 1 0 0 0 1 2 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 2 0 0 2 0 0 2 0 0 0 0 0 0 0 0 1 0 1 2 1 0 0 0 0 2 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 4 0 0 0
"fiery" 0 0 0 0 3 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"firm" 0 0 0 2 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 3 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"foolish" 0 1 0 2 3 0 4 1 0 0 1 0 0 0 7 0 3 0 0 2 0 2 2 2 0 2 2 1 0 0 0 0 1 0 0 0 0 2 1 3 0 0 0 0 1 1 0 0 1 3 1 0 1 1 0 0 0 2 1 0 0 7 1 1 0 3 0 0 1 0 0 0 1 0 1 1 0 2 1 1 1 5 1 0 0 3 0 0 1 2 0 1 1 0 3 0 0 1 1 1 2 2 1 1 0 2 1 0 0 2 1 0 0 2 0 0 1 7 1 1 0 0 1 1 1 1 3 0 0 0 0 2 5 0 1 5 1 0 0 3 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 2 0 1 1 1 1 1 1 4 0 0 0
"formal" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 4 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1
"friendly" 3 0 0 1 6 3 2 1 0 0 1 2 1 0 5 0 3 0 0 1 1 9 2 1 1 0 3 1 0 0 1 3 0 0 0 0 1 2 3 1 0 0 4 0 1 0 2 1 1 1 2 1 0 0 0 2 0 0 0 0 3 4 0 1 0 0 0 0 0 2 0 2 0 1 0 0 1 1 1 0 1 6 0 0 1 1 1 0 0 1 3 1 0 1 5 0 0 0 1 5 0 0 0 0 0 7 0 0 0 0 2 1 0 3 1 2 4 4 0 0 0 0 1 1 0 0 3 1 0 2 1 2 1 1 1 2 3 0 1 1 2 2 1 1 0 0 0 0 1 1 2 1 5 0 0 1 0 0 0 1 1 1 0 3 0 1 3
"gallant" 0 0 1 0 1 1 0 0 0 1 0 1 0 0 1 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 2
"generous" 0 1 1 1 1 0 2 0 0 0 1 2 0 1 0 0 1 0 0 0 1 1 0 1 0 2 0 1 0 0 0 0 0 2 0 0 0 3 1 0 1 0 0 0 1 0 3 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 2 0 0 0 2 1 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 1 3 0 0 0 2 0 0 1 0 0 0 1 0 2 0 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 0 0 0 2 1 1 1
"genteel" 0 0 0 1 1 1 4 0 1 1 0 0 0 0 2 0 2 1 0 1 0 6 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 2 4 0 0 2 1 2 1 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 2 0 1 0 1 1 1 0 1 0 0 0 2 0 0 1 1 2 1 0 2 0 1 3 2 0 0 1 1 0 2 0 0 0 0 0 1 1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 1 0 0
"gentle" 2 0 0 6 3 1 4 0 0 2 1 3 3 2 8 1 6 2 1 3 1 7 3 1 0 3 6 4 0 1 1 1 2 0 0 0 3 1 2 5 0 1 3 0 4 0 4 0 2 3 1 0 1 0 1 7 1 4 0 1 0 0 0 2 0 1 0 0 0 1 3 3 2 1 1 0 3 2 1 0 0 6 1 1 0 3 0 1 1 1 1 3 0 0 7 1 0 0 2 4 1 1 2 1 1 5 1 0 1 1 1 0 1 3 0 1 6 11 0 0 0 1 2 0 2 1 4 1 2 0 2 2 4 1 1 6 2 0 1 1 0 1 0 0 1 1 0 0 0 0 0 4 4 2 0 3 0 2 1 3 0 0 3 5 0 0 0
"girlish" 0 0 0 2 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gloomy" 0 0 0 1 2 0 1 0 0 0 0 2 0 0 2 0 1 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 2 0 4 1 0 0 1 0 0 0 1 0 2 1 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 1 3 0 0 0 0 0 0 1 0 0 0 0 2 2 1 0 0 0 3 1 0 1 1 1 1 0 0 0 0 0 1 0 1 0 0 0 4 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 1 1 2 1 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 3 0 0 1
"graceful" 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"gracious" 0 1 0 1 2 2 3 1 0 0 0 2 0 0 2 0 1 0 0 0 0 1 2 1 0 1 0 1 1 0 2 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 3 0 0 0 0 1 1 0 0 0 0 0 1 1 0 1 0 0 2 1 1 0 0 0 1 1 2 0 0 1 0 0 0 0 1 2 1 1 1 4 1 0 2 0 0 1 0 0 0 1 3 0 0 0 0 1 0 0 0 0 0 2 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 2 1 3 0 0 0
"harsh" 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 1 0 0 2 1 0 0 0 0 0 1 0 0 1 0 0 0 1 1 1 0 1 0 2 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0
"hasty" 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0
"haughty" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"hearty" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 0 1 0 1 2 3 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 4 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 2 0 0 1 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 2 0 1 0 0 2 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0
"honest" 0 0 0 1 3 2 2 1 0 0 0 2 1 0 3 1 1 1 1 1 0 5 2 1 0 0 2 0 0 1 1 1 0 1 2 0 1 3 0 3 0 1 2 0 1 0 1 0 2 0 0 0 0 1 0 0 1 0 0 1 0 3 1 0 0 1 0 1 0 1 0 0 0 0 1 0 2 0 0 2 0 3 2 1 0 0 0 0 0 1 0 0 0 0 3 0 0 0 1 3 0 0 0 1 0 5 0 0 1 0 0 0 0 2 0 0 0 3 0 0 0 1 0 0 1 0 3 0 1 2 1 0 1 2 1 5 1 2 5 2 0 0 1 3 1 0 1 0 0 1 0 0 1 0 0 3 0 0 0 1 0 0 0 2 0 0 0
"humble" 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 3 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 1 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0
"ignorant" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 3 0 0 0 0 3 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 2 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 1 0 1 0 1 0 0 2 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 1 2 0 1 0 1 0 1 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 2 2 0 1 0
"immovable" 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0 1 2 0 0 0 1 0 1 0 3 0 0 1 0 0 0 0 0 2 0 0 0 1 2 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 2 0 0 1 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 2 0 0 0 1 1 2 0 0 0 0 0 0 0 3 0 1 1 2 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1
