"abrupt" "abstract" "active" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bitter" "bland" "blunt" "boisterous" "bold" "bright" "calm" "capable" "careful" "careless" "cautious" "certain" "cheerful" "childish" "civil" "clever" "coarse" "cold" "communicative" "companionable" "compassionate" "complimentary" "confused" "congenial" "considerate" "consistent" "constant" "contented" "cool" "cruel" "cunning" "curious" "dainty" "deep" "despondent" "devilish" "distant" "distrustful" "dull" "eager" "earnest" "envious" "exact" "excessive" "expressive" "facetious" "faithful" "fearful" "fervent" "fierce" "fiery" "foolish" "formal" "friendly" "gallant" "generous" "genteel" "gentle" "glib" "gloomy" "graceful" "gracious" "gruff" "harsh" "hasty" "hearty" "honest" "humble" "humorous" "impatient" "imperturbable" "impetuous" "indefinite" "independent" "indifferent" "ingenious" "intimate" "intricate" "jealous" "jovial" "kind" "lazy" "loud" "malicious" "manly" "merciful" "merry" "mild" "moderate" "modest" "moody" "moral" "musical" "narrow" "natural" "negative" "noisy" "obliging" "original" "particular" "patient" "peaceful" "pensive" "placid" "pleasant" "polite" "practical" "profound" "proper" "proud" "prudent" "quick" "quiet" "responsible" "restless" "rough" "rude" "rugged" "selfish" "sensitive" "sentimental" "serene" "serious" "shrewd" "silent" "simple" "sincere" "slow" "sluggish" "smart" "social" "solemn" "spirited" "stable" "steady" "stern" "strict" "submissive" "sunny" "suspicious" "tender" "thoughtful" "thoughtless" "tight" "timid" "treacherous" "uncouth" "unmindful" "vague" "vain" "vigorous" "violent" "vocal" "warm" "wild" "wise"
"cruel" 0 0 0 3 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 4 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 1 3 1 0 0 0 0 0 1 1 0 1 1 0 0 1 0 0 0 0 3 0 0 0 0 0 0 2 1 2 2 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 1 0 1 1 0 0 0 0 0 1 2 4 0 0 0 0 0 0 0 0 0 1 0 3 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 1 1 1 1 0 0 0 0 1 1 0
"cunning" 0 0 0 0 2 0 1 0 0 1 0 0 0 2 0 0 1 0 1 5 1 0 0 0 0 2 0 0 1 0 0 0 0 0 1 2 0 1 0 2 0 3 0 1 0 0 3 2 0 1 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 2 1 2 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 1 1 0 1 1 1 0 2 3 0 2 1 1 3 0 1 0 2 0 0 1 2 2 0 1 0 0 0 1 0 0 0 1 0 0 1 3 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 1 0 0 0 2 0 0 1 1 1 0 1
"curious" 3 0 0 1 1 0 4 1 0 0 0 1 0 3 1 0 1 0 1 4 0 2 0 0 1 0 0 0 0 0 0 1 0 0 2 0 3 1 2 0 1 3 0 1 1 0 4 0 2 1 0 0 0 0 1 3 0 0 0 0 0 1 1 0 1 3 0 1 0 0 0 0 1 0 0 3 0 0 0 0 0 0 1 0 1 1 0 0 2 1 0 0 1 0 0 1 0 0 0 0 0 1 2 0 3 0 0 3 1 0 0 0 1 0 0 0 2 1 0 3 2 1 2 2 0 1 0 0 0 0 1 0 4 1 0 6 1 0 1 1 0 0 0 0 0 0 1 1 1 2 0 1 1 0 1 0 2 0 0 1 0 1 3 1
"dainty" 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
"deep" 2 0 0 1 5 1 6 1 1 1 0 1 2 15 4 2 2 3 1 10 7 2 0 0 1 11 1 1 1 0 0 1 0 0 4 0 3 2 3 3 2 0 1 0 8 2 13 2 6 1 2 1 1 1 1 4 1 2 2 2 2 6 3 0 1 9 1 3 2 1 1 3 3 3 4 9 1 0 0 1 0 1 1 0 1 1 2 0 2 0 5 1 1 1 2 2 1 0 0 3 0 7 5 1 5 0 7 7 2 1 2 2 10 0 2 2 3 4 2 3 10 0 2 5 0 1 2 2 1 3 1 1 9 4 1 6 0 2 1 6 1 1 0 1 1 1 0 2 6 6 1 3 5 2 0 1 4 0 2 4 0 5 6 3
"despondent" 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 1 1 0 0 0 3 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 3 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"devilish" 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 2 0 0 0 0 1 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 3 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
"distant" 0 0 1 2 1 1 4 0 0 0 1 1 1 9 2 1 1 2 2 5 4 1 1 0 2 13 0 0 1 1 1 0 0 1 3 0 1 0 0 1 0 8 0 1 0 0 6 1 4 0 1 1 0 0 0 4 1 0 1 1 0 3 1 0 1 6 0 3 1 1 2 1 0 2 4 7 0 0 1 2 0 1 0 1 2 1 0 0 1 1 3 0 0 1 1 1 1 2 0 3 0 5 1 0 4 2 4 2 1 2 0 1 7 1 0 1 2 2 1 3 7 1 1 5 2 2 1 0 2 1 1 0 5 2 0 5 0 1 1 4 0 1 0 0 1 0 0 0 3 4 2 1 2 1 1 0 1 2 0 1 2 4 5 0
"distrustful" 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 2 0
"dull" 0 1 2 2 2 0 4 0 0 0 2 0 0 11 2 0 2 1 2 5 7 3 0 0 1 15 1 2 2 1 0 0 0 0 4 0 1 3 3 4 1 13 1 1 6 1 0 2 6 1 1 1 2 0 1 4 2 2 0 1 0 5 0 1 2 5 1 10 2 0 1 2 1 1 3 4 0 4 1 0 2 0 3 1 1 0 0 0 4 1 2 0 0 1 2 3 0 0 1 3 0 3 3 1 5 0 5 3 3 3 0 2 10 2 0 2 1 1 1 3 10 0 4 7 1 2 1 1 1 2 1 0 10 3 0 9 1 2 0 4 0 0 0 2 1 0 2 1 5 4 1 2 5 2 0 1 7 0 1 2 0 4 3 2
"eager" 0 0 0 0 0 0 4 1 0 0 0 0 0 1 1 0 0 0 0 2 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 2 1 2 0 0 2 0 0 1 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 1 0 2 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 2 0 1 2 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 2 0 1 1 0
"earnest" 1 0 2 2 1 0 4 1 0 1 0 1 0 7 1 0 1 1 0 5 5 3 1 1 0 6 1 1 2 0 0 1 0 0 1 0 0 0 0 2 0 6 1 0 4 0 6 0 0 0 0 0 1 1 1 3 0 0 0 5 0 4 1 1 1 6 1 5 0 1 0 0 1 1 2 4 0 2 0 0 0 0 0 1 0 1 2 0 7 1 0 1 1 0 2 2 1 1 1 1 0 3 4 0 3 0 2 5 3 1 0 0 7 0 0 2 1 1 0 3 9 0 2 0 0 0 1 0 1 1 0 0 4 3 1 1 0 1 0 1 0 1 0 0 1 0 0 0 2 3 1 2 4 0 2 0 1 0 2 0 0 1 1 1
"envious" 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1
"exact" 0 1 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 5 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 3 1 0 2 0 0 1 0 1 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 1 0 0 2 0 2 0 2 3 0 0 0 0 1 0 2 0 2 1 1 0 2 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 2 1 0 1 0 0 0 0 0 0 1 0 0 1 1 2 0 0 0 0 1 1 0 1 0 0
"excessive" 0 0 2 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 2 1 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0
"expressive" 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 1 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
"facetious" 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 2 0 0 0 1 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"faithful" 0 0 1 2 0 0 2 0 0 0 0 0 0 4 1 0 1 0 0 0 2 0 0 0 0 4 0 0 0 1 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 3 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 1 1 1 1 3 0 0 0 1 0 1 2 3 0 0 1 0 0 0 1 0 0 0 0 3 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 2 0 1 0 0 1 0 1 0 0 0 0 3 1 1
"fearful" 2 0 1 1 0 1 0 1 0 1 0 1 0 6 0 0 0 1 2 3 3 0 0 0 0 2 0 0 0 1 0 1 0 0 2 0 1 0 1 3 1 4 0 0 4 0 4 0 3 1 0 0 0 0 1 0 1 1 0 2 0 0 1 0 1 0 0 2 2 0 1 0 0 1 1 1 0 0 0 0 0 0 1 0 1 1 0 1 0 1 1 1 1 1 0 0 1 0 0 1 0 1 1 0 2 0 1 0 0 0 0 0 7 0 0 0 1 0 1 4 2 0 1 2 0 0 0 0 0 0 1 0 1 1 0 6 1 0 0 0 1 0 0 0 0 1 1 0 0 2 0 2 2 0 0 1 1 0 0 0 0 3 0 2
"fervent" 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 2 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0
"fierce" 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 2 1 1 0 0 2 0 0 0 0 2 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 2 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0
"fiery" 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 1 1 1 0 0
"foolish" 0 0 1 1 1 0 2 1 0 0 0 1 0 3 0 1 2 1 1 1 3 0 1 1 0 1 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 1 0 1 0 5 0 0 0 0 0 1 2 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 3 1 0 0 1 0 0 0 0 0 1 0 0 0 1 3 0 2 0 1 1 0 1 0 0 0 0 0 0 3 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 2 3 0 0 1 0 0 0 0 0 0 1 0 0 1 1 2 0 1 0 0 0 1 0 0 0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 3 0 1
"formal" 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 2 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"friendly" 0 0 0 1 2 0 3 0 2 0 2 0 1 3 1 1 2 1 2 4 4 2 1 0 1 8 2 1 1 0 0 0 0 0 1 0 0 0 0 1 0 6 2 1 3 0 5 0 4 0 1 0 0 1 0 0 0 0 1 1 1 0 0 1 1 5 0 1 3 1 0 1 2 0 2 3 1 3 0 1 1 0 0 1 1 0 2 0 2 0 3 0 0 0 1 1 0 1 1 0 1 0 5 1 1 0 2 10 1 0 0 0 6 3 1 3 1 2 0 2 2 0 2 2 0 0 1 0 0 1 1 0 3 2 1 1 0 2 2 2 0 2 0 0 1 0 0 0 0 1 1 2 0 3 1 0 1 0 1 3 1 0 1 1
"gallant" 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 3 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 3 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0
"generous" 0 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 1 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 2 0
"genteel" 1 0 0 1 0 0 0 1 3 0 0 0 1 0 0 0 0 1 1 4 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 1 0 2 0 1 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 2 0 0 1 0 0 0 2 1 0 0 0 1 1 2 0 1 1 1 0 1 0 0 0 1 0 0 0 0 1 0 1 0 2 1 0 1 0 2 0 1 0 1 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"gentle" 0 0 1 3 1 1 5 0 1 1 0 1 0 7 4 1 0 1 1 10 5 3 0 0 2 10 0 0 1 1 0 1 2 0 4 0 1 3 2 3 0 9 0 2 6 1 5 0 6 0 3 0 1 1 3 0 0 0 1 1 2 5 1 1 1 0 1 5 2 1 0 1 1 2 3 5 1 1 0 1 0 0 0 0 0 0 1 0 6 1 1 1 0 1 1 3 0 2 0 1 0 4 2 1 3 0 2 6 3 1 0 1 4 1 3 2 1 1 2 1 7 1 4 3 0 0 2 0 1 0 1 0 10 5 1 3 0 1 0 3 0 1 0 1 0 1 1 1 5 3 2 1 4 2 0 1 3 1 1 1 0 4 9 0
"glib" 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
"gloomy" 1 0 2 1 0 1 4 0 0 0 1 0 1 6 0 0 0 0 1 3 5 0 0 0 0 8 0 1 0 0 0 1 0 0 3 0 0 0 0 1 0 3 1 0 3 0 10 1 5 0 0 1 0 0 1 2 0 0 0 1 0 1 1 1 0 5 0 0 0 1 0 1 1 1 3 1 0 2 0 0 0 0 1 0 0 1 0 1 5 0 0 1 0 1 2 3 1 0 0 1 0 3 3 0 2 0 2 0 1 2 0 0 4 0 0 1 0 0 0 1 5 0 2 3 1 1 0 0 0 0 0 0 5 3 0 5 1 0 0 2 0 0 0 1 0 1 1 0 3 4 0 1 3 0 0 0 2 0 1 1 0 3 4 0
"graceful" 0 0 0 2 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 3 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 2 1 0 2 0 0 0 2 0 1 0 0 2 0 0 0 0 0 3 0 0 1 2 0 0 0 0 0 0 0 0 1 2 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 3 0 0 0 0 3 1 1 0 2 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 2 1 0 0 0 0
"gracious" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 3 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
"gruff" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 2 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0
"harsh" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 2 2 1 0 0 0 0 0 0 0 0 0 2 0 2 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0
"hasty" 0 0 0 1 2 0 4 0 0 0 0 0 0 4 1 0 1 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 3 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 1 0 0 0 2 1 0 0 1 0 1 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 1 0 0 0 0 0 1 0 2 1 0 0 3 1 0 0 0 2 2 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 1 0 0 1 1 1 0 0 0 0 0 2 0
"hearty" 0 1 0 1 2 1 2 1 1 0 0 1 0 3 1 1 1 0 0 1 2 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 3 0 1 2 1 1 0 1 0 1 0 0 0 1 1 1 0 0 3 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 2 0 1 0 1 0 0 0 0 2 0 1 0 0 0 1 1 1 0 1 0 0 0 0 2 1 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 2 1 0 0 1 0 0 1 0 0 0 0 0 2 1 1
"honest" 0 0 2 4 0 1 1 0 1 0 0 1 2 3 1 0 2 1 1 6 3 0 1 0 0 5 1 0 0 2 0 0 0 0 1 0 0 2 0 0 0 4 0 2 4 2 3 1 2 0 0 0 0 0 1 1 0 0 0 1 0 2 1 1 1 3 0 3 1 1 1 0 0 0 0 2 0 2 1 1 0 0 1 1 1 1 0 1 3 0 4 1 0 0 1 2 0 1 0 2 0 1 3 0 0 0 3 6 0 1 0 1 6 1 0 0 2 1 0 3 4 0 0 0 3 0 0 1 0 0 0 0 3 1 1 3 0 1 0 2 0 0 2 0 0 0 0 0 1 1 1 1 1 1 0 2 1 0 1 1 1 5 4 0
"humble" 2 0 0 3 1 2 3 0 3 0 1 1 2 6 1 0 2 1 1 3 2 1 0 1 4 8 0 0 1 0 0 0 1 1 2 0 3 2 2 3 1 9 0 1 7 0 4 1 4 0 1 1 1 0 1 1 0 1 0 0 1 3 3 0 1 5 0 1 2 0 1 0 2 0 2 0 0 1 1 0 0 0 0 0 1 1 0 0 5 1 0 0 1 0 2 1 1 0 0 2 0 2 4 1 8 0 4 5 1 1 0 1 4 1 0 1 2 3 1 1 9 1 1 3 2 1 1 0 0 1 1 2 4 3 1 5 0 1 2 3 2 0 0 1 1 1 0 2 3 1 1 0 4 0 1 1 2 0 0 0 1 5 5 0
