"abrupt" "abstract" "active" "affable" "affected" "affectionate" "agreeable" "aloof" "amiable" "anxious" "awkward" "bitter" "boisterous" "bold" "brave" "bright" "brisk" "brutal" "calm" "candid" "capricious" "careful" "careless" "cautious" "certain" "cheerful" "childish" "civil" "clumsy" "coarse" "cold" "complimentary" "conciliatory" "confident" "confused" "conscientious" "consistent" "constant" "conventional" "cool" "courteous" "credulous" "cruel" "cunning" "curious" "dainty" "daring" "deep" "definite" "despondent" "determined" "dignified" "direct" "disorderly" "disrespectful" "distant" "distrustful" "dull" "eager" "earnest" "elegant" "exact" "excessive" "expressive" "faithful" "fearful" "fickle" "fierce" "fiery" "firm" "foolish" "forcible" "forgetful" "frank" "friendly" "frugal" "gallant" "generous" "genial" "genteel" "gentle" "gloomy" "graceful" "gracious" "gruff" "harsh" "hasty" "haughty" "headlong" "hearty" "honest" "hospitable" "humble" "ignorant" "impatient" "inconstant" "indifferent" "ingenious" "ingenuous" "intense" "intimate" "irreligious" "irresolute" "jaunty" "jovial" "kind" "lavish" "lazy" "lifeless" "lively" "loud" "loving" "loyal" "malicious" "manly" "meek" "merry" "mild" "modest" "moral" "musical" "narrow" "natural" "nervous" "noisy" "original" "particular" "patient" "peaceful" "philosophical" "pious" "placid" "pleasant" "polished" "political" "practical" "precise" "profound" "proper" "proud" "prudent" "quick" "quiet" "reasonable" "reckless" "religious" "restless" "rigid" "roguish" "rough" "rude" "scornful" "sensitive" "serious" "severe" "silent" "simple" "sincere" "slow" "smart" "social" "solemn" "sparkling" "stable" "steady" "stern" "strict" "sullen" "sunny" "surly" "suspicious" "talkative" "temperate" "tender" "thorough" "thoughtful" "tight" "timid" "uncouth" "unkind" "vague" "vain" "violent" "warm" "whimsical" "wild" "wise" "worldly"
"conciliatory" 0 0 0 0 0 0 0 1 0 0 1 2 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 3 0 0 0 1 2 0 1 0 1 1 1 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0
"confident" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"confused" 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 2 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"conscientious" 0 0 0 0 0 0 0 0 0 0 1 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 2 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"consistent" 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0
"constant" 0 0 1 0 0 1 3 0 0 2 0 2 1 0 1 4 0 0 0 0 0 1 0 0 6 5 0 0 1 0 3 2 0 0 1 0 0 0 0 1 0 1 4 0 0 1 0 3 0 0 0 0 0 0 0 4 0 4 1 1 0 1 0 0 1 0 1 2 0 0 0 0 1 0 1 0 1 0 0 1 3 1 1 2 0 0 0 0 0 3 1 1 3 0 1 1 0 0 0 1 1 0 0 0 1 0 1 0 0 0 1 0 0 1 1 0 2 1 0 0 0 2 3 2 0 0 2 1 1 0 0 1 3 0 1 0 0 2 0 2 1 2 8 1 1 2 3 1 0 1 0 0 2 2 1 3 2 1 1 1 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 2 2 0 5 4 1
"conventional" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 1 1 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0
"cool" 0 0 3 0 0 0 1 0 0 1 0 1 0 1 1 4 0 0 0 0 0 0 2 0 3 3 0 1 0 1 2 0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 1 2 0 1 0 0 1 0 0 1 0 3 1 4 1 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 1 0 2 0 1 0 1 0 0 0 0 0 1 0 2 1 0 2 0 0 2 3 1 1 0 0 2 3 1 0 0 1 0 2 0 1 2 2 1 2 1 0 0 0 2 1 1 1 1 0 4 0 0 1 1 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 4 0 0 4 2
"courteous" 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 2 0 0 1 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
"credulous" 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1
"cruel" 0 0 2 0 0 1 2 0 0 3 0 1 1 1 0 4 1 1 1 0 1 2 1 0 4 1 1 0 0 2 4 0 0 1 1 0 0 4 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 3 1 0 0 1 1 0 0 0 1 3 1 0 0 0 1 0 3 1 0 0 0 2 1 1 0 1 0 1 1 0 0 2 1 0 1 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0 3 0 0 1 1 1 1 1 0 0 0 2 2 1 0 2 1 1 1 1 0 0 4 0 0 0 0 0 0 3 0 1 6 1 2 1 2 1 0 1 1 0 1 1 0 3 3 0 1 1 0 1 0 1 1 1 0 1 0 1 1 1 0 1 0 0 0 2 0 2 1 2 2 2 0 1 1 0
"cunning" 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 2 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"curious" 0 0 1 0 1 0 2 0 1 1 0 1 1 0 0 5 1 0 2 0 0 1 1 2 2 4 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 2 1 1 0 0 1 0 0 1 0 1 0 1 1 0 0 0 1 0 0 0 1 0 2 0 0 1 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 2 0 1 3 0 0 0 0 0 1 0 0 3 1 1 3 0 1 2 2 0 0 0 0 2 4 0 0 0 0 0 1 3 0 0 1 0 1 0 1 0 0 0 1 0 1 1 0 3 0 0 0 0 1 3 0 2 2 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 3 1 1
"dainty" 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0
"daring" 0 0 1 0 0 0 0 0 0 0 0 0 2 3 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 1 0 0 1 0 0
"deep" 1 0 1 0 4 1 2 0 0 2 0 3 2 6 3 11 1 1 1 0 0 1 2 2 9 5 0 0 3 3 14 1 2 0 0 0 2 3 1 2 1 1 1 0 2 1 2 0 0 2 0 0 1 0 1 8 1 10 2 4 0 0 3 1 2 2 0 3 4 2 1 0 0 3 5 1 0 1 0 0 5 3 2 2 3 1 1 0 2 8 9 2 2 1 2 0 2 0 0 1 0 0 0 0 2 3 1 2 2 2 6 1 0 1 3 1 3 1 0 3 1 1 5 1 4 3 8 1 1 0 0 1 5 2 3 0 0 7 1 3 2 3 17 1 0 1 2 1 0 6 1 0 1 3 1 11 3 2 3 1 2 4 0 4 3 5 2 1 2 1 1 1 0 1 0 3 2 3 1 0 1 3 3 4 0 5 1 0
"definite" 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 1 0 0 2 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0
"despondent" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0
"determined" 1 0 0 1 0 0 0 2 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 2 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 1 2 0 0 2 0 0 1 1 0 1 1 1 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 2 1 0 0 1 1 1 0 0 1 0 0 0 0 1 0 1 2 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 2 0 0 1 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 2 0 1 0 0
"dignified" 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0
"direct" 0 0 0 1 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 2 0 1 0 0 1 0 2 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"disorderly" 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0
"disrespectful" 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
"distant" 0 1 2 0 2 2 1 0 1 5 1 1 5 3 4 11 1 0 1 1 0 1 0 2 4 2 0 1 1 0 6 0 0 1 1 0 0 4 1 1 1 0 1 2 1 0 1 8 1 0 1 0 0 1 0 0 0 6 2 1 1 0 2 2 0 3 1 6 2 3 0 0 1 0 2 1 2 0 0 0 6 4 0 2 0 1 1 0 1 2 5 1 2 0 3 0 1 0 0 2 0 0 0 0 0 4 0 0 1 0 4 0 0 0 1 0 2 0 0 3 1 3 2 0 3 2 5 0 2 1 0 0 3 0 1 0 0 1 1 4 1 7 12 0 2 0 2 0 0 1 1 0 0 2 1 7 2 1 1 1 1 3 0 5 1 2 2 2 0 2 0 0 0 0 1 4 0 0 0 0 2 2 2 0 0 8 4 0
"distrustful" 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
"dull" 0 1 4 0 2 2 4 1 1 3 2 3 0 8 2 13 2 0 2 0 2 1 2 2 9 10 0 0 3 1 12 2 1 0 1 1 0 4 1 3 1 0 3 2 2 1 1 10 0 0 1 0 0 0 0 6 0 0 1 2 1 0 0 2 1 1 1 3 0 2 0 0 0 0 5 1 1 1 1 2 2 5 1 0 0 1 4 0 1 4 5 2 3 1 1 1 3 1 0 0 1 0 0 1 2 2 2 2 2 1 3 0 1 1 0 0 3 1 2 3 2 2 4 1 1 4 4 2 1 0 0 2 7 1 1 1 0 1 3 5 1 3 11 0 1 1 5 2 1 5 0 0 2 1 2 13 1 0 3 1 1 3 0 3 4 3 1 3 1 2 2 1 2 0 1 1 0 1 2 0 3 1 3 7 1 5 3 1
"eager" 0 0 3 0 1 0 0 0 0 1 0 0 0 1 1 3 1 0 0 0 0 1 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 2 0 1 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 2 1 0 0 0 0 0 0 1 0 1 0 0 1 2 0 0 0 2 0 0 0 1 0 0 1 0 0 0 1 0 3 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"earnest" 1 0 0 0 0 0 1 3 1 2 2 0 0 3 1 1 0 1 1 0 0 0 0 0 5 1 0 0 0 2 1 0 1 0 1 1 0 1 0 4 0 0 0 0 1 1 0 4 1 1 1 2 2 0 0 1 0 2 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 1 1 1 0 0 0 0 1 2 1 0 1 1 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 1 1 0 0 1 0 1 1 1 0 0 1 0 1 0 0 4 0 0 2 2 1 1 0 0 2 1 0 0 0 1 5 0 6 0 2 1 1 2 1 1 1 1 3 1 1 0 0 0 4 0 1 1 1 0 2 1 1 2 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 2 1 1 1 0
"elegant" 1 0 0 0 0 0 0 1 0 1 2 1 0 1 0 1 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 1 1 0 0 2 0 1 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 2 0 0 0 0 0 1 2 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0
"exact" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0
"excessive" 0 0 1 0 1 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 3 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 3 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0
"expressive" 0 0 1 0 0 0 1 1 0 0 0 0 0 3 2 2 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 1 0 0 2 0 2 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 1 1 1 0 1 0 2 2 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 1 0 0 0
"faithful" 0 0 1 1 0 0 0 1 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 4 3 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 1 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 2 0 1 0 0 0 1 0 0 2 0 1 2 1 0 1 1 0 0 1 1 0 0 0 0 1 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 2 0 1 1 1 0
"fearful" 0 0 1 0 0 0 2 1 0 1 0 0 0 0 1 3 0 0 2 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 3 0 1 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 2 0 2 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0
