"accomplished" "active" "adventurous" "affable" "affectionate" "agreeable" "ambitious" "amiable" "angelic" "anxious" "bitter" "blunt" "bold" "brave" "bright" "brisk" "calm" "capable" "capricious" "careful" "careless" "certain" "cheerful" "childish" "clever" "coarse" "cold" "complacent" "confident" "confused" "considerate" "constant" "constrained" "contented" "conversational" "cool" "cordial" "cruel" "curious" "dainty" "deep" "defiant" "determined" "devilish" "dignified" "direct" "disdainful" "distant" "dull" "dutiful" "eager" "earnest" "elegant" "emphatic" "exact" "excessive" "expressive" "faithful" "fearful" "fervent" "fierce" "fiery" "foolish" "forgetful" "formal" "frank" "friendly" "gallant" "generous" "genial" "genteel" "gentle" "gloomy" "graceful" "gracious" "gruff" "hasty" "haughty" "honest" "hospitable" "humble" "ignorant" "immovable" "impatient" "impetuous" "inconsistent" "independent" "indifferent" "inexperienced" "inflexible" "ingenious" "ingenuous" "intellectual" "intense" "intimate" "irrepressible" "jealous" "juvenile" "kind" "lively" "loud" "loving" "mercenary" "merry" "mild" "modest" "moral" "narrow" "natural" "negative" "nervous" "observant" "original" "particular" "passionate" "patient" "peaceful" "pensive" "pleasant" "polished" "polite" "practical" "presumptuous" "profound" "proper" "proud" "punctual" "quick" "quiet" "reasonable" "reckless" "reproachful" "respectful" "restless" "rigid" "rough" "sarcastic" "scornful" "selfish" "sensitive" "serene" "serious" "severe" "silent" "simple" "sincere" "slow" "smart" "social" "solemn" "steady" "stern" "stormy" "stubborn" "submissive" "sullen" "sunny" "suspicious" "tender" "thoughtful" "tight" "timid" "tough" "unkind" "unreasonable" "vague" "vain" "vigorous" "violent" "warm" "wild" "womanly" "worldly" "voluptuous" "wise"
"conversational" 0 0 0 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 2 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0
"cool" 1 0 0 1 1 1 0 0 0 0 1 0 1 1 1 1 4 2 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 0 1 1 0 0 1 2 0 0 0 0 1 0 0 0 1 2 1 0 2 1 0 1 1 0 0 1 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 2 0 1 0 3 0 0 1 0 2 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 2 1 0 0 0 0 0
"cordial" 0 0 0 0 1 0 0 0 0 1 1 0 1 0 2 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0
"cruel" 2 1 1 1 0 0 0 1 0 2 2 1 2 1 4 0 3 1 1 1 0 1 2 2 0 0 6 0 0 0 0 2 1 0 0 0 0 0 0 1 5 0 0 1 0 1 0 3 3 0 1 4 0 0 2 0 0 0 0 1 3 1 0 0 0 0 1 1 0 0 0 2 0 1 0 1 2 0 1 0 1 0 0 1 0 0 1 1 1 0 0 0 1 2 0 1 1 2 4 0 0 2 1 0 1 1 1 1 5 0 0 0 2 2 1 2 0 1 1 0 0 0 1 0 0 6 0 5 5 0 0 2 0 1 0 0 2 0 0 1 1 2 0 1 2 0 1 0 1 3 3 1 0 0 1 3 1 1 0 3 1 2 1 1 0 0 0 0 0 2 8 1 1 0 0
"curious" 0 0 0 0 0 2 0 0 0 3 1 0 3 1 1 0 1 2 1 3 0 1 0 1 1 0 4 0 0 1 0 0 1 0 0 1 0 0 0 0 6 0 0 1 0 2 0 3 1 0 0 2 1 1 2 0 2 0 1 1 0 0 2 0 0 1 0 0 0 1 3 2 0 1 4 1 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 6 0 1 0 0 0 1 4 1 1 4 0 0 0 1 4 0 0 0 0 2 0 1 0 1 0 0 6 0 0 5 2 0 0 0 2 0 1 0 0 0 1 0 0 1 5 0 1 1 0 0 2 1 1 0 0 0 0 1 0 3 1 1 1 0 0 0 2 0 0 2 3 2 1 1 0 0
"dainty" 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 5 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 1 1 1 3 0 0 0 1 1 2 0 0 2 1 0 0 0 0 0 0 5 0 0 2 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 2 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 2 0 0 1 0
"deep" 2 4 1 1 2 3 1 3 1 2 1 0 9 2 11 1 6 1 1 0 2 8 5 6 2 1 13 0 1 5 0 3 0 0 0 0 0 5 6 5 0 0 2 1 0 2 2 9 5 0 1 7 1 3 3 0 3 2 2 2 3 1 1 1 1 0 4 2 3 1 0 9 3 3 2 4 2 4 5 1 2 2 0 2 1 1 0 3 3 3 3 1 2 2 1 1 5 4 7 1 4 2 2 2 3 2 3 1 10 0 1 2 4 7 2 6 1 2 10 1 0 3 0 2 1 17 1 4 12 0 1 0 1 0 1 6 2 1 1 1 5 2 1 7 3 1 3 0 1 7 6 2 1 1 1 2 1 1 3 3 4 5 1 0 0 3 0 3 3 4 7 1 1 2 2
"defiant" 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 2 0 1 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 0 4 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 1 0 1 1 0 0 0 0
"determined" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 1 1 0 3 0 0 0 0 1 0 0 1 0 0 0 0 0 2 0 0 1 0 1 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 1 2 2 1 0 0 2 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 1 1 1 0 0 1 0 4 0 2 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 2 0 0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 1 2 0 0 0 2
"devilish" 7 0 0 1 1 1 2 4 1 1 0 2 2 1 1 1 2 0 2 1 1 4 1 0 0 1 1 1 1 0 0 3 0 0 0 1 0 1 1 1 1 0 1 0 1 0 1 0 1 0 0 3 1 0 0 2 0 2 1 0 0 0 2 0 0 1 1 2 1 0 1 1 3 2 1 0 0 2 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 2 2 2 4 1 1 1 0 2 1 1 0 1 2 1 1 1 3 1 0 1 1 2 0 0 0 0 1 0 9 0 0 2 1 0 0 1 1 0 1 0 0 0 2 0 2 1 6 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 2 3 1 2 0 0 1 1 0 1 1 1 0 0 0 0
"dignified" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 3 0 0 0 0 1 0 2 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 2 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"direct" 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 1 2 0 2 0 1 0 0 0 1 1 0 0 1 1 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 1 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"disdainful" 0 0 0 0 1 0 0 1 0 1 0 0 2 1 3 0 2 0 0 0 0 3 0 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 1 0 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 0 1 1 0 1 1 1 0 0 0 3 1 0 1 0 0 0 1 0 0 1 0 2 0 0 0 1 1 0 2 0 0 1 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 5 1 1 2 0 1 0 1 0 0 1 0 1 0 1 0 0 1 3 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 1 2 0 0 1 0
"distant" 0 0 1 0 2 2 1 0 0 6 1 1 2 0 8 1 2 3 2 1 0 3 0 0 0 2 8 1 0 1 1 3 0 1 1 1 1 3 3 1 9 2 2 0 0 1 1 0 8 2 0 2 1 1 0 2 1 0 0 0 5 1 0 0 1 0 0 0 1 0 3 5 3 3 0 0 0 8 2 0 1 0 1 1 2 0 0 0 1 1 0 0 0 2 0 2 1 0 0 0 2 1 1 1 3 1 1 1 4 0 0 1 2 1 0 2 0 1 0 0 2 2 1 1 0 9 0 5 10 0 0 0 0 2 2 3 1 1 0 2 2 1 0 6 2 0 2 1 3 5 4 1 0 1 0 3 1 3 3 1 1 2 1 1 0 4 1 0 1 4 8 0 0 1 1
"dull" 1 1 1 0 0 2 0 1 0 2 2 1 0 1 7 0 4 1 0 3 2 5 4 1 0 1 6 0 0 1 0 5 0 0 0 1 1 3 1 0 5 1 3 1 0 0 1 8 0 1 0 2 1 2 1 0 1 0 0 0 2 2 1 1 0 2 0 0 1 0 4 5 2 3 4 0 0 4 3 1 2 0 1 0 0 1 0 1 1 0 2 0 1 1 0 1 0 0 4 1 1 1 1 1 2 1 1 1 5 1 2 0 2 2 1 2 0 2 5 2 2 1 1 2 0 6 0 2 3 0 0 0 0 1 2 4 1 1 0 3 3 2 2 4 1 0 2 1 0 6 2 1 1 2 0 2 0 1 2 0 1 1 2 1 1 2 0 1 0 4 1 0 0 0 0
"dutiful" 0 0 0 0 0 0 1 1 0 0 1 0 1 0 1 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0
"eager" 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 5 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 4 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 2 0 3 0 0 0 1
"earnest" 1 0 0 0 4 1 2 1 1 2 1 1 2 1 7 0 1 0 1 2 0 6 2 3 0 0 3 0 1 0 1 1 2 1 0 0 1 4 2 0 7 0 0 3 1 1 0 2 2 0 5 0 0 2 3 0 1 1 0 0 2 0 0 1 1 2 1 1 2 0 1 5 0 2 2 2 1 3 1 0 1 1 0 0 0 1 1 4 1 2 0 0 0 1 0 0 0 2 8 1 0 2 1 1 1 3 0 0 7 0 0 0 0 3 0 2 0 0 2 0 0 0 0 2 2 11 0 4 6 0 2 0 1 1 1 2 0 0 0 0 1 2 3 6 1 0 1 0 0 1 2 2 0 0 1 1 2 0 2 3 3 0 1 1 0 2 0 0 3 3 5 1 0 0 3
"elegant" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 5 0 0 1 0 0 0 0 0 1 0 0 1 0 1 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 3 1 0 3 3 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 1 1 1 0 1 0 0 1 1 0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 1 3 0 0 2 0 0 0 1 0 0 1 0 1 0 1 0 0 0 2 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 2 0 0 1 0
"emphatic" 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 3 0 0 0 0 1 0 0 0 1 0 0 1 0 3 0 0 0 0 1 0 1 2 0 0 2 1 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 2 1 0 1 0 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 3 0 0 0 1 1 0 0 0 0 2 0 0 0 0 1 0 4 0 1 1 0 0 0 0 0 1 1 1 0 0 1 0 1 1 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1
"exact" 0 0 0 1 1 1 0 0 0 1 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 4 1 0 0 0 1 1 0 0 0 0 2 2 0 3 0 0 0 0 0 0 0 1 0 0 3 0 1 0 0 1 0 0 1 0 0 1 0 0 0 3 0 0 0 0 1 0 1 1 0 1 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 1 1 4 0 0 1 2 4 0 0 0 0 1 0 1 0 0 1 0 3 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 2 0 0 1 0 1 1 1 0 0 0 0 0 1 0 1 0 1 0 0 2 1 0 0 0 1 2 1 1 0 0 1
"excessive" 0 0 0 0 1 0 0 0 2 1 0 0 1 1 1 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 2 0 1 2 0 0 0 1 0 0 0 0 0 1 0 1 2 1 2 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1
"expressive" 2 0 1 0 0 4 0 1 0 1 1 0 3 1 4 1 0 0 0 1 1 7 1 0 0 1 4 0 0 0 0 0 1 1 0 1 0 0 2 0 3 0 0 0 0 2 1 1 1 1 0 1 0 2 1 0 0 2 2 0 0 0 1 0 0 1 2 0 1 0 1 1 0 0 3 1 0 2 2 0 2 0 0 1 1 0 0 2 0 1 0 0 0 1 1 0 1 1 1 1 0 0 0 1 2 0 0 0 1 0 0 0 0 4 0 1 0 0 4 0 0 2 0 2 1 5 0 3 1 0 0 0 1 0 0 0 0 0 0 1 1 0 2 1 1 1 0 1 1 0 2 2 1 0 0 0 0 0 2 0 1 1 0 0 0 2 0 0 1 4 1 0 1 0 0
"faithful" 1 0 0 1 0 2 0 0 0 0 0 1 2 0 3 1 2 0 1 0 0 3 3 1 0 0 2 1 0 1 1 3 0 0 0 2 1 0 0 0 2 0 0 2 0 0 0 0 0 1 0 1 1 0 0 0 2 0 0 1 0 0 1 0 0 0 2 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 2 1 0 0 2 0 0 0 0 1 1 3 1 1 1 0 0 0 0 2 1 2 0 0 0 0 1 0 1 2 0 1 0 0 0 1 0 2 3 0 1 4 0 1 0 2 1 0 4 0 0 0 0 1 0 1 2 1 1 0 0 1 1 0 0 0 0 0 0 1 0 2 1 1 0 2 0 0 1 0 1 0 0 2 0 1 0 0
"fearful" 0 0 0 0 1 1 0 0 1 0 0 0 2 0 2 0 0 0 1 1 0 3 0 0 0 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 2 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 1 0 0 2 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 4 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 2 1 2 0 0 0 0
"fervent" 1 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0
"fierce" 0 0 0 0 0 0 0 0 0 1 1 0 1 0 4 1 3 1 1 0 0 5 1 2 0 1 5 0 0 0 0 1 0 0 0 0 0 3 0 0 3 0 0 0 0 0 1 5 2 0 2 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 2 2 0 0 0 0 1 1 0 1 0 0 1 2 1 0 3 0 0 0 0 1 1 0 0 1 0 1 2 3 0 0 1 2 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 5 0 4 3 0 0 1 0 0 0 0 0 0 0 0 1 1 0 3 1 0 1 0 1 3 0 0 0 0 0 0 1 1 0 1 1 1 0 1 0 1 2 0 2 2 5 0 1 0 1
"fiery" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 1 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 2 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0
"foolish" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 1 3 0 1 1 0 1 0 0 0 1 0 0 2 0 1 0 0 2 1 0 0 0 1 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 1 0 0 0 0 0 0 1 1 4 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 1 0 0 1 0 0 1 2 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0
"forgetful" 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 3 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 1 0 0 0 0
"formal" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 2 0 1 0 0 0 0 1 0 2 2 0 0 0 0 1 1 0 1 1 0 0 0 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 2 0 0 0 0
"frank" 2 0 1 0 0 1 0 2 0 1 1 0 1 0 6 0 1 0 0 0 0 3 2 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 2 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 1 0 0 0 2 2 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 1 0 1 1 0 3 0 0 1 0 1 0 1 0 1 3 0 0 1 0 1 0 5 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 1 0 1 0 1 1 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 2 0 0 1 2 0 0 0 0
"friendly" 1 2 0 0 0 4 0 1 0 2 1 1 1 0 3 0 0 0 0 0 0 4 0 0 0 0 4 1 1 0 1 1 1 0 1 1 1 1 0 0 4 0 1 1 0 0 0 0 0 0 0 1 0 1 3 0 2 2 0 1 0 0 0 0 0 0 0 0 1 0 1 2 0 1 3 0 0 0 2 2 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 3 3 0 0 0 0 0 0 2 1 3 0 0 0 0 7 0 1 0 0 2 0 0 2 1 2 0 7 0 5 3 1 0 0 1 0 0 3 0 0 1 0 3 2 2 4 1 1 1 0 3 0 2 0 0 1 0 1 0 1 1 1 2 1 4 0 0 0 0 0 3 4 0 0 1 0 0
"gallant" 2 0 0 1 2 0 0 1 0 0 0 0 2 1 2 1 3 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 2 0 1 0 0 2 0 1 2 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 2 2 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 1 1 0 2 1 1 0 0 1 0 1 0 0 2 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 2 0 0 0 0 0 0
"generous" 0 0 0 0 0 1 1 1 1 1 1 0 1 1 2 0 0 1 0 0 0 3 1 0 0 0 2 0 0 0 2 1 0 0 0 1 1 0 0 1 3 1 1 1 0 1 1 1 1 0 0 2 0 0 0 2 1 1 1 1 0 1 0 1 0 2 1 1 0 1 0 3 1 0 0 1 0 1 1 1 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 1 1 2 0 0 0 2 1 0 2 0 1 2 1 0 0 1 1 0 4 1 4 4 1 0 0 0 1 0 1 0 1 1 0 1 0 1 2 2 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 2 1 1
"genial" 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0
