"accomplished" "active" "adventurous" "affable" "affectionate" "agreeable" "amiable" "anxious" "aristocratic" "audacious" "awkward" "bitter" "bold" "brave" "bright" "calm" "candid" "capable" "capricious" "careful" "careless" "certain" "cheerful" "childish" "clever" "coarse" "cold" "compassionate" "complacent" "complimentary" "confident" "confused" "congenial" "considerate" "constant" "contradictory" "contrary" "conversational" "cool" "cordial" "cruel" "curious" "dainty" "deep" "defiant" "dependent" "determined" "dignified" "direct" "disdainful" "distant" "distrustful" "dull" "dutiful" "eager" "earnest" "earthy" "elegant" "eloquent" "emphatic" "energetic" "exact" "expressive" "faithful" "fearful" "fierce" "fiery" "foolish" "formal" "frank" "friendly" "gallant" "generous" "genial" "genteel" "gentle" "gloomy" "graceful" "gracious" "hasty" "haughty" "hearty" "honest" "hospitable" "humble" "immovable" "impatient" "indifferent" "industrious" "inflexible" "ingenuous" "inquisitive" "intellectual" "intelligent" "intemperate" "intense" "inward" "jealous" "kind" "languid" "literal" "lively" "loud" "loving" "mercenary" "merry" "methodical" "mild" "modest" "moral" "murderous" "musical" "narrow" "natural" "nervous" "observant" "orderly" "original" "particular" "patient" "peaceful" "placid" "playful" "pleasant" "polite" "practical" "profound" "proper" "proud" "prudent" "punctual" "quick" "quiet" "reasonable" "reproachful" "respectful" "responsible" "restless" "rigid" "rough" "selfish" "sensitive" "serene" "serious" "severe" "shrewd" "shy" "silent" "simple" "slow" "social" "solemn" "speedy" "spirited" "sprightly" "stable" "stalwart" "steady" "stern" "strict" "sunny" "suspicious" "tender" "thoughtful" "tight" "timid" "unreasonable" "unvarying" "vague" "violent" "vivacious" "warm" "whimsical" "wild" "zealous" "worldly" "vigorous" "wise" "vain"
"expressive" 0 1 0 0 2 2 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 2 0 0 2 0 0 0 0 0 0 0 1 1 1 0 1 0 1 0 0 3 0 0 1 0 0 1 0 1 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 2 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 1 0 2 2 0 0 0 0 2 1 0 0 1 0 1 1 0 0 2 0 0 2 0 1 0 0 1 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 2 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
"faithful" 1 2 0 0 3 3 3 1 0 1 0 0 2 0 2 0 1 0 0 2 0 8 3 1 1 1 1 0 0 1 0 3 0 0 1 1 0 0 0 0 1 3 0 3 0 1 1 0 1 1 3 0 0 1 1 2 0 2 0 0 0 0 0 0 1 0 1 1 0 0 0 1 1 1 0 3 0 0 1 0 0 0 1 0 1 0 0 2 1 0 0 1 0 0 0 1 0 1 1 1 0 0 0 1 1 0 0 0 0 1 0 1 1 6 0 1 0 0 3 2 0 0 0 2 1 0 0 0 3 0 0 3 3 1 0 1 0 2 0 1 1 1 0 2 1 0 1 2 1 0 1 2 0 0 2 0 0 2 0 1 0 0 0 0 0 1 1 1 0 1 0 0 0 1 3 0 0 0 2
"fearful" 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 3 0 0 0 0 2 0 0 1 0 0 0 1 0 1 1 0 2 0 0 1 0 0 0 2 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 3 0 1 0 0 1 0 0 1 0 2 0 0 0 4 0 0 0 1 0 0 2 0 0 0 0 0 0 2 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0
"fierce" 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 2 1 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"fiery" 1 0 0 0 1 0 0 1 0 0 0 0 0 0 2 1 0 0 1 1 0 3 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 1 0
"foolish" 1 0 0 0 0 3 3 0 0 0 0 0 1 0 3 1 0 1 0 0 0 3 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 3 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 3 2 0 0 0 1 0 0 0 0 0 4 0 1 0 0 1 0 0 2 1 0 0 1 0 0 0 2 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 2 0 0 0 0 0 0 3 1 1 0 0 0
"formal" 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
"frank" 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 1 0 0 1 1 0
"friendly" 0 0 0 0 1 2 1 2 0 0 0 0 1 0 3 1 0 1 1 1 1 3 2 0 1 0 2 0 0 0 0 0 0 2 1 0 1 1 3 0 0 1 0 3 0 1 0 0 1 0 0 0 3 0 1 1 0 0 0 2 0 0 1 0 0 0 1 1 0 0 0 0 1 2 1 0 1 0 0 3 0 0 3 0 1 2 0 1 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 2 0 2 3 6 1 0 0 0 5 0 0 0 0 4 0 1 0 1 1 0 0 2 1 1 0 0 0 0 0 3 2 0 0 1 1 1 0 1 1 2 0 0 0 1 0 1 0 2 0 0 1 1 0 2 1 0 1 0 1 1 0 0 0 2 0 1 0 0 0
"gallant" 1 1 0 0 2 1 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"generous" 2 1 0 0 0 3 2 1 0 0 0 1 0 3 2 0 0 0 0 1 1 5 2 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 1 1 0 0 1 0 0 2 0 1 1 1 2 0 1 1 1 2 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 3 0 1 0 0 2 0 1 0 1 3 0 1 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 3 0 1 0 2 0 1 0
"genial" 0 0 0 0 1 3 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 2 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 3 1 2 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 1 0 0 0
"genteel" 1 0 0 1 1 2 2 1 2 0 1 0 0 0 2 0 0 1 0 0 0 2 0 1 0 0 2 0 0 0 0 1 0 0 1 1 1 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 4 0 1 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 1 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 0 1 2 0 0 0 0 1 0 0 1 0 1 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 2 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 2 0 1 0 1 0 0 0 0 0
"gentle" 1 0 0 0 3 3 1 3 0 1 0 0 1 1 5 0 0 1 0 1 0 2 4 2 0 0 1 0 0 1 0 3 1 0 0 0 0 0 3 1 0 2 1 0 0 0 0 0 0 0 2 0 0 2 1 1 0 0 1 0 1 1 0 3 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 3 0 0 0 0 1 1 0 1 1 0 0 0 0 0 2 1 0 0 0 2 1 0 0 0 1 1 0 0 0 0 0 0 1 5 0 2 0 0 1 0 1 1 0 2 4 2 0 0 3 2 0 0 0 1 0 1 0 2 0 1 0 0 0 0 1 1 0 0 1 1 0 0 2 0 1 0 0 1 0 0
"gloomy" 0 3 0 0 1 1 0 2 1 0 1 0 1 1 1 1 0 0 0 1 0 1 2 1 1 1 7 0 2 0 0 1 0 0 2 0 0 0 3 0 1 3 0 2 0 0 1 0 0 0 2 0 4 0 2 1 2 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 2 0 1 0 0 0 1 0 0 0 0 1 1 1 2 2 1 0 0 1 0 1 0 0 0 0 1 1 1 1 0 2 0 2 0 1 0 0 1 1 2 2 1 1 0 0 3 0 1 0 0 0 1 1 0 2 3 1 0 0 4 1 0 1 1 1 0 1 0 0 0 1 0 1 0 4 1 3 0 2 1 0 0 1 0 3 2 0 1 0 0 1 0 0 2 0 1 0 0 3 0 3 0 1 1 0 0
"graceful" 1 0 1 1 1 1 1 0 1 0 0 0 0 0 2 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 3 0 1 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 1 0 0 0 0 0 1 1 0 1 2 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 2 0 0 2 1 1 0 0 0 1 0 0 0
"gracious" 0 2 0 1 2 1 2 2 1 0 0 2 1 1 3 0 0 1 0 0 0 3 1 1 1 0 3 0 1 0 1 1 0 0 0 2 0 0 0 1 0 3 0 1 0 0 1 0 0 0 2 0 2 0 1 0 0 1 0 0 0 1 2 1 0 0 1 0 0 0 0 1 2 0 1 1 1 1 0 1 1 0 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 1 0 5 0 1 0 2 3 1 1 1 0 2 1 0 4 1 2 1 0 2 3 0 0 0 2 2 1 0 0 0 0 0 2 0 1 3 1 0 0 0 0 0 1 0 0 2 0 0 0 0 1 3 1 1 1 0 0 1 0 1 0 2 0 0 0 1 0
"hasty" 0 0 0 0 1 0 0 3 0 0 0 1 0 0 1 0 0 0 0 3 1 1 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 2 1 0 0 0 3 1 0 0 0 0 0 2 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 3 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 1 1 1 0 1 1 0 1 2 1 0 0 0 2 0 1 1 0 1 0 0 0 1 0 0 1 1 5 0 0 0 2 0 1 0 0 1 0 2 1 0 0 1 1 1 0 0 0 0 0 1 0 2 0 0 0 0 2 1 1 0 1 1 1 0 1 0 0 0 0 0 0 1 0
"haughty" 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 2 0 1 1 0 1 0 0 0 2 0 0 0 0 1 0 1 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 2 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0
"hearty" 0 0 0 0 1 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 4 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"honest" 0 1 0 0 1 0 1 5 0 0 0 0 0 0 5 0 0 0 0 1 1 4 3 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 2 0 2 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 3 0 0 0 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 5 0 0 0 2 1 0 0 0 0 2 0 1 0 0 1 0 0 2 3 0 0 1 0 0 0 1 1 1 0 1 0 0 0 0 3 2 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 1 0 1 0 0 0 0 2 0 2 0 0 0
"hospitable" 0 0 0 0 1 2 0 0 0 0 0 1 0 0 2 0 0 0 0 1 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0
"humble" 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 2 0 0 1 0 2 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 4 1 2 0 0 4 0 0 1 0 1 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"immovable" 0 1 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 1 1 0 0 1 1 0 0 3 0 1 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 1 1 0 0 2 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 3 0 0 1 1 0 0 0 2 2 1 0 0 0 0 0 1 0 0 0 2 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 2 1 0 0 1 0
"impatient" 0 0 0 0 3 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 2 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 2 0 0 0 2 1 0 0 1 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0
"indifferent" 0 1 1 0 1 3 1 0 0 0 0 0 1 0 6 0 0 0 0 1 0 2 0 1 0 0 3 0 1 0 0 0 1 0 0 0 0 0 1 0 1 1 0 2 0 0 1 1 0 1 5 1 4 0 0 1 0 0 0 0 0 2 1 2 0 0 0 0 0 0 1 0 0 0 1 0 2 1 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 3 0 0 2 0 1 1 0 0 0 0 0 2 0 5 1 0 1 1 3 0 1 0 0 2 1 0 0 1 1 0 0 2 3 0 0 0 2 0 0 1 1 0 1 0 0 0 0 1 1 1 0 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 2 0 1 0 0 0 1 0
"industrious" 0 0 0 0 2 3 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 2 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 0 0 0 1 0 1 1 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 2 0 0 0 1 1 0 0 0 2 1 1 1 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0
"inflexible" 0 0 0 0 0 0 1 1 0 1 0 0 0 0 3 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 1 1 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0
"ingenuous" 0 1 0 0 0 3 0 0 0 0 0 0 0 0 3 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 2 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"inquisitive" 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"intellectual" 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1
"intelligent" 0 6 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0
"intemperate" 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0
"intense" 0 1 0 0 1 0 1 0 1 0 0 0 0 0 2 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"inward" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"jealous" 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 4 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 1 0 0 0 1 1 4 0 0 0 0 2 0 1 0 0 0 1 1 0 2 1 0 1 0 3 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0
