"","austen","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"650","boisterous",0,0,0,0,0,0,0
"651","bombastic",0,0,0,0,0,0,0
"652","boniform",0,0,0,0,0,0,0
"653","bookworm",0,0,0,0,0,0,0
"654","boswellian",0,0,0,0,0,0,0
"655","botcherly ",0,0,0,0,0,0,0
"656","bounceable",0,0,0,0,0,0,0
"657","brag",0,0,0,0,0,0,0
"658","bragless",0,0,0,0,0,0,0
"659","brahmin",0,0,0,0,0,0,0
"660","brainwood",0,0,0,0,0,0,0
"661","brave",0,0,0,0,0,0,0
"662","braver",0,0,0,0,0,0,0
"663","bravish",0,0,0,0,0,0,0
"664","brawlsome",0,0,0,0,0,0,0
"665","breachful",0,0,0,0,0,0,0
"666","breachy",0,0,0,0,0,0,0
"667","break-promise",0,0,0,0,0,0,0
"668","breme",0,0,0,0,0,0,0
"669","breviloquent",0,0,0,0,0,0,0
"670","brigandish",0,0,0,0,0,0,0
"671","brigetty",0,0,0,0,0,0,0
"672","brio",0,0,0,0,0,0,0
"673","briskish",0,0,0,0,0,0,0
"674","bristly",0,0,0,0,0,0,0
"675","broad-minded",0,0,0,0,0,0,0
"676","broad-spoken",0,0,0,0,0,0,0
"677","broiler",0,0,0,0,0,0,0
"678","broody",0,0,0,0,0,0,0
"679","brunhild",0,0,0,0,0,0,0
"680","brusque",0,0,0,0,0,0,0
"681","brutish",0,0,0,0,0,0,0
"682","bubbler",0,0,0,0,0,0,0
"683","buccaneer",0,0,0,0,0,0,0
"684","buck",0,0,0,0,0,0,0
"685","bucks",0,0,0,0,0,0,0
"686","bucko",0,0,0,0,0,0,0
"687","buckram",0,0,0,0,0,0,0
"688","bucolic",0,0,0,0,0,0,0
"689","buddhist",0,0,0,0,0,0,0
"690","buddhistic",0,0,0,0,0,0,0
"691","budge",0,0,0,0,0,0,0
"692","buff",0,0,0,0,0,0,0
"693","builder",0,0,0,0,0,0,0
"694","bully",0,0,0,0,0,0,0
"695","bullyhuff",0,0,0,0,0,0,0
"696","bullying ",0,0,0,0,0,0,0
"697","buoyant",0,0,0,0,0,0,0
"698","bureaucratic",0,0,0,0,0,0,0
"699","businesslike",0,0,0,0,0,0,0
"700","busybody",0,0,0,0,0,0,0
"701","busyish",0,0,0,0,0,0,0
"702","butterfly ",0,0,0,0,0,0,0
"703","buzzy",0,0,0,0,0,0,0
"704","byronic",0,0,0,0,0,0,0
"705","cabalist",0,0,0,0,0,0,0
"706","cabalistic",0,0,0,0,0,0,0
"707","cachinnatory",0,0,0,0,0,0,0
"708","cacodemonomaniac ",0,0,0,0,0,0,0
"709","cadish ",0,0,0,0,0,0,0
"710","caesarean",0,0,0,0,0,0,0
"711","cagy",0,0,0,0,0,0,0
"712","cajoler",0,0,0,0,0,0,0
"713","calcitrant",0,0,0,0,0,0,0
"714","calculable",0,0,0,0,0,0,0
"715","calculating",0,0,0,0,0,0,0
"716","caliban",0,0,0,0,0,0,0
"717","calisthenical",0,0,0,0,0,0,0
"718","called",0,0,0,0,0,0,0
"719","callous",0,0,0,0,0,0,0
"720","callow",0,0,0,0,0,0,0
"721","calophantic",0,0,0,0,0,0,0
"722","caluminiator",0,0,0,0,0,0,0
"723","calumniatory ",0,0,0,0,0,0,0
"724","calvinistic",0,0,0,0,0,0,0
"725","campaigner",0,0,0,0,0,0,0
"726","camper",0,0,0,0,0,0,0
"727","camshoch",0,0,0,0,0,0,0
"728","cams teary",0,0,0,0,0,0,0
"729","candlewaster",0,0,0,0,0,0,0
"730","canny",0,0,0,0,0,0,0
"731","canonist",0,0,0,0,0,0,0
"732","cant",0,0,0,0,0,0,0
"733","cantabrigians",0,0,0,0,0,0,0
"734","cantankerous",0,0,0,0,0,0,0
"735","canter",0,0,0,0,0,0,0
"736","cantish",0,0,0,0,0,0,0
"737","canty ",0,0,0,0,0,0,0
"738","caperer",0,0,0,0,0,0,0
"739","capernaitic",0,0,0,0,0,0,0
"740","capernaitish",0,0,0,0,0,0,0
"741","capernoited",0,0,0,0,0,0,0
"742","capitalistic",0,0,0,0,0,0,0
"743","capricious",0,0,0,0,0,0,0
"744","captious",0,0,0,0,0,0,0
"745","caressive",0,0,0,0,0,0,0
"746","caritative ",0,0,0,0,0,0,0
"747","cark",0,0,0,0,0,0,0
"748","cackled",0,0,0,0,0,0,0
"749","carnal",0,0,0,0,0,0,0
"750","carnal-minded",0,0,0,0,0,0,0
"751","carouser",0,0,0,0,0,0,0
"752","carper",0,0,0,0,0,0,0
"753","casalty",0,0,0,0,0,0,0
"754","castle-builder",0,0,0,0,0,0,0
"755","casuist",0,0,0,0,0,0,0
"756","casuistic",0,0,0,0,0,0,0
"757","capaphatic",0,0,0,0,0,0,0
"758","catawampous",0,0,0,0,0,0,0
"759","catechetical",0,0,0,0,0,0,0
"760","cat footed",0,0,0,0,0,0,0
"761","cathartic",0,0,0,0,0,0,0
"762","catholic",0,0,0,0,0,0,0
"763","catonian",0,0,0,0,0,0,0
"764","cautelous ",0,0,0,0,0,0,0
"765","cautious ",0,0,0,0,0,0,0
"766","cavalier",0,0,0,0,0,0,0
"767","cavalierly ",0,0,0,0,0,0,0
"768","caviler",0,0,0,0,0,0,0
"769","cavilous",0,0,0,0,0,0,0
"770","celebrative",0,0,0,0,0,0,0
"771","celibatarian ",0,0,0,0,0,0,0
"772","celibate",0,0,0,0,0,0,0
"773","cenobian",0,0,0,0,0,0,0
"774","censorious",0,0,0,0,0,0,0
"775","cerative",0,0,0,0,0,0,0
"776","ceremonialist",0,0,0,0,0,0,0
"777","cervantic",0,0,0,0,0,0,0
"778","chaffer",0,0,0,0,0,0,0
"779","chambering",0,0,0,0,0,0,0
"780","chameleon",0,0,0,0,0,0,0
"781","chameleonic",0,0,0,0,0,0,0
"782","chameleonlike ",0,0,0,0,0,0,0
"783","changeful",0,0,0,0,0,0,0
"784","changer",0,0,0,0,0,0,0
"785","chary",0,0,0,0,0,0,0
"786","chaste",0,0,0,0,0,0,0
"787","chatterer",0,0,0,0,0,0,0
"788","chauvinist",0,0,0,0,0,0,0
"789","chauvinistic",0,0,0,0,0,0,0
"790","cheat",0,0,0,0,0,0,0
"791","cheater",0,0,0,0,0,0,0
"792","checker",0,0,0,0,0,0,0
"793","cheerer",0,0,0,0,0,0,0
"794","cheery",0,0,0,0,0,0,0
"795","cheeseparing",0,0,0,0,0,0,0
"796","chesterfieldian",0,0,0,0,0,0,0
"797","chevalier",0,0,0,0,0,0,0
"798","cheesing",0,0,0,0,0,0,0
"799","chicaner",0,0,0,0,0,0,0
"800","chider",0,0,0,0,0,0,0
"801","chiffonier",0,0,0,0,0,0,0
"802","childlike",0,0,0,0,0,0,0
"803","chimerical",0,0,0,0,0,0,0
"804","chipper",0,0,0,0,0,0,0
"805","chirper",0,0,0,0,0,0,0
"806","chirpy ",0,0,0,0,0,0,0
"807","chirrupy",0,0,0,0,0,0,0
"808","chiseling",0,0,0,0,0,0,0
"809","chivalresque ",0,0,0,0,0,0,0
"810","chivalrous",0,0,0,0,0,0,0
"811","choleric",0,0,0,0,0,0,0
"812","chopper",0,0,0,0,0,0,0
"813","choruses",0,0,0,0,0,0,0
"814","chrematistic",0,0,0,0,0,0,0
"815","chrestomathic",0,0,0,0,0,0,0
"816","christianise",0,0,0,0,0,0,0
"817","christlike",0,0,0,0,0,0,0
"818","christocentric",0,0,0,0,0,0,0
"819","chrysophilist ",0,0,0,0,0,0,0
"820","chuckler",0,0,0,0,0,0,0
"821","ciceronian ",0,0,0,0,0,0,0
"822","circumambagious",0,0,0,0,0,0,0
"823","circumlocution",0,0,0,0,0,0,0
"824","circumstantial",0,0,0,0,0,0,0
"825","civil ",0,0,0,0,0,0,0
"826","clack",0,0,0,0,0,0,0
"827","clairaudient",0,0,0,0,0,0,0
"828","clairvoyant ",0,0,0,0,0,0,0
"829","clam",0,0,0,0,0,0,0
"830","clangorous",0,0,0,0,0,0,0
"831","clannish",0,0,0,0,0,0,0
"832","clash",0,0,0,0,0,0,0
"833","clashy",0,0,0,0,0,0,0
"834","classic",0,0,0,0,0,0,0
"835","classicist",0,0,0,0,0,0,0
"836","clat",0,0,0,0,0,0,0
"837","clatterer",0,0,0,0,0,0,0
"838","clattern",0,0,0,0,0,0,0
"839","clattery",0,0,0,0,0,0,0
"840","clatty",0,0,0,0,0,0,0
"841","clean-fingered",0,0,0,0,0,0,0
"842","cleanly",0,0,0,0,0,0,0
"843","cleeky ",0,0,0,0,0,0,0
"844","clericalist ",0,0,0,0,0,0,0
"845","clark",0,0,0,0,0,0,0
"846","clerkish",0,0,0,0,0,0,0
"847","clinger",0,0,0,0,0,0,0
"848","clingy ",0,0,0,0,0,0,0
"849","cliquish",0,0,0,0,0,0,0
"850","cloistered",0,0,0,0,0,0,0
"851","closefisted",0,0,0,0,0,0,0
"852","close-mouthed",0,0,0,0,0,0,0
"853","clubbish",0,0,0,0,0,0,0
"854","clubby",0,0,0,0,0,0,0
"855","clum",0,0,0,0,0,0,0
"856","clumse",0,0,0,0,0,0,0
"857","clumsy",0,0,0,0,0,0,0
"858","cluttery",0,0,0,0,0,0,0
"859","cobby",0,0,0,0,0,0,0
"860","cockalorum",0,0,0,0,0,0,0
"861","cockle",0,0,0,0,0,0,0
"862","cocky",0,0,0,0,0,0,0
"863","cogitative",0,0,0,0,0,0,0
"864","cognitive",0,0,0,0,0,0,0
"865","coldish",0,0,0,0,0,0,0
"866","collar-proud",0,0,0,0,0,0,0
"867","collectivist",0,0,0,0,0,0,0
"868","colloquialist",0,0,0,0,0,0,0
"869","combative",0,0,0,0,0,0,0
"870","combustible",0,0,0,0,0,0,0
"871","comedian",0,0,0,0,0,0,0
"872","come-outer",0,0,0,0,0,0,0
"873","coming",0,0,0,0,0,0,0
"874","comminatory",0,0,0,0,0,0,0
"875","commiserative ",0,0,0,0,0,0,0
"876","communistic",0,0,0,0,0,0,0
"877","companionable ",0,0,0,0,0,0,0
"878","complement",0,0,0,0,0,0,0
"879","competitory ",0,0,0,0,0,0,0
"880","complacent",0,0,0,0,0,0,0
"881","com plaintive",0,0,0,0,0,0,0
"882","compliable",0,0,0,0,0,0,0
"883","compliant",0,0,0,0,0,0,0
"884","comploicitous",0,0,0,0,0,0,0
"885","composer",0,0,0,0,0,0,0
"886","compromiser",0,0,0,0,0,0,0
"887","compulsive",0,0,0,0,0,0,0
"888","comradely",0,0,0,0,0,0,0
"889","conceity ",0,0,0,0,0,0,0
"890","concentrative",0,0,0,0,0,0,0
"891","conceptualist",0,0,0,0,0,0,0
"892","condensative",0,0,0,0,0,0,0
"893","confessor",0,0,0,0,0,0,0
"894","conflictive",0,0,0,0,0,0,0
"895","conformant",0,0,0,0,0,0,0
"896","conformist",0,0,0,0,0,0,0
"897","confraternal",0,0,0,0,0,0,0
"898","confutative",0,0,0,0,0,0,0
"899","congregative",0,0,0,0,0,0,0
"900","connoisseur",0,0,0,0,0,0,0
"901","conscionable",0,0,0,0,0,0,0
"902","consentient",0,0,0,0,0,0,0
"903","conservative",0,0,0,0,0,0,0
"904","nonsocial",0,0,0,0,0,0,0
"905","constrained",0,0,0,0,0,0,0
"906","constricted",0,0,0,0,0,0,0
"907","consuetudinary",0,0,0,0,0,0,0
"908","contained",0,0,0,0,0,0,0
"909","contemplative ",0,0,0,0,0,0,0
"910","contentious",0,0,0,0,0,0,0
"911","continent",0,0,0,0,0,0,0
"912","continuing",0,0,0,0,0,0,0
"913","contradictions",0,0,0,0,0,0,0
"914","contrary-minded",0,0,0,0,0,0,0
"915","controversialist",0,0,0,0,0,0,0
"916","contumacious",0,0,0,0,0,0,0
"917","contumelious",0,0,0,0,0,0,0
"918","conventional",0,0,0,0,0,0,0
"919","conventionalist",0,0,0,0,0,0,0
"920","conversational",0,0,0,0,0,0,0
"921","conversation",0,0,0,0,0,0,0
"922","convictive",0,0,0,0,0,0,0
"923","cool ",0,0,0,0,0,0,0
"924","cool-headed",0,0,0,0,0,0,0
"925","coolish",0,0,0,0,0,0,0
"926","cooperative",0,0,0,0,0,0,0
"927","coquet",0,0,0,0,0,0,0
"928","coquette",0,0,0,0,0,0,0
"929","coquettish",0,0,0,0,0,0,0
"930","cormorant",0,0,0,0,0,0,0
"931","corporealist ",0,0,0,0,0,0,0
"932","cosh",0,0,0,0,0,0,0
"933","cosmogonist",0,0,0,0,0,0,0
"934","cosmolatrous",0,0,0,0,0,0,0
"935","consolable ",0,0,0,0,0,0,0
"936","councelful",0,0,0,0,0,0,0
"937","courageous",0,0,0,0,0,0,0
"938","courteous ",0,0,0,0,0,0,0
"939","courtier",0,0,0,0,0,0,0
"940","couthie",0,0,0,0,0,0,0
"941","covetous",0,0,0,0,0,0,0
"942","covinous",0,0,0,0,0,0,0
"943","coxy",0,0,0,0,0,0,0
"944","coy",0,0,0,0,0,0,0
"945","crabbed",0,0,0,0,0,0,0
"946","crabbiest",0,0,0,0,0,0,0
"947","crabby",0,0,0,0,0,0,0
"948","crack ",0,0,0,0,0,0,0
"949","crank",0,0,0,0,0,0,0
"950","cranky",0,0,0,0,0,0,0
"951","crenate",0,0,0,0,0,0,0
"952","creative ",0,0,0,0,0,0,0
"953","creepmouse",0,0,0,0,0,0,0
"954","criminaloid ",0,0,0,0,0,0,0
"955","cringing",0,0,0,0,0,0,0
"956","crisp",0,0,0,0,0,0,0
"957","crispy",0,0,0,0,0,0,0
"958","croaking",0,0,0,0,0,0,0
"959","croesus",0,0,0,0,0,0,0
"960","cross-bearer",0,0,0,0,0,0,0
"961","crotched ",0,0,0,0,0,0,0
"962","crotchetter",0,0,0,0,0,0,0
"963","crotchety",0,0,0,0,0,0,0
"964","crows",0,0,0,0,0,0,0
"965","crowder ",0,0,0,0,0,0,0
"966","cruel ",0,0,0,0,0,0,0
"967","crup ",0,0,0,0,0,0,0
"968","crusading",0,0,0,0,0,0,0
"969","cry-baby",0,0,0,0,0,0,0
"970","cryptic",0,0,0,0,0,0,0
"971","cully",0,0,0,0,0,0,0
"972","culturist",0,0,0,0,0,0,0
"973","cumulates",0,0,0,0,0,0,0
"974","cunctatious ",0,0,0,0,0,0,0
"975","cupidinous",0,0,0,0,0,0,0
"976","cupids",0,0,0,0,0,0,0
"977","curcuddoch",0,0,0,0,0,0,0
"978","curmudgeon",0,0,0,0,0,0,0
"979","curt",0,0,0,0,0,0,0
"980","curtal",0,0,0,0,0,0,0
"981","cutty",0,0,0,0,0,0,0
"982","cyclic",0,0,0,0,0,0,0
"983","cycloid ",0,0,0,0,0,0,0
"984","cynical",0,0,0,0,0,0,0
"985","cyprian",0,0,0,0,0,0,0
"986","dabbler",0,0,0,0,0,0,0
"987","daedal",0,0,0,0,0,0,0
"988","dainty",0,0,0,0,0,0,0
"989","dandy ",0,0,0,0,0,0,0
"990","dangler ",0,0,0,0,0,0,0
"991","dantesque",0,0,0,0,0,0,0
"992","daphnean",0,0,0,0,0,0,0
"993","dapper",0,0,0,0,0,0,0
"994","dare-devil",0,0,0,0,0,0,0
"995","dashing",0,0,0,0,0,0,0
"996","dateless",0,0,0,0,0,0,0
"997","dauber",0,0,0,0,0,0,0
"998","daunch",0,0,0,0,0,0,0
"999","dauntless",0,0,0,0,0,0,0
"1000","debauched",0,0,0,0,0,0,0
"1001","debonair",0,0,0,0,0,0,0
"1002","decietful",0,0,0,0,0,0,0
"1003","deceptive",0,0,0,0,0,0,0
"1004","decided",0,0,0,0,0,0,0
"1005","decorist",0,0,0,0,0,0,0
"1006","decorous",0,0,0,0,0,0,0
"1007","deedy",0,0,0,0,0,0,0
"1008","defeatist",0,0,0,0,0,0,0
"1009","deferential",0,0,0,0,0,0,0
"1010","defiant",0,0,0,0,0,0,0
"1011","definite",0,0,0,0,0,0,0
"1012","deft",0,0,0,0,0,0,0
"1013","dégagé ",0,0,0,0,0,0,0
"1014","deipnosophistic ",0,0,0,0,0,0,0
"1015","deistic ",0,0,0,0,0,0,0
"1016","delayful",0,0,0,0,0,0,0
"1017","deliberate ",0,0,0,0,0,0,0
"1018","deliberative ",0,0,0,0,0,0,0
"1019","demagogical",0,0,0,0,0,0,0
"1020","demiurgic",0,0,0,0,0,0,0
"1021","democratic",0,0,0,0,0,0,0
"1022","demonstrative ",0,0,0,0,0,0,0
"1023","demiphil",0,0,0,0,0,0,0
"1024","denunciative",0,0,0,0,0,0,0
"1025","dependable ",0,0,0,0,0,0,0
"1026","depersonalised",0,0,0,0,0,0,0
"1027","deprecatory",0,0,0,0,0,0,0
"1028","depressible",0,0,0,0,0,0,0
"1029","derider",0,0,0,0,0,0,0
"1030","descamisado",0,0,0,0,0,0,0
"1031","designful",0,0,0,0,0,0,0
"1032","desireless ",0,0,0,0,0,0,0
"1033","despiteful",0,0,0,0,0,0,0
"1034","despoteous",0,0,0,0,0,0,0
"1035","despotic",0,0,0,0,0,0,0
"1036","destinies",0,0,0,0,0,0,0
"1037","restrictionist",0,0,0,0,0,0,0
"1038","destructive ",0,0,0,0,0,0,0
"1039","detached",0,0,0,0,0,0,0
"1040","determined",0,0,0,0,0,0,0
"1041","detractory ",0,0,0,0,0,0,0
"1042","devil-dodger",0,0,0,0,0,0,0
"1043","devirginator",0,0,0,0,0,0,0
"1044","devotionate ",0,0,0,0,0,0,0
"1045","devout",0,0,0,0,0,0,0
"1046","dexterous",0,0,0,0,0,0,0
"1047","diabolist ",0,0,0,0,0,0,0
"1048","dialectic",0,0,0,0,0,0,0
"1049","diatribes",0,0,0,0,0,0,0
"1050","didactic",0,0,0,0,0,0,0
"1051","die-hard",0,0,0,0,0,0,0
"1052","digressive ",0,0,0,0,0,0,0
"1053","dilettant",0,0,0,0,0,0,0
"1054","dilettantish",0,0,0,0,0,0,0
"1055","diligent",0,0,0,0,0,0,0
"1056","ding-dong",0,0,0,0,0,0,0
"1057","dink",0,0,0,0,0,0,0
"1058","dinkum",0,0,0,0,0,0,0
"1059","diplomatic",0,0,0,0,0,0,0
"1060","disappointer",0,0,0,0,0,0,0
"1061","disciplinarian",0,0,0,0,0,0,0
"1062","discontentful",0,0,0,0,0,0,0
"1063","discoursive ",0,0,0,0,0,0,0
"1064","discourteous ",0,0,0,0,0,0,0
"1065","discriminative",0,0,0,0,0,0,0
"1066","discursive ",0,0,0,0,0,0,0
"1067","disdainful",0,0,0,0,0,0,0
"1068","dishonest",0,0,0,0,0,0,0
"1069","disimpassioned",0,0,0,0,0,0,0
"1070","disingenuous ",0,0,0,0,0,0,0
"1071","disintegrous",0,0,0,0,0,0,0
"1072","disobliging ",0,0,0,0,0,0,0
"1073","disorderly ",0,0,0,0,0,0,0
"1074","dispassionate",0,0,0,0,0,0,0
"1075","dispatchful",0,0,0,0,0,0,0
"1076","disputatious ",0,0,0,0,0,0,0
"1077","disquisitive ",0,0,0,0,0,0,0
"1078","dissembling",0,0,0,0,0,0,0
"1079","dissenter",0,0,0,0,0,0,0
"1080","dissentious",0,0,0,0,0,0,0
"1081","dissident",0,0,0,0,0,0,0
"1082","dissociable",0,0,0,0,0,0,0
"1083","dissocial",0,0,0,0,0,0,0
"1084","distempered ",0,0,0,0,0,0,0
"1085","distractible ",0,0,0,0,0,0,0
"1086","distrustful",0,0,0,0,0,0,0
"1087","disturber",0,0,0,0,0,0,0
"1088","divisive",0,0,0,0,0,0,0
"1089","docile",0,0,0,0,0,0,0
"1090","docility",0,0,0,0,0,0,0
"1091","doctrinaire",0,0,0,0,0,0,0
"1092","doctrinally",0,0,0,0,0,0,0
"1093","dodgy",0,0,0,0,0,0,0
"1094","doer",0,0,0,0,0,0,0
"1095","dogged",0,0,0,0,0,0,0
"1096","dogmatic",0,0,0,0,0,0,0
"1097","dolent",0,0,0,0,0,0,0
"1098","dolesome",0,0,0,0,0,0,0
"1099","dolorous ",0,0,0,0,0,0,0
"1100","dolose",0,0,0,0,0,0,0
"1101","dominative",0,0,0,0,0,0,0
"1102","domineering",0,0,0,0,0,0,0
"1103","don juan",0,0,0,0,0,0,0
"1104","donnish",0,0,0,0,0,0,0
"1105","dor",0,0,0,0,0,0,0
"1106","dorty",0,0,0,0,0,0,0
"1107","double-dealer",0,0,0,0,0,0,0
"1108","dounce",0,0,0,0,0,0,0
"1109","doughty",0,0,0,0,0,0,0
"1110","dour",0,0,0,0,0,0,0
"1111","dowf",0,0,0,0,0,0,0
"1112","dowly",0,0,0,0,0,0,0
"1113","dozy",0,0,0,0,0,0,0
"1114","drastic",0,0,0,0,0,0,0
"1115","drawcansir",0,0,0,0,0,0,0
"1116","dreamful",0,0,0,0,0,0,0
"1117","dreamy",0,0,0,0,0,0,0
"1118","dubitative ",0,0,0,0,0,0,0
"1119","dumpish",0,0,0,0,0,0,0
"1120","dumpy",0,0,0,0,0,0,0
"1121","duplicity",0,0,0,0,0,0,0
"1122","dure",0,0,0,0,0,0,0
"1123","duteous ",0,0,0,0,0,0,0
"1124","dynamist",0,0,0,0,0,0,0
"1125","dyspathetic",0,0,0,0,0,0,0
"1126","dysphoria",0,0,0,0,0,0,0
"1127","dysteleological",0,0,0,0,0,0,0
"1128","dysthymia ",0,0,0,0,0,0,0
"1129","eager ",0,0,0,0,0,0,0
"1130","ear-minded",0,0,0,0,0,0,0
"1131","baseless",0,0,0,0,0,0,0
"1132","easy-going",0,0,0,0,0,0,0
"1133","ebrious",0,0,0,0,0,0,0
"1134","ebullient",0,0,0,0,0,0,0
"1135","ecclesiolater ",0,0,0,0,0,0,0
"1136","echoing",0,0,0,0,0,0,0
"1137","éclat ",0,0,0,0,0,0,0
"1138","eclectic",0,0,0,0,0,0,0
"1139","effeminate ",0,0,0,0,0,0,0
"1140","effervescent ",0,0,0,0,0,0,0
"1141","efficient",0,0,0,0,0,0,0
"1142","effrontery",0,0,0,0,0,0,0
"1143","efflusive ",0,0,0,0,0,0,0
"1144","egoistic",0,0,0,0,0,0,0
"1145","egotistic",0,0,0,0,0,0,0
"1146","eleutheromaniac",0,0,0,0,0,0,0
"1147","elfish",0,0,0,0,0,0,0
"1148","elocutionary",0,0,0,0,0,0,0
"1149","elusive",0,0,0,0,0,0,0
"1150","embracive ",0,0,0,0,0,0,0
"1151","emotional",0,0,0,0,0,0,0
"1152","emotionalist",0,0,0,0,0,0,0
"1153","emotionless",0,0,0,0,0,0,0
"1154","empirical",0,0,0,0,0,0,0
"1155","empressement",0,0,0,0,0,0,0
"1156","me-rising",0,0,0,0,0,0,0
"1157","emulative",0,0,0,0,0,0,0
"1158","emulous",0,0,0,0,0,0,0
"1159","encomiastic",0,0,0,0,0,0,0
"1160","endeavour ",0,0,0,0,0,0,0
"1161","energic",0,0,0,0,0,0,0
"1162","energumen ",0,0,0,0,0,0,0
"1163","enterprising",0,0,0,0,0,0,0
"1164","entêté",0,0,0,0,0,0,0
"1165","enthusiastic ",0,0,0,0,0,0,0
"1166","entreprenant",0,0,0,0,0,0,0
"1167","envyful",0,0,0,0,0,0,0
"1168","ephectic",0,0,0,0,0,0,0
"1169","epicurean",0,0,0,0,0,0,0
"1170","epicurish ",0,0,0,0,0,0,0
"1171","epigrammatic",0,0,0,0,0,0,0
"1172","epistolarian ",0,0,0,0,0,0,0
"1173","epithymetic ",0,0,0,0,0,0,0
"1174","equable",0,0,0,0,0,0,0
"1175","equalitarian",0,0,0,0,0,0,0
"1176","equanimous ",0,0,0,0,0,0,0
"1177","equilibrious ",0,0,0,0,0,0,0
"1178","equivocatory ",0,0,0,0,0,0,0
"1179","eremitic",0,0,0,0,0,0,0
"1180","erethismic",0,0,0,0,0,0,0
"1181","eristic ",0,0,0,0,0,0,0
"1182","erotic",0,0,0,0,0,0,0
"1183","erotomaniac",0,0,0,0,0,0,0
"1184","erratic",0,0,0,0,0,0,0
"1185","erudite ",0,0,0,0,0,0,0
"1186","episègle",0,0,0,0,0,0,0
"1187","spirit",0,0,0,0,0,0,0
"1188","ethnizing",0,0,0,0,0,0,0
"1189","eudaemonist",0,0,0,0,0,0,0
"1190","eulogistic",0,0,0,0,0,0,0
"1191","euphoric",0,0,0,0,0,0,0
"1192","evangelistic",0,0,0,0,0,0,0
"1193","evasive",0,0,0,0,0,0,0
"1194","even-handed",0,0,0,0,0,0,0
"1195","even-minded",0,0,0,0,0,0,0
"1196","exacting",0,0,0,0,0,0,0
"1197","exaggerative",0,0,0,0,0,0,0
"1198","exanimate",0,0,0,0,0,0,0
"1199","exceptions",0,0,0,0,0,0,0
"1200","excitable",0,0,0,0,0,0,0
"1201","exclusive",0,0,0,0,0,0,0
"1202","excusatory",0,0,0,0,0,0,0
"1203","exhibitionist",0,0,0,0,0,0,0
"1204","expansive",0,0,0,0,0,0,0
"1205","expatiatory",0,0,0,0,0,0,0
"1206","expediential",0,0,0,0,0,0,0
"1207","exploitative",0,0,0,0,0,0,0
"1208","explosive",0,0,0,0,0,0,0
"1209","expressionist",0,0,0,0,0,0,0
"1210","extortionate",0,0,0,0,0,0,0
"1211","extraregarding",0,0,0,0,0,0,0
"1212","extremist",0,0,0,0,0,0,0
"1213","extortive",0,0,0,0,0,0,0
"1214","extroverted",0,0,0,0,0,0,0
"1215","eyeful",0,0,0,0,0,0,0
"1216","eye-minded",0,0,0,0,0,0,0
"1217","fabricative",0,0,0,0,0,0,0
"1218","facetious ",0,0,0,0,0,0,0
"1219","facient",0,0,0,0,0,0,0
"1220","facile",0,0,0,0,0,0,0
"1221","factual",0,0,0,0,0,0,0
"1222","factionary",0,0,0,0,0,0,0
"1223","factious",0,0,0,0,0,0,0
"1224","factish",0,0,0,0,0,0,0
"1225","facund",0,0,0,0,0,0,0
"1226","face",0,0,0,0,0,0,0
"1227","fad",0,0,0,0,0,0,0
"1228","faddle",0,0,0,0,0,0,0
"1229","faddy",0,0,0,0,0,0,0
"1230","fager",0,0,0,0,0,0,0
"1231","fainéant",0,0,0,0,0,0,0
"1232","faint-hearted",0,0,0,0,0,0,0
"1233","faithless",0,0,0,0,0,0,0
"1234","fal-lal",0,0,0,0,0,0,0
"1235","fallalish",0,0,0,0,0,0,0
"1236","falstaffian",0,0,0,0,0,0,0
"1237","famacide",0,0,0,0,0,0,0
"1238","familyish",0,0,0,0,0,0,0
"1239","fan",0,0,0,0,0,0,0
"1240","fanatical",0,0,0,0,0,0,0
"1241","fanfaron",0,0,0,0,0,0,0
"1242","fantasque",0,0,0,0,0,0,0
"1243","fantast",0,0,0,0,0,0,0
"1244","fantastical",0,0,0,0,0,0,0
"1245","farouche",0,0,0,0,0,0,0
"1246","fashionist",0,0,0,0,0,0,0
"1247","fashion-monger",0,0,0,0,0,0,0
"1248","fastish",0,0,0,0,0,0,0
"1249","fatuous",0,0,0,0,0,0,0
"1250","fatalistic",0,0,0,0,0,0,0
"1251","fatherly",0,0,0,0,0,0,0
"1252","fatidic",0,0,0,0,0,0,0
"1253","fatigable",0,0,0,0,0,0,0
"1254","fatigueless",0,0,0,0,0,0,0
"1255","faultfinding",0,0,0,0,0,0,0
"1256","faust",0,0,0,0,0,0,0
"1257","faustian",0,0,0,0,0,0,0
"1258","fawning",0,0,0,0,0,0,0
"1259","feel",0,0,0,0,0,0,0
"1260","fearnaught ",0,0,0,0,0,0,0
"1261","fearsome",0,0,0,0,0,0,0
"1262","feeder",0,0,0,0,0,0,0
"1263","feerie",0,0,0,0,0,0,0
"1264","fefnicute",0,0,0,0,0,0,0
"1265","fellow like",0,0,0,0,0,0,0
"1266","fenceful",0,0,0,0,0,0,0
"1267","fend",0,0,0,0,0,0,0
"1268","feral",0,0,0,0,0,0,0
"1269","ferocious",0,0,0,0,0,0,0
"1270","fervid",0,0,0,0,0,0,0
"1271","fess",0,0,0,0,0,0,0
"1272","festinate",0,0,0,0,0,0,0
"1273","festive",0,0,0,0,0,0,0
"1274","fetishist ",0,0,0,0,0,0,0
"1275","fictionist",0,0,0,0,0,0,0
