"accustomed" "afraid" "beautiful" "best" "calm" "capable" "careful" "cautious" "cheerful" "clean" "clever" "comfortable" "compassionate" "cruel" "curious" "dangerous" "delicate" "delicious" "delighted" "delightful" "different" "encouraging" "exciting" "expensive" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "fancy" "free" "friendly" "funny" "generous" "gentle" "genuine" "graceful" "greatest" "happier" "happy" "harmless" "honest" "humble" "jest" "legal" "liberal" "loose" "mighty" "minded" "modest" "moral" "mysterious" "natural" "neat" "original" "peaceful" "pleasant" "polite" "popular" "powerful" "professional" "proud" "prudent" "qualified" "quiet" "responsible" "rich" "safe" "secure" "selfish" "sincere" "smart" "social" "special" "stable" "strong" "superior" "surprising" "thoughtful" "uncertain" "universal" "weak" "worth" "weaker" "unpleasant" "welcome" "wise"
"smart" 0 4 1 2 0 0 1 1 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 2 2 0 0 1 0 1 0 0 5 0 1 1 0 0 1 1 0 0 0 1 1 2 0 0 0 2 1 2 1 0 0 0 1 1 0 1 1 1 0 0 0 0 0 2 4 0 2 0 0 0 1 0 0 0 3 1
"social" 1 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 1 2 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 1 0
"special" 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 2 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0
"stable" 0 3 1 1 0 0 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 2 2 0 0 1 0 0 0 0 3 0 0 0 0 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 0 0 0 0 2 0 2 1 0 0 0 2 1 0 0 3 0 2 0 1 0 0 0 0 0 1 0
"strong" 4 7 9 16 6 2 7 2 8 2 2 7 0 1 4 2 2 3 2 3 6 0 2 1 8 6 10 2 7 0 0 8 11 0 4 9 0 2 3 3 15 1 4 5 1 6 1 0 3 1 2 5 3 9 0 9 1 11 2 2 2 3 1 2 2 14 0 6 4 0 0 1 4 2 0 3 0 0 4 3 3 0 7 0 2 1 4 2
"superior" 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 2 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 1
"surprising" 1 2 1 3 0 0 0 1 1 2 0 2 0 0 1 0 0 0 0 1 1 0 0 0 2 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 3 0 1 1 0 1 0 1 0 0 0 0 0 2 0 0 1 4 0 1 0 0 0 0 0 2 0 1 2 0 0 0 2 1 0 2 4 0 0 0 1 0 1 0 0 0 1 0
"thoughtful" 1 3 3 3 2 0 1 1 6 0 1 1 0 2 2 0 1 0 0 0 3 0 0 0 2 2 4 2 4 0 0 4 1 1 0 3 1 0 1 2 5 0 1 1 0 1 1 0 1 0 1 3 0 3 1 2 1 4 0 0 0 1 1 0 1 4 0 1 1 0 0 0 0 0 0 0 3 1 0 0 0 0 3 0 0 3 2 0
"uncertain" 2 4 1 3 0 1 1 1 1 1 1 5 1 2 2 1 0 1 0 0 0 0 1 1 3 0 2 0 0 2 1 0 1 0 0 2 0 0 1 1 6 1 1 1 1 2 0 1 0 1 1 1 0 2 1 3 0 4 0 1 0 1 1 3 0 8 0 0 2 0 0 0 0 0 0 1 3 0 1 0 0 0 4 0 1 1 1 1
"universal" 0 1 1 0 1 0 2 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 1 0 0 2 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0
"weak" 2 3 1 3 2 1 3 0 4 2 0 2 1 2 1 1 1 0 1 0 4 1 0 1 3 2 2 2 1 0 0 2 1 1 0 2 1 1 2 0 8 0 1 3 1 0 0 1 2 0 1 0 0 1 0 2 1 7 0 1 0 3 0 1 1 8 0 2 4 0 1 1 1 0 1 0 7 2 1 3 4 1 0 2 3 0 1 2
"worth" 3 2 2 2 0 0 0 1 2 0 0 2 1 0 1 0 2 0 0 0 2 1 0 2 3 2 2 0 1 0 0 3 1 0 0 2 0 0 0 2 5 0 1 1 0 1 0 0 0 1 0 1 0 2 0 2 2 3 0 1 0 2 1 0 0 3 1 2 1 1 2 1 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0
"weaker" 2 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 2 1 0 0 1 0 3 0 0 0 0 0
"unpleasant" 2 2 0 1 0 0 1 0 3 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 1 2 1 0 1 0 0 1 1 0 0 0 1 0 1 0 1 0 1 0 0 2 0 0 1 0 1 1 0 4 1 0 0 2 0 0 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 3 1 0 0 0 0 0 0 0
"welcome" 0 4 2 4 0 0 1 0 2 1 2 2 0 0 0 0 0 1 0 0 0 0 1 0 1 2 0 1 1 0 0 2 3 0 0 2 0 1 0 1 5 0 4 2 0 0 0 1 0 0 0 1 0 3 1 2 0 0 1 3 0 0 0 0 2 2 0 1 1 1 0 1 3 1 1 1 4 0 1 2 1 1 1 0 0 0 0 0
"wise" 0 0 0 3 1 1 1 0 2 1 1 0 0 0 1 0 0 1 0 1 2 0 0 0 0 2 0 1 0 0 1 0 1 0 0 0 1 0 0 0 4 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 2 0 0 1 1 0 1 1 3 0 2 1 0 0 0 1 0 0 0 2 1 0 0 1 0 2 0 0 0 0 0
