"MR8";"MR7";"MR4";"MR3";"MR1";"MR5";"MR6";"MR2"
"rich";0.442556208277223;0.251462131511545;0.327398121063654;0.232285095836929;0.139388216367164;0.163202879732146;0.132070882592647;0.111474422407384
"sacred";0.361001607907465;0.576539077296496;0.376126140755414;-0.0242871365256511;0.187114745766486;0.231194537210958;0.139348488745259;0.128236271750012
"safe";0.419755830926471;0.433508302509413;0.362342513759743;0.385473890072599;0.151686992877372;0.057149198957032;0.13303991755553;0.125288605696479
"selfish";0.277454624616647;0.0807861819680504;0.240979102232704;0.202480778192372;0.257270323078748;0.111940825496822;0.0280853353435979;0.689020284732087
"special";0.0823008026976227;0.0407586676261755;0.103162821904499;0.00963148125479017;0.109945666168859;-0.0485907653127821;0.639469715308153;-0.126595863725213
"stable";0.365417918728243;0.318344897767806;0.216544344935995;0.537127012421544;0.353042122477908;0.154478980343952;0.0829435480858966;-0.065444583295943
"strong";0.39312760271456;0.49518680975166;0.269223954656914;0.37878185053019;0.292645960884978;0.125674205245913;0.161916311113832;0.151993646924162
"superior";0.177910597751997;0.464469293171301;0.457029641847941;0.097655465999714;0.250506617939353;0.127605846609882;0.0467629555419936;0.171424195470232
"thoughtful";0.521748462528499;0.400546559107127;0.467079357080068;0.238371867426814;0.249904220562524;-0.0206279396294953;0.194852192161829;0.040487346032629
"top";0.256095575851157;0.48002862079029;0.243524497262673;0.0911754716169123;0.472986187588031;0.322496376033347;-0.0401698924953338;0.197262088556563
"uncertain";0.0963137441074103;0.262839139020545;0.542370173591511;0.164229136062633;0.0409158096696653;0.11954275370957;0.303123552603442;0.0623654287834758
"weak";0.496155945347311;0.205396289844103;0.355953864587684;0.318568229301876;0.102444759176678;0.0756831635569048;0.139713869412079;0.132225559156977
"welcome";0.154202293547915;0.382846303569021;0.201244290341011;0.212379655120325;0.574566921453565;0.221825889256618;-0.0127955642383445;0.107925860301186
"wise";0.544813406982082;0.425679576986205;0.299449357276323;0.153329206733855;0.350295532763928;-0.0347610209399101;0.019064783718863;0.129602539251123
"worth";0.567587222820101;0.377190390863763;0.111708330039372;0.382042211635597;0.296377441175897;0.210115845399027;0.0463303272923752;0.118114728105012
