"care::heavy";"care::trim"
"blimber::general";"paul::rigid"
"blimber::rigid";"paul::general"
"blimber::rigid";"paul::rigid"
"paul::general";"paul::rigid"
"paul::stern";"paul::strong"
"paul::free";"paul::open"
"paul::free";"toots::free"
"paul::free";"toots::open"
"paul::open";"toots::free"
"paul::open";"toots::open"
"toots::free";"toots::open"
"mr_toots::reckless";"mr_toots::silent"
"mr_toots::reckless";"paul::reckless"
"mr_toots::reckless";"paul::silent"
"mr_toots::reckless";"toots::reckless"
"mr_toots::reckless";"toots::silent"
"mr_toots::silent";"paul::reckless"
"mr_toots::silent";"paul::silent"
"mr_toots::silent";"toots::reckless"
"mr_toots::silent";"toots::silent"
"paul::reckless";"paul::silent"
"paul::reckless";"toots::reckless"
"paul::reckless";"toots::silent"
"paul::silent";"toots::reckless"
"paul::silent";"toots::silent"
"toots::reckless";"toots::silent"
"briggs::genteel";"mrs_blimber::genteel"
"briggs::genteel";"tozer::genteel"
"mrs_blimber::genteel";"tozer::genteel"
"feeder::polite";"mrs_blimber::polite"
"feeder::polite";"p._dombey::polite"
"mrs_blimber::polite";"p._dombey::polite"
"feeder::festive";"feeder::scholastic"
"feeder::festive";"mrs_blimber::festive"
"feeder::festive";"mrs_blimber::scholastic"
"feeder::scholastic";"mrs_blimber::festive"
"feeder::scholastic";"mrs_blimber::scholastic"
"mrs_blimber::festive";"mrs_blimber::scholastic"
"paul::natural";"toots::natural"
"paul::facetious";"toots::facetious"
"mrs_pipchin::curious";"paul::curious"
"mrs_pipchin::curious";"toots::curious"
"paul::curious";"toots::curious"
"mrs_pipchin::calm";"mrs_pipchin::certain"
"mrs_pipchin::calm";"paul::calm"
"mrs_pipchin::calm";"paul::certain"
"mrs_pipchin::certain";"paul::calm"
"mrs_pipchin::certain";"paul::certain"
"paul::calm";"paul::certain"
"briggs::urgent";"mrs_blimber::urgent"
"briggs::urgent";"mrs_pipchin::urgent"
"briggs::urgent";"tozer::urgent"
"mrs_blimber::urgent";"mrs_pipchin::urgent"
"mrs_blimber::urgent";"tozer::urgent"
"mrs_pipchin::urgent";"tozer::urgent"
"briggs::easy";"briggs::greedy"
"alfred::practical";"paul::practical"
"paul::contemplative";"paul::familiar"
"toots::calm";"toots::judicious"
"toots::calm";"toots::modest"
"toots::judicious";"toots::modest"
"mrs_blimber::condescending";"mrs_blimber::kind"
"baps::grave";"baps::slow"
"baps::grave";"toots::grave"
"baps::grave";"toots::slow"
"baps::slow";"toots::grave"
"baps::slow";"toots::slow"
"toots::grave";"toots::slow"
"blimber::cold";"paul::cold"
"paul::fresh";"paul::loving"
"paul::fresh";"paul::simple"
"paul::loving";"paul::simple"
"floy::sure";"paul::sure"
"feeder::busy";"skettles::busy"
"dombey::sulky";"lady_skettles::sulky"
"dombey::sulky";"mrs_blimber::sulky"
"dombey::sulky";"paul::sulky"
"dombey::sulky";"skettles_junior::sulky"
"lady_skettles::sulky";"mrs_blimber::sulky"
"lady_skettles::sulky";"paul::sulky"
"lady_skettles::sulky";"skettles_junior::sulky"
"mrs_blimber::sulky";"paul::sulky"
"mrs_blimber::sulky";"skettles_junior::sulky"
"paul::sulky";"skettles_junior::sulky"
"feeder::ceremonious";"feeder::solemn"
"feeder::ceremonious";"toots::ceremonious"
"feeder::ceremonious";"toots::solemn"
"feeder::solemn";"toots::ceremonious"
"feeder::solemn";"toots::solemn"
"toots::ceremonious";"toots::solemn"
"blimber::particular";"paul::particular"
"paul::natural";"paul::sweet"
"paul::lively";"paul::original"
"uncle_sol::sensible";"walter::sensible"
"uncle_sol::cheerful";"walter::cheerful"
"dombey::hopeful";"uncle_sol::hopeful"
"cuttle::hopeful";"walter::hopeful"
"melchisedech_howler::general";"melchisedech_howler::rapturous"
"melchisedech_howler::general";"melchisedech::general"
"melchisedech_howler::general";"melchisedech::rapturous"
"melchisedech_howler::general";"mrs_macstinger::general"
"melchisedech_howler::general";"mrs_macstinger::rapturous"
"melchisedech_howler::rapturous";"melchisedech::general"
"melchisedech_howler::rapturous";"melchisedech::rapturous"
"melchisedech_howler::rapturous";"mrs_macstinger::general"
"melchisedech_howler::rapturous";"mrs_macstinger::rapturous"
"melchisedech::general";"melchisedech::rapturous"
"melchisedech::general";"mrs_macstinger::general"
"melchisedech::general";"mrs_macstinger::rapturous"
"melchisedech::rapturous";"mrs_macstinger::general"
"melchisedech::rapturous";"mrs_macstinger::rapturous"
"mrs_macstinger::general";"mrs_macstinger::rapturous"
"brogley::punctual";"walter::punctual"
"cuttle::friendly";"wal::friendly"
"cuttle::friendly";"walter::friendly"
"wal::friendly";"walter::friendly"
"cuttle::sure";"walter::sure"
"cuttle::animated";"cuttle::energetic"
"cuttle::animated";"cuttle::lively"
"cuttle::animated";"walter::animated"
"cuttle::animated";"walter::energetic"
"cuttle::animated";"walter::lively"
"cuttle::energetic";"cuttle::lively"
"cuttle::energetic";"walter::animated"
"cuttle::energetic";"walter::energetic"
"cuttle::energetic";"walter::lively"
"cuttle::lively";"walter::animated"
"cuttle::lively";"walter::energetic"
"cuttle::lively";"walter::lively"
"walter::animated";"walter::energetic"
"walter::animated";"walter::lively"
"walter::energetic";"walter::lively"
"cuttle::confident";"uncle_sol::confident"
"cuttle::confident";"walter::confident"
"uncle_sol::confident";"walter::confident"
"dombey::smooth";"dombey::taut"
"dombey::smooth";"walter::smooth"
"dombey::smooth";"walter::taut"
"dombey::taut";"walter::smooth"
"dombey::taut";"walter::taut"
"walter::smooth";"walter::taut"
"cap::friendly";"cuttle::friendly"
"cap::friendly";"dombey::friendly"
"cap::friendly";"walter::friendly"
"cuttle::friendly";"dombey::friendly"
"dombey::friendly";"walter::friendly"
"walter::neat";"walter::particular"
"walter::proud";"walter::sober"
"walter::proud";"walter::worldly"
"walter::sober";"walter::worldly"
"floy::coming";"mrs_richards::coming"
"floy::coming";"paul::coming"
"floy::coming";"walter::coming"
"mrs_richards::coming";"paul::coming"
"mrs_richards::coming";"walter::coming"
"paul::coming";"walter::coming"
"floy::meek";"paul::meek"
"floy::meek";"walter::meek"
"paul::meek";"walter::meek"
"blimber::serious";"nipper::serious"
"blimber::serious";"paul::serious"
"blimber::serious";"susan::serious"
"blimber::serious";"walter::serious"
"nipper::serious";"paul::serious"
"nipper::serious";"susan::serious"
"nipper::serious";"walter::serious"
"paul::serious";"susan::serious"
"paul::serious";"walter::serious"
"susan::serious";"walter::serious"
"mrs_richards_susan::honest";"mrs_richards_susan::motherly"
"mrs_richards_susan::honest";"polly::honest"
"mrs_richards_susan::honest";"polly::motherly"
"mrs_richards_susan::motherly";"polly::honest"
"mrs_richards_susan::motherly";"polly::motherly"
"polly::honest";"polly::motherly"
"floy::sweet";"mrs_richards::sweet"
"floy::sweet";"paul::sweet"
"floy::sweet";"susan::sweet"
"floy::sweet";"walter::sweet"
"mrs_richards::sweet";"paul::sweet"
"mrs_richards::sweet";"susan::sweet"
"mrs_richards::sweet";"walter::sweet"
"paul::sweet";"susan::sweet"
"paul::sweet";"walter::sweet"
"susan::sweet";"walter::sweet"
"mr_toodle::fatherly";"mrs_richards::fatherly"
"mr_toodle::fatherly";"polly::fatherly"
"mr_toodle::fatherly";"susan_nipper::fatherly"
"mrs_richards::fatherly";"polly::fatherly"
"mrs_richards::fatherly";"susan_nipper::fatherly"
"polly::fatherly";"susan_nipper::fatherly"
"walter::gloomy";"walter::sorrowful"
"paul::easy";"tox::easy"
"paul::gentle";"paul::grateful"
"mrs_pipchin::cheerful";"mrs_pipchin::open"
"mrs_pipchin::cheerful";"paul::cheerful"
"mrs_pipchin::cheerful";"paul::open"
"mrs_pipchin::open";"paul::cheerful"
"mrs_pipchin::open";"paul::open"
"paul::cheerful";"paul::open"
"cuttle::easy";"dombey::easy"
"cuttle::easy";"walter::easy"
"dombey::easy";"walter::easy"
"dombey::close";"dombey::particular"
"dombey::close";"walter::close"
"dombey::close";"walter::particular"
"dombey::particular";"walter::close"
"dombey::particular";"walter::particular"
"walter::close";"walter::particular"
"cuttle::expressive";"cuttle::sure"
"cuttle::expressive";"solomon::expressive"
"cuttle::expressive";"solomon::sure"
"cuttle::expressive";"walter::expressive"
"cuttle::expressive";"walter::sure"
"cuttle::sure";"solomon::expressive"
"cuttle::sure";"solomon::sure"
"cuttle::sure";"walter::expressive"
"solomon::expressive";"solomon::sure"
"solomon::expressive";"walter::expressive"
"solomon::expressive";"walter::sure"
"solomon::sure";"walter::expressive"
"solomon::sure";"walter::sure"
"walter::expressive";"walter::sure"
"walter::honest";"walter::quiet"
"walter::honest";"walter::shrewd"
"walter::quiet";"walter::shrewd"
"cuttle::second";"walter::second"
"mr_perch::destructive";"mr_perch::sudden"
"cap::serene";"perch::serene"
"carker::voiceless";"cuttle::voiceless"
"carker::voiceless";"dombey::voiceless"
"cuttle::voiceless";"dombey::voiceless"
"carker::silent";"carker::sly"
"carker::silent";"carker::smooth"
"carker::silent";"carker::soft"
"carker::silent";"carker::watchful"
"carker::sly";"carker::smooth"
"carker::sly";"carker::soft"
"carker::sly";"carker::watchful"
"carker::smooth";"carker::soft"
"carker::smooth";"carker::watchful"
"carker::soft";"carker::watchful"
"ned::graceful";"ned::particular"
"walter::intimate";"walter::lively"
"blimber::open";"mrs_macstinger::open"
"mrs_chick::friendly";"tox::friendly"
"louisa::proud";"mrs_chick::proud"
"lucretia::gracious";"mrs_chick::gracious"
"tox::affectionate";"tox::sad"
"mrs_chick::sure";"mrs_chick::unkind"
"louisa::exact";"papa::exact"
"susan::hysterical";"toots::hysterical"
"toots::kind";"toots::natural"
"dombey::quiet";"toots::quiet"
"diogenes::ugly";"toots::ugly"
"diogenes::delicate";"diogenes::open"
"diogenes::delicate";"toots::delicate"
"diogenes::delicate";"toots::open"
"diogenes::open";"toots::delicate"
"diogenes::open";"toots::open"
"toots::delicate";"toots::open"
"diogenes::fresh";"diogenes::sensible"
"diogenes::fresh";"toots::fresh"
"diogenes::fresh";"toots::sensible"
"diogenes::sensible";"toots::fresh"
"diogenes::sensible";"toots::sensible"
"toots::fresh";"toots::sensible"
"diogenes::nervous";"diogenes::rude"
"diogenes::nervous";"nipper::nervous"
"diogenes::nervous";"nipper::rude"
"diogenes::nervous";"paul::nervous"
"diogenes::nervous";"paul::rude"
"diogenes::nervous";"toots::nervous"
"diogenes::nervous";"toots::rude"
"diogenes::rude";"nipper::nervous"
"diogenes::rude";"nipper::rude"
"diogenes::rude";"paul::nervous"
"diogenes::rude";"paul::rude"
"diogenes::rude";"toots::nervous"
"diogenes::rude";"toots::rude"
"nipper::nervous";"nipper::rude"
"nipper::nervous";"paul::nervous"
"nipper::nervous";"paul::rude"
"nipper::nervous";"toots::nervous"
"nipper::nervous";"toots::rude"
"nipper::rude";"paul::nervous"
"nipper::rude";"paul::rude"
"nipper::rude";"toots::nervous"
"nipper::rude";"toots::rude"
"paul::nervous";"paul::rude"
"paul::nervous";"toots::nervous"
"paul::nervous";"toots::rude"
"paul::rude";"toots::nervous"
"paul::rude";"toots::rude"
"toots::nervous";"toots::rude"
"floy::humble";"nipper::humble"
"walter::indomitable";"walter::scientific"
"walter::indomitable";"walter::worldly"
"walter::scientific";"walter::worldly"
"walter::callous";"walter::conceited"
"walter::callous";"walter::obdurate"
"walter::conceited";"walter::obdurate"
"cuttle::lively";"uncle::lively"
"uncle::pleasant";"wally::pleasant"
"uncle::pleasant";"walter::pleasant"
"wally::pleasant";"walter::pleasant"
"dombey::proud";"uncle::proud"
"uncle::sure";"uncle::true"
"uncle::sure";"walter::sure"
"uncle::sure";"walter::true"
"uncle::true";"walter::sure"
"uncle::true";"walter::true"
"walter::sure";"walter::true"
"uncle::honest";"walter::honest"
"uncle_sol::simple";"walter::simple"
"susan_nipper::gentle";"uncle::gentle"
"susan_nipper::gentle";"walter::gentle"
"uncle::gentle";"walter::gentle"
"uncle::gentle";"uncle::graceful"
"uncle::gentle";"uncle::modest"
"uncle::gentle";"uncle::natural"
"uncle::gentle";"uncle::soft"
"uncle::gentle";"uncle::sweet"
"uncle::gentle";"wally::gentle"
"uncle::gentle";"wally::graceful"
"uncle::gentle";"wally::modest"
"uncle::gentle";"wally::natural"
"uncle::gentle";"wally::soft"
"uncle::gentle";"wally::sweet"
"uncle::gentle";"walter::graceful"
"uncle::gentle";"walter::modest"
"uncle::gentle";"walter::natural"
"uncle::gentle";"walter::soft"
"uncle::gentle";"walter::sweet"
"uncle::graceful";"uncle::modest"
"uncle::graceful";"uncle::natural"
"uncle::graceful";"uncle::soft"
"uncle::graceful";"uncle::sweet"
"uncle::graceful";"wally::gentle"
"uncle::graceful";"wally::graceful"
"uncle::graceful";"wally::modest"
"uncle::graceful";"wally::natural"
"uncle::graceful";"wally::soft"
"uncle::graceful";"wally::sweet"
"uncle::graceful";"walter::gentle"
"uncle::graceful";"walter::graceful"
"uncle::graceful";"walter::modest"
"uncle::graceful";"walter::natural"
"uncle::graceful";"walter::soft"
"uncle::graceful";"walter::sweet"
"uncle::modest";"uncle::natural"
"uncle::modest";"uncle::soft"
"uncle::modest";"uncle::sweet"
"uncle::modest";"wally::gentle"
"uncle::modest";"wally::graceful"
"uncle::modest";"wally::modest"
"uncle::modest";"wally::natural"
"uncle::modest";"wally::soft"
"uncle::modest";"wally::sweet"
"uncle::modest";"walter::gentle"
"uncle::modest";"walter::graceful"
"uncle::modest";"walter::modest"
"uncle::modest";"walter::natural"
"uncle::modest";"walter::soft"
"uncle::modest";"walter::sweet"
"uncle::natural";"uncle::soft"
"uncle::natural";"uncle::sweet"
"uncle::natural";"wally::gentle"
"uncle::natural";"wally::graceful"
"uncle::natural";"wally::modest"
"uncle::natural";"wally::natural"
"uncle::natural";"wally::soft"
"uncle::natural";"wally::sweet"
"uncle::natural";"walter::gentle"
"uncle::natural";"walter::graceful"
"uncle::natural";"walter::modest"
"uncle::natural";"walter::natural"
"uncle::natural";"walter::soft"
"uncle::natural";"walter::sweet"
"uncle::soft";"uncle::sweet"
"uncle::soft";"wally::gentle"
"uncle::soft";"wally::graceful"
"uncle::soft";"wally::modest"
"uncle::soft";"wally::natural"
"uncle::soft";"wally::soft"
"uncle::soft";"wally::sweet"
"uncle::soft";"walter::gentle"
"uncle::soft";"walter::graceful"
"uncle::soft";"walter::modest"
"uncle::soft";"walter::natural"
"uncle::soft";"walter::soft"
"uncle::soft";"walter::sweet"
"uncle::sweet";"wally::gentle"
"uncle::sweet";"wally::graceful"
"uncle::sweet";"wally::modest"
"uncle::sweet";"wally::natural"
"uncle::sweet";"wally::soft"
"uncle::sweet";"wally::sweet"
"uncle::sweet";"walter::gentle"
"uncle::sweet";"walter::graceful"
"uncle::sweet";"walter::modest"
"uncle::sweet";"walter::natural"
"uncle::sweet";"walter::soft"
"uncle::sweet";"walter::sweet"
"wally::gentle";"wally::graceful"
"wally::gentle";"wally::modest"
"wally::gentle";"wally::natural"
"wally::gentle";"wally::soft"
"wally::gentle";"wally::sweet"
"wally::gentle";"walter::gentle"
"wally::gentle";"walter::graceful"
"wally::gentle";"walter::modest"
"wally::gentle";"walter::natural"
"wally::gentle";"walter::soft"
"wally::gentle";"walter::sweet"
"wally::graceful";"wally::modest"
"wally::graceful";"wally::natural"
"wally::graceful";"wally::soft"
"wally::graceful";"wally::sweet"
"wally::graceful";"walter::gentle"
"wally::graceful";"walter::graceful"
"wally::graceful";"walter::modest"
"wally::graceful";"walter::natural"
"wally::graceful";"walter::soft"
"wally::graceful";"walter::sweet"
"wally::modest";"wally::natural"
"wally::modest";"wally::soft"
"wally::modest";"wally::sweet"
"wally::modest";"walter::gentle"
"wally::modest";"walter::graceful"
"wally::modest";"walter::modest"
"wally::modest";"walter::natural"
"wally::modest";"walter::soft"
"wally::modest";"walter::sweet"
"wally::natural";"wally::soft"
"wally::natural";"wally::sweet"
"wally::natural";"walter::gentle"
"wally::natural";"walter::graceful"
"wally::natural";"walter::modest"
"wally::natural";"walter::natural"
"wally::natural";"walter::soft"
"wally::natural";"walter::sweet"
"wally::soft";"wally::sweet"
"wally::soft";"walter::gentle"
"wally::soft";"walter::graceful"
"wally::soft";"walter::modest"
"wally::soft";"walter::natural"
"wally::soft";"walter::soft"
"wally::soft";"walter::sweet"
"wally::sweet";"walter::gentle"
"wally::sweet";"walter::graceful"
"wally::sweet";"walter::modest"
"wally::sweet";"walter::natural"
"wally::sweet";"walter::soft"
"wally::sweet";"walter::sweet"
"walter::gentle";"walter::graceful"
"walter::gentle";"walter::modest"
"walter::gentle";"walter::natural"
"walter::gentle";"walter::soft"
"walter::gentle";"walter::sweet"
"walter::graceful";"walter::modest"
"walter::graceful";"walter::natural"
"walter::graceful";"walter::soft"
"walter::graceful";"walter::sweet"
"walter::modest";"walter::natural"
"walter::modest";"walter::soft"
"walter::modest";"walter::sweet"
"walter::natural";"walter::soft"
"walter::natural";"walter::sweet"
"walter::soft";"walter::sweet"
"walter::simple";"walter::solemn"
"walter::cheerful";"walter::solemn"
"cuttle::stern";"uncle_sol::stern"
"cuttle::stern";"walter::stern"
"uncle_sol::stern";"walter::stern"
"damme::sudden";"dombey::sudden"
"damme::sudden";"joe::sudden"
"dombey::sudden";"joe::sudden"
"dombey::defiant";"dombey::mild"
"dombey::defiant";"dombey::peaceful"
"dombey::mild";"dombey::peaceful"
"dombey::proud";"joey_b.::proud"
"dombey::lonely";"dombey::sullen"
"dombey::ruthless";"dombey::weak"
"dombey::frigid";"tox::frigid"
"dombey::open";"joe::open"
"dombey::open";"joey_b.::open"
"joe::open";"joey_b.::open"
"joe::silent";"joe::strong"
"bagstock::#-tough";"bagstock::obstinate"
"bagstock::#-tough";"dombey::#-tough"
"bagstock::#-tough";"dombey::obstinate"
"bagstock::#-tough";"joe::#-tough"
"bagstock::#-tough";"joe::obstinate"
"bagstock::obstinate";"dombey::#-tough"
"bagstock::obstinate";"dombey::obstinate"
"bagstock::obstinate";"joe::#-tough"
"bagstock::obstinate";"joe::obstinate"
"dombey::#-tough";"dombey::obstinate"
"dombey::#-tough";"joe::#-tough"
"dombey::#-tough";"joe::obstinate"
"dombey::obstinate";"joe::#-tough"
"dombey::obstinate";"joe::obstinate"
"joe::#-tough";"joe::obstinate"
"dombey::gloomy";"joe_bagstock::gloomy"
"biler::charitable";"dombey::charitable"
"biler::charitable";"robin::charitable"
"dombey::charitable";"robin::charitable"
"dombey::brute";"dombey::simple"
"dombey::spontaneous";"dombey::sunny"
"dombey::spontaneous";"dombey::tight"
"dombey::sunny";"dombey::tight"
"dombey::handsome";"dombey::haughty"
"dombey::handsome";"dombey::proud"
"dombey::haughty";"dombey::proud"
"dombey::mincing";"mrs_skewton::mincing"
"edith::dependent";"mrs_skewton::dependent"
"mrs_skewton::languid";"withers::languid"
"dombey::graceful";"dombey::proud"
"dombey::complimentary";"joey::complimentary"
"bagstock::tough";"edith_granger::tough"
"bagstock::tough";"joey_b.::tough"
"edith_granger::tough";"joey_b.::tough"
"antony_bagstock::mute";"mrs_skewton::mute"
"edith_granger::handsome";"edith_granger::rigid"
"harriet::vain";"james::vain"
"harriet::careless";"james::careless"
"carker::free";"carker::thoughtful"
"carker::free";"mr_perch::free"
"carker::free";"mr_perch::thoughtful"
"carker::free";"mrs_perch::free"
"carker::free";"mrs_perch::thoughtful"
"carker::thoughtful";"mr_perch::free"
"carker::thoughtful";"mr_perch::thoughtful"
"carker::thoughtful";"mrs_perch::free"
"carker::thoughtful";"mrs_perch::thoughtful"
"mr_perch::free";"mr_perch::thoughtful"
"mr_perch::free";"mrs_perch::free"
"mr_perch::free";"mrs_perch::thoughtful"
"mr_perch::thoughtful";"mrs_perch::free"
"mr_perch::thoughtful";"mrs_perch::thoughtful"
"mrs_perch::free";"mrs_perch::thoughtful"
"mr_carker::thankful";"toodle_junior::thankful"
"mr_gills::exact";"mr_gills::punctual"
"mr_gills::exact";"uncle_sol::exact"
"mr_gills::exact";"uncle_sol::punctual"
"mr_gills::punctual";"uncle_sol::exact"
"mr_gills::punctual";"uncle_sol::punctual"
"uncle_sol::exact";"uncle_sol::punctual"
"carker::observant";"carker::voiceless"
"carker::soft";"gills::soft"
"carker::sure";"gills::sure"
"carker::cold";"sol_gills::cold"
"mr_gills::responsible";"rob::responsible"
"carker::clean";"carker::leisurely"
"carker::gentle";"mr_carker::gentle"
"carker::gentle";"polly::gentle"
"mr_carker::gentle";"polly::gentle"
"carker::sorrowful";"rob::sorrowful"
"carker::watchful";"rob::watchful"
"rob::curious";"rob::heedless"
"carker::affable";"carker::pleasant"
"carker::affable";"dombey::affable"
"carker::affable";"dombey::pleasant"
"carker::pleasant";"dombey::affable"
"carker::pleasant";"dombey::pleasant"
"dombey::affable";"dombey::pleasant"
"carker::busy";"carker::cold"
"carker::busy";"dombey::busy"
"carker::busy";"dombey::cold"
"carker::cold";"dombey::busy"
"carker::cold";"dombey::cold"
"dombey::busy";"dombey::cold"
"toots::certain";"toots::worldly"
"black_badger::gentle";"toots::gentle"
"toots::effervescent";"toots::sure"
"dombey::politic";"toots::politic"
"susan_nipper::playful";"toots::playful"
"diogenes::serious";"susan::serious"
"diogenes::serious";"toots::serious"
"susan::serious";"toots::serious"
"diogenes::noisy";"diogenes::open"
"diogenes::noisy";"susan_nipper::noisy"
"diogenes::noisy";"susan_nipper::open"
"diogenes::open";"susan_nipper::noisy"
"diogenes::open";"susan_nipper::open"
"susan_nipper::noisy";"susan_nipper::open"
"diogenes::loving";"susan_nipper::loving"
"diogenes::timid";"susan_nipper::timid"
"floy::familiar";"floy::mild"
"floy::familiar";"lady_skettles::familiar"
"floy::familiar";"lady_skettles::mild"
"floy::familiar";"skettleses::familiar"
"floy::familiar";"skettleses::mild"
"floy::familiar";"susan::familiar"
"floy::familiar";"susan::mild"
"floy::mild";"lady_skettles::familiar"
"floy::mild";"lady_skettles::mild"
"floy::mild";"skettleses::familiar"
"floy::mild";"skettleses::mild"
"floy::mild";"susan::familiar"
"floy::mild";"susan::mild"
"lady_skettles::familiar";"lady_skettles::mild"
"lady_skettles::familiar";"skettleses::familiar"
"lady_skettles::familiar";"skettleses::mild"
"lady_skettles::familiar";"susan::familiar"
"lady_skettles::familiar";"susan::mild"
"lady_skettles::mild";"skettleses::familiar"
"lady_skettles::mild";"skettleses::mild"
"lady_skettles::mild";"susan::familiar"
"lady_skettles::mild";"susan::mild"
"skettleses::familiar";"skettleses::mild"
"skettleses::familiar";"susan::familiar"
"skettleses::familiar";"susan::mild"
"skettleses::mild";"susan::familiar"
"skettleses::mild";"susan::mild"
"susan::familiar";"susan::mild"
"nipper::partisan";"nipper::thoroughgoing"
"nipper::acquiescent";"susan::acquiescent"
"susan_nipper::intellectual";"susan_nipper::natural"
"gills::rebellious";"nipper::rebellious"
"gills::rebellious";"rob::rebellious"
"nipper::rebellious";"rob::rebellious"
"cap::thankless";"mrs_macstinger::thankless"
"uncle::delicate";"walter::delicate"
"cuttle::oracular";"nipper::oracular"
"cuttle::oracular";"susan::oracular"
"nipper::oracular";"susan::oracular"
"alexander::easy";"cuttle::easy"
"alexander::easy";"mrs_macstinger::easy"
"cuttle::easy";"mrs_macstinger::easy"
"bunsby::cautious";"clara::cautious"
"bunsby::cautious";"ratcliffe::cautious"
"clara::cautious";"ratcliffe::cautious"
"cuttle::familiar";"cuttle::strong"
"bunsby::open";"bunsby::sudden"
"bunsby::open";"cuttle::open"
"bunsby::open";"cuttle::sudden"
"bunsby::open";"susan::open"
"bunsby::open";"susan::sudden"
"bunsby::sudden";"cuttle::open"
"bunsby::sudden";"cuttle::sudden"
"bunsby::sudden";"susan::open"
"bunsby::sudden";"susan::sudden"
"cuttle::open";"cuttle::sudden"
"cuttle::open";"susan::open"
"cuttle::open";"susan::sudden"
"cuttle::sudden";"susan::open"
"cuttle::sudden";"susan::sudden"
"susan::open";"susan::sudden"
"bunsby::solemn";"cuttle::solemn"
"nipper::resolute";"nipper::tight"
"nipper::resolute";"perch::resolute"
"nipper::resolute";"perch::tight"
"nipper::tight";"perch::resolute"
"nipper::tight";"perch::tight"
"perch::resolute";"perch::tight"
"susan_nipper::close";"susan_nipper::gallant"
"susan_nipper::close";"susan_nipper::true"
"susan_nipper::gallant";"susan_nipper::true"
"walter::natural";"walter::particular"
"barnet::sweet";"mrs_blimber::sweet"
"kate::calm";"kate::natural"
"kate::calm";"kate::serious"
"kate::calm";"kate::sweet"
"kate::natural";"kate::serious"
"kate::natural";"kate::sweet"
"kate::serious";"kate::sweet"
"paul::resolute";"paul::true"
"martha::easy";"martha::open"
"carker::#-sure";"dombey::#-sure"
"ned::true";"solomon_gills::true"
"rob::easy";"rob::free"
"gills::heavy";"gills::sure"
"mrs_macstinger::sufficient";"rob::sufficient"
"cap::sure";"rob::sure"
"cuttle::scientific";"rob::scientific"
"joseph::rough";"joseph::tough"
"carker::confidential";"carker::proud"
"carker::confidential";"dombey::confidential"
"carker::confidential";"dombey::proud"
"carker::proud";"dombey::confidential"
"carker::proud";"dombey::proud"
"dombey::confidential";"dombey::proud"
"bagstock::cold";"dombey::cold"
"george::constant";"george::cruel"
"george::constant";"george::tough"
"george::constant";"joseph_bagstock::constant"
"george::constant";"joseph_bagstock::cruel"
"george::constant";"joseph_bagstock::tough"
"george::cruel";"george::tough"
"george::cruel";"joseph_bagstock::constant"
"george::cruel";"joseph_bagstock::cruel"
"george::cruel";"joseph_bagstock::tough"
"george::tough";"joseph_bagstock::constant"
"george::tough";"joseph_bagstock::cruel"
"george::tough";"joseph_bagstock::tough"
"joseph_bagstock::constant";"joseph_bagstock::cruel"
"joseph_bagstock::constant";"joseph_bagstock::tough"
"joseph_bagstock::cruel";"joseph_bagstock::tough"
"mrs_skewton::facetious";"withers::facetious"
"cleopatra::sweet";"dombey::sweet"
"cleopatra::sensitive";"cleopatra::susceptible"
"bagstock::awkward";"bagstock::confidential"
"bagstock::awkward";"cleopatra::awkward"
"bagstock::awkward";"cleopatra::confidential"
"bagstock::awkward";"edith::awkward"
"bagstock::awkward";"edith::confidential"
"bagstock::awkward";"joe::awkward"
"bagstock::awkward";"joe::confidential"
"bagstock::awkward";"mrs_skewton::awkward"
"bagstock::awkward";"mrs_skewton::confidential"
"bagstock::confidential";"cleopatra::awkward"
"bagstock::confidential";"cleopatra::confidential"
"bagstock::confidential";"edith::awkward"
"bagstock::confidential";"edith::confidential"
"bagstock::confidential";"joe::awkward"
"bagstock::confidential";"joe::confidential"
"bagstock::confidential";"mrs_skewton::awkward"
"bagstock::confidential";"mrs_skewton::confidential"
"cleopatra::awkward";"cleopatra::confidential"
"cleopatra::awkward";"edith::awkward"
"cleopatra::awkward";"edith::confidential"
"cleopatra::awkward";"joe::awkward"
"cleopatra::awkward";"joe::confidential"
"cleopatra::awkward";"mrs_skewton::awkward"
"cleopatra::awkward";"mrs_skewton::confidential"
"cleopatra::confidential";"edith::awkward"
"cleopatra::confidential";"edith::confidential"
"cleopatra::confidential";"joe::awkward"
"cleopatra::confidential";"joe::confidential"
"cleopatra::confidential";"mrs_skewton::awkward"
"cleopatra::confidential";"mrs_skewton::confidential"
"edith::awkward";"edith::confidential"
"edith::awkward";"joe::awkward"
"edith::awkward";"joe::confidential"
"edith::awkward";"mrs_skewton::awkward"
"edith::awkward";"mrs_skewton::confidential"
"edith::confidential";"joe::awkward"
"edith::confidential";"joe::confidential"
"edith::confidential";"mrs_skewton::awkward"
"edith::confidential";"mrs_skewton::confidential"
"joe::awkward";"joe::confidential"
"joe::awkward";"mrs_skewton::awkward"
"joe::awkward";"mrs_skewton::confidential"
"joe::confidential";"mrs_skewton::awkward"
"joe::confidential";"mrs_skewton::confidential"
"mrs_skewton::awkward";"mrs_skewton::confidential"
"cleopatra::listless";"j._b.::listless"
"dombey::tight";"joe::tight"
"edith::proud";"lucifer::proud"
"edith::proud";"mrs_skewton::proud"
"lucifer::proud";"mrs_skewton::proud"
