"anne_page::stable";"hugh_evans::stable"
"cobb::nervous";"solomon_daisy::nervous"
"phil_parkes::fresh";"phil_parkes::nervous"
"phil_parkes::fresh";"solomon_daisy::fresh"
"phil_parkes::fresh";"solomon_daisy::nervous"
"phil_parkes::nervous";"solomon_daisy::fresh"
"phil_parkes::nervous";"solomon_daisy::nervous"
"solomon_daisy::fresh";"solomon_daisy::nervous"
"hugh::quiet";"hugh::rough"
"hugh::steady";"willet::steady"
"hugh::keen";"john::keen"
"haredale::bold";"john::bold"
"haredale::bold";"willet::bold"
"john::bold";"willet::bold"
"haredale::#-sure";"john::#-sure"
"haredale::#-sure";"willet::#-sure"
"john::#-sure";"willet::#-sure"
"haredale::loud";"haredale::quick"
"haredale::loud";"john::loud"
"haredale::loud";"john::quick"
"haredale::quick";"john::loud"
"haredale::quick";"john::quick"
"john::loud";"john::quick"
"willet::oily";"willet::particular"
"haredale::sanguine";"john::sanguine"
"willet::long-winded";"willet::neat"
"hugh::straight";"john::straight"
"willet::smooth";"willet::straight"
"willet::free";"willet::precise"
"willet::free";"willet::sober"
"willet::precise";"willet::sober"
"willet::cruel";"willet::melancholy"
"willet::cruel";"willet::mild"
"willet::cruel";"willet::suggestive"
"willet::melancholy";"willet::mild"
"willet::melancholy";"willet::suggestive"
"willet::mild";"willet::suggestive"
"gashford::demure";"gashford::formal"
"gashford::demure";"gashford::staid"
"gashford::formal";"gashford::staid"
"gashford::heavy";"gashford::sly"
"george::earnest";"george::stately"
"george::earnest";"john_grueby::earnest"
"george::earnest";"john_grueby::stately"
"george::earnest";"john_willet::earnest"
"george::earnest";"john_willet::stately"
"george::stately";"john_grueby::earnest"
"george::stately";"john_grueby::stately"
"george::stately";"john_willet::earnest"
"george::stately";"john_willet::stately"
"john_grueby::earnest";"john_grueby::stately"
"john_grueby::earnest";"john_willet::earnest"
"john_grueby::earnest";"john_willet::stately"
"john_grueby::stately";"john_willet::earnest"
"john_grueby::stately";"john_willet::stately"
"john_willet::earnest";"john_willet::stately"
"george_gordon::awkward";"willet::awkward"
"dennis::earnest";"gashford::earnest"
"dennis::earnest";"george::earnest"
"dennis::earnest";"muster_gashford::earnest"
"gashford::earnest";"george::earnest"
"gashford::earnest";"muster_gashford::earnest"
"george::earnest";"muster_gashford::earnest"
"gashford::heavy";"gashford::religious"
"gashford::direct";"george::direct"
"gashford::certain";"gashford::original"
"gashford::certain";"gashford::reckless"
"gashford::certain";"john_grueby::certain"
"gashford::certain";"john_grueby::original"
"gashford::certain";"john_grueby::reckless"
"gashford::certain";"muster_gashford::certain"
"gashford::certain";"muster_gashford::original"
"gashford::certain";"muster_gashford::reckless"
"gashford::original";"gashford::reckless"
"gashford::original";"john_grueby::certain"
"gashford::original";"john_grueby::original"
"gashford::original";"john_grueby::reckless"
"gashford::original";"muster_gashford::certain"
"gashford::original";"muster_gashford::original"
"gashford::original";"muster_gashford::reckless"
"gashford::reckless";"john_grueby::certain"
"gashford::reckless";"john_grueby::original"
"gashford::reckless";"john_grueby::reckless"
"gashford::reckless";"muster_gashford::certain"
"gashford::reckless";"muster_gashford::original"
"gashford::reckless";"muster_gashford::reckless"
"john_grueby::certain";"john_grueby::original"
"john_grueby::certain";"john_grueby::reckless"
"john_grueby::certain";"muster_gashford::certain"
"john_grueby::certain";"muster_gashford::original"
"john_grueby::certain";"muster_gashford::reckless"
"john_grueby::original";"john_grueby::reckless"
"john_grueby::original";"muster_gashford::certain"
"john_grueby::original";"muster_gashford::original"
"john_grueby::original";"muster_gashford::reckless"
"john_grueby::reckless";"muster_gashford::certain"
"john_grueby::reckless";"muster_gashford::original"
"john_grueby::reckless";"muster_gashford::reckless"
"muster_gashford::certain";"muster_gashford::original"
"muster_gashford::certain";"muster_gashford::reckless"
"muster_gashford::original";"muster_gashford::reckless"
"dennis::hearty";"hugh::hearty"
"dennis::patriotic";"muster_gashford::patriotic"
"dennis::intimate";"muster_gashford::intimate"
"dennis::peaceful";"gashford::peaceful"
"dennis::peaceful";"hugh::peaceful"
"gashford::peaceful";"hugh::peaceful"
"hugh::easy";"hugh::weak"
"dennis::loud";"george_gordon::loud"
"dennis::loud";"hugh::loud"
"george_gordon::loud";"hugh::loud"
"mr_tappertit::majestic";"mr_tappertit::unobservant"
"mark_gilbert::bold";"mark_gilbert::daring"
"mark_gilbert::bold";"mark_gilbert::humble"
"mark_gilbert::bold";"mark_gilbert::political"
"mark_gilbert::bold";"tappertit::bold"
"mark_gilbert::bold";"tappertit::daring"
"mark_gilbert::bold";"tappertit::humble"
"mark_gilbert::bold";"tappertit::political"
"mark_gilbert::bold";"thomas_curzon::bold"
"mark_gilbert::bold";"thomas_curzon::daring"
"mark_gilbert::bold";"thomas_curzon::humble"
"mark_gilbert::bold";"thomas_curzon::political"
"mark_gilbert::daring";"mark_gilbert::humble"
"mark_gilbert::daring";"mark_gilbert::political"
"mark_gilbert::daring";"tappertit::bold"
"mark_gilbert::daring";"tappertit::daring"
"mark_gilbert::daring";"tappertit::humble"
"mark_gilbert::daring";"tappertit::political"
"mark_gilbert::daring";"thomas_curzon::bold"
"mark_gilbert::daring";"thomas_curzon::daring"
"mark_gilbert::daring";"thomas_curzon::humble"
"mark_gilbert::daring";"thomas_curzon::political"
"mark_gilbert::humble";"mark_gilbert::political"
"mark_gilbert::humble";"tappertit::bold"
"mark_gilbert::humble";"tappertit::daring"
"mark_gilbert::humble";"tappertit::humble"
"mark_gilbert::humble";"tappertit::political"
"mark_gilbert::humble";"thomas_curzon::bold"
"mark_gilbert::humble";"thomas_curzon::daring"
"mark_gilbert::humble";"thomas_curzon::humble"
"mark_gilbert::humble";"thomas_curzon::political"
"mark_gilbert::political";"tappertit::bold"
"mark_gilbert::political";"tappertit::daring"
"mark_gilbert::political";"tappertit::humble"
"mark_gilbert::political";"tappertit::political"
"mark_gilbert::political";"thomas_curzon::bold"
"mark_gilbert::political";"thomas_curzon::daring"
"mark_gilbert::political";"thomas_curzon::humble"
"mark_gilbert::political";"thomas_curzon::political"
"tappertit::bold";"tappertit::daring"
"tappertit::bold";"tappertit::humble"
"tappertit::bold";"tappertit::political"
"tappertit::bold";"thomas_curzon::bold"
"tappertit::bold";"thomas_curzon::daring"
"tappertit::bold";"thomas_curzon::humble"
"tappertit::bold";"thomas_curzon::political"
"tappertit::daring";"tappertit::humble"
"tappertit::daring";"tappertit::political"
"tappertit::daring";"thomas_curzon::bold"
"tappertit::daring";"thomas_curzon::daring"
"tappertit::daring";"thomas_curzon::humble"
"tappertit::daring";"thomas_curzon::political"
"tappertit::humble";"tappertit::political"
"tappertit::humble";"thomas_curzon::bold"
"tappertit::humble";"thomas_curzon::daring"
"tappertit::humble";"thomas_curzon::humble"
"tappertit::humble";"thomas_curzon::political"
"tappertit::political";"thomas_curzon::bold"
"tappertit::political";"thomas_curzon::daring"
"tappertit::political";"thomas_curzon::humble"
"tappertit::political";"thomas_curzon::political"
"thomas_curzon::bold";"thomas_curzon::daring"
"thomas_curzon::bold";"thomas_curzon::humble"
"thomas_curzon::bold";"thomas_curzon::political"
"thomas_curzon::daring";"thomas_curzon::humble"
"thomas_curzon::daring";"thomas_curzon::political"
"thomas_curzon::humble";"thomas_curzon::political"
"george_gordon::general";"mr_tappertit::general"
"hugh::careless";"hugh::thoughtful"
"hugh::hearty";"tappertit::hearty"
"hugh::thorough";"tappertit::thorough"
"hugh::#-particular";"hugh::proud"
"hugh::#-particular";"hugh::willing"
"hugh::#-particular";"tappertit::#-particular"
"hugh::#-particular";"tappertit::proud"
"hugh::#-particular";"tappertit::willing"
"hugh::proud";"hugh::willing"
"hugh::proud";"tappertit::#-particular"
"hugh::proud";"tappertit::proud"
"hugh::proud";"tappertit::willing"
"hugh::willing";"tappertit::#-particular"
"hugh::willing";"tappertit::proud"
"hugh::willing";"tappertit::willing"
"tappertit::#-particular";"tappertit::proud"
"tappertit::#-particular";"tappertit::willing"
"tappertit::proud";"tappertit::willing"
"tappertit::rude";"tappertit::whimsical"
"dennis::social";"hugh::social"
"hugh::hasty";"hugh::majestic"
"hugh::hasty";"tappertit::hasty"
"hugh::hasty";"tappertit::majestic"
"hugh::majestic";"tappertit::hasty"
"hugh::majestic";"tappertit::majestic"
"tappertit::hasty";"tappertit::majestic"
"dunstan::provident";"hugh::provident"
"hugh::open";"hugh::surly"
"hugh::suspicious";"john_chester::suspicious"
"hugh::pleasant";"john::pleasant"
"barnaby_rudge::sure";"hugh::sure"
"haredale::proud";"hugh::proud"
"gabriel::hearty";"toby::hearty"
"martha::kind";"martha::sure"
"dolly::serious";"gabriel::serious"
"dolly_varden::pleasant";"dolly_varden::whimsical"
"miggs::delicate";"miggs::second"
"george::steady";"miggs::steady"
"george::steady";"mrs_varden::steady"
"miggs::steady";"mrs_varden::steady"
"dolly::heavy";"dolly::loving"
"dolly::heavy";"miggs::heavy"
"dolly::heavy";"miggs::loving"
"dolly::loving";"miggs::heavy"
"dolly::loving";"miggs::loving"
"miggs::heavy";"miggs::loving"
"gabriel::spiteful";"miggs::spiteful"
"dolly::forgiving";"mrs_varden::forgiving"
"dolly::bold";"miss_miggs::bold"
"dolly::handy";"miggs::handy"
"dolly::handy";"mrs_varden::handy"
"miggs::handy";"mrs_varden::handy"
"gabriel::honest";"joe_willet::honest"
"dolly::gracious";"gabriel::gracious"
"haredale::reasonable";"varden::reasonable"
"haredale::thorough";"varden::thorough"
"mr_haredale::eager";"mr_haredale::inflexible"
"mr_haredale::eager";"mr_haredale::stern"
"mr_haredale::inflexible";"mr_haredale::stern"
"haredale::humble";"john::humble"
"gashford::restless";"john::restless"
"george::disorderly";"george::forcible"
"george::violent";"haredale::violent"
"george::violent";"john::violent"
"haredale::violent";"john::violent"
"george::inquisitive";"haredale::inquisitive"
"george::inquisitive";"john_chester::inquisitive"
"haredale::inquisitive";"john_chester::inquisitive"
"george::loud";"haredale::loud"
"gashford::indifferent";"haredale::indifferent"
"gashford::indifferent";"john::indifferent"
"haredale::indifferent";"john::indifferent"
"john_chester::loud";"john::loud"
"george::friendly";"john::friendly"
"george::cool";"george::strong"
"george::cool";"john::cool"
"george::cool";"john::strong"
"george::strong";"john::cool"
"george::strong";"john::strong"
"john::cool";"john::strong"
"hugh::cold";"hugh::rusty"
"hugh::friendly";"muster_gashford::friendly"
"dennis::noisy";"dennis::quiet"
"dennis::noisy";"harry::noisy"
"dennis::noisy";"harry::quiet"
"dennis::noisy";"muster_gashford::noisy"
"dennis::noisy";"muster_gashford::quiet"
"dennis::quiet";"harry::noisy"
"dennis::quiet";"harry::quiet"
"dennis::quiet";"muster_gashford::noisy"
"dennis::quiet";"muster_gashford::quiet"
"harry::noisy";"harry::quiet"
"harry::noisy";"muster_gashford::noisy"
"harry::noisy";"muster_gashford::quiet"
"harry::quiet";"muster_gashford::noisy"
"harry::quiet";"muster_gashford::quiet"
"muster_gashford::noisy";"muster_gashford::quiet"
"barnaby::capricious";"barnaby::conversational"
"barnaby::charitable";"barnaby::helpless"
"barnaby::bold";"barnaby::merry"
"barnaby::lazy";"barnaby::stern"
"barnaby::peremptory";"grip::peremptory"
"barnaby::acceptable";"grip::acceptable"
"barnaby::thoughtful";"barnaby::wise"
"barnaby_rudge::active";"hugh::active"
"dennis::second";"dennis::serious"
"dennis::second";"hugh::second"
"dennis::second";"hugh::serious"
"dennis::second";"simon_tappertit::second"
"dennis::second";"simon_tappertit::serious"
"dennis::serious";"hugh::second"
"dennis::serious";"hugh::serious"
"dennis::serious";"simon_tappertit::second"
"dennis::serious";"simon_tappertit::serious"
"hugh::second";"hugh::serious"
"hugh::second";"simon_tappertit::second"
"hugh::second";"simon_tappertit::serious"
"hugh::serious";"simon_tappertit::second"
"hugh::serious";"simon_tappertit::serious"
"simon_tappertit::second";"simon_tappertit::serious"
"barnaby::proud";"hugh::proud"
"gashford::certain";"george::certain"
"conway::loud";"george::loud"
"george::original";"gordon::original"
"barnaby::open";"hugh::open"
"barnaby::straight";"barnaby::turbulent"
"barnaby::straight";"hugh::straight"
"barnaby::straight";"hugh::turbulent"
"barnaby::turbulent";"hugh::straight"
"barnaby::turbulent";"hugh::turbulent"
"hugh::straight";"hugh::turbulent"
"barnaby::military";"hugh::military"
"barnaby::#-sure";"hugh::#-sure"
"barnaby::sober";"dennis::sober"
"barnaby::sober";"hugh::sober"
"dennis::sober";"hugh::sober"
"dennis::excitable";"dennis::impetuous"
"dennis::excitable";"gashford::excitable"
"dennis::excitable";"gashford::impetuous"
"dennis::impetuous";"gashford::excitable"
"dennis::impetuous";"gashford::impetuous"
"gashford::excitable";"gashford::impetuous"
"barnaby::virtuous";"gashford::virtuous"
"barnaby::true";"gashford::true"
"barnaby::rusty";"dennis::rusty"
"barnaby::rusty";"hugh::rusty"
"dennis::rusty";"hugh::rusty"
"miggs::cold";"miggs::quiet"
"miggs::quiet";"mrs_varden::quiet"
"gabriel::gloomy";"gabriel::weak"
"mrs_varden::sure";"simon::sure"
"simon::chaste";"simon::free"
"miggs::straight";"mrs_varden::straight"
"miggs::straight";"simon::straight"
"mrs_varden::straight";"simon::straight"
"simon_tappertit::cool";"simon_tappertit::silent"
"miggs::sorrowful";"mrs_varden::sorrowful"
"miggs::daring";"varden::daring"
"dennis::loud";"muster_gashford::loud"
"hugh::loud";"muster_gashford::loud"
"dennis::stiff";"dennis::ugly"
"dennis::cruel";"hugh::cruel"
"dennis::heavy";"dennis::pleasant"
"dennis::heavy";"muster_gashford::heavy"
"dennis::heavy";"muster_gashford::pleasant"
"dennis::pleasant";"muster_gashford::heavy"
"dennis::pleasant";"muster_gashford::pleasant"
"muster_gashford::heavy";"muster_gashford::pleasant"
"dennis::careful";"hugh::careful"
"hugh::cold";"hugh::hearty"
"barnaby::grave";"barnaby::loud"
"barnaby::merry";"barnaby::original"
"barnaby::cool";"dennis::cool"
"dennis::hasty";"hugh::hasty"
"dennis::active";"hugh::active"
"dennis::violent";"hugh::violent"
"gashford::quick";"hugh::quick"
"dennis::quick";"hugh::quick"
"dennis::sure";"hugh::sure"
"dennis::sure";"gashford::sure"
"gashford::tranquil";"john_chester::tranquil"
"john::cheerful";"john::eager"
"john::cheerful";"john::fresh"
"john::cheerful";"john::heedless"
"john::cheerful";"john::pleasant"
"john::eager";"john::fresh"
"john::eager";"john::heedless"
"john::eager";"john::pleasant"
"john::fresh";"john::heedless"
"john::fresh";"john::pleasant"
"john::heedless";"john::pleasant"
"johnny::solemn";"parkes::solemn"
"johnny::solemn";"willet::solemn"
"parkes::solemn";"willet::solemn"
"johnny::adventurous";"king_george::adventurous"
"johnny::adventurous";"parkes::adventurous"
"king_george::adventurous";"parkes::adventurous"
"haredale::true";"john::true"
"johnny::quiet";"johnny::true"
"hugh::destructive";"john::destructive"
"hugh::sufficient";"john_willet::sufficient"
"hugh::sufficient";"john::sufficient"
"hugh::sufficient";"tappertit::sufficient"
"john_willet::sufficient";"john::sufficient"
"john_willet::sufficient";"tappertit::sufficient"
"john::sufficient";"tappertit::sufficient"
"hugh::quiet";"john::quiet"
"hugh::heavy";"jack::heavy"
"john::noisy";"john::quiet"
"haredale::heavy";"hugh::heavy"
"haredale::heavy";"john_willet::heavy"
"hugh::heavy";"john_willet::heavy"
"george_saville::catholic";"george::catholic"
"johnny::simple-hearted";"solomon::simple-hearted"
"john::mute";"solomon::mute"
"john::silent";"solomon::silent"
"johnny::sure";"willet::sure"
"haredale::rueful";"john::rueful"
"john_willet::mournful";"johnny::mournful"
"john_willet::mournful";"willet::mournful"
"johnny::mournful";"willet::mournful"
"haredale::heavy";"johnny::heavy"
"grip::particular";"grip::stable"
"grip::particular";"hugh::particular"
"grip::particular";"hugh::stable"
"grip::stable";"hugh::particular"
"grip::stable";"hugh::stable"
"hugh::particular";"hugh::stable"
"john_grueby::irreligious";"john_grueby::restless"
"john_grueby::irreligious";"john::irreligious"
"john_grueby::irreligious";"john::restless"
"john_grueby::restless";"john::irreligious"
"john_grueby::restless";"john::restless"
"john::irreligious";"john::restless"
"barnaby::honest";"john::honest"
"barnaby::civil";"barnaby::strong"
"hugh::straight";"hugh::sullen"
"hugh::straight";"warren::straight"
"hugh::straight";"warren::sullen"
"hugh::sullen";"warren::straight"
"hugh::sullen";"warren::sullen"
"warren::straight";"warren::sullen"
"barnaby::bold";"barnaby::military"
"dolly::hateful";"joe::hateful"
"haredale::awkward";"sim::awkward"
"dennis::true";"hugh::true"
"hugh::handsome";"muster_gashford::handsome"
"dennis::steady";"hugh::steady"
"barnaby::open";"barnaby::rash"
"barnaby::open";"barnaby::weak"
"barnaby::open";"hugh::rash"
"barnaby::open";"hugh::weak"
"barnaby::rash";"barnaby::weak"
"barnaby::rash";"hugh::open"
"barnaby::rash";"hugh::rash"
"barnaby::rash";"hugh::weak"
"barnaby::weak";"hugh::open"
"barnaby::weak";"hugh::rash"
"barnaby::weak";"hugh::weak"
"hugh::open";"hugh::rash"
"hugh::open";"hugh::weak"
"hugh::rash";"hugh::weak"
"haredale::intense";"haredale::natural"
"mr_haredale::cruel";"mr_haredale::slanderous"
"dennis::friendly";"dennis::practical"
"tappertit::silent";"tappertit::strong"
"akerman::honest";"gabriel_varden::honest"
"dennis::waggish";"mr_dennis::waggish"
"dennis::certain";"dennis::penitent"
"dennis::certain";"dennis::sober"
"dennis::certain";"mr_dennis::certain"
"dennis::certain";"mr_dennis::penitent"
"dennis::certain";"mr_dennis::sober"
"dennis::penitent";"dennis::sober"
"dennis::penitent";"mr_dennis::certain"
"dennis::penitent";"mr_dennis::penitent"
"dennis::penitent";"mr_dennis::sober"
"dennis::sober";"mr_dennis::certain"
"dennis::sober";"mr_dennis::penitent"
"dennis::sober";"mr_dennis::sober"
"mr_dennis::certain";"mr_dennis::penitent"
"mr_dennis::certain";"mr_dennis::sober"
"mr_dennis::penitent";"mr_dennis::sober"
"dennis::free";"dennis::sad"
"dennis::free";"mr_dennis::free"
"dennis::free";"mr_dennis::sad"
"dennis::sad";"mr_dennis::free"
"dennis::sad";"mr_dennis::sad"
"mr_dennis::free";"mr_dennis::sad"
"dennis::open";"dennis::quick"
"haredale::sensible";"john_grueby::sensible"
"john::cordial";"john::strong"
"algernon_percy::fierce";"lincoln::fierce"
"haredale::fierce";"haredale::general"
"haredale::fierce";"hugh::fierce"
"haredale::fierce";"hugh::general"
"haredale::general";"hugh::fierce"
"haredale::general";"hugh::general"
"hugh::fierce";"hugh::general"
"edward_chester::aloof";"edward::aloof"
"edward_chester::aloof";"haredale::aloof"
"edward_chester::aloof";"joe::aloof"
"edward::aloof";"haredale::aloof"
"edward::aloof";"joe::aloof"
"haredale::aloof";"joe::aloof"
"joe::bold";"joe::second"
"haredale::#-silent";"joe::#-silent"
"barnaby::rapid";"edward::rapid"
"barnaby::rapid";"haredale::rapid"
"barnaby::rapid";"joe::rapid"
"edward::rapid";"haredale::rapid"
"edward::rapid";"joe::rapid"
"haredale::rapid";"joe::rapid"
"barnaby::strong";"dennis::strong"
"barnaby::strong";"hugh::strong"
"dennis::strong";"hugh::strong"
"barnaby::gruff";"barnaby::noisy"
"barnaby::gruff";"hugh_hugh::gruff"
"barnaby::gruff";"hugh_hugh::noisy"
"barnaby::noisy";"hugh_hugh::gruff"
"barnaby::noisy";"hugh_hugh::noisy"
"hugh_hugh::gruff";"hugh_hugh::noisy"
"barnaby::sensible";"hugh::sensible"
"barnaby::blithe";"hugh::blithe"
"barnaby::boisterous";"barnaby::general"
"barnaby::boisterous";"hugh::boisterous"
"barnaby::boisterous";"hugh::general"
"barnaby::general";"hugh::boisterous"
"barnaby::general";"hugh::general"
"hugh::boisterous";"hugh::general"
"hugh::sullen";"ned_dennis::sullen"
"barnaby::fast";"hugh::fast"
"dennis::forcible";"haredale::forcible"
"hugh::amorous";"tappertit::amorous"
"--_stop::quiet";"mr_dennis::quiet"
"haredale::easy";"hugh::easy"
"haredale::easy";"miggs::easy"
"haredale::easy";"tappertit::easy"
"hugh::easy";"miggs::easy"
"hugh::easy";"tappertit::easy"
"miggs::easy";"tappertit::easy"
"dolly::rough";"miggs::rough"
"dennis::practical";"dennis::severe"
"dennis::practical";"miggs::practical"
"dennis::practical";"miggs::severe"
"dennis::severe";"miggs::practical"
"dennis::severe";"miggs::severe"
"miggs::practical";"miggs::severe"
"dennis::certain";"dolly::certain"
"dennis::certain";"miggs::certain"
"dolly::certain";"miggs::certain"
"dolly_varden::sweet";"dolly::sweet"
"dolly_varden::gentle";"dolly::gentle"
"haredale::second";"miggs::second"
"miggs::strong";"varden::strong"
"dolly::true";"emma_haredale::true"
"dolly::true";"miggs::true"
"emma_haredale::true";"miggs::true"
"emma::cruel";"emma::thankful"
"dolly::sure";"emma::sure"
"dolly::silent";"emma::silent"
"dolly::tight";"emma::tight"
"dolly::cheerful";"emma::cheerful"
"haredale::submissive";"mr_haredale::submissive"
"dennis::recreant";"simon_tappertit::recreant"
"dolly::keen";"joe::keen"
"dolly::keen";"simon::keen"
"joe::keen";"simon::keen"
"dolly::fast";"edward_chester::fast"
"dolly::fast";"joe_willet::fast"
"edward_chester::fast";"joe_willet::fast"
"john::obstinate";"willet::obstinate"
"black_lion::familiar";"willet::familiar"
"willet::slow";"willet::solemn"
"dolly::careless";"dolly::certain"
"mansfield::serious";"saville::serious"
"george_gordon::indefinite";"herbert::indefinite"
"barnaby::quiet";"barnaby::thoughtful"
"barnaby::mild";"barnaby::true"
"dennis::selfish";"dennis::sensitive"
"dennis::certain";"dennis::constant"
"dennis::certain";"dennis::social"
"dennis::constant";"dennis::social"
"st_paul::cheerful";"st_paul::lofty"
"st_paul::cheerful";"st_paul::sullen"
"st_paul::lofty";"st_paul::sullen"
"john::cheerful";"john::equable"
"john_chester::impatient";"john_chester::urgent"
"gabriel_varden::sure";"john::sure"
"gabriel_varden::sure";"varden::sure"
"john::sure";"varden::sure"
"john_chester::doleful";"john_chester::sad"
"john_chester::doleful";"john::doleful"
"john_chester::doleful";"john::sad"
"john_chester::doleful";"mr_varden::doleful"
"john_chester::doleful";"mr_varden::sad"
"john_chester::sad";"john::doleful"
"john_chester::sad";"john::sad"
"john_chester::sad";"mr_varden::doleful"
"john_chester::sad";"mr_varden::sad"
"john::doleful";"john::sad"
"john::doleful";"mr_varden::doleful"
"john::doleful";"mr_varden::sad"
"john::sad";"mr_varden::doleful"
"john::sad";"mr_varden::sad"
"mr_varden::doleful";"mr_varden::sad"
"hugh::certain";"john::certain"
"gabriel::honest";"john::honest"
"gabriel::honest";"varden::honest"
"john::honest";"varden::honest"
"dennis::unhappy";"hugh::unhappy"
"dennis::unhappy";"john::unhappy"
"hugh::unhappy";"john::unhappy"
"gabriel::free";"john::free"
"gabriel::lofty";"john::lofty"
"john::steady";"varden::steady"
"john::free";"varden::free"
"john::proud";"varden::proud"
"john::rough";"varden::rough"
"john_chester::good-natured";"john_chester::natural"
"john_chester::good-natured";"john::good-natured"
"john_chester::good-natured";"john::natural"
"john_chester::good-natured";"varden::good-natured"
"john_chester::good-natured";"varden::natural"
"john_chester::natural";"john::good-natured"
"john_chester::natural";"john::natural"
"john_chester::natural";"varden::good-natured"
"john_chester::natural";"varden::natural"
"john::good-natured";"john::natural"
"john::good-natured";"varden::good-natured"
"john::good-natured";"varden::natural"
"john::natural";"varden::good-natured"
"john::natural";"varden::natural"
"varden::good-natured";"varden::natural"
"john::credulous";"john::mild"
"john::credulous";"john::simple"
"john::credulous";"varden::credulous"
"john::credulous";"varden::mild"
"john::credulous";"varden::simple"
"john::mild";"john::simple"
"john::mild";"varden::credulous"
"john::mild";"varden::mild"
"john::mild";"varden::simple"
"john::simple";"varden::credulous"
"john::simple";"varden::mild"
"john::simple";"varden::simple"
"varden::credulous";"varden::mild"
"varden::credulous";"varden::simple"
"varden::mild";"varden::simple"
"john_chester::obdurate";"john_chester::unyielding"
"barnaby::willing";"mary_rudge::willing"
"barnaby::busy";"barnaby::proud"
"barnaby::bold";"hugh::bold"
"barnaby::familiar";"dennis::familiar"
"barnaby::familiar";"hugh::familiar"
"dennis::familiar";"hugh::familiar"
"--_hugh::reckless";"hugh::reckless"
"mansfield::helpless";"mansfield::sad"
"joe::grave";"joe::silent"
"miggs::abrupt";"miggs::steep"
"miggs::abrupt";"mrs_varden::abrupt"
"miggs::abrupt";"mrs_varden::steep"
"miggs::steep";"mrs_varden::abrupt"
"miggs::steep";"mrs_varden::steep"
"mrs_varden::abrupt";"mrs_varden::steep"
"haredale::natural";"tut::natural"
"edward_haredale::frank";"edward_haredale::sure"
"emma::earnest";"emma::true"
"emma::cheerful";"emma::melancholy"
"haredale::cold";"haredale::slow"
"edward::loud";"haredale::loud"
"barnaby::grateful";"gabriel::grateful"
"barnaby::grateful";"mr_haredale::grateful"
"gabriel::grateful";"mr_haredale::grateful"
"mrs_varden::jovial";"toby::jovial"
"joe::restless";"mrs_varden::restless"
"mrs_varden::motherly";"mrs_varden::shrewd"
"dolly::exact";"willet::exact"
"dolly::violent";"joe::violent"
"dolly::open";"joe::open"
"dolly::hysterical";"joe::hysterical"
"miggs::gracious";"miggs::loud"
"dolly::strong";"joe::strong"
"miggs::bitter";"miggs::sure"
"haredale::courteous";"john::courteous"
"haredale::sure";"john::sure"
"george_gordon::quiet";"george_gordon::strong"
"simon_tappertit::free";"simon_tappertit::military"
"dolly_varden::sure";"joe_willet::sure"
"dolly::sleek";"edward::sleek"
"dolly::silent";"edward::silent"
"dolly::certain";"dolly::decorous"
"dolly::certain";"edward::certain"
"dolly::certain";"edward::decorous"
"dolly::decorous";"edward::certain"
"dolly::decorous";"edward::decorous"
"edward::certain";"edward::decorous"
