"emma_woodhouse::affectionate";"emma_woodhouse::indulgent"
"woodhouse::#-true";"woodhouse::indifferent"
"emma::general";"emma::unhappy"
"emma::general";"harriet::unhappy"
"emma::general";"miss_smith::general"
"emma::general";"miss_smith::unhappy"
"emma::general";"woodhouse::general"
"emma::general";"woodhouse::unhappy"
"emma::unhappy";"harriet::general"
"emma::unhappy";"harriet::unhappy"
"emma::unhappy";"miss_smith::general"
"emma::unhappy";"miss_smith::unhappy"
"emma::unhappy";"woodhouse::general"
"harriet::general";"harriet::unhappy"
"harriet::general";"miss_smith::general"
"harriet::general";"miss_smith::unhappy"
"harriet::general";"woodhouse::general"
"harriet::general";"woodhouse::unhappy"
"harriet::unhappy";"miss_smith::general"
"harriet::unhappy";"miss_smith::unhappy"
"harriet::unhappy";"woodhouse::general"
"harriet::unhappy";"woodhouse::unhappy"
"miss_smith::general";"miss_smith::unhappy"
"miss_smith::general";"woodhouse::general"
"miss_smith::general";"woodhouse::unhappy"
"miss_smith::unhappy";"woodhouse::general"
"miss_smith::unhappy";"woodhouse::unhappy"
"woodhouse::general";"woodhouse::unhappy"
"emma::original";"emma::particular"
"emma::original";"harriet::original"
"emma::original";"harriet::particular"
"emma::original";"henry::original"
"emma::original";"henry::particular"
"emma::original";"little_john::original"
"emma::original";"little_john::particular"
"emma::particular";"harriet::original"
"emma::particular";"harriet::particular"
"emma::particular";"henry::original"
"emma::particular";"henry::particular"
"emma::particular";"little_john::original"
"emma::particular";"little_john::particular"
"harriet::original";"harriet::particular"
"harriet::original";"henry::original"
"harriet::original";"henry::particular"
"harriet::original";"little_john::original"
"harriet::original";"little_john::particular"
"harriet::particular";"henry::original"
"harriet::particular";"henry::particular"
"harriet::particular";"little_john::original"
"harriet::particular";"little_john::particular"
"henry::original";"henry::particular"
"henry::original";"little_john::original"
"henry::original";"little_john::particular"
"henry::particular";"little_john::original"
"henry::particular";"little_john::particular"
"little_john::original";"little_john::particular"
"harriet::cautious";"harriet::serious"
"harriet::silent";"harriet::submissive"
"bates::sure";"bates::vain"
"bates::sure";"coles::sure"
"bates::sure";"coles::vain"
"bates::sure";"frank_churchill::sure"
"bates::sure";"frank_churchill::vain"
"bates::sure";"perry::sure"
"bates::sure";"perry::vain"
"bates::vain";"coles::sure"
"bates::vain";"coles::vain"
"bates::vain";"frank_churchill::sure"
"bates::vain";"frank_churchill::vain"
"bates::vain";"perry::sure"
"bates::vain";"perry::vain"
"coles::sure";"coles::vain"
"coles::sure";"frank_churchill::sure"
"coles::sure";"frank_churchill::vain"
"coles::sure";"perry::sure"
"coles::sure";"perry::vain"
"coles::vain";"frank_churchill::sure"
"coles::vain";"frank_churchill::vain"
"coles::vain";"perry::sure"
"coles::vain";"perry::vain"
"frank_churchill::sure";"frank_churchill::vain"
"frank_churchill::sure";"perry::sure"
"frank_churchill::sure";"perry::vain"
"frank_churchill::vain";"perry::sure"
"frank_churchill::vain";"perry::vain"
"perry::sure";"perry::vain"
"frank_churchill::vain";"jane::vain"
"frank_churchill::vain";"knightley::vain"
"jane::vain";"knightley::vain"
"emma::animated";"emma::melancholy"
"emma::animated";"weston::animated"
"emma::animated";"weston::melancholy"
"emma::animated";"woodhouse::animated"
"emma::animated";"woodhouse::melancholy"
"emma::melancholy";"weston::animated"
"emma::melancholy";"weston::melancholy"
"emma::melancholy";"woodhouse::animated"
"emma::melancholy";"woodhouse::melancholy"
"weston::animated";"weston::melancholy"
"weston::animated";"woodhouse::animated"
"weston::animated";"woodhouse::melancholy"
"weston::melancholy";"woodhouse::animated"
"weston::melancholy";"woodhouse::melancholy"
"woodhouse::animated";"woodhouse::melancholy"
"harriet::eager";"harriet::fresh"
"emma::demure";"emma::sly"
"emma::eager";"frank_churchill::eager"
"emma::eager";"jane::eager"
"frank_churchill::eager";"jane::eager"
"emma::earnest";"frank_churchill::earnest"
"knightley::kind";"knightley::sensible"
"--_emma::particular";"elton::particular"
"--_emma::particular";"frank::particular"
"--_emma::particular";"harriet::particular"
"--_emma::particular";"weston::particular"
"elton::particular";"frank::particular"
"elton::particular";"harriet::particular"
"elton::particular";"weston::particular"
"frank::particular";"harriet::particular"
"frank::particular";"weston::particular"
"harriet::particular";"weston::particular"
"isabella::pleasant";"john_knightley::pleasant"
"emma::expressive";"frank_churchill::expressive"
"harriet::cool";"harriet::reasonable"
"emma::sure";"woodhouse::sure"
"emma::indifferent";"frank::indifferent"
"emma::indifferent";"knightley::indifferent"
"emma::indifferent";"weston::indifferent"
"frank::indifferent";"harriet::indifferent"
"frank::indifferent";"knightley::indifferent"
"frank::indifferent";"weston::indifferent"
"harriet::indifferent";"knightley::indifferent"
"harriet::indifferent";"weston::indifferent"
"knightley::indifferent";"weston::indifferent"
"bates::brutal";"bates::cruel"
"emma::silent";"emma::willing"
"emma::silent";"harriet::silent"
"emma::silent";"harriet::willing"
"emma::willing";"harriet::silent"
"harriet::silent";"harriet::willing"
"box_hill::#-open";"box_hill::general"
"box_hill::#-open";"box_hill::severe"
"box_hill::#-open";"emma::#-open"
"box_hill::#-open";"emma::general"
"box_hill::#-open";"emma::severe"
"box_hill::general";"box_hill::severe"
"box_hill::general";"emma::#-open"
"box_hill::general";"emma::general"
"box_hill::general";"emma::severe"
"box_hill::severe";"emma::#-open"
"box_hill::severe";"emma::general"
"box_hill::severe";"emma::severe"
"emma::#-open";"emma::general"
"emma::#-open";"emma::severe"
"emma::general";"emma::severe"
"box_hill::unfeeling";"emma::unfeeling"
"bates::scornful";"bates::ungracious"
"bates::sure";"jane::sure"
"bates::civil";"bates::humble"
"bates::cheerful";"emma::cheerful"
"bates::friendly";"emma::friendly"
"jane::gentle";"jane::steady"
"jane::gentle";"jane::ungenerous"
"jane::steady";"jane::ungenerous"
"emma::direct";"smallridge::direct"
"bragge::intimate";"smallridge::intimate"
"bragge::intimate";"suckling::intimate"
"smallridge::intimate";"suckling::intimate"
"campbell::sure";"elton::sure"
"elton::sure";"jane::sure"
"churchill::cold";"churchill::steady"
"churchill::cold";"elton::cold"
"churchill::cold";"elton::steady"
"churchill::cold";"frank_churchill::cold"
"churchill::cold";"frank_churchill::steady"
"churchill::cold";"tom::cold"
"churchill::cold";"tom::steady"
"churchill::steady";"elton::cold"
"churchill::steady";"elton::steady"
"churchill::steady";"frank_churchill::cold"
"churchill::steady";"frank_churchill::steady"
"churchill::steady";"tom::cold"
"churchill::steady";"tom::steady"
"elton::cold";"elton::steady"
"elton::cold";"frank_churchill::cold"
"elton::cold";"frank_churchill::steady"
"elton::cold";"tom::cold"
"elton::cold";"tom::steady"
"elton::steady";"frank_churchill::cold"
"elton::steady";"frank_churchill::steady"
"elton::steady";"tom::cold"
"elton::steady";"tom::steady"
"frank_churchill::cold";"frank_churchill::steady"
"frank_churchill::cold";"tom::cold"
"frank_churchill::cold";"tom::steady"
"frank_churchill::steady";"tom::cold"
"frank_churchill::steady";"tom::steady"
"tom::cold";"tom::steady"
"emma::general";"knightley::general"
"emma::dignified";"emma::simple"
"emma::dignified";"knightley::dignified"
"emma::dignified";"knightley::simple"
"emma::simple";"knightley::dignified"
"emma::simple";"knightley::simple"
"knightley::dignified";"knightley::simple"
"bates::thorough";"emma::thorough"
"bates::thorough";"jane_fairfax::thorough"
"bates::thorough";"knightley::thorough"
"emma::thorough";"jane_fairfax::thorough"
"emma::thorough";"knightley::thorough"
"jane_fairfax::thorough";"knightley::thorough"
"churchill::easy";"churchill::independent"
"bates::quiet";"jane::quiet"
"bates::quiet";"perry::quiet"
"jane::quiet";"perry::quiet"
"bates::vain";"jane::vain"
"churchill::natural";"emma::natural"
"churchill::natural";"weston::natural"
"frank::demure";"frank::silent"
"emma::steady";"weston::steady"
"churchill::strict";"frank::strict"
"harriet::unhappy";"jane::unhappy"
"harriet::delicate";"weston::delicate"
"harriet::quick";"weston::quick"
"emma::strong";"emma::unhappy"
"emma::strong";"harriet::strong"
"emma::strong";"harriet::unhappy"
"emma::strong";"knightley::strong"
"emma::strong";"knightley::unhappy"
"emma::unhappy";"harriet::strong"
"emma::unhappy";"knightley::strong"
"emma::unhappy";"knightley::unhappy"
"harriet::strong";"harriet::unhappy"
"harriet::strong";"knightley::strong"
"harriet::strong";"knightley::unhappy"
"harriet::unhappy";"knightley::strong"
"harriet::unhappy";"knightley::unhappy"
"knightley::strong";"knightley::unhappy"
"--_emma::unhappy";"harriet::unhappy"
"--_emma::unhappy";"woodhouse::unhappy"
"harriet::#-unsteady";"harriet::sudden"
"--_methodical::inward";"--_methodical::methodical"
"--_methodical::inward";"harriet::inward"
"--_methodical::inward";"harriet::methodical"
"--_methodical::methodical";"harriet::inward"
"--_methodical::methodical";"harriet::methodical"
"harriet::inward";"harriet::methodical"
"--_emma::decisive";"harriet::decisive"
"--_latterly::sensible";"harriet::sensible"
"--_latterly::sensible";"woodhouse::sensible"
"harriet::sensible";"woodhouse::sensible"
"emma::second";"woodhouse::second"
"emma::bitter";"harriet::bitter"
"emma::bitter";"knightley::bitter"
"harriet::bitter";"knightley::bitter"
"emma::spontaneous";"woodhouse::spontaneous"
"emma::fresh";"woodhouse::fresh"
"elton::sensible";"knightley::sensible"
"isabella::insolent";"isabella::negligent"
"isabella::insolent";"isabella::perverse"
"isabella::insolent";"isabella::thorough"
"isabella::negligent";"isabella::perverse"
"isabella::negligent";"isabella::thorough"
"isabella::perverse";"isabella::thorough"
"bates::awkward";"weston::awkward"
"churchill::ceremonious";"weston::ceremonious"
"emma::random";"weston::random"
"emma::envious";"weston::envious"
"dixon::intimate";"frank_churchill::intimate"
"dixon::intimate";"jane::intimate"
"frank_churchill::intimate";"jane::intimate"
"knightley::melancholy";"weston::melancholy"
"emma::particular";"emma::unsuspicious"
"--_jane::certain";"--_jane::sweet"
"emma::lively";"knightley::lively"
"emma::busy";"emma::exact"
"emma::busy";"harriet::busy"
"emma::busy";"harriet::exact"
"emma::exact";"harriet::busy"
"emma::exact";"harriet::exact"
"harriet::busy";"harriet::exact"
"emma::unsuspicious";"knightley::unsuspicious"
"emma::jealous";"frank_churchill::jealous"
"emma::domestic";"isabella::domestic"
"emma::keen";"frank_churchill::keen"
"emma::keen";"jane_fairfax::keen"
"frank_churchill::keen";"jane_fairfax::keen"
"perry::cold";"perry::unsuspicious"
"perry::cold";"woodhouse::cold"
"perry::cold";"woodhouse::unsuspicious"
"perry::unsuspicious";"woodhouse::cold"
"perry::unsuspicious";"woodhouse::unsuspicious"
"woodhouse::cold";"woodhouse::unsuspicious"
"emma::serious";"knightley::serious"
"harriet::sad";"harriet::serious"
"harriet::sad";"hartfield::sad"
"harriet::sad";"hartfield::serious"
"harriet::sad";"knightley::sad"
"harriet::sad";"knightley::serious"
"harriet::serious";"hartfield::sad"
"harriet::serious";"hartfield::serious"
"harriet::serious";"knightley::sad"
"harriet::serious";"knightley::serious"
"hartfield::sad";"hartfield::serious"
"hartfield::sad";"knightley::sad"
"hartfield::sad";"knightley::serious"
"hartfield::serious";"knightley::sad"
"hartfield::serious";"knightley::serious"
"knightley::sad";"knightley::serious"
"weston::grateful";"weston::severe"
"knightley::sure";"weston::sure"
"emma::sincere";"harriet::sincere"
"jane_fairfax::saucy";"jane_fairfax::violent"
"jane_fairfax::saucy";"knightley::saucy"
"jane_fairfax::saucy";"knightley::violent"
"jane_fairfax::violent";"knightley::saucy"
"jane_fairfax::violent";"knightley::violent"
"knightley::saucy";"knightley::violent"
"jane_fairfax::melancholy";"knightley::melancholy"
"emma::charitable";"harriet::charitable"
"harriet::considerate";"knightley::considerate"
"harriet::eager";"john_knightley::eager"
"harriet::eager";"wingfield::eager"
"john_knightley::eager";"wingfield::eager"
"emma::true";"knightley::true"
"--_emma::sufficient";"jane::sufficient"
"bates::certain";"emma::certain"
"bates::certain";"perry::certain"
"emma::certain";"perry::certain"
"elton::friendly";"elton::thankful"
"elton::friendly";"emma::friendly"
"elton::friendly";"emma::thankful"
"elton::friendly";"jane::friendly"
"elton::friendly";"jane::thankful"
"elton::friendly";"perry::friendly"
"elton::friendly";"perry::thankful"
"elton::thankful";"emma::friendly"
"elton::thankful";"emma::thankful"
"elton::thankful";"jane::friendly"
"elton::thankful";"jane::thankful"
"elton::thankful";"perry::friendly"
"elton::thankful";"perry::thankful"
"emma::friendly";"emma::thankful"
"emma::friendly";"jane::friendly"
"emma::friendly";"jane::thankful"
"emma::friendly";"perry::friendly"
"emma::friendly";"perry::thankful"
"emma::thankful";"jane::friendly"
"emma::thankful";"jane::thankful"
"emma::thankful";"perry::friendly"
"emma::thankful";"perry::thankful"
"jane::friendly";"jane::thankful"
"jane::friendly";"perry::friendly"
"jane::friendly";"perry::thankful"
"jane::thankful";"perry::friendly"
"jane::thankful";"perry::thankful"
"perry::friendly";"perry::thankful"
"knightley::serious";"william::serious"
"elton::even";"knightley::even"
"elton::even";"william_larkins::even"
"knightley::even";"william_larkins::even"
"elton::christian";"k.::christian"
"emma::womanly";"harriet_smith::womanly"
"--_isabella::natural";"harriet::natural"
"--_isabella::natural";"isabella::natural"
"harriet::natural";"isabella::natural"
"harriet::quick";"harriet::sure"
"emma::gentle";"weston::gentle"
"emma::gentle";"woodhouse::gentle"
"weston::gentle";"woodhouse::gentle"
"hartfield::constant";"knightley::constant"
"hartfield::constant";"weston::constant"
"knightley::constant";"weston::constant"
"emma::melancholy";"emma::sure"
"emma::melancholy";"hartfield::melancholy"
"emma::melancholy";"hartfield::sure"
"emma::melancholy";"isabella::melancholy"
"emma::melancholy";"isabella::sure"
"emma::melancholy";"knightley::melancholy"
"emma::melancholy";"knightley::sure"
"emma::melancholy";"weston::sure"
"emma::sure";"hartfield::melancholy"
"emma::sure";"isabella::melancholy"
"emma::sure";"isabella::sure"
"emma::sure";"knightley::melancholy"
"emma::sure";"knightley::sure"
"emma::sure";"weston::melancholy"
"emma::sure";"weston::sure"
"hartfield::melancholy";"hartfield::sure"
"hartfield::melancholy";"isabella::melancholy"
"hartfield::melancholy";"isabella::sure"
"hartfield::melancholy";"knightley::melancholy"
"hartfield::melancholy";"knightley::sure"
"hartfield::melancholy";"weston::melancholy"
"hartfield::melancholy";"weston::sure"
"hartfield::sure";"isabella::melancholy"
"hartfield::sure";"isabella::sure"
"hartfield::sure";"knightley::melancholy"
"hartfield::sure";"knightley::sure"
"hartfield::sure";"weston::melancholy"
"isabella::melancholy";"isabella::sure"
"isabella::melancholy";"knightley::melancholy"
"isabella::melancholy";"knightley::sure"
"isabella::melancholy";"weston::melancholy"
"isabella::melancholy";"weston::sure"
"isabella::sure";"knightley::melancholy"
"isabella::sure";"weston::melancholy"
"knightley::melancholy";"knightley::sure"
"knightley::melancholy";"weston::sure"
"knightley::sure";"weston::melancholy"
"weston::melancholy";"weston::sure"
"emma::cheerful";"hartfield::cheerful"
"emma::cheerful";"isabella::cheerful"
"emma::cheerful";"knightley::cheerful"
"hartfield::cheerful";"isabella::cheerful"
"hartfield::cheerful";"knightley::cheerful"
"hartfield::cheerful";"weston::cheerful"
"isabella::cheerful";"weston::cheerful"
"knightley::cheerful";"weston::cheerful"
"hartfield::serious";"john_knightleys::serious"
"emma::good-tempered";"emma::soft-hearted"
"emma::good-tempered";"knightley::good-tempered"
"emma::good-tempered";"knightley::soft-hearted"
"emma::soft-hearted";"knightley::good-tempered"
"emma::soft-hearted";"knightley::soft-hearted"
"knightley::good-tempered";"knightley::soft-hearted"
"harriet::sure";"martin::sure"
"frank_churchill::forgiving";"frank_churchill::kind"
"frank_churchill::forgiving";"miss_woodhouse::forgiving"
"frank_churchill::forgiving";"miss_woodhouse::kind"
"frank_churchill::forgiving";"weston::forgiving"
"frank_churchill::forgiving";"weston::kind"
"frank_churchill::kind";"miss_woodhouse::forgiving"
"frank_churchill::kind";"miss_woodhouse::kind"
"frank_churchill::kind";"weston::forgiving"
"frank_churchill::kind";"weston::kind"
"miss_woodhouse::forgiving";"miss_woodhouse::kind"
"miss_woodhouse::forgiving";"weston::forgiving"
"miss_woodhouse::forgiving";"weston::kind"
"miss_woodhouse::kind";"weston::forgiving"
"miss_woodhouse::kind";"weston::kind"
"weston::forgiving";"weston::kind"
"emma::animated";"frank_churchill::animated"
"emma::animated";"jane::animated"
"emma::animated";"knightley::animated"
"frank_churchill::animated";"jane::animated"
"frank_churchill::animated";"knightley::animated"
"jane::animated";"knightley::animated"
"emma::unbiased";"harriet::unbiased"
"emma::unbiased";"knightley::unbiased"
"harriet::unbiased";"knightley::unbiased"
"--_harriet::presumptuous";"emma::presumptuous"
"--_harriet::presumptuous";"harriet::presumptuous"
"emma::presumptuous";"harriet::presumptuous"
"--_harriet::fresh";"--_harriet::joyful"
"elton::cheerful";"knightley::cheerful"
"elton::cheerful";"robert_martin::cheerful"
"elton::cheerful";"woodhouse::cheerful"
"knightley::cheerful";"martin::cheerful"
"knightley::cheerful";"robert_martin::cheerful"
"knightley::cheerful";"woodhouse::cheerful"
"martin::cheerful";"robert_martin::cheerful"
"martin::cheerful";"woodhouse::cheerful"
"robert_martin::cheerful";"woodhouse::cheerful"
