"" "admirable" "afraid" "alone" "bad" "big" "bitter" "blind" "bold" "bright" "capable" "childish" "cold" "conceited" "concerned" "corrupt" "curious" "daring" "dedicated" "delighted" "determined" "direct" "dishonest" "distinguished" "disturbed" "eager" "excellent" "familiar" "famous" "fat" "fine" "forward" "friendly" "gentle" "glad" "good" "gorgeous" "gracious" "great" "happy" "hard" "honest" "ignorant" "impatient" "important" "innocent" "insulting" "kind" "little" "modest" "natural" "neglected" "nice" "old" "open" "ordinary" "passionate" "patient" "plain" "pleasant" "pleased" "pleasing" "proper" "proud" "quiet" "reasonable" "rebellious" "rich" "ridiculous" "rough" "sad" "serious" "short" "sincere" "slender" "smart" "strange" "strong" "sweet" "tall" "terrible" "thin" "thinking" "thorough" "tough" "troubled" "violent" "well" "wise" "young" "satisfied" "superstitious" "wonderful"
"sad" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"serious" 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
"short" 0 0 1 1 2 0 1 0 0 1 0 0 0 0 0 2 1 0 0 1 0 0 1 1 2 1 0 0 0 1 1 0 0 1 6 1 0 6 0 4 1 1 0 1 1 0 0 5 0 0 1 1 0 2 0 0 0 0 0 0 0 2 0 0 0 1 3 0 2 0 0 0 0 1 1 0 0 1 0 1 1 0 3 0 1 1 4 2 4 0 0 0
"sincere" 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0
"slender" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0
"smart" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
"strange" 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 2 0 0 1 0 1 0 3 0 0 3 0 0 1 1 0 0 1 0 1 2 0 1 0 0 2 0 0 0 0 0 0 1 1 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1
"strong" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 1 0 1 1 1 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0
"sweet" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 2 1 0 1 0 1 0 0 3 4 1 0 3 1 1 1 2 0 0 1 0 0 4 1 0 0 0 0 2 1 1 2 0 0 1 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 3 0 1 0 0 0
"tall" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
"terrible" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"thin" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"thinking" 0 0 1 2 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 2 0 1 0 0 6 0 0 4 0 1 0 1 0 0 1 1 0 5 1 0 0 0 0 2 0 0 1 0 0 1 0 0 1 0 1 0 0 1 2 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 3 1 4 1 0 0 0 0
"thorough" 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 0 0 1 5 0 1 3 1 4 0 2 0 0 1 0 0 3 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 2 0 1 1 0 3 0 0 0 0 1 1 0 0 0 1 0 0 2 2 0 0 1 0 0 0
"tough" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
"troubled" 1 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 2 0 0 0 1 1 1 1 1 5 0 0 4 1 2 0 1 0 0 1 0 0 5 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 1 1 0 0 0 1 0 1 0 3 2 0 0 1 0 2 1 0 0 0
"violent" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 1 0 0 0
"well" 0 2 2 4 1 0 1 0 1 1 1 2 1 2 0 0 1 0 1 2 1 0 0 0 2 3 2 2 1 3 3 0 2 2 11 1 1 12 0 4 3 2 0 1 1 0 0 12 1 0 1 2 1 6 1 0 2 1 2 5 0 2 1 1 3 1 4 1 2 0 1 4 0 0 1 1 1 3 1 0 1 4 0 1 0 0 0 4 6 0 0 0
"wise" 0 1 1 1 1 0 0 0 2 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 3 1 0 2 0 2 0 1 1 0 2 0 1 4 0 1 0 0 0 0 1 0 0 5 0 0 0 1 0 2 0 0 0 1 2 2 0 0 0 1 2 0 3 0 0 0 0 2 1 1 0 1 0 0 0 0 0 1 0 0 2 0 4 0 2 0 0 0
"young" 0 1 1 2 1 0 1 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 1 1 1 1 1 0 0 1 0 2 0 8 0 0 6 0 2 1 1 0 1 0 0 0 5 1 0 0 0 0 2 1 0 1 0 0 2 0 1 0 1 1 0 2 0 0 0 1 4 0 1 0 1 1 1 1 1 0 0 1 0 1 1 6 2 0 0 0 0
"satisfied" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"superstitious" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"wonderful" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
