"" "#-afraid" "#-angry" "#-ashamed" "#-bad" "#-blind" "#-certain" "#-cheerful" "#-cold" "#-comfortable" "#-curious" "#-decent" "#-dependent" "#-difficult" "#-energetic" "#-extraordinary" "#-fair" "#-fine" "#-foolish" "#-fortunate" "#-good" "#-hard" "#-ignorant" "#-little" "#-loud" "#-open" "#-pleasant" "#-polite" "#-proper" "#-proud" "#-remarkable" "#-rich" "#-satisfied" "#-sensible" "#-shy" "#-strange" "#-strong" "#-successful" "#-surprised" "#-tall" "#-unreasonable" "#-unusual" "#-wise" "abusive" "accomplished" "active" "admirable" "adventurous" "affectionate" "afraid" "aggravating" "agreeable" "amusing" "angry" "anxious" "appealing" "argumentative" "artificial" "ashamed" "attentive" "average" "awake" "awful" "awkward" "bad" "bashful" "beautiful" "big" "bitter" "blind" "bold" "bright" "brilliant" "busy" "calm" "capable" "careful" "careless" "casual" "cautious" "certain" "charming" "cheap" "cheerful" "childish" "chubby" "clean" "clever" "clumsy" "cold" "comfortable" "comical" "compassionate" "competent" "complicated" "conceited" "concerned" "confident" "confused" "conscientious" "considerate" "consistent" "cool" "courteous" "crazy" "critical" "cruel" "curious" "dangerous" "daring" "decent" "delighted" "delightful" "dependent" "depressed" "desirable" "devoted" "difficult" "direct" "disabled" "disappointed" "disgusting" "dishonest" "distinguished" "disturbed" "dumb" "eager" "effective" "efficient" "elderly" "embarrassed" "embarrassing" "encouraging" "energetic" "entertaining" "enthusiastic" "evil" "excellent" "excited" "exciting" "experienced" "expressive" "extraordinary" "fair" "faithful" "familiar" "famous" "fascinating" "fat" "feminine" "fine" "firm" "foolish" "forgiving" "fortunate" "friendly" "frightening" "funny" "furious" "generous" "gentle" "genuine" "gifted" "glad" "good" "good-looking" "good-natured" "gorgeous" "graceful" "gracious" "grateful" "great" "greedy" "handsome" "happy" "hard" "hard-working" "harmless" "healthy" "helpless" "honest" "hopeful" "hostile" "humorous" "ignorant" "impatient" "important" "impressive" "independent" "inexperienced" "influential" "innocent" "insane" "insulting" "intellectual" "intelligent" "interested" "interesting" "irritable" "irritated" "jealous" "joyful" "kind" "kind-hearted" "lazy" "liberal" "little" "lively" "lonely" "lonesome" "loud" "lovely" "loyal" "lucky" "mean" "middle-aged" "modest" "moody" "muscular" "natural" "neat" "needy" "negative" "nervous" "nice" "noisy" "obnoxious" "observant" "old" "old-fashioned" "open" "ordinary" "original" "passionate" "pathetic" "peaceful" "persuasive" "plain" "playful" "pleasant" "pleased" "polite" "poor" "popular" "positive" "powerful" "practical" "prejudiced" "pretty" "private" "productive" "professional" "prominent" "prompt" "proper" "prosperous" "proud" "punctual" "quiet" "reasonable" "rebellious" "reckless" "religious" "remarkable" "respectable" "respected" "respectful" "responsible" "rich" "ridiculous" "romantic" "rough" "rude" "sad" "sarcastic" "satisfied" "seductive" "selfish" "sensible" "sensitive" "sentimental" "serious" "shallow" "short" "sincere" "skilled" "skinny" "sleepy" "slim" "sloppy" "smart" "social" "spontaneous" "stable" "straightforward" "strange" "strict" "strong" "stupid" "successful" "superstitious" "surprised" "suspicious" "sweet" "sympathetic" "talented" "talkative" "tall" "terrible" "terrific" "thin" "thoughtful" "thoughtless" "tiny" "tired" "tough" "troubled" "uncomfortable" "ungraceful" "unhappy" "unlucky" "unreasonable" "unusual" "useful" "valuable" "violent" "warm" "warm-hearted" "weak" "well-known" "wise" "wonderful" "worthy" "young" "youthful"
"generous" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gentle" 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 2 2 0 1 1 1 3 0 0 0 0 0 0 0 2 1 5 0 3 0 1 0 2 4 2 0 1 0 1 0 0 1 0 0 2 3 2 0 0 0 0 5 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 1 0 0 0 1 2 0 0 2 0 1 0 0 0 0 1 0 0 1 1 0 0 2 0 0 0 0 0 2 0 2 0 1 0 3 4 0 0 0 0 0 6 0 7 0 0 0 0 0 0 0 0 0 0 0 0 5 19 0 0 0 0 1 1 17 0 2 4 2 0 0 1 0 0 0 1 3 0 0 3 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 2 0 20 1 1 0 6 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 19 0 2 3 0 1 1 2 0 2 0 5 2 0 6 0 1 1 2 0 2 2 0 1 0 0 1 0 0 0 5 1 1 1 2 1 0 0 1 1 8 0 0 0 3 1 1 0 0 0 2 0 0 2 0 8 0 0 0 0 0 0 2 0 0 0 0 4 2 5 0 0 1 1 0 4 0 0 0 1 2 1 2 2 0 1 0 0 0 3 0 2 1 0 2 1 1 4 3 0 1 0 2 2 1 13 0
"genuine" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0
"gifted" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"glad" 0 0 1 1 0 3 0 1 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 2 5 0 4 2 1 4 0 1 1 3 1 0 0 4 1 5 0 4 1 0 1 1 3 0 1 0 0 3 0 0 0 2 2 1 3 0 0 3 1 0 5 6 0 0 0 0 0 0 0 2 0 0 0 1 1 0 1 1 1 1 0 0 5 3 0 0 1 3 1 0 0 2 0 0 0 0 0 0 0 0 2 0 1 0 1 0 2 1 3 2 1 1 5 8 3 0 0 0 0 10 0 9 0 2 0 0 2 0 0 0 0 5 0 0 0 26 0 0 0 1 1 1 22 0 2 7 1 1 1 2 1 0 0 0 2 0 1 5 4 1 1 0 2 1 0 0 0 1 4 0 0 0 0 0 1 2 1 23 1 2 0 9 1 1 1 0 0 0 0 1 3 3 0 0 3 5 1 0 0 22 0 10 2 1 1 0 0 0 2 0 7 0 0 5 1 0 0 0 0 3 1 0 3 0 0 3 0 0 0 3 1 0 0 0 2 2 0 1 0 3 0 1 1 0 0 1 5 0 1 0 0 1 1 0 10 1 0 0 2 1 0 2 0 0 2 1 3 1 5 1 0 0 1 1 4 0 0 0 3 2 0 2 1 0 0 1 0 0 1 0 3 1 1 5 2 1 3 3 0 0 0 2 2 2 24 1
"good" 1 0 0 5 1 6 0 2 0 1 0 1 1 0 1 2 1 0 1 0 1 1 3 0 0 1 1 0 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1 2 4 6 3 11 19 0 22 5 11 20 1 1 2 10 1 1 1 10 9 22 3 25 11 2 3 5 15 4 11 6 0 14 2 1 5 23 4 8 18 4 0 11 5 0 40 27 4 3 0 8 1 1 2 4 0 4 0 6 1 2 3 4 17 8 0 8 15 15 2 1 5 10 10 2 0 3 1 2 7 0 3 5 1 1 11 1 2 1 2 0 10 1 24 7 6 1 16 38 13 2 5 4 1 32 1 38 1 7 1 6 9 0 3 5 0 19 0 1 26 0 1 2 2 6 5 6 143 0 13 42 16 1 0 2 1 6 2 1 5 0 1 23 10 2 1 0 9 1 0 2 3 5 12 2 0 2 1 1 1 4 4 141 15 10 2 41 6 1 4 1 4 4 1 2 21 10 0 2 9 29 3 0 0 139 1 38 16 5 4 3 3 1 9 3 34 6 2 30 5 2 6 2 1 8 24 1 16 1 2 15 1 10 3 28 6 3 0 1 20 7 2 6 0 18 0 6 6 4 2 1 11 1 1 3 1 2 12 0 66 0 1 1 6 3 1 19 3 1 4 1 27 4 25 3 3 1 4 3 13 1 0 5 19 6 2 15 8 0 2 4 1 1 6 1 10 3 2 10 8 5 17 19 2 4 1 10 11 16 111 2
"good-looking" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"good-natured" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0
"gorgeous" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 3 0
"graceful" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 1 2 0 0 2 0 0 0 0 0 0 0 0 2 0 0 2 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 2 0 0 0 0 2 0 0 0 0 0 0 0 1 6 0 0 1 0 1 0 6 0 2 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 4 0 1 2 1 0 0 0 0 0 1 2 0 0 2 2 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 2 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 3 0 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 4 0
"gracious" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 2 1 1 0 0 2 0 0 1 1 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 1 0 0 0 1 3 1 0 0 0 0 1 0 2 0 1 0 0 1 0 1 0 0 1 0 0 1 5 0 0 0 1 0 1 9 0 1 2 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 1 0 0 2 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 6 0 4 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 3 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 1 4 0 0 0 0 0 0 0 0 0 1 0 3 0 2 0 0 0 0 2 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 2 5 0
"grateful" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 4 0 0 0 1 0 0 0 0 3 2 0 2 0 0 0 0 1 0 0 0 0 2 1 0 1 1 0 0 1 0 0 0 0 0 2 5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 2 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 3 0 0 1 3 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 1 0 0 1 6 0 0 0 0 1 0 6 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 2 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 8 2 1 0 2 1 0 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 7 0 2 0 0 0 1 0 1 0 0 0 0 0 3 0 0 1 0 1 1 1 0 1 0 0 2 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 1 0 1 3 0 0 1 0 0 1 2 0 1 0 1 0 1 8 0
"great" 0 1 1 6 1 8 0 2 1 1 1 1 1 1 1 2 1 0 1 5 1 0 3 0 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 5 5 4 12 31 1 25 6 19 22 1 1 1 9 1 1 1 11 9 24 3 30 10 2 7 6 24 4 13 12 1 18 3 2 4 28 6 10 22 2 2 15 6 1 43 27 2 1 0 9 1 1 4 4 1 4 1 5 1 2 5 6 17 8 1 8 18 20 2 1 5 9 13 1 1 4 3 2 9 3 2 5 1 2 15 2 4 1 4 1 14 3 27 8 7 3 15 37 19 3 5 5 2 37 2 43 0 9 1 8 13 1 4 5 1 17 2 2 22 143 1 3 3 6 9 6 0 2 14 44 18 0 4 1 1 9 2 1 8 2 1 26 10 4 1 1 8 1 0 3 2 5 14 2 2 4 1 1 1 4 3 168 13 9 3 50 7 2 4 1 6 2 0 1 27 9 2 2 13 27 6 1 0 165 2 51 25 4 2 2 6 2 8 4 43 4 1 29 7 2 10 2 1 16 34 1 17 0 2 16 1 13 5 38 10 2 2 2 23 9 2 5 0 20 2 8 6 3 2 2 12 1 1 6 2 5 14 1 77 1 1 1 5 4 2 18 4 1 5 2 32 4 33 5 3 1 5 4 14 0 1 6 19 8 4 18 8 1 1 4 0 5 8 1 15 2 1 10 8 5 19 22 2 6 1 10 11 20 124 4
"greedy" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"handsome" 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 2 1 1 3 0 3 0 0 0 0 0 0 0 1 3 2 0 2 1 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 3 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 3 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 3 0 0 0 2 2 0 0 2 1 0 2 0 3 0 0 0 1 0 0 1 0 0 2 0 0 2 13 0 0 0 2 1 0 14 0 0 3 2 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 15 2 0 0 3 2 0 0 0 1 1 0 0 3 0 0 0 0 4 0 0 0 14 0 2 2 1 0 1 1 0 0 1 5 0 0 3 0 0 1 0 0 0 3 1 0 0 0 0 0 1 1 1 0 1 0 0 2 1 0 0 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 2 1 2 0 0 0 0 0 1 0 0 0 3 0 1 1 0 0 1 0 0 0 2 0 0 0 0 0 0 1 1 1 0 0 0 1 1 2 10 2
"happy" 0 0 0 1 1 0 2 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 3 2 0 3 4 0 6 1 4 7 0 1 1 4 0 1 0 4 4 2 0 5 1 1 2 0 6 1 4 6 0 5 0 0 1 4 2 2 8 2 1 3 1 0 20 9 1 0 0 3 0 0 1 0 0 1 0 2 1 0 0 0 5 1 1 4 5 4 0 0 1 1 3 0 0 0 1 1 1 0 0 0 0 1 2 0 1 1 2 0 4 3 7 3 1 0 2 6 3 1 1 1 0 13 2 9 0 3 1 1 5 0 2 1 1 4 0 1 7 42 0 0 0 2 2 1 44 1 3 0 9 0 1 3 3 2 0 0 1 1 0 7 4 2 0 1 3 0 0 0 1 2 6 0 0 0 1 1 1 0 2 44 3 5 0 12 3 0 0 2 0 1 2 0 6 4 0 2 4 10 1 0 0 45 0 10 8 2 1 0 1 0 2 2 16 1 0 12 1 1 2 0 0 5 8 0 4 0 0 3 0 9 1 9 0 1 1 2 9 2 0 2 0 9 0 0 0 2 3 0 4 0 1 2 0 0 4 0 19 0 0 0 0 1 0 7 2 0 1 1 3 1 8 1 0 0 1 1 4 1 0 1 2 2 0 10 2 0 2 0 0 0 1 0 6 2 0 2 1 2 7 8 1 2 1 2 0 4 32 0
"hard" 0 0 0 2 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 3 0 6 0 0 1 0 0 0 0 0 1 0 2 0 4 0 4 0 0 0 0 2 1 3 0 0 2 1 0 0 3 0 1 2 2 0 4 0 0 10 4 2 1 0 3 1 0 0 0 0 1 0 2 0 1 0 2 0 1 1 2 1 2 0 0 0 1 2 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 2 2 0 1 1 3 3 0 0 1 0 0 5 0 5 0 0 0 1 2 0 2 1 0 2 0 0 1 16 0 0 0 0 0 0 18 0 2 9 0 0 0 2 2 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 1 18 0 3 0 11 1 0 0 1 1 0 2 0 2 1 1 0 1 4 1 0 0 24 1 3 2 1 0 0 0 0 1 1 3 1 0 10 0 0 2 0 0 2 2 0 1 0 1 1 0 1 0 6 1 0 2 1 5 1 0 0 0 6 0 1 0 3 1 0 1 0 0 1 0 0 1 0 12 0 1 1 0 1 0 2 0 1 0 0 4 0 2 1 0 0 0 0 1 0 0 0 4 1 1 4 0 0 1 0 1 0 1 0 4 0 0 0 1 1 4 2 1 3 0 1 2 0 17 0
"hard-working" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0
