"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"exhausted";76;47;5;32,8;0,618421052631579;"exhausted";4,69844363394765;"exhausted";0,842842053197437;"exhausted";264,833333333333;"exhausted";0,0487458502971872;"exhausted";0,463366707166036
"experienced";12;12;0;0;1;"experienced";4,54876273816163;"experienced";0,879755694539785;"experienced";176;"experienced";0,130808080808081;"experienced";0,252709418535233
"expressive";47;39;2;68,5;0,829787234042553;"expressive";4,65867248390574;"expressive";0,848290898634438;"expressive";246,333333333333;"expressive";0,0649020429274016;"expressive";0,427754511435826
"extraordinary";494;168;30;8,33333333333333;0,340080971659919;"extraordinary";4,5550239291313;"extraordinary";0,863921488581709;"extraordinary";219,354838709677;"extraordinary";0,111182727670782;"extraordinary";0,372946080661589
"fair";423;156;26;8,96153846153846;0,368794326241135;"fair";4,65277213615337;"fair";0,852469978909696;"fair";243;"fair";0,0724544062271028;"fair";0,421930421833639
"faithful";154;80;7;28,7142857142857;0,519480519480519;"faithful";4,67005340460876;"faithful";0,850116841249288;"faithful";248,625;"faithful";0,0660788552676336;"faithful";0,42899701744318
"familiar";289;119;18;14;0,411764705882353;"familiar";4,52706809808229;"familiar";0,864772483581028;"familiar";220,473684210526;"familiar";0,111520116804001;"familiar";0,372999504208565
"famous";37;34;1;175;0,918918918918919;"famous";4,62135910575812;"famous";0,861366461377906;"famous";223,5;"famous";0,0931837592379292;"famous";0,367845058441162
"fascinating";29;25;1;66;0,862068965517241;"fascinating";4,71272329892401;"fascinating";0,841981419728177;"fascinating";270;"fascinating";0,0452209965054579;"fascinating";0,470163971185684
"fat";83;60;4;20;0,72289156626506;"fat";4,61022587826499;"fat";0,860971770859565;"fat";213,4;"fat";0,091487074572747;"fat";0,351884204149246
"feminine";26;22;1;62;0,846153846153846;"feminine";4,68772826703887;"feminine";0,844733510149924;"feminine";257,5;"feminine";0,0524982620096164;"feminine";0,454080417752266
"fine";212;100;15;16,9333333333333;0,471698113207547;"fine";4,37872236523076;"fine";0,881795784014436;"fine";189,1875;"fine";0,128768906398274;"fine";0,309027832001448
"firm";18;18;0;0;1;"firm";4,69531233143117;"firm";0,848541809861088;"firm";253;"firm";0,0578064516129032;"firm";0,418888628482819
"flexible";8;8;0;0;1;"flexible";4,33491677983598;"flexible";0,903900355660046;"flexible";121;"flexible";0,195652173913043;"flexible";0,18615448474884
"foolish";176;89;10;23,4;0,505681818181818;"foolish";4,55119380245479;"foolish";0,863691424000244;"foolish";221,909090909091;"foolish";0,110847659757173;"foolish";0,376810759305954
