"#-fair" "#-reasonable" "#-unpleasant" "accustomed" "afraid" "amusing" "appropriate" "beautiful" "calm" "capable" "cheerful" "clean" "clever" "comfortable" "confident" "cruel" "curious" "dangerous" "delicate" "delighted" "determined" "different" "direct" "entitled" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "fancy" "forbidden" "free" "friendly" "generous" "gentle" "genuine" "graceful" "greatest" "greedy" "happier" "harmless" "heavenly" "hobby" "honest" "humble" "improper" "independent" "intellectual" "intelligent" "interesting" "jest" "liberal" "married" "mature" "minded" "mysterious" "natural" "neat" "newest" "pleasant" "pleasing" "polite" "productive" "proud" "qualified" "quiet" "reasonable" "religious" "rich" "safe" "safer" "secure" "selfish" "sincere" "smart" "social" "stable" "strong" "superior" "welcome" "entertaining" "wealthy" "playful" "unpleasant" "wise" "worth" "novel" "original" "sympathetic" "modest" "surprising" "uncertain" "tidy" "universal" "united" "obliged"
"friendly" 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"generous" 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 2 0 0 1 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0
"gentle" 0 0 0 0 1 0 0 2 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 2 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0
"genuine" 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"graceful" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"greatest" 0 0 0 0 2 0 1 1 0 1 1 0 0 2 1 0 0 0 1 0 0 3 1 0 1 0 2 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 2 1 1 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0
"greedy" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"happier" 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"harmless" 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
"heavenly" 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
