"active" "affectionate" "awkward" "bitter" "bold" "brisk" "busy" "calm" "careful" "careless" "certain" "cheerful" "civil" "clean" "close" "cold" "confident" "confidential" "considerate" "constant" "cool" "cruel" "cunning" "curious" "delicate" "dependent" "determined" "domestic" "eager" "earnest" "easy" "emphatic" "exact" "expressive" "faithful" "familiar" "fearful" "fervent" "fierce" "fiery" "firm" "free" "fresh" "friendly" "gallant" "gay" "general" "generous" "genteel" "gentle" "gentlemanly" "giddy" "gloomy" "graceful" "gracious" "grateful" "grave" "gruff" "handsome" "hasty" "hearty" "heavy" "helpless" "honest" "hopeless" "humble" "hurried" "immovable" "impatient" "indifferent" "intense" "jealous" "keen" "kind" "lively" "lofty" "lonely" "loud" "malicious" "melancholy" "merry" "mild" "mournful" "natural" "nervous" "nigh" "noiseless" "noisy" "open" "original" "particular" "patient" "peaceful" "pleasant" "polite" "prompt" "proud" "punctual" "quick" "quiet" "rapid" "reasonable" "respectful" "responsible" "restless" "rigid" "rough" "rusty" "sad" "sarcastic" "scrupulous" "second" "selfish" "serious" "severe" "silent" "simple" "slow" "sluggish" "sober" "soft" "solemn" "spirited" "stately" "steady" "stern" "stiff" "strict" "strong" "sudden" "sufficient" "sure" "susceptible" "sweet" "thoughtful" "thoughtless" "tight" "timid" "true" "ugly" "uncertain" "ungrateful" "unhappy" "vague" "vain" "vicious" "violent" "virtuous" "weak" "willing" "worldly" "wise"
"firm" 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 2 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 1 0 1 1 0 0 0 1 0 1 2 1 0 0 0 1 1 1 1 2 0 0 1 0 1 0 2 1 2 0 1 0 1 1 1 2 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0
"free" 0 1 1 2 0 1 4 1 0 1 5 5 0 3 3 3 1 0 0 1 1 0 1 0 0 0 0 0 3 2 2 1 1 0 3 1 1 1 0 0 0 0 3 1 0 0 5 3 2 0 0 0 1 0 2 1 1 0 1 0 1 7 0 3 0 1 2 1 2 0 0 0 0 4 0 0 1 2 1 2 0 0 1 1 1 0 0 2 5 1 1 0 1 5 0 0 2 2 0 5 0 1 1 0 1 0 0 1 0 1 0 5 0 3 0 0 2 0 0 1 1 2 1 0 0 1 0 0 7 1 4 4 1 0 0 0 0 1 5 1 1 0 5 0 0 0 3 1 1 1 0 0
"fresh" 1 0 3 4 3 1 3 3 1 1 4 6 1 0 1 6 1 1 1 2 2 1 1 0 1 0 2 0 4 3 6 3 1 3 3 5 0 0 1 0 0 3 0 4 1 1 9 1 3 5 2 0 0 2 1 1 1 0 4 3 0 5 0 3 3 2 3 1 1 2 2 3 1 5 1 1 0 7 0 3 0 0 0 6 0 1 1 1 7 5 4 1 0 10 4 1 3 1 6 8 2 0 1 2 1 1 1 0 2 3 0 2 1 2 1 5 0 5 3 1 1 0 1 1 3 1 0 1 6 6 2 13 0 2 2 1 0 0 3 2 4 1 3 2 1 2 6 1 3 1 0 1
"friendly" 0 0 1 0 0 0 2 1 1 1 3 2 0 1 1 2 1 1 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 1 2 2 0 0 0 0 1 1 4 0 0 0 5 0 0 1 0 0 0 1 0 0 2 0 0 1 1 2 1 3 0 2 0 0 1 1 1 1 0 2 1 1 0 1 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 3 1 1 2 1 2 2 0 0 0 0 1 1 0 1 2 0 1 0 0 1 0 2 2 1 2 0 0 0 0 2 2 1 0 0 3 0 2 3 0 1 0 0 3 0 0 1 1 1 1 2 0 1 1 0 2 1 1 0
"gallant" 1 0 0 1 2 0 0 1 1 0 1 0 0 0 2 1 0 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 0 2 1 0 0 1 1 1 0 1 0 0 0 1 0 1 1 0 0 0 1 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 2 0 1 3 1 0 2 1 0 0 1 2 2 0 0 1 1 0 0 1 0 2 1 0 0 0 0 2 1 1 2 2 0 0 1 0 1 0 3 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 2 0 0 0 0 0 0 3 1 0 0 0 0 0 1 0 0 1 0 0 0
"gay" 1 0 0 2 1 1 2 2 0 0 0 0 0 0 0 2 0 1 0 0 0 1 0 1 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2 0 1 1 0 0 1 0 0 1 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 1 0 2 0 0 0 0 1 1 0 0 0 0 1 0 2 0 0 0 0 0
"general" 0 4 6 1 3 0 3 1 2 3 8 2 0 2 3 6 2 2 1 3 1 1 1 3 3 2 1 0 2 3 7 1 0 4 4 4 2 2 1 0 0 5 9 5 1 0 0 0 3 6 1 0 6 2 3 0 2 1 3 1 1 10 1 5 1 2 1 0 2 1 1 3 0 6 3 2 2 10 0 2 2 0 2 12 1 0 0 3 5 7 14 0 1 12 2 0 6 1 4 5 1 1 3 1 1 1 3 3 0 1 1 9 0 5 1 7 1 4 1 0 2 2 2 3 1 4 3 1 17 3 3 21 1 4 3 1 3 1 14 1 2 0 2 0 2 1 6 7 5 0 1 0
"generous" 0 1 0 1 0 1 0 1 0 0 0 3 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 1 0 1 0 1 1 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 1 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 3 1 0 3 0 0 1 1 0 0 0 1 0 0 2 0 0 0 3 0 1 0 0 0
"genteel" 1 2 1 1 1 0 1 0 0 0 6 2 0 1 3 3 1 2 0 1 1 0 1 0 3 0 0 1 0 0 2 0 1 1 0 0 1 1 1 0 1 2 3 0 1 0 3 0 0 1 0 0 0 1 0 1 1 0 2 0 1 1 0 2 0 1 1 0 0 1 0 0 0 0 1 0 1 3 0 2 0 0 2 2 0 0 0 1 5 3 3 1 0 2 2 0 0 1 0 2 1 1 0 0 0 0 3 1 0 2 0 5 2 4 0 1 0 1 0 2 1 2 1 2 0 0 0 0 2 1 0 4 0 0 1 0 0 0 0 1 0 2 2 0 0 1 2 0 2 1 0 0
"gentle" 2 2 0 2 2 1 0 3 2 0 3 2 1 0 3 8 1 0 2 1 2 0 0 1 5 0 1 1 1 5 6 1 0 2 1 0 0 1 1 0 0 0 5 1 1 1 6 0 1 0 2 0 2 4 1 0 1 1 2 3 1 1 0 5 1 4 0 0 1 0 0 1 1 2 1 0 1 4 0 1 2 3 1 5 2 1 1 1 8 4 5 1 0 9 0 0 5 2 2 4 1 0 1 0 0 2 3 1 1 1 1 6 2 1 1 4 1 3 1 0 3 1 0 3 1 2 0 2 5 2 4 10 2 3 0 3 2 1 4 0 2 0 1 1 3 1 5 0 2 2 2 2
"gentlemanly" 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 1 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 3 0 1 0 0 0 1 1 0 0 1 0 0 1 3 2 1 0 1 0 1 0 0 0 0 0 0 0 0 2 0 2 0 1 0 0 0
"giddy" 0 0 0 0 0 0 2 0 0 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 1 0 1 0 1 0 0 0 1 0 1 0 2 1 1 1 0 0 1 0 0 0 0 2 1 1 0 1 1 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 1 1 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 1 0 0
"gloomy" 1 3 1 0 0 0 1 0 2 2 2 0 0 1 2 7 0 0 0 1 2 0 0 2 1 0 0 1 0 0 1 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 6 0 0 2 0 0 0 0 0 0 0 0 2 2 1 6 0 1 0 0 1 0 1 1 0 1 0 3 1 0 2 4 0 2 2 0 0 4 3 2 0 1 3 1 5 1 0 2 0 1 1 1 1 3 0 0 1 0 1 0 1 1 2 0 1 4 0 0 1 4 0 1 1 0 0 0 0 1 0 3 0 1 9 3 1 5 0 0 1 1 0 1 4 2 0 1 1 0 0 0 5 1 1 1 1 1
"graceful" 0 1 0 0 1 0 0 1 0 0 3 0 0 0 1 5 1 0 0 1 0 1 0 0 2 0 1 1 0 1 3 0 0 0 0 0 0 1 0 0 1 0 2 1 1 0 2 0 1 4 0 0 0 0 0 0 0 0 3 2 0 0 0 2 0 1 0 0 0 0 0 0 0 2 1 1 0 2 0 1 2 0 1 3 1 0 0 0 3 4 0 2 1 2 0 1 0 0 1 2 0 0 0 0 0 0 2 0 1 0 0 3 0 0 1 1 1 2 1 0 2 0 0 3 1 0 0 1 2 0 2 6 0 2 0 1 0 0 1 0 1 0 0 1 2 1 0 0 1 0 1 0
"gracious" 0 1 0 1 1 0 1 0 0 1 3 0 0 2 2 1 0 1 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 3 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 1 1 0 0 3 0 1 0 0 0 1 2 0 0 0 3 1 3 0 1 3 0 0 3 0 0 1 0 1 0 0 0 0 0 0 1 1 0 3 1 3 0 0 0 1 0 0 0 1 0 1 0 0 0 0 2 3 1 7 0 0 0 1 0 1 3 0 0 0 1 0 2 0 2 1 2 0 0 0
"grateful" 0 2 0 2 0 0 0 1 0 0 3 0 0 1 1 0 0 0 0 3 0 0 0 0 1 0 0 0 0 2 1 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 2 0 1 0 0 2 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 1 2 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 4 0 1 0 0 0 0 2 0 0 1 2 1 0 0 1 0 0 0 1 0
"grave" 1 1 0 0 1 0 2 0 0 0 0 1 0 0 0 3 0 1 0 0 1 0 0 0 0 0 1 0 2 1 0 0 0 1 0 1 0 1 0 1 0 1 1 2 1 1 2 0 1 1 0 1 0 0 0 0 0 0 0 1 2 1 0 2 0 2 0 1 0 1 0 1 0 1 2 0 0 1 1 0 1 0 0 2 1 0 0 0 1 2 1 0 1 3 1 0 3 2 0 2 0 0 0 0 1 1 1 0 0 0 1 0 0 2 0 1 1 0 0 1 1 0 0 0 0 2 0 0 2 0 3 3 0 2 0 0 1 0 2 0 1 0 0 1 1 1 1 1 2 1 1 0
"gruff" 0 1 1 0 0 1 0 1 1 0 1 0 0 0 0 3 0 0 1 0 0 0 0 2 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 2 0 0 2 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0
"handsome" 1 2 0 2 2 1 0 0 1 1 3 1 0 3 2 5 1 1 0 4 1 2 0 3 3 0 2 1 0 0 5 2 0 3 2 2 1 0 0 0 1 1 4 0 1 0 3 1 2 2 1 0 2 3 0 0 0 1 0 2 2 4 1 2 1 2 1 0 0 0 1 0 2 3 1 1 0 4 0 2 0 0 1 6 2 1 1 1 5 3 4 2 0 3 0 0 3 1 3 3 0 1 2 2 2 0 2 0 2 0 1 3 0 2 0 6 1 4 0 0 3 2 3 1 1 3 0 2 8 3 2 18 0 1 2 1 1 1 4 2 1 0 2 1 0 1 4 2 3 2 1 0
"hasty" 1 0 2 1 0 0 0 2 1 1 6 1 0 0 1 2 2 0 1 2 3 1 0 1 0 0 0 0 1 3 1 0 0 1 1 0 1 0 0 0 0 0 3 1 1 0 1 0 0 3 0 0 2 2 0 0 1 1 2 0 2 4 1 2 0 1 0 0 3 1 1 2 1 2 0 0 0 3 1 2 1 0 0 7 1 0 0 1 4 2 4 1 0 1 0 1 3 0 2 4 1 0 1 1 3 0 2 0 2 1 0 1 0 2 2 4 0 0 1 1 1 0 1 2 1 0 0 0 5 2 2 11 0 0 1 0 0 0 4 1 1 0 1 1 0 3 2 0 0 1 2 1
"hearty" 3 2 0 0 3 1 2 0 1 0 2 3 0 1 1 5 0 0 1 1 0 0 1 0 1 0 0 1 1 2 2 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 2 1 1 0 0 1 0 0 1 2 0 2 2 0 4 2 4 0 3 1 1 1 0 0 1 2 4 1 0 1 0 1 0 0 0 0 2 0 0 0 2 4 0 4 1 1 1 1 0 0 0 1 2 1 1 0 0 1 0 0 0 2 1 0 3 0 0 0 4 1 0 1 0 0 1 0 0 0 1 0 0 3 2 1 4 0 0 0 0 1 1 3 1 2 1 3 0 0 0 4 0 1 1 1 0
"heavy" 2 5 1 2 1 1 2 2 1 0 7 5 1 3 2 9 1 1 2 3 1 0 1 1 1 0 1 1 3 2 3 1 1 1 1 5 0 1 2 1 2 7 5 2 1 0 10 1 1 1 0 2 6 0 0 1 1 2 4 4 4 0 0 4 2 3 2 2 4 0 2 3 1 3 0 2 1 9 2 2 1 0 2 5 3 1 0 1 9 4 7 1 0 6 0 0 2 1 6 5 2 0 1 2 0 1 2 3 5 2 1 6 2 2 2 3 1 3 2 3 1 3 3 0 3 4 1 3 11 0 4 9 0 0 1 1 1 1 7 2 5 1 4 0 0 2 6 1 4 0 0 1
"helpless" 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 2 0 2 1 0 0 0 0 0 0 2 1 0 0 0 2 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 1 1 0 0 1 1 2 0 0 3 0 1 0 1 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 2 0 0 0 1 3 1 1 1 2 1 0 0 1 0 0 5 0 0 0 1 1 0 1 0 1 0 0 2 0 0 0 3 1 1 0 0 0 2 0 0 0 1 0 0 4 2 0 3 0 1 0 0 0 0 2 0 0 2 2 0 1 0 4 0 1 0 2 0
"honest" 0 2 2 2 0 1 1 4 0 2 3 5 1 2 1 11 2 0 0 1 2 1 1 1 2 3 1 1 1 1 5 0 2 1 5 1 1 0 3 0 0 3 3 3 0 0 5 1 2 5 1 1 1 2 0 1 2 0 2 2 4 4 3 0 0 4 0 1 1 2 0 0 0 5 1 1 1 6 2 4 2 0 0 4 0 0 0 0 9 3 6 1 1 3 0 1 4 0 2 3 2 0 1 0 2 1 1 1 4 1 1 3 3 0 1 8 4 2 2 0 0 1 2 2 2 3 1 2 8 2 3 16 1 1 0 0 3 1 4 1 2 3 4 2 1 2 6 3 6 4 2 1
"hopeless" 0 0 0 2 0 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 1 2 0 0 0 0 0 2 1 0 0 0 0 0 3 0 0 0 1 0 0 1 1 0 0 0 2 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 3 0 1 0 0 0 1 1 0 0 0 0 0 2 1 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 2 1 0 1 0 1 1 1 0 2 0 0 0 0 0 0 0 0 0 2 2 2 3 4 0 0 0 1 1 1 1 0 1 0 2 1 2 1 1 0 3 1 0 0
"humble" 1 3 1 2 0 0 2 0 0 0 2 2 0 1 0 5 0 0 2 3 0 0 0 1 1 0 1 0 1 2 2 1 0 3 1 2 0 0 0 0 0 1 2 2 0 1 2 1 1 4 0 1 0 1 0 1 2 1 2 1 3 3 1 4 0 0 1 1 1 0 0 1 0 1 0 1 1 3 0 0 1 0 0 4 0 0 0 0 4 2 2 1 2 7 1 1 3 0 1 3 1 0 0 0 0 1 3 0 0 1 2 3 1 2 0 1 0 2 2 0 1 1 0 0 2 2 0 0 3 0 0 6 1 2 0 1 1 1 4 0 2 0 2 0 1 0 4 1 1 0 1 0
"hurried" 0 0 2 2 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 2 3 0 0 0 1 1 1 0 0 0 1 0 0 2 0 0 1 0 1 2 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 1 2 1 0 2 1 1 0 2 0 1 0 1 0 0 0 2 0 0 1 0 0 0 0 0 1 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 2 0 4 0 1 0 1 0 0 0 0 0 1 4 0 0 0 2 0 0 0 0 0
"immovable" 1 0 0 0 1 0 0 1 1 0 1 0 1 0 1 1 0 2 0 0 1 0 0 0 0 0 1 1 0 0 2 0 1 0 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 2 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 3 1 2 0 0 2 2 3 1 0 1 0 0 1 0 0 3 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 1 1 1 0 0 0 0 1 0 0 0 1 1 1 0 1 5 0 1 1 1 0 1 3 1 0 0 2 0 0 0 0 0 0 0 1 1
"impatient" 1 3 1 0 0 0 0 1 1 2 1 1 0 0 3 3 0 0 0 0 0 1 1 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 1 2 0 0 1 0 0 1 0 0 0 0 0 0 3 1 4 0 1 0 1 0 0 0 2 1 3 1 2 0 0 1 5 0 0 0 0 1 3 0 0 1 0 3 2 4 0 0 2 0 0 1 0 3 5 1 0 0 0 0 0 1 2 0 2 0 0 1 1 1 3 0 1 0 0 0 0 1 1 1 0 0 0 2 0 1 5 0 1 2 0 1 1 2 1 1 0 1 0 0 1 3 2 1 0 0 0
"indifferent" 0 1 1 0 1 0 0 1 0 4 2 2 0 0 2 1 1 0 0 0 2 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 1 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 2 0 0 0 0 0 1 1 0 2 1 0 1 0 0 2 0 1 1 0 1 3 1 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 1 1 1 0 0 0 1 2 0 3 0 0 1 0 0 0 0 1 1 0 0 0 3 0 1 2 0 1 0 0 0 1 1 1 0 0 0 1 0 3 1 0 2 1 0 0
"intense" 3 0 0 0 0 1 0 1 0 0 2 0 0 0 0 2 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 2 1 0 2 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2 1 3 0 1 0 0 0 1 0 2 2 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 2 0 1 0 0 1 0 0 0 1 2 1 0 1 1 0 2 0 0 0 1 1 0 3 0 1 0 0 0 0 0 3 0 0 0 0 1
"jealous" 0 1 4 1 2 0 1 0 4 0 2 1 1 0 2 1 0 0 0 0 0 3 1 0 1 1 0 1 1 2 3 0 0 1 0 0 0 1 1 2 0 0 3 1 1 0 3 0 0 1 0 0 1 0 0 0 1 0 0 2 1 3 0 0 1 1 1 0 3 0 1 0 1 1 0 0 1 3 1 2 0 0 0 4 2 1 0 0 2 0 5 3 0 4 2 0 4 2 1 4 1 0 1 0 0 0 1 1 1 1 2 3 1 3 0 2 0 2 0 0 1 0 0 1 0 1 1 0 3 1 2 6 1 1 1 2 2 0 3 1 1 1 1 0 1 0 2 1 2 1 1 0
"keen" 0 1 1 0 1 1 1 1 2 0 1 0 0 0 1 2 0 0 1 1 0 1 0 1 0 0 0 0 2 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 2 1 2 1 0 0 1 0 0 0 1 0 1 1 0 1 0 0 0 2 0 0 0 0 1 0 1 0 1 0 2 2 3 0 0 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 2 2 0 0 0 0 1 1 0 0 0 1 0 0 1 0 1 2 0 0 0 1 0 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0
"kind" 1 2 1 3 1 1 2 0 0 1 8 3 0 2 2 7 0 2 2 3 1 3 0 1 5 1 0 3 0 7 3 2 2 0 4 1 1 0 0 0 0 4 5 2 0 1 6 3 0 2 0 1 3 2 1 3 1 0 3 2 4 3 3 5 0 1 1 0 2 0 0 1 1 0 2 0 2 6 0 3 1 0 0 6 2 0 1 0 8 1 9 2 2 9 0 1 4 2 3 7 2 1 2 1 1 0 1 2 3 0 2 2 1 2 3 2 1 3 0 0 1 1 1 0 1 1 1 0 6 4 3 15 2 6 2 3 1 0 5 2 1 2 4 3 1 0 4 2 1 2 2 2
"lively" 2 1 1 0 2 1 1 0 0 1 3 2 0 0 1 4 0 1 0 1 0 1 0 1 3 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 3 0 1 1 0 0 1 1 1 0 2 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 2 0 1 0 1 0 1 0 0 0 2 0 0 1 0 3 1 2 1 1 0 1 0 2 1 0 1 0 2 1 0 0 0 1 0 0 0 0 1 1 2 2 1 2 0 0 0 0 0 0 0 0 0 0 1 1 1 2 5 1 1 0 1 1 0 1 0 0 0 0 2 0 1 2 2 1 0 1 0
"lofty" 0 0 0 0 1 0 1 0 0 1 3 2 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 1 0 1 0 0 0 0 1 0 0 2 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 0 1 1 0 0 1 0 0 0 1 0 2 3 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 2 0 0 0
"lonely" 1 1 0 0 0 0 0 1 1 0 2 1 0 0 2 4 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 0 1 0 0 0 0 2 0 1 1 0 0 2 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 1 0 1 1 0 2 0 0 0 2 0 1 0 1 0 0 0 0 0 0 4 1 2 0 0 3 1 0 1 1 0 5 0 0 1 0 0 0 0 0 0 2 0 2 1 0 0 1 0 1 0 0 1 1 0 0 0 1 1 1 4 0 0 1 0 1 0 0 1 1 2 0 0 0 0 1 1 1 1 0 0 0 0 0
"loud" 2 2 4 2 2 2 1 3 2 1 5 2 2 5 7 7 3 3 1 1 2 0 1 2 0 0 1 2 3 1 2 2 0 2 1 3 2 2 0 0 1 2 7 1 2 0 10 0 3 4 1 2 4 2 3 0 1 2 4 3 0 9 0 6 3 3 2 1 5 2 1 3 2 6 1 0 2 0 2 9 1 0 1 4 2 1 1 2 10 5 4 1 1 7 1 0 0 0 3 10 3 0 3 4 1 1 4 3 1 1 2 7 0 3 6 8 0 5 0 1 1 3 2 0 1 1 1 1 6 9 2 16 0 1 1 2 2 1 9 1 2 2 3 2 1 2 5 1 5 1 0 1
"malicious" 0 1 1 0 1 0 0 0 0 0 0 0 0 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 2 0 2 0 0 0 1 0 1 0 1 0 0 0 0 0 2 0 1 0 0 0 3 0 2 0 0 2 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 1 1 0 0 0 1 0 1 4 1 1 3 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0
"melancholy" 1 0 4 1 0 2 1 1 1 1 2 1 0 2 2 8 1 0 0 0 0 1 1 1 0 0 1 1 1 0 3 0 1 1 1 1 1 0 0 1 1 2 3 0 1 1 2 0 2 1 1 1 2 1 1 0 0 1 2 2 0 2 1 4 1 0 0 0 0 0 1 2 0 3 1 0 1 9 1 0 1 0 3 1 0 0 0 0 8 3 7 2 1 0 0 0 3 0 2 3 2 0 0 0 1 0 1 3 2 1 0 6 1 2 1 8 0 3 0 0 1 2 0 1 0 1 0 1 1 6 2 7 1 1 0 1 0 0 1 1 1 1 2 2 1 1 4 0 3 2 1 0
"merry" 1 1 0 0 1 1 1 0 0 1 2 0 1 0 2 1 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 1 1 1 0 0 1 1 0 0 0 3 1 2 0 0 2 0 1 2 2 0 0 1 0 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 1 2 3 1 0 2 2 0 0 1 0 2 2 0 0 0 0 1 0 2 1 3 0 0 1 0 0 0 2 0 0 0 0 1 1 0 1 0 1 1 1 2 0 1 3 0 1 0 0 0 0 3 1 0 0 0 0 2 0 1 1 0 1 0 0
"mild" 1 0 0 0 1 0 0 1 1 0 1 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 3 2 1 0 0 3 0 0 2 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 1 0 0 1 2 0 0 0 0 0 1 1 0 1 1 0 1 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0
