"active" "affable" "affectionate" "bold" "busy" "calm" "candid" "careful" "careless" "certain" "cheerful" "clean" "close" "cold" "complacent" "confidential" "considerate" "constant" "cool" "cordial" "cruel" "curious" "delicate" "determined" "domestic" "eager" "earnest" "easy" "eloquent" "exact" "expressive" "faithful" "familiar" "fearful" "fiery" "free" "fresh" "friendly" "gay" "general" "generous" "genial" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "haughty" "heavy" "honest" "hopeful" "hopeless" "humble" "immovable" "impatient" "indifferent" "industrious" "jealous" "joyful" "keen" "kind" "languid" "lively" "lofty" "lonely" "loud" "loving" "melancholy" "merry" "mild" "military" "musical" "natural" "neat" "nervous" "observant" "open" "original" "particular" "patient" "playful" "pleasant" "polite" "practical" "proud" "quick" "quiet" "reasonable" "responsible" "restless" "rough" "rusty" "sad" "second" "selfish" "sensible" "serene" "serious" "severe" "shy" "silent" "simple" "slow" "smooth" "soft" "solemn" "sorrowful" "spirited" "stable" "stately" "steady" "stern" "stiff" "strict" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "thoughtful" "tight" "timid" "true" "ugly" "uncertain" "unhappy" "vague" "vehement" "violent" "watchful" "weak" "willing" "zealous" "worldly" "wise"
"gloomy" 3 0 1 1 2 1 0 1 0 1 2 0 2 7 2 1 0 2 3 0 1 3 1 1 0 2 1 1 0 0 0 0 1 0 0 0 1 1 0 5 2 0 1 0 0 0 1 2 2 1 0 0 3 0 1 0 1 1 2 2 1 0 1 0 1 1 1 2 1 0 2 0 2 1 0 1 2 2 1 1 3 0 3 0 0 0 1 1 3 0 4 1 1 1 1 3 3 4 0 2 0 1 0 0 4 1 3 2 0 2 2 0 1 3 3 2 1 0 2 2 0 7 2 0 1 1 0 0 4 0 0 3 1 0 0 0 3 0 0 1 0
"graceful" 0 1 1 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 1 0 1 1 0 1 0 0 1 0 2 0 0 2 1 0 0 2 0 0 1 0 0 0 1 0 1 2 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 3 0 0 1 1 2 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 2 0 1 0 0 1 0
"gracious" 2 1 2 1 2 0 0 0 0 3 1 2 0 3 1 0 0 0 0 1 0 3 2 1 0 1 0 4 0 1 2 1 1 0 1 5 4 0 0 3 2 0 1 1 1 1 0 0 0 4 1 1 3 0 2 1 2 1 0 1 0 0 1 0 1 1 1 1 0 0 0 2 0 0 1 1 5 0 0 1 5 2 3 1 0 2 1 0 2 2 3 0 2 2 0 1 2 0 0 2 0 0 2 1 3 1 0 1 0 0 2 0 0 4 2 0 0 0 4 4 0 14 1 1 1 3 1 1 4 2 0 2 0 0 1 0 0 0 0 0 1
"grateful" 0 0 1 0 3 2 0 0 1 4 2 0 2 3 0 1 1 0 0 0 1 2 0 1 1 0 1 3 1 1 0 0 2 0 0 3 1 3 1 2 1 1 0 1 2 0 0 0 0 2 2 1 2 0 0 0 0 0 0 0 2 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 1 0 1 1 2 0 3 2 2 4 1 0 0 0 0 0 5 0 2 0 1 1 0 2 0 1 0 0 0 0 0 2 0 1 2 1 0 1 0 1 8 1 1 1 0 0 1 5 0 0 2 1 0 0 1 0 0 0 2 0
"grave" 0 0 2 0 0 0 0 1 1 1 1 0 1 3 0 0 0 1 1 1 1 1 1 0 0 1 1 3 1 0 0 3 1 0 0 1 4 0 1 3 0 0 0 0 2 1 0 0 0 3 1 0 1 1 0 0 1 0 1 1 1 0 1 0 1 0 0 0 0 0 1 2 0 0 2 0 4 1 1 2 3 0 2 1 0 1 1 0 2 1 2 0 0 0 2 0 2 1 0 0 0 1 0 1 2 1 1 1 1 0 1 0 0 1 2 1 1 2 5 2 2 7 1 1 1 0 0 1 3 0 0 3 1 0 2 0 1 1 1 0 1
"handsome" 1 2 2 1 7 0 0 1 1 11 2 0 5 5 0 1 2 1 0 1 2 7 2 2 0 4 4 7 2 2 1 3 3 2 1 6 7 2 0 6 2 1 2 2 1 2 4 2 3 0 0 4 5 1 2 2 0 1 1 2 1 0 2 1 9 1 3 1 2 1 1 5 1 0 4 0 8 3 0 1 6 2 4 2 0 4 2 0 7 4 4 2 2 5 0 1 1 2 1 4 1 3 0 5 6 0 2 1 1 1 0 1 2 7 2 0 1 1 4 4 1 12 4 0 2 0 1 2 4 0 2 0 0 1 3 3 2 2 0 1 0
"hasty" 0 0 1 0 0 0 0 3 1 1 0 0 2 1 0 0 1 1 2 1 0 0 0 0 1 0 1 1 0 0 1 0 2 0 0 2 2 3 0 3 0 0 0 0 0 1 1 2 1 0 0 1 1 1 1 0 0 0 2 0 0 0 1 0 2 0 0 0 1 0 0 1 1 1 1 0 2 0 1 0 2 0 2 0 0 1 0 0 0 1 5 0 2 0 0 1 0 2 0 1 0 2 1 0 1 1 1 0 0 0 0 0 1 0 2 0 0 0 0 0 2 7 1 2 1 1 1 0 3 0 0 2 1 0 0 1 0 1 0 0 1
"haughty" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 1 0 0 1 2 0 1 2 0 1 1 0 2 1 0 0 0 0 0 1 0 0 1 1 1 0 4 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 3 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0 2 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 2 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0
"heavy" 1 0 1 1 7 1 0 0 1 7 5 2 7 12 0 6 0 1 2 2 2 8 0 0 2 3 2 5 0 0 0 3 7 2 1 4 9 4 1 7 0 0 1 2 3 1 3 2 1 5 1 1 0 3 2 2 0 1 0 4 2 2 0 2 5 0 0 0 1 1 1 2 0 2 3 2 10 2 2 1 13 0 8 2 0 4 2 4 3 6 13 0 2 2 3 3 1 7 1 2 1 4 0 1 3 2 3 3 4 4 3 2 0 3 5 1 1 1 7 3 0 12 4 1 1 1 1 3 7 0 2 0 2 0 3 1 1 2 1 0 0
"honest" 1 0 1 0 4 0 0 1 1 4 3 1 0 0 0 1 1 1 1 1 1 2 1 0 2 1 0 1 1 0 0 1 0 0 0 1 3 3 0 2 0 0 0 1 0 1 0 0 1 1 1 1 3 0 3 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 2 0 1 2 1 5 1 0 0 8 2 1 0 0 2 0 1 1 2 3 0 0 0 1 0 1 3 1 1 0 1 0 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 4 0 1 10 2 0 1 2 0 0 5 0 0 1 1 1 0 0 2 0 0 2 0
"hopeful" 1 0 0 0 2 0 0 1 0 4 4 0 0 1 0 0 0 0 1 1 0 3 0 2 0 2 0 5 0 0 0 0 1 0 1 2 0 2 0 3 3 0 0 1 1 0 2 0 0 2 1 0 2 3 0 1 0 0 0 1 1 1 0 0 1 0 0 0 0 0 2 0 0 1 1 0 4 0 0 0 4 0 1 0 0 1 1 0 2 1 3 2 0 1 0 0 2 2 1 3 0 1 0 1 4 1 0 0 0 0 1 1 0 0 0 0 0 0 1 2 0 10 2 0 1 2 0 0 3 0 0 2 2 0 0 0 1 1 0 0 2
"hopeless" 2 0 0 0 0 0 1 0 0 3 0 1 2 1 0 1 0 0 0 1 0 1 1 0 1 0 0 3 0 0 0 0 1 0 1 2 0 1 1 2 1 0 0 0 0 0 1 0 0 2 0 0 2 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 0 1 1 2 0 0 1 3 0 2 1 1 1 1 1 2 1 4 0 1 0 1 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 4 2 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 1 0 1
"humble" 0 0 0 1 0 0 0 1 0 2 0 0 1 2 0 0 1 1 0 0 0 0 1 0 1 0 0 2 1 0 0 1 1 1 0 1 0 1 0 1 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 4 2 1 2 2 0 4 0 0 1 0 0 2 0 1 0 0 0 0 0 1 2 0 3 0 0 0 0 1 0 0 1 0 1 1 0 0 0 1 1 0 0 2 3 1 4 0 1 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0
"immovable" 1 0 0 0 0 0 0 1 0 0 1 1 3 3 1 0 0 0 0 0 1 2 1 1 0 1 1 0 0 0 0 0 1 0 0 1 2 2 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 3 0 1 0 0 3 0 0 0 2 2 1 0 0 1 2 0 0 0 0 0 2 0 1 0 0 1 0 1 1 0 0 0 1 1 0 0 1 1 1 0 3 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 1 0 1
"impatient" 0 0 3 0 1 0 0 1 1 2 0 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 1 0 0 1 0 2 0 0 0 1 1 2 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 1 0 1 0 1 1 0 0 2 0 2 0 0 0 0 0 0 2 1 0 0 2 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 1 2 0 0 0 0 0 0 3 1 1 0 0 1 0 0 0 0 2 1 0 0 0 1 0 0 0 1
"indifferent" 1 0 1 1 2 0 0 1 0 2 0 0 1 3 1 0 0 0 1 0 1 1 1 1 1 0 1 4 0 2 1 2 1 0 0 1 4 1 0 1 0 0 1 0 2 1 1 0 1 2 0 1 4 0 1 0 0 1 1 0 0 1 2 1 0 3 0 0 0 2 0 0 1 0 1 2 5 1 1 0 4 1 3 0 0 2 1 0 1 2 3 0 2 0 1 3 0 2 1 1 1 0 0 0 1 1 1 3 1 3 1 0 0 1 0 0 0 0 4 1 0 5 1 0 1 2 0 0 2 0 0 2 0 0 1 0 1 2 0 0 1
"industrious" 0 0 2 0 1 0 0 1 0 0 1 0 1 2 0 1 0 1 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 0 1 1 1 1 0 0 1 0 2 1 0 0 2 1 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 1 2 0 0 0 0 0 0 2 0 1 0 0 2 0 1 2 0 0 1 0 1 1 0 1 2 1 1 1 0 0 0 2 0 0 1 0 0 0 2 0 0 4 2 0 0 0 2 0 0 0 0
"jealous" 0 0 1 0 2 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 4 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 2 1 0 1 4 0 0 0 0 0 2 0 0 0 1 1 1 0 3 0 0 0 0 0 0 3 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0
"joyful" 0 0 1 0 2 0 0 1 0 4 3 0 2 2 0 0 1 0 2 0 0 0 1 0 0 0 1 0 0 2 0 0 1 1 0 1 4 0 1 3 0 0 1 2 1 0 1 1 1 2 1 0 0 1 0 0 1 0 1 2 0 0 0 0 3 1 0 0 0 1 2 1 1 1 1 0 3 1 0 0 2 2 3 1 0 5 0 0 2 1 3 0 1 0 1 0 3 1 0 2 1 0 1 0 1 0 1 1 0 0 1 0 0 1 2 1 1 0 2 1 0 8 3 1 0 0 0 0 4 0 0 2 0 0 1 0 0 2 0 0 0
"keen" 0 1 2 0 1 0 0 0 0 2 0 0 2 0 0 1 0 0 1 0 0 1 1 0 0 1 0 2 1 0 0 0 1 0 0 2 2 1 0 3 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 3 3 1 0 2 0 0 0 0 0 0 0 0 1 3 0 0 0 0 2 0 3 0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 1 0 0 0
"kind" 1 0 4 0 5 0 1 1 2 8 1 1 3 5 0 2 4 2 2 2 2 7 2 1 1 1 4 6 0 1 1 1 2 2 1 2 2 2 0 8 1 0 2 3 1 0 1 2 1 9 2 1 5 1 1 2 0 0 1 0 0 1 3 1 0 1 1 2 0 1 0 3 1 0 1 1 9 3 0 0 5 1 6 1 1 8 1 1 5 4 7 2 1 1 1 1 1 4 0 4 0 2 0 2 2 1 1 0 2 0 2 3 1 3 2 1 0 0 5 2 1 13 0 2 2 1 0 1 5 2 0 4 1 0 0 1 2 1 1 4 1
"languid" 2 0 1 1 0 0 2 1 1 3 0 1 0 2 1 0 0 0 1 0 1 0 0 3 0 0 2 2 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 2 1 3 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 4 1 0 0 1 2 1 1 0 2 2 0 0 0 0 2 0 1 0 0 0 0 0 0 0 2 1 1 1 1 1 0 1 0 0 0 0 0 2 0 0 3 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 1
"lively" 0 1 1 0 1 0 0 1 0 2 2 0 1 0 0 0 0 0 0 0 0 1 0 2 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 2 0 0 0 0 1 0 1 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 2 1 0 0 0 1 1 1 0 1 1 2 0 0 2 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 1 1 4 1 1 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0
"lofty" 2 1 1 0 1 0 0 0 0 1 0 0 1 0 0 1 0 1 1 0 0 2 2 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 4 0 0 1 0 2 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 3 1 3 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 1 1 0 0 1 1 0 4 1 0 0 2 0 0 2 0 0 0 0 0 1 1 0 0 1 0 0
"lonely" 1 0 0 0 2 0 0 1 0 3 0 2 2 0 1 1 2 1 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 1 0 0 0 0 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 4 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 1 0 1 1 1 1 0 0 0 0 1 0 0 0 1 1 0 0 2 1 0 0 1 0 2 0 1 5 0 1 0 0 2 0 0 1 1 0 0 0 0 1 0 0 0 0 0
"loud" 0 1 0 0 2 1 1 2 0 1 1 0 1 2 0 2 0 0 0 0 0 3 2 1 1 0 1 3 1 0 0 0 0 0 0 2 5 0 1 4 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 2 0 0 1 0 1 0 1 0 0 0 0 2 0 0 1 0 2 1 0 0 2 0 3 0 0 4 0 0 0 0 3 1 0 0 0 1 0 2 0 0 0 0 0 2 1 0 0 1 2 0 0 1 0 0 0 0 0 1 0 0 1 6 0 0 0 1 0 0 2 0 0 0 0 1 1 0 1 1 0 1 0
"loving" 1 0 2 0 2 0 0 1 0 0 3 1 1 1 1 0 0 0 0 1 0 1 0 0 0 1 2 1 0 0 0 1 0 0 0 0 3 0 1 1 0 0 0 1 2 0 0 0 1 1 0 0 1 0 2 0 0 0 0 0 2 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 2 0 0 1 0 1 0 0 1 0 3 1 0 0 0 0 1 2 1 2 0 1 1 0 3 2 1 1 1 0 1 1 0 1 1 0 1 0 2 0 0 6 2 1 0 1 0 0 2 1 0 3 1 0 0 0 0 0 0 0 1
"melancholy" 2 1 2 2 2 1 0 3 0 1 1 0 2 5 0 0 1 1 0 0 0 1 1 1 1 0 1 4 2 0 1 2 2 0 0 3 3 0 1 11 1 0 1 0 0 0 2 0 2 5 1 0 2 2 0 1 1 0 0 0 0 1 1 0 3 0 2 0 0 2 0 0 2 0 1 2 4 0 1 2 4 1 1 1 0 0 1 0 3 2 3 0 0 2 0 2 0 3 0 3 0 1 0 2 2 0 0 0 1 0 2 2 0 3 0 1 1 2 2 1 2 9 1 0 1 1 0 1 6 0 1 1 0 0 0 0 1 1 1 1 0
"merry" 0 1 2 0 3 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 2 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 2 0 0 1 0 2 1 0 1 0 1 1 1 0 0 0 1 0 0 1 1 0 2 1 0 1 1 1 0 1 0 0 2 0 0 0 1 2 0 0 0 2 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 3 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 3 0 0 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 1 0
"mild" 1 0 1 0 2 1 0 0 0 1 0 1 1 1 0 0 0 1 2 0 0 3 1 0 1 0 0 0 0 0 2 0 0 0 0 0 4 1 1 4 0 0 0 1 1 1 0 0 0 0 1 0 2 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 2 0 3 0 0 1 0 0 0 0 2 0 0 0 0 0 0 2 0 0 1 0 1 0 2 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 4 1 1 1 1 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0
"military" 0 0 1 1 2 1 0 0 0 2 1 0 3 3 0 2 1 0 1 0 1 2 1 1 1 0 0 4 1 1 1 1 2 0 1 3 4 3 1 2 0 1 0 0 0 0 1 0 2 4 1 0 3 2 1 1 0 0 1 1 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 1 6 0 0 0 4 0 4 0 0 2 1 0 2 2 1 0 0 1 0 1 0 2 0 0 0 0 2 0 3 2 1 0 0 0 0 0 0 0 2 0 2 0 6 1 1 7 1 0 0 2 1 0 3 1 0 1 0 1 1 1 1 2 0 0 0
"musical" 2 0 1 0 3 0 0 1 0 3 1 4 0 0 0 0 1 1 0 0 0 1 2 0 1 1 0 3 0 2 0 1 0 0 0 2 4 2 0 4 1 0 1 0 1 0 1 0 0 0 0 0 2 1 0 1 0 0 0 2 0 1 0 1 1 0 0 0 0 0 0 2 1 0 1 0 2 1 1 0 5 0 4 0 0 1 0 0 1 3 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0 0 0 4 1 0 7 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 2 0
"natural" 4 2 3 1 2 1 1 2 1 15 2 2 7 7 0 2 6 1 4 4 1 9 3 0 2 4 5 9 2 2 2 6 5 2 1 6 9 6 1 13 3 1 2 2 2 1 5 1 4 8 2 3 10 5 4 2 4 1 1 5 0 4 3 3 9 1 1 1 4 2 3 4 2 1 6 2 0 2 0 4 15 3 7 2 1 7 1 4 4 4 10 1 3 1 2 2 3 8 3 10 0 4 1 0 5 4 2 0 1 4 0 1 1 4 5 0 1 0 12 4 2 30 3 1 2 1 4 2 9 2 1 4 2 0 2 2 4 2 3 2 3
"neat" 0 0 3 0 4 0 0 2 1 6 0 1 1 2 0 2 0 0 1 0 0 4 2 0 1 1 3 2 1 1 0 0 2 0 0 1 4 0 0 4 1 0 1 2 2 0 0 1 1 3 0 0 2 1 0 0 2 0 1 1 1 0 1 3 3 0 1 0 0 1 0 0 0 0 0 1 2 0 2 1 2 1 5 0 0 1 0 0 2 2 5 0 0 1 0 1 2 4 1 0 0 0 1 1 1 1 0 2 1 0 2 0 1 1 4 0 0 0 2 1 0 6 1 0 0 0 0 0 2 0 0 2 0 0 0 1 0 1 0 0 0
"nervous" 0 0 0 0 0 0 0 0 0 1 1 0 2 2 1 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0 1 3 1 0 2 0 0 0 1 1 0 0 1 1 0 1 0 2 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 2 0 1 3 0 1 0 0 0 1 0 1 1 2 0 0 0 1 1 1 2 0 0 0 0 0 0 0 0 1 1 1 0 1 0 1 0 2 0 0 0 1 1 0 4 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 0 0 0 0
"observant" 0 0 0 0 0 0 0 0 0 2 0 1 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 1 0 1 2 0 1 0 0 0 0 2 1 0 0 0 1 0 1 0 2 1 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 4 1 1 0 2 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 4 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0
"open" 5 2 7 1 10 2 4 4 2 10 8 6 7 11 2 3 2 4 5 6 1 12 5 2 0 3 3 11 0 3 4 3 6 2 1 7 10 6 1 19 1 2 2 5 3 3 5 1 3 6 2 1 13 8 4 3 2 3 2 4 1 0 2 2 5 4 1 1 0 2 2 4 2 2 4 5 15 2 3 2 0 3 8 4 2 11 3 3 4 7 14 1 1 1 7 4 1 6 0 4 2 4 2 1 8 1 4 3 1 2 3 1 3 2 7 0 1 1 9 5 2 27 3 1 3 2 4 1 12 2 0 6 3 1 2 2 5 2 1 3 3
"original" 1 0 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 1 2 0 1 1 0 1 0 0 0 3 0 0 0 0 0 1 0 0 0 2 1 0 2 0 1 0 2 0 0 0 0 0 1 0 0 2 0 1 1 1 0 0 0 0 1 0 0 0 0 3 1 0 0 3 0 1 0 0 1 0 0 0 0 2 0 1 0 0 0 1 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 6 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
"particular" 0 0 2 2 7 0 0 5 2 8 3 2 1 7 0 4 0 3 1 1 2 6 5 1 2 0 3 4 1 2 0 3 5 3 1 3 7 5 0 14 2 0 2 2 3 0 3 0 2 4 2 0 8 1 1 2 4 1 2 3 0 2 3 0 6 0 2 1 0 3 0 1 0 3 4 4 7 5 1 1 8 1 0 0 0 9 0 3 6 2 12 0 0 4 1 2 1 6 0 3 2 2 2 1 4 3 0 3 1 1 2 4 1 4 6 1 2 1 4 4 2 19 3 3 2 4 3 0 10 2 0 4 2 1 1 3 3 3 1 1 1
"patient" 0 0 2 0 1 0 1 0 0 1 1 0 0 1 0 0 0 1 0 1 0 3 1 0 0 0 0 2 0 0 1 2 1 0 0 1 2 0 0 0 0 0 0 1 0 1 1 1 1 2 0 0 2 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 2 0 0 1 4 0 0 0 1 0 0 1 1 1 2 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 1 2 0 0 4 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0
"playful" 2 0 0 0 0 0 3 1 0 3 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 4 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 0 3 0 4 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0
"pleasant" 1 0 3 2 8 1 3 5 3 13 5 0 6 5 1 3 2 1 3 0 3 7 3 0 3 2 5 7 1 2 2 2 3 1 1 4 7 4 2 7 3 3 1 1 0 2 2 2 1 4 1 0 4 2 1 1 1 3 0 2 1 0 5 0 8 2 2 1 1 4 1 0 0 1 2 1 7 1 0 0 11 1 9 0 3 0 0 6 3 6 9 2 3 1 2 2 2 1 0 5 2 3 2 1 6 3 4 1 1 2 1 3 1 2 3 1 0 1 10 1 2 12 2 2 1 2 1 1 12 2 0 2 1 2 2 3 6 2 2 6 1
"polite" 0 1 1 1 2 0 1 0 0 1 0 0 1 3 1 0 0 0 1 0 0 2 0 2 0 1 2 4 0 0 0 1 1 0 0 2 0 0 0 3 0 1 0 1 1 0 1 0 1 2 0 0 2 0 1 1 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 1 1 0 1 0 1 0 1 0 3 0 0 0 0 0 0 0 1 2 2 0 0 0 2 2 0 1 0 1 0 0 1 0 1 2 0 0 1 1 1 1 0 1 1 1 0 1 3 2 1 4 0 0 0 0 1 0 4 0 1 1 0 2 1 0 2 1 0 0 0
"practical" 1 0 1 1 2 1 3 1 1 5 2 0 0 0 0 1 0 0 1 0 0 3 1 0 3 0 0 1 0 0 0 0 1 0 0 3 1 1 1 6 1 2 0 0 1 1 0 3 0 0 0 0 4 1 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 1 0 0 0 4 0 0 0 3 0 3 1 4 6 0 0 0 1 2 0 2 0 3 0 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 2 0 2 0 1 6 1 0 0 0 1 0 1 0 0 0 1 1 0 1 1 1 0 4 0
"proud" 2 1 0 1 3 1 0 0 0 5 2 1 4 7 0 2 0 1 0 1 1 4 2 2 0 0 4 6 0 0 1 3 2 2 0 2 0 1 0 5 1 0 1 0 3 1 2 2 2 7 0 1 3 1 2 2 2 0 0 1 1 1 2 0 5 0 1 3 1 0 1 3 0 0 2 1 4 2 1 1 4 0 6 1 0 3 1 0 0 3 7 1 1 3 0 0 1 0 1 4 0 0 0 1 1 0 1 1 0 2 2 1 0 2 1 2 0 0 5 1 1 15 5 0 2 1 0 0 5 0 0 4 0 0 2 1 0 0 1 2 0
"quick" 1 0 3 0 3 1 1 0 1 6 2 3 0 2 0 2 2 0 0 0 0 5 4 0 2 2 4 6 0 0 1 3 3 0 0 4 4 2 1 6 0 1 2 1 0 0 2 2 1 4 1 1 6 2 1 1 0 2 2 2 1 0 1 1 4 2 1 1 1 0 0 2 1 0 2 3 4 2 1 0 7 0 2 1 0 6 2 1 3 0 2 2 0 2 2 2 0 4 0 1 0 0 1 2 2 1 1 1 0 0 2 0 0 1 1 0 2 1 9 6 0 16 1 0 1 0 0 2 6 0 0 1 0 1 0 0 2 0 1 0 0
