"acute" "affectionate" "bold" "busy" "calm" "careless" "certain" "cheerful" "civil" "close" "cold" "constant" "cruel" "decided" "delicate" "determined" "domestic" "eager" "earnest" "easy" "faithful" "fearful" "free" "fresh" "friendly" "gallant" "general" "generous" "gentle" "gloomy" "grateful" "grave" "handsome" "hearty" "heavy" "honest" "humble" "impartial" "impatient" "independent" "indifferent" "intimate" "jealous" "joyful" "judicious" "just" "keen" "kind" "literary" "lively" "loud" "maternal" "mild" "moderate" "natural" "neat" "negligent" "open" "partial" "particular" "patient" "placid" "pleasant" "polite" "positive" "quick" "quiet" "rapid" "reasonable" "resentful" "resolute" "rude" "sad" "second" "selfish" "sensible" "serious" "severe" "silent" "simple" "sincere" "sober" "solemn" "speedy" "steady" "strong" "sudden" "sufficient" "sure" "sweet" "thankful" "true" "ungenerous" "unhappy" "unkind" "unsteady" "unsuspicious" "untoward" "urgent" "violent" "unprejudiced" "vain" "wise" "unpretending" "willing"
"patient" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"placid" 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"pleasant" 1 1 1 1 0 0 2 0 0 0 1 1 0 1 1 0 1 0 0 0 0 2 1 3 0 0 4 1 0 0 0 1 3 2 0 2 0 0 2 0 1 2 0 0 1 1 1 2 0 0 0 1 0 0 1 0 0 4 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 1 1 1 5 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0
"polite" 0 1 0 1 0 2 0 2 0 0 1 1 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 2 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"positive" 0 1 1 0 2 2 3 1 1 2 0 0 1 0 0 1 0 1 0 0 1 1 0 0 0 0 4 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 1 2 0 0 1 0 0 1 1 0 0 0 0 0 1 2 0 1 0 1 2 1 1 1 1 1 1 0 2 0 4 2 1 1 0 0 1 1 1 0 1 1 0 1 0 0 0
"quick" 0 1 0 1 0 0 2 1 0 1 2 1 0 0 1 1 2 2 1 1 1 1 1 3 0 0 3 0 2 0 1 0 1 0 2 1 2 0 0 1 1 0 1 0 0 0 0 1 2 0 1 0 1 0 1 0 1 4 1 1 1 1 0 0 1 0 2 0 0 0 2 0 1 3 1 0 0 0 1 0 2 1 0 0 1 1 4 1 4 2 0 0 2 1 1 1 0 0 1 3 0 1 1 0 2
"quiet" 0 1 1 0 0 0 3 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 3 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 2 1 1 0 1 0 0 4 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 1 1 1 0 1 0 1 1 1 0 1 0 1 2 0 3 0 0 2 0 0 0 1 1 0 0 1 0 1 1 1 0
"rapid" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"reasonable" 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 1 0 0 1 1 0 0 0 1 1 0 1 1 0 0 0 2 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 1 0 1 0 0 0 0 1 0 1 0 2 1 0 2 0 0 0 0 0 1 1 0 0 1 0 0 0
"resentful" 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"resolute" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0
"rude" 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 3 0 2 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"sad" 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 1 1 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1
"second" 0 2 1 0 1 1 2 1 0 3 2 2 1 0 0 1 1 3 2 1 0 4 0 2 2 0 3 0 2 2 1 1 6 0 2 1 1 0 1 0 0 0 1 0 0 0 0 2 0 2 1 0 1 1 3 0 0 5 2 1 0 1 2 0 2 3 1 1 1 2 1 1 0 0 1 1 0 1 2 1 1 1 0 0 1 1 3 0 7 3 0 2 0 1 1 2 0 1 1 5 0 2 1 0 0
"selfish" 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 2 1 1 0 1 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 2 0 1 1 0 1 0 0 0 1 0 0 2 0 1 0
"sensible" 0 3 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 3 1 0 0 1 1 0 1 0 3 1 0 1 1 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 2 0 1 0 0 0 0 1 0 1 0 2 0 0 0 0 1 0 0 1 2 3 0 0 0 0 0 1 0 3 1 1 2 0 2 0 1 0 0 1 1 0 0 0 2 1 0 0
"serious" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 2 0 0 0 1 4 0 0 1 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
"severe" 1 2 0 0 1 0 1 1 1 0 0 0 0 1 0 0 0 1 1 1 2 1 0 1 1 0 3 1 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 2 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 1 1 0 1 0 2 1 0 0
"silent" 0 3 0 0 1 1 2 1 0 0 2 1 0 0 0 1 0 3 1 1 0 1 0 1 0 0 2 1 0 2 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 2 2 1 0 1 0 1 2 1 0 0 0 0 0 0 1 2 0 3 1 0 0 0 0 0 0 1 0 1 3 1 3 3 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0
"simple" 1 0 0 0 0 1 0 2 0 2 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 4 1 2 0 0 0 3 0 1 2 2 1 2 0 0 0 0 2 2 0 0 2 0 0 1 0 1 1 0 1 0 1 0 2 1 0 0 0 1 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 1 4 0 8 1 0 5 0 1 0 0 0 0 1 0 0 0 0 0 0
"sincere" 0 0 1 0 0 1 2 1 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 2 0 2 0 1 0 0 0 0 0 0 0 0 2 0 0 2 1 0 0 0 1 1 3 0 0 1 0 1 0 1 2 0 0 1 0 0 0 1 2 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 3 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1
"sober" 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 1 0 1 1 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"solemn" 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 3 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 0 1 0 0 0 0 3 0 3 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0
"speedy" 1 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 2 0 3 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0
"steady" 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 1 0 3 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 1 2 0 1 1 0 0 0 1 1 0 1 1 0 0 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 1 0 2 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1
"strong" 0 2 0 1 0 2 0 1 1 1 3 2 0 0 0 2 0 2 0 2 0 1 1 1 0 0 2 1 0 1 0 0 3 0 0 1 0 1 0 1 2 1 2 0 0 1 0 2 1 0 1 0 0 0 1 0 0 1 1 2 0 0 1 2 0 1 1 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 1 0 0 2 0 7 2 1 4 2 2 1 0 0 0 1 0 0 2 0 0 0
"sudden" 0 2 0 3 2 1 1 3 0 1 2 1 0 1 0 0 1 3 0 1 2 2 4 2 0 0 6 2 2 1 1 0 4 0 3 3 1 1 2 2 0 1 0 1 0 2 1 1 1 0 2 1 0 0 4 0 0 3 1 4 0 0 1 1 2 4 2 0 1 2 1 1 1 3 0 3 1 0 3 4 1 0 3 2 1 2 0 1 7 1 0 5 0 3 0 1 1 0 0 2 0 1 2 0 1
"sufficient" 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"sure" 2 4 1 1 0 4 6 4 2 3 2 5 1 1 4 5 1 5 0 6 2 1 1 4 0 1 10 3 6 2 0 3 11 0 3 5 1 1 3 2 2 2 4 2 3 0 0 8 2 4 2 0 2 2 4 3 2 4 3 9 2 1 5 2 4 4 3 1 2 1 1 0 2 7 1 1 0 1 3 8 3 0 3 3 2 7 7 0 0 5 1 9 2 2 1 1 0 0 2 1 1 3 1 1 2
"sweet" 1 1 0 0 1 0 1 1 1 0 2 0 0 0 0 2 0 4 1 1 0 2 0 2 1 0 3 2 1 0 1 1 1 0 0 2 1 0 2 0 2 0 1 1 0 0 0 2 1 0 2 0 0 2 0 0 0 2 0 2 0 1 1 0 2 2 0 1 1 0 0 0 0 3 2 2 0 1 3 1 0 0 0 0 1 2 1 1 5 0 0 1 1 0 1 0 0 0 2 2 0 3 0 0 1
"thankful" 0 1 1 0 0 1 0 1 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"true" 0 2 1 0 0 2 1 2 1 2 0 1 0 0 1 2 0 1 2 2 1 1 1 0 1 0 3 0 1 0 2 0 3 0 0 3 1 0 1 1 1 0 0 2 0 0 0 1 1 1 1 0 0 1 1 1 0 2 0 2 0 0 0 1 1 0 2 1 2 0 0 0 0 2 1 2 0 1 0 5 1 0 2 2 1 4 5 1 9 1 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0
"ungenerous" 0 1 0 0 0 0 0 0 1 0 2 0 0 0 1 1 0 2 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 2 1 0 0 0 1 1 0 0 0 1 0 0 2 0 0 0
"unhappy" 0 0 0 2 0 0 0 1 1 1 2 1 0 0 0 0 0 1 0 0 0 2 1 1 0 0 1 0 1 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 2 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 1 1 0 1 1 0 0 0 0 0 2 3 0 2 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1
"unkind" 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 2 0 1 0 0 0 1 2 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 1 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0
"unsteady" 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"unsuspicious" 0 2 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"untoward" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"urgent" 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 2 2 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0
"violent" 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 1 0 1 0 0 3 0 2 0 0 3 0 0 2 1 0 2 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 1 1 0 1 0 0 1 3 1 0 0 1 1 0 0 5 0 0 0 1 1 0 0 0 0 0 0 0 2 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
"unprejudiced" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"vain" 1 2 0 0 0 0 1 0 1 0 2 0 0 2 0 1 0 3 1 2 1 2 1 1 2 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 0 0 1 1 1 0 0 0 1 0 0 2 0 0 2 0 2 0 0 1 0 1 1 1 1 1 0 0 0 0 2 2 2 0 2 1 0 0 0 0 1 1 2 1 0 3 3 0 1 2 1 1 0 0 1 1 0 0 0 0 0 0
"wise" 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 2 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0
"unpretending" 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"willing" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
