"abrupt" "active" "affable" "affectionate" "aloof" "awkward" "bitter" "boisterous" "bold" "brave" "brisk" "busy" "calm" "candid" "capricious" "careful" "careless" "catholic" "cautious" "certain" "cheerful" "christian" "civil" "clean" "close" "cold" "complimentary" "conciliatory" "confidential" "consistent" "constant" "cool" "courteous" "cruel" "curious" "daring" "delicate" "determined" "direct" "distrustful" "domestic" "eager" "earnest" "easy" "expressive" "faithful" "familiar" "fast" "fearful" "ferocious" "fickle" "fierce" "fiery" "firm" "forgetful" "frank" "free" "fresh" "friendly" "frugal" "gallant" "gay" "general" "generous" "genteel" "gentle" "giddy" "gloomy" "graceful" "gracious" "grateful" "grave" "gruff" "handsome" "hasty" "haughty" "headlong" "hearty" "heavy" "honest" "hopeful" "humble" "hurried" "impatient" "indifferent" "intense" "irreligious" "jaunty" "jovial" "keen" "kind" "lavish" "lazy" "lively" "lofty" "lonely" "loud" "loving" "melancholy" "merry" "mild" "military" "modest" "mournful" "musical" "mute" "natural" "nervous" "noisy" "obdurate" "open" "original" "particular" "patient" "peaceful" "placid" "pleasant" "precise" "proud" "prudent" "quick" "quiet" "rapid" "reasonable" "reckless" "religious" "resolute" "restless" "rigid" "rough" "rude" "rusty" "sad" "scornful" "second" "sensible" "sensitive" "serious" "severe" "silent" "simple" "sincere" "slow" "smooth" "sober" "social" "soft" "solemn" "stable" "steady" "stealthy" "steep" "stern" "stiff" "straight" "strict" "strong" "sudden" "sufficient" "suggestive" "sullen" "sunny" "sure" "surly" "suspicious" "sweet" "talkative" "tender" "thankful" "thorough" "thoughtful" "tight" "timid" "true" "ugly" "uncertain" "unhappy" "vague" "vain" "vicious" "violent" "virtuous" "weak" "wise" "willing" "vagrant"
"courteous" 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 3 0 0 0 0 0 1 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 3 1 1 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 2 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"cruel" 0 2 0 1 0 0 1 1 1 0 1 1 1 0 1 2 1 1 0 4 1 0 0 0 3 4 0 0 1 0 4 0 0 0 0 0 1 0 0 0 1 1 0 5 0 0 1 0 0 0 1 3 1 0 1 0 4 2 3 1 0 1 1 0 2 1 0 1 0 1 1 0 0 1 1 0 0 2 4 1 0 1 1 0 1 1 1 0 0 0 0 0 1 0 1 1 3 0 0 1 1 0 0 2 0 0 2 1 0 1 8 2 1 1 1 0 4 0 3 0 1 6 0 1 2 1 0 2 1 1 1 0 2 0 0 0 1 1 0 3 3 0 1 2 0 0 0 1 1 1 0 1 1 2 0 0 4 1 1 1 1 0 9 1 1 1 1 1 2 0 0 0 2 3 1 1 1 1 2 1 2 0 1 1 0 0
"curious" 0 1 0 0 0 0 1 1 0 0 1 1 2 0 0 1 1 0 2 2 4 0 0 1 2 2 0 0 3 0 0 1 0 0 0 0 1 0 0 0 0 1 1 3 0 0 1 0 1 0 0 1 0 1 0 0 1 2 1 0 0 2 1 0 0 2 0 0 0 1 0 1 1 2 0 0 0 0 4 0 0 0 0 2 0 0 2 0 0 0 0 0 2 1 2 0 3 0 0 1 0 0 0 0 1 0 3 0 1 1 1 2 2 0 0 2 4 0 3 0 0 1 0 0 1 0 1 1 0 0 1 0 2 0 2 1 1 1 0 3 0 0 0 0 0 1 0 3 2 2 0 0 0 0 0 0 2 0 3 0 1 0 8 1 0 1 0 1 0 0 0 0 0 3 0 0 1 0 0 0 0 0 2 1 1 0
"daring" 0 1 0 0 0 0 0 2 3 1 0 2 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 3 0 1 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 2 0 0 0 1 1 0 0 1 0 0 0 2 0 0 0 0 0 2 0 1 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 1 1 0 0 1 0
"delicate" 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 1 1 0 0 4 1 0 1 0 1 3 0 0 0 0 2 2 0 1 1 0 0 0 0 0 0 0 0 4 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 2 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 3 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 3 0 1 0 5 1 1 0 0 0 2 0 3 0 1 4 1 0 0 0 0 0 1 2 0 0 1 1 1 0 1 0 1 2 2 0 0 0 1 0 0 1 1 2 0 0 0 0 0 0 1 0 0 0 0 0 3 1 1 1 0 1 0 0 1 0 1 2 1 0 0 0 1 0 0 0 0 1 2 0
"determined" 1 0 1 0 2 0 1 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 1 0 1 1 1 1 0 1 0 0 0 0 0 1 1 1 1 0 2 0 0 0 0 1 0 0 0 0 0 0 2 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 4 1 1 0 0 1 1 1 1 0 0 2 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0
"direct" 0 0 1 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 2 0 0 1 0 1 0 1 0 0 1 0 0 2 1 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0 1 1 0 0 0 0 2 0 1 0 0 0 0 0 1 1 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0
"distrustful" 1 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1 2 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"domestic" 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 3 2 0 0 0 0 0 1 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 3 0 1 0 1 0 2 0 2 1 0 0 1 2 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 4 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 3 0 0
"eager" 0 3 0 0 0 0 0 0 1 1 1 2 0 0 0 1 0 0 0 1 2 0 0 0 4 1 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 2 0 2 0 1 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 3 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 7 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0
"earnest" 1 0 0 0 3 2 0 0 3 1 0 1 1 0 0 0 0 3 0 5 1 1 0 0 1 1 0 1 0 0 1 4 0 0 1 0 0 1 2 0 0 0 0 5 1 1 3 0 0 2 0 0 0 0 0 1 1 1 1 1 0 0 2 0 0 1 1 2 1 0 0 2 1 2 1 1 1 0 5 1 0 0 0 0 1 0 1 0 0 0 2 1 1 0 2 2 1 0 0 0 1 1 0 0 0 2 4 0 0 0 3 2 2 1 1 2 1 1 6 0 2 1 2 1 2 1 0 1 1 3 1 2 2 1 2 0 0 0 0 4 0 1 1 0 0 0 0 2 1 2 1 1 1 0 1 0 6 0 0 0 0 0 10 0 0 3 0 0 0 1 0 0 0 4 1 0 1 0 1 0 0 0 1 1 1 1
"easy" 2 1 1 0 3 0 1 1 3 3 1 3 4 2 1 3 1 0 2 11 4 0 1 3 8 8 1 1 2 1 6 7 3 5 3 0 4 2 1 1 2 1 5 0 2 0 3 1 2 0 1 3 2 1 0 1 9 3 4 1 1 4 7 0 2 7 1 3 2 1 2 3 0 4 3 2 0 3 9 3 0 2 1 5 1 2 0 1 1 1 5 1 1 2 2 3 4 2 3 1 5 2 0 2 0 2 6 1 1 1 11 4 6 1 0 4 8 1 5 1 5 11 1 1 1 0 0 3 1 7 3 0 5 0 7 1 1 2 1 7 2 1 2 2 1 1 2 2 4 4 0 1 2 0 0 0 16 4 2 3 3 0 12 1 1 4 0 2 1 1 5 0 1 8 1 2 2 2 0 0 2 1 5 7 0 2
"expressive" 0 1 0 0 1 0 0 0 3 2 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 2 0 1 0 0 0 2 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 1 0 0 0 3 1 1 0 0 0 1 1 1 0 2 2 1 0 0 0 0 0 0 1 1 0 1 0 3 1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 3 0 0 0 0 4 0 0 0 0 0 0 1 2 0 0 0 1 0 2 0 0 0 1 0 0 0 1 0
"faithful" 0 1 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 1 1 4 3 1 0 1 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1 4 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 2 0 0 2 0 0 0 0 0 0 2 0 1 1 0 0 1 1 2 0 1 2 0 1 0 1 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 1 1 1 0 1 0 3 1 0 0 0 0 4 0 0 1 0 0 0 1 0 0 0 2 0 1 1 1 1 0 2 1 1 1 1 0
"familiar" 1 1 0 0 0 0 0 1 1 0 0 4 0 0 1 1 0 0 0 5 5 0 0 0 0 1 0 0 0 0 2 1 0 1 1 0 0 0 0 0 0 1 3 3 0 0 0 0 0 0 0 2 1 2 0 1 3 2 0 0 1 1 0 0 0 3 1 2 0 0 0 0 0 2 0 1 0 1 5 3 0 0 0 0 0 1 0 0 0 1 1 0 0 0 2 5 2 0 0 2 0 0 0 1 1 1 3 0 2 1 4 1 1 1 0 1 3 0 1 0 1 2 0 1 0 0 1 0 0 0 0 0 4 0 0 0 0 1 0 2 0 0 2 0 2 1 0 2 0 0 1 1 1 0 1 1 5 0 0 0 0 0 4 1 0 1 0 0 0 1 0 0 0 1 1 0 1 1 1 0 2 0 0 3 0 0
"fast" 0 0 0 0 0 0 1 1 1 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 1 2 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 2 0 0 0 1 0 0 2 2 0 2 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 1 0 2 2 2 0 1 0 1 0 0 0 0 1 0 0 2 0 0 0 0 3 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 1 1 0 1 1 0 2 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 1 0
"fearful" 0 1 0 0 1 0 0 0 0 1 0 2 2 0 0 0 0 1 0 1 0 0 0 0 2 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 2 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 2 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 1 0 0 1 0 0 0 3 1 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 3 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 6 0 1 0 0 1 2 1 0 0 0 0 0 0 0 0 1 2 1 2 1 1 0 0 0 0 1 0 0 0
"ferocious" 0 1 0 0 1 0 0 0 2 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 2 0 0 0 0 0 3 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0
"fickle" 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 1 0 0 0 1 2 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 1 0 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 2 0 1 1 0 0 1 0 0 2 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 2 0 1 0 0 1 2 0 0 1 1 1 0 1 0 0 1 0 0 1 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 1 0 1
"fierce" 0 2 0 0 0 0 0 3 2 2 0 1 1 0 0 2 2 1 0 2 1 0 1 0 1 2 0 0 0 0 2 0 1 3 1 2 0 0 1 0 0 0 0 3 1 0 2 0 0 0 1 0 1 0 0 0 2 1 1 0 0 0 5 0 0 3 1 1 0 0 0 1 0 2 1 0 0 0 3 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 4 0 2 2 0 1 0 0 1 0 0 0 0 1 8 0 1 0 2 0 1 0 2 1 2 5 0 0 2 0 0 1 1 1 0 1 4 0 1 0 0 1 0 3 0 1 1 1 0 0 0 2 1 1 1 0 2 1 0 1 6 2 2 0 2 0 4 1 0 0 0 1 1 0 0 0 0 1 1 2 0 1 0 0 2 1 0 0 0 0
"fiery" 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 2 0 0 1 0 0 0 0 0 2 2 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0
"firm" 0 0 0 1 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 1 1 1 4 0 0 0 0 1 1 0 0 0 1 1 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 2 0 2 1 1 0 0 0 3 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 1 0 0 1 0 2 1 2 0 1 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 2 1 0 1 3 1 0 0 0 0 0 1 1 0
"forgetful" 0 1 0 0 0 0 1 2 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 1 1 0 0 3 1 0 0 0 1 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 1 0 0 0 0 0 2 0 0 3 1 0 1 0 0 1 0 0 0 0 0 1 1 1 0 2 0 2 1 0 0 1 0 0 2 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 2 0 0 2 0 1 0 0 0 0 1 3 0 0 0 0 1 1 0 1 2 1 1 0
"frank" 2 0 1 0 1 0 1 0 1 1 0 0 1 1 0 0 1 0 0 3 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 0 2 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 2 1 2 0 0 1 1 1 1 2 0 2 0 0 0 0 0 2 1 2 0 2 1 4 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 3 0 0 0 3 0 1 0 0 1 1 2 0 1 0 2 0 0 0 1 0 0 0 2 0 0 0 1 1 2 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 2 0 0 0 0 0 3 0 1 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 1 1 0 0 0
"free" 1 2 1 2 2 0 1 1 2 4 0 3 2 1 2 4 1 3 1 8 8 0 0 0 5 12 1 0 1 1 4 2 1 4 1 0 0 1 0 3 3 1 1 9 1 2 3 1 2 0 1 2 0 2 1 2 0 2 2 0 2 3 5 2 1 3 0 1 3 1 3 1 1 9 1 1 0 4 4 9 0 4 1 3 0 1 0 1 2 1 0 0 0 2 2 3 4 1 3 4 2 4 0 2 1 2 1 1 1 0 10 1 4 2 0 4 7 2 4 0 2 10 1 0 1 2 1 3 2 3 0 1 6 0 4 2 1 2 2 10 0 0 7 3 2 0 2 3 2 3 1 0 4 1 3 0 11 3 3 1 2 2 12 1 0 3 0 0 1 0 1 0 5 5 2 1 5 1 3 1 3 0 1 3 0 1
"fresh" 0 2 0 0 1 0 0 0 1 0 0 2 1 0 0 0 1 0 0 2 2 0 1 0 1 4 0 1 1 1 1 1 1 2 2 0 0 0 0 0 0 1 1 3 1 1 2 0 1 1 0 1 2 0 0 1 2 0 1 0 0 2 1 1 0 4 1 1 1 1 0 0 0 2 0 1 0 1 1 4 0 0 0 0 1 1 0 0 0 0 0 0 2 0 1 2 1 0 1 0 1 1 1 1 1 1 0 1 0 1 4 2 4 1 0 0 3 1 3 0 1 5 0 0 2 0 1 1 0 1 2 1 1 0 0 0 1 2 0 2 1 0 0 0 0 0 0 2 1 1 1 1 0 0 0 0 2 0 1 0 0 0 4 1 0 0 0 0 0 2 2 1 1 5 0 0 0 0 1 0 1 1 1 1 1 0
"friendly" 0 0 0 1 1 0 1 1 3 2 0 1 0 0 1 0 1 1 2 4 2 1 0 0 1 4 0 1 2 0 1 1 0 3 1 1 0 0 0 0 1 0 1 4 0 0 0 1 0 0 1 1 2 0 0 2 2 1 0 1 0 1 4 0 1 0 1 1 0 1 0 0 0 1 0 0 0 2 4 4 0 1 1 0 2 0 0 0 0 0 1 0 0 0 0 1 4 0 0 1 1 0 0 0 0 0 1 2 1 0 5 2 3 1 0 0 2 0 1 0 2 2 2 0 1 1 0 1 1 1 2 2 0 0 2 1 1 1 0 6 0 0 3 1 1 1 0 0 1 2 1 0 0 1 0 0 7 3 2 1 2 0 4 1 1 0 1 1 0 0 0 0 0 4 0 2 0 0 0 1 2 0 1 1 0 0
"frugal" 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 2 1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0
"gallant" 0 1 0 1 0 1 0 1 0 3 0 1 0 0 0 0 1 0 0 4 1 0 1 0 0 2 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 3 0 1 1 0 0 0 1 0 1 0 3 0 0 1 1 2 1 0 2 0 1 1 1 0 1 0 2 1 0 0 1 0 0 2 0 0 1 0 1 0 0 0 2 1 0 0 0 5 2 1 0 0 1 0 0 2 0 1 1 0 1 0 0 1 1 0 0 0 2 0 0 1 0 0 0 0 4 0 0 1 0 1 0 0 1 1 0 0 1 1 1 0 0 5 2 0 0 1 0 2 0 1 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0 1 2 0 0
"gay" 0 2 0 0 0 0 0 0 3 2 1 2 0 0 0 0 1 0 0 4 5 0 0 0 0 2 1 0 1 0 4 1 0 1 2 0 2 0 0 0 0 0 0 4 1 0 1 0 0 0 0 0 0 0 1 1 3 2 1 0 1 0 1 1 0 3 0 1 1 0 0 0 1 3 0 0 0 1 3 1 1 3 0 2 0 1 0 0 0 0 1 0 1 0 1 2 0 0 0 0 1 0 1 2 1 0 1 0 0 0 1 0 2 0 0 1 6 0 4 0 1 3 0 0 1 0 0 0 0 1 0 1 1 0 2 0 1 1 0 2 1 0 0 0 1 0 0 0 2 1 1 0 0 0 0 0 4 1 0 1 1 0 4 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 1 0 0 0 3 3 0 0
"general" 0 4 2 0 1 1 1 4 7 2 0 2 1 0 1 3 4 0 0 12 2 1 2 1 3 6 1 2 0 0 3 1 1 1 1 1 2 1 3 0 2 0 2 7 1 1 0 2 0 2 1 5 0 1 1 1 5 1 4 1 3 1 0 1 4 0 2 2 0 4 2 3 1 5 1 0 0 3 4 2 0 4 1 1 2 0 0 0 1 2 1 0 0 3 0 1 7 0 1 4 1 1 0 1 0 1 3 1 1 0 12 3 4 0 1 1 2 1 8 1 4 4 0 0 2 2 0 2 2 0 1 2 3 1 2 1 1 4 0 8 0 2 1 1 0 0 0 3 2 1 0 0 1 1 0 1 12 2 1 2 1 0 17 0 1 2 1 2 1 2 2 1 3 6 2 1 0 1 0 1 1 1 2 1 1 0
"generous" 0 0 1 0 0 1 1 1 3 1 1 1 0 0 0 1 0 0 0 2 1 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 1 1 0 1 2 0 1 1 1 1 0 0 3 0 0 0 0 1 3 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 0 2 0 2 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 3 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 3 0 0 0
"genteel" 0 0 1 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 3 1 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 1 1 0 0 2 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 1 0 4 1 0 0 0 0 0 2 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 4 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0
"gentle" 2 1 0 0 1 1 1 2 2 2 1 3 1 2 1 0 1 0 0 4 5 1 1 1 0 8 1 0 1 1 3 1 3 1 2 0 0 1 0 1 1 0 1 7 1 0 3 0 1 1 1 3 1 1 3 2 3 4 0 0 1 3 0 2 0 0 3 2 1 5 1 2 0 3 1 3 0 1 4 10 2 1 0 1 2 0 0 0 0 2 2 0 1 1 2 1 1 1 3 1 4 0 0 2 2 2 4 0 0 1 5 1 4 1 1 1 8 1 3 1 4 10 0 1 2 0 0 1 0 2 0 1 1 1 2 3 1 3 0 6 1 1 2 2 2 0 5 1 3 1 4 0 1 0 0 1 8 1 5 0 0 0 7 1 1 5 0 1 0 0 3 2 0 7 0 1 2 1 1 0 1 1 3 2 0 0
