"abrupt" "active" "affectionate" "benevolent" "bitter" "boisterous" "bold" "busy" "calm" "careful" "careless" "certain" "chaste" "cheerful" "civil" "clean" "close" "cold" "communicative" "constant" "cool" "critical" "cruel" "curious" "delicate" "dependent" "determined" "dignified" "direct" "dogged" "domestic" "dutiful" "eager" "earnest" "easy" "exact" "excitable" "expressive" "faithful" "familiar" "fast" "fearful" "ferocious" "fierce" "firm" "free" "fresh" "friendly" "gallant" "gay" "general" "generous" "genteel" "gentle" "gloomy" "gracious" "grateful" "grave" "handsome" "handy" "hasty" "haughty" "headlong" "hearty" "heavy" "helpless" "honest" "hopeless" "humane" "humble" "hurried" "impatient" "impetuous" "incredulous" "independent" "inflexible" "intense" "ironical" "irrepressible" "irritable" "kind" "lazy" "lively" "lonely" "loud" "malicious" "melancholy" "merry" "mild" "modest" "musical" "mute" "natural" "neat" "nervous" "noiseless" "noisy" "observant" "open" "original" "particular" "passionate" "peaceful" "philosophical" "pleasant" "polite" "political" "precise" "prompt" "proud" "prudent" "quick" "quiet" "rapid" "reasonable" "respectful" "rigid" "rough" "rude" "rueful" "rusty" "sad" "sanguine" "second" "selfish" "serious" "silent" "simple" "slow" "sober" "soft" "solemn" "sorrowful" "stately" "steady" "steep" "stern" "stiff" "straight" "strict" "strong" "sudden" "sunny" "sure" "surly" "suspicious" "sweet" "thankful" "thoughtful" "tight" "tremulous" "true" "ugly" "ungrateful" "vicious" "violent" "virtuous" "weak" "unhappy" "willing" "zealous" "wary" "wise" "windy" "unkind" "vague"
"excitable" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
"expressive" 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 4 1 0 0 0 1 0 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 1 1 2 0 0 0 2 0 0 0 3 0 0 1 0 0 0 0 0 1 3 0 0 2 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 3 0 1 2 0 2 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
"faithful" 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 4 1 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 2 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0
"familiar" 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 1 3 0 0 0 0 0 1 3 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 2 0 0 0 2 0 0 0 1 1 0 1 1 0 1 0 1 0 1 0 0 0 3 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 1 1 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 2 0 0 4 0 0 1 2 0 0 0 0 0 0 0 0 0 3 2 0 1 0 1 0 0 1 1 1 1 1 0 0 1 0 1 0 1 0 0 0 1 0 0
"fast" 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 1 0 0 1 0 1 0 3 0 1 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0
"fearful" 0 0 0 0 1 0 0 0 2 1 1 0 0 1 0 1 2 3 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 2 1 0 0 1 0 0 0 0 0 1 0 2 0 0 0 1 1 0 0 2 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 2 0 1 0 0 4 0 0 0 0 1 0 0 0 1 0 1 1 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1
"ferocious" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"fierce" 0 0 0 0 2 0 0 1 0 0 0 2 0 0 1 0 1 2 0 0 0 1 1 1 0 1 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 2 0 0 2 1 0 0 0 1 0 1 1 0 1 1 0 0 1 0 0 0 0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 1 2 2 0 0 0 0 0 1 0 1 2 2 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 4 1 0 1 0 0 0 0 1 0 1 1 0 0 1 2 1 0 0 0 0 0 0 0 0 0
"firm" 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"free" 1 1 1 0 0 0 1 1 0 3 1 1 1 0 0 0 2 4 0 1 1 0 1 2 1 0 1 1 0 0 0 0 1 3 4 1 0 1 4 0 0 2 0 0 0 0 3 1 0 1 2 1 1 2 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 2 1 1 0 0 1 1 0 0 0 0 1 0 0 2 3 0 0 1 0 0 0 3 1 1 0 1 0 1 3 1 3 1 0 0 1 0 0 1 1 2 2 0 3 2 0 0 0 0 0 1 0 1 0 1 1 0 3 1 1 0 2 2 0 0 1 0 1 0 0 1 3 4 1 4 0 0 0 1 0 1 0 2 0 1 0 2 0 1 0 0 1 0 0 0 0 1
"fresh" 0 1 0 0 1 0 1 0 1 2 0 3 0 2 0 1 3 4 0 0 0 1 1 0 1 0 0 1 0 0 1 0 0 2 1 0 0 2 1 2 1 0 0 1 0 3 0 0 1 0 1 1 1 2 3 0 0 0 1 1 1 0 0 2 4 1 2 1 0 1 1 0 1 0 0 0 1 1 0 0 1 1 1 2 2 0 0 0 0 0 1 1 0 1 0 0 1 0 5 1 2 0 1 0 2 0 0 0 0 2 1 1 2 3 0 0 0 1 1 1 0 0 0 4 1 0 3 1 0 1 3 1 0 0 0 0 1 2 0 1 5 1 1 6 0 1 2 1 0 1 1 4 1 2 1 2 1 2 0 0 0 1 1 0 0 1
"friendly" 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
"gallant" 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"gay" 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0
"general" 0 0 1 0 0 1 2 0 0 1 2 3 1 0 0 1 2 4 1 0 0 0 0 2 1 1 0 0 0 0 0 0 2 0 3 0 0 2 0 1 0 1 1 2 1 2 1 2 0 1 0 1 0 3 1 1 1 1 1 0 1 1 0 0 2 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 1 1 1 1 0 1 1 0 0 0 1 1 1 0 0 0 0 3 0 6 1 0 1 1 0 1 0 0 0 0 1 1 1 0 0 0 2 0 0 1 1 1 2 0 0 2 1 1 0 1 2 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 1 1 1 1 4 1 0 0 1 2 1 0 0 0 1 1 1 0 1
"generous" 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 0 0 0 1 0 0 0 0 0 0 0 0 1 2 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0
"genteel" 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 2 1 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"gentle" 1 1 1 1 1 1 0 1 3 2 0 3 0 2 0 4 2 8 0 1 2 0 0 1 2 2 0 0 0 1 2 1 3 3 3 1 0 0 2 1 1 2 2 2 1 2 2 0 0 1 3 2 0 0 1 1 4 0 2 0 0 2 0 2 4 1 1 0 1 2 1 2 0 0 0 0 0 0 1 1 8 1 3 3 1 0 0 0 1 0 2 1 2 3 1 1 1 0 2 1 3 1 1 0 6 1 0 1 1 4 0 3 5 1 0 2 0 1 2 1 0 4 1 2 2 1 4 2 3 0 8 4 1 1 1 1 1 2 0 1 6 3 2 6 0 0 9 1 3 0 0 3 1 2 0 3 1 5 0 1 1 0 1 0 1 1
"gloomy" 0 0 0 0 0 0 0 2 1 0 0 3 0 1 0 0 3 6 1 0 0 1 0 0 3 0 0 1 0 0 1 0 0 1 0 0 1 3 0 1 1 0 0 1 0 0 3 0 1 1 1 0 0 1 0 0 0 0 1 0 0 1 0 1 6 2 0 1 0 0 0 0 1 1 1 0 2 0 0 0 1 0 2 2 4 0 2 0 0 2 0 1 0 0 0 0 0 0 7 1 1 0 0 0 2 0 0 0 0 0 0 3 3 1 1 1 0 1 1 0 2 2 0 2 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 4 0 0 0 1 0 0 1 1 0 0 2 0 1 0 2 0 2 0 0 0 1 0 0 0 0
"gracious" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 1 1 0 1 0 0 1 1 3 1 0 0 0 1 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 1 0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0
"grateful" 0 0 0 0 1 0 0 0 0 2 0 1 0 1 0 1 0 5 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 1 1 0 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 1 1 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 4 0 0 0 0 1 0 2 0 1 0 1 0 0 0 0 0 0 0 2 2 1 2 0 0 2 0 1 0 0 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
"grave" 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"handsome" 1 0 1 0 0 0 0 0 0 0 1 2 1 2 0 1 2 2 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 0 1 1 0 0 2 1 0 0 0 0 0 0 1 1 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 4 0 0 1 1 1 0 0 2 2 1 1 0 0 1 1 1 1 1 1 0 1 0 0 0 0 0 0 3 0 0 3 0 0 1 0 0 0 1 2 0 0 0 0 1 1 0 0 0 1 0 0 0 0
"handy" 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 3 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0
"hasty" 0 1 0 0 0 0 0 0 0 0 1 3 0 0 2 0 1 2 0 0 0 0 0 2 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 1 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 5 0 0 0 0 0 0 0 1 0 0 0 4 2 0 1 0 1 0 1 0 0 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 5 2 0 3 0 1 1 0 0 0 0 3 1 0 0 0 0 0 1 0 0 0 2 0 0 0
"haughty" 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0 2 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"headlong" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 4 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0
"hearty" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 2 0 0 0 1 0 2 0 0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 0 1 2 0 0 0 0 1 0 2 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 1 0 0 1 2 0 1 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 4 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 1 1 3 1 0 2 0 0 2 0 1 1 1 2 2 2 0 2 0 0 0 0 0 0 0 0 1 0
"heavy" 0 1 2 0 1 2 1 4 5 3 1 4 1 4 0 0 5 9 0 1 1 0 2 2 1 1 2 1 0 0 1 0 2 5 2 0 1 3 0 3 3 1 1 1 1 0 4 0 1 0 2 0 0 4 6 0 0 1 2 0 1 2 4 0 0 4 1 1 0 1 3 2 1 1 0 0 1 0 1 0 3 1 3 5 8 0 3 2 1 1 0 1 0 0 1 2 2 0 11 1 4 1 1 0 3 1 0 2 0 2 1 5 5 5 0 1 2 3 0 2 0 1 0 6 0 1 11 3 2 0 5 3 0 0 1 1 1 2 1 0 7 4 0 7 1 1 1 1 2 2 1 7 3 1 0 7 1 3 2 2 0 0 0 1 1 0
"helpless" 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 1 2 1 0 1 0 0 0 1 0 0 0 1 0 0 1 2 1 0 0 0 0 0 0 0 1 4 0 1 0 0 1 2 0 0 0 1 0 1 0 0 0 0 0 0 3 2 0 1 0 0 0 0 0 1 0 0 0 0 0 3 0 1 0 1 0 1 0 1 0 0 1 0 3 1 1 0 0 0 1 0 0 0 0 0 0 0 0 4 1 0 0 1 0 0 0 0 0 0 0 0 0 4 1 0 0 0 0 0 0 0 0 2 4 1 0 0 2 1 1 0 1 0 0 0 1 1 0
"honest" 0 0 0 0 0 0 0 0 1 2 0 2 0 3 1 0 0 0 0 0 0 1 0 2 2 0 0 0 0 1 0 0 0 2 1 0 0 0 1 3 0 0 1 0 1 1 2 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 2 0 0 0 1 2 0 0 0 1 0 2 0 2 3 1 0 1 2 1 1 0 0 0 0 0 0 2 3 2 0 3 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0
"hopeless" 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"humane" 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 3 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0
"humble" 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 1 0 0 0 0 1 0 0 0 2 1 0 0 1 0 0 0 2 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 1 0 0 0 1 0 0 1 0 1 1 0 1 0 1 0 2 0 2 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 1 2 1 0 0 2 0 0 0 0 2 1 0 0 0 1 0 0 0 1 0 0 0 1 1
"hurried" 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 2 3 2 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 2 3 0 0 0 0 1 0 0 0 0 0 0 1 2 4 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 3 0 0 1 0 0 0 1 3 1 0 0 2 0 0 0 1 0 0 0 0 1 0
"impatient" 0 1 0 0 0 0 0 2 0 1 1 1 0 1 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 1 0 1 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 2 0 0 0 0 0 1 0 0 0 1 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 2 2 0 0 1 0 2 0 0 0 0 0 0 0 1 2 1 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1
"impetuous" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"incredulous" 0 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 3 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0
"independent" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 2 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0
