"active" "affectionate" "assiduous" "awkward" "benevolent" "busy" "calm" "candid" "careful" "careless" "cautious" "certain" "charitable" "cheerful" "civil" "cold" "confident" "consistent" "constant" "cool" "courteous" "cruel" "curious" "decided" "delicate" "dependent" "determined" "direct" "domestic" "eager" "earnest" "easy" "eloquent" "exact" "fearful" "fervent" "formal" "free" "fresh" "friendly" "gallant" "general" "generous" "gentle" "gentlemanlike" "grateful" "grave" "handsome" "hearty" "helpless" "hopeless" "hospitable" "humble" "hysterical" "impatient" "independent" "indifferent" "intimate" "jealous" "kind" "lively" "melancholy" "moderate" "modest" "natural" "negative" "nervous" "obliging" "observant" "open" "particular" "pensive" "pleasant" "polite" "positive" "proud" "prudent" "quick" "quiet" "rapid" "reasonable" "resolute" "responsible" "rough" "sad" "sanguine" "scrupulous" "second" "selfish" "sensible" "serious" "severe" "shy" "silent" "sincere" "solicitous" "steady" "strict" "strong" "sudden" "sufficient" "sure" "suspicious" "sweet" "sympathetic" "thankful" "thoughtful" "true" "uncertain" "unkind" "vain" "violent" "unhappy" "weak" "wise" "zealous" "worldly" "willing"
"hysterical" 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 2 0 2 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"impatient" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 0 1 1 0 0 0 0 1 0 1 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 2 1 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 3 2 0 0 0 1 0 0 0 2 0 2 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0
"independent" 0 0 0 0 1 0 0 0 0 0 1 1 1 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 0 2 2 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
"indifferent" 0 0 0 0 1 0 0 1 0 0 1 2 1 2 0 0 0 0 3 0 0 0 0 0 0 0 1 0 1 1 0 3 0 0 0 0 0 1 1 0 1 3 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 2 0 1 1 1 1 1 0 1 1 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 2 2 1 0 1 0 0 2 0 2 0 0 3 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0
"intimate" 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 2 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 4 1 1 1 1 1 2 0 0 0 1 0 0 1 0 0 0 0 0 2 1 0 0 1 0 0 0 1 2 2 0 1 0 1 1 0 0 0 0 1 0 0 0 1 0 1 2 0 2 0 0 0 3 0 0 1 2 2 0 0 4 0 0 0 0 1 0 1 0 1 0 0 0 1 0 1 0
"jealous" 0 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 2 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 3 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 1
"kind" 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 0 3 0 1 1 0 1 0 0 1 0 0 1 2 2 1 3 1 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 3 1 1 3 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 1 1 1 0 1 0 1 1 2 1 2 1 1 7 0 0 0 1 0 1 0 0 3 1 0 0 0 0 0 2
"lively" 0 0 0 2 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0 2 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 4 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0
"melancholy" 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"moderate" 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0 2 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0
"modest" 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0
"natural" 1 0 1 0 0 1 2 1 0 1 2 6 1 1 0 4 2 0 1 0 0 2 0 0 0 2 2 0 3 2 0 4 2 0 0 0 0 0 0 1 2 9 1 1 1 1 0 3 2 0 1 0 0 0 1 1 2 1 0 2 0 0 1 1 0 1 2 0 1 7 6 1 2 1 0 2 2 2 3 0 0 1 1 2 2 2 0 3 2 5 4 2 0 3 1 1 2 0 5 0 3 9 3 2 1 1 2 1 3 1 1 1 0 0 1 0 2 2
"negative" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
"nervous" 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0
"obliging" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0
"observant" 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 2 0 0 0 0 0 0 1 0 1 1 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 1 1 0 3 1 0 0 1 0 0 0 0 0 1 1 0 0 0 2 0
"open" 1 0 2 1 0 1 1 0 1 3 1 4 0 0 0 3 0 0 0 0 0 2 0 1 1 1 1 0 2 5 1 5 0 0 0 0 0 1 1 1 2 6 1 0 1 0 0 3 1 1 1 0 0 0 2 0 1 2 2 3 0 0 0 1 7 0 2 0 0 0 4 1 5 0 0 1 1 2 1 1 1 0 1 0 2 0 0 1 2 6 4 2 0 3 1 0 1 1 4 1 2 9 0 2 2 0 2 3 2 2 3 1 0 0 1 0 1 3
"particular" 1 0 1 0 0 1 1 1 0 2 1 5 1 2 1 3 0 0 3 0 1 2 1 1 0 0 1 2 2 1 0 3 2 1 0 0 2 0 0 1 0 7 1 0 1 1 0 3 1 0 1 1 1 1 1 0 1 2 1 1 0 0 1 0 6 0 0 1 1 4 0 1 2 3 1 1 1 0 0 0 0 0 1 1 2 1 0 4 1 5 0 4 0 5 0 0 2 2 4 1 1 8 2 0 0 1 1 1 2 1 1 1 1 0 0 0 3 1
"pensive" 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"pleasant" 0 0 1 0 1 1 0 0 1 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 2 1 1 0 0 0 0 0 1 0 2 1 3 0 0 0 0 1 2 0 0 0 2 0 0 1 0 1 1 1 3 1 1 0 0 2 0 0 0 0 5 2 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 1 3 1 0 1 1 0 1 1 3 0 1 5 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0
"polite" 0 0 0 0 0 1 0 1 0 0 1 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 3 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 2 0 1 0 1 1 0 1 0 2 0 0 3 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0
"positive" 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
"proud" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 3 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"prudent" 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 2
"quick" 0 0 0 0 1 0 0 0 0 0 1 1 1 0 1 1 1 1 0 0 0 0 0 1 1 0 2 0 2 0 1 1 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 2 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 4 2 1 0 0 0 1 0 1 3 1 0 2 0 1 0 0 1 2 1 0 1 0 0 1 0 1 1 0
"quiet" 1 1 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 2 0 0 0 0 1 0 0 3 0 0 1 0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 1 1 0 0 2 0 2 4 2 0 1 0 1 0 0 1 2 2 6 0 1 1 0 1 4 1 0 1 0 0 0 1 1 0 0
"rapid" 0 1 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"reasonable" 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 2 0 0 1 1 1 0 0 1 0 0 0 1 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 0 0 1 1 0 0 3 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0
"resolute" 0 0 0 0 1 0 1 0 0 0 2 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0
"responsible" 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"rough" 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 3 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0
"sad" 0 0 1 0 0 0 1 0 0 1 0 2 0 0 0 1 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 2 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 3 1 2 0 1 0 0 2 0 1 0 0 4 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1
"sanguine" 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1
"scrupulous" 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"second" 1 0 0 0 0 0 0 1 1 0 1 2 1 2 0 2 1 0 4 0 1 1 0 2 0 1 3 3 3 1 1 1 0 2 0 1 0 0 2 2 0 7 0 2 0 1 1 3 0 1 0 0 1 0 1 1 1 2 0 2 0 1 1 0 3 1 0 0 1 1 4 0 2 2 0 0 1 1 2 1 1 0 0 0 1 1 1 0 1 6 2 2 0 4 1 0 3 1 4 1 2 8 2 0 0 1 0 4 2 0 1 1 1 0 0 0 2 2
"selfish" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 1 0 0 0 2 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 2 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1
"sensible" 0 1 1 0 2 1 0 1 2 2 3 3 2 1 1 4 0 1 3 1 0 2 1 1 1 1 3 2 5 1 0 4 1 3 1 0 0 0 1 2 0 6 0 1 1 1 0 6 1 0 1 1 0 0 3 2 2 2 0 1 1 1 1 1 5 0 1 1 2 6 5 0 1 2 0 0 1 4 2 0 1 1 0 0 3 1 1 6 0 0 5 4 0 1 3 1 3 1 7 1 0 8 1 1 1 2 1 4 2 1 1 2 0 0 1 1 4 2
"serious" 0 0 1 0 2 0 0 0 1 2 2 3 1 1 2 2 0 1 1 0 0 0 1 1 1 1 4 0 2 2 1 0 1 2 0 0 0 0 0 0 1 3 0 1 0 2 1 1 1 0 1 1 0 1 2 2 2 0 0 1 0 1 0 0 4 0 0 0 0 4 0 1 3 0 0 0 0 2 4 0 0 1 0 1 1 0 0 2 0 5 0 2 1 0 1 1 1 1 4 1 2 7 0 1 1 0 1 3 0 0 2 0 0 1 1 1 0 0
"severe" 1 1 1 0 1 2 0 0 0 0 1 2 1 3 1 2 0 1 2 0 1 0 0 2 1 1 0 0 1 2 1 0 1 2 0 1 1 1 0 0 0 2 0 2 0 0 0 2 2 2 1 0 2 2 0 1 1 0 1 0 1 0 0 0 2 0 0 1 0 2 4 1 1 1 1 0 0 1 2 1 0 1 1 1 2 0 0 2 0 4 2 0 0 5 0 1 1 1 3 1 0 6 1 2 1 0 0 2 0 0 0 0 1 0 1 1 0 0
"shy" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 2 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"silent" 1 1 1 0 0 2 0 0 0 0 0 2 0 3 0 2 0 0 1 0 2 0 0 2 0 0 2 0 0 1 1 2 0 1 0 1 1 0 1 0 1 6 1 1 0 1 0 1 0 2 1 0 2 2 0 0 1 3 1 0 0 1 0 0 3 0 2 0 0 3 5 1 1 1 1 1 0 0 1 2 1 0 0 0 1 0 1 4 0 1 0 5 0 0 0 0 1 2 3 0 0 5 0 0 0 0 1 2 1 0 1 0 1 0 0 0 0 0
"sincere" 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 2 1 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 3 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0
"solicitous" 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 2 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
"steady" 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 1 0 0 4 1 0 0 0 1 0 0 1 0 3 0 0 2 0 1 1 0 0 0 0 1 1 2 0 0 0 0 0 3 0 0 0 0 0 0 0 0 2 1 0 2 0 0 1 0 2 0 0 0 1 1 2 1 1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 3 0 3 1 1 1 1 1 0 0 0 3 0 1 6 1 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0
"strict" 1 0 1 0 1 0 0 0 0 1 1 0 1 1 1 0 0 1 0 0 1 0 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 1 0 0 0 0 0 0 0 1 2 0 1 0 0 1 0 1 0 0 1 1 0 0 0 0 1 1 0 1 1 1 0 2 0 1 0 0 2 1 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0
"strong" 1 0 1 1 2 1 0 1 1 1 2 3 2 2 2 5 1 1 4 2 1 1 1 1 2 0 4 0 7 0 0 4 2 1 1 1 0 1 1 2 0 4 1 3 0 1 1 4 1 1 3 1 1 0 2 1 2 2 1 2 1 1 1 1 5 0 1 0 1 4 4 0 3 2 0 3 1 3 1 1 1 1 2 1 1 0 0 4 1 7 4 3 2 3 1 2 3 2 0 0 2 8 2 2 0 1 0 4 0 1 1 1 2 1 1 1 2 1
"sudden" 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0 0 1 5 0 1 0 0 0 2 1 0 1 0 1 1 0 0 0 0
"sufficient" 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 2 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 0 1 2 0 0 0 1 1 0 0 0 0 3 1 0 0 0 2 1 0 1 0 0 1 1 0 2 0 0 0 0 0 0 1 0 2 2 0 2 0 1 0 0 1 1 0 2 1 0 5 1 0 0 0 0 0 1 1 1 0 0 0 0 0 1 2
"sure" 3 2 1 1 0 3 2 1 2 3 1 6 1 3 2 5 0 1 5 3 2 2 1 2 1 1 8 2 5 6 3 4 1 1 3 2 2 2 3 3 1 14 0 3 2 1 1 8 4 2 2 2 0 2 2 1 3 4 3 7 4 1 2 0 9 1 1 0 3 9 8 1 5 3 3 1 1 2 6 1 3 0 1 3 4 0 1 8 1 8 7 6 1 5 1 1 6 2 8 5 5 0 2 3 1 2 0 3 1 1 2 1 2 2 4 0 5 1
"suspicious" 1 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 3 1 0 0 1 0 2 0 0 1 0 0 1 0 0 0 0 0 1 1 0 1 0 2 1 1 0 1 0 0 0 0 1 0 2 0 1 2 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1
"sweet" 0 0 1 0 0 0 1 0 1 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 3 1 1 0 0 0 0 0 1 1 1 0 2 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 2 0 0 0 0 2 0 0 1 0 0 0 0 1 1 0 0 1 1 1 1 0 0 0 0 1 1 2 0 0 0 0 0 0 2 1 0 3 0 0 1 0 0 3 0 0 0 0 1 1 1 0 0 0
"sympathetic" 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0
"thankful" 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 1 0 1 0 0 2 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0
"thoughtful" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 1 0 0 2 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0
"true" 2 1 0 0 1 1 0 0 3 1 2 2 1 0 2 0 0 1 0 0 1 1 0 0 1 0 2 1 1 2 0 2 0 2 0 1 1 1 1 2 0 3 0 2 0 0 0 2 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 1 0 0 0 0 3 1 0 0 1 1 0 0 2 4 1 1 1 1 1 0 0 1 4 0 4 3 2 0 2 1 1 0 1 4 2 0 3 0 3 1 0 1 0 1 0 1 0 1 2 0 2 0 1
