"acceptable" "affectionate" "argumentative" "bitter" "bold" "boyish" "busy" "calm" "capricious" "careful" "certain" "cheerful" "christian" "classic" "clean" "close" "clumsy" "cold" "communicative" "compassionate" "complimentary" "conciliatory" "confidential" "consistent" "constant" "conventional" "cool" "cordial" "cruel" "cunning" "curious" "delicate" "dependent" "determined" "direct" "dissatisfied" "distrustful" "domestic" "eager" "easy" "emphatic" "exact" "expressive" "faithful" "familiar" "fast" "fearful" "fierce" "fiery" "firm" "formal" "frank" "free" "fresh" "friendly" "gay" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "gypsy" "handsome" "handy" "haughty" "heavy" "helpless" "honest" "hopeful" "hopeless" "humble" "hurried" "immovable" "impatient" "independent" "indifferent" "intellectual" "intimate" "jealous" "keen" "kind" "lavish" "lively" "lonely" "loud" "majestic" "mechanical" "melancholy" "mild" "moderate" "modest" "motherly" "murderous" "musical" "natural" "neat" "nervous" "nigh" "obliging" "open" "particular" "patient" "placid" "playful" "pleasant" "polite" "positive" "practical" "proud" "quick" "quiet" "reasonable" "reckless" "reproachful" "respectful" "responsible" "responsive" "romantic" "rough" "rusty" "sad" "scornful" "second" "sensible" "sensitive" "serious" "severe" "silent" "simple" "slow" "smooth" "sober" "social" "soft" "solemn" "sorrowful" "sour" "steady" "stern" "stiff" "straight" "strict" "strong" "sudden" "sufficient" "suggestive" "sure" "suspicious" "sweet" "swift" "sympathetic" "tempered" "tender" "thankful" "thankless" "thoughtful" "treacherous" "true" "ugly" "uncertain" "unhappy" "vague" "vain" "violent" "virtuous" "weak" "worldly" "willing" "undecided"
"dissatisfied" 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"distrustful" 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"domestic" 0 0 0 0 0 0 1 0 0 0 2 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 3 1 2 1 2 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 0 1 0 0 1 0 2 0 1 2 0 0 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 4 0 0 1 0 0 1 0 0 1 0 0 1 0 0 4 0 0 0 0 0 1 0 1 1 2 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0
"eager" 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 1 0 1 0 2 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 2 0 0 0 0 0 2 0 0 1 1 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 3 2 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0
"easy" 0 1 1 0 0 0 2 0 1 1 5 1 2 0 1 1 2 6 1 1 1 0 1 0 1 0 0 1 1 1 2 0 1 1 1 0 0 0 1 0 0 0 1 0 3 0 1 2 1 1 1 1 3 2 1 1 5 0 0 0 0 1 0 0 2 0 2 0 1 2 0 2 3 2 0 0 0 1 0 1 1 0 0 0 0 1 0 5 0 1 0 0 1 0 1 2 1 0 5 1 1 1 2 4 2 0 0 0 2 2 0 0 2 0 4 1 2 0 0 0 0 0 0 2 1 0 3 2 1 0 0 0 0 1 0 1 2 1 2 1 0 2 0 1 1 1 7 1 0 0 7 0 1 1 1 0 1 1 1 1 0 4 4 1 0 2 0 1 0 1 0 1 0
"emphatic" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"exact" 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 1 1 1 2 1 0 0 0 1 0 1 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0
"expressive" 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 2 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 2 0 1 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 2 3 2 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0
"faithful" 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 3 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 1 0 0 0 1 1 2 0 0
"familiar" 0 0 0 0 0 0 2 0 1 0 5 1 2 0 1 0 2 1 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 2 0 0 0 1 2 3 1 1 0 1 0 0 3 0 0 0 0 1 0 2 1 0 3 1 1 0 1 0 0 1 0 1 2 1 1 1 0 1 1 1 0 0 1 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 0 0 2 0 0 0 1 2 1 0 0 0 1 1 0 0 2 0 1 0 0 0 0 0 1 0 0 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 1 0 1 0 0 0 0 2 1 1 1 0 0 0 1 0 1 0 0
"fast" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"fearful" 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 3 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 2 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 1 1 0 0 0 1 1 1 0 0
"fierce" 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 5 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 2 1 0 0 0 1 0 0 1 0 2 0 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 2 0 0 3 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0
"fiery" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"firm" 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 2 1 0 1 0 4 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 1 1 0 0
"formal" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"frank" 0 0 0 0 0 0 1 0 1 1 2 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 2 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"free" 0 0 0 1 0 0 1 0 0 0 4 1 0 0 3 0 0 4 0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 3 1 1 0 1 0 0 0 2 0 0 1 0 0 1 0 0 4 0 0 0 0 0 0 0 2 1 2 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 3 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 2 3 0 0 0 2 2 0 0 2 0 1 1 1 0 1 1 0 1 0 0 0 1 1 2 0 1 1 1 0 0 0 0 0 1 1 0 1 2 0 0 0 1 3 2 0 0 6 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0
"fresh" 0 1 0 1 0 0 0 1 1 0 2 1 2 0 1 0 0 2 0 1 0 0 0 0 3 1 1 0 0 0 3 0 0 2 1 0 0 1 2 2 0 0 0 1 2 0 1 0 0 0 0 0 1 0 1 0 2 1 0 2 2 0 0 0 2 0 0 0 0 1 0 1 0 1 2 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 1 1 0 4 0 0 1 0 2 1 0 0 0 4 0 1 1 1 1 3 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 2 0 1 0 1 0 0 0 0 4 1 0 0 2 0 0 0 0 0 1 0 2 0 0 2 0 1 1 0 1 0 1 1 1 0 0
"friendly" 0 0 0 1 0 0 1 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 2 0 0 1 2 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 2 1 0 2 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 0 0 1 2 2 0 0 0 2 2 0 1 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 4 0 1 0 0 0 0 0 1 1 0 1 0 1 1 1 0 1 0 1 0 0 2
"gay" 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 1 1 0 1 0 1 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0
"general" 1 0 1 0 1 0 2 0 2 1 9 4 3 0 5 1 0 4 1 2 1 1 0 0 0 0 1 1 0 0 4 1 0 1 0 2 0 1 1 5 1 0 0 0 3 1 0 0 1 0 1 1 4 2 1 0 0 0 0 0 1 0 0 1 0 1 5 1 1 4 2 2 1 1 0 0 0 1 0 2 3 0 0 0 0 2 1 0 1 1 1 1 3 0 1 1 1 1 4 3 2 0 2 8 6 0 0 1 6 2 1 0 3 1 4 0 0 1 2 0 0 0 0 1 1 0 3 1 0 0 1 1 1 1 2 1 1 1 0 1 0 1 0 0 0 1 4 2 0 2 4 0 2 1 1 1 1 1 0 1 0 2 0 0 0 0 0 0 0 1 0 0 2
"generous" 1 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 2 0 0 0 1 1 1 0 0
"genteel" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"gentle" 0 1 0 0 0 0 1 0 0 1 3 2 1 1 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 1 2 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 1 3 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 1 0 1 0 2 1 1 1 1 2 0 0 0 0 0 4 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 1 0 1 0 3 0 1 0 2 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 2 0 0 0
"gloomy" 0 1 0 0 0 0 1 0 0 0 3 2 0 0 0 2 0 2 0 0 0 0 0 0 2 0 0 0 0 0 2 1 0 2 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 2 0 0 0 2 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 4 1 1 0 0 1 0 0 0 0 2 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 1 0 1 2 1 1 2 0 0
"graceful" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"gracious" 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0
"grateful" 0 0 0 0 0 0 1 0 0 1 0 0 0 0 3 0 0 3 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 2 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 2 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 2 0 1 0 0 2 0 0 0 1 0 2 0 0 2 0 1 0 0 1 0 0 0 1 1 1 0 1 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 2 1 1 0 0 1 0 1 0 2 0 3 0 0 0 0 2 0 0 1 0 1 0
"grave" 0 1 0 0 0 0 0 0 0 0 3 0 1 0 0 2 0 0 0 0 1 0 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 1 0 2 0 0 2 1 0 0 0 0 0 0 0 0 2 2 1 0 0 0 1 2 0 0 0 0 0 0 2 0 0 1 1 1 1 1 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 1 0 0 0 2 0 1 2 1 0 0 0 0 0 0 1 0 0 1 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 2 0 0 4 2 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 1 0 2 0 1 0
"gypsy" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"handsome" 1 0 0 0 1 1 2 0 1 0 4 1 1 0 1 1 0 2 1 2 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 1 0 2 1 0 2 0 2 0 1 0 0 0 1 1 2 0 0 0 5 0 1 0 0 0 0 1 2 1 0 1 2 1 2 1 1 0 1 0 0 1 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 2 1 0 0 0 2 1 0 0 3 0 1 0 1 0 1 0 0 0 0 0 0 0 2 1 0 1 1 0 0 0 3 1 0 0 0 1 0 0 1 0 0 0 3 3 0 0 6 1 1 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 1 0
"handy" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"haughty" 0 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"heavy" 0 0 0 0 1 1 0 1 0 0 7 1 1 1 1 2 2 8 0 0 0 0 0 2 2 1 1 0 1 0 2 1 0 2 0 1 0 3 2 2 0 0 1 2 1 1 1 1 2 1 0 1 0 1 0 0 4 0 0 1 2 0 0 0 1 0 1 0 0 0 1 3 0 0 1 0 0 1 0 4 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 2 2 1 4 1 1 1 0 12 2 0 1 0 4 2 1 0 3 2 7 1 0 0 1 0 2 1 0 1 0 2 3 0 1 1 0 0 1 2 3 2 0 0 3 0 0 0 0 1 0 0 11 3 0 1 5 1 1 1 0 1 2 0 0 1 0 5 2 0 0 0 1 2 1 2 0 1 1
"helpless" 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 2 0 1 1 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 1 0 1 0 0 0 0 0 0 0 0 2 0 1 0 1 0 2 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0
"honest" 0 1 0 0 0 0 0 0 0 0 7 1 0 0 0 0 1 2 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 2 1 0 2 0 2 1 0 0 1 1 0 1 0 0 0 0 0 0 1 1 0 2 0 0 3 0 0 1 1 1 0 1 0 0 3 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 3 1 1 0 2 0 1 1 1 0 4 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 0 0 0 1 1 1 0 0 0 0 0 0 0 4 1 1 0 5 2 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0
