"active" "affectionate" "busy" "calm" "candid" "careful" "cautious" "certain" "cheerful" "civil" "close" "cold" "compassionate" "confident" "constant" "cruel" "delicate" "dependent" "determined" "dignified" "direct" "domestic" "eager" "earnest" "easy" "expressive" "fearful" "fervent" "frank" "free" "fresh" "friendly" "gay" "general" "generous" "genteel" "gentle" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "heavy" "honest" "hopeless" "hurried" "impatient" "impertinent" "independent" "indifferent" "intimate" "invariable" "jealous" "kind" "languid" "lively" "maternal" "melancholy" "musical" "natural" "nervous" "noisy" "observant" "open" "partial" "particular" "pleasant" "polite" "positive" "proud" "prudent" "quick" "quiet" "rapid" "rapturous" "reasonable" "resolute" "restless" "romantic" "rude" "sad" "sanguine" "second" "selfish" "sensible" "serious" "severe" "shy" "silent" "simple" "sincere" "slow" "soft" "speedy" "spirited" "steady" "strong" "stubborn" "sudden" "sufficient" "sure" "sweet" "thankful" "thorough" "thoughtful" "true" "uncertain" "undiscerning" "unhappy" "unkind" "unobtrusive" "urgent" "vain" "violent" "willing" "wise"
"jealous" 0 0 1 0 0 1 1 3 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 1 1 1 0 1 1 1 0 3 1 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 3 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"kind" 1 2 1 1 0 2 0 3 2 2 1 2 0 0 2 0 0 1 2 1 2 0 0 1 0 1 0 0 0 0 0 2 0 3 1 0 0 0 1 2 0 1 0 3 2 0 0 1 0 0 1 1 1 0 0 0 0 0 4 0 4 0 0 0 3 0 6 2 0 0 0 1 1 1 1 0 1 1 0 2 2 1 0 2 0 0 4 0 0 9 3 1 1 0 1 0 0 2 1 1 1 5 2 0 1 1 1 2 0 2 1 0 1 2 2 1 0
"languid" 1 1 1 1 0 0 0 0 3 0 0 1 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 1 1 0 2 1 0 1 0 1 2 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 2 0
"lively" 0 3 0 2 0 1 0 2 0 0 0 2 0 0 2 0 1 0 0 0 0 2 2 3 1 1 1 0 1 1 1 0 1 7 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 3 0 0 0 3 0 2 0 0 0 1 2 1 1 1 1 1 0 0 0 0 0 0 1 0 1 2 1 1 3 1 1 0 0 0 0 0 3 1 1 0 2 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"maternal" 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0
"melancholy" 2 4 2 1 1 3 1 4 0 1 0 1 1 0 1 0 0 1 2 1 1 1 0 5 2 1 0 1 0 0 3 2 0 7 1 1 0 0 0 2 1 2 1 2 1 1 0 3 1 1 2 2 2 1 4 1 1 1 0 0 6 0 0 1 3 2 7 2 0 1 1 2 2 1 0 0 2 1 1 1 0 0 0 2 3 1 3 1 0 6 2 1 1 0 1 1 0 1 1 2 1 8 1 0 0 1 1 2 0 2 0 1 0 2 2 1 1
"musical" 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 2 0 0 0 1 0 3 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"natural" 2 5 0 2 0 1 0 6 0 2 1 4 1 0 3 3 2 1 1 2 1 2 2 8 4 1 0 1 1 2 1 3 1 10 0 2 3 1 0 3 1 3 0 2 2 0 0 2 2 3 2 1 1 1 4 0 3 1 6 2 0 0 2 0 6 0 7 2 0 2 1 1 2 3 0 2 2 1 0 2 0 1 1 5 3 3 5 1 1 11 8 3 1 0 1 2 0 8 2 1 2 16 3 0 0 2 3 2 2 5 0 1 1 3 3 1 1
"nervous" 0 1 0 0 0 0 0 0 0 1 1 2 0 0 0 1 1 0 0 0 0 0 2 1 2 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 2 1 1 0 0 1 0 0
"noisy" 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 1 1 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 3 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1
"observant" 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 1 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"open" 2 6 4 3 1 0 0 12 2 2 1 4 2 0 5 2 2 1 6 2 1 3 6 3 2 2 4 0 2 3 5 2 0 10 1 0 2 1 0 3 1 3 1 5 2 0 1 1 1 3 2 1 0 1 3 1 3 1 3 1 6 0 0 1 0 2 11 4 0 1 2 2 2 4 1 2 2 1 1 1 1 1 0 4 4 1 1 0 0 6 5 2 1 2 1 1 1 3 0 1 1 10 3 3 1 0 4 4 1 1 0 1 1 2 4 3 1
"partial" 0 0 2 2 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 2 0 0 1 1 1 1 3 0 1 5 1 1 0 1 0 0 1 2 0 4 0 2 0 0 0 0 0 1 1 0 0 1 0 0 2 0 0 0 1 0 2 0 3 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 2 0 0 3 0 1 1 1 0 0 1 1 0 1 0 2 1 0 0 1 3 3 0 2 0 0 1 1 0 0 0
"particular" 1 6 3 2 1 2 0 8 4 3 3 8 2 0 8 2 2 0 3 1 1 4 4 5 2 2 0 0 1 2 2 3 2 16 4 1 2 2 1 4 3 9 2 4 4 1 0 4 2 2 5 5 0 3 6 0 2 1 7 3 7 1 2 0 11 3 0 6 2 1 3 2 2 4 3 0 6 2 1 0 2 2 1 3 3 3 6 0 2 6 6 3 1 0 0 0 0 4 0 2 1 21 3 1 2 1 8 3 1 5 1 1 1 2 5 2 2
"pleasant" 0 1 3 1 0 0 0 4 0 2 0 2 0 0 1 1 0 0 3 1 0 0 2 1 0 0 0 1 0 1 1 2 2 2 1 0 0 0 0 1 1 2 0 3 1 0 1 0 1 0 0 1 0 1 2 0 0 0 2 0 2 0 0 0 4 1 6 0 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1 0 1 0 0 0 2 1 0 0 0 0 0 0 1 1 0 0 7 1 1 0 0 1 1 0 1 1 0 0 2 2 1 1
"polite" 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 1 0 0 1 0 1 0 0 0 0 1
"positive" 0 0 1 0 0 0 0 1 0 0 1 1 1 0 1 2 0 0 1 0 0 0 2 1 1 0 1 0 0 1 2 0 0 2 0 0 1 0 1 1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 1 0 1 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 4 1 1 1 1 1 1 0 0 0 0 1 2 1 1 0 1 1 3 0 0 0 1 2 0 0 1 0 0 0 0 1 0 0
"proud" 0 0 0 1 0 1 1 1 0 0 1 0 0 0 2 1 0 1 1 0 0 1 1 2 0 0 1 0 0 1 1 0 0 2 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 2 0 2 0 0 1 0 1 1 1 0 0 1 2 0 3 0 1 0 0 1 1 1 1 0 2 0 1 0 0 0 0 1 1 1 0 0 0 3 3 0 0 0 0 0 0 1 0 1 0 4 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
"prudent" 0 3 0 2 0 0 0 2 0 0 0 1 0 0 3 0 0 1 2 0 1 2 1 0 1 1 1 0 0 0 1 1 0 2 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 2 0 2 0 1 0 0 0 2 0 2 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 2 0 0 0 2 1 1 0 0 0 0 0 2 0 2 1 3 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"quick" 2 1 0 1 0 1 1 2 1 1 0 3 0 0 3 0 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 1 0 4 1 0 1 0 0 1 0 1 1 1 0 0 0 0 1 0 1 1 0 1 1 0 1 1 2 1 2 1 0 1 2 0 2 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 1 1 1 0 0 3 1 2 0 0 0 0 0 0 0 1 1 5 2 0 0 0 2 1 0 1 0 0 0 0 3 0 0
"quiet" 0 3 1 2 0 0 0 3 3 2 0 2 0 1 1 2 1 0 0 0 0 1 1 1 0 0 2 1 0 0 1 1 0 7 1 1 2 0 1 0 2 2 1 1 0 1 0 2 0 2 0 1 0 0 1 1 1 1 1 0 3 1 1 0 4 1 4 0 0 2 1 1 0 0 1 1 1 0 2 0 0 2 1 4 0 0 2 1 1 7 1 1 1 0 1 0 1 1 0 1 0 5 2 0 1 0 3 0 0 1 1 2 0 0 3 1 1
"rapid" 0 0 1 2 0 0 0 0 1 0 0 2 0 1 2 0 0 0 1 0 0 1 1 2 1 0 0 1 0 2 2 0 0 3 0 0 0 0 0 1 0 1 0 2 1 1 0 1 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 1 1 3 1 0 1 1 0 0 1 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 1 1 1 1 0 0 0 1 2 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"rapturous" 1 2 0 0 0 0 0 3 0 1 0 1 0 0 1 0 2 0 1 0 0 1 0 0 0 0 0 0 1 1 1 0 1 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 2 0 0 0 2 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 2 1 2 0 0 0 0 0 0 0 0 0 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"reasonable" 2 2 0 4 1 0 0 1 1 0 0 2 0 1 2 1 1 1 1 0 0 1 1 2 5 1 2 0 0 1 1 2 0 3 1 0 0 0 0 1 0 0 1 1 1 0 0 2 0 1 2 3 0 0 1 0 1 0 2 1 2 0 0 1 2 0 6 0 0 0 2 1 1 1 2 0 0 1 1 1 0 0 0 2 1 0 2 0 0 3 3 2 1 0 0 1 1 3 0 2 1 3 0 0 0 1 2 0 0 2 0 0 1 0 1 1 0
"resolute" 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 1 1 1 1 1 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 1 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0
"restless" 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 2 0 0 0 0 0 0 1 3 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 1 1 0 0 1 1 1 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 2 1 0 3 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 2 2 0
"romantic" 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 2 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 2 0 1 1 0 0 2 1 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"rude" 0 1 0 0 0 0 0 0 0 1 1 2 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 3 1 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0
"sad" 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 2 1 0 2 0 2 0 0 1 0 0 0 0 1 1 1
"sanguine" 2 0 0 0 0 0 0 0 3 0 0 1 0 0 2 0 0 0 0 0 0 0 0 3 2 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 2 2 0 1 0 1 0 0 1 0 1 1 0 0 0 2 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0
"second" 2 1 2 1 0 1 0 4 2 1 0 1 1 1 3 0 1 0 2 0 0 1 1 2 2 0 0 1 1 2 4 1 0 4 0 1 1 0 1 2 0 0 0 2 0 1 0 0 0 0 1 2 1 1 2 1 1 0 2 2 5 0 1 0 4 1 3 1 1 4 1 0 1 4 2 2 2 0 0 2 0 2 0 0 0 2 2 0 1 5 4 3 1 0 1 2 1 4 0 1 0 5 2 1 1 0 3 0 0 3 0 0 0 0 2 1 1
"selfish" 0 1 1 0 0 1 1 2 2 0 0 2 1 0 1 1 1 1 2 1 0 1 5 2 3 0 2 0 0 1 2 0 0 4 0 0 1 0 0 0 0 2 1 2 1 1 0 0 0 1 0 1 1 1 0 1 0 0 3 0 3 0 0 2 4 1 3 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 2 1 0 3 1 0 1 1 0 1 2 2 0 2 1 4 0 1 0 0 2 2 1 0 1 0 0 1 1 3 0
"sensible" 1 1 0 0 0 0 0 1 1 1 1 2 1 0 3 1 0 0 2 0 0 1 1 4 1 0 0 0 0 0 1 0 2 4 1 0 2 0 0 0 2 2 1 0 0 0 0 0 2 1 1 0 0 0 0 0 1 1 1 0 3 0 1 0 1 0 3 1 0 1 1 2 1 0 0 1 0 0 0 1 1 0 0 2 0 0 2 0 0 4 1 0 0 0 1 1 0 3 1 2 0 8 1 0 0 0 2 0 1 1 0 0 0 0 1 0 0
"serious" 2 3 2 1 1 1 1 3 5 2 1 3 0 0 4 1 0 1 1 0 0 0 3 6 3 1 0 0 1 0 1 1 2 8 2 1 1 1 0 1 3 0 0 3 0 1 0 2 1 0 2 3 3 0 4 2 2 0 3 0 5 1 0 0 1 2 6 0 0 1 0 0 1 2 0 0 2 1 2 1 0 0 2 2 2 2 0 1 1 8 2 1 2 1 1 1 0 4 1 2 0 7 0 1 1 2 3 2 1 4 1 1 1 1 3 3 0
"severe" 1 0 0 1 0 1 0 0 2 0 0 2 0 0 1 1 0 0 0 0 0 0 1 3 1 0 0 1 0 0 1 0 0 3 0 0 1 0 0 0 2 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 2 0 1 0 1 0 0 2 0 1 0 0 1 0 1 3 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 1 0
"shy" 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 2 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
"silent" 2 5 2 4 0 3 2 6 6 3 1 4 0 1 5 3 3 2 5 1 2 2 5 6 4 1 3 2 2 2 4 2 4 12 0 1 3 1 0 4 4 6 3 5 3 1 1 3 1 3 3 1 2 1 9 1 3 0 6 1 11 1 3 2 6 3 6 2 1 1 3 2 3 7 1 2 3 1 3 2 1 2 1 5 3 4 8 2 1 0 4 4 2 1 1 1 1 6 2 4 3 15 4 0 4 2 2 1 1 9 1 1 0 3 3 3 1
"simple" 2 1 0 2 0 1 0 8 1 1 0 2 0 0 4 1 0 1 1 0 1 2 2 3 1 1 0 0 0 2 1 4 1 3 1 2 1 0 0 3 2 0 0 3 0 0 0 3 1 1 1 3 0 1 3 0 1 0 2 1 8 0 1 0 5 0 6 1 1 0 3 1 1 1 1 1 3 1 1 1 1 1 0 4 1 1 2 0 0 4 0 1 1 0 1 0 0 4 0 1 1 6 1 1 1 1 3 2 0 0 0 0 1 1 4 0 1
"sincere" 2 2 0 2 0 0 0 2 2 0 1 1 0 1 3 1 2 0 2 0 0 2 0 3 2 1 0 2 1 2 2 0 0 2 1 0 0 0 0 3 0 1 0 1 1 2 0 0 0 0 0 2 0 0 1 1 1 0 1 1 3 1 0 0 2 1 3 0 0 0 0 1 2 1 1 2 2 0 0 0 0 0 1 3 0 0 1 1 0 4 1 0 1 0 0 0 1 3 0 1 1 3 1 1 0 0 1 0 0 4 0 0 0 0 1 0 0
"slow" 1 0 1 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 2 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 1 1 0 2 0 0 2 1 1 0 1 0 0 1 1 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0
"soft" 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0
"speedy" 1 0 0 1 0 0 0 2 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 1 1 1 0 1 1 0 0 0 0 1 0 2 0 0 0 2 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0
"spirited" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 2 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 1 1 0 0 1 0 0 0 0 1 0 0 2 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
"steady" 0 1 0 2 1 0 0 1 2 0 0 1 1 2 1 0 0 0 0 0 0 0 1 1 2 0 1 1 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 1 1 2 0 0 1 0 1 0 1 1 0 0 0 0 3 0 3 1 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0
"strong" 0 5 0 6 1 2 1 4 2 2 1 5 0 2 5 0 3 0 5 0 2 2 5 6 4 1 1 2 1 1 2 1 1 8 1 0 2 1 1 3 2 3 0 3 0 2 0 0 2 1 2 3 2 0 2 1 3 0 1 0 8 1 0 1 3 1 4 1 1 1 1 2 0 1 2 0 3 1 0 3 1 0 1 4 2 3 4 3 0 6 4 3 1 0 2 2 3 0 1 2 0 10 0 1 1 0 0 1 1 5 1 1 2 1 1 1 0
"stubborn" 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0
"sudden" 0 3 0 3 1 1 1 3 2 0 1 1 0 2 1 1 0 3 1 0 0 0 1 2 2 1 1 1 0 0 3 1 0 4 0 0 0 0 0 0 1 1 1 3 0 1 1 0 0 1 2 0 0 1 1 1 1 0 2 0 1 0 0 1 1 1 2 0 0 1 1 2 1 1 1 0 2 0 0 0 1 0 0 1 2 2 2 0 0 4 1 1 1 0 0 0 3 2 0 0 2 6 1 0 0 0 1 0 0 1 0 0 1 0 2 0 0
"sufficient" 0 1 0 1 1 0 0 3 1 0 1 2 0 0 0 0 0 2 0 0 1 0 3 1 1 0 1 0 1 0 1 1 0 1 0 0 0 0 0 3 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 2 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 3 1 1 0 0 0 0 1 0 0 2 0 4 1 0 0 0 1 1 0 3 0 0 0 0 1 0 0
"sure" 4 9 3 4 2 2 2 15 4 8 3 5 4 2 12 2 5 2 9 2 2 2 6 10 10 1 2 0 2 3 6 3 5 18 2 2 5 2 3 7 6 11 3 3 3 2 1 3 3 3 8 6 1 3 5 0 2 1 8 1 16 2 3 2 10 2 21 7 1 3 4 3 5 5 1 3 3 1 0 0 1 2 2 5 4 8 7 0 2 15 6 3 0 0 2 3 1 10 2 6 4 0 6 4 3 2 8 1 1 7 2 1 2 2 6 3 2
"sweet" 0 2 0 1 0 0 0 3 0 2 0 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 1 0 1 0 0 1 1 5 0 1 2 0 1 1 2 2 0 0 1 0 0 0 0 0 1 0 0 1 2 0 2 0 1 1 3 0 1 0 3 1 3 1 0 0 0 1 2 2 0 1 0 0 0 0 1 1 0 2 0 1 0 0 0 4 1 1 0 0 0 0 0 0 0 1 1 6 0 0 0 0 1 1 0 1 1 0 1 0 1 0 1
"thankful" 1 0 1 1 0 0 0 1 1 1 0 0 0 0 1 0 1 0 4 0 0 0 1 0 2 0 0 0 0 1 1 1 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 3 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 1 1 1 1 0 0 0 1 0 0 0 4 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0
"thorough" 0 0 1 1 0 0 1 1 2 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 2 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 1 1 0 4 1 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 2 0 0 2 0 0 0 0 0 1 0
"thoughtful" 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 2 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 2 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"true" 1 0 1 2 0 0 0 5 3 1 1 2 0 0 3 1 0 1 0 0 0 2 3 2 1 1 0 0 0 1 2 1 1 6 1 0 1 0 1 0 1 0 1 1 0 2 0 0 2 0 0 4 1 1 1 0 0 1 1 1 3 0 0 0 4 3 8 1 1 2 1 2 2 3 0 0 2 0 0 0 0 2 1 3 2 2 3 0 1 2 3 1 0 1 0 0 0 0 0 1 1 8 1 0 2 1 0 2 0 2 0 0 0 0 1 1 0
"uncertain" 1 0 1 2 1 0 0 1 0 1 0 3 0 0 1 1 0 0 0 1 0 0 3 1 0 0 1 0 0 2 3 1 0 5 2 2 0 0 0 0 0 0 0 3 0 1 1 0 0 0 0 1 1 0 2 0 0 0 2 0 2 0 0 0 4 3 3 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0 2 0 0 1 2 0 0 1 1 0 0 1 0 0 1 1 1 0 0 0 2 0 0 1 0 0 1 1 2 0 0
"undiscerning" 0 1 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
