"active" "affectionate" "awkward" "bashful" "bitter" "boisterous" "bold" "brave" "brisk" "busy" "calm" "careful" "careless" "certain" "cheerful" "christian" "clean" "close" "cold" "complimentary" "considerate" "constant" "cool" "cordial" "cruel" "curious" "delicate" "determined" "direct" "domestic" "dutiful" "eager" "earnest" "easy" "exact" "expressive" "facetious" "faithful" "familiar" "fast" "fearful" "fierce" "fiery" "firm" "frank" "free" "fresh" "friendly" "gallant" "general" "generous" "genteel" "gentle" "gentlemanly" "giddy" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "hearty" "heavy" "honest" "hopeful" "hopeless" "humble" "hurried" "impatient" "independent" "indifferent" "intense" "jealous" "keen" "kind" "literary" "lively" "lofty" "lonely" "loud" "malicious" "melancholy" "merry" "mild" "military" "moderate" "modest" "natural" "neat" "nervous" "noisy" "open" "original" "particular" "peaceful" "pecksniffian" "pious" "placid" "playful" "pleasant" "polite" "practical" "proud" "prudent" "punctual" "quick" "quiet" "rapid" "reasonable" "restless" "rough" "rusty" "sad" "sanguine" "second" "selfish" "sensible" "serious" "severe" "shrewd" "shy" "silent" "simple" "slow" "smooth" "sober" "social" "soft" "solemn" "sorrowful" "spiritual" "stable" "stealthy" "stern" "stiff" "straight" "strong" "sudden" "sufficient" "sure" "surly" "sweet" "talkative" "tearful" "tender" "thankful" "thoughtful" "tight" "timid" "true" "ugly" "unhappy" "unmindful" "vague" "vain" "violent" "virtuous" "watchful" "weak" "worldly" "wise" "willing" "zealous"
"faithful" 0 1 1 0 2 0 0 0 0 0 1 0 3 3 0 0 1 0 1 1 1 0 0 1 1 2 1 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 1 2 0 1 0 1 0 2 0 0 1 0 1 1 0 2 1 2 1 1 0 1 1 0 0 1 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1 2 0 3 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 0 1 0 1 1 0 4 1 0 0 0 0 2 2 1 0 0 0 0 0 2 0 0 0 0 0 0 5 0 1 7 0 1 0 0 0 0 1 0 0 6 0 1 0 0 0 0 1 0 0 0 0 1 1
"familiar" 0 0 0 0 1 1 1 0 0 2 0 2 2 8 0 0 1 4 4 1 0 1 2 0 1 1 3 0 0 1 1 1 0 3 1 1 0 1 0 2 0 0 1 0 0 1 1 0 0 1 0 0 2 1 0 0 2 0 1 1 1 4 0 3 0 1 0 3 1 2 2 1 0 1 0 2 0 2 0 0 3 0 3 0 0 0 0 1 4 1 1 1 4 1 6 1 1 1 0 0 2 0 0 5 1 1 2 3 0 1 0 1 1 1 0 2 1 0 0 0 0 0 3 2 1 0 0 1 1 1 1 1 0 1 0 1 0 9 2 2 7 0 3 0 0 0 1 0 0 1 4 1 1 1 0 0 0 1 0 1 0 3 0 0
"fast" 0 0 0 0 0 0 2 0 0 0 0 1 1 3 1 0 0 0 1 0 2 1 2 0 0 0 2 0 0 2 1 0 0 2 0 0 0 0 2 0 1 0 0 0 0 2 2 0 0 2 0 0 0 0 0 0 0 1 1 0 1 0 0 3 0 0 1 0 0 1 2 1 0 0 1 1 0 2 0 1 1 0 3 1 0 0 0 0 3 0 2 0 4 0 1 0 0 0 0 0 2 0 0 2 0 1 1 1 1 0 0 2 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 2 1 1 0 0 0 0 0 0 0 2 1 0 3 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0
"fearful" 0 1 0 0 0 0 1 0 0 2 1 0 0 2 0 0 0 0 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 4 1 0 0 2 2 0 1 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 2 0 3 0 0 0 2 0 0 0 6 0 2 0 0 2 0 0 1 0 0 1 0 1 0 2 2 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 2 1 0 1 0 0 0 1 0 0 2 0 2 0 1 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0
"fierce" 0 1 0 0 3 0 3 0 0 0 0 0 0 2 0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 1 1 3 0 0 0 0 0 0 0 0 0 0 1 2 1 1 1 1 1 1 1 0 0 1 0 2 0 0 0 0 0 4 0 0 0 1 1 1 1 0 0 0 0 2 0 1 1 0 1 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 2 1 1 0 0 0 0 2 1 0 0 0 0 0 0 2 1 0 0 1 0 0 1 1 1 0 1 0 0 2 0 0 1 0 1 0 1 2 1 1 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 1 0
"fiery" 0 1 1 2 1 0 1 0 0 0 0 0 0 3 1 0 1 1 2 0 0 0 0 0 0 2 2 0 1 1 1 0 2 1 0 0 0 1 1 0 0 0 0 0 0 2 3 1 1 3 0 0 3 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 5 0 3 1 0 0 0 0 2 0 0 1 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 2 0 1 0 0 1 0 0 0 0 0 0 0 0 4 2 0 5 0 3 0 0 0 0 0 0 1 2 0 0 0 0 1 1 0 0 1 0 0 0 0
"firm" 1 2 0 0 0 0 1 0 1 1 2 0 1 2 0 1 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 2 4 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 1 0 2 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 4 1 0 0 2 0 0 0 0 0 0 0 2 0 0 1 1 1 1 2 0 0 0 0 0 0 0 1 1 0 1 1 0 0 2 2 0 0 0 0 0 1 0 0 1 0 1 0 1 2 1 1 3 0 1 0 0 1 0 0 1 0 2 0 0 2 0 0 0 0 0 0 1 0 0 0
"frank" 0 0 1 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 1 0 1 1 1 0 0 0 1 0 0 1 2 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 1 0 2 0 0 2 0 0 2 1 0 0 0 2 2 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 0 0 2 0 0 0 1 0 1 0 0 0 0 0 2 1 0 2 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 3 0 1 4 0 1 0 0 0 0 1 0 0 2 1 0 0 0 1 0 0 0 2 0 1 0 0
"free" 0 2 1 1 2 1 4 0 5 2 2 1 2 14 5 0 1 3 7 0 1 2 1 2 4 1 1 0 1 4 1 2 2 7 1 0 0 1 1 2 4 2 2 0 2 0 8 5 3 9 3 1 4 0 1 4 0 1 5 3 2 3 0 10 4 1 1 1 0 1 4 2 1 1 0 7 0 3 0 1 1 0 5 2 3 2 1 0 5 2 1 2 6 0 8 0 3 1 1 0 5 1 1 4 0 1 6 8 2 3 1 3 0 1 1 4 2 1 3 4 1 2 3 3 2 0 0 3 4 2 2 1 0 1 0 0 2 14 4 1 16 0 3 1 2 1 0 3 1 0 8 2 1 0 0 0 1 3 1 1 1 1 0 0
"fresh" 0 2 1 0 1 2 4 0 3 4 3 3 0 6 5 0 1 3 6 0 0 1 3 1 2 4 5 2 1 1 1 1 2 4 0 1 1 0 1 2 1 1 3 0 0 8 0 2 1 6 4 0 6 0 1 1 2 4 3 2 0 1 1 3 1 1 0 2 0 0 3 1 1 1 1 2 0 6 0 2 1 0 2 2 1 0 0 2 6 2 3 2 6 0 2 0 1 0 0 2 8 0 0 5 0 1 2 5 5 1 2 3 1 3 0 3 2 1 0 1 0 1 7 3 3 1 0 0 5 1 1 1 1 2 0 0 0 9 3 2 8 1 4 0 0 1 2 2 0 2 6 2 0 1 1 3 1 2 1 2 1 2 0 2
"friendly" 0 2 0 0 1 0 1 1 0 2 0 3 3 8 4 0 0 3 4 1 0 1 1 2 0 2 2 0 1 0 1 1 0 6 0 0 0 1 0 0 0 1 1 1 0 5 2 0 2 8 2 0 3 0 3 0 1 3 1 0 2 0 1 1 6 1 0 3 0 0 1 2 1 0 0 3 0 2 1 0 2 0 1 1 0 2 0 1 3 1 2 1 8 0 6 0 0 2 0 0 3 2 0 2 1 0 3 6 1 1 1 0 0 2 0 5 2 1 2 1 0 0 3 1 0 1 0 0 2 2 0 0 1 0 0 0 0 4 1 2 12 1 1 1 0 1 2 1 0 1 3 0 1 0 0 1 0 0 1 1 0 0 1 1
"gallant" 0 0 0 0 1 0 0 0 1 0 1 0 0 3 3 0 0 1 1 1 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 3 1 2 0 3 1 0 1 0 0 0 0 0 1 1 0 1 0 2 2 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 1 1 1 0 1 0 0 1 0 0 2 0 0 0 0 0 2 0 0 0 0 0 1 3 1 0 0 2 0 2 0 1 1 0 0 0 0 1 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 0 0 0 1
"general" 4 3 2 3 4 1 6 3 3 5 4 4 2 21 7 0 2 10 9 1 0 4 2 1 4 7 6 2 7 6 3 0 1 12 2 2 3 2 1 2 2 1 3 2 1 9 6 8 3 0 1 3 5 4 2 5 2 8 7 2 6 1 1 6 2 2 1 3 3 2 4 3 1 1 0 6 3 7 4 3 5 3 9 3 5 2 1 2 11 2 0 5 17 1 22 2 1 3 0 3 17 2 2 5 2 1 4 10 1 3 1 4 2 4 0 9 4 1 8 4 2 1 7 3 5 2 0 5 4 8 1 3 0 1 2 4 1 22 9 7 24 3 9 2 2 4 1 5 7 1 12 2 2 1 4 3 2 1 0 4 3 2 1 0
"generous" 0 2 1 0 1 0 1 1 1 2 1 1 1 4 1 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 3 4 2 1 1 0 0 2 0 0 1 0 0 2 1 2 0 0 2 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 2 1 2 0 1 0 4 0 0 0 4 0 4 0 1 1 0 0 3 0 0 2 0 1 1 4 1 0 1 0 0 2 0 1 3 0 1 0 0 0 2 2 1 0 0 0 0 0 1 1 1 2 0 0 0 4 0 0 6 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0
"genteel" 0 2 0 0 1 0 1 1 0 1 0 0 0 3 3 1 2 2 1 0 0 1 0 0 0 2 2 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 3 0 0 0 0 0 1 0 0 2 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 1 0 2 0 3 1 2 2 0 0 2 1 0 0 3 0 4 0 1 1 0 0 4 0 0 1 0 0 0 0 0 0 1 0 0 0 1 2 0 0 2 0 1 0 0 1 0 2 0 0 1 2 0 0 0 0 1 2 0 4 1 1 3 0 1 1 0 2 0 0 2 1 1 1 0 1 0 0 1 0 0 0 0 0 0 0
"gentle" 1 3 2 2 2 0 2 2 1 4 2 3 1 11 8 0 2 5 6 1 2 3 2 2 2 3 4 1 1 3 0 1 6 5 0 2 0 1 2 0 1 1 3 0 2 4 6 3 1 5 2 0 0 0 0 6 3 3 3 6 3 3 1 5 4 2 2 5 1 0 2 0 0 0 1 5 0 6 2 1 5 1 3 2 2 0 1 1 5 1 3 1 11 0 6 0 1 3 3 3 10 2 1 6 0 0 2 13 1 2 0 3 0 2 1 3 2 3 2 1 1 1 11 3 5 0 3 0 2 4 2 1 1 1 2 0 1 12 3 1 18 1 6 2 1 2 1 3 0 3 12 2 1 0 0 1 0 1 1 0 0 2 1 3
"gentlemanly" 1 1 0 0 0 0 0 0 0 0 0 0 0 3 1 1 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 2 0 2 0 0 0 0 1 0 0 3 0 0 0 0 1 3 0 0 2 0 0 0 1 0 0 0 0 1 1 0 2 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 3 2 1 1 0 2 0 0 1 0 0 2 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0
"giddy" 0 0 1 1 0 2 1 0 0 1 0 0 1 2 0 1 1 0 2 0 0 0 0 0 1 2 0 0 0 0 1 1 1 2 1 0 0 1 0 0 0 0 0 0 0 1 1 3 0 2 0 0 0 0 0 0 0 3 1 1 1 0 2 2 1 0 0 2 0 0 0 0 1 0 0 3 0 0 0 0 2 1 3 0 0 0 0 1 1 0 2 0 2 0 2 0 0 0 0 0 1 1 0 0 1 0 1 3 0 1 0 0 0 0 0 1 0 1 1 2 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 1 2 2 0 7 1 3 0 0 0 1 2 1 0 1 0 0 0 0 2 1 0 1 1 0 0 0 1
"gloomy" 1 0 0 1 0 0 0 1 0 0 1 1 1 7 3 1 2 4 4 0 0 0 0 1 0 1 1 1 1 3 0 0 2 4 0 0 0 1 0 0 1 1 1 1 2 4 1 0 0 5 1 1 6 1 0 0 1 1 0 2 1 2 0 6 1 1 1 0 1 0 0 1 1 1 0 2 0 1 2 3 2 0 1 1 1 0 1 0 2 0 1 2 5 0 3 1 0 1 1 0 5 0 1 1 0 0 2 8 1 1 0 1 1 0 1 2 2 1 0 1 1 1 5 1 2 0 0 1 2 2 1 0 1 0 1 0 0 7 2 1 8 1 2 1 0 0 0 2 1 0 2 2 0 2 1 1 0 0 1 2 0 2 0 1
"graceful" 0 0 0 0 0 0 0 0 0 0 0 1 0 2 2 0 2 1 1 0 0 0 0 0 1 0 2 0 0 0 0 0 0 3 0 0 0 0 2 0 0 0 1 0 0 0 2 1 0 2 0 0 3 2 0 1 0 0 0 1 1 1 0 0 1 2 0 1 1 0 1 2 0 0 0 0 0 1 1 0 1 0 1 0 2 0 0 0 4 1 0 1 2 0 3 0 0 0 0 0 2 0 0 4 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 1 0 1 0 0 4 1 0 3 1 2 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"gracious" 1 2 2 0 2 0 3 0 0 2 0 2 3 8 0 1 0 5 3 0 0 3 1 1 3 2 2 0 2 2 1 1 3 4 1 1 1 2 0 1 0 2 1 0 0 1 4 3 0 8 0 0 3 2 3 1 0 0 0 0 1 0 0 2 2 1 0 3 0 0 0 2 0 2 0 6 1 7 2 1 1 0 2 0 1 0 1 1 2 0 2 1 6 0 5 0 2 2 1 5 8 2 2 1 1 0 0 5 1 1 0 2 1 1 0 2 0 1 2 2 1 1 1 1 0 1 2 0 0 2 1 0 1 1 0 0 1 5 1 3 14 1 6 1 1 1 1 2 2 0 6 1 1 1 1 0 2 1 0 2 2 0 2 0
"grateful" 3 0 0 1 1 1 1 3 1 6 3 1 2 11 8 0 1 1 6 0 1 2 3 3 3 2 1 0 0 2 2 0 2 8 0 1 0 1 1 1 1 0 1 1 2 5 3 1 1 7 2 2 3 0 1 0 0 0 0 2 2 1 2 5 4 0 1 2 1 1 2 0 1 0 1 5 1 1 1 0 0 0 4 0 3 0 0 2 3 0 3 1 7 1 6 1 1 0 2 1 7 0 0 4 1 0 3 6 1 1 1 1 0 3 1 4 0 0 2 1 0 2 4 7 4 0 0 1 1 2 0 0 0 0 2 0 0 14 2 1 12 1 3 0 2 1 1 6 1 2 6 3 3 0 0 2 1 0 0 1 0 2 1 1
"grave" 0 0 1 1 2 0 0 1 1 3 0 1 0 8 3 0 2 0 4 0 0 0 2 1 0 1 0 2 1 1 0 0 2 2 0 2 3 2 1 0 1 0 0 0 1 3 2 0 1 2 1 1 6 0 1 2 1 0 2 0 1 2 0 2 1 0 0 1 0 0 1 0 0 0 2 3 0 1 0 0 1 1 0 1 2 0 2 0 3 1 1 1 3 0 7 0 0 1 0 1 4 0 1 3 0 0 1 4 0 1 0 0 0 0 2 2 1 3 4 0 1 1 2 0 1 1 0 1 1 0 1 0 0 0 0 0 1 9 0 2 8 0 1 1 0 0 1 3 1 0 4 2 0 1 0 0 1 1 0 0 0 0 0 0
"handsome" 1 1 0 0 1 0 1 0 0 0 2 0 2 6 0 0 0 2 4 1 0 1 4 0 0 0 3 1 1 3 0 0 1 5 0 0 0 1 1 1 1 0 0 2 0 2 0 2 0 6 2 0 3 0 1 1 1 1 2 1 0 0 0 1 1 0 0 2 0 0 1 1 0 1 1 2 0 2 0 1 1 0 3 0 3 0 0 0 3 0 1 1 9 0 7 1 0 1 0 1 1 2 1 2 2 1 0 1 0 0 0 2 1 1 0 3 1 1 0 0 0 1 1 1 1 0 0 0 1 2 2 1 1 1 0 0 1 6 1 1 8 1 1 0 1 1 0 4 1 0 3 0 1 1 1 0 0 0 2 1 1 0 0 0
"hasty" 0 0 0 1 0 0 1 1 0 1 1 2 0 7 2 0 0 2 2 0 1 0 3 3 0 0 1 1 0 0 1 0 2 2 1 0 0 1 4 0 1 0 0 0 0 3 1 0 1 1 0 0 3 0 0 2 1 0 1 2 0 0 0 0 3 0 0 0 1 1 1 1 0 0 0 3 0 2 0 1 0 0 1 0 0 0 0 0 2 0 0 1 2 0 3 1 1 0 0 0 1 0 0 2 0 0 0 2 1 0 0 1 1 2 0 0 1 1 1 0 0 0 2 1 1 0 0 0 1 1 1 0 0 0 0 0 0 3 0 2 5 0 3 0 0 0 0 0 0 1 6 1 0 0 0 0 0 1 1 1 0 1 1 0
"hearty" 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 2 2 0 1 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 2 0 0 0 2 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 1 0 1 1 2 2 0 2 0 1 0 0 0 0 0 2 0 0 1 1 0 1 1 0 0 2 1 1 0 1 1 0 0 1 0 0 0 2 1 1 1 0 0 1 1 0 1 0 0 0 0 1 4 1 1 4 1 1 0 0 0 1 0 2 0 2 0 0 0 0 0 0 0 2 0 1 0 0 1
"heavy" 3 2 2 0 1 0 0 1 4 2 0 0 0 9 3 0 1 2 9 1 1 1 3 0 2 5 1 0 0 2 1 3 1 10 1 0 1 1 3 3 1 4 0 0 2 10 3 1 2 6 2 0 5 0 2 6 0 2 5 2 1 0 1 0 3 0 2 1 2 2 2 1 5 2 2 7 1 3 1 1 1 0 6 3 4 1 1 0 7 1 1 1 9 1 10 0 0 2 2 1 9 1 1 2 2 2 7 12 1 1 0 2 1 2 0 8 1 1 5 2 1 2 12 3 5 0 2 2 2 3 2 1 1 0 1 0 1 13 1 1 17 0 4 1 2 2 0 2 3 2 7 5 3 1 0 1 1 2 3 6 1 3 1 0
"honest" 0 0 4 2 0 0 0 2 1 5 1 1 1 10 4 1 1 3 3 2 2 0 2 3 2 5 2 0 0 2 4 2 1 7 0 0 0 1 0 0 0 0 1 1 2 4 1 6 2 2 1 0 4 0 1 1 1 2 4 1 1 3 0 3 0 2 3 3 0 0 0 1 0 2 0 8 0 1 2 0 2 0 2 0 2 0 1 1 4 1 1 2 6 0 3 3 1 1 0 1 4 0 1 2 0 1 3 7 2 1 0 3 0 3 2 4 3 1 1 3 1 1 8 4 3 1 0 3 1 4 0 1 0 0 2 0 1 10 1 2 11 1 3 0 1 3 1 0 0 2 10 2 2 0 0 1 0 0 1 2 2 1 1 2
"hopeful" 0 0 1 0 0 0 0 1 1 0 0 0 0 3 1 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 2 3 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 2 1 0 2 0 0 1 2 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 2 0 0 0 0 1 1 1 0 0 2 0 1 0 1 0 0 0 1 1 0 0 0 0 0 2 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 2 1 0 1 0 0 0 1 0 1 1 0 0 3 1 0 3 1 2 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0
"hopeless" 1 0 1 0 0 0 1 0 0 1 0 0 0 3 1 0 0 3 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 1 2 0 0 1 0 0 1 0 0 0 1 2 3 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 3 0 2 0 0 1 1 1 0 0 2 1 3 0 0 0 0 0 3 0 1 1 0 0 2 2 0 0 2 0 0 0 1 1 0 1 1 0 0 0 1 0 0 1 0 0 1 2 0 0 0 0 0 0 1 2 0 0 2 0 0 0 0 0 0 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0
"humble" 0 0 2 0 2 0 0 0 0 1 0 1 1 2 1 0 1 1 5 0 0 4 1 1 4 1 3 0 1 2 1 0 0 1 0 2 0 1 3 0 0 1 0 1 0 1 2 3 0 3 0 0 5 1 2 0 1 3 2 1 2 0 1 1 3 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 5 1 1 0 0 1 0 2 3 0 1 1 4 0 1 0 1 0 0 2 3 1 3 1 1 1 3 4 0 1 0 0 1 1 0 0 0 0 0 2 1 0 3 2 1 0 0 0 0 4 0 0 1 0 0 0 0 6 1 1 6 2 2 0 0 2 2 2 0 0 2 0 0 2 0 1 0 0 0 0 2 1 0 2
"hurried" 1 0 1 0 0 1 0 0 0 0 0 0 0 2 1 0 1 0 3 0 0 0 0 0 2 2 0 0 0 0 0 0 1 3 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 3 0 0 1 0 0 1 1 0 1 0 0 1 0 2 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 2 0 0 0 1 0 0 0 0 0 2 0 0 0 1 1 3 0 0 1 1 0 0 2 0 0 0 0 0 2 0 1 0 0 2 0 0 0 1 0 1 0 2 0 0 1 0 0 0 1 1 0 0 2 2 1 4 2 2 0 0 0 0 0 1 0 2 0 1 0 0 1 0 1 0 1 0 0 1 0
"impatient" 1 0 0 0 0 0 1 0 0 0 1 0 0 3 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 2 1 0 1 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 1 0 0 0 1 0 0 0 2 1 0 1 1 1 0 0 1 0 0 1 0 0 1 0 0 2 0 2 1 0 0 0 0 5 0 0 1 0 1 2 3 0 0 0 1 1 0 0 3 1 1 0 0 0 0 2 2 0 0 0 0 0 1 0 0 0 0 1 0 0 2 0 1 5 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"independent" 0 0 1 0 2 0 1 0 0 0 3 1 1 4 2 0 0 1 3 1 0 0 1 0 0 2 1 0 1 0 0 0 0 3 1 0 0 0 2 2 0 1 0 0 0 4 3 1 0 4 0 0 2 0 0 0 1 0 2 1 1 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 2 1 0 0 1 1 3 0 0 0 0 0 1 0 0 3 0 1 2 1 0 1 0 2 0 0 0 2 0 0 1 2 0 0 0 1 1 1 0 1 1 1 0 1 0 0 0 1 1 7 1 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 2 1 0 0
"indifferent" 0 0 1 0 0 1 2 0 0 0 1 2 3 7 1 0 1 3 1 0 1 0 2 0 0 1 2 0 2 1 0 0 1 5 1 0 0 0 1 1 0 0 1 0 0 2 1 2 0 3 0 0 0 1 0 1 2 2 0 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 1 0 1 0 1 1 0 1 4 2 0 0 3 0 3 0 0 1 0 1 3 1 1 5 0 0 1 2 0 0 1 2 1 0 0 2 1 0 3 0 1 0 0 2 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 6 0 1 0 1 1 0 1 1 1 3 1 0 0 1 0 1 1 1 1 0 0 0 0
"intense" 0 0 0 0 0 0 0 0 1 1 0 0 0 1 2 0 0 2 3 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0 0 1 1 0 0 1 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 4 1 1 0 0 0 1 0 0 0 3 0 1 0 0 0 0 0 2 0 0 0 0 0 2 2 1 0 0 1 0 1 0 0 0 0 1 0 0 1 2 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 2 0 1 0 0 1 0 0 1 0 1 2 0 1 0 1 1 0 1 0 0 0 0 0
"jealous" 0 2 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 0 2 1 1 0 0 0 0 0 1 2 0 0 0 1 1 0 0 0 1 1 0 1 1 0 0 1 0 0 0 1 0 1 0 2 0 0 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 2 0 1 0 2 0 1 1 2 0 1 0 0 0 0 0 0 0 0 1 0 0 1 4 0 0 0 1 0 0 0 0 0 0 0 1 0 0 3 1 0 0 0 0 1 1 2 0 0 0 1 0 0 2 2 0 4 0 1 0 0 0 0 0 1 0 2 1 1 0 1 0 1 0 0 2 0 0 0 0
"keen" 0 0 0 0 1 0 1 0 2 3 0 0 0 3 1 0 0 0 2 0 0 1 1 0 0 1 0 0 0 1 1 0 0 4 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 2 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 3 1 1 1 2 1 2 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 2 0 0 1 0 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 0 2 1 0 6 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"kind" 1 3 1 1 1 0 1 0 4 4 1 0 2 11 1 2 0 3 9 0 1 0 2 4 1 3 4 0 0 4 0 2 6 7 2 2 0 2 2 1 0 2 0 1 1 7 2 3 1 6 2 1 5 0 3 2 0 6 5 3 2 3 0 7 8 2 0 1 1 2 0 1 1 1 0 0 1 1 4 1 0 0 6 2 3 0 0 2 5 1 1 0 7 0 8 2 1 0 0 0 6 1 1 1 0 0 1 7 1 1 1 2 0 2 1 4 5 1 1 1 1 0 3 1 3 2 2 3 3 2 2 1 1 0 1 0 1 11 1 2 15 0 6 1 2 2 2 3 0 0 10 1 1 0 0 1 3 0 0 2 1 2 1 1
