"acceptable" "accessible" "accurate" "active" "affable" "affectionate" "bashful" "benevolent" "bitter" "bold" "brave" "brisk" "busy" "calm" "careful" "careless" "certain" "cheerful" "civil" "clean" "close" "clumsy" "cold" "confident" "confidential" "considerate" "constant" "conventional" "cool" "cordial" "cruel" "curious" "decided" "delicate" "dependent" "determined" "direct" "dissatisfied" "doleful" "domestic" "dreamy" "eager" "earnest" "easy" "emphatic" "expressive" "faithful" "familiar" "fast" "fearful" "ferocious" "fierce" "firm" "fitful" "frank" "free" "fresh" "friendly" "gallant" "gay" "general" "generous" "genteel" "gentle" "gentlemanly" "giddy" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "haughty" "hearty" "heavy" "honest" "hopeful" "hopeless" "humble" "hurried" "immovable" "impartial" "impatient" "independent" "indifferent" "insolent" "intimate" "irresolute" "jealous" "kind" "laborious" "lively" "lofty" "lonely" "loud" "lucid" "magnanimous" "majestic" "melancholy" "mild" "modest" "musical" "natural" "neat" "negative" "obliging" "observant" "open" "original" "particular" "passionate" "patient" "peaceful" "placid" "pleasant" "polite" "political" "positive" "practical" "precise" "prejudiced" "proud" "prudent" "quick" "quiet" "rapid" "reasonable" "refined" "resentful" "reserved" "responsible" "rigid" "romantic" "rough" "rusty" "sad" "sagacious" "second" "selfish" "sensible" "sensitive" "sentimental" "serious" "severe" "shrewd" "shy" "silent" "simple" "slow" "smooth" "social" "soft" "solemn" "solicitous" "sorrowful" "spirited" "stately" "steady" "steep" "stern" "stiff" "strict" "strong" "submissive" "sudden" "sufficient" "sullen" "sure" "susceptible" "sweet" "tender" "thankful" "thorough" "thoughtful" "tight" "timid" "tough" "treacherous" "true" "ugly" "uncertain" "unhappy" "vague" "vain" "vehement" "violent" "watchful" "weak" "wise" "wishful" "worldly" "womanly" "wry" "wrathful"
"cruel" 0 0 1 0 0 2 0 0 0 1 0 0 1 1 0 1 4 0 2 1 1 0 3 0 0 1 1 0 3 1 0 1 0 4 0 0 1 0 1 1 0 0 2 4 0 2 3 4 1 0 1 1 2 0 0 2 0 2 0 0 3 1 0 1 0 0 2 2 1 3 0 2 1 3 1 6 4 2 3 2 1 1 1 1 0 2 3 1 1 0 5 1 0 1 1 1 1 1 2 0 1 0 1 5 0 0 1 1 7 1 2 1 3 0 0 0 1 0 0 1 0 0 3 1 5 3 0 3 0 0 1 0 2 1 1 0 0 0 2 0 3 0 2 2 0 1 1 5 1 1 1 1 0 0 1 1 0 0 1 1 1 0 0 10 1 4 0 1 8 1 1 4 0 0 0 1 3 2 1 10 2 0 4 1 0 0 1 0 3 1 0 1 0 0 0
"curious" 2 0 1 0 0 2 2 0 0 1 0 1 1 0 0 0 13 2 0 0 3 1 5 0 0 3 0 0 0 2 1 0 2 3 2 0 0 1 0 1 0 1 2 10 0 1 4 5 0 1 1 0 1 2 0 2 3 2 1 1 3 1 1 1 0 4 3 1 1 1 2 4 1 0 0 4 3 3 1 0 1 1 0 1 0 0 0 2 0 1 2 0 1 1 2 2 0 0 1 1 2 0 0 4 0 0 1 0 8 2 0 2 1 0 0 6 1 1 0 2 1 2 2 1 3 7 3 1 0 1 1 0 1 0 2 1 1 0 4 1 2 1 0 0 1 1 0 1 1 1 0 4 4 0 0 0 3 0 1 1 0 2 0 4 0 4 4 2 11 1 1 1 1 0 0 1 0 0 0 4 3 3 2 2 0 0 0 1 2 0 0 2 0 0 1
"decided" 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 3 1 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 2 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 3 1 0 1 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0
"delicate" 1 2 0 1 2 1 1 2 1 0 0 0 4 2 2 0 8 1 1 2 2 1 3 0 0 1 1 0 1 0 4 3 0 0 0 0 1 1 0 1 2 0 1 3 1 2 3 4 0 0 0 0 0 0 0 0 2 1 1 0 7 1 1 1 1 0 1 2 3 5 0 3 0 1 0 2 3 3 0 4 1 0 0 1 0 1 0 1 1 2 5 1 0 1 2 0 0 1 0 1 1 1 0 7 2 1 0 0 6 2 5 0 3 0 1 5 1 0 0 1 0 1 4 1 4 8 0 1 1 1 0 1 0 1 1 0 3 2 12 0 0 0 0 2 2 1 2 2 0 3 0 1 1 1 0 1 0 0 0 1 1 0 0 6 0 2 1 1 8 0 2 1 1 1 0 1 2 0 0 9 4 0 3 0 1 0 0 1 2 0 1 1 1 1 0
"dependent" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 1 1 1 1 1 0 0 1 0 0 1 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 3 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0
"determined" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 1 0 1 0 1 1 0 1 1 0 0 1 1 1 1 0 0 1 0 0 1 1 0 0 0 2 0 2 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 2 0 0 0 1 0 0 1 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 2 0 0 1 1 1 0 0 0 0 0 0 0 2 0 0 3 0 1 0 0 4 1 0 1 2 0 1 0 0 0 0 2 0 0 2 0 0 1 0 0 1 0 0 0 0 0 1
"direct" 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 1 2 1 0 0 0 0 0 0 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 1 1 3 0 1 0 1 1 0 0 0 0 0 0 2 2 1 0 0 2 1 0 0 0 0 1 1 0 0 0 2 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 1 0 1 0 1 0 1 1 0 1 1 0 0 0 1 0 2 0 1 3 0 1 1 0 0 0 0 0 0 1 0 2 2 0 2 0 0 0 1 1 0 0 1 0 0 0 1 0 1 0 0 0 2 0 2 1 0 1 0 1 0 0 3 0 0 0 0 1 1 0 0 0 0 4 0 2 0 1 1 0 1 0 0 2 1 0 0 1 0
"dissatisfied" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 2 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"doleful" 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 2 0 0 2 0 0 1 0 0 0 0 0 2 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 2 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 2 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 2 0 0 0 0 1 0 0 1 0 0 0 0 0 3 0 1 0 1 1 0 1 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 1
"domestic" 1 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 3 1 0 0 1 0 2 0 0 0 0 0 0 2 1 1 0 1 0 0 0 0 0 0 1 1 1 3 1 0 2 1 0 0 0 0 1 0 0 2 0 1 0 2 1 0 0 1 0 1 2 1 1 1 0 0 0 0 0 1 1 1 0 4 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 1 0 1 1 0 0 0 1 2 3 1 1 0 0 1 0 1 0 0 0 1 4 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0 0 6 0 1 1 0 0 0 1 1 0 0 0 1 1 0 0 3 0 1 2 1 0 1 0 0 2 0 0 0 0 1 0
"dreamy" 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 0 0 0 1 1 0
"eager" 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 2 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 2 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 3 0 0 0 0 0
"earnest" 0 0 1 1 0 0 0 1 0 0 0 0 2 1 3 0 2 0 0 0 0 1 2 0 0 0 0 1 0 0 2 2 1 1 0 0 1 0 0 1 0 1 0 4 1 0 2 1 1 0 0 0 1 0 1 1 0 0 0 0 2 0 0 1 0 1 0 2 1 2 1 1 0 0 1 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 1 1 0 0 0 0 0 1 0 5 1 0 0 0 0 1 2 1 2 0 0 2 1 0 0 0 1 0 2 0 3 3 2 1 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 1 1 0 1 2 1 0 0 1 0 0 0 0 1 0 0 1 1 2 0 2 2 0 6 0 0 2 1 1 1 1 2 0 0 3 0 1 2 1 0 0 1 1 1 1 0 0 0 0 0
"easy" 2 1 1 1 4 4 2 1 0 1 1 1 4 3 3 3 14 5 0 1 4 2 7 0 1 1 3 1 3 4 4 10 0 3 1 0 3 1 0 3 0 1 4 0 1 2 2 2 1 0 0 2 1 0 3 4 6 6 1 4 9 4 0 1 1 3 5 2 3 1 2 10 2 1 2 6 5 4 1 2 0 2 1 5 1 1 2 3 1 3 3 0 0 1 1 2 0 0 3 1 0 2 0 10 3 0 1 1 9 4 4 2 3 3 0 7 2 1 2 6 1 2 6 1 5 6 2 1 0 0 3 0 0 1 2 2 0 2 11 1 4 0 0 2 4 2 2 6 2 4 0 1 2 2 1 0 3 1 3 3 0 3 0 7 0 4 4 0 9 1 0 2 0 1 0 2 1 1 0 8 2 5 5 3 1 1 1 0 4 6 0 1 0 0 0
"emphatic" 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 2 1 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 2 1 0 0 1 2 0 0 0 1 0 0 0 0 1 1 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0
"expressive" 0 0 0 1 2 0 0 1 0 0 0 1 1 1 3 0 8 0 0 0 0 1 1 1 1 0 1 0 1 0 2 1 2 2 0 0 1 2 0 0 0 1 0 2 2 0 2 3 0 2 0 1 1 0 0 2 3 2 0 1 5 4 1 1 0 0 1 2 0 0 1 3 1 0 0 3 1 1 1 0 0 1 1 2 0 2 0 1 1 1 5 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 4 0 2 1 1 0 2 4 1 0 1 0 0 0 3 0 0 6 1 0 1 0 1 2 0 1 1 0 1 0 2 0 4 1 0 0 1 0 0 4 0 0 2 1 0 2 1 1 0 0 1 1 1 1 0 6 2 3 0 1 3 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 0 1 1 1 0 1 0 0 0 1 0
"faithful" 1 0 0 0 0 1 0 0 0 1 0 2 3 2 2 0 5 0 0 0 2 0 2 0 1 0 0 0 0 0 3 4 0 3 0 1 0 1 0 2 0 0 2 2 1 2 0 4 0 0 0 0 1 0 0 4 4 2 0 1 3 1 0 1 0 0 0 3 2 3 0 1 1 0 0 2 3 2 1 1 1 0 0 0 0 0 0 0 1 1 2 0 1 0 2 0 1 1 0 0 2 2 1 5 2 1 0 0 2 2 2 0 3 1 2 1 0 0 0 0 0 0 3 1 1 4 0 1 1 1 0 0 1 0 0 0 1 0 5 0 2 0 1 0 0 0 1 3 1 3 0 3 0 0 0 1 0 0 1 1 1 0 2 9 1 5 0 0 4 0 1 1 1 0 1 0 2 0 0 9 1 0 3 0 0 0 2 0 4 1 0 0 1 0 1
"familiar" 1 0 1 1 0 1 0 0 0 0 0 0 3 0 2 0 6 0 0 1 3 2 3 0 0 1 2 0 0 0 4 5 0 4 1 0 1 1 0 1 1 1 1 2 1 3 4 0 0 0 0 1 0 0 0 4 4 2 0 1 2 1 0 0 0 1 3 2 3 0 0 3 1 1 0 3 1 1 1 0 0 0 0 1 0 0 1 0 0 0 5 0 1 0 0 1 0 0 1 1 0 2 1 4 1 1 0 0 4 3 3 1 3 2 1 2 0 0 1 1 0 1 2 0 2 6 1 2 1 0 1 0 0 0 1 1 1 0 6 0 0 1 0 1 0 0 0 3 0 3 1 2 3 0 0 2 1 0 0 1 1 1 0 7 0 0 2 0 7 0 0 1 0 0 0 1 2 0 0 7 4 2 2 0 2 1 0 1 1 1 0 1 1 1 0
"fast" 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 2 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 2 0 0 0 0 0 0 1 0 1 0 4 1 0 1 0 1 1 3 0 1 0 0 1 0 0 0 0 1 0 0 1 2 2 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 1 0 1 2 0 1 1 0 1 0 0 0 0 0 3 1 1 0 1 0 0 1 0 0 1 0 1 0 0 1
"fearful" 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 3 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0
"ferocious" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 2 1 0 2 1 0 1 0 1 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"fierce" 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 1 0 0 0 0 1 0 0 0 2 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 2 0 0 0 0 0 2 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 3 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 3 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 1 2 1 0 0 0 1 0 0 0 0 0 0
"firm" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 0 0 0 0 0 2 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 3 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 3 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 1 0 0 4 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 0 1 0 0 1 2 0 0 0 0 0
"fitful" 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 2 0 0 0 0 1
"frank" 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 2 1 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 1 0 0 0 0 1 2 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"free" 2 1 0 0 0 4 0 0 2 0 1 1 2 2 4 2 12 5 0 1 4 1 1 1 2 2 1 1 4 2 2 2 1 0 1 1 2 0 1 2 0 1 1 4 0 2 4 4 2 2 0 0 0 1 1 0 4 7 0 2 5 2 2 5 1 1 1 3 3 2 5 5 1 0 3 10 4 1 0 2 3 1 2 1 3 4 0 1 0 1 8 2 3 1 1 3 2 2 0 3 4 4 1 9 4 1 1 0 13 3 11 1 2 1 0 5 1 2 1 2 2 0 11 0 6 9 1 2 0 0 0 1 0 0 1 2 1 2 4 0 4 0 1 2 1 1 1 4 5 3 1 3 4 0 3 1 3 0 5 1 1 1 0 11 1 1 4 0 17 1 2 4 0 1 4 2 2 0 2 13 1 3 3 3 1 2 2 1 9 3 1 2 2 0 2
"fresh" 1 0 0 0 1 0 1 0 0 1 1 1 2 1 2 0 7 3 0 1 5 0 4 0 0 1 2 0 1 1 0 3 0 2 0 1 2 1 1 0 0 1 0 6 1 3 4 4 1 1 0 2 0 0 1 4 0 2 0 1 4 2 0 1 0 0 2 2 1 0 1 3 0 0 0 2 1 0 1 2 1 0 1 0 1 0 0 1 0 2 3 0 2 0 0 2 1 1 0 1 0 4 1 4 1 1 0 0 2 4 3 0 0 1 0 2 1 2 0 2 0 0 1 0 3 7 3 0 1 1 1 2 0 2 3 2 0 3 4 1 0 0 0 0 1 0 0 5 1 3 0 0 2 1 0 0 0 0 3 1 0 1 1 7 1 3 2 1 5 0 1 0 0 1 2 0 1 0 0 5 3 1 3 0 1 0 1 1 2 1 1 2 1 0 1
"friendly" 0 0 0 0 1 3 0 0 0 0 1 1 1 1 1 1 7 1 0 2 0 0 2 0 2 3 0 0 1 3 2 2 2 1 1 0 1 0 0 1 0 1 0 6 0 2 2 2 0 0 0 0 0 0 2 7 2 0 0 0 3 1 0 1 1 0 1 1 1 0 1 4 2 0 1 4 3 2 0 1 0 0 2 1 0 1 0 0 0 1 2 0 2 0 0 1 2 0 0 0 1 2 0 2 1 0 1 0 4 0 1 0 1 0 0 2 1 1 2 2 3 0 3 0 8 4 0 0 0 0 1 0 2 1 1 2 0 1 2 0 2 1 0 2 0 0 0 4 0 4 3 3 0 1 0 1 0 0 3 0 2 0 0 4 1 2 1 0 5 0 2 1 2 0 2 2 1 0 0 6 3 0 1 1 1 0 2 0 0 2 1 0 0 0 0
"gallant" 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 1 0 0 0 1 0 2 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0
"gay" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 2 0 4 1 1 1 1 0 0 0 0 0 0 0 2 1 0 0 0 2 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 2 1 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 2 0 1 2 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 1 1 1 0 2 0 0 0 0 1 0 0 0 1 0 1 2 0 1 0 0 2 0 0 0 0 0 1 0 2 1 0 0 1 0 2 0 0 0 0 0 1 1 0 0 0 0 0
"general" 1 2 1 2 3 3 1 4 1 1 2 1 3 2 4 2 17 1 0 0 5 1 3 0 1 2 3 0 1 1 3 3 2 7 0 1 2 0 1 1 1 1 2 9 1 5 3 2 1 0 1 0 0 1 0 5 4 3 0 2 0 3 1 3 0 1 4 1 4 1 4 6 1 3 1 8 4 4 2 2 3 1 1 5 2 2 1 2 3 5 7 1 2 2 1 3 0 2 1 1 1 1 0 11 2 2 2 1 8 5 7 0 0 1 1 6 1 4 2 2 1 4 11 1 3 7 2 0 1 0 2 1 0 1 4 0 0 1 9 1 6 1 0 2 1 1 2 6 3 6 2 6 3 3 2 0 1 1 2 0 2 1 1 13 2 4 2 1 22 0 4 1 1 2 0 3 2 1 0 8 2 1 1 2 1 0 1 2 5 4 0 1 0 0 0
"generous" 1 0 0 0 2 2 0 1 0 0 0 1 0 0 0 0 5 1 0 1 1 0 0 1 0 1 0 0 1 0 1 1 0 1 0 1 1 0 0 0 0 0 0 4 0 4 1 1 0 0 0 1 0 0 0 2 2 1 1 0 3 0 2 3 0 0 1 0 3 1 2 3 2 0 1 2 2 2 1 0 3 0 0 1 0 1 1 0 0 1 3 0 1 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 4 1 1 0 0 1 0 2 0 0 1 0 0 0 3 0 2 6 0 0 1 0 0 1 0 0 3 0 1 0 2 0 5 3 0 1 0 0 0 1 2 1 0 0 0 1 1 0 1 0 1 2 1 1 0 5 1 3 0 0 8 0 0 1 0 0 0 1 1 0 0 2 0 1 0 0 1 0 0 0 3 2 1 0 0 1 0
"genteel" 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 2 0 0 0 0 1 2 0 3 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 2 1 0 0 1 2 0 0 2 1 0 0 0 0 1 0 0 1 1 0 1 1 0 1 1 3 0 2 0 0 1 0 0 0 0 1 0 2 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 2 0 2 1 0 0 1 0 0 1 3 1 0 2 0 0 0 0 0 0 0 0 0 1 0 2 0 2 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 3 1 1 0 0 0 0
