"abrupt" "affectionate" "awkward" "bold" "brutal" "busy" "careless" "certain" "cheerful" "civil" "concise" "contrary" "cruel" "curious" "delicate" "dependent" "determined" "dutiful" "eager" "earnest" "easy" "explicit" "faithful" "fearful" "flighty" "free" "friendly" "gay" "general" "generous" "genteel" "gentle" "giddy" "grateful" "grave" "hasty" "hearty" "heavy" "helpless" "hospitable" "humane" "humble" "impatient" "impertinent" "indifferent" "intimate" "kind" "lively" "loud" "melancholy" "modest" "natural" "obedient" "obliging" "officious" "open" "partial" "particular" "pleasant" "polite" "proud" "prudent" "quick" "quiet" "respectful" "romantic" "rude" "second" "sensible" "serious" "severe" "silent" "simple" "solemn" "spirited" "strong" "sudden" "sufficient" "sure" "sweet" "thankful" "thoughtful" "true" "ugly" "ungrateful" "unhappy" "unsteady" "urgent" "vain" "violent" "weak" "willing"
"impatient" 0 0 0 2 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 2 1 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 1 1 1 0 0 0 1 1 2 1 0 0 0 1 1 1 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0
"impertinent" 1 3 2 4 1 2 0 5 0 3 0 0 7 0 2 1 2 1 4 3 3 0 0 0 1 4 0 1 7 4 0 3 1 4 0 1 0 1 1 0 1 2 1 0 0 1 1 3 6 1 1 4 1 1 2 1 1 2 1 2 2 0 3 2 1 2 2 1 4 0 0 6 1 0 1 2 0 0 13 3 1 0 2 1 0 3 0 0 5 4 2 3
"indifferent" 0 1 1 1 0 0 2 3 2 0 0 0 3 1 1 0 0 0 4 1 3 0 1 0 0 2 1 0 2 0 1 1 0 4 1 0 1 0 0 1 0 1 0 0 0 0 2 1 1 0 3 2 1 0 0 2 0 4 0 0 4 1 0 1 0 1 0 1 3 2 1 3 1 0 1 2 0 0 8 4 1 0 4 0 2 1 1 1 0 2 4 0
"intimate" 0 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 3 0 0 1 2 0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 1 0 0 1 1 0 0 0 1 1 1 0 0
"kind" 0 1 2 2 0 0 0 1 2 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 2 0 0 0 4 0 0 0 0 2 1 0 0 0 1 2 0 0 1 0 1 2 0 0 1 0 2 2 1 0 1 0 0 0 1 0 0 0 3 4 1 0 2 1 0 0 0 0 3 7 3 0 1 4 0 2 3 0 0 3 1 1 1
"lively" 0 2 1 1 0 0 0 1 1 1 0 0 1 0 0 0 0 0 2 0 1 0 1 0 0 1 0 1 1 1 0 1 0 2 1 2 1 0 1 1 0 2 0 3 1 0 1 0 0 0 0 1 1 0 2 2 0 2 1 0 0 0 1 1 1 1 0 1 1 2 0 1 0 0 0 0 0 1 2 1 0 1 0 0 1 0 0 0 1 1 0 0
"loud" 0 0 2 3 1 2 2 2 0 0 0 1 1 0 1 0 2 0 3 3 1 1 0 0 0 5 0 2 4 2 0 0 1 4 1 0 0 1 1 0 1 2 1 6 1 0 0 0 0 1 0 1 0 0 0 2 0 1 0 1 0 0 2 4 0 1 1 1 0 0 0 4 1 0 1 0 2 0 13 3 0 1 2 0 0 2 2 0 3 4 2 2
"melancholy" 0 1 1 2 0 0 0 1 0 0 1 2 3 0 3 1 0 0 0 2 1 0 2 0 0 1 1 1 0 3 1 1 0 3 2 0 1 1 1 0 1 2 0 1 0 1 1 0 1 0 1 4 2 0 0 3 0 0 1 0 1 0 0 2 1 0 1 1 1 0 0 2 1 1 1 1 2 1 5 3 1 0 0 1 0 5 0 2 2 2 3 1
"modest" 0 0 1 2 0 0 0 2 2 2 0 0 4 1 0 1 0 0 1 0 2 0 0 1 1 4 0 0 1 2 1 0 0 1 2 0 1 0 1 0 0 0 1 1 3 0 2 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 0 1 0 3 2 2 4 0 0 1 1 0 0 5 1 0 0 4 0 1 2 0 1 2 0 2 0
"natural" 0 2 0 2 0 1 0 4 0 1 0 0 1 0 2 2 2 1 3 2 4 0 2 1 1 3 0 0 3 3 1 1 0 3 1 0 2 0 0 1 1 3 0 4 2 1 0 1 1 4 1 0 2 1 0 2 0 3 1 0 2 0 0 0 0 1 0 0 1 2 1 5 1 1 1 2 1 0 10 2 1 0 3 0 0 2 0 1 1 0 2 0
"obedient" 0 0 0 0 0 0 0 0 0 0 1 1 2 0 2 0 1 0 1 1 1 0 2 0 0 1 1 0 1 2 0 1 0 2 0 0 1 1 1 1 1 4 0 1 1 0 0 1 0 2 0 2 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 3 1 1 0 0 0 0 3 0 1 0 2 1 0
"obliging" 0 0 0 0 0 0 0 2 1 0 0 0 2 1 1 0 1 0 1 0 1 0 0 0 1 1 0 0 2 1 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 2 0 1 5 1 0 0 2 1 0 0 0 0 1 1 0 0
"officious" 0 1 0 0 1 0 0 1 0 1 0 0 1 0 0 0 1 0 2 0 1 0 0 0 0 0 0 1 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 1 0 0 0 0 1 0 2 1 0 0 0 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 1 0 0 1 1 0 0
"open" 2 1 1 2 0 0 2 0 1 1 0 0 2 0 2 0 2 0 0 2 1 1 0 0 0 0 0 2 4 2 0 4 0 1 3 0 0 1 1 0 0 1 0 1 2 0 2 2 2 3 1 2 1 0 1 0 0 3 1 0 2 1 2 0 3 0 0 2 3 4 1 3 1 0 1 0 2 2 7 3 0 1 0 0 1 4 1 1 2 3 3 1
"partial" 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 1 1 2 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 3 1 0 1 0 0 0 0 0 2 2 0 0 0 0 0 0 1 0 0 0 2 2 1
"particular" 2 1 1 2 1 0 1 3 2 1 0 0 3 0 4 0 1 0 4 1 6 0 1 1 2 3 0 1 7 1 0 3 1 5 2 2 2 2 1 1 0 1 0 2 4 0 1 2 1 0 0 3 1 2 2 3 1 0 1 0 2 1 2 1 3 1 0 3 2 5 1 7 0 0 1 4 2 4 14 4 0 1 2 1 0 8 2 1 1 5 0 1
"pleasant" 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 3 1 0 1 0 0 0 1 0 0 2 0 1 0
"polite" 0 0 0 1 0 0 0 1 0 1 0 0 3 1 1 0 1 0 0 1 3 0 0 0 0 2 0 0 6 2 2 0 0 1 1 0 1 0 0 0 0 1 2 2 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 2 2 0 2 2 1 2 1 0 0 0 1 0 1 0 5 0 0 0 1 0 1 1 0 0 0 0 0 1
"proud" 1 1 1 0 0 1 0 1 1 1 0 0 4 0 1 0 2 0 2 1 2 0 0 0 0 0 1 0 1 2 2 0 1 1 0 1 0 1 0 0 0 1 0 2 4 1 0 0 0 1 0 2 0 0 0 2 0 2 0 1 0 1 0 0 0 0 0 2 2 2 0 1 2 0 1 2 2 2 8 2 1 0 1 2 1 1 0 0 2 1 3 1
