"active" "affectionate" "bitter" "bold" "brave" "busy" "calm" "careful" "careless" "certain" "cheerful" "christian" "clean" "close" "cold" "confidential" "considerate" "constant" "cool" "cordial" "cruel" "curious" "dainty" "defiant" "delicate" "determined" "dignified" "direct" "disdainful" "domestic" "eager" "earnest" "easy" "emphatic" "exact" "expressive" "faithful" "familiar" "fast" "fearful" "fierce" "formal" "frank" "free" "fresh" "friendly" "gallant" "gay" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "gruff" "handsome" "hasty" "haughty" "heavy" "honest" "hopeful" "hopeless" "hospitable" "humble" "impatient" "imperious" "incredulous" "indifferent" "inflexible" "intense" "intimate" "jealous" "joyful" "keen" "kind" "lively" "lofty" "lonely" "loud" "loving" "majestic" "melancholy" "mild" "military" "modest" "mute" "natural" "neat" "noiseless" "obdurate" "observant" "open" "original" "particular" "patient" "peaceful" "pensive" "pleasant" "polite" "practical" "presumptuous" "proud" "punctual" "quick" "quiet" "reckless" "resolute" "restless" "rigid" "romantic" "rough" "sad" "sarcastic" "scientific" "scornful" "second" "sensible" "sensitive" "serene" "serious" "severe" "silent" "simple" "sincere" "slow" "smooth" "sober" "social" "soft" "solemn" "sorrowful" "stately" "steady" "stern" "stiff" "strong" "sudden" "sufficient" "sullen" "sunny" "sure" "sweet" "tearful" "tender" "thankful" "thoughtful" "tight" "timid" "tough" "true" "ugly" "uncertain" "ungrateful" "unhappy" "vague" "vain" "violent" "watchful" "weak" "worldly" "wise"
"familiar" 1 1 0 2 0 3 1 1 1 3 3 0 1 1 4 2 0 1 1 0 0 0 1 0 2 1 1 0 0 3 0 0 4 2 1 1 1 0 0 0 1 1 0 1 1 0 0 0 5 1 1 3 0 1 1 0 2 1 2 0 1 2 2 0 0 0 1 0 1 1 0 0 0 0 1 2 0 1 0 0 2 3 1 1 1 3 1 1 0 4 0 1 0 2 7 3 2 0 1 0 1 3 2 1 7 0 0 5 0 0 0 1 2 4 2 1 0 0 4 3 0 0 0 0 2 1 0 2 2 0 0 2 2 0 2 0 0 2 1 1 2 0 2 5 4 0 0 0 2 1 0 1 4 0 0 0 1 0 0 1 2 0 0 0
"fast" 0 1 0 0 0 0 0 1 0 2 0 0 0 2 1 0 1 1 1 0 0 2 0 0 0 0 0 1 0 0 0 1 1 0 0 2 0 0 0 1 1 0 1 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 1 1 0 0 1 0 1 0 0 2 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 1 1 1 0 0 0 0 2 0 1 1 0 0 2 0 0 0 2 0 0 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 2 0 0
"fearful" 0 1 0 2 0 0 0 1 0 3 0 1 0 2 2 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 2 0 0 2 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 2 1 0 2 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 1 4 0 0 2 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 3 2 0 1 0 1 1 0 0 2 0 1 1 0 0 0 2 0 0 0 0
"fierce" 0 0 1 1 0 1 3 0 0 5 1 0 1 1 5 0 0 1 0 0 3 0 0 0 0 0 0 0 1 1 2 2 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 1 3 0 2 2 2 0 0 0 0 0 5 0 1 3 1 1 0 0 1 1 0 0 3 0 1 0 1 0 0 1 2 0 1 3 0 0 1 2 0 0 0 1 2 0 2 0 3 1 0 0 0 0 1 0 0 0 5 0 4 3 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 3 1 0 1 2 0 1 2 3 1 1 0 0 0 3 3 2 0 1 5 2 0 0 1 1 1 1 0 4 2 1 0 0 1 2 2 0 1 1 1
"formal" 0 0 0 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 3 0 1 0 0 1 0 0 1 0 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 0 1 0 0 2 1 0 0 1 0 2 2 0 0 1 1 1 0 1 1 0 1 1 0 0 0 0 1 0 1 0 1 1 0 1 2 1 0 1 0 0 0 0 2 0 0 1 1 2 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0
"frank" 0 0 1 1 0 2 1 0 0 3 2 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 2 0 0 0 1 0 0 1 0 0 0 0 2 2 0 0 0 2 2 1 1 0 0 1 1 0 0 1 0 0 1 2 3 2 2 1 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 2 0 1 1 0 3 1 0 0 1 3 0 1 1 0 1 3 0 1 0 5 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 3 1 0 1 0 0 1 0 1 1 2 0 1 1 3 0 1 0 1 7 2 1 0 0 1 1 0 0 3 0 0 0 1 1 2 0 0 1 0 0
"free" 0 2 1 5 1 4 1 1 2 8 5 1 2 4 14 1 0 2 0 1 3 2 1 0 1 2 1 1 0 1 1 6 3 2 1 2 1 1 0 1 1 2 2 0 0 3 0 0 8 0 1 6 1 1 3 3 3 0 3 1 1 5 1 2 2 1 4 1 1 2 1 1 0 1 1 1 1 4 3 0 5 1 1 1 3 4 1 2 2 6 2 1 0 0 14 2 2 1 0 0 3 2 2 1 7 0 5 10 3 1 1 3 0 2 5 2 0 0 7 0 2 2 3 4 7 4 0 1 1 2 3 4 7 4 4 1 4 4 10 1 3 2 1 13 8 1 1 1 5 1 5 0 5 1 3 0 5 3 0 2 1 8 1 1
"fresh" 0 1 2 4 0 4 3 0 0 4 4 1 1 1 3 0 0 1 0 2 2 2 1 0 2 0 1 1 0 0 1 2 3 0 1 0 0 1 0 0 1 0 2 0 0 0 0 0 4 1 0 4 0 1 3 0 2 1 3 0 1 5 3 2 0 0 3 1 0 1 0 0 0 0 3 0 1 4 0 1 1 1 0 0 1 1 1 2 2 2 1 0 0 0 8 1 2 2 0 4 2 0 0 0 4 0 2 4 0 0 0 0 0 4 1 0 2 0 2 3 0 2 2 1 4 2 0 4 1 0 0 1 5 1 2 0 0 1 6 0 1 1 1 6 3 1 1 0 2 2 4 0 3 3 1 0 1 0 0 2 0 2 0 0
"friendly" 2 0 1 1 0 3 0 0 0 4 0 0 1 5 4 2 1 1 1 1 1 0 0 0 2 1 0 0 0 0 0 1 3 1 3 2 2 0 0 0 0 0 0 3 0 0 0 0 4 1 1 2 0 1 3 3 1 0 1 0 0 2 2 0 1 2 0 1 0 0 1 1 0 1 0 1 1 3 3 0 0 0 0 0 4 0 0 0 1 3 1 0 0 0 3 0 7 1 0 0 2 0 2 1 7 0 5 3 0 1 0 0 1 3 2 0 1 0 3 0 0 3 2 2 4 1 1 1 3 1 3 3 0 2 1 2 0 1 2 2 0 1 0 13 2 1 1 0 1 2 1 4 4 1 2 0 0 0 0 3 2 3 1 0
"gallant" 0 2 0 2 1 0 3 0 0 1 0 0 1 2 1 2 0 1 2 0 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 2 0 0 0 0 0 2 0 0 1 2 1 0 0 0 0 0 0 1 0 1 0 0 0 1 2 0 0 1 0 1 0 0 0 0 0 0 2 1 0 0 0 2 0 0 1 1 0 2 1 0 0 1 0 0 2 0 0 0 1 0 1 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 2 1 0 0 3 2 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 2 0 2 1 2 0 0
"gay" 0 0 0 1 0 2 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 1 0 0 0 2 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 1 0 1 1 0 0 1 0 2 0 1 1 0 0 2 0 0 0 2 0 0 2 0 0 0 0 0 1 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 2 1 0 0 0 2 0 0 0 2 0 0 1 2 0 0 0 1 1 1 0
"general" 1 3 4 10 2 9 4 1 3 13 2 3 4 7 12 6 1 3 4 0 3 4 3 2 6 2 3 2 4 4 0 4 8 4 2 7 2 5 1 1 3 3 2 8 4 4 2 2 0 3 7 8 4 5 6 4 7 0 11 3 8 12 4 1 2 6 3 1 5 2 5 2 0 5 2 2 0 3 7 3 7 3 0 1 10 9 2 4 2 9 2 2 1 2 17 6 17 0 3 3 8 3 3 0 19 1 4 14 1 2 1 1 2 3 3 3 2 4 10 6 3 0 2 5 11 5 3 7 6 1 8 9 8 3 9 4 3 4 16 7 2 1 0 28 13 1 3 1 5 1 7 3 10 3 2 2 6 4 1 4 6 12 0 1
"generous" 0 0 1 1 1 1 0 0 0 3 1 1 0 1 2 1 2 1 1 1 0 0 1 1 1 1 0 1 1 0 0 2 0 0 0 1 1 1 1 1 0 0 2 0 1 1 1 0 3 0 0 3 1 0 0 1 0 1 2 0 1 3 1 3 0 1 1 0 0 0 0 0 0 1 2 1 1 1 0 2 0 0 0 1 1 0 1 0 0 2 0 0 0 0 5 2 1 2 0 1 2 0 0 1 4 1 4 4 0 0 1 0 1 1 0 0 0 1 3 2 0 1 0 1 2 2 1 1 0 0 1 2 1 2 0 0 0 0 1 0 1 0 0 7 0 1 0 0 0 0 0 0 5 1 2 0 0 1 0 1 2 1 2 1
"genteel" 0 0 2 0 0 0 0 1 1 2 0 1 0 2 2 1 0 1 2 0 0 3 0 1 0 0 0 0 0 2 1 1 2 1 0 1 0 1 1 0 2 1 1 1 0 1 0 0 7 0 0 1 1 2 2 0 2 0 6 0 1 2 1 1 0 2 0 0 0 1 1 0 0 1 0 0 0 3 0 2 0 1 0 0 2 0 1 1 0 0 1 0 1 0 5 1 3 0 0 0 3 3 1 0 6 0 0 0 0 0 1 1 2 0 1 0 0 0 2 2 1 0 0 1 0 2 1 1 0 0 2 0 3 0 2 0 1 0 4 1 0 0 1 0 2 0 0 0 0 0 1 1 2 1 1 0 0 1 0 1 0 3 0 1
"gentle" 2 5 0 4 1 6 3 0 0 8 4 0 3 5 12 0 0 7 1 1 2 2 1 2 3 1 1 0 1 1 1 5 5 2 1 1 1 3 1 1 2 0 1 6 4 2 1 1 8 3 1 0 3 3 5 4 1 1 4 0 3 7 2 3 3 0 3 0 1 1 2 1 1 0 1 0 0 7 2 3 6 1 0 1 2 5 0 3 1 8 1 3 2 1 11 3 3 6 0 3 4 1 1 2 11 1 4 12 2 1 2 1 1 6 2 2 0 2 7 2 0 1 3 0 8 10 1 1 2 2 1 9 6 2 1 1 4 1 8 3 2 2 1 14 11 5 4 1 4 0 4 2 9 0 1 1 4 2 1 2 0 5 2 2
"gloomy" 0 0 0 3 1 2 1 0 1 1 1 0 0 3 5 0 1 4 0 0 0 0 0 0 1 2 0 1 1 0 0 0 2 0 0 0 1 0 0 0 2 0 0 1 0 0 2 0 4 1 1 3 0 1 0 0 0 0 2 0 1 3 0 1 0 0 1 0 1 0 0 0 1 1 1 0 0 0 2 1 3 1 0 0 2 1 0 0 0 1 0 1 1 0 3 0 1 1 0 0 3 0 0 1 5 0 3 1 0 0 1 1 0 2 1 0 0 0 2 1 0 0 0 0 4 0 0 0 0 0 0 2 2 1 1 0 0 1 4 0 0 1 0 2 0 0 0 0 0 1 3 2 3 0 0 1 1 1 1 1 1 2 1 0
"graceful" 1 0 1 0 1 1 1 1 0 0 1 1 1 0 4 0 0 1 1 0 1 1 0 1 1 2 1 0 1 0 0 2 1 0 1 0 0 1 0 0 0 1 0 1 1 1 0 0 5 0 2 3 1 0 1 1 2 0 3 0 3 1 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 2 1 1 0 0 0 0 1 0 0 2 1 2 0 1 2 1 3 1 4 0 0 0 3 1 0 0 5 0 1 5 0 0 0 0 1 0 1 0 0 1 3 0 2 0 0 1 4 3 0 2 2 0 0 6 4 0 2 2 0 0 2 0 0 1 1 5 5 1 1 0 0 2 0 1 2 0 0 1 2 2 0 0 1 3 0 0
"gracious" 2 1 1 1 0 3 1 2 1 6 0 0 1 1 3 0 0 2 1 1 0 4 0 0 2 1 1 0 0 0 0 2 2 2 1 3 0 1 1 1 0 0 1 3 3 3 0 0 6 0 2 5 0 1 0 1 0 0 2 0 3 2 1 1 0 0 2 0 0 0 0 0 0 0 0 1 1 4 1 1 1 0 0 0 2 2 1 0 1 1 1 0 0 0 2 0 5 1 0 2 2 0 1 0 3 0 1 3 0 1 0 1 1 0 2 0 1 0 2 0 0 1 1 1 5 2 1 3 0 2 0 1 2 2 1 1 1 0 2 1 0 1 1 12 9 1 1 0 1 2 1 1 5 0 0 0 0 0 0 2 0 3 0 1
"grateful" 1 0 1 1 1 1 0 1 0 4 4 0 1 3 2 0 0 2 0 1 0 1 0 0 3 4 0 0 1 0 0 0 0 1 1 3 1 0 0 0 0 0 1 3 0 3 0 1 4 1 0 4 0 1 1 0 2 1 0 0 0 2 2 0 3 0 1 1 1 0 0 0 0 0 0 0 0 4 0 0 0 0 1 0 3 2 3 1 1 2 1 0 0 0 7 0 1 0 1 1 4 1 1 1 5 0 2 5 0 0 0 0 0 1 3 0 0 0 2 3 1 0 1 1 2 2 0 2 0 3 0 1 1 2 2 1 1 1 5 0 1 0 0 12 6 2 2 1 2 0 0 0 4 0 1 1 1 3 0 1 2 4 2 2
"grave" 0 1 0 1 0 3 1 0 0 0 1 0 0 0 2 1 0 2 1 0 2 0 0 1 1 0 1 0 0 0 1 0 3 0 2 0 0 2 0 0 0 1 0 3 2 1 0 1 7 0 2 1 0 2 0 2 0 1 2 1 3 0 1 0 1 0 1 0 0 0 2 0 0 1 1 0 1 4 1 0 1 0 0 0 2 2 1 2 0 1 0 1 0 1 3 2 3 0 1 0 4 4 1 0 4 0 1 4 0 0 1 0 0 0 2 0 0 0 2 1 1 0 3 2 2 1 1 1 0 0 2 0 4 0 2 2 1 1 1 1 0 1 0 11 1 0 0 0 1 2 1 0 2 1 0 1 1 1 0 1 2 2 0 0
"gruff" 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 3 0 0 0 0 0 0 2 4 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 0 1 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 3 0 0 0 0 0 1 2 0 1 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 1 2 0 0 2 0 0 1 0 1 0 0 4 1 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 1
"handsome" 1 1 2 3 1 2 2 3 1 8 1 1 3 5 11 2 1 1 2 1 4 1 2 1 2 1 1 2 3 3 3 5 5 0 1 1 0 2 1 1 5 1 1 3 3 1 2 0 11 2 6 4 2 3 2 0 2 1 0 2 4 5 2 0 0 2 2 2 3 2 3 2 3 1 2 0 1 3 0 1 5 2 1 1 1 2 0 2 0 3 1 2 1 0 9 2 2 2 0 2 2 2 1 0 18 0 2 7 2 1 1 1 2 1 0 0 0 2 7 3 1 2 1 1 8 3 2 4 2 0 4 5 3 0 9 2 3 0 8 5 2 0 1 10 4 0 1 2 5 2 4 0 8 5 4 1 0 2 2 5 2 2 0 2
"hasty" 1 0 0 0 1 0 1 0 0 2 0 0 2 1 0 1 1 0 0 0 2 0 0 0 1 0 0 0 0 1 1 1 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 2 1 2 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 2 0 0 0 1 0 0 0 3 1 0 0 0 2 0 0 0 1 1 0 0 2 0 0 0 0 1 0 0
"haughty" 0 2 0 2 0 0 1 0 0 3 0 0 0 2 9 1 1 4 1 0 0 1 0 2 3 2 1 0 3 1 0 3 0 1 2 2 0 1 0 0 1 1 0 1 1 0 0 2 8 1 1 3 1 3 3 0 3 0 4 0 0 2 2 1 0 0 2 1 5 0 2 2 1 0 1 0 2 0 1 3 1 0 0 1 4 2 0 1 1 5 0 0 1 1 4 1 0 0 0 1 0 1 0 1 12 1 1 2 1 2 0 1 1 2 0 1 0 2 3 1 3 0 2 0 2 0 0 0 2 0 3 4 3 0 4 2 2 2 3 3 5 2 2 5 5 0 0 0 0 1 0 1 5 0 0 1 4 1 0 1 1 1 0 0
"heavy" 1 3 0 1 0 5 3 2 0 7 3 0 0 5 13 2 0 2 0 1 4 3 4 0 1 2 0 1 0 7 0 5 7 0 2 2 1 2 0 0 3 0 1 5 5 2 1 1 12 3 2 7 3 1 2 2 0 2 5 0 2 0 3 1 0 1 2 1 2 0 1 1 1 0 3 0 0 7 3 2 5 2 0 0 5 0 0 3 1 7 0 1 2 0 7 3 5 0 0 2 7 2 1 1 9 0 1 6 1 2 0 1 0 9 1 1 1 0 4 0 0 1 2 4 6 6 1 2 2 2 3 4 5 2 2 0 1 4 13 1 1 1 1 12 13 3 1 1 5 1 5 2 10 0 1 0 2 3 0 5 3 5 5 3
"honest" 1 3 2 2 0 1 3 1 0 5 2 1 1 1 2 0 1 3 1 1 1 1 0 1 3 1 1 0 1 1 0 1 2 0 1 2 1 2 1 0 1 1 2 1 3 2 2 1 4 1 1 2 0 1 1 2 1 0 2 0 2 3 0 2 3 0 1 0 0 1 4 0 0 0 1 1 1 6 2 3 3 0 0 2 2 1 0 0 0 3 1 0 1 0 4 0 3 1 0 1 3 1 0 1 5 2 3 5 1 2 0 0 0 4 1 1 2 0 3 4 0 1 1 0 2 1 2 3 2 1 0 1 2 1 2 2 1 2 6 2 1 0 0 13 4 0 0 0 0 1 1 1 7 0 0 0 1 0 0 2 1 2 1 1
"hopeful" 1 0 0 3 0 1 2 0 0 2 3 0 0 2 2 0 1 1 0 0 3 3 0 0 3 0 0 0 0 0 0 2 1 0 0 0 1 0 1 0 1 0 3 2 2 0 1 0 1 3 1 3 1 0 1 0 0 0 0 0 1 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 2 1 0 1 0 1 0 1 1 0 1 0 0 0 0 5 0 0 1 0 0 2 0 0 1 3 1 1 2 0 0 1 0 0 1 2 0 0 0 0 2 0 0 0 0 1 1 0 0 2 0 0 0 1 1 1 1 1 1 4 1 0 1 2 2 3 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0
"hopeless" 0 0 0 1 0 0 0 0 1 2 2 0 1 2 3 0 0 1 0 0 1 0 0 0 2 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 2 2 0 1 0 0 2 0 0 3 0 1 0 3 1 1 0 0 0 0 3 0 0 1 1 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 2 2 0 1 0 0 2 0 0 1 5 0 1 1 0 0 1 0 0 0 2 1 4 4 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 3 0 0 0 0 0 0 0 2 1 1 0 0 0 4 1 2 0 0 9 2 0 0 1 2 1 1 0 0 0 0 0 0 1 0 1 1 4 0 0
"hospitable" 0 0 1 1 0 0 0 0 0 2 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 2 1 0 2 0 0 6 1 2 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 3 1 0 0 1 0 0 0 3 0 0 1 0 1 1 0 2 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 3 2 1 0 0 1 0 0 1 0 1 0 0 4 2 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 0 1
"humble" 0 0 1 3 0 0 0 2 2 4 0 0 1 1 2 1 0 1 0 0 1 1 0 0 2 1 1 0 1 1 2 1 1 1 0 2 0 1 0 0 1 0 1 4 3 0 0 0 3 1 0 3 1 1 2 1 1 0 2 1 2 2 1 1 1 0 0 0 4 0 0 0 1 0 3 2 1 2 1 2 2 0 0 0 2 4 2 1 1 4 0 1 1 0 6 0 3 0 0 0 1 0 0 0 7 1 2 5 0 1 0 0 0 0 2 0 1 0 4 1 0 0 1 1 3 1 2 1 0 1 0 3 2 1 1 1 1 0 3 1 2 2 0 6 3 1 0 2 1 1 3 0 4 0 1 0 1 4 0 1 0 3 0 0
"impatient" 0 0 1 0 0 0 0 1 1 1 0 0 1 3 4 0 0 1 0 0 1 1 1 0 1 0 0 1 0 1 0 0 2 0 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 0 0 0 0 0 0 1 0 0 2 0 1 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 3 0 0 1 0 3 1 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 2 0 1 1 0 1 1 0 0 0 0 0 1 2 0 0 0 0 1 1 0 2 0 0 0 2 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0
"imperious" 0 0 0 1 0 0 0 0 2 4 0 0 1 0 4 1 0 2 0 0 0 1 2 0 2 1 0 1 3 2 0 1 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 1 5 0 0 1 1 1 0 1 0 0 3 0 5 2 0 0 1 0 4 2 0 0 1 2 2 0 0 1 0 0 0 1 0 0 0 1 1 0 2 2 0 1 0 1 2 0 2 0 0 0 0 0 2 0 0 0 8 1 1 2 0 0 0 0 0 1 0 0 0 2 4 2 2 0 2 0 3 0 1 0 1 1 1 2 0 1 2 2 0 1 4 2 0 1 0 2 1 0 0 0 1 0 0 0 2 1 0 0 2 1 0 0 1 0 0 0
"incredulous" 0 1 1 2 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 2 1 0 0 0 2 0 1 1 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 3 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 3 1 0 1 1 0 1 0 0 1 0 0 0 1 1 0 2 0 1 0 1 0 0 0 0 2 3 0 1 0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1
"indifferent" 0 2 0 1 0 1 3 1 0 2 0 2 2 0 2 1 1 2 2 0 1 0 0 0 1 0 0 1 1 2 2 4 1 0 1 2 2 0 0 0 3 0 0 1 0 1 1 1 5 0 1 2 0 1 0 0 2 0 3 2 2 1 4 0 1 0 0 0 1 1 0 1 1 0 0 0 1 4 2 1 1 1 0 0 1 0 0 0 0 2 1 2 2 1 3 2 1 0 0 1 2 0 0 0 8 0 1 3 1 2 0 1 0 2 1 0 1 1 7 0 1 1 0 2 1 2 1 0 3 0 3 1 2 1 2 1 1 0 1 3 1 1 0 7 3 0 0 1 2 0 0 3 5 3 0 1 1 2 0 2 0 1 1 1
"inflexible" 0 1 0 2 0 0 1 0 1 0 0 0 0 1 4 0 0 0 0 0 0 1 0 0 1 1 0 1 2 0 0 2 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 1 0 0 0 0 0 0 2 0 2 1 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 1 0 0 3 1 0 0 1 0 0 1 0 1 0 1 1 0 1 0 1 1 0 1 0 1 0 0 4 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 3 1 1 0 1 3 0 0 0 1 2 0 0 1 0 1 0 0 2 0 1 0 1 0 0 0 0 0 0 1
"intense" 0 0 1 0 0 0 2 0 0 0 0 0 0 0 4 1 0 1 1 0 2 0 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 3 0 1 1 0 0 0 0 1 1 2 0 1 1 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 1 2 0 0 1 0 0 1 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 1 2 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0
"intimate" 0 0 1 1 1 1 0 0 0 2 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 5 1 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 2 1 1 0 3 0 1 2 0 0 2 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 3 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1
"jealous" 0 1 1 2 0 1 0 1 0 1 0 0 0 1 0 1 0 5 0 0 1 0 1 1 1 0 1 0 2 1 1 0 2 0 0 1 1 1 1 2 1 0 0 1 3 0 0 0 2 2 0 1 1 0 0 0 1 0 2 0 1 3 1 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 2 0 0 1 0 0 2 0 0 0 1 1 2 2 0 0 0 1 0 0 1 6 1 2 2 0 1 0 0 0 2 0 1 1 0 2 2 0 0 0 0 4 0 1 3 0 0 0 1 1 1 0 0 0 2 2 0 2 1 0 7 2 0 0 1 1 1 1 2 4 1 2 1 2 1 0 1 1 1 0 0
"joyful" 1 0 0 1 0 1 0 1 1 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 2 0 0 0 0 1 1 0 1 0 0 2 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 1 0 0 0 1 1 0 0 0 0 0 2 0 0 1 1 0 1 2 0 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 2 0 1 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 2 0 0 0 2 0 1 0 0 1 1 0
