"acceptable" "active" "acute" "affectionate" "awkward" "benevolent" "busy" "calm" "careless" "certain" "cheerful" "civil" "close" "cold" "consistent" "constant" "cool" "decided" "determined" "dignified" "direct" "domestic" "eager" "earnest" "easy" "familiar" "fearful" "free" "fresh" "friendly" "gay" "general" "generous" "gentle" "grateful" "grave" "handsome" "hasty" "heavy" "honest" "hurried" "impatient" "independent" "indifferent" "indolent" "indulgent" "injudicious" "intimate" "jealous" "joyful" "judicious" "kind" "lively" "loud" "maternal" "melancholy" "mild" "modest" "natural" "noisy" "officious" "open" "partial" "particular" "playful" "pleasant" "proud" "quick" "quiet" "reasonable" "rough" "sad" "sanguine" "scrupulous" "second" "selfish" "sensible" "serious" "severe" "shy" "silent" "simple" "sincere" "slow" "sober" "solemn" "stable" "steady" "strict" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "thorough" "thoughtful" "timid" "true" "uncertain" "ungrateful" "unhappy" "unkind" "unsuspicious" "vain" "worldly" "willing" "weak"
"natural" 2 3 2 3 2 1 3 3 1 7 4 3 4 5 1 4 0 3 6 2 3 4 5 1 5 3 2 1 1 4 0 12 3 2 5 4 2 2 3 2 1 3 3 1 1 1 1 1 2 2 2 7 7 2 1 0 2 2 0 0 2 6 1 4 1 10 1 3 5 3 1 2 1 1 2 1 5 5 2 1 5 4 2 2 1 2 1 2 0 10 2 0 15 5 2 1 1 1 4 9 0 3 4 1 1 1 1 4 2
"noisy" 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 1 1 1 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 1 1 1 1 1 0 1 1 1 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"officious" 0 1 1 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 2 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 1 1 2 1 1 0 0 0 1 0 0 0 1 2 0 0 0 1 0
"open" 2 0 1 0 0 1 1 0 3 2 2 1 2 1 1 3 0 1 2 1 2 3 0 1 2 1 1 1 2 2 0 7 2 3 5 2 2 2 1 2 1 0 1 2 0 0 2 0 1 1 0 4 4 1 1 0 2 0 6 0 0 0 0 3 1 5 0 0 2 1 0 0 1 1 2 1 3 6 0 0 4 0 1 0 1 2 1 3 0 1 4 0 8 1 0 3 0 0 0 3 1 0 2 0 1 1 2 2 0
"partial" 0 1 0 1 1 0 1 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 3 1 1 1 0 0 0 4 0 0 0 0 0 1 0 0 2 0 0 1 1 1 0 0 0 0 0 0 0 2 1 0 0 1 1 0 1 0 0 1 0 2 0 0 1 0 1 1 1 1 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 1 2 1 3 1 1 0 0 0 0 1 0 0 0 2 0 0 0 2 0
"particular" 1 1 1 1 1 0 2 1 1 4 1 1 2 1 0 3 0 1 1 0 0 2 2 1 4 0 0 2 2 2 3 8 1 2 2 1 4 1 2 1 0 2 0 2 1 1 0 5 1 0 1 4 3 2 0 2 2 1 4 0 0 3 1 0 2 2 0 3 4 2 0 1 0 1 4 2 2 2 1 0 3 0 1 0 1 1 1 3 2 3 2 1 10 4 1 1 2 2 1 6 0 1 2 0 0 1 0 1 0
"playful" 0 0 0 0 0 0 1 0 2 1 0 0 1 2 0 0 0 1 2 0 0 0 0 2 2 0 0 0 1 1 1 3 0 1 0 1 0 0 0 1 0 0 0 1 1 0 0 1 2 0 1 1 2 0 0 1 0 0 1 0 0 1 0 2 0 1 0 1 1 2 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 2 0 1 0 1 2 1 0 0 1 1 0 1 0 0 2 0 0 2 0 1 1
"pleasant" 1 2 0 1 0 0 2 2 1 4 4 3 4 5 0 3 2 0 5 0 1 2 4 2 6 0 0 4 5 3 1 15 0 2 5 1 3 2 2 2 2 2 4 2 4 2 0 0 0 1 0 8 7 2 2 3 3 4 10 2 0 5 2 2 1 0 1 5 6 2 1 2 2 1 6 3 5 5 1 1 5 4 2 1 0 0 2 3 0 9 4 3 22 4 4 3 1 1 0 6 1 1 2 1 1 2 1 4 1
"proud" 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 0 1 3 0 0 1 0 1 0 1 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 3 0 2 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"quick" 0 0 0 2 0 1 2 1 3 3 1 1 2 2 1 0 0 1 2 0 0 1 3 1 2 2 0 0 2 2 1 7 0 1 1 1 1 1 0 0 0 1 0 0 1 2 0 1 0 0 2 2 2 0 0 1 2 4 3 0 0 0 0 3 1 5 0 0 2 1 1 2 1 1 2 1 3 5 0 0 2 1 1 0 0 1 0 1 0 4 3 2 10 1 2 0 1 1 0 4 0 0 2 0 0 2 0 2 1
"quiet" 2 4 2 1 1 0 3 0 0 6 3 1 3 2 0 2 0 2 1 0 0 1 0 0 3 0 0 1 1 2 1 9 0 2 1 2 1 1 1 0 2 3 0 2 2 1 0 3 0 0 0 1 1 1 1 3 1 2 5 1 1 2 1 4 1 6 0 2 0 0 1 2 1 0 3 1 5 2 1 0 3 1 0 1 2 0 2 3 1 5 3 1 13 1 4 2 1 3 1 4 0 0 2 1 1 0 1 2 1
"reasonable" 1 0 0 1 0 0 2 0 0 2 2 0 1 2 0 1 0 2 3 1 0 1 0 1 3 1 0 0 0 3 1 5 0 1 0 1 0 0 0 2 0 1 1 1 0 0 0 0 2 1 1 5 1 1 1 0 0 1 3 1 0 1 0 2 2 2 1 1 0 0 0 2 0 1 0 2 0 2 0 0 1 1 0 0 0 0 0 0 0 4 1 1 6 1 0 0 0 0 0 4 0 0 1 1 1 1 1 1 1
"rough" 0 1 0 0 0 0 0 0 0 2 1 0 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 1 2 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 1
"sad" 0 1 1 3 1 0 3 0 0 0 1 0 0 1 0 0 0 1 2 0 0 0 2 1 1 1 1 1 0 3 1 4 0 0 1 1 1 1 1 0 0 1 0 2 0 0 0 0 1 0 0 3 0 1 2 3 0 3 2 0 1 0 1 1 1 2 1 2 2 2 0 0 0 1 2 2 1 2 2 0 1 1 0 0 0 0 1 0 0 4 1 1 5 2 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0
"sanguine" 0 1 0 0 0 1 1 0 1 1 0 0 1 1 1 0 0 0 1 0 0 0 1 0 2 0 0 2 0 0 0 3 1 2 1 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 3 0 1 1 0 1 0 1 0 0 1 1 0 0 2 0 1 1 0 0 0 0 0 0 1 2 3 0 0 0 0 0 1 1 0 0 1 1 2 0 0 5 2 1 0 2 0 0 1 1 1 0 1 0 1 0 0 0
"scrupulous" 0 0 0 2 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 1 0 1 0 1 1 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 1 1 1 0 1 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 1 0 2 1 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0
"second" 0 2 1 0 0 0 2 0 0 2 1 1 2 2 0 0 0 1 2 1 1 0 4 1 0 0 0 1 1 2 0 6 1 2 1 0 2 0 1 1 0 2 1 1 1 0 0 3 0 1 1 1 3 0 0 5 1 0 2 1 0 2 0 4 0 6 1 2 3 0 0 2 0 1 0 3 0 1 1 0 3 3 0 1 0 0 1 2 1 4 1 1 8 4 1 3 0 0 1 4 0 0 1 0 1 3 0 1 0
"selfish" 1 1 0 0 0 0 1 0 0 2 0 0 1 2 0 0 1 0 2 0 1 2 1 1 2 1 0 1 0 1 2 4 1 0 1 1 2 0 2 0 0 0 0 2 1 0 0 1 1 0 1 3 1 0 0 2 1 0 1 1 0 1 1 2 1 3 1 1 1 2 0 2 1 1 3 0 1 1 1 0 0 1 1 0 1 0 0 1 0 4 0 2 3 1 2 1 0 0 1 0 1 1 3 0 0 1 1 1 0
"sensible" 1 1 1 1 0 0 1 1 2 2 1 0 1 1 1 2 0 0 1 1 0 4 1 1 2 1 1 2 0 0 0 5 0 0 4 2 0 2 0 0 1 0 1 1 2 1 1 1 0 0 1 4 3 3 1 0 0 2 5 1 1 3 1 2 0 5 0 3 5 0 0 1 2 0 0 1 0 6 0 0 3 1 2 1 0 1 0 1 1 7 1 0 13 2 3 1 0 0 0 4 0 1 4 1 1 0 1 0 0
"serious" 3 0 1 1 0 2 3 3 3 3 0 0 3 1 2 2 1 2 1 2 1 3 4 1 4 0 2 1 0 3 1 14 1 3 3 2 2 0 0 2 0 1 2 2 0 1 0 1 1 2 1 6 5 0 0 0 1 4 5 1 0 6 0 2 0 5 1 5 2 2 0 2 3 0 1 1 6 0 0 2 6 2 2 0 1 1 0 2 2 10 1 2 15 5 2 1 2 0 0 7 1 0 1 0 2 1 3 0 0
"severe" 0 1 2 0 2 0 1 0 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 3 0 0 0 0 1 1 2 1 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 1 0 2 0 1 0 1 1 0 1 0 0 1 0 0 2 0 0 1 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 1 0 0 1 1 0 0 0 0 0
"shy" 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 1 1 0 1 0 0 0
"silent" 0 0 0 3 0 1 1 3 0 2 1 0 2 2 0 1 1 1 2 0 1 3 2 2 2 0 1 0 0 2 2 9 0 3 1 1 1 1 1 0 0 0 1 2 1 1 1 1 1 2 0 3 3 0 0 3 3 1 5 1 1 4 0 3 1 5 0 2 3 1 0 1 0 0 3 0 3 6 1 1 0 2 1 0 2 0 1 3 0 4 3 0 8 1 1 1 1 2 0 4 1 0 2 0 1 0 1 2 0
"simple" 1 1 0 1 0 0 1 1 0 2 0 1 1 2 0 2 1 0 0 0 1 0 3 1 1 0 0 2 1 1 0 1 0 0 0 1 1 0 1 1 0 1 0 1 0 0 0 1 0 1 0 3 2 1 0 1 0 2 4 1 0 0 0 0 0 4 0 1 1 1 0 1 0 1 3 1 1 2 0 0 2 0 0 0 1 0 0 0 0 3 0 2 7 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0
"sincere" 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 2 0 0 0 1 0 2 0 0 1 0 1 0 2 0 1 0 0 0 0 0 0 0 1 2 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0
"slow" 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 1 2 0 0 1 0 0 0 3 0 1 0 0 1 0 0 0 1 2 0 0 1 1 0 0 0 1 0 0 1 1 1 0 0 0 2 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 1 0 0 1 1 2 0 0 0 1 0 0 0 0 0
"sober" 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 1 1 0 1 0 0 1 0 1 1 0 0 0 2 0 0 0 1 0 0 1 0 1 0 0 2 1 0 0 0 0 0 2 0 1 0 0 3 1 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0
"solemn" 1 0 1 0 0 0 1 0 1 2 0 1 2 3 1 1 0 0 2 1 1 1 1 0 1 0 0 0 0 0 0 2 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 2 0 0 2 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0 4 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0
"stable" 0 1 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 3 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 2 0 0 2 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
"steady" 0 3 0 0 0 1 1 1 1 2 3 2 6 1 1 1 1 1 3 0 1 2 1 1 3 0 0 2 2 1 0 6 0 3 2 1 1 0 0 0 1 2 0 0 2 0 0 2 1 0 0 1 2 0 0 2 1 1 2 2 1 3 1 3 2 3 0 1 3 0 1 0 1 1 2 1 1 2 0 1 3 0 0 0 2 1 2 0 1 1 1 2 4 0 0 1 1 1 1 4 2 0 1 1 0 1 1 2 0
"strict" 0 0 0 0 0 1 0 1 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 1 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0
"strong" 2 2 1 5 0 1 1 1 1 5 2 1 3 5 1 4 0 3 6 1 1 3 3 0 5 3 3 2 1 2 1 16 2 4 2 1 1 2 3 3 0 2 5 2 1 0 0 3 2 0 3 9 8 1 0 2 0 3 10 0 0 1 1 3 1 9 3 4 5 4 0 4 2 1 4 4 7 10 0 0 4 3 0 1 1 0 0 1 0 0 3 2 22 1 1 2 0 0 1 7 1 3 3 2 1 3 0 4 2
"sudden" 0 1 0 1 0 0 0 0 0 3 2 1 2 3 1 0 0 1 2 0 0 1 0 1 4 1 1 0 0 2 1 6 0 1 0 0 2 3 1 1 1 0 0 2 1 0 1 0 0 0 0 3 1 0 0 1 2 2 2 0 1 4 2 2 0 4 0 3 3 1 2 1 0 1 1 0 1 1 1 0 3 0 0 0 0 1 1 1 0 3 0 1 7 1 1 2 0 1 0 0 0 0 2 1 0 1 1 4 2
"sufficient" 1 1 0 1 0 0 1 1 1 3 0 1 2 5 1 0 2 1 1 0 0 1 2 1 2 1 1 1 2 1 4 6 0 0 1 0 3 0 0 0 1 2 0 0 1 0 0 3 0 0 0 1 1 0 0 0 0 2 0 1 1 0 1 1 1 3 2 2 1 1 1 1 0 0 1 2 0 2 0 0 0 2 0 0 0 0 0 2 0 2 1 0 7 0 0 1 0 1 0 2 1 1 0 1 2 1 0 2 0
"sure" 3 4 1 5 2 2 5 4 2 15 7 2 4 11 4 4 0 4 9 3 0 3 6 2 9 2 2 5 6 7 3 37 2 7 5 5 8 4 6 5 2 3 5 3 3 2 2 7 1 3 2 12 6 4 3 8 2 8 15 1 2 8 3 10 2 22 1 10 13 6 2 5 5 2 8 3 13 15 0 0 8 7 2 2 3 4 2 4 3 22 7 7 0 7 5 6 4 4 0 15 1 3 8 3 4 2 3 4 3
"sweet" 2 0 1 1 1 1 1 1 0 1 0 0 0 0 1 1 0 0 3 0 0 2 1 1 3 1 1 1 1 1 1 7 3 2 2 2 3 1 0 1 0 0 1 1 0 1 1 1 1 0 0 4 2 0 0 0 1 1 5 0 1 1 1 4 1 4 0 1 1 1 0 2 2 1 4 1 2 5 1 1 1 0 1 1 1 0 0 0 1 1 1 0 7 0 0 1 1 1 1 2 0 0 2 1 0 1 1 2 0
"tender" 0 1 0 0 0 0 1 0 1 3 1 0 0 2 0 0 0 0 0 0 0 1 1 0 2 0 0 1 0 1 0 5 0 2 0 0 1 0 1 0 1 0 0 0 2 1 0 0 0 0 0 1 0 1 1 1 1 2 2 0 1 0 1 1 0 4 1 2 4 0 1 0 1 0 1 2 3 2 0 0 1 0 1 1 0 0 0 0 0 1 1 0 5 0 0 1 1 1 0 1 0 0 1 1 0 0 1 0 1
"thankful" 0 1 1 0 0 0 1 0 0 1 1 0 1 1 1 0 0 1 0 0 0 1 1 1 2 0 0 0 1 2 0 4 0 0 2 0 1 1 2 1 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 3 0 1 0 3 0 0 2 0 0 1 0 1 3 1 1 1 1 0 1 0 0 0 0 0 0 1 0 2 2 1 6 1 1 0 0 0 0 0 0 1 1 1 1 0 1 1 0
"thorough" 0 0 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 2 1 1 0 1 1 0 0 0 2 0 0 0 0 2 0 0 1 0 0 0 1 0 0 1 0 0 0 0 4 1 1 0 0 1 0 2 0 0 1 0 0 0 0 0 0
"thoughtful" 0 0 0 0 0 0 0 0 0 2 1 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 3 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 2 1 1 0 1 3 0 1 1 0 0 0 0 0 0 0 0 2 0 0 1 1 0 0 1 1 0 1 1 4 1 1 0 1 0 0 1 0 1 1 0 0 0 0 0 1
"timid" 0 1 1 0 1 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 2 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 4 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 1 0 1 2 1 0 0 0 1 0
"true" 0 1 0 5 1 1 2 3 2 2 2 1 4 2 1 2 2 0 6 1 2 3 3 1 6 1 0 1 1 2 1 11 0 3 2 1 0 1 1 1 1 3 4 1 0 1 1 3 0 2 1 6 2 1 0 2 0 2 9 1 0 3 1 6 1 6 1 4 4 4 0 1 1 1 4 0 4 7 1 1 4 1 0 2 1 1 0 4 2 7 0 2 15 2 1 0 2 1 1 0 1 0 1 0 3 1 2 0 0
"uncertain" 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 1 1 2 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 1 0 0 0 1 0 0 2 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"ungrateful" 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 3 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 3 0 1 3 0 0 1 0 1 1 0 0 0 1 0 0 0 0 2 0
"unhappy" 0 1 2 0 1 0 0 0 1 1 1 0 0 2 1 0 0 1 1 1 0 2 0 1 2 0 0 0 0 1 0 3 2 1 1 2 2 2 1 1 0 0 0 0 1 0 2 1 1 0 2 2 2 0 0 2 0 1 4 0 1 2 0 2 2 2 0 2 2 1 0 1 0 0 1 3 4 1 1 1 2 0 2 0 1 1 0 1 0 3 2 0 8 2 1 1 1 1 2 1 0 1 0 1 0 2 1 1 1
"unkind" 0 1 1 1 1 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 2 1 0 0 0 1 1 0 0 2 1 0 0 1 1 1 0 0 0 0 1 1 1 1 0 0 1 1 0 2 0 2 0 0 1 0 0 1 1 1 0 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 1 0 2 1 1 3 1 1 1 0 0 1 0 0 0 1 0 0 2 0 2 0
"unsuspicious" 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 1 0 1 2 0 0 1 1 0 0 0 0 0 0 0 1 0 2 4 0 0 1 0 0 0 3 0 0 0 0 0 0 1 0 0
"vain" 0 0 0 1 0 0 0 0 1 0 0 0 2 2 0 0 0 1 2 0 0 0 1 1 1 0 1 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1 1 0 1 0 0 0 1 1 1 2 3 0 0 1 0 0 1 0 0 1 0 1 2 2 0 2 0 1 0 1 1 0 3 1 0 1 0 1 0 0 0 0 0 0 0 1 0 3 1 1 2 1 0 0 0 0 0 1 0 0 2 2 0 0 0 1 1
"worldly" 1 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 1 0 3 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 2 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 3 0 0 1 0 1 0 0 0 0 1 0 0 1 0 3 1 1 1 0 0 0 2 0 0 1 0 1 0 0 0 0
"willing" 0 1 0 1 0 0 0 0 1 2 0 0 2 1 1 0 0 0 1 0 0 1 0 2 2 2 2 0 1 1 0 5 2 2 1 0 0 1 1 0 1 0 1 1 2 0 0 0 0 1 1 1 1 0 1 1 0 2 4 0 1 2 2 1 1 4 0 2 2 1 1 1 0 2 1 1 0 0 0 0 2 1 0 0 0 1 1 2 0 4 4 2 4 2 0 1 0 0 1 0 0 2 1 2 0 1 0 0 0
"weak" 0 0 0 0 0 0 0 0 0 2 1 0 0 2 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 2 0 0 0 1 0 2 0 0 0 0 0 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 3 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0
