"active" "affectionate" "awkward" "bitter" "boastful" "bold" "brave" "busy" "calm" "careful" "careless" "certain" "cheerful" "christian" "clean" "close" "cold" "confidential" "conventional" "cool" "cruel" "curious" "delicate" "determined" "dignified" "direct" "domestic" "eager" "earnest" "easy" "emphatic" "exact" "expressive" "faithful" "familiar" "fierce" "free" "fresh" "friendly" "gallant" "general" "generous" "gentle" "giddy" "gloomy" "gracious" "grateful" "grave" "greedy" "handsome" "heavy" "honest" "hopeful" "hospitable" "humble" "impatient" "impertinent" "independent" "indifferent" "industrious" "inquisitive" "insolent" "intimate" "jealous" "kind" "literary" "lively" "lofty" "lonely" "magnanimous" "majestic" "maternal" "melancholy" "mercenary" "methodical" "mild" "modest" "natural" "neat" "nervous" "observant" "open" "orderly" "original" "particular" "passionate" "patient" "peaceful" "playful" "pleasant" "polite" "practical" "proud" "punctual" "quick" "quiet" "reasonable" "reckless" "responsible" "romantic" "rough" "rusty" "sad" "scornful" "second" "selfish" "sensible" "sensitive" "serious" "severe" "shy" "silent" "simple" "slow" "smooth" "social" "soft" "solemn" "stable" "stately" "steady" "stern" "stiff" "straight" "strict" "strong" "sudden" "sufficient" "sure" "suspicious" "sweet" "sympathetic" "tender" "thankful" "thoughtful" "tight" "timid" "true" "uncertain" "ungrateful" "unhappy" "unsteady" "vague" "vain" "violent" "virtuous" "watchful" "weak" "willing" "wise"
"generous" 1 0 0 0 0 0 0 2 0 2 1 6 0 1 0 0 1 1 0 1 2 2 3 1 0 1 1 0 2 3 0 1 0 0 2 0 2 1 1 1 0 0 2 0 0 2 2 2 0 1 1 1 0 0 0 2 0 2 1 0 0 0 1 1 4 2 0 1 0 2 0 0 0 2 0 0 0 4 0 1 0 2 0 0 1 1 2 0 1 1 1 0 2 0 1 1 1 0 0 0 0 1 0 0 2 0 0 3 1 2 0 2 0 1 1 1 1 0 0 2 0 0 0 0 1 3 0 0 8 1 1 1 0 3 1 0 0 7 0 1 2 0 0 2 0 0 0 1 0 0
"gentle" 1 0 0 0 0 0 0 2 0 0 0 5 1 0 1 2 1 1 0 0 0 0 4 1 0 0 0 1 1 2 1 1 1 1 0 0 0 0 0 0 3 2 0 0 0 2 0 1 0 1 1 0 0 1 1 0 0 1 0 1 1 0 0 1 1 0 1 1 0 1 0 0 1 0 1 1 0 2 0 1 0 2 0 1 0 0 1 0 1 1 3 0 0 0 1 4 0 0 0 1 1 0 0 0 3 1 1 1 0 0 0 1 0 2 0 1 0 1 0 1 0 0 0 0 0 1 0 2 6 1 0 1 0 2 0 1 0 2 1 0 0 0 0 1 0 1 1 2 1 0
"giddy" 0 1 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 2 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 1 0 2 0 1 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 2 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 4 0 0 0 1 0 0 0 1 4 1 0 0 1 0 0 0 0 0 2 0 1
"gloomy" 1 0 0 1 0 1 1 0 1 0 1 5 0 0 0 0 2 2 1 1 1 2 2 1 1 1 1 0 0 0 0 2 0 1 2 0 3 2 1 1 6 0 0 0 0 1 1 0 1 1 1 1 1 0 1 0 2 1 0 0 2 1 0 1 0 1 0 1 1 0 2 0 2 0 0 0 1 6 0 0 1 3 0 1 1 0 1 0 1 0 2 1 2 1 3 2 0 1 0 1 1 1 0 0 2 1 1 0 1 1 2 3 1 1 1 1 1 0 0 0 0 0 1 0 0 4 1 0 7 1 1 2 1 1 1 0 1 6 1 1 1 1 2 0 0 1 0 1 2 3
"gracious" 0 0 0 1 1 3 1 0 0 1 0 6 3 0 1 0 2 2 0 0 1 1 4 0 1 1 2 1 1 2 1 2 2 0 1 1 2 1 0 2 2 2 2 2 1 0 1 1 0 2 1 2 0 1 0 1 0 0 1 0 1 0 0 2 1 1 1 1 0 0 1 0 0 2 1 1 1 5 1 2 0 5 1 2 2 0 1 0 1 1 0 1 4 0 1 4 0 1 0 0 0 1 0 1 2 0 1 1 1 1 0 2 1 1 0 1 1 0 1 1 1 2 0 0 1 4 1 0 9 1 3 0 1 1 1 0 2 6 0 0 0 0 1 0 1 0 1 3 0 1
"grateful" 0 0 1 1 0 1 1 1 0 1 0 2 1 1 3 2 1 0 0 0 1 0 1 0 1 0 2 0 0 1 1 0 2 1 1 1 2 2 0 0 4 2 0 0 1 1 0 0 1 2 0 3 1 0 1 1 0 1 1 1 0 1 0 0 3 0 0 0 0 0 1 0 1 2 0 0 0 1 0 0 1 5 0 0 2 1 1 1 0 1 0 2 4 0 2 4 0 0 1 1 0 0 0 0 1 0 0 1 2 0 0 1 1 1 0 1 1 1 0 2 1 0 0 1 0 6 0 1 9 4 1 2 0 2 1 0 0 6 0 0 0 0 0 1 0 0 0 1 1 0
"grave" 0 0 0 0 0 0 0 0 1 2 0 4 0 3 0 1 1 2 0 1 0 0 2 0 0 0 0 0 2 2 0 0 0 0 0 1 3 0 0 0 0 2 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0 1 1 0 1 0 1 1 0 1 2 0 2 0 0 1 0 0 1 0 0 0 0 0 1 0 1 1 0 1 1 0 0 4 1 0 0 0 0 0 2 0 2 1 0 0 1 0 0 0 1 0 0 2 3 1 0 4 0 0 0 0 1 1 0 0 4 0 2 0 1 0 0 0 1 0 3 1 0
"greedy" 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 1 1 0 0 0 1 2 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 2 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 3 3 0 0 1 0 0 0 0 4 1 0 0 1 0 1 0 0 0 2 1 0
"handsome" 1 1 1 0 1 2 0 1 0 2 0 8 0 0 0 2 3 1 1 3 1 1 3 2 0 0 3 1 3 1 0 0 4 0 1 0 3 1 2 1 4 1 1 0 1 2 2 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 1 1 1 1 1 0 0 0 0 0 1 0 1 1 0 3 1 0 0 6 0 0 1 0 2 1 0 1 0 0 1 1 0 1 0 0 0 1 0 2 0 0 0 0 1 0 1 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 2 2 0 6 2 4 0 0 3 2 0 2 3 0 0 0 0 1 1 0 0 2 1 0 0
"heavy" 0 1 0 3 0 0 1 0 1 0 1 14 4 4 2 7 8 0 0 1 2 3 4 1 0 2 2 2 0 4 1 1 2 3 0 2 4 1 3 2 6 1 1 1 1 1 0 0 1 1 0 2 1 0 0 2 1 0 0 0 1 0 0 2 3 1 3 0 2 0 1 1 1 0 1 0 0 5 3 1 0 5 0 2 3 2 1 0 2 3 1 1 3 1 2 3 0 1 1 0 2 2 2 0 4 1 1 0 2 0 0 3 1 2 0 0 2 0 1 1 2 0 3 1 0 4 2 0 14 1 4 0 1 1 4 1 2 7 0 1 0 0 2 1 2 0 1 3 1 1
"honest" 0 1 0 0 1 2 0 2 1 3 1 10 1 0 4 2 5 1 1 4 2 4 0 2 1 0 1 1 1 3 0 1 1 3 0 2 4 4 2 2 4 1 0 0 1 2 3 1 0 1 2 0 1 1 2 1 0 2 2 2 1 0 0 1 3 0 1 1 1 0 1 1 0 3 1 1 6 2 3 1 1 7 1 5 2 0 3 3 1 2 0 0 4 0 3 4 1 1 0 0 3 2 1 1 8 1 0 0 2 2 0 6 1 3 2 1 2 2 0 0 3 0 1 2 0 8 0 1 5 3 2 1 0 1 0 1 2 8 0 1 0 2 2 0 1 1 0 1 1 2
"hopeful" 0 0 0 0 1 0 1 1 1 0 1 3 0 0 1 1 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 3 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 2 0 1 0 0 0 1 0 0 2 1 1 4 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 3 0 0 4 0 1 1 0 0 0 0 0 3 0 0 1 0 0 0 0 0 1 0 1 0
"hospitable" 0 0 1 0 0 1 0 0 0 0 0 4 1 0 0 3 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 2 0 2 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 2 0 0 1 2 1 0 0 0 0 1 0 0 0 2 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 2 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
"humble" 1 1 0 0 0 1 0 1 0 0 0 4 0 0 2 1 3 2 0 0 0 0 0 0 1 0 1 0 0 1 0 0 2 0 1 0 1 0 1 0 2 0 1 0 1 0 1 0 0 1 0 2 0 0 0 0 0 2 0 1 0 0 0 0 1 0 1 0 1 0 1 2 1 0 0 0 1 2 0 0 1 2 2 0 2 0 1 1 0 1 2 0 1 0 1 3 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 1 0 2 0 1 1 2 7 1 0 0 0 1 1 0 0 2 1 0 1 0 0 1 0 2 1 1 1 1
"impatient" 0 0 0 0 0 0 1 0 1 1 0 3 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 1 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 3 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 2 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0
"impertinent" 0 0 0 0 0 0 0 0 0 0 2 6 0 0 0 1 1 0 0 0 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 2 1 0 2 0 0 1 0 0 2 0 1 1 0 0 0 4 0 1 0 0 0 0 3 0 0 0 0 0 0 0 2 0 1 4 0 0 0 1 0 0 0 0 2 0 0 0 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 2 1 0 4 0 0 2 0 0 1 0 1 0 0 0 1 1 1 0 1 0 1 0 2 2
"independent" 1 0 0 0 0 1 1 2 0 1 1 4 0 0 1 1 2 0 0 0 0 0 1 0 1 0 0 1 0 0 0 2 1 0 0 1 1 1 0 2 3 2 1 0 1 0 1 0 0 0 0 2 0 0 2 0 1 0 0 1 1 0 0 0 2 0 0 0 1 0 2 1 1 0 0 0 0 0 0 0 1 1 1 1 3 0 0 0 0 1 1 1 2 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 4 0 0 1 0 1 0 1 1 1 0 0 1 0 0 0 0 1 0 1 2 1
"indifferent" 0 0 0 0 1 0 1 0 0 1 1 3 0 0 0 1 2 1 0 0 1 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 2 2 1 0 0 1 0 1 0 1 1 1 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 2 3 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 2 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 2 2 0 0 2 0 0 0 0 1 0 0 1 4 0 0 0 0 0 0 0 0 0 4 0 2
"industrious" 1 0 0 0 0 0 0 2 0 0 1 4 2 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 2 0 0 0 1 0 1 1 2 0 0 0 0 1 0 0 0 1 0 0 1 0 2 0 0 1 0 1 1 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 1 0 0 1 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 2 0 0 5 0 1 1 0 0 0 0 1 0 1 1 0 1 0 0 0 1 0 2 1 0
"inquisitive" 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 1 0 0 0 1 1 0 0 0 3 0 0 0 0 0 1 0 2 1 0 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 2 1 0 2 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 1
"insolent" 0 0 1 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 2 0 0 0 1 0 1 0 0 1 0 0 0 2 0 0 0 2 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 4 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0 1 1
"intimate" 0 0 0 0 0 0 0 1 0 0 0 4 1 0 0 0 1 1 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 3 0 1 0 0 1 1 0 0 0 0 0 0 1 2 1 0 1 0 0 1 0 2 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 2 0 0 0 0 1 1 0 0 0 0 0 2 1 0 0 0 0 0 1 2 1 3 0 2 0 0 0 0 0 0 3 0 1 0 0 1 0 1 0 0 1 0 3
"jealous" 1 2 0 0 1 0 1 0 0 0 0 7 1 0 0 0 0 1 0 1 0 2 2 1 0 0 0 0 2 1 0 1 1 0 0 1 1 1 1 0 4 1 1 2 1 2 0 1 0 1 2 1 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 1 0 1 0 0 1 0 0 0 3 1 0 1 0 0 1 0 1 0 1 1 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 2 0 6 0 2 0 0 1 0 0 2 3 0 0 0 0 1 0 0 0 0 1 2 0
"kind" 0 2 0 1 1 0 1 3 0 3 0 10 1 1 2 2 5 0 1 0 0 2 1 1 1 1 1 0 0 1 3 0 2 1 1 0 3 6 1 0 2 4 1 1 0 1 3 1 0 1 3 3 0 0 1 0 2 2 2 1 0 2 3 1 0 1 0 2 0 1 1 1 0 1 1 0 0 5 2 1 1 5 0 3 3 0 1 1 1 3 1 1 4 1 3 5 0 0 1 0 1 0 4 1 2 3 1 2 2 0 0 3 2 2 1 1 1 0 1 4 1 0 0 1 1 4 2 1 12 0 2 1 0 4 2 1 0 5 0 1 0 0 2 0 0 0 2 4 1 4
"literary" 0 0 1 0 0 2 0 1 0 1 0 7 3 0 1 0 1 2 0 0 0 1 1 2 0 1 0 0 0 3 0 2 1 0 2 0 3 1 5 0 4 2 0 0 1 1 0 0 0 1 1 0 0 2 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 1 1 0 1 1 0 0 0 8 1 2 2 0 1 0 0 2 0 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 1 1 0 1 0 0 1 0 2 0 0 3 0 0 6 0 0 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 0 1 0 1
"lively" 1 0 0 1 0 0 0 0 0 0 0 5 1 0 2 1 2 1 1 0 0 0 1 0 1 0 2 0 0 0 1 0 0 1 0 0 1 0 0 1 4 0 1 0 0 1 0 0 0 1 3 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 3 0 1 2 0 1 1 1 3 0 0 1 0 1 2 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 5 1 1 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 2
"lofty" 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 2 1 0 1 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 1 0 2 0 0 0 0 0 1 0 0 2 0 2 2 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 2 0 1 0 1 0 0 0 2 0 1 0 0 0 1 0 1 2 0 0 2 0 1 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0
"lonely" 1 1 1 0 0 0 0 0 0 0 1 4 2 0 0 1 4 0 0 0 1 0 0 0 0 0 0 0 0 2 0 1 2 0 2 1 1 1 1 0 1 0 0 1 1 0 0 0 0 0 2 1 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 4 1 0 3 1 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 2 0 0 0 0 0 1 2 0 1 1 0 1 0 0 0 0 0 1 0 0 3 0 0 3 0 0 1 0 1 0 2 1 3 0 0 0 1 0 0 0 1 0 1 0 0
"magnanimous" 0 0 0 0 1 0 0 0 0 1 0 2 1 0 1 0 1 2 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 3 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 3 0 0 0 0 1 0 1 0 2 1 1 0 0 0 0 0 0 0 1 0 1
"majestic" 0 2 0 0 1 1 1 0 0 0 0 4 3 1 0 1 1 0 2 1 0 2 0 0 2 1 3 0 0 1 0 1 6 0 0 1 0 0 0 0 0 0 0 2 2 1 1 0 0 0 1 1 0 0 1 0 2 2 0 0 0 1 1 1 1 0 0 1 1 1 0 1 3 0 0 0 2 2 1 0 0 1 0 1 2 1 0 0 1 3 1 0 1 0 1 4 0 0 1 0 0 1 0 1 1 0 1 0 1 0 1 1 0 1 1 1 1 0 0 2 0 0 0 1 0 3 1 0 7 0 0 1 0 0 1 1 2 4 2 0 1 0 1 0 0 0 0 2 1 1
"maternal" 0 1 1 0 0 0 0 0 0 0 0 2 0 1 1 1 0 0 0 0 0 0 1 0 1 0 2 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 2 1 0 0 1 1 2 2 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"melancholy" 0 0 0 0 1 0 0 0 1 1 0 3 2 0 0 1 1 1 1 1 1 1 0 0 0 1 0 1 1 2 0 1 3 0 2 0 2 0 1 0 2 0 1 1 2 0 1 1 0 1 1 0 1 0 1 0 1 1 1 0 1 0 0 0 0 1 0 0 0 1 3 0 0 0 0 1 1 2 1 1 0 7 0 5 1 0 1 1 0 3 1 0 3 0 0 1 0 1 1 1 1 0 0 1 3 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 1 0 0 5 0 0 8 0 0 0 0 1 0 1 0 4 1 1 2 0 0 1 0 0 0 5 2 1
"mercenary" 0 0 0 1 0 1 0 0 0 0 1 4 2 0 1 0 2 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 2 0 0 0 2 2 1 0 0 0 3 0 1 0 1 1 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 2 0 0 1 0 1 2 0 0 2 1 0 0 0 0 0 0 1 0 0 1 1 2 1 0 2 0 0 0 0 1 0 0 0 1 0 0 0 1 4 0 0 4 2 2 2 0 1 0 0 1 3 0 0 1 0 0 0 0 1 1 2 1 0
"methodical" 1 0 1 0 0 0 0 1 1 1 0 5 0 0 2 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 3 0 1 0 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 3 2 2 0 1 0 1 1 1 1 0 2 0 0 1 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0
"mild" 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 1 0 1 0 1 1 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 1 3 0 0 2 0 0 0 1 1 0 0 0 3 1 0 0 2 0 0 0 0 0 3 0 0
"modest" 0 1 0 0 0 1 1 1 0 1 0 6 1 1 0 1 1 1 2 2 1 1 0 1 1 0 4 0 0 4 0 1 1 2 0 0 4 4 1 0 3 0 0 1 1 1 0 0 0 0 0 6 1 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 2 1 1 0 0 0 0 1 3 0 0 3 1 3 3 0 1 1 0 2 1 0 3 2 2 2 1 0 1 1 1 1 0 1 2 1 0 0 1 1 1 2 0 0 1 3 0 1 0 0 0 0 0 0 0 2 0 1 2 0 2 0 0 1 1 0 0 5 0 1 0 0 1 0 0 0 0 1 0 1
"natural" 1 2 0 1 2 2 1 1 1 1 0 13 4 1 4 2 6 3 0 1 3 3 4 0 0 2 4 0 2 10 0 1 3 1 2 0 4 5 1 0 3 4 2 1 6 5 1 1 0 3 5 2 0 2 2 1 4 0 1 0 1 2 1 3 5 1 1 2 0 3 2 2 2 2 1 0 1 0 1 0 2 3 0 4 5 2 1 1 2 3 2 2 7 3 3 9 1 0 0 0 1 0 0 2 8 3 1 0 2 1 2 3 3 3 0 3 0 0 0 4 1 1 2 0 1 6 2 1 17 2 4 2 3 1 2 1 1 8 0 3 1 1 3 0 2 0 0 2 3 2
"neat" 1 2 2 0 1 1 0 0 1 1 0 8 1 0 1 0 1 1 1 1 0 0 0 0 0 0 2 1 1 4 0 1 1 2 0 0 2 3 1 0 3 0 0 0 0 1 0 1 0 1 3 3 0 0 0 1 0 0 0 0 0 0 2 1 2 0 1 0 0 1 1 1 1 0 3 0 3 1 0 0 0 6 0 2 2 1 1 1 0 1 0 0 0 0 1 0 1 0 1 0 1 1 2 2 1 0 0 0 0 0 0 3 0 0 0 1 0 0 1 0 0 0 1 0 0 0 2 0 4 0 1 0 1 0 1 1 0 2 1 0 0 0 1 0 1 0 0 2 0 0
"nervous" 0 0 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 2 1 1 0 0 2 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 4 0 0 1 0 0 0 0 0 0 0 1 0
"observant" 0 0 0 0 0 0 1 1 1 1 0 4 0 1 2 2 2 3 0 0 0 1 0 1 0 0 1 0 1 2 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 1 1 0 0 1 2 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 2 0 2 0 0 0 0 0 0 0 1 1 0 2 1 1 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 2 3 0 1 3 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 2 0 1
"open" 1 5 5 4 0 4 0 3 2 3 1 21 4 4 6 4 8 2 0 6 1 2 1 2 0 2 2 3 0 10 2 5 8 2 6 4 6 4 6 1 8 2 2 1 3 5 5 2 1 6 5 7 0 2 2 1 0 1 3 0 2 2 1 0 5 8 3 1 4 0 1 1 7 1 3 1 3 3 6 0 2 0 2 7 7 2 1 2 0 6 1 1 3 1 5 6 1 1 3 2 4 3 1 0 11 2 2 2 1 1 1 7 2 4 5 3 2 1 2 1 1 1 3 0 1 12 2 1 29 6 6 0 3 4 5 1 1 15 0 1 0 1 0 5 3 3 1 7 1 2
"orderly" 0 0 0 0 0 0 0 1 0 0 0 2 0 0 2 1 1 0 0 0 0 1 0 0 0 0 1 0 0 2 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 1 2 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 2 0 1 0 0 0 0 2 0 1 2 0 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 2 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
"original" 0 1 0 1 0 1 0 2 3 2 0 7 0 2 1 3 3 0 1 2 0 3 2 3 0 1 2 0 2 3 2 2 3 1 3 1 3 4 0 0 4 0 1 0 1 2 0 2 2 0 2 5 2 0 0 0 0 1 0 1 0 0 0 1 3 2 1 2 0 0 1 2 5 0 2 0 3 4 2 0 2 7 1 0 1 1 0 1 0 3 1 0 3 1 0 2 3 1 1 1 2 0 0 1 5 2 1 0 1 1 0 4 0 2 1 1 1 1 0 2 1 0 0 1 1 5 1 1 9 0 2 2 1 2 1 1 1 6 0 1 0 1 0 1 0 0 2 5 2 0
