"affectionate" "bold" "busy" "calm" "certain" "cheerful" "clean" "close" "cold" "confidential" "constant" "cruel" "curious" "delicate" "domestic" "earnest" "easy" "expressive" "faithful" "familiar" "fierce" "free" "fresh" "friendly" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "haughty" "heavy" "honest" "hopeful" "hopeless" "humble" "imperious" "indifferent" "jealous" "kind" "lively" "lofty" "lonely" "loud" "melancholy" "mild" "modest" "natural" "open" "original" "particular" "patient" "pleasant" "polite" "proud" "quick" "quiet" "rough" "sad" "second" "sensible" "serious" "severe" "silent" "simple" "slow" "smooth" "social" "soft" "solemn" "sorrowful" "stately" "steady" "stern" "stiff" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thoughtful" "tight" "timid" "tough" "true" "ugly" "unhappy" "vague" "violent" "watchful" "weak"
"severe" 2 1 0 2 3 1 1 1 5 1 1 0 1 1 1 3 2 2 1 0 0 4 1 2 5 1 1 0 0 1 1 1 2 1 0 4 0 0 0 1 0 2 0 3 0 0 1 0 4 1 1 0 2 0 3 0 1 2 4 0 2 2 2 4 0 0 0 4 1 3 0 0 2 3 0 1 0 0 2 4 2 2 5 3 0 1 1 1 2 5 1 1 4 2 1 5
"silent" 5 6 4 2 14 1 2 7 11 0 1 1 5 3 2 6 4 1 2 2 3 7 4 4 11 2 0 8 4 4 5 2 2 8 2 6 2 1 3 3 3 1 4 10 2 2 5 1 6 4 4 8 7 2 10 3 4 1 14 8 11 1 3 8 4 3 4 0 2 3 3 2 7 5 4 6 4 1 2 10 2 2 23 8 4 7 3 4 4 13 1 4 3 6 2 6
"simple" 0 0 3 1 2 2 3 1 6 0 2 2 0 2 2 1 2 1 1 1 1 4 2 1 5 2 2 10 0 3 2 2 1 3 0 6 1 1 0 1 0 2 0 5 1 0 2 3 3 1 3 7 1 2 3 1 1 0 6 0 6 2 1 3 0 0 1 2 0 2 1 1 3 3 1 2 0 1 0 2 0 2 7 7 3 1 2 2 1 4 0 1 2 1 0 0
"slow" 0 2 2 2 6 1 0 4 4 2 1 1 1 2 0 1 3 0 0 2 1 1 4 1 7 1 1 1 0 2 3 2 1 4 0 2 3 0 0 1 0 0 3 4 0 1 2 1 1 3 2 5 3 2 4 1 1 1 4 1 3 1 1 3 3 0 3 3 2 0 1 0 1 1 1 5 1 0 2 4 1 1 6 3 1 5 2 2 1 5 1 0 0 1 0 2
"smooth" 0 2 3 3 3 0 2 2 3 5 0 2 1 0 2 1 3 0 1 2 2 1 1 3 6 0 0 2 0 2 0 0 0 2 2 2 2 2 0 0 1 3 0 2 1 1 2 0 0 0 0 2 0 1 2 0 1 0 5 1 4 3 1 3 2 0 0 3 1 1 0 1 5 1 0 1 3 0 0 4 3 0 3 4 0 1 0 0 1 2 1 0 1 2 3 2
"social" 0 0 0 0 4 1 0 3 6 1 1 1 0 1 1 0 2 1 1 0 1 3 0 3 8 1 2 1 0 0 0 0 2 4 3 3 0 0 0 0 1 3 0 2 2 0 2 1 0 1 0 4 4 3 4 2 0 0 3 1 1 2 0 4 1 1 0 2 1 0 1 0 2 2 1 1 1 1 0 1 1 1 7 2 1 1 1 2 2 0 3 1 1 1 1 0
"soft" 3 1 4 2 6 2 2 1 8 3 1 2 0 2 1 4 3 1 0 2 2 4 1 3 9 2 0 9 2 6 1 1 0 5 4 4 1 0 0 3 2 1 1 1 3 3 2 1 5 1 1 5 4 1 2 1 3 0 9 5 6 1 1 6 3 1 2 7 3 1 5 2 0 4 0 4 4 1 1 5 3 2 11 8 3 1 1 1 0 6 2 3 3 1 4 3
"solemn" 2 1 2 4 4 6 3 1 10 1 2 3 2 1 1 1 4 0 1 2 3 7 5 0 8 1 3 6 2 4 2 1 4 3 3 5 2 1 2 2 0 2 1 3 0 2 0 2 3 2 3 6 8 1 4 1 2 2 2 3 7 1 3 9 1 0 3 5 3 1 1 2 4 0 1 4 2 1 3 7 2 1 13 6 1 1 1 5 1 6 2 0 2 3 1 7
"sorrowful" 1 1 0 1 2 1 0 2 2 0 1 1 1 0 0 3 0 1 1 0 1 4 1 2 3 2 0 2 1 0 2 2 0 0 0 2 1 1 1 1 1 1 1 2 1 0 3 1 2 0 3 5 2 0 1 1 3 1 3 2 4 1 1 2 2 1 0 4 1 1 0 1 0 1 0 0 1 0 0 0 2 0 7 3 0 1 1 1 0 4 0 0 1 0 1 1
"stately" 3 3 0 3 8 2 0 2 11 3 1 1 1 3 1 5 1 3 1 2 1 4 2 1 9 0 2 1 1 2 1 2 2 9 4 2 2 1 1 1 2 2 0 3 0 1 3 0 3 1 1 5 8 2 4 0 3 1 13 2 7 1 0 2 1 3 1 6 2 5 1 1 4 4 0 0 2 3 0 9 6 0 8 3 0 3 1 2 2 5 1 2 2 2 1 3
"steady" 1 0 1 0 3 0 2 2 4 2 1 3 1 1 1 2 3 2 0 0 0 1 0 2 4 0 0 1 0 2 1 1 2 2 2 0 2 1 0 1 2 1 0 3 1 0 3 0 1 1 0 5 2 0 2 1 3 0 5 3 2 1 2 2 2 0 0 4 0 1 3 1 4 2 1 2 0 0 0 4 1 1 14 2 2 1 2 0 0 4 0 3 2 1 1 2
"stern" 2 1 1 0 1 2 0 2 3 0 0 1 1 2 0 2 1 2 0 0 0 4 0 0 3 0 1 4 0 0 1 1 1 3 2 1 1 1 0 1 0 1 0 3 1 0 1 0 2 0 2 5 6 0 3 0 1 1 4 0 3 0 1 2 0 2 0 1 1 0 0 1 1 1 0 3 0 0 0 2 0 1 2 2 2 0 0 1 0 5 0 1 2 2 0 2
"stiff" 1 2 2 2 4 3 0 2 5 2 1 1 0 1 0 0 2 0 0 2 0 4 1 1 4 0 0 1 1 0 0 1 1 0 2 4 2 1 0 0 1 0 2 0 1 1 1 1 3 3 0 2 4 0 3 0 1 1 3 0 2 2 1 1 1 1 2 2 0 2 0 0 1 3 0 0 0 0 0 1 1 1 5 1 0 2 1 0 1 2 0 3 0 1 1 1
"strong" 1 6 5 2 14 5 2 5 13 4 6 5 5 5 3 6 9 2 1 1 3 10 6 2 16 1 4 8 4 2 2 5 1 8 3 13 6 4 4 3 4 1 2 9 2 3 5 2 6 3 4 8 15 3 4 2 5 2 11 5 9 3 1 10 1 4 4 10 2 4 4 1 5 7 0 9 4 2 1 0 6 4 20 10 1 7 1 6 1 12 2 2 6 7 3 12
"sudden" 3 2 2 5 11 0 2 3 6 2 2 3 3 1 2 4 3 2 2 1 3 1 0 2 7 0 1 3 0 0 1 0 1 5 3 1 2 1 1 1 2 3 0 2 1 0 3 1 6 2 0 5 7 1 3 3 2 3 7 5 8 1 2 7 0 0 2 2 0 1 3 1 3 2 2 6 1 0 1 6 0 2 10 3 0 4 2 2 3 5 3 1 2 4 1 7
"sufficient" 0 1 1 0 3 1 1 2 5 1 0 2 0 2 1 2 2 3 0 2 2 3 1 0 2 1 0 2 0 0 0 1 0 2 5 1 1 0 2 2 0 1 2 0 0 1 1 0 1 4 0 3 1 2 2 1 1 1 2 2 1 0 0 3 0 0 2 2 2 1 0 1 2 1 0 0 1 1 1 4 2 0 7 2 0 2 0 0 0 3 0 1 2 2 0 1
"sure" 4 5 11 1 22 5 6 15 19 9 6 7 11 7 6 10 13 11 4 5 5 13 6 13 28 7 0 14 2 5 12 12 11 10 5 12 13 2 9 6 2 7 7 20 7 2 7 4 13 8 1 23 18 5 20 4 8 2 25 14 21 8 8 20 7 6 5 23 7 6 3 7 11 13 7 8 14 2 5 20 10 7 0 19 4 10 8 4 4 28 5 8 7 7 8 12
"sweet" 5 4 5 5 7 6 5 4 11 1 5 3 3 5 3 3 8 3 3 4 2 8 3 2 13 0 2 11 0 5 9 6 1 4 5 13 4 3 2 3 1 3 2 12 2 1 6 1 5 3 5 8 12 2 8 3 8 3 11 2 16 3 5 6 4 3 3 8 7 3 4 2 8 6 3 3 2 2 1 10 3 2 19 0 1 4 0 2 2 12 1 1 3 4 1 8
"tender" 1 3 1 1 2 1 1 2 3 0 0 0 3 1 1 2 1 2 2 0 0 1 1 1 3 0 0 4 0 1 1 2 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 3 0 2 3 1 1 2 1 2 0 4 2 2 0 2 3 2 2 0 4 3 1 0 1 3 1 0 0 2 2 0 1 0 0 4 1 0 0 2 0 1 3 0 1 0 1 0 2
"thoughtful" 1 2 4 2 8 2 1 2 6 0 2 3 1 1 0 3 4 0 1 2 1 5 2 1 5 0 0 4 0 0 1 2 1 5 0 5 0 1 2 1 1 2 1 6 1 0 3 0 0 5 2 4 7 1 2 1 5 1 6 4 9 3 1 4 1 2 1 7 1 5 1 1 1 1 1 3 1 0 2 7 4 2 10 4 0 0 1 2 1 3 0 0 0 2 1 1
"tight" 0 2 0 2 2 2 1 3 5 1 0 1 1 0 0 3 0 1 1 1 1 1 2 2 1 0 0 0 1 2 2 0 2 2 1 1 1 0 1 1 0 0 1 2 2 0 1 2 2 1 1 2 1 0 3 1 2 1 6 1 3 1 2 0 1 1 1 3 2 2 0 1 1 1 1 1 2 0 1 1 2 0 8 0 2 1 0 0 1 4 0 1 2 3 0 1
"timid" 0 3 2 0 3 1 0 5 5 0 2 2 1 1 1 0 3 1 0 0 1 5 4 1 7 0 1 4 3 0 1 0 1 4 0 5 1 1 1 3 0 0 1 2 1 0 3 1 1 0 1 5 4 0 2 2 1 0 3 1 4 3 3 2 1 0 1 4 2 2 0 2 1 5 1 2 0 1 0 6 2 0 4 2 0 2 0 0 0 3 0 1 2 2 0 4
"tough" 2 0 2 0 1 0 0 3 5 2 4 1 0 1 2 1 0 0 2 1 0 0 0 4 3 0 1 2 2 1 1 0 0 0 1 2 1 0 0 0 0 3 2 1 1 0 2 1 3 1 0 3 2 1 4 1 1 1 9 2 0 6 0 4 1 0 2 4 1 1 1 2 0 1 0 2 0 0 1 1 3 0 4 2 1 1 1 0 0 5 1 1 0 2 0 1
"true" 3 4 9 3 12 7 4 9 11 2 4 2 7 3 6 3 5 2 6 4 4 5 3 4 10 5 2 9 3 2 5 4 2 8 5 10 7 0 0 4 2 5 4 12 6 2 8 3 8 4 3 14 8 6 9 6 7 3 25 4 14 5 2 12 2 4 5 13 4 5 2 0 6 6 4 5 4 5 2 12 5 3 28 12 3 3 4 3 5 0 2 5 6 4 2 9
"ugly" 0 2 0 0 2 1 1 0 4 1 1 1 1 1 0 1 0 0 1 0 2 1 3 1 3 1 1 0 0 0 0 0 1 5 0 0 0 0 0 0 1 3 1 1 0 0 1 1 0 0 0 0 3 1 0 1 1 0 5 1 3 2 1 4 1 0 1 1 0 1 1 3 2 2 0 1 0 0 0 2 3 0 5 1 0 0 0 0 1 2 0 1 0 0 1 1
"unhappy" 2 1 3 2 5 1 1 3 5 3 2 2 0 1 0 2 0 0 1 1 0 5 1 0 6 0 0 4 1 2 0 1 1 0 4 2 1 0 0 1 2 1 2 2 2 1 1 0 3 1 0 4 2 1 1 0 2 0 7 1 1 1 2 2 2 1 1 4 1 0 0 1 3 0 0 2 3 1 3 2 1 1 8 1 1 0 1 1 1 5 1 0 2 0 0 2
"vague" 1 0 1 2 3 1 2 1 4 2 1 0 2 1 2 2 2 2 1 0 1 3 0 0 4 1 1 2 1 2 0 3 1 2 1 3 0 0 1 4 1 2 1 1 0 1 2 0 2 0 0 2 4 2 0 1 3 1 5 0 7 0 2 5 0 0 4 3 2 0 1 1 3 2 1 2 2 2 0 6 2 2 7 3 0 0 2 2 0 6 0 2 0 4 0 4
"violent" 1 3 0 2 4 1 2 2 2 0 0 0 2 1 0 3 2 1 0 1 2 2 2 3 4 1 1 2 1 0 2 1 1 5 1 5 2 1 1 1 0 2 1 1 1 0 0 1 3 1 2 2 2 0 2 0 5 3 4 2 5 2 2 4 2 0 2 6 1 1 2 1 1 3 0 2 1 2 1 7 4 2 7 4 1 2 3 2 2 4 0 0 4 0 2 1
"watchful" 0 1 2 0 2 1 0 1 2 3 0 2 1 1 3 2 1 0 1 2 0 1 0 2 6 2 0 0 1 1 0 2 2 2 1 3 1 0 1 0 1 0 1 1 0 0 0 0 0 1 0 1 2 1 3 0 2 0 6 2 2 2 0 1 2 1 1 2 0 0 3 1 4 1 1 1 1 0 1 3 1 0 8 1 0 1 0 0 0 2 1 0 0 2 0 2
"weak" 1 3 4 2 8 3 3 2 9 2 3 4 3 2 2 4 5 3 2 0 1 8 2 3 12 1 3 5 2 3 3 4 2 2 1 5 2 1 4 3 0 1 1 8 3 1 4 1 2 4 0 3 11 1 8 3 4 3 7 3 7 1 2 3 1 2 5 6 0 2 2 0 3 7 1 3 2 2 1 12 7 1 12 8 2 1 1 4 1 9 1 2 4 1 2 0
