"active" "affectionate" "bitter" "bold" "busy" "calm" "careful" "certain" "cheerful" "clean" "close" "cold" "cruel" "curious" "delicate" "dignified" "eager" "earnest" "easy" "exact" "expressive" "faithful" "familiar" "fast" "fearful" "fierce" "free" "fresh" "general" "gentle" "gloomy" "gracious" "grateful" "handsome" "hasty" "haughty" "hearty" "heavy" "helpless" "honest" "humane" "humble" "hurried" "impatient" "intense" "irrepressible" "kind" "lively" "lonely" "loud" "melancholy" "merry" "mute" "natural" "neat" "noisy" "open" "particular" "peaceful" "pleasant" "precise" "proud" "quick" "quiet" "rapid" "respectful" "rigid" "rough" "rueful" "rusty" "sad" "second" "serious" "silent" "simple" "slow" "soft" "solemn" "stiff" "strong" "sudden" "sure" "surly" "sweet" "thoughtful" "tight" "tremulous" "true" "ugly" "ungrateful" "violent" "virtuous" "weak" "wise"
"rough" 1 0 1 0 0 1 1 2 3 0 3 3 1 2 1 0 0 2 0 0 1 0 0 1 1 0 0 1 2 1 1 0 0 1 1 0 1 3 1 2 1 0 1 1 0 0 0 1 2 0 0 1 0 0 0 0 4 0 0 2 0 0 2 3 1 1 0 0 0 0 0 2 2 3 1 1 0 0 0 5 1 4 2 0 0 0 1 3 1 0 0 0 0 1
"rueful" 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 2 3 0 0 1 0 0 1 0 0 3 0 0 1
"rusty" 0 0 0 0 0 1 0 1 1 0 2 4 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 1 0 0 1 0 1 0 1 0 0 0 1 2 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1 0
"sad" 0 0 1 0 1 0 1 1 1 2 0 4 0 1 2 0 2 2 0 0 0 0 0 0 2 1 1 0 1 4 2 0 4 2 0 1 1 1 0 1 0 1 0 0 0 0 3 0 1 1 1 0 0 0 1 0 0 1 0 2 0 1 1 4 1 1 1 0 0 1 0 1 1 0 0 1 2 1 0 4 1 3 0 2 2 0 0 2 1 1 2 0 1 0
"second" 0 1 0 3 0 3 2 6 1 1 5 7 0 0 0 1 3 0 2 0 1 0 2 1 1 2 1 4 2 2 2 0 0 1 1 0 0 6 0 2 1 1 0 1 0 0 1 3 3 3 1 1 0 1 2 1 4 5 2 1 2 0 3 3 2 0 2 2 1 1 1 0 0 3 1 0 2 1 1 3 3 3 1 1 0 3 3 1 3 0 4 0 3 1
"serious" 1 0 0 0 1 0 1 0 1 0 0 2 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 2 1 0 2 2 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0 2 0 0 1 2 0 0 1 0 0 1 0 0 0 0 0 1 1 2 1 1 0 0 0 0 0 0 1 0 0 0
"silent" 2 2 2 0 1 2 1 3 4 1 5 7 2 1 2 0 2 4 1 1 1 2 4 0 4 2 3 3 2 4 1 1 1 1 1 0 1 11 4 3 0 0 4 2 1 1 3 1 2 5 2 1 2 0 2 3 8 3 0 2 0 1 6 4 4 1 0 3 0 0 0 3 1 0 1 2 4 2 1 9 7 4 0 2 0 0 3 6 1 1 3 1 0 0
"simple" 0 1 0 0 0 2 1 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 2 0 1 0 1 0 0 0 3 1 1 1 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 2 1 0 1 0 0 1 3 0 0 1 1 0 0 0 1 0 1 0 1 2 3 0 3 1 2 1 0 0 0 1 2 0 0 1 2 1 2
"slow" 1 0 0 0 0 0 1 0 1 0 2 4 0 1 0 1 2 0 0 2 0 0 0 1 0 0 1 0 1 3 0 0 2 1 2 0 1 2 0 0 0 1 0 0 1 0 2 0 1 3 1 0 0 1 1 1 3 2 0 0 0 0 0 3 0 2 0 1 0 0 1 0 0 2 1 0 0 2 0 3 2 3 0 3 1 0 0 3 2 1 4 0 1 3
"soft" 0 2 2 1 0 2 0 2 4 2 2 3 1 0 1 0 0 0 3 0 0 2 2 0 0 0 2 3 1 8 0 0 1 1 0 0 0 5 1 2 1 1 0 0 0 1 3 2 1 0 0 0 1 0 1 1 4 2 2 3 0 2 2 3 1 0 1 0 1 0 2 2 0 4 2 0 0 6 1 3 2 6 0 6 1 1 0 1 0 2 0 1 3 0
"solemn" 0 2 1 0 0 3 0 1 2 1 4 0 0 0 0 0 2 0 1 0 1 0 0 0 1 0 2 1 2 4 0 0 0 1 0 1 0 3 0 1 1 1 0 2 0 0 1 1 2 1 0 0 1 0 1 1 1 0 2 2 0 0 1 4 0 0 0 0 0 0 1 1 0 2 3 2 6 0 0 3 1 5 0 4 0 1 0 2 0 0 2 0 3 1
"stiff" 1 0 1 0 0 1 0 1 1 2 2 4 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 2 0 2 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 2 1 2 0 0 0 0 0 2 0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 0 0 3 0 1 1 0 0 1 0 0 1 0 2 0
"strong" 2 2 1 1 2 3 1 10 4 2 5 12 2 4 5 1 2 5 2 3 2 0 3 0 1 4 3 5 3 6 4 2 2 3 5 1 3 7 4 3 1 0 3 2 4 1 4 2 3 5 0 1 1 2 2 0 9 8 1 4 2 0 4 10 1 1 0 5 1 0 4 3 1 9 3 3 3 3 0 0 6 12 1 5 3 1 3 8 4 1 7 1 3 2
"sudden" 3 1 0 0 1 2 2 4 2 3 2 5 0 4 4 2 1 4 1 1 0 2 2 1 1 1 4 1 1 3 0 1 2 0 2 0 1 4 1 2 0 1 0 1 1 1 0 1 2 3 0 0 2 2 2 0 7 5 0 3 2 2 2 2 6 0 1 1 2 0 1 3 1 7 1 2 2 1 0 6 0 3 1 1 0 1 1 3 2 0 4 1 0 1
"sure" 3 2 4 1 1 2 2 6 8 4 4 11 3 4 1 1 1 4 2 0 1 1 1 2 0 1 4 6 0 6 0 1 2 3 3 1 2 7 0 3 3 1 3 2 2 2 3 1 0 5 0 1 2 1 1 0 8 4 1 3 0 0 4 7 0 3 1 4 3 1 3 3 2 4 2 3 6 5 3 12 3 0 2 7 2 1 1 6 2 2 7 0 2 2
"surly" 2 0 0 0 1 0 0 2 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 2 0 0 2 1 0 0 0 0 0 1 0 0 1 1 0 0 0 2 0 0 0 1 1 0 1 0 0 0 0 1 1 2 0 1 0 0 0 0 0 0 2 0 1 1
"sweet" 0 0 2 0 1 1 1 4 2 2 4 7 2 0 1 0 1 3 1 3 0 0 0 0 1 0 0 2 0 9 0 1 2 1 1 1 2 1 0 0 0 2 1 1 0 0 5 1 1 1 0 0 1 3 2 1 1 1 1 2 1 3 1 3 1 2 1 0 0 1 2 1 1 2 0 3 6 4 1 5 1 7 1 0 1 1 0 2 1 2 3 1 2 1
"thoughtful" 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 1 0 2 0 1 0 1 0 0 1 0 0 1 3 1 0 1 0 0 2 1 2 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 2 0 1 0 0 1 1 0 1 0 0 1 0 2 0 0 0 0 1 1 0 1 3 0 2 0 1 0 0 0 0 1 1 1 0 0 0
"tight" 0 0 1 1 0 1 1 0 0 0 2 2 0 1 0 0 0 0 2 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 2 0 0 1 1 0 0 0 0 1 0 0 1 0 0 1 0 3 0 0 0 0 1 1 0 1 1 1 0 1 0 0 0 1 2 0 0 0 1 0
"tremulous" 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1 1 2 1 0 0 1 0 1 0 0 0 1 1 1 0 0 2 0 0 1 2 0 0 1 0 1 2 0 0 0 1 0 0 0 3 0 3 1 0 0 0 0 3 1 1 0 0 0 0 0 2 0 0 0 1 0 0
"true" 1 1 1 1 1 1 1 3 2 1 1 5 0 0 2 0 0 5 1 0 0 1 1 1 1 1 2 4 4 3 2 1 1 2 3 0 2 7 4 0 0 2 3 0 3 1 2 0 2 2 2 0 0 1 1 1 6 5 1 3 0 2 2 7 1 2 0 3 1 1 2 1 0 6 2 3 1 2 1 8 3 6 0 2 0 1 2 0 2 0 2 1 1 0
"ugly" 0 1 0 2 0 0 1 1 1 1 3 4 0 1 0 1 2 1 1 1 0 0 1 0 0 0 0 1 1 1 0 0 1 0 1 0 2 3 1 1 0 1 1 0 0 0 1 0 0 2 0 0 0 0 0 0 1 3 0 0 0 0 1 2 0 0 0 1 0 0 1 3 0 1 0 2 0 0 0 4 2 2 0 1 1 2 0 2 0 1 3 0 0 1
"ungrateful" 0 0 0 0 0 0 0 1 1 0 0 3 1 1 0 0 1 0 0 0 0 1 0 0 0 0 1 2 0 2 1 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 2 1 0 1 0 0 1 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 2 0 0 1 0 2 0 2 1 0 0 0 1 0 2 0 0 0
"violent" 0 0 2 2 2 0 1 4 1 1 3 6 1 3 2 1 4 2 0 0 0 1 1 2 0 2 2 2 1 3 2 1 1 0 0 0 2 7 2 0 0 0 2 1 2 3 2 2 3 6 1 1 4 1 0 2 3 0 0 1 0 1 2 3 2 0 0 0 3 0 2 4 1 3 1 4 0 2 1 7 4 7 2 3 1 0 0 2 3 2 0 0 4 1
"virtuous" 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 2 1 0 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 2 1 0 2 0 0 0 1 1 0 1 0 0 0 0 0 0 1 2 0 1 0 0 1 1 0 0 1 0 0 1 1 0 0 0 0 0 0
"weak" 1 1 0 2 1 3 1 0 1 2 2 5 0 0 1 0 1 0 2 0 0 0 1 1 0 0 1 2 1 5 2 0 1 1 0 0 0 3 1 1 1 0 0 0 0 0 3 2 1 2 0 1 1 1 3 0 4 2 2 1 0 0 0 4 1 1 1 0 0 1 1 3 0 0 1 1 3 3 2 3 0 2 1 2 0 1 0 1 0 0 4 0 0 1
"wise" 0 0 0 0 0 0 1 2 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 3 0 0 0 0 1 2 0 1 0 1 1 0 0 1 0 0 2 3 0 1 0 2 1 2 1 1 0 0 0 0 1 0 1 0 1 0
