"affectionate" "bold" "busy" "calm" "careful" "certain" "cheerful" "clean" "close" "cold" "constant" "cool" "cruel" "cunning" "curious" "earnest" "easy" "exact" "faithful" "familiar" "fearful" "free" "fresh" "friendly" "gay" "general" "genteel" "gentle" "gloomy" "graceful" "grateful" "handsome" "hasty" "hearty" "heavy" "helpless" "honest" "humble" "impatient" "kind" "lonely" "loud" "melancholy" "merry" "mild" "modest" "mournful" "natural" "noisy" "open" "original" "particular" "patient" "peaceful" "pleasant" "quick" "quiet" "restless" "rough" "rusty" "sad" "second" "serious" "silent" "simple" "slow" "smooth" "sober" "soft" "solemn" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "thoughtful" "tight" "timid" "true" "ugly" "uncertain" "vague" "violent" "weak"
"sweet" 0 1 4 3 1 6 3 2 2 7 5 0 0 3 1 1 1 1 1 0 0 7 3 1 1 1 1 3 1 0 2 1 2 0 4 0 2 1 1 2 2 2 2 1 1 1 4 2 2 6 3 4 1 1 5 3 5 3 1 2 2 2 0 8 2 2 1 2 1 5 7 2 0 11 0 3 1 4 3 2 1 2 2 2 2 2
"tender" 1 2 1 0 1 4 0 1 2 2 3 1 1 0 1 2 3 1 0 1 0 1 1 0 1 2 1 5 3 0 1 0 1 2 1 0 1 3 1 1 1 0 3 0 1 1 2 0 2 3 3 2 1 1 3 0 3 1 2 0 5 1 0 6 2 1 0 1 0 2 4 3 2 8 3 0 0 1 0 2 6 1 4 1 0 1
"thankful" 0 0 1 1 0 4 1 0 1 4 1 0 0 1 1 2 0 1 1 1 1 3 1 0 0 2 1 2 0 0 2 0 0 0 0 1 2 1 1 2 1 2 0 1 1 0 0 1 0 3 3 2 2 1 2 0 2 1 0 0 2 1 0 2 3 1 1 0 0 0 2 1 0 5 1 0 0 1 0 0 2 0 0 1 0 2
"thoughtful" 3 1 2 2 1 5 6 0 1 6 6 0 2 1 2 3 4 0 2 4 2 4 2 1 2 1 2 3 4 0 3 0 1 1 4 1 1 1 0 4 2 4 2 1 2 1 2 3 0 7 2 4 1 1 4 4 4 2 3 1 2 2 1 9 2 2 0 0 1 2 3 1 0 5 4 1 1 0 2 3 1 1 0 2 1 3
"tight" 0 0 1 0 0 4 3 1 1 3 0 0 0 2 1 2 1 1 1 1 2 3 0 2 1 0 0 1 1 1 1 0 1 0 3 0 1 0 0 1 0 1 1 0 0 0 3 2 0 5 3 4 0 0 4 0 0 0 0 0 1 4 0 0 1 3 0 0 0 0 4 1 1 3 3 0 0 2 0 0 1 0 0 2 1 0
"timid" 2 1 0 1 1 3 3 1 4 2 2 1 0 1 1 4 8 1 0 2 2 2 4 0 2 3 0 4 3 1 2 2 0 1 4 2 1 4 1 4 1 1 0 1 0 1 2 3 4 7 0 3 1 0 5 3 8 1 1 1 1 3 2 5 2 2 2 0 1 0 5 3 0 6 2 2 0 3 0 0 2 3 3 1 1 2
"true" 2 1 1 1 4 9 5 1 5 4 2 5 1 0 3 6 8 1 2 3 3 3 7 4 0 3 0 4 3 2 2 1 3 2 2 2 6 9 2 5 1 1 6 1 2 0 3 3 5 10 2 9 2 1 8 4 9 1 4 1 8 2 2 7 3 5 1 1 1 4 10 9 2 20 1 6 2 1 1 2 0 7 3 1 1 6
"ugly" 0 0 2 1 2 3 5 1 4 5 2 2 0 1 1 3 2 0 1 2 0 1 4 1 1 1 0 4 1 0 2 0 0 0 2 0 1 3 1 3 0 1 2 0 2 0 2 3 0 7 3 1 2 0 2 2 5 2 2 1 3 0 0 6 2 3 2 0 1 1 7 1 1 6 2 1 0 1 0 3 7 0 0 2 0 1
"uncertain" 1 0 1 0 1 2 1 1 5 3 2 0 2 0 2 3 5 3 0 0 1 0 2 1 0 0 1 2 2 0 0 1 1 1 4 2 1 1 1 2 2 1 2 1 1 1 2 2 1 5 3 1 1 0 4 0 8 0 1 2 1 2 2 4 1 1 1 2 0 2 3 1 1 8 2 4 0 0 0 3 3 0 0 1 1 4
"vague" 1 1 1 4 1 5 2 1 4 3 3 1 1 2 2 1 2 0 1 1 1 5 2 1 2 1 0 3 2 0 3 2 1 0 5 0 1 2 0 3 1 1 1 0 1 0 2 0 1 5 5 2 1 0 4 1 5 2 2 0 1 3 0 3 4 4 1 2 1 2 5 0 0 4 2 1 1 2 2 1 1 2 1 0 0 1
"violent" 0 1 0 1 0 2 0 0 2 3 0 0 0 1 1 0 3 1 0 1 0 1 1 3 0 0 0 1 1 1 0 0 0 0 3 1 1 0 1 3 2 1 1 0 0 1 1 0 1 2 2 1 0 0 0 0 2 0 0 3 0 0 1 2 2 1 0 0 0 2 2 1 0 5 2 0 0 1 1 1 1 0 1 0 0 2
"weak" 2 0 3 2 3 6 4 2 5 7 0 2 2 1 1 2 5 1 2 1 2 2 2 1 0 2 0 2 1 1 3 1 2 1 3 3 1 3 1 3 4 1 3 1 4 1 1 1 1 8 2 3 0 1 7 1 8 1 1 1 3 1 2 8 6 4 0 1 0 1 7 1 0 10 2 1 2 3 0 2 6 1 4 1 2 0
