"active" "adventurous" "affectionate" "benevolent" "bitter" "bold" "busy" "calm" "certain" "cheerful" "chivalrous" "close" "cold" "congratulatory" "constant" "cruel" "dependent" "docile" "domestic" "eager" "earnest" "enthusiastic" "expressive" "familiar" "fearful" "firm" "free" "fresh" "gallant" "gay" "general" "generous" "genial" "gentle" "gloomy" "grateful" "hateful" "heartless" "heavy" "helpless" "hopeless" "humane" "immutable" "impatient" "indifferent" "inquisitive" "intense" "intimate" "invincible" "joyous" "kind" "laborious" "listless" "lively" "lofty" "loud" "majestic" "melancholy" "metaphysical" "mild" "moderate" "mournful" "natural" "nervous" "open" "passionate" "patient" "peaceful" "placid" "pleasant" "pleasurable" "precipitous" "proud" "quick" "rapid" "rough" "rude" "sad" "saintly" "scientific" "second" "selfish" "sensitive" "serene" "serious" "severe" "silent" "simple" "slow" "soft" "solemn" "sorrowful" "steady" "strong" "sudden" "sufficient" "supple" "sweet" "thoughtful" "tranquil" "true" "tumultuous" "ugly" "unhappy" "vain" "vehement" "vicious" "violent" "watchful" "weak" "virtuous" "woeful"
"majestic" 0 1 0 0 2 0 2 1 0 0 1 0 0 0 0 0 1 0 0 2 1 1 0 0 0 0 1 0 1 1 1 0 0 1 3 0 0 0 0 0 0 1 1 0 1 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 2 0 0 0 0 2 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 2 0 1 1 1 3 0 0 1 3 0 1 1 0 1 0 0 1 0 1 0 1 0 0 0 0
"melancholy" 0 0 0 0 1 0 1 2 1 2 0 0 0 1 0 0 1 0 1 0 0 0 0 2 2 0 1 1 1 1 1 0 0 3 0 0 0 0 1 0 0 0 1 1 0 0 0 0 2 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 2 0 0 0 2 2 0 1 0 0 2 0 2 0 0 0 1 1 0 2 0 1 2 1 2 1 1 3 0 1 1 2 0 2 0 1 1 0 0 0 2 0 0 1 2 1 0 0
"metaphysical" 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0
"mild" 0 0 1 3 1 0 0 2 1 0 0 2 4 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 2 1 0 1 1 0 0 2 0
"moderate" 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0
"mournful" 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 2 0 1 0 2 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 2 0 0 1 1 0 1 0 0 0 0 0 0 0 0
"natural" 0 1 0 2 2 1 2 2 1 1 1 1 2 1 0 1 0 2 0 2 1 0 2 2 0 0 1 0 1 1 3 0 0 1 1 1 0 0 0 0 1 1 0 1 1 1 2 0 1 1 0 0 0 1 1 0 2 0 1 2 1 0 0 1 0 0 0 2 1 0 0 0 0 1 1 2 0 1 1 3 1 1 0 1 1 0 0 1 1 1 0 1 0 0 2 3 1 2 1 0 2 0 1 0 0 1 0 3 0 0 1 0
"nervous" 0 0 0 1 0 0 1 2 0 0 0 0 4 1 1 1 0 1 1 1 0 1 1 0 0 0 3 1 0 0 1 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 1 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 1 1 2 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0 0
"open" 0 0 0 1 1 0 3 2 0 1 0 0 4 0 2 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 1 0 1 0 1 1 0 1 0 1 1 0 0 0 0 0 1 2 0 0 0 0 1 0 2 0 0 0 0 0 2 0 0 0 0 1 2 0 0 0 2 2 0 1 0 0 0 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 4 0 0 0 0 2 0 1 0 2 0 0 0 1 1 0 0
"passionate" 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1
"patient" 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0
"peaceful" 0 1 0 1 1 0 2 2 0 0 1 0 1 0 0 0 0 0 2 1 1 0 0 0 1 0 2 0 1 1 1 0 0 1 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0 2 0 1 1 1 1 2 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 2 0 3 1 0 2 1 0 0 0 1 0 2 0 0 0 0
"placid" 0 0 0 1 1 0 1 1 2 3 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 1 2 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 1 0 0 1 2 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0
"pleasant" 2 0 1 1 0 0 0 2 1 2 0 0 5 1 1 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 1 4 1 0 0 0 1 2 0 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 2 0 1 0 0 0 0 2 0 0 1 1 0 1 0 2 1 1 0 1 2 0 0 1 0 0 1 1 0 2 0 0 3 0 2 1 0 1 3 1 2 0 1 0 0 1 0 2 0 0 1 1 0 0 0
"pleasurable" 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
"precipitous" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"proud" 1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"quick" 0 0 0 3 0 0 0 2 1 1 0 0 3 1 2 1 0 1 0 0 1 0 2 1 0 0 2 2 0 0 2 0 0 4 0 1 0 1 0 0 0 0 0 0 0 0 2 1 0 0 2 1 0 1 1 2 0 0 0 0 0 0 1 2 2 0 0 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 1 2 0 0 2 0 1 0 0 0 0 0 1 2 0 1 0 0 1 0 2 2 0 0 0 1 0 1 0 0
"rapid" 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 1 0 2 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0
"rough" 0 1 0 1 0 0 1 1 0 0 1 0 1 1 0 1 0 1 0 1 1 0 1 0 0 0 0 0 1 0 2 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 2 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 2 1 0 1 0 1 0 0 1 0 2 0 0 0 0
"rude" 1 0 1 2 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 1 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 2 1 2 0 0 1 0 0 1 0 0 0 0 1 0 0 0
"sad" 1 0 1 2 2 0 0 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 2 1 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 1 0 0 2 0 0 0 1 0 0 1 0 1 1 0 0 0 1 0 0 1 1 0 1 1 2 0 1 2 0 1 2 0 1 1 0 0 2 1 0 0 2 0 0 0 0
"saintly" 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 1 0 0 1 0 1 0 1 0 0 0 0
"scientific" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0
"second" 0 1 1 0 1 0 1 2 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 1 0 2 1 0 0 0 0 0 0 1 0 1 1 0 2 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0 1 0 1 0 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 2 0 1 1 0 2 0 0 0 1 1 0 1 0 0 0 0
"selfish" 0 0 0 0 2 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 2 0 0 1 0 1 0 0 1 0 0
"sensitive" 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 1 0
"serene" 1 0 0 2 0 0 0 2 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0 1 0 0 2 0 0 3 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 1 0 2 0 0 0 1 1 1 1 0 0 1 1 1 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 1 0 2 0 0 1 1 0 1 2 0 0 1 0 0 0 1
"serious" 0 1 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 1 1 1 0 0 1 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 0 0 0
"severe" 0 0 2 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1 0 0 0 1 0 1 1 0 2 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 2 1 0 1
"silent" 0 0 1 1 3 1 1 3 2 3 0 1 4 1 1 0 1 0 1 0 0 0 1 1 3 1 4 4 0 0 0 1 0 3 1 1 1 0 1 0 0 0 1 1 0 0 1 1 1 1 1 1 2 0 0 2 2 2 0 1 0 0 0 1 1 1 0 1 2 2 1 1 0 2 0 0 0 1 0 0 0 0 0 1 1 1 0 0 1 0 4 2 0 1 1 3 0 1 0 1 3 0 0 3 1 0 0 1 2 1 0 1
"simple" 0 0 2 1 1 1 1 3 0 1 0 0 0 0 1 0 1 0 2 1 0 0 0 0 1 1 3 0 0 1 0 1 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 2 0 0 1 1 0 2 0 1 2 0 0 3 0 0 0 1 0 0 0 0
"slow" 0 0 0 1 1 0 1 1 0 1 0 0 2 1 0 1 1 1 1 0 0 0 1 0 1 0 2 1 0 0 1 0 0 1 0 1 0 0 1 1 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 1 1 2 0 0 0 0 1 2 1 0 0 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 2 1 0 0 0 1 0 1 0 0 2 0 2 0 1 0 0 1 0 1 1 0
"soft" 2 1 2 1 0 0 1 2 0 1 1 0 0 0 2 0 0 0 0 1 1 0 0 0 1 0 1 2 1 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 1 1 2 2 0 0 0 0 0 2 0 1 1 1 1 0 0 0 1 0 0 0 0 1 0 3 1 1 1 0 1 1 1 1 1 0 1 0 0 1 1 0 0 1 0 0 0 2 0 0 0 1 1 2 1 0 0 0 0 1 1 1 0 1 0 0 0 0
"solemn" 0 0 0 0 1 0 0 1 1 2 0 1 3 0 0 0 1 0 1 0 0 1 0 1 2 0 2 3 0 0 0 0 0 1 0 0 2 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 1 1 0 2 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 4 0 2 0 0 1 0 1 0 2 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0
"sorrowful" 1 0 1 0 2 0 1 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 1 2 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 0 1 1 0 1 3 3 0 0 0 0 1 0 0 0 0 1 1 2 0 1 0 0 0 0 1 2 0 0 0 0 0 1 0 0 2 2 1 2 1 0 0 0 0 2 1 1 0 1 1 0 0 1 1 0 0 1 0 0 0 0
"steady" 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0
"strong" 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0
"sudden" 0 0 0 0 1 1 0 2 1 0 0 0 0 0 0 0 0 0 0 2 1 1 0 2 0 1 1 1 0 1 1 0 0 3 3 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 1 1 0 0 1 1 2 0 0 0 0 0 1 1 0 0 0 1 1 0 0 2 0 2 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 3 0 0 0 0 2 0 0 1 1 0 0 2 0 0 0 0
"sufficient" 1 0 0 3 4 1 1 3 0 2 0 0 4 0 3 0 1 0 0 2 0 2 0 2 0 1 5 2 0 1 1 1 0 5 2 2 1 1 1 1 0 0 2 1 0 1 0 1 0 1 3 2 0 0 1 4 3 2 0 0 2 1 3 1 4 0 1 2 2 3 1 1 2 2 1 0 2 0 0 2 2 1 0 1 1 0 3 1 1 1 2 2 2 0 3 0 0 0 0 0 5 1 0 3 2 0 1 0 0 1 0 0
"supple" 1 0 1 1 1 0 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"sweet" 1 1 1 4 1 0 1 2 0 2 1 0 5 1 1 2 0 1 2 1 2 0 2 1 2 0 1 0 1 3 2 0 0 6 1 1 1 0 0 1 0 1 0 0 1 0 1 1 1 1 1 0 0 2 0 0 1 2 1 1 0 2 2 1 0 1 1 3 0 2 0 0 0 1 0 2 2 2 2 0 1 0 0 2 1 1 1 2 1 2 0 1 0 0 0 0 0 0 1 0 3 1 1 3 0 1 0 3 1 0 0 1
"thoughtful" 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0
"tranquil" 0 0 0 1 0 0 0 2 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0
"true" 0 0 1 3 7 1 1 0 1 1 0 0 3 1 1 1 1 1 2 1 0 0 1 1 0 2 3 1 0 1 1 2 0 4 1 3 1 0 0 2 0 0 1 1 0 0 1 0 0 0 3 0 1 1 1 0 1 1 0 0 3 1 2 1 2 1 0 2 1 0 0 0 0 1 1 1 1 1 1 1 2 0 0 1 0 1 3 2 2 0 0 1 0 0 2 5 0 3 0 0 0 1 1 1 0 0 0 1 0 0 1 0
"tumultuous" 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0
"ugly" 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 2 1 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 0 0
"unhappy" 1 0 2 2 1 0 0 4 0 2 0 1 2 0 2 1 0 0 1 1 1 1 1 2 1 0 1 2 0 2 0 1 0 6 2 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 1 2 1 2 0 1 1 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 2 1 0 0 0 1 1 1 0 3 3 0 1 1 1 0 1 1 3 0 3 0 1 1 0 1 0 0 0 1 1 0 1 1 1
"vain" 0 0 0 1 1 0 2 4 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 1 2 1 1 1 0 0 0 0 1 1 0 0 1 0 2 0 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 2 0 1 0 0 0 1 2 0 0 0 1 2 0 0 1 0 0 0 0 1 0 0 1 1 1 2 0 0 1 0 1 1 2 1 1 1 1 2 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0
"vehement" 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"vicious" 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0
"violent" 0 1 0 1 0 0 1 3 0 0 1 0 2 1 0 1 0 1 0 1 1 0 2 1 1 0 0 1 1 0 2 0 0 2 2 1 1 0 0 0 0 1 0 0 1 0 2 0 0 0 1 0 0 1 0 0 1 1 1 1 0 0 3 1 0 0 0 2 1 1 0 0 0 1 0 2 0 2 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 0 2 0 0 3 1 1 1 0 1 1 1 1 0 0 0 1 0 0
"watchful" 0 0 1 0 0 1 1 1 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1
"weak" 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 1 3 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0
"virtuous" 0 0 0 1 2 0 0 1 0 0 0 2 3 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0
"woeful" 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0
