"affectionate" "awkward" "benevolent" "boisterous" "bold" "busy" "calm" "careful" "cautious" "certain" "cheerful" "christian" "clean" "close" "cold" "constant" "cool" "cruel" "cunning" "curious" "delicate" "dignified" "domestic" "eager" "earnest" "easy" "eloquent" "emphatic" "enthusiastic" "expressive" "facetious" "faithful" "familiar" "fearful" "fierce" "firm" "free" "fresh" "friendly" "general" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "hearty" "heavy" "honest" "hopeless" "hospitable" "humble" "hurried" "indefatigable" "intense" "intimate" "kind" "lively" "lonely" "loud" "majestic" "melancholy" "merry" "mute" "natural" "neat" "nervous" "noisy" "open" "particular" "pleasant" "poetic" "precise" "proud" "quiet" "rapid" "reasonable" "restless" "romantic" "rusty" "second" "sensible" "serious" "severe" "silent" "slow" "soft" "solemn" "spirited" "stable" "steady" "stern" "stiff" "strict" "strong" "sudden" "sufficient" "sure" "surly" "suspicious" "sweet" "thoughtful" "tight" "true" "uncertain" "unhappy" "vain" "violent" "willing" "wise" "weak"
"indefatigable" 1 0 1 0 0 1 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 2 1 0 1 0 1 1 0 2 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 3 0 1 0 1 0 0 0 0 1 2 1 1 0 0 1 1 0 0 1 0 0 1 1 1 0 0 1 1 1 0 0 2 0 0 3 0 1 0 0 0 0 0 0 0 1 2 0 1 0 1 0
"intense" 1 0 0 2 1 1 1 0 1 1 1 0 1 3 5 2 1 2 0 1 2 0 0 1 0 1 1 0 2 2 1 3 0 1 0 0 0 5 0 3 2 0 0 0 0 1 0 1 2 2 1 0 1 2 0 1 0 1 2 1 2 2 0 1 0 1 1 2 1 0 4 4 4 0 3 1 3 4 0 0 0 0 3 0 1 1 0 0 1 4 1 0 2 0 0 0 2 4 0 6 0 0 2 0 0 5 0 0 0 2 0 1 0
"intimate" 0 1 0 0 0 0 0 2 2 0 1 1 0 0 4 0 0 0 1 1 0 0 1 0 1 1 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 1 0 2 0 1 1 0 0 1 1 2 0 1 0 0 0 1 5 0 2 1 0 3 2 1 0 0 3 1 0 1 0 1 0 0 0 0 0 3 0 1 1 0 0 0 1 0 0 1 0 1 0 2 2 1 4 0 0 2 0 1 1 1 1 0 1 0 0 0
"kind" 1 1 1 0 0 0 0 2 1 2 1 1 3 1 3 1 0 0 1 0 0 0 2 2 0 2 1 0 2 1 0 1 0 0 0 0 0 3 2 2 0 0 1 0 1 1 1 1 0 2 0 0 1 1 2 1 2 0 0 1 1 3 0 2 1 0 1 2 1 1 4 3 3 0 2 3 4 1 0 1 0 0 2 1 1 0 0 0 4 1 1 1 0 0 1 0 0 1 1 2 0 0 1 1 1 1 2 3 1 2 1 0 1
"lively" 0 2 0 1 0 0 2 5 0 2 4 0 1 5 5 0 1 0 0 2 0 0 1 0 1 2 1 0 0 2 1 1 0 0 0 0 0 3 1 2 1 0 0 0 2 0 2 1 1 3 0 2 1 1 1 1 1 0 1 0 1 2 0 0 1 1 1 2 1 0 3 3 1 2 1 1 3 0 0 0 2 0 4 1 2 0 0 0 0 2 0 1 0 1 0 1 3 1 0 4 1 0 1 2 0 5 0 0 0 1 1 0 0
"lonely" 0 1 0 1 0 1 0 0 0 1 2 0 0 1 7 1 2 1 2 1 0 0 0 1 0 1 0 1 2 0 0 1 0 1 2 0 1 2 0 0 1 2 0 0 1 2 0 0 1 5 0 0 1 0 1 0 2 1 1 1 0 3 0 4 4 0 0 0 2 0 2 1 2 0 0 2 4 1 1 2 1 1 1 0 1 0 1 1 2 2 0 0 1 0 2 0 2 3 0 5 0 0 1 0 0 4 0 0 2 2 0 0 0
"loud" 1 3 2 2 1 4 2 2 1 6 6 2 4 9 16 3 2 0 2 4 3 3 3 0 3 3 1 4 5 4 2 5 1 2 4 4 2 6 2 10 4 5 2 1 1 1 3 1 3 11 1 3 3 6 2 3 2 5 3 2 3 0 1 6 5 2 1 1 3 0 15 13 8 1 1 1 8 6 3 2 0 3 13 3 1 0 6 2 8 6 0 3 2 2 4 2 9 13 4 11 1 1 5 1 4 5 2 5 2 8 2 4 0
"majestic" 0 0 0 0 0 1 0 1 0 1 0 1 1 3 2 1 0 2 1 1 1 1 2 1 1 0 0 1 1 0 0 2 3 0 0 1 0 2 2 2 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 1 3 1 1 0 0 2 2 0 0 2 0 0 0 0 0 0 2 1 0 2 0 0 0 1 1 0 1 0 1 2 1 2 0 2 0 2 1 0 0 0 0 1 0
"melancholy" 1 0 3 3 0 3 0 2 0 4 4 1 0 1 7 2 0 1 0 1 0 1 1 1 0 2 0 2 2 1 0 2 0 1 0 1 0 2 1 1 1 1 1 0 1 2 3 1 3 3 1 1 3 0 0 1 1 2 2 0 4 6 1 0 2 4 3 0 0 0 3 1 4 1 0 2 8 0 1 2 0 3 3 2 1 2 5 1 2 1 0 1 2 0 1 2 3 2 2 5 0 0 1 1 1 1 2 3 0 6 1 0 1
"merry" 0 0 2 1 3 0 1 0 0 0 4 1 0 1 5 0 0 1 1 1 0 0 0 1 0 3 0 0 0 1 0 0 0 0 2 1 1 0 0 3 4 1 0 0 0 0 1 0 2 3 1 1 1 0 0 0 0 1 1 1 4 5 0 2 0 1 1 0 0 0 1 1 2 1 0 2 4 0 0 1 0 0 2 1 3 1 1 0 3 5 0 0 0 0 2 1 3 2 0 1 0 0 0 0 0 2 0 0 1 0 0 1 1
"mute" 1 0 2 2 0 0 1 2 0 0 3 1 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 3 2 0 1 1 0 1 0 0 1 1 1 0 1 0 0 1 1 0 0 1 0 2 0 4 1 0 0 0 0 0 1 1 0 1 0 0 1 1 0 1 0 0 1 1 1 1 1 0 1 1 0 2 2 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 1 1 1 1
"natural" 3 1 1 0 1 2 1 8 3 5 2 1 1 2 4 2 1 0 2 5 2 2 4 2 1 2 0 1 0 2 0 0 2 1 0 2 0 3 3 4 1 1 0 2 2 0 3 1 4 3 2 1 0 2 4 0 1 3 1 1 0 1 2 3 1 0 0 2 4 0 8 8 3 0 3 4 5 0 1 1 1 0 4 0 1 1 2 1 0 2 0 2 2 1 0 0 3 2 2 9 0 3 1 1 1 6 3 2 0 1 1 2 0
"neat" 2 0 0 1 0 2 0 2 0 1 4 1 3 0 5 1 0 0 1 0 1 0 2 0 0 0 1 0 2 1 2 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 3 1 0 0 0 1 0 2 2 2 2 0 1 0 0 0 0 2 0 0 0 2 3 3 0 0 0 2 0 1 0 1 1 2 0 0 1 0 0 0 3 0 1 0 0 1 0 1 3 1 3 2 0 1 1 0 1 1 2 1 3 0 2 1
"nervous" 0 0 0 0 0 0 0 1 1 2 2 1 0 1 4 2 1 0 2 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 1 0 1 2 1 0 0 0 0 1 0 1 1 1 1 2 3 0 0 0 0 4 0 0 0 5 5 3 0 0 1 2 0 0 2 2 0 2 0 0 1 1 1 1 1 0 0 1 1 0 0 3 3 0 5 1 1 5 0 0 4 0 1 2 2 1 3 0
"noisy" 0 0 0 1 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 4 0 1 1 0 1 0 0 1 0 1 1 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 1 0 0 0 1 1
"open" 3 2 2 2 2 2 5 4 2 9 3 1 3 13 17 2 1 1 3 6 2 1 3 1 3 9 2 1 1 4 2 6 4 3 6 2 2 8 3 9 2 5 1 4 2 2 3 3 7 18 1 2 2 5 4 1 4 0 4 3 2 15 3 3 1 1 8 2 5 0 0 13 10 2 3 6 8 2 4 2 2 3 9 2 3 1 7 6 2 4 1 8 1 2 5 0 13 12 7 10 1 3 4 1 4 8 5 5 3 4 4 2 0
"particular" 2 2 3 2 2 4 3 6 4 11 4 3 5 4 9 3 1 1 2 8 2 2 6 0 1 4 1 4 2 5 1 1 1 1 4 3 1 5 0 5 3 3 0 2 3 1 1 0 1 6 3 1 1 2 1 2 4 3 3 3 1 13 1 1 1 1 8 3 5 0 13 0 6 1 4 3 10 1 2 2 3 3 12 1 1 2 1 4 1 5 0 3 1 3 1 2 7 10 2 8 1 3 2 0 0 10 3 5 1 4 1 3 2
"pleasant" 3 2 2 0 1 2 3 5 0 7 7 0 4 1 7 4 4 2 1 6 2 2 3 0 3 2 3 2 3 2 1 4 1 1 4 0 1 7 3 5 5 2 3 0 0 2 5 2 2 4 1 1 1 5 0 1 4 1 3 1 2 8 1 4 2 0 3 3 3 1 10 6 0 0 4 2 6 4 3 0 2 1 7 2 1 0 2 3 3 4 2 0 1 4 2 1 7 4 2 8 1 0 6 1 1 7 1 0 0 5 2 6 0
"poetic" 1 0 1 1 0 0 1 2 1 1 1 2 0 1 2 0 0 0 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 2 0 0 1 1 1 1 0 0 0 2 0 1 0 1 1 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 2 0 0 1 2 0 1 2 0 3 0 0 0 0 0 0 4 1 0 1 0 2 2 0 0 0 0 0 1 1 0 0 0
"precise" 1 0 1 0 0 0 0 1 0 1 1 0 2 2 1 0 0 0 1 4 1 1 1 0 0 1 1 0 0 2 0 0 0 0 0 0 0 3 1 0 2 0 0 0 0 1 2 0 0 0 1 0 1 2 0 0 3 1 2 1 0 1 0 0 0 0 3 0 0 0 3 4 4 0 0 0 1 0 0 1 0 0 4 0 0 0 1 0 2 1 0 0 0 0 0 0 3 1 1 4 0 0 0 0 0 1 1 0 0 0 2 2 0
"proud" 2 2 0 0 2 2 2 1 0 4 0 0 0 2 5 1 1 0 2 2 1 2 2 2 0 1 0 0 1 1 0 2 0 2 3 1 1 3 4 4 0 1 0 2 1 3 1 2 0 3 0 0 1 0 0 0 1 0 3 1 2 1 2 2 2 0 4 0 1 1 6 3 2 0 0 0 3 0 0 3 1 0 2 1 3 0 1 0 0 5 1 0 0 0 1 0 1 2 1 5 1 0 0 0 0 3 1 0 0 0 0 2 0
"quiet" 1 0 2 3 1 4 0 4 1 8 7 1 4 8 13 3 1 0 1 2 1 0 2 1 1 6 1 3 3 1 1 0 2 2 3 0 2 5 3 3 5 2 1 0 2 4 1 2 4 7 2 3 1 1 1 1 3 1 4 3 4 8 2 8 4 1 5 2 2 4 8 10 6 0 1 3 0 1 3 2 1 4 11 3 4 0 6 1 2 4 0 1 1 1 3 2 4 4 2 6 2 0 1 3 2 6 0 3 0 6 2 1 3
"rapid" 0 0 0 0 0 1 1 0 1 0 0 0 0 1 4 1 1 0 0 1 2 1 0 1 2 0 0 0 2 0 1 3 0 0 0 0 0 3 0 3 1 1 0 0 0 0 1 0 2 4 0 0 1 0 0 1 4 0 1 0 1 6 0 0 0 1 0 0 0 0 2 1 4 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 1 0 1 1 1 1 0 0 0 2 0 2 0 0 0 0 1 0 0 0 0 2 1 1 0
"reasonable" 2 0 0 1 0 1 0 0 0 2 2 0 2 0 1 1 1 0 0 1 0 1 1 0 0 2 1 0 0 1 0 1 0 2 1 0 0 1 0 3 1 1 0 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0 0 1 3 0 1 0 0 1 1 0 1 4 2 3 0 0 0 3 0 0 0 0 1 1 1 0 0 0 1 1 0 0 1 0 2 1 0 4 1 2 1 0 0 1 1 2 2 0 1 0 1 0 0 0
"restless" 0 0 1 1 0 5 1 0 0 2 0 0 1 2 7 0 0 0 1 3 3 1 1 2 0 1 0 0 1 0 0 1 0 0 0 1 0 2 2 2 1 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 2 2 2 2 1 1 1 0 2 1 2 2 0 0 1 3 2 0 0 0 1 0 1 0 0 1 3 1 1 1 0 0 0 1 2 0 2 2 0 3 0 1 1 0 0 2 0 0 1 2 0 0 0
"romantic" 0 0 0 0 0 0 1 3 0 1 0 0 0 1 1 0 2 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 2 1 1 1 0 1 0 1 0 0 0 2 1 0 0 0 0 0 1 1 2 0 2 3 2 2 0 1 1 0 0 1 0 0 0 1 1 0 0 1 0 1 0 0 0 1 0 0 3 2 2 1 1 0 1 1 0 2 1 0 2 1 0 1 0
"rusty" 0 0 1 0 0 1 0 1 0 5 0 0 0 1 2 1 0 0 0 2 0 1 2 1 0 2 0 3 1 2 0 2 0 0 1 0 0 1 0 1 1 1 0 0 2 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 1 3 0 3 0 0 0 1 0 1 3 3 1 0 0 0 4 0 1 0 0 0 1 0 0 0 1 1 0 0 0 2 0 0 1 0 0 3 0 1 0 0 1 0 0 2 1 2 0 1 0 1 1
"second" 0 2 1 0 1 1 0 3 2 7 2 1 2 3 12 5 2 1 1 5 4 1 4 0 6 6 1 2 4 4 0 0 1 0 3 3 2 3 4 4 5 3 0 2 2 2 4 1 5 6 2 1 2 4 2 0 3 3 2 4 1 13 0 3 2 1 4 2 2 0 9 12 7 0 4 2 11 2 1 1 0 1 0 0 2 0 1 2 2 6 1 3 1 0 3 1 4 4 4 13 0 0 4 1 3 6 0 0 1 4 2 2 2
"sensible" 0 0 1 0 0 0 1 3 0 1 1 1 1 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 2 0 0 0 0 1 0 0 2 0 4 2 1 0 1 0 1 2 0 2 2 0 0 0 0 0 1 0 0 1 1 0 3 0 2 1 1 0 0 0 0 2 1 2 1 0 1 3 0 1 0 1 0 0 0 2 0 3 0 1 0 0 0 1 0 1 2 2 2 1 0 0 0 0 0 1 1 0 1 0 0 1 1 0
"serious" 0 1 1 1 1 0 1 1 1 4 4 2 0 2 2 1 0 0 1 0 0 1 1 0 2 0 1 0 1 1 1 0 1 0 3 0 0 1 0 2 2 0 0 1 1 2 0 0 1 0 0 0 3 1 2 1 1 1 1 2 1 1 0 1 3 1 1 0 0 1 3 1 1 2 0 3 4 0 0 0 1 0 2 2 0 0 1 1 0 3 2 1 0 1 0 1 3 1 1 2 1 0 1 0 0 2 0 0 0 1 0 0 1
"severe" 1 0 0 0 1 1 1 1 0 0 0 2 0 1 3 0 0 1 1 0 1 0 1 0 0 1 0 0 0 2 1 0 0 0 1 2 1 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 1 1 0 0 0 0 0 2 1 1 1 1 1 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 2 0 0 1 1 0 0 0
"silent" 1 0 2 2 0 5 1 1 0 3 2 2 2 6 7 1 0 0 1 1 2 0 5 0 0 1 0 2 3 1 0 2 0 2 3 1 0 2 0 3 2 1 1 1 0 1 3 1 1 5 0 1 0 2 0 0 0 0 0 0 1 6 2 5 1 1 2 0 1 1 7 1 2 1 1 1 6 0 0 3 0 1 1 3 1 1 0 1 2 1 0 0 0 1 2 2 6 3 2 1 1 1 0 1 0 0 1 1 0 4 2 2 1
"slow" 2 0 0 0 0 1 0 1 1 4 0 1 0 1 4 0 0 0 1 2 1 0 1 0 3 1 1 0 0 0 0 0 1 1 0 0 1 1 0 1 0 1 1 2 0 0 1 1 1 4 0 0 0 0 0 0 0 0 0 0 1 2 1 1 0 0 1 0 1 1 6 4 3 2 0 0 1 1 1 1 1 1 2 0 1 0 1 0 0 3 1 0 1 0 0 0 3 4 0 3 0 2 2 1 0 3 0 1 2 1 1 0 0
"soft" 0 0 1 0 1 0 1 1 1 0 1 0 1 2 1 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 2 0 4 2 2 4 0 0 0 0 1 1 1 0 4 1 1 0 3 0 1 1 0 4 0 2 8 0 2 3 1 0 0 1 0 2 1 3 0 2 0 2 1 1 1 0 0 2 1 0 1 2 0 0 0 0 0 1 0 0 1 1 1 0 1 0 0 1 0 0 0 1 1 1 2 1 1 0
"solemn" 2 1 3 2 2 2 1 2 1 4 4 2 3 4 10 2 2 1 2 3 3 3 0 0 0 3 2 1 0 2 0 1 0 2 0 1 1 4 2 4 3 1 1 2 1 2 0 2 2 5 1 1 1 2 0 1 4 1 1 2 2 6 2 1 5 1 2 3 1 1 4 5 4 3 1 5 4 0 0 1 1 0 6 0 3 0 1 3 0 0 2 1 1 0 0 1 6 4 1 7 1 1 1 2 0 5 2 2 1 2 0 4 2
"spirited" 0 0 0 0 0 2 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 2 1 1 0 0 0 1 0 0 0 0 2 0 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 1 0 1 0 0 0 0 1 0 2 0 0 1 0 2 0 0 1 1 0 0 1 0 1 2 1 0 0 1 0 1 0 1 0 0 0 0 0
"stable" 0 0 0 1 0 0 0 2 1 2 1 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 1 0 0 0 0 0 0 2 0 1 1 1 1 0 1 0 1 5 1 0 2 0 0 0 0 0 1 1 0 3 0 1 0 2 2 1 0 0 8 3 0 0 0 0 1 1 1 0 0 2 3 0 1 0 0 0 0 1 0 0 1 1 1 1 0 2 0 1 1 0 0 0 0 0 0 1 0 2 0 2 0
"steady" 0 0 0 1 0 0 1 2 0 0 0 2 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 1 0 0 0 2 0 1 1 0 0 1 0 0 0 0 0 0 2 1 0 0 1 2 0 2 0 2 2 0 1 0 1 1 1 0 0 0 1 1 0 0 0 0 1 1 0 1 0 1 1 1 1 1 0 0 0 0 1 2 1 4 0 1 0 1 0 2 0 0 0 1 0 0 0
"stern" 0 0 0 1 0 2 1 1 0 1 1 0 0 1 1 0 0 0 0 0 1 2 1 0 3 1 0 1 1 0 0 1 1 1 2 0 0 2 0 2 1 1 0 0 0 0 0 0 1 0 0 1 1 1 0 2 0 0 0 1 0 2 1 0 0 0 1 0 1 0 2 3 4 0 0 0 1 1 2 1 1 0 0 0 1 0 1 0 0 0 1 1 0 0 1 1 1 0 1 0 1 1 0 0 1 2 0 1 0 2 0 1 0
"stiff" 0 0 0 0 0 0 0 1 0 0 1 0 0 2 5 1 1 0 2 1 1 0 1 1 0 2 1 1 2 3 0 1 0 0 3 1 1 1 0 0 0 3 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 1 1 0 2 4 1 1 2 0 0 1 0 0 5 1 2 0 0 1 3 0 1 2 0 1 3 1 0 1 2 0 0 0 0 1 0 1 0 0 2 0 1 0 0 1 1 0 0 2 0 1 0 0 0 1 0
"strict" 0 0 1 0 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1 0 1 2 0 0 0 0 0 1 0 2 1 0 0 1 0 0 0 0 0 0 1 0 2 0 2 1 0 0 0 0 0 0 2 1 0 0 0 2 0 0 0 0 0 1 2 1 0 2 0 1 1 0 1 0 1 0 0 0 1 1 1 1 0 0 0 0 0 0 2 0 3 0 1 0
"strong" 4 2 0 1 2 2 4 2 1 5 4 2 2 6 8 1 1 2 1 1 2 0 3 1 0 4 3 0 1 6 2 2 0 3 2 1 3 3 2 6 5 2 2 2 1 2 2 3 2 6 0 0 1 2 2 3 2 2 0 3 2 9 1 3 3 1 3 1 3 1 13 7 7 4 3 1 4 0 4 2 3 0 4 2 3 1 6 3 1 6 1 0 1 1 2 0 0 5 3 10 3 3 4 4 1 7 3 3 2 4 1 1 1
"sudden" 3 0 0 0 4 4 2 2 0 6 3 1 1 5 9 1 0 0 2 4 3 1 0 2 1 1 0 1 4 2 1 5 1 3 1 1 1 2 0 4 2 1 0 1 0 1 4 2 1 8 1 0 1 0 1 0 4 2 1 1 3 13 0 2 2 0 2 3 3 1 12 10 4 1 1 2 4 2 1 2 2 3 4 2 1 0 3 4 1 4 0 2 2 0 0 1 5 0 3 7 1 0 3 0 1 5 1 0 3 4 1 1 0
"sufficient" 1 0 1 1 0 2 0 1 0 1 2 0 2 0 3 1 1 0 0 1 0 1 1 1 0 1 0 1 3 0 1 2 0 1 2 1 1 1 1 5 1 0 0 0 0 0 0 0 2 2 0 0 0 2 1 1 0 1 1 0 0 4 1 2 0 0 2 1 0 1 7 2 2 0 1 1 2 0 2 0 2 0 4 1 1 0 2 0 0 1 1 0 1 1 1 1 3 3 0 4 1 0 0 0 1 2 2 1 1 1 0 0 1
"sure" 3 3 3 1 1 3 0 3 0 8 3 0 3 2 17 3 0 2 2 8 1 3 2 2 0 6 1 1 4 1 1 5 1 2 0 3 2 4 5 9 3 2 2 2 2 3 4 2 6 4 1 1 2 3 4 0 6 4 2 4 5 11 2 5 1 2 9 3 5 0 10 8 8 1 4 5 6 2 1 3 1 1 13 0 2 0 1 3 1 7 2 1 4 0 0 1 10 7 4 0 2 0 5 5 3 13 3 4 3 2 0 3 1
"surly" 1 0 0 0 0 2 1 0 0 2 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 1 1 2 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 2 1 0 1 1 1 0 0 1 2 0 0 0 1 0 0 0 1 0 1 0 0 1 1 1 0 1 0 1 3 1 1 2 0 0 0 1 0 0 0 0 0 2 0 1 0
"suspicious" 1 0 0 0 0 0 1 0 2 0 0 0 0 1 1 0 1 0 1 1 1 1 2 0 1 0 1 0 1 1 0 1 1 0 0 0 0 0 1 1 0 1 0 2 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 1 2 0 0 1 3 0 1 0 3 3 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 1 0 0 1 1 1 0 3 0 0 0 0 0 2 0 0 0 0 1 0 2 1 1 0
"sweet" 1 1 0 0 0 0 0 3 1 5 1 0 0 2 8 1 0 0 1 3 0 0 0 0 1 2 1 0 3 0 0 1 0 0 2 0 2 2 0 2 4 2 2 2 2 1 1 0 0 4 0 0 0 0 1 0 2 2 1 1 1 5 0 1 0 0 1 1 5 0 4 2 6 2 0 0 1 0 1 1 1 1 4 0 1 1 0 2 1 1 0 0 0 0 1 0 4 3 0 5 0 2 0 1 0 3 0 3 1 3 0 2 0
"thoughtful" 1 0 0 0 0 0 0 1 0 1 1 0 1 1 1 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 2 0 0 2 2 0 0 0 0 0 0 1 2 0 0 1 0 1 0 0 0 1 2 0 1 2 1 0 0 1 1 0 1 1 0 1 0 0 0 3 0 1 0 1 0 1 0 0 0 1 1 0 2 1 0 1 0 0 0 4 0 0 5 1 0 1 0 0 4 0 1 0 1 0 1 0
"tight" 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 2 0 0 0 0 0 1 4 0 3 1 0 1 1 2 0 0 0 1 1 0 0 4 0 1 0 0 1 0 0 0 4 0 1 0 0 0 2 1 2 0 0 0 3 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 3 0 0 0 0 0 0 1 0 0 1 0 0 0
"true" 2 0 0 0 3 1 1 4 0 9 5 1 0 1 9 1 1 1 1 4 4 0 2 0 1 4 2 2 2 3 0 3 1 2 3 0 2 3 0 2 6 3 0 0 1 0 1 3 3 5 0 2 1 2 2 0 5 1 1 5 4 5 2 1 2 0 6 1 4 1 8 10 7 0 1 3 6 0 2 2 2 2 6 1 2 2 0 3 0 5 1 0 2 2 2 0 7 5 2 13 0 0 3 4 0 0 1 1 1 2 0 2 1
"uncertain" 1 2 0 0 0 0 0 1 0 3 1 1 0 3 1 0 1 0 0 1 1 0 1 0 0 1 1 0 1 0 1 0 0 2 0 1 1 1 1 1 0 0 0 0 0 1 2 0 0 1 0 0 0 2 0 1 0 1 2 0 0 2 1 2 0 0 3 1 0 0 5 3 1 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 1 2 0 0 0 0 0 0 3 1 2 3 0 0 0 0 1 1 0 1 0 0 0 1 0
"unhappy" 0 2 1 0 0 0 0 2 0 0 4 0 1 1 4 2 0 0 0 1 0 0 1 1 0 2 0 1 1 2 1 1 0 1 0 0 1 2 1 1 2 0 1 2 3 0 0 1 3 2 1 0 1 0 1 2 0 1 3 0 0 5 0 3 0 0 2 2 1 1 5 5 0 0 0 0 3 0 1 0 0 2 0 1 0 0 1 1 1 2 1 1 0 1 1 2 3 0 1 4 0 1 3 1 0 1 1 0 1 3 1 2 1
"vain" 0 0 0 0 1 0 1 0 0 1 1 0 1 0 4 1 0 0 1 1 0 0 0 0 1 2 0 0 1 1 0 0 0 0 0 2 1 2 1 3 0 1 0 0 0 0 0 0 1 0 1 2 0 1 2 0 0 0 1 0 2 2 0 0 1 0 0 1 2 0 3 1 0 1 0 0 0 0 0 1 2 0 1 0 0 1 0 2 1 1 0 0 0 0 0 0 2 3 1 3 0 0 1 0 0 1 0 1 0 2 0 0 1
"violent" 2 1 0 3 0 1 3 0 2 6 3 0 1 4 5 3 1 0 0 3 0 1 0 1 1 0 1 1 3 0 0 1 0 1 2 1 1 1 2 0 4 2 1 1 1 1 1 1 2 3 2 1 1 0 1 1 2 1 2 1 2 8 0 6 0 1 1 3 2 0 4 4 5 1 0 0 6 2 1 2 1 1 4 0 1 1 4 1 2 2 0 2 1 2 0 3 4 4 1 2 2 2 3 1 1 2 0 3 2 0 1 1 1
"willing" 0 1 1 0 0 0 0 1 0 0 2 0 1 0 2 0 0 0 0 1 1 0 0 1 1 1 1 0 0 1 0 0 0 0 0 1 0 2 1 0 2 0 1 0 0 1 2 0 0 2 1 0 0 2 0 0 0 0 1 1 0 2 0 1 0 1 1 0 1 0 4 1 2 0 2 0 2 1 0 0 0 0 2 1 0 0 2 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0
"wise" 0 0 0 0 1 0 0 2 1 1 2 0 0 1 2 0 1 0 2 1 2 1 1 0 0 0 1 2 0 2 0 1 0 1 0 0 0 2 1 4 2 0 0 0 1 0 1 1 1 1 1 0 0 0 0 1 1 0 0 0 0 4 1 0 1 1 2 2 3 1 2 3 6 0 2 2 1 1 0 0 1 1 2 1 0 0 2 0 1 4 0 2 0 1 1 1 1 1 0 3 1 1 2 1 0 2 1 2 0 1 0 0 0
"weak" 0 0 2 2 0 1 0 0 0 2 1 0 2 1 2 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0 1 0 2 0 0 0 0 3 0 0 0 0 1 2 0 1 0 1 0 0 2 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 1 1 1 0 0 0
