"active" "bitter" "boisterous" "bold" "brave" "busy" "calm" "careful" "careless" "catholic" "certain" "cheerful" "close" "cold" "constant" "cool" "cruel" "curious" "delicate" "earnest" "easy" "faithful" "familiar" "fierce" "frank" "free" "fresh" "friendly" "gallant" "gay" "general" "gentle" "giddy" "gloomy" "graceful" "gracious" "grave" "handsome" "hasty" "hearty" "heavy" "honest" "humble" "impatient" "indifferent" "keen" "kind" "lively" "lofty" "lonely" "loud" "melancholy" "merry" "mild" "military" "mournful" "natural" "noisy" "open" "original" "particular" "patient" "placid" "pleasant" "proud" "quick" "quiet" "rapid" "reckless" "religious" "restless" "rough" "rusty" "sad" "second" "sensible" "serious" "silent" "slow" "smooth" "sober" "solemn" "stable" "steady" "stealthy" "stern" "strong" "sudden" "sufficient" "sullen" "sure" "sweet" "thoughtful" "timid" "true" "ugly" "uncertain" "unhappy" "vague" "vain" "violent" "weak" "wise"
"patient" 0 0 1 1 0 3 0 0 0 1 4 4 1 4 1 1 1 0 0 1 1 1 1 0 0 2 1 1 0 0 0 1 0 1 0 2 1 1 1 1 1 1 1 0 1 0 2 1 1 1 0 0 1 2 0 1 0 0 3 1 2 0 0 0 1 0 2 1 0 1 1 1 1 3 2 0 1 1 1 1 0 1 1 0 1 0 5 0 1 1 2 0 1 2 2 0 0 0 0 0 1 0 2
"placid" 0 0 0 0 0 0 2 0 1 0 1 2 0 3 1 2 0 2 0 2 4 0 1 0 1 4 0 0 1 1 1 1 0 1 1 0 1 3 1 1 2 0 0 2 0 1 0 2 1 0 0 0 0 0 0 0 1 0 2 0 1 0 0 2 0 1 1 0 0 0 1 1 1 2 0 1 1 2 2 2 1 1 1 0 0 1 3 0 0 1 5 1 0 0 2 0 0 0 0 0 0 0 1
"pleasant" 1 3 2 4 2 3 3 2 2 0 5 11 5 8 3 3 4 4 2 1 8 1 3 1 1 7 3 2 0 6 2 8 2 1 1 3 3 5 1 4 9 5 3 2 2 0 1 1 2 2 2 0 1 3 2 1 5 2 6 4 6 0 2 0 7 2 7 0 1 0 1 5 3 2 4 4 4 7 2 2 2 3 2 2 1 2 6 0 0 2 12 5 2 1 6 3 1 1 0 2 3 3 2
"proud" 1 3 2 8 2 2 1 5 1 2 9 5 3 5 2 0 3 3 3 6 5 2 1 2 0 4 3 1 2 4 8 3 1 3 2 2 4 5 1 1 5 8 6 0 2 0 5 2 4 0 6 1 1 2 1 1 5 1 8 4 7 1 0 7 0 2 6 1 1 2 3 5 1 3 3 0 2 5 0 0 1 5 6 3 1 2 7 3 1 1 18 4 2 2 8 1 2 4 3 1 1 4 1
"quick" 4 0 4 4 3 1 0 1 0 3 6 1 1 5 2 2 1 0 1 2 5 1 1 2 0 2 1 2 1 1 4 4 0 2 0 1 1 0 1 1 4 3 4 1 2 2 1 0 0 0 4 1 0 4 0 0 2 0 6 0 5 0 1 2 2 0 5 2 0 0 0 2 2 1 3 1 2 3 2 1 0 1 3 0 0 0 9 3 1 2 8 1 3 1 6 0 1 1 0 2 1 3 4
"quiet" 3 3 4 8 3 7 3 3 1 2 11 7 8 10 8 2 6 1 4 1 11 2 2 5 2 10 5 2 1 3 4 10 2 4 1 0 4 5 5 4 9 7 4 3 1 2 6 1 1 3 6 2 1 2 4 2 4 3 16 4 5 2 1 7 6 5 0 3 4 2 7 8 0 5 8 2 8 13 3 2 2 8 5 3 1 2 20 9 7 1 10 3 5 2 8 2 2 5 3 3 4 3 4
"rapid" 1 0 0 2 3 2 0 0 0 1 0 0 0 3 0 1 0 0 1 2 1 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 1 1 1 2 1 0 0 3 0 0 0 0 2 1 0 0 1 0 0 0 1 2 1 1 1 0 0 1 2 3 0 1 0 0 2 0 3 2 0 0 2 0 0 0 2 1 1 0 0 2 2 0 0 2 0 0 0 1 0 0 0 2 2 2 0 0
"reckless" 1 0 2 3 0 1 0 1 2 0 3 1 1 2 1 2 2 1 0 2 1 0 0 2 0 1 2 1 0 1 2 2 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 1 1 0 1 1 0 0 0 1 1 2 0 0 1 1 0 4 1 0 1 1 2 1 1 1 1 2 2 1 1 0 1 2 2 1 0 3 1 0 1 4 1 0 1 3 2 1 0 1 0 1 0 1
"religious" 0 1 0 2 0 1 0 3 1 2 4 1 0 1 2 1 1 0 0 1 0 1 0 0 1 2 0 1 0 0 2 0 0 1 0 0 1 2 0 0 3 2 1 0 0 1 0 0 0 0 0 0 0 1 1 0 3 0 3 1 0 1 0 0 2 0 2 0 1 0 1 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 5 1 3 0 4 0 1 0 1 1 0 0 0 0 1 2 2
"restless" 0 2 2 0 0 2 0 0 1 2 1 3 2 5 3 0 2 1 0 1 3 1 0 1 0 3 1 1 1 0 2 1 2 2 0 0 0 2 2 0 3 1 2 0 1 1 2 0 0 1 1 0 0 0 0 0 4 0 4 1 1 1 1 1 3 0 7 0 1 1 0 1 1 1 1 0 3 5 1 1 0 1 1 0 1 0 2 3 1 0 4 1 1 0 2 1 0 1 1 0 2 1 0
"rough" 2 0 1 6 2 1 2 0 1 1 5 2 7 7 1 2 1 0 2 3 7 1 0 1 2 3 1 1 0 1 0 2 0 4 1 1 1 1 3 1 5 3 1 2 3 1 2 1 1 2 1 1 0 2 0 0 3 1 6 1 4 1 1 5 5 2 8 2 2 0 1 0 2 0 3 1 1 4 3 1 0 1 1 4 0 1 6 3 1 2 6 2 0 0 3 1 3 0 1 1 2 0 1
"rusty" 0 0 2 2 3 2 0 0 1 1 0 1 1 4 0 0 0 0 0 2 0 0 0 1 0 1 1 2 2 1 2 1 0 1 0 1 0 1 0 0 3 0 2 0 0 1 1 0 2 0 0 0 0 0 0 1 1 0 3 0 2 1 1 3 1 2 0 0 1 0 1 2 0 0 1 0 1 4 1 1 1 1 0 2 0 0 4 1 0 2 2 0 1 0 3 0 0 0 0 0 0 1 1
"sad" 0 0 0 1 1 4 2 3 1 0 5 4 0 6 1 2 2 2 1 2 5 0 4 4 0 6 1 0 0 1 3 1 1 2 2 0 1 6 1 1 1 2 3 0 2 1 1 1 1 2 0 2 3 1 1 1 0 0 7 6 4 3 2 2 3 1 5 3 1 0 1 0 0 0 2 1 1 4 4 2 2 4 0 2 0 2 5 1 0 2 9 0 1 1 2 0 0 3 1 2 2 0 1
"second" 2 0 1 6 4 2 1 0 0 1 5 3 1 6 2 0 0 2 1 2 7 1 0 1 1 4 0 2 1 2 2 2 1 1 0 5 2 1 1 2 6 2 2 2 0 1 2 1 1 0 3 1 1 1 2 0 1 0 6 4 2 2 0 4 3 3 8 2 1 0 1 3 1 2 0 1 2 1 1 0 0 4 3 3 0 1 12 5 2 1 9 2 2 0 5 2 1 4 2 0 2 1 3
"sensible" 0 1 0 0 1 0 1 0 0 0 2 0 2 3 0 1 0 1 0 0 1 0 0 0 2 2 0 1 0 0 1 3 0 0 0 0 1 1 1 0 0 3 0 1 0 0 0 1 1 2 0 0 0 0 1 1 2 2 1 1 0 0 1 4 0 1 2 0 1 0 0 1 0 1 1 0 1 0 0 1 1 1 0 0 0 2 2 0 0 0 5 2 0 1 3 1 1 1 0 0 0 0 0
"serious" 1 0 2 3 1 1 0 0 1 0 5 3 2 7 2 1 1 1 0 0 2 0 1 1 1 2 2 1 0 1 4 3 1 1 1 2 3 5 1 2 0 1 0 0 0 0 2 1 0 0 2 2 0 0 1 0 5 2 4 0 2 1 1 4 2 2 8 0 2 1 3 1 1 1 2 1 0 3 2 2 1 3 1 1 1 0 5 1 0 0 4 1 1 1 3 1 1 0 0 0 0 2 0
"silent" 3 2 3 3 3 5 4 3 5 0 9 9 6 12 3 4 3 3 2 4 7 1 2 3 1 10 2 6 4 2 8 6 3 5 2 2 4 5 2 3 10 7 5 2 2 5 5 1 0 5 7 2 2 0 0 3 9 2 11 5 8 1 2 7 5 3 13 2 2 1 5 4 4 4 1 0 3 0 5 3 1 6 3 4 5 3 16 6 3 4 14 3 1 2 8 5 3 5 1 4 0 1 3
"slow" 0 1 1 2 1 1 0 1 0 1 5 4 2 6 1 1 1 0 0 1 2 2 2 1 0 7 0 3 1 0 1 2 2 1 1 0 1 3 0 4 4 2 0 0 2 2 1 1 0 1 2 3 1 1 0 1 2 1 6 1 2 1 2 2 0 2 3 0 1 1 1 3 1 4 1 0 2 5 0 2 1 1 2 2 1 2 5 2 1 0 4 0 0 0 2 1 2 0 1 1 0 0 1
"smooth" 0 0 2 0 0 1 1 0 1 1 3 2 3 3 1 1 2 0 0 0 2 0 0 1 1 3 0 1 0 0 1 2 2 0 1 0 0 1 1 0 1 1 1 1 1 0 0 2 0 0 1 0 0 1 0 0 1 0 1 2 1 1 2 2 0 1 2 0 1 0 1 1 1 2 0 1 2 3 2 0 1 2 0 0 1 1 3 1 0 0 2 2 0 1 5 0 0 0 0 1 0 0 0
"sober" 1 0 0 2 1 3 0 1 1 0 3 2 1 3 1 2 0 0 1 0 1 0 2 0 0 2 0 1 1 1 0 2 0 2 0 0 0 3 0 1 2 2 1 0 0 0 0 1 1 0 1 0 0 0 1 1 1 0 3 0 3 0 1 2 1 0 2 0 0 1 0 0 1 2 0 1 1 1 1 1 0 1 4 0 0 0 6 0 0 0 2 0 1 2 5 0 2 0 0 1 1 1 0
"solemn" 2 0 1 2 2 3 0 0 1 2 6 4 2 4 0 2 1 3 1 2 2 0 2 2 0 3 2 0 1 0 3 1 1 1 2 2 3 2 0 0 6 2 1 0 2 1 2 2 1 0 2 0 1 1 3 0 4 0 5 3 4 1 1 3 5 1 8 2 1 1 1 1 1 4 4 1 3 6 1 2 1 0 4 2 1 0 7 3 2 0 8 2 1 0 2 1 0 2 2 1 1 0 1
"stable" 3 1 1 2 1 1 0 3 1 0 4 4 2 2 1 1 1 2 1 1 4 0 0 1 0 2 1 1 1 2 2 3 0 2 0 1 4 1 2 2 3 2 2 0 0 1 2 3 1 0 2 1 0 0 2 0 2 0 3 0 3 1 1 2 6 3 5 1 2 1 1 1 0 0 3 0 1 3 2 0 4 4 0 0 1 0 11 1 0 0 6 0 3 1 3 2 1 1 1 1 0 0 3
"steady" 0 1 1 3 2 1 0 1 2 1 1 1 2 3 1 0 1 2 2 2 4 0 0 1 0 3 1 2 0 1 1 1 0 1 0 1 0 4 0 1 6 5 3 2 2 1 0 1 2 0 2 0 0 1 0 0 1 0 4 2 2 0 0 2 3 0 3 1 2 0 0 4 2 2 3 0 1 4 2 0 0 2 0 0 0 0 2 0 0 2 4 1 1 0 4 0 0 2 1 1 2 0 0
"stealthy" 1 0 2 2 0 3 0 0 0 0 2 3 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 0 1 0 4 2 0 0 1 0 1 1 2 3 3 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 4 0 2 1 0 1 1 0 1 0 1 0 1 0 0 0 0 0 1 5 1 1 0 1 1 0 0 1 3 0 0 1 1 2 0 0 1 0 1 1 0 1 1 0 0
"stern" 0 0 0 1 1 1 2 0 0 0 2 0 1 2 0 0 1 0 0 1 2 1 1 2 1 4 0 0 1 0 1 1 1 0 0 0 0 0 1 0 3 1 0 1 0 1 0 1 1 2 1 3 1 0 0 1 0 2 5 1 1 0 1 2 2 0 2 0 0 0 0 1 0 2 1 2 0 3 2 1 0 0 0 0 1 0 1 0 0 0 4 1 0 2 1 1 1 1 0 1 0 1 1
"strong" 9 2 4 12 7 12 2 4 2 2 20 10 7 13 5 5 4 2 1 6 16 3 5 6 2 11 2 7 5 4 12 8 2 9 1 6 4 6 6 6 17 7 6 4 4 2 7 3 3 3 12 1 4 4 6 2 5 2 13 7 8 5 3 6 7 9 20 2 3 5 2 6 4 5 12 2 5 16 5 3 6 7 11 2 3 1 0 11 5 3 21 2 3 5 13 4 4 3 5 3 6 5 6
"sudden" 1 1 1 4 1 1 0 1 0 1 3 2 3 6 4 0 1 0 0 0 4 1 0 2 0 3 0 3 2 1 2 1 1 1 0 1 2 2 2 1 3 3 2 2 1 1 2 0 0 2 3 1 0 1 0 0 3 1 6 2 1 0 0 0 3 3 9 2 1 1 3 3 1 1 5 0 1 6 2 1 0 3 1 0 0 0 11 0 1 1 5 0 2 0 3 1 1 2 2 0 2 1 2
"sufficient" 1 1 1 3 0 2 0 0 0 3 1 1 2 4 2 0 1 3 0 0 2 0 0 2 0 3 1 2 0 0 1 5 0 1 2 1 1 2 0 0 2 5 0 1 0 2 0 1 0 0 4 1 1 2 0 0 2 0 4 2 2 1 0 0 1 1 7 0 0 3 1 1 0 0 2 0 0 3 1 0 0 2 0 0 0 0 5 1 0 0 5 1 0 1 1 0 0 0 0 0 0 1 1
"sullen" 0 0 2 3 1 1 0 1 1 0 0 1 1 4 0 0 1 1 0 0 3 0 0 2 0 2 0 2 1 1 1 0 0 1 0 0 0 4 0 1 1 0 2 2 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 1 1 1 2 1 2 1 0 1 0 0 2 2 2 1 0 0 4 0 0 0 0 0 2 1 0 3 1 0 0 4 1 0 0 1 0 1 0 1 0 1 0 2
"sure" 4 3 3 16 8 3 4 5 3 3 22 10 3 15 5 3 9 8 3 10 12 4 4 4 3 12 4 4 2 4 17 7 2 4 5 9 6 11 2 8 12 12 6 4 3 2 5 4 6 2 9 1 5 5 3 4 11 1 21 7 8 2 5 12 18 8 10 2 4 4 4 6 2 9 9 5 4 14 4 2 2 8 6 4 1 4 21 5 5 4 0 7 2 3 16 3 4 7 2 3 4 8 6
"sweet" 0 2 1 1 3 2 0 1 0 1 5 1 3 4 3 2 1 1 1 3 4 1 1 0 1 3 0 0 0 0 2 5 2 1 1 2 0 2 0 0 2 2 1 1 1 0 0 0 1 1 2 0 1 2 0 0 4 2 3 2 1 0 1 5 4 1 3 0 1 0 1 2 0 0 2 2 1 3 0 2 0 2 0 1 2 1 2 0 1 1 7 0 1 1 3 1 0 1 1 1 1 1 1
"thoughtful" 2 2 1 2 0 4 0 1 1 0 0 1 1 2 0 3 0 0 1 0 5 0 0 0 0 1 2 0 0 1 2 3 2 0 0 1 3 1 0 1 2 1 3 1 1 0 1 1 1 0 0 1 0 2 1 1 3 0 2 1 1 1 0 2 2 3 5 0 0 1 1 0 1 1 2 0 1 1 0 0 1 1 3 1 0 0 3 2 0 0 2 1 0 1 1 1 0 0 0 1 1 2 3
"timid" 1 1 0 0 1 1 0 0 1 1 5 1 2 3 2 1 2 0 1 0 1 0 0 0 0 5 1 0 1 0 3 0 0 0 0 0 0 1 0 1 1 2 2 0 0 1 0 0 0 1 3 1 0 2 2 0 0 2 5 2 2 2 0 1 2 1 2 0 1 0 0 0 0 1 0 1 1 2 0 1 2 0 1 0 0 2 5 0 1 0 3 1 1 0 3 1 2 0 0 1 0 1 1
"true" 2 1 4 6 3 1 2 0 1 5 11 4 2 7 4 1 3 3 2 4 8 2 1 1 2 5 5 4 1 2 6 7 2 4 0 1 2 4 4 2 7 8 4 1 2 0 3 2 2 1 2 2 0 4 1 0 6 1 10 2 5 2 2 6 8 6 8 1 3 1 2 3 3 2 5 3 3 8 2 5 5 2 3 4 1 1 13 3 1 1 16 3 1 3 0 0 1 3 1 2 3 4 1
"ugly" 0 0 1 1 1 1 1 2 1 0 3 1 2 2 0 2 1 0 1 1 1 0 1 1 0 2 0 0 0 0 2 0 0 2 1 1 1 0 0 0 2 2 0 0 0 0 0 0 1 3 1 0 0 1 0 0 2 2 2 2 1 0 0 3 1 0 2 0 2 1 1 1 0 0 2 1 1 5 1 0 0 1 2 0 0 1 4 1 0 0 3 1 1 1 0 0 1 0 0 0 0 0 0
"uncertain" 1 0 1 2 0 0 0 1 0 0 3 1 0 2 0 2 1 0 0 0 2 1 0 2 0 1 0 2 1 0 1 1 1 1 0 0 1 1 0 1 5 1 0 0 0 0 1 0 2 0 2 1 1 0 1 2 0 1 6 2 3 0 0 1 2 1 2 0 1 0 0 3 0 0 1 1 1 3 2 0 2 0 1 0 1 1 4 1 0 1 4 0 0 2 1 1 0 0 1 2 0 0 1
"unhappy" 1 0 0 1 0 1 1 0 0 1 2 2 0 2 2 0 1 1 0 1 2 1 1 0 0 5 0 0 1 1 0 2 0 0 1 1 0 4 0 1 2 4 1 0 0 0 1 0 3 0 1 0 2 0 1 1 0 0 4 3 1 0 0 1 4 1 5 0 0 0 1 0 0 3 4 1 0 5 0 0 0 2 1 2 1 1 3 2 0 0 7 1 0 0 3 0 0 0 1 1 1 1 0
"vague" 1 0 0 3 1 3 2 0 0 1 3 1 0 1 0 0 1 0 0 0 2 1 1 1 0 1 0 0 1 0 1 1 0 1 1 0 0 2 1 1 0 3 1 0 2 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 3 2 1 0 1 1 0 1 2 0 0 1 1 0 0 2 1 1 0 0 5 2 0 1 2 1 0 0 1 0 1 1 0 0 1 0 0
"vain" 3 0 0 0 0 2 0 0 0 0 1 1 1 3 0 0 2 0 1 1 0 1 1 0 0 3 1 0 0 1 0 1 2 1 0 0 1 1 0 1 3 3 1 0 0 0 1 0 0 1 1 1 1 0 0 1 0 0 5 1 3 0 0 2 1 2 3 2 0 0 0 1 0 2 0 0 0 4 1 1 1 1 1 1 1 1 3 0 0 0 3 1 1 1 2 0 2 1 0 0 2 1 1
"violent" 2 1 2 2 1 3 0 0 3 2 3 3 1 1 2 0 2 0 0 0 2 2 2 2 1 3 1 2 0 0 1 1 0 3 0 1 0 1 1 1 5 2 3 1 3 0 1 1 0 0 3 0 0 2 0 0 1 1 4 1 1 1 0 3 1 1 4 2 1 1 2 2 0 2 2 0 0 0 0 0 1 1 0 2 1 0 6 2 0 1 4 1 1 0 3 0 0 1 1 2 0 0 1
"weak" 2 1 1 3 2 1 1 2 0 0 3 1 0 2 1 0 1 2 0 1 5 1 0 0 1 1 1 1 1 3 2 3 1 2 0 1 2 1 1 1 3 2 0 1 0 0 2 0 0 0 4 0 0 1 1 0 2 1 4 2 3 0 0 3 4 3 3 0 0 2 1 0 1 0 1 0 2 1 0 0 1 0 0 0 0 1 5 1 1 0 8 1 2 1 4 0 0 1 0 1 0 0 3
"wise" 2 1 1 3 2 3 1 0 1 1 8 4 0 2 4 4 1 1 1 1 7 1 3 0 0 3 1 1 2 3 1 2 0 1 0 0 2 1 0 0 3 1 2 1 0 1 1 0 0 0 1 1 2 0 1 0 4 0 5 1 2 2 1 2 1 4 4 0 1 2 0 1 1 1 3 0 0 3 1 0 0 1 3 0 0 1 6 2 1 2 6 1 3 1 1 0 1 0 0 1 1 3 0
