"acceptable" "active" "affable" "affectionate" "busy" "calm" "careful" "certain" "cheerful" "clean" "close" "cold" "confidential" "considerate" "constant" "cool" "cruel" "curious" "delicate" "determined" "direct" "domestic" "earnest" "easy" "expressive" "faithful" "familiar" "free" "fresh" "friendly" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "heavy" "honest" "hopeful" "hopeless" "humble" "hurried" "immovable" "impatient" "indifferent" "jealous" "kind" "lively" "lofty" "loud" "melancholy" "modest" "natural" "neat" "open" "original" "particular" "passionate" "patient" "pleasant" "polite" "practical" "precise" "proud" "quick" "quiet" "rapid" "reasonable" "responsible" "rigid" "rough" "rusty" "sad" "sagacious" "second" "sensible" "serious" "severe" "silent" "simple" "slow" "smooth" "social" "soft" "spirited" "steady" "stern" "stiff" "strong" "submissive" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "thoughtful" "tight" "timid" "true" "ugly" "uncertain" "unhappy" "vague" "vain" "violent" "weak" "wise" "worldly"
"grateful" 1 1 0 2 1 2 0 3 0 0 1 2 0 1 0 0 3 1 5 0 0 1 2 1 0 3 0 2 0 0 1 1 0 2 1 1 1 0 1 1 3 0 2 0 2 1 0 2 1 0 4 0 0 1 0 0 5 1 3 2 2 1 1 1 3 0 0 1 3 4 1 1 1 0 1 1 2 2 4 0 1 0 0 0 1 0 0 1 0 1 1 0 2 1 1 0 6 3 1 1 2 0 3 6 1 0 3 0 0 1 3 0 1
"grave" 2 0 0 3 1 1 2 2 2 0 2 2 0 0 0 1 0 2 0 1 0 0 1 2 1 0 0 5 1 1 4 2 0 2 1 0 0 1 0 3 0 2 2 1 0 1 0 0 1 0 3 0 0 1 0 0 4 0 3 0 0 1 0 3 0 3 0 3 2 3 0 1 1 0 0 0 0 0 1 1 2 0 3 1 2 1 0 1 0 0 0 0 2 0 1 1 4 1 0 2 0 3 1 1 0 1 1 0 0 0 1 1 1
"handsome" 0 1 1 2 0 1 0 11 1 2 4 2 2 1 4 2 2 4 3 1 2 0 1 10 3 1 3 5 3 4 6 3 1 1 2 0 4 1 3 0 3 1 1 0 0 0 0 3 2 1 4 2 1 1 0 0 5 2 5 2 4 2 1 3 1 1 0 6 3 3 1 0 1 1 0 0 1 2 9 6 1 2 4 1 4 1 3 3 2 1 1 1 7 2 1 0 8 2 0 0 2 1 0 7 3 3 1 0 1 0 3 2 1
"heavy" 0 2 1 2 5 2 3 11 3 0 4 3 1 4 1 4 6 4 2 1 1 1 0 6 3 2 3 10 2 4 8 2 2 5 4 1 3 3 0 3 0 1 4 0 2 3 1 3 2 2 6 3 1 4 0 2 8 0 7 4 8 1 2 2 0 4 2 8 6 5 5 0 1 1 5 1 2 1 4 5 1 1 10 3 3 2 1 2 2 3 4 1 13 2 6 2 12 3 4 3 0 1 1 7 1 2 2 1 4 3 7 3 0
"honest" 0 1 1 1 2 1 1 3 1 0 0 3 0 0 1 0 4 3 3 1 0 1 1 5 1 3 1 4 1 3 4 2 0 2 1 0 1 0 2 1 1 0 2 2 2 1 1 1 0 1 3 0 0 2 0 0 3 1 3 1 3 0 3 2 1 1 0 2 1 6 0 0 0 1 0 0 1 0 3 2 0 0 6 0 1 2 1 0 0 1 0 0 2 0 1 1 7 0 0 0 1 2 0 5 2 2 1 1 0 2 2 0 0
"hopeful" 1 1 0 2 3 1 0 5 0 0 1 1 0 2 0 1 2 3 3 1 0 1 1 4 1 2 1 1 0 2 4 2 0 1 1 2 2 2 2 1 4 2 0 1 0 2 1 0 0 0 0 0 0 1 1 1 2 0 3 0 0 0 1 2 0 0 0 2 1 3 0 1 0 1 0 0 0 0 4 0 1 0 3 0 2 1 0 1 2 0 1 1 4 0 2 0 5 0 1 1 0 1 2 4 0 1 2 0 1 0 3 1 0
"hopeless" 0 2 0 0 2 2 0 2 0 0 0 1 0 0 0 0 3 1 0 0 0 0 1 1 1 1 1 0 1 0 2 1 0 0 1 1 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 1 0 2 0 1 2 0 1 0 1 0 3 0 0 0 0 1 0 0 0 1 0 0 0 3 0 1 1 0 0 0 0 1 0 1 0 1 1 2 2 1 0 0 1 0 2 1 1 2 0 0 0 1 0 0
"humble" 2 1 1 0 1 0 1 1 0 1 1 3 0 0 0 1 2 0 4 0 1 4 0 2 0 1 0 2 2 1 2 0 0 1 1 0 1 2 0 0 2 2 0 0 0 0 0 0 2 0 3 1 0 1 0 1 3 1 2 2 5 0 0 2 0 1 0 3 5 1 1 0 1 1 0 1 1 0 3 2 1 0 0 1 0 0 2 0 0 0 0 0 5 0 1 0 4 4 1 0 0 0 0 5 1 0 1 0 0 0 2 0 1
"hurried" 0 0 0 1 2 0 0 1 1 1 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 3 1 0 3 3 0 2 1 0 2 1 1 0 3 1 2 0 0 0 0 1 0 0 4 0 0 0 1 1 2 0 1 0 0 0 0 2 0 0 0 3 1 2 2 0 0 0 1 0 0 0 1 0 0 0 1 2 0 0 1 2 0 1 1 0 4 1 0 0 5 0 0 0 0 0 1 2 0 1 2 0 2 0 2 0 0
"immovable" 0 1 0 0 0 2 0 3 0 0 1 1 1 0 0 0 1 1 0 0 0 1 0 2 1 0 0 1 0 0 1 0 0 0 3 0 0 0 0 0 1 1 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 1 1 1 0 2 1 2 0 0 1 1 1 1 0 0 2 2 0 0 1 0 0 0 0 0 0 1 1 1 5 1 1 0 2 0 0 1 0 0 2 1 1 0 0 3 0 0 2 0 0
