"active" "affectionate" "busy" "certain" "cheerful" "civil" "close" "cold" "constant" "decided" "determined" "domestic" "eager" "easy" "free" "fresh" "friendly" "gay" "general" "gentle" "grateful" "grave" "handsome" "hasty" "heavy" "impatient" "independent" "indifferent" "indolent" "intimate" "kind" "lively" "melancholy" "mild" "modest" "natural" "open" "particular" "pleasant" "quick" "quiet" "reasonable" "sad" "sanguine" "second" "selfish" "sensible" "serious" "silent" "simple" "steady" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "true" "unhappy" "vain" "willing"
"modest" 2 3 2 2 1 1 2 0 2 1 0 0 2 2 1 3 1 0 7 2 1 1 0 0 1 2 1 0 1 1 3 0 1 0 0 2 0 1 4 4 2 1 3 0 0 0 2 4 1 2 1 3 2 2 8 1 2 0 2 1 0 2
"natural" 3 3 3 7 4 3 4 5 4 3 6 4 5 5 1 1 4 0 12 2 5 4 2 2 3 3 3 1 1 1 7 7 0 2 2 0 6 4 10 3 5 3 2 1 2 1 5 5 5 4 2 10 2 0 15 5 2 1 9 4 1 4
"open" 0 0 1 2 2 1 2 1 3 1 2 3 0 2 1 2 2 0 7 3 5 2 2 2 1 0 1 2 0 0 4 4 0 2 0 6 0 3 5 0 2 1 0 1 2 1 3 6 4 0 3 1 4 0 8 1 0 3 3 2 1 2
"particular" 1 1 2 4 1 1 2 1 3 1 1 2 2 4 2 2 2 3 8 2 2 1 4 1 2 2 0 2 1 5 4 3 2 2 1 4 3 0 2 3 4 2 1 0 4 2 2 2 3 0 3 3 2 1 10 4 1 1 6 2 1 1
"pleasant" 2 1 2 4 4 3 4 5 3 0 5 2 4 6 4 5 3 1 15 2 5 1 3 2 2 2 4 2 4 0 8 7 3 3 4 10 5 2 0 5 6 2 2 2 6 3 5 5 5 4 3 9 4 3 22 4 4 3 6 2 2 4
"quick" 0 2 2 3 1 1 2 2 0 1 2 1 3 2 0 2 2 1 7 1 1 1 1 1 0 1 0 0 1 1 2 2 1 2 4 3 0 3 5 0 2 1 2 1 2 1 3 5 2 1 1 4 3 2 10 1 2 0 4 2 2 2
"quiet" 4 1 3 6 3 1 3 2 2 2 1 1 0 3 1 1 2 1 9 2 1 2 1 1 1 3 0 2 2 3 1 1 3 1 2 5 2 4 6 2 0 0 2 1 3 1 5 2 3 1 3 5 3 1 13 1 4 2 4 2 0 2
"reasonable" 0 1 2 2 2 0 1 2 1 2 3 1 0 3 0 0 3 1 5 1 0 1 0 0 0 1 1 1 0 0 5 1 0 0 1 3 1 2 2 1 0 0 2 0 0 2 0 2 1 1 0 4 1 1 6 1 0 0 4 1 1 1
"sad" 1 3 3 0 1 0 0 1 0 1 2 0 2 1 1 0 3 1 4 0 1 1 1 1 1 1 0 2 0 0 3 0 3 0 3 2 0 1 2 2 2 2 0 0 2 2 1 2 1 1 0 4 1 1 5 2 0 1 1 1 1 1
"sanguine" 1 0 1 1 0 0 1 1 0 0 1 0 1 2 2 0 0 0 3 2 1 0 1 0 0 0 0 0 1 0 3 0 0 1 0 1 1 0 2 1 1 0 0 0 0 1 2 3 0 0 1 2 0 0 5 2 1 0 1 0 1 0
"second" 2 0 2 2 1 1 2 2 0 1 2 0 4 0 1 1 2 0 6 2 1 0 2 0 1 2 1 1 1 3 1 3 5 1 0 2 2 4 6 2 3 0 2 0 0 3 0 1 3 3 2 4 1 1 8 4 1 3 4 1 3 1
"selfish" 1 0 1 2 0 0 1 2 0 0 2 2 1 2 1 0 1 2 4 0 1 1 2 0 2 0 0 2 1 1 3 1 2 1 0 1 1 2 3 1 1 2 2 1 3 0 1 1 0 1 1 4 0 2 3 1 2 1 0 3 1 1
"sensible" 1 1 1 2 1 0 1 1 2 0 1 4 1 2 2 0 0 0 5 0 4 2 0 2 0 0 1 1 2 1 4 3 0 0 2 5 3 2 5 3 5 0 1 2 0 1 0 6 3 1 1 7 1 0 13 2 3 1 4 4 0 0
"serious" 0 1 3 3 0 0 3 1 2 2 1 3 4 4 1 0 3 1 14 3 3 2 2 0 0 1 2 2 0 1 6 5 0 1 4 5 6 2 5 5 2 2 2 3 1 1 6 0 6 2 2 10 1 2 15 5 2 1 7 1 1 0
"silent" 0 3 1 2 1 0 2 2 1 1 2 3 2 2 0 0 2 2 9 3 1 1 1 1 1 0 1 2 1 1 3 3 3 3 1 5 4 3 5 2 3 1 1 0 3 0 3 6 0 2 3 4 3 0 8 1 1 1 4 2 0 2
"simple" 1 1 1 2 0 1 1 2 2 0 0 0 3 1 2 1 1 0 1 0 0 1 1 0 1 1 0 1 0 1 3 2 1 0 2 4 0 0 4 1 1 1 1 0 3 1 1 2 2 0 0 3 0 2 7 0 0 0 1 0 0 1
"steady" 3 0 1 2 3 2 6 1 1 1 3 2 1 3 2 2 1 0 6 3 2 1 1 0 0 2 0 0 2 2 1 2 2 1 1 2 3 3 3 1 3 0 0 1 2 1 1 2 3 0 0 1 1 2 4 0 0 1 4 1 1 2
"strong" 2 5 1 5 2 1 3 5 4 3 6 3 3 5 2 1 2 1 16 4 2 1 1 2 3 2 5 2 1 3 9 8 2 0 3 10 1 3 9 4 5 4 4 2 4 4 7 10 4 3 1 0 3 2 22 1 1 2 7 3 3 4
"sudden" 1 1 0 3 2 1 2 3 0 1 2 1 0 4 0 0 2 1 6 1 0 0 2 3 1 0 0 2 1 0 3 1 1 2 2 2 4 2 4 3 3 1 1 0 1 0 1 1 3 0 1 3 0 1 7 1 1 2 0 2 1 4
"sufficient" 1 1 1 3 0 1 2 5 0 1 1 1 2 2 1 2 1 4 6 0 1 0 3 0 0 2 0 0 1 3 1 1 0 0 2 0 0 1 3 2 1 1 1 0 1 2 0 2 0 2 2 2 1 0 7 0 0 1 2 0 1 2
"sure" 4 5 5 15 7 2 4 11 4 4 9 3 6 9 5 6 7 3 37 7 5 5 8 4 6 3 5 3 3 7 12 6 8 2 8 15 8 10 22 10 13 6 5 5 8 3 13 15 8 7 4 22 7 7 0 7 5 6 15 8 2 4
"sweet" 0 1 1 1 0 0 0 0 1 0 3 2 1 3 1 1 1 1 7 2 2 2 3 1 0 0 1 1 0 1 4 2 0 1 1 5 1 4 4 1 1 1 2 2 4 1 2 5 1 0 0 1 1 0 7 0 0 1 2 2 1 2
"tender" 1 0 1 3 1 0 0 2 0 0 0 1 1 2 1 0 1 0 5 2 0 0 1 0 1 0 0 0 2 0 1 0 1 1 2 2 0 1 4 2 4 0 0 1 1 2 3 2 1 0 0 1 1 0 5 0 0 1 1 1 0 0
"thankful" 1 0 1 1 1 0 1 1 0 1 0 1 1 2 0 1 2 0 4 0 2 0 1 1 2 1 1 1 0 0 0 0 1 0 0 1 3 1 3 0 2 0 1 0 3 1 1 1 1 0 1 2 2 1 6 1 1 0 0 1 0 1
"true" 1 5 2 2 2 1 4 2 2 0 6 3 3 6 1 1 2 1 11 3 2 1 0 1 1 3 4 1 0 3 6 2 2 0 2 9 3 6 6 4 4 4 1 1 4 0 4 7 4 1 4 7 0 2 15 2 1 0 0 1 1 0
"unhappy" 1 0 0 1 1 0 0 2 0 1 1 2 0 2 0 0 1 0 3 1 1 2 2 2 1 0 0 0 1 1 2 2 2 0 1 4 2 2 2 2 2 1 1 0 1 3 4 1 2 0 1 3 2 0 8 2 1 1 1 0 2 1
"vain" 0 1 0 0 0 0 2 2 0 1 2 0 1 1 0 1 0 0 1 0 0 0 0 1 0 1 1 0 1 0 2 3 1 0 0 1 1 1 2 2 0 1 1 1 3 1 0 1 0 0 1 3 1 1 2 1 0 0 1 2 0 1
"willing" 1 1 0 2 0 0 2 1 0 0 1 1 0 2 0 1 1 0 5 2 1 0 0 1 1 0 1 1 2 0 1 1 1 0 2 4 2 1 4 2 2 1 1 0 1 1 0 0 2 1 2 4 4 2 4 2 0 1 0 1 1 0
