"active" "affectionate" "awkward" "bitter" "bold" "busy" "calm" "careful" "careless" "certain" "cheerful" "clean" "close" "cold" "confidential" "constant" "cool" "cruel" "curious" "delicate" "eager" "earnest" "easy" "expressive" "faithful" "familiar" "free" "fresh" "friendly" "general" "genteel" "gentle" "gloomy" "graceful" "gracious" "grave" "handsome" "hasty" "hearty" "heavy" "honest" "humble" "impatient" "jealous" "kind" "lively" "loud" "melancholy" "merry" "natural" "nervous" "open" "original" "particular" "pleasant" "proud" "quick" "quiet" "rough" "rusty" "sad" "second" "selfish" "serious" "severe" "silent" "slow" "soft" "solemn" "spirited" "stately" "stern" "strong" "sudden" "sufficient" "sure" "sweet" "tight" "true" "ugly" "unhappy" "vague" "vain" "vicious" "violent" "virtuous" "weak" "willing"
"strong" 1 9 5 0 3 3 1 6 3 14 5 3 6 11 1 4 4 5 4 2 2 6 7 6 4 2 7 6 3 17 2 5 9 2 2 2 8 5 3 11 8 3 2 3 6 1 6 1 2 10 4 15 8 14 10 12 3 11 3 2 2 13 0 9 3 8 5 0 5 3 3 5 0 3 7 26 2 5 15 2 7 0 4 2 8 2 8 3
"sudden" 2 0 2 2 0 0 0 0 0 5 3 2 1 5 2 1 1 3 0 2 1 1 2 1 3 1 1 6 0 3 1 2 3 0 3 0 3 2 2 0 2 0 0 1 4 1 9 6 0 3 2 4 1 3 2 1 4 4 1 0 1 4 0 1 3 5 1 1 1 2 1 2 3 0 2 12 4 0 7 0 3 2 3 0 6 2 2 1
"sufficient" 0 0 0 2 0 1 0 3 1 4 0 1 1 5 1 0 1 2 2 3 2 3 6 1 1 2 4 2 2 3 0 4 1 2 1 3 2 2 1 4 3 0 1 2 3 2 2 2 1 1 4 3 3 2 2 2 4 3 0 2 0 6 2 2 2 5 2 0 0 1 1 1 7 2 0 3 1 0 6 0 1 2 1 1 3 4 5 1
"sure" 5 3 5 7 6 3 4 6 3 34 9 5 5 19 4 6 4 4 6 9 3 9 9 5 7 6 4 13 3 21 4 10 5 6 7 3 18 11 4 9 16 6 5 6 15 5 16 7 3 24 6 17 8 20 20 14 6 16 9 1 7 16 5 17 7 14 9 6 7 1 4 3 26 12 3 0 11 8 24 2 11 2 4 2 18 6 10 5
"sweet" 1 0 3 2 1 1 1 0 0 3 2 0 3 5 1 3 0 1 0 3 0 1 0 2 2 0 0 2 1 4 0 3 0 2 0 2 1 0 0 0 1 2 1 1 6 1 1 1 1 5 0 5 2 5 6 5 1 5 1 0 1 4 1 4 2 2 1 5 1 1 0 1 2 4 1 11 0 2 4 1 1 2 3 0 3 1 0 1
"tight" 0 0 1 1 0 0 1 2 0 5 1 1 1 2 0 0 0 1 0 1 0 1 1 1 0 0 0 0 3 3 0 2 0 0 0 1 1 0 1 1 3 1 1 2 1 1 2 0 0 2 0 1 1 2 3 1 0 1 0 1 0 2 0 3 1 2 1 1 2 0 1 0 5 0 0 8 2 0 1 0 1 0 2 0 3 0 3 0
"true" 3 2 3 4 4 2 1 4 2 9 2 3 5 9 2 5 1 3 1 4 2 6 3 5 5 4 5 3 0 14 0 4 4 1 3 2 4 4 3 7 4 4 2 3 5 1 9 1 3 9 3 7 4 5 9 9 2 10 2 1 4 9 1 6 3 7 3 4 2 2 1 2 15 7 6 24 4 1 0 3 3 2 5 2 8 7 2 1
"ugly" 0 1 1 1 0 0 1 2 1 2 2 0 1 4 0 2 1 0 0 1 0 0 1 1 0 0 1 2 1 1 1 0 2 0 0 0 2 1 1 2 1 0 1 1 2 0 1 1 1 2 1 3 0 5 1 1 2 1 0 1 2 0 0 1 0 1 1 0 0 0 1 0 2 0 0 2 1 0 3 0 0 1 0 1 1 0 0 0
"unhappy" 0 0 0 2 1 2 2 1 0 6 1 3 2 1 1 2 0 3 0 0 1 2 3 1 0 0 5 3 1 2 2 1 1 0 1 0 2 1 3 4 4 2 1 1 4 0 3 2 0 4 3 6 1 3 4 2 1 4 0 1 0 3 3 4 0 1 0 0 2 2 0 0 7 3 1 11 1 1 3 0 0 0 1 0 5 0 4 3
"vague" 1 1 0 0 0 0 1 0 1 3 2 0 1 2 1 0 1 0 0 2 0 1 1 0 1 0 0 2 2 0 0 1 0 1 0 1 1 1 0 0 2 0 0 0 3 2 2 2 0 1 0 2 0 0 0 1 1 4 0 0 1 1 0 2 2 3 1 1 0 0 1 0 0 2 2 2 2 0 2 1 0 0 1 1 1 1 0 0
"vain" 1 1 0 2 1 1 1 0 0 2 1 0 1 4 0 1 0 1 0 2 0 2 0 0 1 0 0 1 0 2 0 3 0 2 2 1 0 0 0 0 1 1 0 1 1 0 1 1 2 0 1 2 4 0 3 2 1 2 1 0 0 3 0 3 1 1 1 3 2 0 2 2 4 3 1 4 3 2 5 0 1 1 0 0 4 1 2 0
"vicious" 0 1 1 0 1 0 2 1 1 2 2 0 0 3 0 0 1 0 0 0 1 0 0 1 0 1 0 2 1 1 1 1 0 1 0 1 1 3 0 2 2 0 1 0 0 1 2 1 0 1 0 1 5 1 1 1 1 0 1 0 1 1 1 1 0 1 0 0 1 0 1 0 2 0 1 2 0 0 2 1 0 1 0 0 0 0 1 0
"violent" 1 2 2 4 1 0 3 3 3 8 1 1 4 8 1 4 2 3 0 4 3 1 2 0 1 3 3 6 1 6 2 5 5 0 2 1 4 2 4 6 6 4 3 2 4 2 5 4 1 3 2 13 5 5 7 8 3 3 1 2 1 5 5 5 3 12 3 2 2 0 2 2 8 6 3 18 3 3 8 1 5 1 4 0 0 2 6 1
"virtuous" 0 1 0 0 1 0 1 0 2 2 1 0 1 0 1 1 0 2 1 1 0 0 3 0 1 1 1 1 0 7 0 0 1 0 1 1 2 0 0 1 3 1 2 1 2 2 1 0 1 4 1 1 1 2 4 2 3 4 1 0 0 0 0 2 0 1 1 1 0 2 0 0 2 2 4 6 1 0 7 0 0 1 1 0 2 0 1 1
"weak" 0 0 4 3 1 1 1 2 2 4 2 0 1 5 0 1 1 2 2 1 0 1 1 0 1 0 1 3 2 5 2 2 1 1 2 2 3 0 1 4 6 1 1 2 1 1 5 3 0 3 2 4 3 4 1 2 3 3 1 0 1 5 3 3 0 3 2 0 2 2 2 0 8 2 5 10 0 3 2 0 4 0 2 1 6 1 0 3
"willing" 0 0 0 2 0 2 0 0 0 3 1 1 1 2 0 0 0 2 0 1 1 2 1 1 1 0 1 1 1 0 1 2 1 0 0 1 2 1 1 0 4 0 0 1 2 0 1 2 1 3 2 3 0 2 2 1 0 3 0 0 1 1 1 1 1 2 0 0 1 1 0 0 3 1 1 5 1 0 1 0 3 0 0 0 1 1 3 0
