"affectionate" "awkward" "brisk" "busy" "capricious" "certain" "cheerful" "clean" "close" "cold" "confident" "conscientious" "constant" "conversational" "cool" "courageous" "cruel" "curious" "delicate" "earnest" "easy" "exact" "expressive" "familiar" "feminine" "fierce" "firm" "free" "fresh" "friendly" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "heavy" "honest" "hopeless" "impatient" "just" "kind" "mild" "moderate" "modest" "musical" "natural" "neat" "noisy" "open" "orderly" "original" "particular" "passionate" "pleasant" "polite" "precise" "proud" "quick" "quiet" "rapid" "reasonable" "reflective" "respectful" "responsible" "restless" "romantic" "rough" "rusty" "scholastic" "scientific" "second" "sensible" "serene" "serious" "shy" "silent" "slow" "social" "soft" "solemn" "sorrowful" "stately" "steady" "stiff" "strong" "sudden" "sufficient" "sure" "sweet" "swift" "sympathetic" "true" "ugly" "uncertain" "unhappy" "violent" "weak" "wiser" "wise" "willing"
"pleasant" 0 1 0 0 0 0 2 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 1 2 1 1 1 0 0 1 0 1 2 1 1 0 1 0 0 0 0 1 0 0 0
"polite" 0 1 0 1 2 1 0 0 1 1 0 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 2 0 1 1 0 0 0 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 1 0 0 1 0 0 3 1 0 0 2 0 0 0 0 0 0 1 0
"precise" 0 0 1 0 0 2 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0
"proud" 0 0 1 2 0 1 2 1 0 3 1 1 0 0 2 1 1 1 1 0 2 0 2 0 1 2 3 1 2 1 2 1 0 1 1 0 1 1 0 1 0 1 0 1 0 0 0 1 2 4 1 5 0 2 5 1 0 1 1 1 1 0 0 0 4 0 1 0 2 0 1 1 1 1 0 1 0 1 0 0 1 3 0 1 2 1 2 0 3 0 1 1 2 5 1 1 0 2 0 1 0 0 1 1 2 1
"quick" 0 0 0 0 0 1 0 1 1 0 1 1 0 2 0 0 1 1 1 0 3 0 0 0 0 1 0 1 1 2 1 1 0 0 0 0 1 0 2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 4 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 3 0 1 1 2 1 0 0 0 0 0 0 0
"quiet" 2 0 0 0 1 2 2 1 1 2 1 3 0 1 2 1 1 4 1 3 4 0 1 2 1 1 2 1 3 0 1 4 1 3 1 0 1 0 3 1 2 3 0 0 0 0 0 2 2 1 1 5 0 1 5 1 1 2 1 3 1 0 4 4 0 0 0 2 2 0 1 1 1 0 0 2 0 1 0 1 0 1 0 0 2 1 1 1 2 0 6 2 1 8 0 2 2 4 0 1 0 0 1 1 2 1
"rapid" 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 1 0 2 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0
"reasonable" 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
"reflective" 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 2 1 1 0 1 0 0 0 0 0 0 0 0
"respectful" 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 0 2 0 0 2 0 1 0 0 0 0 0 2 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1
"responsible" 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 2 1 1 0 1 0 0 0 0 0 0 0 2 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 2 0 1 0 1 0 0 0 3 1 0 0 0 0 0 1 0 1 1 0 1
"restless" 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 1 0 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0
"romantic" 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 3 0 0 0
"rough" 0 0 0 0 0 2 0 0 1 3 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 1 0 2 1 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 1 0 0 0 0 1 3 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0
"rusty" 0 0 2 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 2 1 0 0 0 1 0 0 0
"scholastic" 1 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0
"scientific" 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 2 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 2 0 1 0 2 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0
"second" 2 2 1 1 0 3 0 1 1 2 1 0 1 0 0 0 0 1 0 2 0 0 2 1 0 1 0 1 2 1 2 0 1 0 0 1 1 1 1 2 0 1 1 0 1 1 1 1 0 1 0 1 2 0 6 0 1 1 0 0 0 1 0 1 0 2 1 1 1 0 1 1 0 0 1 0 0 0 0 0 0 1 1 1 0 2 0 1 0 0 3 0 1 4 2 0 0 0 1 1 2 1 1 0 0 1
"sensible" 0 0 0 0 0 1 1 0 0 2 0 0 0 0 1 0 0 0 3 0 2 0 1 0 0 0 2 0 0 0 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 1 1 0 0 0 3 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 1 2 0 0 1 0 0 2 1 0 2 0 2 1 0 2 1 0 0 2 0 1 1 2 0 1 0 1
"serene" 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0
"serious" 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 3 0 0 0 3 0 0 1 1 0 0 0 1
"shy" 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0
"silent" 2 0 0 2 0 6 1 2 0 2 0 1 0 1 0 0 0 1 0 0 1 1 1 0 0 1 2 2 0 2 4 0 0 2 0 2 0 3 2 0 0 1 0 0 1 1 1 0 0 2 1 3 1 1 5 0 0 0 0 1 1 0 3 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 1 3 2 1 0 1 1 2 0 0 2 3 0 1 0 5 0 0 0 0 0 0 1 0
"slow" 2 0 0 1 1 2 0 0 1 3 1 0 0 0 1 0 0 2 0 1 2 0 1 0 0 0 1 1 0 1 2 1 1 0 0 0 0 0 0 1 0 3 1 1 0 0 1 1 1 0 0 0 0 1 3 0 0 1 0 0 1 0 0 0 0 1 0 0 0 2 1 0 0 0 1 0 1 1 0 0 1 1 0 0 0 1 0 1 0 2 0 0 1 2 1 0 0 0 1 1 0 1 1 1 0 1
"social" 1 0 0 0 0 2 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 3 1 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 2 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 1 1 0 1 0 1 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0
"soft" 0 0 1 1 0 2 1 0 0 1 1 0 0 1 1 1 0 0 0 0 0 1 0 0 1 1 0 1 1 0 1 0 0 2 1 0 0 1 0 0 0 0 0 2 1 0 0 1 0 0 1 0 0 1 1 2 0 0 0 2 0 0 2 0 2 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 2 0 1 0 0 1 0 0 1 2 1 0 1 1 1 0 1 0 0 0 0 1 0 0 0
"solemn" 0 1 0 0 0 1 2 0 1 1 1 0 0 0 0 0 1 1 1 1 1 0 2 0 0 0 0 0 1 1 1 1 1 0 0 0 0 1 1 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 1 1 1 0 1 1 0 2 1 0 0 0 0 0 2 2 0 2 0 1 1 1 0 0 0 0 0 0 2 1 0 3 2 0 1 1 0 0 1 1 1 0 0 2
"sorrowful" 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 2 0 1 0 0 0 0 0 0 1 0 0 0 2 0 1 1 0 0 0 0 0 1 0 0 0 3 0 1 2 1 1 0 1 1 1 0 0 0 1 1 0 0 0
"stately" 1 0 0 0 0 2 0 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 2 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 3 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 2 3 1 0 0 0 1 0 0 0 0 0 0 0
"steady" 1 0 0 1 1 1 2 0 1 1 0 0 0 0 0 1 1 1 2 1 2 1 0 0 0 0 2 0 3 0 1 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 2 0 1 3 0 0 0 2 0 0 1 3 0 2 0 1 0 0 0 0 0 1 0 0 1 0 2 1 1 0 1 0 0 0 0 3 0 0 0 4 3 1 3 0 1 1 2 0 1 0 2 0 2 0 0
"stiff" 1 0 0 1 0 2 0 0 0 0 0 0 1 2 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 2 2 1 1 0 0 0 0 0 0 1 2 2 0 0 0 1 0 0 0 0 0 1 0 0
"strong" 2 0 1 2 0 6 3 1 2 3 0 3 0 0 1 0 1 1 3 2 3 0 0 2 0 1 1 1 2 3 2 2 1 1 4 0 1 1 2 2 1 3 1 1 1 1 3 2 1 0 0 0 0 1 6 2 0 1 2 1 1 1 1 1 6 0 1 1 0 0 0 0 1 1 0 2 3 2 0 0 0 0 0 0 2 2 1 0 4 0 0 6 0 4 2 1 2 8 3 1 1 2 0 2 1 0
"sudden" 0 0 0 1 0 2 3 0 1 1 0 0 1 2 2 0 0 1 1 1 0 0 0 2 0 0 1 2 1 1 0 0 0 0 1 0 2 1 1 0 1 3 2 1 0 1 2 0 0 0 0 2 0 0 3 0 0 0 1 0 0 0 1 1 2 0 0 1 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 1 2 0 3 1 6 0 2 4 0 2 0 5 0 0 0 1 0 1 0 0
"sufficient" 1 0 0 1 0 3 1 2 0 0 1 0 1 1 1 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 3 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 2 1 1 0 0 1 2 1 2 0 2 0 4 1 1 0 0 0 0 0 0 0 0 1 0
"sure" 6 3 0 3 1 5 2 1 2 3 3 2 1 3 2 1 1 3 3 3 7 1 4 0 1 1 2 2 2 3 3 5 1 2 0 2 2 2 3 3 1 4 0 0 2 1 1 1 2 3 1 7 1 1 9 1 1 1 2 2 3 0 5 3 8 1 0 2 1 3 1 1 1 0 1 0 4 2 0 3 1 3 2 2 1 3 1 3 3 2 4 4 4 0 2 2 0 7 1 1 3 0 2 1 1 2
"sweet" 0 1 1 1 0 5 0 0 0 1 1 0 0 0 0 1 0 1 1 1 2 0 1 0 1 2 1 0 1 0 2 1 2 0 1 1 1 1 0 0 0 0 1 1 1 1 0 0 0 0 2 1 0 1 3 1 1 0 1 1 1 0 1 0 0 0 1 1 0 1 0 0 0 1 0 0 2 1 1 0 0 0 1 0 1 2 0 1 0 0 2 0 1 2 0 0 0 3 0 0 1 0 0 0 0 0
"swift" 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 2 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 1 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 2 1 2 0 0 0 1 0 0 0 0 0 0 0 0
"sympathetic" 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"true" 2 1 1 2 2 7 2 3 2 4 0 2 0 1 0 1 2 5 1 2 4 0 2 1 0 2 0 2 3 4 1 2 0 1 0 0 1 1 3 3 2 7 1 0 2 3 1 0 0 3 1 3 0 0 5 0 0 1 3 1 2 0 2 2 4 0 1 1 1 0 0 1 1 2 0 1 0 2 0 3 2 5 0 1 1 1 1 0 2 1 8 5 0 7 3 1 1 0 1 0 1 2 1 0 0 1
"ugly" 0 0 1 0 0 2 0 0 2 1 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 2 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 3 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 3 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0
"uncertain" 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 2 0 2 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 2 1 0 0 0 0 1 2 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0
"unhappy" 1 1 1 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 1 1 2 0 1 0 0 2 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 1 0 0 2 1 0 0 0 1 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 2 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 3 1 0 0 1 0 0 0 0 1 0 0 0
"violent" 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 2 0 1 0 0 1 0 0 1 1 0 2 0 2 1 0 0 0 0 0 2 0 1 0 0 0 0 0 1
"weak" 2 1 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 0 0 0 1 0 3 0 1 1 1 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 0 1
"wiser" 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 1 0 0 0 0 1 2 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 1 2 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0
"wise" 0 0 0 0 0 2 0 1 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 3 0 0 0 1 1 1 0 0 1 1 2 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0
"willing" 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 1 0 0 0
