"farmer::work";"woodman::work"
"defarge::animated";"defarge::rest"
"defarge::near";"defarge::neck"
"defarge::near";"defarge::rest"
"defarge::neck";"defarge::rest"
"antoine::hand";"antoine::iron"
"antoine::hand";"antoine::steady"
"antoine::iron";"antoine::steady"
"madame_defarge::distance";"madame_defarge::two"
"defarge::birds";"defarge::hand"
"defarge::birds";"jacques_three::birds"
"defarge::birds";"jacques_three::hand"
"defarge::birds";"madame_defarge::birds"
"defarge::birds";"madame_defarge::hand"
"defarge::hand";"jacques_three::birds"
"defarge::hand";"madame_defarge::birds"
"defarge::hand";"madame_defarge::hand"
"jacques_three::birds";"jacques_three::hand"
"jacques_three::birds";"madame_defarge::birds"
"jacques_three::birds";"madame_defarge::hand"
"jacques_three::hand";"madame_defarge::birds"
"jacques_three::hand";"madame_defarge::hand"
"madame_defarge::birds";"madame_defarge::hand"
"monsieur_gabelle::chief";"monsieur_gabelle::direction"
"marquis::swift";"marquis::two"
"monsieur_gabelle::horse";"monsieur_gabelle::space"
"gabelle::time";"gabelle::two"
"charles::touch";"lorry::touch"
"charles_darnay::winter";"tellson::winter"
"charles::can";"lorry::can"
"charles::present";"charles::time"
"charles::present";"lorry::present"
"charles::present";"lorry::time"
"charles::time";"lorry::present"
"charles::time";"lorry::time"
"lorry::present";"lorry::time"
"lorry::two";"lorry::yard"
"lorry::found";"lorry::person"
"marquis::destruction";"monsieur::destruction"
"lucie::destruction";"lucie::known"
"lucie::destruction";"lucie::time"
"lucie::known";"lucie::time"
"jerry::carriage";"jerry::ready"
"darnay::back";"darnay::red"
"darnay::line";"darnay::round"
"darnay::line";"darnay::yard"
"darnay::round";"darnay::yard"
"darnay::found";"darnay::guard"
"darnay::found";"darnay::open"
"darnay::guard";"darnay::open"
"antoine::name";"defarge::name"
"la_guillotine::female";"la_guillotine::name"
"charles_darnay::work";"charles_darnay::working"
"charles_darnay::first";"charles_darnay::known"
"charles_darnay::chief";"charles_darnay::room"
"lorry::back";"lorry::two"
"manette::hand";"manette::window"
"charles::hand";"charles::window"
"charles::hand";"lucie::hand"
"charles::hand";"lucie::window"
"charles::window";"lucie::hand"
"charles::window";"lucie::window"
"lucie::hand";"lucie::window"
"lorry::room";"lorry::round"
"pross::found";"pross::time"
"lorry::first";"lorry::roof"
"lorry::first";"lorry::round"
"lorry::first";"tellson::first"
"lorry::first";"tellson::roof"
"lorry::first";"tellson::round"
"lorry::roof";"tellson::first"
"lorry::roof";"tellson::roof"
"lorry::roof";"tellson::round"
"lorry::round";"tellson::first"
"lorry::round";"tellson::roof"
"lorry::round";"tellson::round"
"tellson::first";"tellson::roof"
"tellson::first";"tellson::round"
"tellson::roof";"tellson::round"
"defarge::first";"defarge::thought"
"lorry::near";"lucie::near"
"lorry::near";"tellson::near"
"lucie::near";"tellson::near"
"defarge::hand";"defarge::open"
"jerry::found";"lucie::found"
"lorry::hand";"lorry::near"
"defarge::halting";"lorry::halting"
"defarge::first";"defarge::match"
"defarge::first";"pross::first"
"defarge::first";"pross::match"
"defarge::match";"pross::first"
"defarge::match";"pross::match"
"pross::first";"pross::match"
"lucie::dress";"lucie::hand"
"lucie::dress";"madame_defarge::dress"
"lucie::dress";"madame_defarge::hand"
"lucie::hand";"madame_defarge::dress"
"lucie::hand";"madame_defarge::hand"
"madame_defarge::dress";"madame_defarge::hand"
"lorry::back";"lorry::found"
"lorry::name";"lorry::secret"
"charles_darnay::first";"charles_darnay::frantic"
"charles_darnay::point";"charles_darnay::secret"
"manette::dress";"manette::found"
"lorry::first";"lorry::time"
"lorry::natural";"lorry::unbecoming"
"lucie::end";"lucie::steady"
"lucie::little";"lucie::mother"
"charles_evremonde::name";"darnay::name"
"charles_evremonde::red";"darnay::red"
"charles_evremonde::order";"charles_evremonde::thought"
"charles_evremonde::order";"darnay::order"
"charles_evremonde::order";"darnay::thought"
"charles_evremonde::thought";"darnay::order"
"charles_evremonde::thought";"darnay::thought"
"darnay::order";"darnay::thought"
"charles_evremonde::public";"darnay::public"
"alexandre_manette::two";"theophile_gabelle::two"
"alexandre_manette::married";"theophile_gabelle::married"
"charles_darnay::living";"manette::living"
"charles_darnay::back";"manette::back"
"charles::guard";"charles::living"
"charles_evremonde::name";"jerry_cruncher::name"
"charles_evremonde::name";"manette::name"
"darnay::name";"jerry_cruncher::name"
"darnay::name";"manette::name"
"jerry_cruncher::name";"manette::name"
"cruncher::finger";"pross::finger"
"cruncher::ready";"cruncher::red"
"cruncher::ready";"pross::ready"
"cruncher::ready";"pross::red"
"cruncher::red";"pross::ready"
"cruncher::red";"pross::red"
"jerry::file";"pross::file"
"manette::hand";"manette::red"
"manette::hand";"manette::shirt"
"manette::red";"manette::shirt"
"cruncher::separate";"cruncher::wonder"
"cruncher::separate";"pross::separate"
"cruncher::separate";"pross::wonder"
"cruncher::wonder";"pross::separate"
"cruncher::wonder";"pross::wonder"
"pross::separate";"pross::wonder"
"pross::boy";"solomon::boy"
"lorry::#-known";"lorry::money"
"john_solomon::name";"solomon_john::name"
"pross::end";"solomon::end"
"pross::little";"solomon::little"
"carton::street";"lorry::street"
"barsad::name";"manette::name"
"lorry::prevent";"manette::prevent"
"antoine::familiar";"antoine::history"
"antoine::familiar";"defarge::familiar"
"antoine::familiar";"defarge::history"
"antoine::familiar";"madame_defarge::familiar"
"antoine::familiar";"madame_defarge::history"
"antoine::familiar";"manette::familiar"
"antoine::familiar";"manette::history"
"antoine::history";"defarge::familiar"
"antoine::history";"defarge::history"
"antoine::history";"madame_defarge::familiar"
"antoine::history";"madame_defarge::history"
"antoine::history";"manette::familiar"
"antoine::history";"manette::history"
"defarge::familiar";"defarge::history"
"defarge::familiar";"madame_defarge::familiar"
"defarge::familiar";"madame_defarge::history"
"defarge::familiar";"manette::familiar"
"defarge::familiar";"manette::history"
"defarge::history";"madame_defarge::familiar"
"defarge::history";"madame_defarge::history"
"defarge::history";"manette::familiar"
"defarge::history";"manette::history"
"madame_defarge::familiar";"madame_defarge::history"
"madame_defarge::familiar";"manette::familiar"
"madame_defarge::familiar";"manette::history"
"madame_defarge::history";"manette::familiar"
"madame_defarge::history";"manette::history"
"manette::familiar";"manette::history"
"antoine::fear";"defarge::fear"
"antoine::fear";"madame_defarge::fear"
"antoine::fear";"manette::fear"
"defarge::fear";"madame_defarge::fear"
"defarge::fear";"manette::fear"
"madame_defarge::fear";"manette::fear"
"antoine::black";"antoine::secret"
"lorry::can";"lorry::station"
"cruncher::wall";"lorry::wall"
"barsad::back";"cruncher::back"
"jerry::round";"jerry::two"
"jerry::room";"lorry::room"
"cruncher::line";"lorry::line"
"cruncher::round";"lorry::round"
"cruncher::room";"sydney_carton::room"
"lorry::back";"lorry::little"
"lorry::back";"lorry::time"
"carton::little";"carton::pipe"
"manette::hand";"manette::hands"
"beauvais::direction";"beauvais::first"
"beauvais::direction";"beauvais::hope"
"beauvais::direction";"beauvais::two"
"beauvais::direction";"manette::direction"
"beauvais::direction";"manette::first"
"beauvais::direction";"manette::hope"
"beauvais::direction";"manette::two"
"beauvais::first";"beauvais::hope"
"beauvais::first";"beauvais::two"
"beauvais::first";"manette::direction"
"beauvais::first";"manette::first"
"beauvais::first";"manette::hope"
"beauvais::first";"manette::two"
"beauvais::hope";"beauvais::two"
"beauvais::hope";"manette::direction"
"beauvais::hope";"manette::first"
"beauvais::hope";"manette::hope"
"beauvais::hope";"manette::two"
"beauvais::two";"manette::direction"
"beauvais::two";"manette::first"
"beauvais::two";"manette::hope"
"beauvais::two";"manette::two"
"manette::direction";"manette::first"
"manette::direction";"manette::hope"
"manette::direction";"manette::two"
"manette::first";"manette::hope"
"manette::first";"manette::two"
"manette::hope";"manette::two"
"charles::hand";"charles::little"
"lorry::room";"manette::room"
"lorry::large";"lorry::spare"
"lorry::little";"lorry::wine"
"defarge::back";"defarge::little"
"jacques::little";"madame_defarge::little"
"bastille::iron";"bastille::secret"
"defarge::reply";"marquis::reply"
"lorry::found";"lorry::present"
"lorry::found";"lorry::room"
"lorry::present";"lorry::room"
"lorry::back";"lucie::back"
"lorry::back";"manette::back"
"lucie::back";"manette::back"
"lucie::living";"lucie::wall"
"lucie::living";"madame_defarge::living"
"lucie::living";"madame_defarge::wall"
"lucie::wall";"madame_defarge::living"
"lucie::wall";"madame_defarge::wall"
"madame_defarge::living";"madame_defarge::wall"
"lucie::plot";"madame_defarge::plot"
"charles_darnay::hand";"charles_darnay::little"
"carton::hand";"carton::round"
"madame_defarge::hand";"madame_defarge::round"
"madame_defarge::hand";"madame_defarge::time"
"madame_defarge::hand";"madame_defarge::wall"
"madame_defarge::round";"madame_defarge::time"
"madame_defarge::round";"madame_defarge::wall"
"madame_defarge::time";"madame_defarge::wall"
"juryman::fearless";"juryman::sense"
"juryman::fearless";"juryman::time"
"juryman::sense";"juryman::time"
"jerry::known";"pross::known"
"jerry::known";"madame_defarge::known"
"jerry::known";"solomon::known"
"madame_defarge::known";"solomon::known"
"cruncher::move";"pross::move"
"pross::fear";"pross::hope"
"cruncher::future";"cruncher::hope"
"respectin::present";"respectin::use"
"cruncher::beg";"pross::beg"
"cruncher::dry";"pross::dry"
"cruncher::hope";"cruncher::present"
"cruncher::two";"pross::two"
"pross::#-time";"pross::ready"
"pross::cold";"pross::deserted"
"pross::cold";"pross::open"
"pross::cold";"pross::red"
"pross::deserted";"pross::open"
"pross::deserted";"pross::red"
"pross::open";"pross::red"
"pross::round";"pross::time"
"madame_defarge::determined";"pross::determined"
"madame_defarge::two";"pross::two"
"madame_defarge::full";"pross::full"
"madame_defarge::first";"miss_pross::first"
"madame_defarge::person";"pross::person"
"madame_defarge::request";"pross::request"
"madame_defarge::#-room";"madame_defarge::can"
"madame_defarge::round";"madame_defarge::two"
"madame_defarge::round";"miss_pross::round"
"madame_defarge::round";"miss_pross::two"
"madame_defarge::two";"miss_pross::round"
"madame_defarge::two";"miss_pross::two"
"miss_pross::round";"miss_pross::two"
"pross::back";"pross::time"
"pross::thought";"pross::waiting"
