"maria_ward::large";"thomas_bertram::large"
"bridgets::full";"eleanors::fancy"
"bridgets::full";"eleanors::full"
"eleanors::fancy";"eleanors::full"
"edmund::can";"edmund::little"
"crawford::rest";"julia::rest"
"crawford::rest";"maria::rest"
"crawford::rest";"rushworth::rest"
"julia::rest";"maria::rest"
"julia::rest";"rushworth::rest"
"maria::rest";"rushworth::rest"
"bertram::near";"crawford::near"
"bertram::near";"maria::near"
"crawford::near";"maria::near"
"bertram::laugh";"bertram::two"
"bertram::laugh";"crawford::two"
"bertram::laugh";"maria::laugh"
"bertram::laugh";"maria::two"
"bertram::two";"crawford::laugh"
"bertram::two";"crawford::two"
"bertram::two";"maria::laugh"
"bertram::two";"maria::two"
"crawford::laugh";"crawford::two"
"crawford::laugh";"maria::laugh"
"crawford::laugh";"maria::two"
"crawford::two";"maria::laugh"
"crawford::two";"maria::two"
"maria::laugh";"maria::two"
"bertram::reply";"crawford::reply"
"bertram::reply";"maria::reply"
"crawford::reply";"maria::reply"
"rushworth::little";"rushworth::mother"
"crawford::amused";"julia::amused"
"crawford::idea";"julia::idea"
"rushworth::determined";"rushworth::near"
"rushworth::determined";"rushworth::present"
"rushworth::near";"rushworth::present"
"rushworth::large";"rushworth::little"
"rushworth::large";"rushworth::round"
"rushworth::little";"rushworth::round"
"bertram::direction";"crawford::direction"
"bertram::direction";"fanny::direction"
"crawford::direction";"fanny::direction"
"bertram::little";"fanny::little"
"crawford::thought";"edmund::thought"
"julia::hot";"rushworth::hot"
"crawford::thought";"maria::thought"
"fanny::temper";"julia::temper"
"fanny::temper";"rushworth::temper"
"julia::temper";"rushworth::temper"
"fanny::spare";"fanny::time"
"fanny::spare";"julia::spare"
"fanny::spare";"julia::time"
"fanny::spare";"rushworth::spare"
"fanny::spare";"rushworth::time"
"fanny::time";"julia::spare"
"fanny::time";"julia::time"
"fanny::time";"rushworth::spare"
"fanny::time";"rushworth::time"
"julia::spare";"julia::time"
"julia::spare";"rushworth::spare"
"julia::spare";"rushworth::time"
"julia::time";"rushworth::spare"
"julia::time";"rushworth::time"
"rushworth::spare";"rushworth::time"
"fanny::trouble";"julia::trouble"
"fanny::trouble";"rushworth::trouble"
"julia::trouble";"rushworth::trouble"
"crawford::fence";"edmund::fence"
"crawford::fence";"fanny::fence"
"edmund::fence";"fanny::fence"
"fanny::search";"fanny::two"
"julia::object";"julia::two"
"julia::object";"maria::object"
"julia::object";"maria::two"
"julia::two";"maria::object"
"maria::object";"maria::two"
"crawford::hope";"julia::hope"
"julia::end";"julia::request"
"bertram::little";"rushworth::little"
"henry_crawford::black";"henry_crawford::month"
"julia::depend";"maria::depend"
"julia::hope";"maria::hope"
"edmund::round";"rushworth::round"
"grant::#-stir";"grant::finger"
"fanny::cold";"fanny::window"
"fanny::cold";"norris::cold"
"fanny::cold";"norris::window"
"fanny::window";"norris::cold"
"fanny::window";"norris::window"
"norris::cold";"norris::window"
"crawford::back";"tom_bertram::back"
"julia::admit";"julia::guard"
"julia::admit";"julia::present"
"julia::admit";"maria::admit"
"julia::admit";"maria::guard"
"julia::admit";"maria::present"
"julia::guard";"julia::present"
"julia::guard";"maria::admit"
"julia::guard";"maria::guard"
"julia::guard";"maria::present"
"julia::present";"maria::admit"
"julia::present";"maria::guard"
"maria::admit";"maria::guard"
"maria::admit";"maria::present"
"maria::guard";"maria::present"
"crawford::found";"crawford::important"
"crawford::found";"crawford::wonder"
"crawford::found";"fanny::found"
"crawford::found";"fanny::important"
"crawford::found";"fanny::wonder"
"crawford::important";"crawford::wonder"
"crawford::important";"fanny::found"
"crawford::important";"fanny::important"
"crawford::important";"fanny::wonder"
"crawford::wonder";"fanny::found"
"crawford::wonder";"fanny::important"
"crawford::wonder";"fanny::wonder"
"fanny::found";"fanny::important"
"fanny::found";"fanny::wonder"
"fanny::important";"fanny::wonder"
"crawford::back";"crawford::full"
"crawford::back";"crawford::thought"
"crawford::full";"crawford::thought"
"crawford::found";"crawford::sense"
"crawford::found";"maria::found"
"crawford::found";"maria::sense"
"crawford::sense";"maria::found"
"crawford::sense";"maria::sense"
"maria::found";"maria::sense"
"crawford::future";"edmund::future"
"crawford::future";"julia::future"
"edmund::future";"julia::future"
"norris::longing";"norris::partner"
"norris::longing";"norris::point"
"norris::longing";"rushworth::longing"
"norris::longing";"rushworth::partner"
"norris::longing";"rushworth::point"
"norris::partner";"norris::point"
"norris::partner";"rushworth::longing"
"norris::partner";"rushworth::partner"
"norris::partner";"rushworth::point"
"norris::point";"rushworth::longing"
"norris::point";"rushworth::partner"
"norris::point";"rushworth::point"
"rushworth::longing";"rushworth::partner"
"rushworth::longing";"rushworth::point"
"rushworth::partner";"rushworth::point"
"maria::sense";"rushworth::sense"
"maria::two";"rushworth::two"
"bertram::partner";"crawford::partner"
"bertram::partner";"julia::partner"
"crawford::partner";"julia::partner"
"edmund::#-thought";"fanny::#-thought"
"rushworth::join";"tom::join"
"bertram::join";"bertram::large"
"bertram::join";"mansfield::join"
"bertram::join";"mansfield::large"
"bertram::join";"yates::join"
"bertram::join";"yates::large"
"bertram::large";"mansfield::join"
"bertram::large";"mansfield::large"
"bertram::large";"yates::join"
"bertram::large";"yates::large"
"mansfield::join";"mansfield::large"
"mansfield::join";"yates::join"
"mansfield::join";"yates::large"
"mansfield::large";"yates::join"
"mansfield::large";"yates::large"
"yates::join";"yates::large"
"cassel::determined";"yates::determined"
"ravenshaw::first";"ravenshaw::little"
"lady_ravenshaw::end";"ravenshaw::end"
"yates::#-end";"yates::thought"
"edmund::rest";"henry_crawford::rest"
"edmund::rest";"tom_bertram::rest"
"henry_crawford::rest";"tom_bertram::rest"
"jove::laugh";"tom::laugh"
"julius_caesar::room";"julius_caesar::time"
"edmund::room";"edmund::stir"
"edmund::room";"tom::room"
"edmund::room";"tom::stir"
"edmund::stir";"tom::room"
"edmund::stir";"tom::stir"
"tom::room";"tom::stir"
"edmund::suggest";"fanny::suggest"
"julia::admit";"julia::mother"
"julia::admit";"maria::mother"
"julia::mother";"maria::admit"
"julia::mother";"maria::mother"
"maria::admit";"maria::mother"
"bertram::fresh";"bertram::hope"
"bertram::fresh";"bertram::little"
"bertram::fresh";"bertram::room"
"bertram::fresh";"edmund::fresh"
"bertram::fresh";"edmund::hope"
"bertram::fresh";"edmund::little"
"bertram::fresh";"edmund::room"
"bertram::fresh";"henry_crawford::fresh"
"bertram::fresh";"henry_crawford::hope"
"bertram::fresh";"henry_crawford::little"
"bertram::fresh";"henry_crawford::room"
"bertram::hope";"bertram::little"
"bertram::hope";"bertram::room"
"bertram::hope";"edmund::fresh"
"bertram::hope";"edmund::hope"
"bertram::hope";"edmund::little"
"bertram::hope";"edmund::room"
"bertram::hope";"henry_crawford::fresh"
"bertram::hope";"henry_crawford::hope"
"bertram::hope";"henry_crawford::little"
"bertram::hope";"henry_crawford::room"
"bertram::little";"bertram::room"
"bertram::little";"edmund::fresh"
"bertram::little";"edmund::hope"
"bertram::little";"edmund::little"
"bertram::little";"edmund::room"
"bertram::little";"henry_crawford::fresh"
"bertram::little";"henry_crawford::hope"
"bertram::little";"henry_crawford::little"
"bertram::little";"henry_crawford::room"
"bertram::room";"edmund::fresh"
"bertram::room";"edmund::hope"
"bertram::room";"edmund::little"
"bertram::room";"edmund::room"
"bertram::room";"henry_crawford::fresh"
"bertram::room";"henry_crawford::hope"
"bertram::room";"henry_crawford::little"
"bertram::room";"henry_crawford::room"
"edmund::fresh";"edmund::hope"
"edmund::fresh";"edmund::little"
"edmund::fresh";"edmund::room"
"edmund::fresh";"henry_crawford::fresh"
"edmund::fresh";"henry_crawford::hope"
"edmund::fresh";"henry_crawford::little"
"edmund::fresh";"henry_crawford::room"
"edmund::hope";"edmund::little"
"edmund::hope";"edmund::room"
"edmund::hope";"henry_crawford::fresh"
"edmund::hope";"henry_crawford::hope"
"edmund::hope";"henry_crawford::little"
"edmund::hope";"henry_crawford::room"
"edmund::little";"edmund::room"
"edmund::little";"henry_crawford::fresh"
"edmund::little";"henry_crawford::hope"
"edmund::little";"henry_crawford::little"
"edmund::little";"henry_crawford::room"
"edmund::room";"henry_crawford::fresh"
"edmund::room";"henry_crawford::hope"
"edmund::room";"henry_crawford::little"
"edmund::room";"henry_crawford::room"
"henry_crawford::fresh";"henry_crawford::hope"
"henry_crawford::fresh";"henry_crawford::little"
"henry_crawford::fresh";"henry_crawford::room"
"henry_crawford::hope";"henry_crawford::little"
"henry_crawford::hope";"henry_crawford::room"
"henry_crawford::little";"henry_crawford::room"
"bertram::love";"edmund::love"
"bertram::love";"henry_crawford::love"
"edmund::love";"henry_crawford::love"
"henry_crawford::back";"julia::back"
"henry_crawford::back";"maria::back"
"henry_crawford::back";"mary_crawford::back"
"henry_crawford::back";"tom_bertram::back"
"henry_crawford::back";"yates::back"
"julia::back";"maria::back"
"julia::back";"mary_crawford::back"
"julia::back";"tom_bertram::back"
"julia::back";"yates::back"
"maria::back";"mary_crawford::back"
"maria::back";"tom_bertram::back"
"maria::back";"yates::back"
"mary_crawford::back";"tom_bertram::back"
"mary_crawford::back";"yates::back"
"tom_bertram::back";"yates::back"
"duberley::rest";"duberley::time"
"duberley::rest";"pangloss::rest"
"duberley::rest";"pangloss::time"
"duberley::time";"pangloss::rest"
"duberley::time";"pangloss::time"
"pangloss::rest";"pangloss::time"
"crawford::determined";"crawford::two"
"crawford::determined";"yates::determined"
"crawford::determined";"yates::two"
"crawford::two";"yates::determined"
"crawford::two";"yates::two"
"yates::determined";"yates::two"
"ravenshaw::longing";"ravenshaw::room"
"ravenshaw::longing";"yates::longing"
"ravenshaw::longing";"yates::room"
"ravenshaw::room";"yates::longing"
"ravenshaw::room";"yates::room"
"yates::longing";"yates::room"
"bertram::point";"yates::point"
"agatha::account";"crawford::account"
"agatha::account";"julia::account"
"agatha::account";"maria::account"
"agatha::account";"rushworth::account"
"crawford::account";"julia::account"
"crawford::account";"maria::account"
"julia::account";"maria::account"
"julia::account";"rushworth::account"
"maria::account";"rushworth::account"
"agatha::command";"julia::command"
"agatha::command";"maria::command"
"julia::command";"maria::command"
"fanny::exciting";"fanny::room"
"bertram::first";"bertram::use"
"bertram::first";"crawford::use"
"bertram::first";"fanny::first"
"bertram::first";"fanny::use"
"bertram::first";"tom_bertram::first"
"bertram::first";"tom_bertram::use"
"bertram::first";"yates::first"
"bertram::first";"yates::use"
"bertram::use";"crawford::first"
"bertram::use";"crawford::use"
"bertram::use";"fanny::first"
"bertram::use";"fanny::use"
"bertram::use";"tom_bertram::first"
"bertram::use";"tom_bertram::use"
"bertram::use";"yates::first"
"bertram::use";"yates::use"
"crawford::first";"crawford::use"
"crawford::first";"fanny::use"
"crawford::first";"tom_bertram::first"
"crawford::first";"tom_bertram::use"
"crawford::first";"yates::first"
"crawford::first";"yates::use"
"crawford::use";"fanny::first"
"crawford::use";"fanny::use"
"crawford::use";"tom_bertram::first"
"crawford::use";"tom_bertram::use"
"crawford::use";"yates::first"
"crawford::use";"yates::use"
"fanny::first";"fanny::use"
"fanny::first";"tom_bertram::first"
"fanny::first";"tom_bertram::use"
"fanny::first";"yates::first"
"fanny::first";"yates::use"
"fanny::use";"tom_bertram::first"
"fanny::use";"tom_bertram::use"
"fanny::use";"yates::first"
"fanny::use";"yates::use"
"tom_bertram::first";"tom_bertram::use"
"tom_bertram::first";"yates::first"
"tom_bertram::first";"yates::use"
"tom_bertram::use";"yates::first"
"tom_bertram::use";"yates::use"
"yates::first";"yates::use"
"anhalt::first";"anhalt::thought"
"anhalt::first";"bertram::first"
"anhalt::first";"bertram::thought"
"anhalt::first";"cassel::first"
"anhalt::first";"cassel::thought"
"anhalt::thought";"bertram::first"
"anhalt::thought";"bertram::thought"
"anhalt::thought";"cassel::first"
"anhalt::thought";"cassel::thought"
"bertram::first";"bertram::thought"
"bertram::first";"cassel::first"
"bertram::first";"cassel::thought"
"bertram::thought";"cassel::first"
"bertram::thought";"cassel::thought"
"cassel::first";"cassel::thought"
"maria::idea";"rushworth::idea"
"edmund::dinner";"maria::dinner"
"edmund::dinner";"rushworth::dinner"
"edmund::dinner";"tom::dinner"
"edmund::dinner";"yates::dinner"
"maria::dinner";"rushworth::dinner"
"maria::dinner";"tom::dinner"
"maria::dinner";"yates::dinner"
"rushworth::dinner";"tom::dinner"
"rushworth::dinner";"yates::dinner"
"tom::dinner";"yates::dinner"
"cassel::dress";"cassel::fancy"
"cassel::dress";"cassel::first"
"cassel::dress";"cassel::pink"
"cassel::fancy";"cassel::first"
"cassel::fancy";"cassel::pink"
"cassel::first";"cassel::pink"
"edmund::carpenter";"edmund::hope"
"edmund::carpenter";"edmund::private"
"edmund::carpenter";"edmund::room"
"edmund::carpenter";"maria::carpenter"
"edmund::carpenter";"maria::hope"
"edmund::carpenter";"maria::private"
"edmund::carpenter";"maria::room"
"edmund::carpenter";"rushworth::carpenter"
"edmund::carpenter";"rushworth::hope"
"edmund::carpenter";"rushworth::private"
"edmund::carpenter";"rushworth::room"
"edmund::carpenter";"tom_bertram::carpenter"
"edmund::carpenter";"tom_bertram::hope"
"edmund::carpenter";"tom_bertram::private"
"edmund::carpenter";"tom_bertram::room"
"edmund::carpenter";"yates::carpenter"
"edmund::carpenter";"yates::hope"
"edmund::carpenter";"yates::private"
"edmund::carpenter";"yates::room"
"edmund::hope";"edmund::private"
"edmund::hope";"maria::carpenter"
"edmund::hope";"maria::hope"
"edmund::hope";"maria::private"
"edmund::hope";"maria::room"
"edmund::hope";"rushworth::carpenter"
"edmund::hope";"rushworth::hope"
"edmund::hope";"rushworth::private"
"edmund::hope";"rushworth::room"
"edmund::hope";"tom_bertram::carpenter"
"edmund::hope";"tom_bertram::hope"
"edmund::hope";"tom_bertram::private"
"edmund::hope";"tom_bertram::room"
"edmund::hope";"yates::carpenter"
"edmund::hope";"yates::hope"
"edmund::hope";"yates::private"
"edmund::hope";"yates::room"
"edmund::private";"edmund::room"
"edmund::private";"maria::carpenter"
"edmund::private";"maria::hope"
"edmund::private";"maria::private"
"edmund::private";"maria::room"
"edmund::private";"rushworth::carpenter"
"edmund::private";"rushworth::hope"
"edmund::private";"rushworth::private"
"edmund::private";"rushworth::room"
"edmund::private";"tom_bertram::carpenter"
"edmund::private";"tom_bertram::hope"
"edmund::private";"tom_bertram::private"
"edmund::private";"tom_bertram::room"
"edmund::private";"yates::carpenter"
"edmund::private";"yates::hope"
"edmund::private";"yates::private"
"edmund::private";"yates::room"
"edmund::room";"maria::carpenter"
"edmund::room";"maria::hope"
"edmund::room";"maria::private"
"edmund::room";"maria::room"
"edmund::room";"rushworth::carpenter"
"edmund::room";"rushworth::hope"
"edmund::room";"rushworth::private"
"edmund::room";"rushworth::room"
"edmund::room";"tom_bertram::carpenter"
"edmund::room";"tom_bertram::hope"
"edmund::room";"tom_bertram::private"
"edmund::room";"tom_bertram::room"
"edmund::room";"yates::carpenter"
"edmund::room";"yates::hope"
"edmund::room";"yates::private"
"edmund::room";"yates::room"
"maria::carpenter";"maria::hope"
"maria::carpenter";"maria::private"
"maria::carpenter";"maria::room"
"maria::carpenter";"rushworth::carpenter"
"maria::carpenter";"rushworth::hope"
"maria::carpenter";"rushworth::private"
"maria::carpenter";"rushworth::room"
"maria::carpenter";"tom_bertram::carpenter"
"maria::carpenter";"tom_bertram::hope"
"maria::carpenter";"tom_bertram::private"
"maria::carpenter";"tom_bertram::room"
"maria::carpenter";"yates::carpenter"
"maria::carpenter";"yates::hope"
"maria::carpenter";"yates::private"
"maria::carpenter";"yates::room"
"maria::hope";"maria::private"
"maria::hope";"maria::room"
"maria::hope";"rushworth::carpenter"
"maria::hope";"rushworth::hope"
"maria::hope";"rushworth::private"
"maria::hope";"rushworth::room"
"maria::hope";"tom_bertram::carpenter"
"maria::hope";"tom_bertram::hope"
"maria::hope";"tom_bertram::private"
"maria::hope";"tom_bertram::room"
"maria::hope";"yates::carpenter"
"maria::hope";"yates::hope"
"maria::hope";"yates::private"
"maria::hope";"yates::room"
"maria::private";"maria::room"
"maria::private";"rushworth::carpenter"
"maria::private";"rushworth::hope"
"maria::private";"rushworth::private"
"maria::private";"rushworth::room"
"maria::private";"tom_bertram::carpenter"
"maria::private";"tom_bertram::hope"
"maria::private";"tom_bertram::private"
"maria::private";"tom_bertram::room"
"maria::private";"yates::carpenter"
"maria::private";"yates::hope"
"maria::private";"yates::private"
"maria::private";"yates::room"
"maria::room";"rushworth::carpenter"
"maria::room";"rushworth::hope"
"maria::room";"rushworth::private"
"maria::room";"rushworth::room"
"maria::room";"tom_bertram::carpenter"
"maria::room";"tom_bertram::hope"
"maria::room";"tom_bertram::private"
"maria::room";"tom_bertram::room"
"maria::room";"yates::carpenter"
"maria::room";"yates::hope"
"maria::room";"yates::private"
"maria::room";"yates::room"
"rushworth::carpenter";"rushworth::hope"
"rushworth::carpenter";"rushworth::private"
"rushworth::carpenter";"rushworth::room"
"rushworth::carpenter";"tom_bertram::carpenter"
"rushworth::carpenter";"tom_bertram::hope"
"rushworth::carpenter";"tom_bertram::private"
"rushworth::carpenter";"tom_bertram::room"
"rushworth::carpenter";"yates::carpenter"
"rushworth::carpenter";"yates::hope"
"rushworth::carpenter";"yates::private"
"rushworth::carpenter";"yates::room"
"rushworth::hope";"rushworth::private"
"rushworth::hope";"rushworth::room"
"rushworth::hope";"tom_bertram::carpenter"
"rushworth::hope";"tom_bertram::hope"
"rushworth::hope";"tom_bertram::private"
"rushworth::hope";"tom_bertram::room"
"rushworth::hope";"yates::carpenter"
"rushworth::hope";"yates::hope"
"rushworth::hope";"yates::private"
"rushworth::hope";"yates::room"
"rushworth::private";"rushworth::room"
"rushworth::private";"tom_bertram::carpenter"
"rushworth::private";"tom_bertram::hope"
"rushworth::private";"tom_bertram::private"
"rushworth::private";"tom_bertram::room"
"rushworth::private";"yates::carpenter"
"rushworth::private";"yates::hope"
"rushworth::private";"yates::private"
"rushworth::private";"yates::room"
"rushworth::room";"tom_bertram::carpenter"
"rushworth::room";"tom_bertram::hope"
"rushworth::room";"tom_bertram::private"
"rushworth::room";"tom_bertram::room"
"rushworth::room";"yates::carpenter"
"rushworth::room";"yates::hope"
"rushworth::room";"yates::private"
"rushworth::room";"yates::room"
"tom_bertram::carpenter";"tom_bertram::hope"
"tom_bertram::carpenter";"tom_bertram::private"
"tom_bertram::carpenter";"tom_bertram::room"
"tom_bertram::carpenter";"yates::carpenter"
"tom_bertram::carpenter";"yates::hope"
"tom_bertram::carpenter";"yates::private"
"tom_bertram::carpenter";"yates::room"
"tom_bertram::hope";"tom_bertram::private"
"tom_bertram::hope";"tom_bertram::room"
"tom_bertram::hope";"yates::carpenter"
"tom_bertram::hope";"yates::hope"
"tom_bertram::hope";"yates::private"
"tom_bertram::hope";"yates::room"
"tom_bertram::private";"tom_bertram::room"
"tom_bertram::private";"yates::carpenter"
"tom_bertram::private";"yates::hope"
"tom_bertram::private";"yates::private"
"tom_bertram::private";"yates::room"
"tom_bertram::room";"yates::carpenter"
"tom_bertram::room";"yates::hope"
"tom_bertram::room";"yates::private"
"tom_bertram::room";"yates::room"
"yates::carpenter";"yates::hope"
"yates::carpenter";"yates::private"
"yates::carpenter";"yates::room"
"yates::hope";"yates::private"
"yates::hope";"yates::room"
"yates::private";"yates::room"
"edmund::rest";"maria::rest"
"dick_jackson::hand";"dick_jackson::mother"
"dick_jackson::hand";"dick_jackson::two"
"dick_jackson::mother";"dick_jackson::two"
"henry_crawford::thought";"maria::thought"
"julia::dress";"julia::found"
"julia::dress";"rushworth::dress"
"julia::dress";"rushworth::found"
"julia::dress";"yates::dress"
"julia::dress";"yates::found"
"julia::found";"rushworth::dress"
"julia::found";"rushworth::found"
"julia::found";"yates::dress"
"julia::found";"yates::found"
"rushworth::dress";"rushworth::found"
"rushworth::dress";"yates::dress"
"rushworth::dress";"yates::found"
"rushworth::found";"yates::dress"
"rushworth::found";"yates::found"
"yates::dress";"yates::found"
"anhalt::frighten";"butler::frighten"
"anhalt::frighten";"tom::frighten"
"butler::frighten";"tom::frighten"
"tom::cold";"tom::determined"
"crawford::first";"crawford::found"
"crawford::first";"tom_bertram::found"
"crawford::found";"tom_bertram::first"
"crawford::found";"tom_bertram::found"
"tom_bertram::first";"tom_bertram::found"
"charles_maddox::name";"charles_maddox::two"
"charles_maddox::horse";"tom_oliver::horse"
"crawford::can";"crawford::thought"
"crawford::can";"maddox::can"
"tom::charge";"tom::time"
"crawford::time";"maria::time"
"crawford::time";"tom::time"
"edmund::time";"maria::time"
"maria::time";"tom::time"
"crawford::found";"edmund::found"
"crawford::found";"tom::found"
"edmund::found";"maria::found"
"edmund::found";"tom::found"
"maria::found";"tom::found"
"fanny::first";"fanny::object"
"fanny::first";"fanny::plants"
"fanny::first";"fanny::room"
"fanny::object";"fanny::plants"
"fanny::object";"fanny::room"
"fanny::plants";"fanny::room"
"edmund::determined";"thomas::determined"
"edmund::destruction";"edmund::hope"
"edmund::destruction";"edmund::idea"
"edmund::destruction";"edmund::ready"
"edmund::hope";"edmund::idea"
"edmund::hope";"edmund::ready"
"edmund::idea";"edmund::ready"
"anhalt::dress";"baron::dress"
"anhalt::dress";"norris::dress"
"anhalt::dress";"rushworth::dress"
"anhalt::dress";"yates::dress"
"baron::dress";"norris::dress"
"baron::dress";"rushworth::dress"
"baron::dress";"yates::dress"
"norris::dress";"rushworth::dress"
"norris::dress";"yates::dress"
"crawford::safe";"edmund::safe"
"crawford::safe";"grant::safe"
"edmund::safe";"grant::safe"
"crawford::wrong";"edmund::wrong"
"crawford::wrong";"grant::wrong"
"edmund::wrong";"grant::wrong"
"crawford::busy";"crawford::dress"
"crawford::busy";"crawford::important"
"crawford::busy";"crawford::object"
"crawford::dress";"crawford::important"
"crawford::dress";"crawford::object"
"crawford::important";"crawford::object"
"crawford::room";"crawford::sad"
"henry_crawford::cure";"maria::cure"
"henry::#-love";"henry::thought"
"henry::#-love";"henry::two"
"henry::#-love";"henry::wonder"
"henry::#-love";"julia::#-love"
"henry::#-love";"julia::thought"
"henry::#-love";"julia::two"
"henry::#-love";"julia::wonder"
"henry::#-love";"mary::#-love"
"henry::#-love";"mary::thought"
"henry::#-love";"mary::two"
"henry::#-love";"mary::wonder"
"henry::thought";"henry::two"
"henry::thought";"henry::wonder"
"henry::thought";"julia::#-love"
"henry::thought";"julia::thought"
"henry::thought";"julia::two"
"henry::thought";"julia::wonder"
"henry::thought";"mary::#-love"
"henry::thought";"mary::thought"
"henry::thought";"mary::two"
"henry::thought";"mary::wonder"
"henry::two";"henry::wonder"
"henry::two";"julia::#-love"
"henry::two";"julia::thought"
"henry::two";"julia::two"
"henry::two";"julia::wonder"
"henry::two";"mary::#-love"
"henry::two";"mary::thought"
"henry::two";"mary::two"
"henry::two";"mary::wonder"
"henry::wonder";"julia::#-love"
"henry::wonder";"julia::thought"
"henry::wonder";"julia::two"
"henry::wonder";"julia::wonder"
"henry::wonder";"mary::#-love"
"henry::wonder";"mary::thought"
"henry::wonder";"mary::two"
"henry::wonder";"mary::wonder"
"julia::#-love";"julia::thought"
"julia::#-love";"julia::two"
"julia::#-love";"julia::wonder"
"julia::#-love";"mary::#-love"
"julia::#-love";"mary::thought"
"julia::#-love";"mary::two"
"julia::#-love";"mary::wonder"
"julia::thought";"julia::two"
"julia::thought";"julia::wonder"
"julia::thought";"mary::#-love"
"julia::thought";"mary::thought"
"julia::thought";"mary::two"
"julia::thought";"mary::wonder"
"julia::two";"julia::wonder"
"julia::two";"mary::#-love"
"julia::two";"mary::thought"
"julia::two";"mary::two"
"julia::two";"mary::wonder"
"julia::wonder";"mary::#-love"
"julia::wonder";"mary::thought"
"julia::wonder";"mary::two"
"julia::wonder";"mary::wonder"
"mary::#-love";"mary::thought"
"mary::#-love";"mary::two"
"mary::#-love";"mary::wonder"
"mary::thought";"mary::two"
"mary::thought";"mary::wonder"
"mary::two";"mary::wonder"
"hawkins_browne::sense";"parsons::sense"
"hawkins_browne::sense";"pope::sense"
"parsons::sense";"pope::sense"
"henry::#-fancy";"maria_bertram::#-fancy"
"henry::#-fancy";"mary::#-fancy"
"maria_bertram::#-fancy";"mary::#-fancy"
"grant::hope";"grant::love"
"grant::hope";"grant::sense"
"grant::hope";"grant::temper"
"grant::hope";"grant::warm"
"grant::hope";"julia::hope"
"grant::hope";"julia::love"
"grant::hope";"julia::sense"
"grant::hope";"julia::temper"
"grant::hope";"julia::warm"
"grant::love";"grant::sense"
"grant::love";"grant::temper"
"grant::love";"grant::warm"
"grant::love";"julia::hope"
"grant::love";"julia::love"
"grant::love";"julia::sense"
"grant::love";"julia::temper"
"grant::love";"julia::warm"
"grant::sense";"grant::temper"
"grant::sense";"grant::warm"
"grant::sense";"julia::hope"
"grant::sense";"julia::love"
"grant::sense";"julia::sense"
"grant::sense";"julia::temper"
"grant::sense";"julia::warm"
"grant::temper";"grant::warm"
"grant::temper";"julia::hope"
"grant::temper";"julia::love"
"grant::temper";"julia::sense"
"grant::temper";"julia::temper"
"grant::temper";"julia::warm"
"grant::warm";"julia::hope"
"grant::warm";"julia::love"
"grant::warm";"julia::sense"
"grant::warm";"julia::temper"
"grant::warm";"julia::warm"
"julia::hope";"julia::love"
"julia::hope";"julia::sense"
"julia::hope";"julia::temper"
"julia::hope";"julia::warm"
"julia::love";"julia::sense"
"julia::love";"julia::temper"
"julia::love";"julia::warm"
"julia::sense";"julia::temper"
"julia::sense";"julia::warm"
"julia::temper";"julia::warm"
"henry_crawford::public";"julia::public"
"henry_crawford::public";"maria::public"
"julia::public";"maria::public"
"crawford::busy";"crawford::crown"
"crawford::busy";"crawford::little"
"crawford::busy";"crawford::love"
"crawford::busy";"edmund::busy"
"crawford::busy";"edmund::crown"
"crawford::busy";"edmund::little"
"crawford::busy";"edmund::love"
"crawford::busy";"norris::busy"
"crawford::busy";"norris::crown"
"crawford::busy";"norris::little"
"crawford::busy";"norris::love"
"crawford::busy";"thomas::busy"
"crawford::busy";"thomas::crown"
"crawford::busy";"thomas::little"
"crawford::busy";"thomas::love"
"crawford::crown";"crawford::little"
"crawford::crown";"crawford::love"
"crawford::crown";"edmund::busy"
"crawford::crown";"edmund::crown"
"crawford::crown";"edmund::little"
"crawford::crown";"edmund::love"
"crawford::crown";"norris::busy"
"crawford::crown";"norris::crown"
"crawford::crown";"norris::little"
"crawford::crown";"norris::love"
"crawford::crown";"thomas::busy"
"crawford::crown";"thomas::crown"
"crawford::crown";"thomas::little"
"crawford::crown";"thomas::love"
"crawford::little";"crawford::love"
"crawford::little";"edmund::busy"
"crawford::little";"edmund::crown"
"crawford::little";"edmund::love"
"crawford::little";"norris::busy"
"crawford::little";"norris::crown"
"crawford::little";"norris::little"
"crawford::little";"norris::love"
"crawford::little";"thomas::busy"
"crawford::little";"thomas::crown"
"crawford::little";"thomas::little"
"crawford::little";"thomas::love"
"crawford::love";"edmund::busy"
"crawford::love";"edmund::crown"
"crawford::love";"edmund::little"
"crawford::love";"edmund::love"
"crawford::love";"norris::busy"
"crawford::love";"norris::crown"
"crawford::love";"norris::little"
"crawford::love";"norris::love"
"crawford::love";"thomas::busy"
"crawford::love";"thomas::crown"
"crawford::love";"thomas::little"
"crawford::love";"thomas::love"
"edmund::busy";"edmund::crown"
"edmund::busy";"edmund::little"
"edmund::busy";"edmund::love"
"edmund::busy";"norris::busy"
"edmund::busy";"norris::crown"
"edmund::busy";"norris::little"
"edmund::busy";"norris::love"
"edmund::busy";"thomas::busy"
"edmund::busy";"thomas::crown"
"edmund::busy";"thomas::little"
"edmund::busy";"thomas::love"
"edmund::crown";"edmund::little"
"edmund::crown";"edmund::love"
"edmund::crown";"norris::busy"
"edmund::crown";"norris::crown"
"edmund::crown";"norris::little"
"edmund::crown";"norris::love"
"edmund::crown";"thomas::busy"
"edmund::crown";"thomas::crown"
