"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"167","clownish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","clumsy",28,2,4,2,1,1,3,0,5,3,0,1,0,5,1,0
"169","coarse",116,8,9,6,4,9,18,3,8,11,1,17,4,6,7,5
"170","cocky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","coercive",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"172","coherent",9,0,0,2,0,2,1,0,2,1,0,0,0,0,1,0
"173","cold",613,22,38,47,32,70,36,12,35,45,17,54,54,32,65,54
"174","coldhear",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","combativ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","communic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","companio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","compassl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","compasst",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","competit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","complace",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","complain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","complais",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184","complex",4,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"185","complian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","complica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187","complime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","compulsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","comradel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","conceite",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191","conceitl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","concilia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","concise",3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"194","condesce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195","confiden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","confusab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","confused",88,6,2,10,7,12,5,1,7,5,8,6,4,7,6,2
"198","congenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","consciel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200","consciet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201","conserva",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","consider",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203","consiste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204","consolat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205","constant",143,2,14,15,11,16,9,1,9,14,2,17,3,3,14,13
