"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"279","mature",1,0,0,0,0,1,0
"280","mean",4,0,1,0,0,3,0
"281","messy",0,0,0,0,0,0,0
"282","middle-aged",0,0,0,0,0,0,0
"283","middle-class",0,0,0,0,0,0,0
"284","modest",14,2,5,1,3,1,2
"285","moody",0,0,0,0,0,0,0
"286","motherly",0,0,0,0,0,0,0
"287","muscular",0,0,0,0,0,0,0
"288","naive",0,0,0,0,0,0,0
"289","narrow-minded",1,0,0,1,0,0,0
"290","natural",120,37,25,8,14,19,17
"291","neat",5,2,1,1,0,0,1
"292","needy",0,0,0,0,0,0,0
"293","negative",7,1,2,0,1,2,1
"294","neglected",0,0,0,0,0,0,0
"295","neighborly",0,0,0,0,0,0,0
"296","nervous",11,5,1,0,1,0,4
"297","nice",29,5,6,4,9,2,3
"298","noisy",5,1,1,0,0,1,2
"299","normal",0,0,0,0,0,0,0
"300","nosy",0,0,0,0,0,0,0
"301","obnoxious",0,0,0,0,0,0,0
"302","observant",3,0,0,0,1,0,2
"303","obsessive",0,0,0,0,0,0,0
"304","offensive",5,0,1,0,2,2,0
"305","old",176,49,40,22,28,10,27
"306","old-fashioned",6,2,0,3,0,0,1
"307","open",79,17,9,16,12,4,21
"308","open-minded",0,0,0,0,0,0,0
"309","opinionated",0,0,0,0,0,0,0
"310","optimistic",0,0,0,0,0,0,0
"311","ordinary",11,1,1,3,0,3,3
"312","organized",0,0,0,0,0,0,0
"313","original",9,1,2,1,0,5,0
"314","outgoing",0,0,0,0,0,0,0
"315","outspoken",0,0,0,0,0,0,0
"316","outstanding",0,0,0,0,0,0,0
"317","overrated",0,0,0,0,0,0,0
"318","overworked",0,0,0,0,0,0,0
"319","passionate",1,0,0,0,0,0,1
"320","pathetic",1,0,0,0,1,0,0
"321","patient",0,0,0,0,0,0,0
"322","peaceful",0,0,0,0,0,0,0
"323","perceptive",0,0,0,0,0,0,0
"324","persistent",0,0,0,0,0,0,0
"325","persuasive",0,0,0,0,0,0,0
"326","phony",0,0,0,0,0,0,0
"327","plain",19,6,2,3,2,5,1
"328","playful",3,1,0,1,1,0,0
"329","pleasant",77,24,18,6,7,11,11
"330","pleased",29,6,5,4,4,6,4
"331","pleasing",0,0,0,0,0,0,0
"332","polite",14,1,0,3,3,3,4
"333","poor",216,72,48,15,29,23,29
"334","popular",2,1,0,0,1,0,0
"335","positive",13,1,1,3,2,1,5
"336","possessive",0,0,0,0,0,0,0
"337","powerful",11,3,2,0,3,2,1
"338","practical",1,0,1,0,0,0,0
"339","predictable",0,0,0,0,0,0,0
"340","prejudiced",4,1,1,0,0,1,1
"341","preoccupied",0,0,0,0,0,0,0
"342","presentable",0,0,0,0,0,0,0
"343","pretty",12,1,3,2,2,2,2
"344","private",46,8,14,3,4,6,11
"345","procrastinating",0,0,0,0,0,0,0
"346","productive",3,0,0,0,0,1,2
"347","professional",2,1,1,0,0,0,0
"348","prominent",3,2,1,0,0,0,0
"349","prompt",2,0,0,0,1,1,0
"350","proper",87,28,15,5,11,14,14
"351","prosperous",6,1,1,0,1,2,1
"352","protective",0,0,0,0,0,0,0
"353","proud",13,2,0,1,3,7,0
"354","punctual",5,1,1,0,0,2,1
"355","quiet",28,7,9,3,5,1,3
"356","radical",0,0,0,0,0,0,0
"357","realistic",0,0,0,0,0,0,0
"358","reasonable",43,15,8,2,0,10,8
"359","rebellious",0,0,0,0,0,0,0
"360","reckless",0,0,0,0,0,0,0
"361","relaxed",0,0,0,0,0,0,0
"362","reliable",0,0,0,0,0,0,0
"363","religious",1,0,0,1,0,0,0
"364","remarkable",20,3,1,6,2,7,1
"365","resourceful",0,0,0,0,0,0,0
"366","respectable",41,9,11,0,3,8,10
"367","respected",0,0,0,0,0,0,0
"368","respectful",4,2,0,0,0,1,1
"369","responsible",2,0,0,0,2,0,0
"370","retarded",0,0,0,0,0,0,0
"371","rich",47,8,7,6,9,5,12
"372","ridiculous",14,1,2,2,0,2,7
"373","romantic",4,1,1,0,0,0,2
"374","rough",6,1,4,0,0,1,0
"375","rowdy",0,0,0,0,0,0,0
"376","rude",12,5,0,2,0,2,3
"377","rushed",0,0,0,0,0,0,0
"378","sad",19,5,8,0,3,3,0
"379","sarcastic",3,1,1,0,0,1,0
"380","satisfied",27,7,7,2,4,5,2
"381","scared",0,0,0,0,0,0,0
"382","secure",13,2,0,4,1,3,3
"383","seductive",0,0,0,0,0,0,0
"384","self-assured",0,0,0,0,0,0,0
"385","self-centered",0,0,0,0,0,0,0
"386","self-confident",0,0,0,0,0,0,0
"387","self-conscious",0,0,0,0,0,0,0
"388","self-sufficient",0,0,0,0,0,0,0
"389","self-supporting",0,0,0,0,0,0,0
"390","selfish",17,1,7,1,2,2,4
"391","senile",0,0,0,0,0,0,0
"392","sensible",71,13,10,3,16,20,9
"393","sensitive",0,0,0,0,0,0,0
"394","sentimental",0,0,0,0,0,0,0
"395","serious",103,24,26,3,11,20,19
"396","sexy",0,0,0,0,0,0,0
"397","shallow",1,0,0,1,0,0,0
"398","short",206,38,38,34,26,31,39
"399","short-tempered",0,0,0,0,0,0,0
"400","shy",6,0,2,0,2,1,1
"401","sincere",21,3,1,4,1,6,6
"402","skilled",0,0,0,0,0,0,0
"403","skillful",0,0,0,0,0,0,0
"404","skinny",0,0,0,0,0,0,0
"405","sleepy",0,0,0,0,0,0,0
"406","slender",0,0,0,0,0,0,0
"407","slim",0,0,0,0,0,0,0
"408","sloppy",0,0,0,0,0,0,0
"409","smart",11,0,1,1,1,2,6
"410","snobbish",0,0,0,0,0,0,0
"411","sociable",1,0,0,0,0,0,1
"412","social",6,2,1,1,1,1,0
"413","soft-spoken",0,0,0,0,0,0,0
"414","sophisticated",0,0,0,0,0,0,0
"415","spoiled",0,0,0,0,0,0,0
"416","spontaneous",1,0,1,0,0,0,0
"417","stable",4,2,0,0,0,0,2
"418","stingy",0,0,0,0,0,0,0
"419","straightforward",3,3,0,0,0,0,0
"420","strange",65,10,9,18,2,9,17
"421","strict",13,2,3,1,5,0,2
"422","strong",109,29,30,7,18,12,13
"423","stubborn",4,0,0,1,0,0,3
"424","stuck-up",0,0,0,0,0,0,0
"425","stupid",26,4,6,6,1,4,5
"426","successful",8,2,3,1,0,1,1
"427","superstitious",0,0,0,0,0,0,0
