"active" "affable" "affectionate" "agreeable" "amiable" "anxious" "benevolent" "bold" "bright" "calm" "careful" "certain" "cheerful" "clever" "cold" "considerate" "constant" "cool" "cruel" "curious" "deep" "determined" "direct" "distant" "dull" "earnest" "expressive" "faithful" "friendly" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "hearty" "honest" "humble" "ignorant" "immovable" "impatient" "indifferent" "ingenious" "jealous" "kind" "lively" "loud" "modest" "moral" "narrow" "natural" "original" "particular" "passionate" "patient" "pleasant" "polished" "polite" "political" "practical" "precise" "profound" "proper" "proud" "quick" "quiet" "reasonable" "responsible" "rigid" "rough" "sensitive" "serious" "severe" "silent" "simple" "slow" "social" "spirited" "steady" "stern" "submissive" "tender" "thoughtful" "tight" "timid" "vague" "vain" "violent" "warm" "wild" "wise"
"impatient" 0 0 2 2 1 2 1 0 3 1 2 3 1 1 0 0 1 1 1 1 1 1 0 2 0 1 2 0 1 1 0 2 2 0 3 1 1 0 2 2 0 0 0 0 3 1 1 0 1 0 2 1 2 0 0 1 1 2 0 0 0 1 2 2 2 3 0 1 0 2 0 0 0 1 0 1 0 0 0 0 3 0 1 0 0 0 0 0 0 3 0
"indifferent" 0 1 2 0 0 0 0 0 0 0 2 1 1 0 0 1 0 1 2 0 0 0 1 0 0 0 2 0 1 1 2 1 1 2 2 0 0 2 0 0 0 0 0 0 2 0 0 1 1 0 2 2 4 0 1 0 0 1 0 1 0 1 0 3 1 3 1 1 0 0 1 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0
"ingenious" 0 0 1 0 0 0 0 1 4 1 1 4 0 0 2 0 1 0 0 2 1 0 1 0 1 1 0 0 1 0 0 0 0 1 0 2 1 1 0 0 0 0 0 0 2 1 1 1 1 0 5 3 3 0 3 2 1 1 1 3 1 0 1 1 4 2 1 2 0 1 0 1 0 0 2 0 0 0 2 0 0 1 0 0 0 1 0 0 0 1 1
"jealous" 0 1 0 0 0 2 1 0 2 0 2 4 1 0 3 1 1 0 0 1 1 0 1 2 1 0 1 1 1 1 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 3 1 2 0 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 1 1 0 4 1 2 0 0 0 0 1 0 0 0 1 1 0 1 3 1 2
"kind" 1 3 2 4 2 6 1 0 10 2 4 12 1 2 8 1 1 2 5 2 1 2 1 2 4 2 5 2 2 3 2 4 2 1 8 0 3 3 0 0 3 2 2 0 0 1 1 2 1 0 7 3 6 2 1 6 1 2 0 2 0 0 7 4 4 13 1 2 1 1 2 2 1 2 1 2 3 2 2 3 3 1 0 2 1 1 2 4 2 2 2
"lively" 0 0 0 1 1 0 0 0 4 0 0 3 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 2 1 0 1 4 0 1 0 0 1 0 0 1 0 1 0 1 0 2 1 0 0 3 1 4 0 0 1 0 0 1 0 0 0 0 2 3 1 0 1 0 1 1 1 0 0 1 4 1 0 1 1 1 3 1 0 0 0 0 1 2 0 0
"loud" 0 0 0 1 2 2 2 1 4 1 0 1 1 0 3 0 0 0 1 2 1 1 0 0 0 1 1 0 1 0 0 2 2 0 1 1 2 1 0 0 1 0 1 0 1 2 0 0 1 0 2 3 2 0 0 1 1 0 0 2 0 1 1 3 4 3 1 0 1 0 0 0 0 3 1 2 0 0 2 0 0 1 2 2 2 0 1 0 0 1 1
"modest" 0 2 1 1 0 0 0 0 2 0 2 1 1 0 2 0 1 0 0 0 1 0 2 1 0 1 0 2 2 0 0 0 0 0 3 1 0 1 0 0 0 1 1 0 2 1 0 0 1 0 1 0 3 0 1 2 0 0 1 1 2 0 0 2 0 4 1 0 0 1 0 0 1 1 2 0 1 0 2 0 0 0 0 0 1 1 2 0 1 0 2
"moral" 0 1 2 0 2 2 1 0 1 1 4 5 1 1 2 0 0 3 0 0 0 0 1 0 1 1 1 0 3 0 0 2 1 0 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 2 0 2 0 1 2 1 2 0 0 2 1 2 2 3 3 2 1 1 1 0 1 0 0 2 1 1 1 1 0 0 1 1 1 1 2 1 1 0 1 1
"narrow" 1 0 0 1 2 3 1 1 8 1 1 9 2 3 4 1 0 0 1 2 4 0 0 2 4 1 0 0 0 2 0 0 3 0 3 1 1 1 0 2 0 0 0 3 0 0 0 0 0 0 2 2 1 2 0 3 0 0 1 1 0 1 3 4 2 2 0 0 0 3 0 1 0 4 1 1 2 0 1 0 0 0 1 3 2 2 1 2 2 2 1
"natural" 1 1 5 6 1 3 1 0 7 1 5 14 3 4 5 0 0 3 5 4 3 1 3 3 4 5 0 5 2 2 1 2 2 4 3 2 3 3 3 0 2 2 5 3 7 3 2 1 2 2 0 2 9 0 4 6 1 3 0 2 3 0 3 6 7 10 2 4 0 2 0 3 2 2 5 9 0 1 3 1 2 3 4 3 5 1 0 2 2 4 4
"original" 2 0 1 2 0 2 0 1 3 0 1 8 0 0 3 1 2 0 1 2 2 0 0 1 1 1 0 2 0 1 1 2 2 0 6 0 1 2 0 0 1 2 3 1 3 1 3 0 0 2 2 0 6 2 2 2 2 2 0 5 1 1 1 3 3 4 0 0 0 1 0 0 0 2 0 3 1 0 1 0 2 3 0 0 0 0 0 2 0 1 2
