"affected" "affectionate" "agreeable" "amiable" "anxious" "bold" "boyish" "brave" "bright" "calm" "capable" "careful" "certain" "cheerful" "childish" "clever" "cold" "compassionate" "confident" "confused" "considerate" "constant" "cordial" "cruel" "curious" "deep" "determined" "distant" "dull" "eager" "earnest" "expressive" "faithful" "fierce" "foolish" "friendly" "generous" "genteel" "gentle" "gloomy" "gracious" "hearty" "honest" "humble" "ignorant" "immovable" "indifferent" "inexperienced" "ingenious" "jealous" "kind" "lazy" "lively" "loving" "merry" "mild" "modest" "narrow" "natural" "nervous" "orderly" "original" "particular" "passionate" "patient" "placid" "pleasant" "polite" "practical" "profound" "proud" "quick" "quiet" "reproachful" "respectful" "restless" "rough" "selfish" "sensitive" "serious" "severe" "shy" "silent" "simple" "slow" "solemn" "steady" "stern" "stormy" "tender" "thoughtful" "timid" "vague" "vain" "violent" "warm" "wild" "wise" "worldly"
"indifferent" 2 1 0 1 1 3 1 0 1 0 0 0 4 1 1 0 1 0 0 0 0 2 1 0 2 1 0 1 0 0 3 0 1 0 0 1 1 0 3 0 0 0 2 0 0 0 0 0 1 0 2 0 1 1 0 2 0 1 2 0 0 1 2 1 0 0 1 0 2 0 0 1 5 0 0 1 1 0 0 1 1 2 0 1 0 0 2 1 0 0 1 1 1 1 0 1 1 0 1
"inexperienced" 0 3 1 0 0 0 1 0 3 2 0 0 2 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 0 2 1 2 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 2 0 0 0 2 0 1 1 2 0 1 1 2 0 4 1 0 0 0 0 0 3 1 0 1 1 0 0 0 0 0 2 0 1 1 0 0 1 1 1 1
"ingenious" 0 0 1 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 1 1 0 1 0 0 1 2 1 0 0 0 2 1 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 2 0 0 2 1 1 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1
"jealous" 0 1 3 1 1 1 0 1 3 0 0 1 1 1 1 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 3 1 0 1 1 0 1 0 2 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1
"kind" 1 5 6 3 3 2 1 0 8 2 2 2 11 6 4 1 5 0 0 0 2 1 0 4 4 3 0 3 4 0 4 1 2 2 5 6 2 1 6 3 2 4 3 1 2 0 2 0 2 1 0 1 2 2 0 3 1 1 7 5 1 3 5 2 3 0 6 0 1 1 2 1 8 2 2 2 8 1 2 5 1 0 10 2 2 4 3 1 1 1 1 3 2 1 1 1 6 3 3
"lazy" 0 1 0 0 0 0 0 0 4 1 0 0 0 0 1 1 2 1 1 0 0 0 0 1 1 4 0 1 0 0 2 1 0 0 1 0 1 0 1 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 2 0 1 2 2 0 1 0 1 0 2 0 0 1 0 0 2 0 2 2 0 1 1 0 1 2 0 0 1 0 1 0 0
"lively" 0 0 1 1 2 0 0 0 3 0 1 0 5 2 1 0 2 0 0 2 1 2 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 2 0 0 0 0 0 0 1 2 2 0 1 2 0 0 2 2 0 0 0 0 1 3 1 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 1 1 1 2 1 1 0
"loving" 0 1 1 0 1 1 0 0 2 2 0 0 2 1 0 0 3 0 0 0 0 2 0 0 0 1 0 1 0 1 0 0 0 0 3 1 0 0 3 0 0 1 0 0 1 0 1 0 2 0 2 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 1 1 1 0 1 0 2 0 0 0 5 0 0 1 0 1 1 1 0 2 0 0 0 0 0 1 0 1 0 1 1 0 0
"merry" 0 1 0 1 3 1 0 0 3 1 0 1 0 3 1 1 0 0 0 1 0 0 0 0 0 1 0 0 3 0 0 0 1 0 2 1 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 4 0 0 0 0 0 3 0 0 1 1 0 1 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1
"mild" 0 1 0 3 1 2 1 0 2 2 0 0 6 1 0 0 1 0 1 0 0 0 1 0 0 1 0 1 1 0 2 1 1 1 0 3 1 1 1 0 2 1 0 0 2 1 2 1 1 1 3 0 0 0 0 0 0 1 5 0 0 0 1 0 0 0 1 0 0 0 2 1 2 1 0 0 0 2 0 0 2 0 2 4 2 0 1 0 0 0 2 2 1 1 1 2 0 3 1
