"active" "affected" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bitter" "bold" "bright" "brisk" "calm" "capable" "careful" "careless" "certain" "cheerful" "clever" "coarse" "cold" "complicated" "confident" "confused" "considerate" "constant" "cool" "cruel" "cunning" "curious" "deep" "determined" "distant" "dull" "eager" "earnest" "elegant" "expressive" "faithful" "fearful" "fierce" "fiery" "foolish" "friendly" "gallant" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "gruff" "harsh" "hasty" "hearty" "honest" "humble" "ignorant" "immovable" "impatient" "indifferent" "ingenious" "intense" "jealous" "kind" "lively" "loud" "merry" "mild" "moral" "narrow" "natural" "nervous" "noisy" "original" "particular" "patient" "peaceful" "pleasant" "polite" "profound" "prompt" "proper" "proud" "punctual" "quick" "quiet" "reasonable" "respectful" "restless" "rigid" "rough" "rugged" "sarcastic" "scrupulous" "selfish" "serious" "severe" "silent" "simple" "slow" "sluggish" "smart" "solemn" "spirited" "steady" "stern" "strict" "thoughtful" "thoughtless" "tight" "timid" "uncouth" "vague" "vain" "violent" "vivid" "warm" "worldly" "wild" "wise"
"hasty" 1 0 0 2 1 4 2 1 0 3 0 2 0 1 1 6 1 0 1 2 0 2 1 1 2 3 1 0 1 0 0 0 0 1 3 1 1 1 1 0 0 2 1 1 0 0 3 2 2 0 1 1 0 2 2 1 1 0 3 1 1 1 2 2 0 3 1 0 3 1 7 1 1 2 4 1 0 1 0 2 1 2 3 0 2 4 0 1 3 0 2 1 1 0 0 2 2 4 0 0 1 1 0 1 1 0 0 1 0 0 0 1 1 0 2 1 2 2 1 1
"hearty" 3 1 2 1 1 3 0 0 3 2 1 0 0 1 0 2 3 0 1 5 0 0 0 1 1 0 0 1 0 1 0 1 3 1 2 1 0 1 0 1 0 1 1 0 2 1 1 1 0 0 0 0 2 0 4 3 0 1 1 0 2 0 1 4 1 0 0 0 0 0 2 0 2 0 4 1 1 1 1 1 0 0 0 0 1 2 1 0 1 0 0 0 1 0 0 0 0 4 1 0 1 2 1 0 0 1 0 0 0 1 1 1 0 0 4 1 3 1 0 0
"honest" 0 1 2 1 1 2 2 2 0 4 1 4 1 0 2 3 5 3 3 11 0 2 0 0 1 2 1 1 1 2 1 3 1 1 1 1 1 5 1 3 0 0 3 0 1 2 5 1 2 0 0 1 2 4 0 4 2 1 1 2 1 0 0 5 1 6 2 0 0 0 4 0 0 3 6 1 1 3 0 0 1 2 4 0 2 3 0 1 2 1 1 2 1 1 3 0 1 8 4 2 2 1 1 2 2 3 2 0 0 3 1 1 2 1 6 0 3 2 2 1
"humble" 1 1 3 3 0 5 1 2 0 4 0 0 0 0 0 2 2 0 0 5 0 0 0 2 3 0 0 0 1 2 1 1 3 1 2 2 3 1 0 0 0 0 2 0 1 1 4 0 1 0 1 1 1 3 4 0 0 1 1 0 0 0 1 1 0 3 1 0 1 0 4 0 0 2 2 1 2 7 1 1 1 1 3 0 1 3 0 0 0 1 3 2 1 2 1 2 0 1 0 2 2 1 1 0 2 2 0 0 1 1 1 1 0 1 4 1 6 1 3 0
"ignorant" 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 3 2 0 0 3 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0
"immovable" 1 0 0 1 0 3 0 0 1 2 0 1 0 1 0 1 0 2 0 1 1 0 0 0 0 1 0 0 0 2 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 3 1 0 2 3 1 0 1 0 0 0 1 1 0 0 3 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 1 0 0 1 1 1 0 1 1 0 0 0 1 1 1 0 1
"impatient" 1 0 3 1 0 6 1 0 0 1 0 1 0 1 2 1 1 0 0 3 0 0 0 0 0 0 1 1 1 1 0 2 4 0 2 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 1 3 1 1 1 0 0 0 2 1 1 3 2 0 5 0 0 2 1 3 0 0 2 4 0 0 2 0 3 0 2 1 0 3 5 0 0 0 0 1 0 2 0 1 1 1 3 0 1 0 2 0 1 1 0 0 2 0 1 1 1 0 0 3 1 1 0 3 0
"indifferent" 0 1 1 0 0 3 1 0 1 1 0 1 0 0 4 2 2 0 0 1 0 1 0 0 0 2 0 1 0 1 0 0 2 0 1 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 1 1 0 2 0 0 0 2 0 0 0 0 0 1 2 1 0 0 0 2 0 0 3 1 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 1 1 0 0 1 2 0 3 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 1 1 0 0 3 0
"ingenious" 0 0 1 2 1 1 0 0 3 1 1 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 1 2 1 1 0 0 1 1 2 1 0 1 1 1 0 0 0 1 1 0 2 0 0 0 0 1 0 0 0 2 0 0 2 0 0 0 1 1 1 0 3 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 2 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0
"intense" 3 0 0 0 1 2 0 0 0 2 1 1 0 0 0 2 0 0 0 2 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 2 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 3 0 1 0 0 0 0 0 1 0 2 2 0 0 0 1 0 0 1 0 1 0 1 2 0 1 0 1 0 0 1 2 0 0 1 1 0 0 0 0 3 0 1 0 0 1
"jealous" 0 1 1 2 0 5 4 1 2 1 0 0 0 4 0 2 1 0 0 1 0 0 1 0 0 0 3 1 0 2 0 1 2 1 2 1 1 0 0 1 2 3 1 1 0 0 1 1 0 0 0 0 2 1 0 1 0 0 3 0 1 1 0 1 0 3 0 0 3 0 4 2 0 0 5 3 0 4 2 1 0 5 4 2 1 4 0 1 0 0 1 0 1 2 1 3 0 2 0 2 0 1 0 0 0 1 0 1 2 2 0 0 0 1 2 0 1 1 3 0
"kind" 1 0 2 2 1 7 1 3 1 4 1 0 0 0 1 8 3 1 1 7 2 0 1 2 3 1 3 0 1 3 0 2 5 0 7 2 0 4 1 0 0 4 2 0 3 0 2 3 2 1 0 2 2 4 5 1 0 0 2 0 1 0 1 0 2 6 1 0 1 2 6 2 0 1 9 2 2 9 0 1 1 1 4 2 3 7 1 2 1 0 1 0 0 2 1 2 3 2 1 3 0 0 1 1 1 1 0 2 3 1 0 0 3 1 4 0 4 2 1 2
"lively" 2 0 1 2 1 0 1 0 2 3 1 0 0 0 1 3 2 1 0 4 0 0 0 0 1 0 1 0 1 0 0 0 1 0 1 3 0 0 1 0 0 0 1 1 0 1 1 1 1 1 0 0 0 1 1 0 0 0 0 1 0 0 0 2 0 1 0 0 0 1 2 0 0 1 2 1 1 0 1 0 0 4 2 1 0 1 2 1 0 0 1 0 0 0 1 2 2 1 2 0 0 0 0 0 0 0 1 0 1 1 0 0 2 0 2 0 2 1 1 0
"loud" 2 0 2 1 2 7 4 2 2 3 2 3 2 2 1 5 2 3 8 7 0 3 3 1 1 2 0 1 2 6 1 1 7 3 1 5 2 1 2 0 0 4 1 2 0 3 4 4 2 3 2 5 3 0 6 3 2 1 5 2 2 1 3 6 1 0 1 0 3 3 4 2 2 5 4 1 1 7 1 3 0 3 0 0 3 10 0 3 1 1 4 0 1 2 0 3 6 8 0 5 0 3 3 2 1 1 1 1 2 2 1 1 2 1 5 2 5 0 7 1
"merry" 1 0 1 1 1 2 0 0 1 2 1 0 0 0 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 1 1 0 1 0 0 3 0 0 2 2 2 0 0 1 1 0 2 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 1 3 1 0 2 2 0 1 0 0 1 0 2 2 0 0 1 0 2 0 0 0 0 0 0 2 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 2 1 1 1 0 2 0
"mild" 1 0 0 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 1 0 0 3 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 2 0 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 0
"moral" 0 1 1 1 0 4 3 1 1 2 0 0 0 1 0 5 1 0 1 4 1 0 1 0 0 0 2 0 1 1 1 0 3 2 1 1 0 0 0 1 0 2 0 0 0 0 1 0 0 1 1 0 3 0 0 1 0 0 2 0 0 0 3 1 0 3 0 0 0 0 1 3 1 2 2 0 0 3 0 1 0 3 2 0 1 2 0 0 1 1 1 0 2 0 0 2 0 1 1 2 0 2 0 0 0 1 0 0 1 0 0 1 0 1 2 0 0 0 0 0
"narrow" 0 0 2 0 0 0 2 1 0 2 0 0 1 0 0 2 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 1 1 0 0 2 1 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 1 3 0 0 0 0 3 1 0 1 3 0 0 2 2 3 0 1 2 1 0 1 1 0 0 1 1 0 0 0 0 1 0 2 1 0 0 1 1 0 0 0 0 1 0 1 0 1 1 0 4 0 1 1 0 0
"natural" 1 2 4 5 5 9 1 1 2 6 0 3 2 1 1 12 2 0 0 3 1 1 0 0 3 3 2 0 1 4 0 3 2 0 3 2 5 3 1 1 0 2 3 2 0 2 5 4 3 1 0 1 7 2 4 4 0 3 3 2 1 1 4 6 2 4 1 0 1 3 0 5 1 2 5 3 2 8 2 4 2 5 3 0 2 11 2 1 3 2 6 2 0 0 1 5 3 6 2 7 2 2 1 1 2 0 2 3 1 2 1 2 1 0 3 0 6 2 4 1
"nervous" 0 0 1 0 0 2 1 0 1 2 0 0 0 2 0 3 0 1 2 4 0 0 1 0 1 1 2 1 0 1 0 0 2 0 0 2 0 1 1 1 0 1 0 1 0 0 2 3 1 2 0 0 1 0 0 0 0 1 0 0 0 0 2 2 0 2 0 0 3 1 5 0 1 1 1 1 0 1 0 2 1 2 2 0 2 1 1 1 0 0 1 0 0 0 0 2 0 1 1 1 0 1 0 0 1 1 1 0 0 0 2 0 0 1 2 0 2 0 1 1
"noisy" 1 0 1 0 1 3 1 0 2 1 0 0 0 0 0 1 1 0 1 2 0 0 1 0 0 1 1 0 2 0 0 1 1 1 0 1 1 0 2 1 0 0 0 1 0 1 1 1 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 2 1 1 1 0 1 1 0 1 0 0 0 3 0 0 0 0 0 0 1 2 0 1 1 0 0 0 1 0 0 1 1 3 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 3 0
"original" 0 0 5 1 1 3 2 0 2 5 0 3 1 1 1 6 3 2 2 6 0 2 2 0 0 2 0 1 0 5 0 0 1 2 2 4 1 1 0 1 1 1 0 2 0 3 4 1 4 1 2 0 2 0 3 2 0 2 2 3 0 1 0 1 1 5 3 2 2 1 2 1 1 0 7 2 2 6 2 4 1 1 3 0 2 3 0 0 1 0 2 0 1 0 1 3 0 5 0 2 0 0 3 0 0 3 2 2 1 1 0 1 0 4 5 0 2 1 3 1
"particular" 2 1 4 5 4 10 4 3 1 8 2 1 4 2 2 9 6 2 3 10 1 1 2 1 5 2 1 3 4 7 0 4 9 2 4 2 3 2 2 2 1 6 1 0 1 3 5 5 0 3 0 5 4 4 6 2 0 3 4 1 2 3 5 9 2 4 1 1 2 3 5 1 0 7 0 3 0 8 2 3 0 5 7 2 5 4 2 2 1 0 1 0 1 2 3 8 1 9 1 2 0 0 1 3 1 4 0 4 2 2 2 3 0 0 5 1 5 2 1 2
"patient" 0 0 0 0 1 2 1 2 0 2 0 1 0 0 0 3 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 1 1 1 2 0 0 0 1 1 1 1 0 1 0 0 0 0 3 2 1 1 0 0 0 0 3 1 0 2 3 0 1 1 0 1 0 1 0 0 1 2 0 0 0 0 1 0 0 0 0 3 1 0 0 2 0 0 0 0 0 0 0 0 3 1 0 0 1 1 2 0 0 1 0 0
"peaceful" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 1 1 0 0 0 0 2 0 0 0 0 2 0 2 0 0 3 0 1 2 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 1 2 0 0 0 0 0 1 0 2 1 1 2 0 0 0 2 0 0 2 0 1 0 2 0 0 0 0 2 0 1 3 0 0 1 0 2 0 0 0 0 0 2 1 1 0 0 2 2 0 0 1 0 0 1 1 0 0 1 1 0 1 1 1 2 0
"pleasant" 0 3 3 9 0 8 2 4 3 5 1 1 1 2 0 8 5 0 2 6 1 0 0 1 3 2 1 0 2 12 1 2 6 6 1 1 2 1 1 2 1 1 3 1 1 2 9 2 2 3 0 2 1 1 3 7 2 1 2 0 2 0 4 9 0 7 2 3 3 2 8 1 3 6 8 1 2 0 2 3 0 2 8 3 4 12 1 1 1 1 3 1 0 2 0 3 2 4 1 6 2 3 4 2 2 2 2 2 0 3 0 2 0 3 7 1 7 1 3 3
"polite" 1 1 1 1 0 0 1 0 1 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 3 2 0 0 0 0 2 1 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 1 1 0 0 0 2 2 0 0 2 2 0 0 2 0 1 0 0 2 1 0 2 0 1 0 0 0 0 1 0 0 1 0 3 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 0
"profound" 1 2 3 1 0 4 0 0 1 1 1 0 0 0 0 8 4 0 1 0 1 2 0 0 2 1 0 0 1 3 1 1 4 1 0 2 1 1 0 0 0 0 0 1 1 0 2 2 1 0 1 1 2 1 0 1 1 0 3 0 0 0 1 1 0 3 1 1 1 3 4 2 0 4 3 1 0 3 1 0 1 2 2 0 2 3 0 2 1 1 1 0 0 0 1 3 2 2 1 2 0 3 1 1 2 0 2 1 1 2 0 1 0 2 5 0 3 1 2 2
"prompt" 0 0 1 0 0 1 0 0 0 0 0 1 0 1 1 2 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 1 0 0 1 0 0 0
"proper" 2 0 2 3 3 3 2 2 2 2 0 0 0 1 3 8 3 3 0 6 0 0 0 0 2 1 2 0 2 1 1 0 2 1 2 1 1 1 1 1 0 0 1 0 0 4 0 0 1 2 0 0 2 0 2 1 3 1 2 0 1 0 5 1 4 3 0 0 3 1 5 2 0 1 5 1 0 2 0 2 0 0 2 1 1 3 3 2 0 1 4 0 1 1 1 7 1 0 0 2 0 1 1 2 1 0 1 0 1 0 0 0 0 0 4 0 4 1 3 1
"proud" 0 1 2 3 1 7 3 1 0 2 1 1 1 1 0 5 3 1 1 1 0 0 2 0 3 2 3 1 1 6 0 2 1 0 2 2 1 3 0 0 2 3 2 1 2 0 5 1 0 3 0 1 3 0 4 3 2 1 1 0 1 1 4 4 2 0 1 2 2 2 3 2 0 3 7 0 2 8 2 2 0 2 0 3 1 1 0 0 1 2 0 0 0 1 3 8 0 5 2 3 0 0 3 1 0 0 1 2 1 1 0 0 1 2 8 0 4 3 2 0
"punctual" 0 0 1 0 0 2 0 0 0 0 1 0 1 1 0 2 2 0 0 0 0 0 0 0 0 0 0 1 0 2 0 2 1 1 0 2 0 1 0 0 1 0 1 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 2 1 0 0 0 0 1 0 0 0 0 2 0 0 3 1 0 0 1 3 0 0 2 1 0 0 0 0 0 0 1 0 3 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 2 0 0 0
"quick" 2 0 0 2 3 4 0 0 0 3 1 1 0 2 0 2 2 1 2 5 0 0 1 0 3 0 0 2 1 5 0 0 2 2 2 1 1 2 2 0 1 0 2 2 0 0 2 1 1 0 0 3 2 1 2 1 0 0 3 0 0 2 1 3 0 3 2 0 1 0 2 2 1 2 5 1 1 4 0 2 0 1 1 0 0 3 1 0 2 0 2 0 1 1 1 1 3 2 0 2 1 0 1 2 3 1 2 1 1 0 0 2 1 1 3 0 1 0 3 1
"quiet" 3 2 3 4 2 7 4 3 3 7 3 2 1 2 2 12 7 0 1 10 1 2 1 0 3 1 3 1 1 4 1 4 6 3 6 1 2 3 1 2 1 3 2 1 1 2 4 3 2 1 0 3 4 2 3 3 3 3 5 2 3 2 4 7 1 10 2 1 2 1 11 1 2 3 4 2 3 12 2 3 1 3 1 2 3 0 0 2 2 1 4 0 2 1 1 2 4 6 2 5 1 2 2 3 2 1 1 0 2 1 4 0 4 2 3 2 7 1 8 1
"reasonable" 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 2 1 0 0 1 0 0 0 0 0 1 0 2 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 2 1 0 0 2 0 0 1 0 0 0 3 0 1 1 0 0 0 1 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0
"respectful" 2 0 0 2 1 0 1 0 0 0 1 0 1 0 1 2 2 0 1 2 1 1 1 0 0 0 0 1 0 0 0 1 1 0 0 2 1 2 1 0 0 2 0 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 2 1 3 0 0 0 0 1 1 1 0 2 0 0 1 1 2 0 2 0 0 0 2 0 0 0 0 2 0 1 0 0 1 1 2 0 2 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1
"restless" 0 0 1 0 0 2 0 0 0 0 0 3 0 1 1 2 1 0 1 2 0 1 0 0 2 1 0 1 1 2 0 0 1 0 1 0 0 2 0 0 1 0 1 2 0 0 0 1 0 0 0 0 3 1 2 0 2 0 0 1 0 0 0 1 0 1 1 0 1 0 3 0 1 1 1 0 1 1 0 1 1 0 1 0 2 2 1 0 0 1 1 1 0 0 0 1 0 3 0 0 1 0 1 0 1 1 0 0 0 0 0 1 1 0 1 1 0 0 2 0
"rigid" 0 1 0 0 0 1 1 0 0 0 0 2 0 0 0 2 1 0 0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 1 1 0 1 1 0 1 1 0 0 2 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 1 1 2 0 0 0 0 0 0 1 0 1 0 1 2 0 0 1 0 0 1 0 1 0 0 0 0 0 0 5 0 1 0 1 0 0 1 0 0 0 0 2 0 0 0 0 4 0 0 0 2 0
"rough" 1 0 2 1 4 1 0 1 1 2 0 3 1 0 1 3 0 1 1 4 1 1 0 0 2 0 0 0 0 4 0 0 2 0 2 2 0 1 1 0 0 1 0 1 0 3 3 1 2 0 0 1 2 0 1 3 0 1 1 1 1 0 1 1 1 4 2 0 1 1 6 1 0 2 1 1 2 3 0 1 0 4 0 0 2 4 1 2 1 1 0 0 1 0 0 2 2 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 2 2 0 4 0
"rugged" 0 0 1 1 0 0 0 0 0 2 0 1 0 0 1 0 1 0 0 2 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 2 0 1 0 1 0 1 0 2 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 2 1 0 0 0 0 1 1 1 0 0 0 2 1 1 0
"sarcastic" 2 0 0 0 0 2 2 1 0 1 0 1 0 0 0 2 3 0 0 5 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 2 1 0 0 1 0 1 1 1 1 1 0 0 2 0 0 1 1 0 0 1 0 0 2 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0 1 2 0 1 0 0 1 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 1 0
"scrupulous" 0 0 1 2 1 1 0 1 0 2 0 0 0 2 0 1 1 2 0 0 0 0 0 1 0 0 0 0 0 1 0 1 2 1 1 1 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 1 0 0 1 2 0 0 0 0 1 0 2 2 0 2 0 1 0 0 0 0 0 0 2 0 0 2 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 1 1
"selfish" 0 0 1 0 0 5 0 1 0 0 0 0 1 1 0 3 1 0 1 4 0 0 0 0 2 0 1 0 1 0 0 0 0 1 2 0 1 0 0 0 1 1 0 0 1 2 2 0 0 1 0 0 0 0 3 1 0 0 1 1 0 1 1 1 1 0 0 0 0 0 1 0 0 1 3 0 0 0 0 1 1 1 3 0 1 1 0 0 0 0 0 0 0 0 0 1 0 2 2 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 5 0 1 0 0 1
"serious" 1 0 1 1 1 6 1 2 2 4 0 0 2 1 2 11 1 2 0 2 0 0 2 1 2 0 1 2 1 1 0 0 1 1 2 2 1 0 0 0 0 3 1 1 0 4 1 0 0 3 0 1 2 0 0 2 0 1 1 2 0 0 3 2 2 3 0 1 2 1 5 2 1 3 8 3 0 3 1 3 1 7 8 3 1 2 2 1 1 0 2 0 0 2 1 0 1 0 1 1 0 1 0 0 0 0 0 0 1 3 0 1 2 3 5 0 2 0 1 1
"severe" 3 0 0 1 2 2 0 0 0 2 1 2 1 1 0 4 1 1 2 6 0 0 1 2 1 0 0 0 2 1 0 0 1 1 1 0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 2 3 2 0 1 0 1 0 1 0 0 1 0 3 2 6 0 0 0 0 3 0 1 0 1 1 2 2 0 2 0 1 0 0 3 4 0 1 0 0 2 0 1 0 0 1 0 1 0 1 0 1 2 0 0 0 0 0 2 1 0 1 2 1 3 0 1 0 1 0
"silent" 1 1 3 4 2 3 2 2 1 7 1 3 2 1 4 5 6 1 4 8 1 1 2 0 0 2 2 3 2 6 0 2 7 3 4 3 2 2 3 1 3 4 2 3 1 1 4 4 1 0 0 3 4 4 8 1 1 1 3 3 1 2 2 2 1 8 2 0 1 2 6 1 3 5 9 0 1 4 3 2 1 0 5 1 2 6 0 2 3 5 1 1 1 2 2 0 1 0 2 5 1 3 2 3 2 4 1 2 1 2 1 0 3 1 12 1 4 0 6 1
"simple" 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 2 1 1 1 2 1 0 0 0 1 0 0 0 0 0 0 1 1 0 2 1 0 2 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 1 4 0 0 1 0 0 0 0 0 1 2 0 0 0 1 1 2 1 0 0 1 0 1 1 1 1 0 0 2 1 0 2 0 0 0 0 0 0 0 0 2 1 0 2 0 1 0 1 0 1 0 0 0 0 0 0 2 0 1 0 1 0 0 2 0 0
"slow" 0 0 0 2 1 6 2 2 0 3 0 0 1 0 1 6 2 0 2 3 1 0 0 0 0 0 0 1 0 3 0 0 2 2 0 1 0 1 0 1 1 5 1 0 1 1 3 1 2 1 1 1 0 0 2 2 0 1 1 0 0 1 2 3 0 5 0 1 2 0 7 1 0 2 2 2 0 6 1 2 0 2 3 0 2 5 0 2 0 1 1 1 2 0 0 1 1 5 1 0 2 0 0 0 3 0 1 3 2 1 0 1 1 1 3 0 3 0 3 0
"sluggish" 1 0 1 0 0 1 0 0 0 2 0 1 0 0 1 1 2 0 0 2 0 1 0 0 0 1 0 0 0 1 0 0 2 1 0 0 0 1 0 0 0 0 2 0 0 0 1 1 1 0 0 0 1 1 2 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 1 0 0 0 1 1 0 0 1 0 0 2 0 0 0 0 0 1 0 2 0 0 0 0 3 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0
"smart" 1 3 1 3 0 2 0 0 3 0 0 0 0 0 0 3 1 0 0 2 1 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 2 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 2 1 1 0 0 2 0 1 1 1 0 0 3 1 1 2 1 2 1 2 0 0 0 2 3 1 3 0 1 0 1 0 2 1 0 0 1 0 0 0 0 0 1 1 3 1 0 0 0 0 2 0 0 0 0 0 2 1 0 0 0 1 1 2 0 1 0
"solemn" 1 0 1 2 1 1 0 0 1 1 1 2 1 1 0 6 0 2 2 4 0 0 0 1 1 0 2 1 1 3 0 0 2 0 1 1 1 1 2 0 1 1 0 1 0 2 1 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0 3 1 2 0 1 1 0 0 3 1 0 2 4 0 1 0 1 3 0 1 2 0 0 1 0 1 0 0 0 1 0 2 2 0 0 0 0 0 0 0 0 1 2 0 2 0 0 0 2 2 1 2 0 2 0
"spirited" 0 0 0 4 1 0 0 1 1 0 1 1 0 0 0 2 1 2 1 2 1 1 0 0 2 0 1 1 0 2 0 1 2 0 2 1 0 2 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 2 0 2 1 1 0 2 0 0 1 0 2 0 0 0 0 1 0 0 0 3 0 0 2 0 1 0 2 1 0 2 3 0 1 0 0 1 0 0 0 1 0 0 3 1 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
"steady" 0 0 0 1 0 2 1 0 0 2 0 1 0 1 1 2 2 1 0 1 0 1 0 0 1 1 1 0 1 1 0 0 2 1 0 0 0 1 0 1 1 0 2 1 0 0 1 0 1 0 0 2 1 0 2 2 1 0 1 1 0 1 0 1 0 1 0 0 0 0 2 1 0 0 1 0 0 2 0 2 1 1 0 0 3 2 0 0 1 1 0 2 0 1 0 0 0 2 0 3 3 0 0 1 0 0 0 0 0 1 0 1 1 0 1 0 1 0 2 1
"stern" 0 0 3 2 3 2 0 0 0 6 0 0 0 1 0 1 0 0 1 6 0 0 0 0 0 1 0 1 3 3 1 0 3 1 0 2 1 0 0 2 0 0 1 1 0 0 2 3 0 0 1 2 0 1 3 2 0 0 0 0 1 2 1 1 0 1 1 0 1 0 0 1 1 3 4 0 1 2 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 1 0 0 0 4 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 2 0 2 1 0 0
