"abrupt" "active" "affectionate" "agreeable" "amiable" "anxious" "bitter" "boisterous" "bold" "bright" "calm" "careful" "careless" "cautious" "certain" "cheerful" "childish" "coarse" "cold" "constant" "cool" "cruel" "cunning" "curious" "deep" "distant" "dull" "eager" "earnest" "exact" "faithful" "fearful" "foolish" "friendly" "genteel" "gentle" "gloomy" "graceful" "hasty" "hearty" "honest" "humble" "impatient" "jealous" "kind" "loud" "malicious" "merry" "mild" "modest" "moral" "narrow" "natural" "noisy" "original" "particular" "patient" "peaceful" "placid" "pleasant" "polite" "practical" "profound" "proper" "proud" "prudent" "quick" "quiet" "restless" "rough" "rude" "serious" "silent" "simple" "sincere" "slow" "smart" "social" "solemn" "suspicious" "tender" "thoughtful" "thoughtless" "tight" "timid" "treacherous" "uncouth" "unmindful" "vague" "vigorous" "violent" "warm" "wild" "wise"
"humble" 2 0 3 1 2 3 3 1 2 6 1 2 1 1 3 2 1 4 8 2 3 2 2 3 9 7 4 1 4 1 1 1 0 3 1 5 1 2 2 0 2 0 1 0 5 0 0 2 1 0 2 2 4 8 4 5 1 1 1 4 1 0 1 2 3 1 1 9 1 3 2 1 4 3 1 5 1 2 3 2 3 1 1 0 4 0 1 1 2 0 0 5 5 0
"impatient" 0 2 0 0 1 2 0 1 1 2 0 1 0 0 1 1 0 0 4 0 0 1 2 0 0 0 4 2 2 0 0 0 1 3 0 1 2 1 1 0 2 1 0 0 4 0 1 1 0 0 0 1 2 1 1 3 0 1 1 3 1 0 0 1 0 0 2 2 1 0 0 0 0 0 0 3 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 2 0
"jealous" 0 0 0 1 0 0 1 0 0 0 0 0 1 0 2 1 0 0 1 0 0 0 0 0 2 0 0 0 2 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 1 2 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0
"kind" 0 1 5 1 1 6 0 0 3 5 2 3 0 1 6 2 0 1 5 1 1 2 1 2 2 1 4 0 7 0 4 0 3 2 0 6 5 1 3 2 3 5 4 0 0 0 2 1 2 2 4 1 5 3 3 4 3 1 3 7 0 1 3 1 0 0 6 9 0 1 0 0 10 5 0 3 1 0 1 2 1 4 1 1 4 1 2 1 3 0 3 2 2 0
"loud" 0 0 1 1 0 3 1 0 0 4 1 2 1 0 3 6 0 0 4 1 0 0 0 0 5 3 2 1 0 0 0 1 2 3 1 1 0 0 1 1 4 0 0 0 0 0 0 1 1 1 2 2 5 0 3 2 0 0 0 4 0 0 2 0 1 0 3 1 0 3 0 2 2 2 0 0 0 0 2 0 0 4 1 1 1 0 0 0 1 0 1 1 2 0
"malicious" 1 0 0 0 1 0 0 0 0 0 0 1 0 0 2 1 0 0 2 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 2 2 0 0 0 0 0 0 0 1 0 1 2 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0
"merry" 0 0 0 1 0 1 0 0 2 3 0 1 0 1 1 0 1 0 3 1 0 0 1 0 2 1 2 0 2 1 1 0 0 1 1 1 2 0 1 0 1 2 1 0 1 1 0 0 0 0 0 1 0 0 2 1 0 1 0 1 1 0 1 0 0 0 0 3 0 0 1 1 2 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0
"mild" 0 1 2 0 1 2 1 0 0 0 1 2 1 0 7 4 1 1 2 1 1 0 0 1 2 1 3 0 2 1 0 0 1 1 1 3 3 0 0 0 2 1 0 0 2 1 0 0 0 0 1 0 2 0 1 1 1 1 0 0 0 1 2 0 0 0 1 3 1 0 0 0 1 4 1 0 0 0 2 0 1 2 0 0 0 0 0 0 1 0 0 2 1 1
"modest" 1 0 1 2 2 2 0 0 0 2 1 1 0 0 3 1 0 0 3 0 1 0 0 0 0 2 0 0 1 2 0 0 0 1 0 2 0 0 0 2 1 0 0 1 2 1 0 0 0 0 1 0 1 0 0 2 0 0 0 0 1 1 0 0 0 0 1 2 0 2 0 0 1 0 0 0 0 1 1 1 1 1 0 0 1 0 1 0 0 0 1 1 1 0
"moral" 0 0 4 1 1 0 1 1 2 4 3 2 1 0 3 3 0 1 3 3 1 0 1 0 3 3 3 0 1 1 0 1 0 0 2 1 1 0 0 1 2 2 0 0 4 2 0 0 1 1 0 1 2 2 5 2 0 0 0 5 0 0 1 2 1 0 2 3 0 0 0 0 5 3 1 2 1 1 2 2 2 3 0 3 2 0 0 2 1 0 1 1 1 1
"narrow" 0 2 0 1 0 0 0 0 0 7 1 0 0 0 1 4 0 1 5 0 0 0 0 1 7 5 3 0 3 0 1 1 0 0 0 4 3 0 0 0 1 2 1 0 1 2 0 1 0 0 1 0 4 1 2 1 1 0 0 3 0 0 0 0 0 0 1 6 1 3 0 0 6 4 0 0 1 0 4 0 1 2 0 1 3 0 0 0 0 1 1 2 3 1
"natural" 1 2 3 4 0 4 1 1 0 3 1 3 0 0 7 5 0 1 6 2 3 1 1 2 5 1 3 1 4 2 1 1 3 5 1 2 3 1 2 0 3 4 2 0 5 5 1 0 2 1 2 4 0 4 5 8 1 1 1 6 0 2 2 0 0 1 5 6 2 4 0 2 6 0 1 1 2 1 0 2 0 3 2 2 3 2 2 2 0 2 0 5 2 0
"noisy" 1 0 4 1 0 3 0 3 1 3 0 2 0 1 2 2 0 1 4 1 2 1 1 3 5 4 5 1 3 2 1 2 1 1 0 3 2 2 0 1 0 8 1 0 3 0 0 0 0 0 2 1 4 0 1 4 0 2 0 4 0 0 1 1 1 1 2 6 3 3 1 0 3 1 1 6 0 1 2 0 2 0 0 0 4 1 1 1 1 0 1 1 4 1
"original" 0 1 1 5 0 2 0 0 2 3 2 0 0 0 9 3 0 2 13 3 1 0 2 0 7 4 5 1 2 2 1 1 0 2 2 2 2 0 3 0 3 4 1 1 3 3 1 2 1 0 5 2 5 1 0 7 1 1 2 6 1 0 2 2 1 2 4 7 1 5 2 1 6 4 0 4 0 0 5 2 3 2 0 3 0 0 0 0 5 1 2 2 6 0
"particular" 3 0 3 6 0 6 1 2 2 3 1 3 0 1 12 7 0 0 7 1 2 1 3 3 7 2 3 1 5 3 0 0 0 10 1 6 0 3 1 1 6 5 3 2 4 2 2 1 1 2 2 1 8 4 7 0 0 0 0 10 2 3 4 5 1 1 4 6 2 1 2 1 7 1 0 1 1 3 1 2 2 4 0 4 3 2 1 1 2 2 1 6 2 0
"patient" 0 0 0 0 0 1 0 0 0 2 2 0 0 0 2 0 1 0 4 1 0 0 0 1 2 1 3 0 3 0 1 0 1 1 0 3 1 0 0 0 0 1 0 0 3 0 0 0 1 0 0 1 1 0 1 0 0 0 0 2 0 0 1 0 0 0 0 3 2 1 0 0 1 1 0 1 0 0 1 0 1 1 1 0 1 0 0 0 1 0 0 1 0 0
"peaceful" 0 0 1 0 0 1 0 0 2 2 1 1 0 0 3 1 0 0 2 1 0 1 2 0 1 2 3 1 1 0 1 0 0 0 0 1 2 0 0 0 1 1 1 0 1 0 0 1 1 0 0 0 1 2 1 0 0 0 0 2 0 0 0 0 0 0 1 5 0 1 1 0 2 0 2 3 0 0 2 0 1 1 0 0 0 0 1 0 0 1 0 1 1 0
"placid" 0 0 1 1 0 2 0 0 0 1 1 2 0 0 1 1 0 0 2 0 1 1 1 0 2 1 2 0 0 0 1 0 0 0 1 1 0 0 2 0 1 1 1 0 3 0 1 0 0 0 0 0 1 0 2 0 0 0 0 1 1 0 0 0 0 0 2 2 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 1 0
"pleasant" 2 1 2 5 2 4 2 2 0 12 4 3 0 2 9 13 0 1 8 3 1 1 3 1 10 7 10 0 7 1 3 7 2 6 1 4 4 3 2 2 6 4 3 1 7 4 2 1 0 0 5 3 6 4 6 10 2 2 1 0 2 2 5 3 0 0 6 11 1 3 2 2 9 6 2 2 2 0 1 2 3 4 1 4 5 2 2 1 4 1 0 8 4 2
"polite" 0 0 0 1 0 0 2 0 0 0 0 0 0 0 2 1 0 0 4 0 0 0 0 0 0 1 2 0 0 0 0 0 0 3 2 1 0 1 0 1 1 1 1 2 0 0 0 1 0 1 0 0 0 0 1 2 0 0 1 2 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
"practical" 0 0 0 2 1 1 0 0 0 1 1 0 0 1 2 0 0 0 1 0 1 0 1 0 2 0 0 0 0 2 0 0 0 1 0 3 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 2 0 0 3 0 0 0 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 1 0 0
"profound" 1 0 1 3 0 4 1 0 0 2 1 1 1 1 4 3 0 0 3 1 0 0 0 0 2 1 2 0 2 0 0 0 0 3 1 2 1 0 0 0 0 1 0 0 3 2 0 1 2 0 1 0 2 1 2 4 1 0 0 5 0 0 0 1 0 0 1 1 2 0 1 1 3 1 0 1 2 0 2 0 0 3 0 2 0 0 1 0 0 0 1 3 1 2
