"active" "affected" "agreeable" "aloof" "amiable" "anxious" "awkward" "bitter" "boisterous" "bold" "brave" "bright" "brisk" "calm" "careful" "careless" "cautious" "certain" "cheerful" "cold" "complimentary" "conciliatory" "constant" "cool" "cruel" "curious" "deep" "determined" "distant" "dull" "eager" "earnest" "elegant" "excessive" "expressive" "faithful" "fearful" "fickle" "fierce" "firm" "foolish" "forgetful" "frank" "friendly" "gallant" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "harsh" "hasty" "hearty" "honest" "humble" "ignorant" "impatient" "indifferent" "intense" "jovial" "kind" "lazy" "lively" "loud" "manly" "merry" "mild" "moral" "musical" "narrow" "natural" "noisy" "original" "particular" "patient" "placid" "pleasant" "precise" "profound" "proper" "proud" "prudent" "quick" "quiet" "reasonable" "reckless" "religious" "restless" "rigid" "rough" "rude" "serious" "silent" "simple" "slow" "smart" "solemn" "stable" "steady" "stern" "sullen" "talkative" "thorough" "thoughtful" "timid" "uncouth" "vague" "vain" "violent" "warm" "wild" "wise"
"humble" 2 0 2 0 0 1 1 3 3 3 2 5 0 1 1 1 0 5 2 3 1 2 3 0 1 0 2 0 2 3 0 0 1 1 0 2 0 0 0 0 0 1 0 1 2 1 0 1 0 2 0 1 0 2 3 0 1 1 1 0 1 0 0 1 4 0 0 4 2 0 0 2 0 3 0 1 0 3 0 2 0 6 0 4 4 0 0 1 2 0 1 0 0 5 1 0 0 1 2 3 0 2 0 0 3 2 1 1 1 3 1 3 2
"ignorant" 1 0 1 1 0 0 0 1 0 0 0 1 1 0 1 0 0 3 0 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 2 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 2 0 0 0 0 0 3 1 0 1 0 0 1 1 1 2 0 1 0 0 0 2 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 1 0 1 0 0 0
"impatient" 0 0 1 1 0 2 0 0 1 1 2 3 0 1 1 1 1 1 1 3 0 0 1 0 0 2 2 1 3 1 0 0 1 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 2 0 0 1 1 1 0 1 1 0 0 1 0 0 0 2 2 0 0 0 1 0 1 1 0 0 1 0 2 2 1 0 1 0 0 1 3 0 0 0 0 0 2 1 0 2 0 0 0 0 0 2 1 2 0 0 1 0 0 0 0 1 1 1 1
"indifferent" 2 0 0 0 1 0 0 1 0 1 2 1 1 0 0 1 0 2 0 1 0 0 0 1 1 0 2 0 1 3 0 1 0 1 1 1 0 0 0 1 1 0 1 2 1 0 1 2 2 0 2 0 1 0 2 1 2 0 0 0 0 1 1 0 2 1 1 3 0 0 1 3 0 1 0 1 0 2 0 0 0 2 1 2 1 1 0 0 1 0 3 0 0 2 0 2 0 2 0 2 0 0 0 0 1 0 0 2 0 3 1 1 0
"intense" 1 0 1 0 0 3 0 0 1 0 2 3 0 0 0 0 0 0 2 0 0 0 1 0 1 0 1 0 2 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 2 0 2 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 2 1
"jovial" 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 0 0 1 2 3 0 0 1 1 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 2 1 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 3 1 0 2 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 2 1 0
"kind" 0 1 1 1 0 3 0 2 1 3 0 4 1 1 0 1 0 4 5 3 0 0 0 1 0 0 3 2 4 2 0 2 1 0 0 0 0 0 0 1 2 1 1 1 1 0 0 2 2 0 2 0 2 2 4 0 0 0 1 2 0 0 0 1 1 1 0 1 0 0 1 1 0 0 3 2 0 1 0 2 1 5 1 1 6 3 0 0 2 0 2 1 2 5 0 1 0 2 2 0 0 0 1 0 1 0 0 1 1 1 2 2 1
"lazy" 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 2 0 0 0 0 2 1 2 2 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 3 1 1 2 0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 1 2 1 0 0 2 2 1 0 0 0 0 1 1 0 1 0 2 2 2
"lively" 1 0 0 1 0 0 0 0 2 2 0 4 0 1 0 1 0 1 2 1 1 0 0 1 0 1 2 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0 1 0 1 1 0 2 1 0 1 0 2 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 2 1 2 1 1 1 0 2 0 0 1 1 0 0 0 0 1 0 1 1 0 1 0 2 3 1 1 0 0 0 1 0 0 0 0 1 1 0 0
"loud" 3 0 0 0 0 0 1 3 4 2 0 4 0 0 3 0 2 6 4 6 0 0 1 0 3 3 6 1 4 3 0 1 0 1 0 2 1 1 4 1 1 1 0 4 2 1 0 1 2 0 2 1 0 3 2 4 3 2 2 1 2 1 1 1 0 0 0 2 0 0 4 2 1 4 1 0 0 2 0 0 1 6 1 4 6 0 1 0 1 0 1 0 2 7 1 2 0 2 2 2 1 0 0 0 0 3 1 0 1 3 1 4 1
"manly" 0 0 1 0 0 0 1 0 0 1 0 2 0 0 1 0 0 3 1 3 1 0 1 0 1 0 3 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 2 1 3 0 1 1 0 0 0 2 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0 1 0 2 0 0 1 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 1
"merry" 1 0 1 0 0 1 0 0 0 2 1 4 0 1 0 0 0 2 3 3 0 0 2 0 1 1 3 0 2 3 0 0 0 0 0 0 0 1 2 1 0 0 0 1 1 0 2 1 0 0 1 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 1 0 1 1 1 1 0 1 0 0 0 0 1 0 0 0 2 1 1 0 1 0 0 1 0 1 0 0 0 1 0 1 0 1 2 2
"mild" 1 0 0 1 0 1 0 0 0 3 1 2 1 0 0 0 0 3 0 3 0 0 1 1 1 0 1 0 0 1 0 1 0 0 1 2 1 0 0 0 1 0 0 1 0 0 0 4 0 0 1 1 1 0 3 4 1 0 3 0 0 1 0 0 2 0 0 0 0 0 2 2 0 3 0 2 0 3 0 1 0 2 1 4 2 0 1 1 0 0 2 0 0 0 1 1 0 1 0 1 0 0 0 0 2 2 0 0 0 2 0 2 0
"moral" 2 0 0 0 3 0 2 1 1 4 0 4 0 4 1 3 0 4 2 1 0 1 0 2 0 3 3 1 3 3 0 1 2 0 0 0 2 0 1 0 2 0 1 0 1 2 1 1 0 0 1 0 0 1 4 2 0 1 0 1 0 0 2 1 0 1 1 0 0 2 0 3 0 2 3 0 1 3 0 1 0 2 0 0 2 0 1 4 0 1 2 0 1 7 1 1 0 1 1 3 2 0 0 1 2 1 0 1 1 1 2 3 2
"musical" 2 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 3 3 1 0 0 0 1 0 1 1 0 1 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 3 0 0 0 0 0 1 0 1 0 0 0 1 0 2 0 0 2 0 0 1 0 0 3 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 2
"narrow" 1 1 0 0 1 4 0 0 0 1 3 5 0 1 0 0 2 2 0 3 0 0 2 0 2 1 1 1 3 2 1 0 0 0 0 0 2 0 2 2 1 0 0 2 1 0 0 2 3 0 1 0 0 0 1 0 1 1 1 0 0 1 0 0 4 0 0 2 0 0 0 0 0 3 2 0 0 1 0 1 0 1 3 4 4 0 0 0 1 0 0 1 0 4 1 0 0 1 0 1 0 0 0 1 1 1 0 2 0 0 0 2 0
"natural" 1 1 3 1 1 4 2 3 0 2 1 4 0 0 2 2 1 10 3 10 0 0 3 2 2 3 5 2 2 4 2 4 1 1 1 0 1 0 0 1 4 1 3 1 1 1 1 4 3 1 2 2 1 4 3 2 1 1 3 1 0 1 0 0 2 1 0 2 3 2 0 0 1 4 3 0 1 5 0 1 3 5 0 2 4 1 0 3 4 1 3 2 5 9 1 2 0 4 2 1 0 1 1 1 3 0 1 1 0 1 5 5 4
"noisy" 1 1 0 0 0 0 0 0 1 0 2 2 1 0 1 0 1 2 0 3 0 0 0 0 0 1 4 0 3 1 2 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 2 0 0 2 0 0 0 1 0 0 3 0 0 0 0 1 1 0 2 2 0 1 0 0 0 0 2 0 0 0 0 2 0 0 0 1 0 1 0
"original" 0 1 4 0 1 2 2 2 0 3 1 3 0 0 2 1 2 8 2 3 0 1 0 2 2 2 3 1 2 4 1 2 2 0 1 0 1 0 0 1 2 0 0 2 2 1 0 1 3 2 0 1 0 1 2 3 2 0 1 0 0 0 0 1 4 0 0 3 2 0 3 4 0 0 4 1 0 4 0 4 3 4 0 0 4 0 1 1 1 0 1 1 0 5 0 1 0 3 0 2 1 1 1 1 1 2 1 0 1 1 1 2 1
"particular" 2 1 1 2 2 6 0 1 2 6 3 7 1 0 2 1 1 6 6 7 1 1 2 3 1 2 8 1 5 4 0 2 0 0 1 1 0 2 1 1 3 1 1 3 1 1 0 4 4 2 2 0 1 4 4 0 0 1 0 1 0 3 3 2 1 1 0 0 3 1 2 3 2 4 0 2 1 6 1 3 1 7 1 5 5 0 2 0 1 0 4 2 2 8 1 2 1 4 3 2 1 1 1 1 1 2 1 0 3 1 2 7 2
"patient" 0 1 0 1 0 0 0 0 1 1 0 3 0 0 0 0 0 4 4 4 0 0 1 1 1 0 1 0 0 2 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 1 0 2 1 1 1 1 1 1 0 1 1 0 2 1 1 0 1 1 2 0 0 0 0 0 1 2 0 0 0 0 1 0 1 0 0 2 1 0 1 1 0 1 0 1 1 0 1 0 1 1 0 0 1 0 0 1 2 1 0 0 1 0 1 2
"placid" 0 0 1 1 1 0 1 0 0 0 0 5 0 2 0 1 0 1 2 3 0 0 1 2 0 2 1 1 0 2 0 2 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0 1 1 1 0 0 1 1 0 0 0 2 0 0 0 0 1 2 0 0 0 0 1 0 0 1 0 0 1 0 0 2 1 1 0 0 0 1 1 0 0 0 1 0 1 0 1 2 0 2 0 1 1 0 1 1 0 0 0 0 0 0 0 0 3 0 1
"pleasant" 1 0 5 1 1 1 1 3 2 4 2 7 1 3 2 2 1 5 11 8 1 3 3 3 4 4 5 1 3 7 1 1 2 1 1 1 0 0 1 0 2 0 1 2 0 2 1 8 1 1 3 0 1 4 5 3 0 2 2 0 3 1 2 1 2 0 1 3 3 3 1 5 2 4 6 0 2 0 1 4 6 7 0 2 7 2 1 0 1 1 5 1 4 7 1 2 2 3 2 2 2 2 1 1 2 1 1 0 2 3 6 3 2
"precise" 0 0 0 2 0 0 0 0 0 0 0 2 0 1 0 1 1 1 1 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1 0 2 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0
"profound" 0 0 0 2 0 1 1 2 0 6 1 4 0 0 1 0 0 2 1 1 0 2 2 0 0 0 7 0 1 1 1 5 1 0 1 0 1 0 1 0 1 1 0 1 1 1 0 0 1 0 1 2 1 1 3 2 2 0 0 0 0 2 1 1 0 1 1 1 1 0 1 1 0 4 3 1 1 4 0 0 0 6 1 0 5 0 1 0 0 0 4 0 1 3 0 3 0 3 4 2 1 1 1 0 1 1 0 0 0 2 1 1 1
"proper" 2 0 2 0 0 0 0 1 0 1 0 4 0 0 2 2 2 4 6 5 0 0 0 2 0 1 1 0 1 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 2 1 0 1 0 3 3 0 0 1 0 0 2 1 0 0 1 0 1 0 0 1 0 3 0 3 1 0 0 6 1 0 0 4 0 0 2 1 0 0 0 0 2 1 1 4 0 1 1 1 1 0 0 1 0 0 0 0 0 1 1 1 2 0 0
"proud" 1 0 4 2 1 2 1 3 2 8 2 8 1 1 5 1 1 9 5 5 1 1 2 0 3 3 3 1 4 5 0 6 0 1 1 2 0 1 2 2 2 2 0 1 2 2 1 3 3 2 2 1 1 1 8 6 1 0 2 0 1 5 1 2 6 2 1 2 2 0 1 5 1 4 7 1 0 7 1 6 4 0 0 2 6 1 1 2 3 1 5 2 2 5 3 0 0 5 6 3 2 1 0 1 2 2 1 3 1 1 1 8 1
"prudent" 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 3 0 0 1 1 0 0 2 0 1 1 0 0 0 1 0 0 2 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 1 1 0 0 3 0 0 0 1 0 0 0 1 1 0 0 0 1 2 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
"quick" 4 1 0 0 2 2 0 0 4 4 3 6 2 0 1 0 1 6 1 5 0 1 2 2 1 0 3 0 7 3 0 2 0 1 2 1 0 0 2 2 1 0 0 2 1 0 0 4 2 0 1 0 1 1 3 4 0 1 2 1 0 1 0 0 4 0 0 4 0 0 4 2 0 0 5 0 1 2 0 0 0 2 1 0 5 0 0 0 0 0 2 1 2 3 0 2 0 1 3 0 0 2 0 0 3 1 0 0 2 1 0 3 4
"quiet" 3 1 3 1 1 4 1 3 4 8 3 16 1 3 3 1 1 11 7 10 1 1 8 2 6 1 17 2 12 11 2 1 1 1 2 2 1 2 5 1 3 3 2 2 1 0 1 10 4 1 0 1 5 4 7 4 1 3 1 1 1 6 1 1 6 1 1 2 2 0 4 4 3 4 5 2 1 7 2 5 2 6 2 5 0 3 4 2 7 2 8 0 8 13 3 3 0 8 5 3 2 1 2 0 5 2 0 3 3 4 4 11 4
"reasonable" 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 3 3 1 0 1 1 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 2 1 0 1 0 1 0 0 3 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 1 1 0 0 3 0 0 0 0 0 0 0 1 1 0 1 0 2 1 0 0 0 1 0 1 0 0 2 0 0 2 1 1
"reckless" 1 0 0 0 0 0 0 0 2 3 0 2 0 0 1 2 0 3 1 2 0 0 1 2 2 1 0 0 2 1 0 2 0 0 0 0 0 2 2 0 0 1 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 0 0 0 1 2 0 0 1 0 1 0 1 0 0 4 0 0 1 1 0 2 0 2 2 0 1 0 1 2 2 0 1 0 0 0 1 0 1 0 1 2 1 1
"religious" 0 0 0 0 1 0 0 1 0 2 0 2 0 0 3 1 0 4 1 1 0 0 2 1 1 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 2 0 1 1 0 2 1 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 1 4 1 0 3 0 1 0 1 0 0 0 0 0 2 0 0 2 0 1 0 1 1 0 0 1 1 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 2
"restless" 0 0 1 1 0 2 1 2 2 0 0 3 1 0 0 1 0 1 3 5 0 0 3 0 2 1 2 1 2 5 1 1 0 0 0 1 0 1 1 0 1 1 0 1 1 0 0 1 2 0 0 0 2 0 1 2 1 0 1 1 0 2 0 0 1 0 0 0 0 0 1 4 0 1 1 1 1 1 0 0 0 3 0 0 7 0 1 1 0 1 1 0 3 5 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 2 2 2 0
"rigid" 0 0 0 0 0 0 1 1 0 1 1 3 0 1 0 0 0 1 0 4 1 0 1 0 1 0 1 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 2 0 0 1 1 0 0 0 1 2 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0
"rough" 2 0 0 1 0 2 0 0 1 6 2 6 1 2 0 1 0 5 2 7 0 1 1 2 1 0 6 1 1 5 1 3 2 0 1 1 0 0 1 0 1 0 2 1 0 1 1 2 4 1 1 3 3 1 3 1 0 2 3 0 0 2 1 1 1 0 0 2 2 0 0 3 1 1 4 1 1 5 1 4 2 5 1 2 8 0 2 0 1 0 0 1 1 4 3 3 1 1 1 4 1 2 1 0 0 0 1 1 1 2 3 4 1
"rude" 0 0 1 1 0 2 0 1 0 0 2 2 0 0 1 0 2 3 1 2 0 1 0 1 1 1 1 0 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 1 2 0 0 1 1 0 1 2 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0
"serious" 1 1 1 0 0 0 0 0 2 3 1 3 0 0 0 1 0 5 3 7 1 0 2 1 1 1 3 1 2 1 1 0 0 1 1 0 0 2 1 0 2 2 1 1 0 1 1 3 1 1 2 0 1 2 1 0 0 0 0 1 0 2 0 1 2 1 0 0 1 0 0 5 2 0 2 1 1 4 0 1 1 2 0 2 8 1 2 1 3 1 1 1 0 3 0 2 0 3 1 1 0 0 1 2 1 1 0 0 0 0 1 2 0
"silent" 3 3 3 1 2 4 3 2 3 3 3 16 0 4 3 5 1 9 9 12 1 2 3 4 3 3 11 1 7 13 3 4 1 1 1 1 3 1 3 0 1 2 1 6 4 1 0 6 5 2 2 1 2 3 7 5 0 2 2 2 1 5 1 1 7 0 2 0 7 1 4 9 2 5 8 1 2 7 0 3 4 5 1 3 13 1 2 1 5 2 4 0 3 0 1 5 1 6 3 4 3 4 1 0 1 2 1 1 4 0 9 4 3
"simple" 0 1 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 2 0 3 0 3 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 2 0 1 0 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 3 0 0 3 0 0 0 0 0 3 0 0 1 0 0 0 0 0 2 1 0 0 0 0 1 0 0 1 0 0 3 1
"slow" 0 1 0 0 0 0 0 1 1 2 1 8 0 0 1 0 1 5 4 6 0 0 1 1 1 0 3 0 1 3 0 1 0 0 0 2 1 1 1 1 0 0 0 3 1 1 0 2 1 1 0 1 0 4 2 0 1 0 2 2 0 1 1 1 2 2 1 1 1 0 0 2 1 1 2 1 2 2 0 3 1 0 1 2 3 1 1 1 1 1 3 0 2 5 0 0 0 1 2 2 2 0 0 0 0 0 1 1 1 0 1 3 1
"smart" 0 0 1 0 0 0 0 0 1 2 2 0 1 0 0 1 1 4 4 1 0 0 1 1 1 0 1 0 1 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 3 1 1 1 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0
"solemn" 2 0 1 0 3 4 1 0 1 2 2 5 1 0 0 1 0 6 4 4 0 1 0 2 1 3 4 0 3 3 1 2 0 1 1 0 0 1 2 2 3 0 0 0 1 0 0 1 1 2 2 1 0 0 2 1 0 0 2 1 0 2 0 2 2 0 1 1 1 1 1 4 0 3 4 1 1 3 0 3 1 5 0 1 8 2 1 1 1 1 1 0 3 6 0 1 0 0 4 2 0 0 2 0 1 0 0 2 1 1 1 4 1
"stable" 3 0 0 1 0 2 0 1 1 2 1 9 1 0 3 1 0 4 4 2 1 1 1 1 1 2 4 0 5 3 0 1 0 0 1 0 0 1 1 1 1 0 0 1 1 0 0 3 2 0 1 1 2 2 2 2 0 0 0 1 1 2 2 3 2 0 0 0 1 1 0 2 0 0 3 1 1 2 0 4 1 6 0 3 5 1 2 1 1 0 1 0 1 3 0 2 1 4 0 0 0 0 1 1 3 1 0 1 1 0 2 2 3
"steady" 0 1 0 0 1 2 2 1 1 3 2 2 0 0 1 2 0 1 1 3 0 1 1 0 1 2 3 0 1 4 0 2 2 0 0 0 0 0 1 2 2 0 0 2 0 1 0 1 1 0 1 0 0 1 5 3 0 2 2 0 0 0 2 1 2 0 0 1 3 0 1 1 0 2 2 0 0 2 0 2 0 3 1 0 3 0 2 0 0 0 4 1 1 4 2 2 0 2 0 0 0 2 0 1 1 0 1 1 1 2 1 5 0
"stern" 0 0 0 1 0 0 0 0 0 1 1 3 0 2 0 0 1 2 0 2 0 0 0 0 1 0 5 1 2 3 1 1 1 0 0 1 0 0 2 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 2 0 0 0 2 1 1 0 1 2 1 1 0 2 0 0 2 0 0 0 0 1 1 0 0 3 1 2 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 1 1
"sullen" 0 1 1 0 0 1 0 0 2 3 1 4 0 0 1 1 0 0 1 4 0 1 0 0 1 1 1 0 2 3 0 0 0 0 0 0 0 0 2 0 0 0 0 2 1 0 0 0 1 0 0 1 0 1 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 2 0 1 1 1 0 2 1 0 1 0 0 0 2 0 0 4 0 0 0 0 0 2 0 0 0 1 0 0 1 1 0 1 0 2 2
"talkative" 0 1 3 0 0 2 0 0 0 1 1 1 0 0 0 0 0 1 4 1 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 0 2 1 0 0 0 0 1 0 1 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1
"thorough" 0 0 0 1 0 1 0 0 0 1 0 2 0 0 0 0 0 2 0 2 1 1 0 0 0 0 0 1 1 1 0 1 0 0 1 1 0 0 0 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 1 0 1 0 1 2 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1
"thoughtful" 2 0 1 0 0 1 0 2 1 2 0 4 0 0 1 1 0 0 1 2 0 1 0 3 0 0 3 0 4 1 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 1 0 3 0 0 1 0 0 1 1 3 0 1 1 0 0 1 0 1 0 0 0 2 2 0 1 3 0 1 1 1 0 2 0 1 0 2 0 3 5 1 0 1 1 0 0 0 1 1 0 0 0 1 3 1 0 0 0 0 0 1 0 0 1 1 0 0 3
"timid" 1 0 0 1 1 0 0 1 0 0 1 2 1 0 0 1 0 5 1 3 0 0 2 1 2 0 3 1 0 1 0 0 0 0 0 0 1 0 0 2 0 1 0 0 1 0 0 0 0 0 0 1 0 1 2 2 3 0 0 0 1 0 1 0 3 0 0 2 1 0 1 0 2 2 2 2 0 1 0 1 0 2 0 1 2 0 1 0 0 0 0 0 1 2 1 0 0 0 1 0 2 0 0 0 1 0 1 0 1 0 1 1 1
"uncouth" 0 0 0 0 0 1 0 1 0 1 0 2 0 0 0 0 0 2 3 2 0 0 1 0 0 1 1 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 1 4 1
"vague" 1 0 0 0 1 1 0 0 0 3 1 5 0 2 0 0 0 3 1 1 0 0 0 0 1 0 1 0 2 3 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 3 1 1 0 2 0 0 1 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 1 3 0 0 3 2 1 0 1 0 1 0 0 1 0 1 0 2 1 1 0 1 0 0 0 0 1 0 0 1 0 2 0
"vain" 3 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 1 1 1 3 0 0 0 0 2 0 3 0 2 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 3 1 0 0 0 0 0 1 1 0 1 1 1 0 1 0 0 0 0 1 3 0 0 2 0 0 1 1 0 2 3 0 0 0 0 0 1 1 0 4 1 1 0 1 1 1 1 0 0 0 1 1 0 0 0 2 1 3 1
"violent" 2 0 0 1 0 1 0 1 2 2 1 1 1 0 0 3 1 3 3 1 0 0 2 0 2 0 3 0 2 3 0 0 0 1 1 2 0 0 2 0 0 0 1 2 0 0 0 1 3 0 1 0 1 1 2 3 1 1 3 0 0 1 0 1 3 0 0 2 1 1 0 1 1 1 1 1 0 3 0 2 1 1 0 1 4 0 1 1 2 0 2 0 0 0 0 0 1 1 0 2 0 1 0 0 1 0 0 1 2 0 0 0 1
"warm" 3 0 2 2 0 0 1 1 0 1 1 4 0 1 0 3 0 4 4 8 0 0 2 4 2 1 4 2 0 7 1 2 1 0 0 0 0 0 0 0 2 0 1 1 1 0 0 2 2 2 0 0 2 3 2 1 0 1 1 0 2 2 2 1 1 0 1 0 2 1 0 5 0 1 2 0 3 6 1 1 2 1 1 0 4 2 2 1 2 0 3 0 1 9 0 1 1 1 2 1 1 0 1 0 0 1 1 0 1 0 0 1 1
"wild" 0 0 0 0 1 6 0 2 2 8 3 10 1 2 2 0 0 10 3 7 1 0 5 0 1 3 5 1 8 5 0 1 1 0 0 1 2 1 4 3 0 0 0 0 1 0 0 4 3 0 1 0 0 3 6 3 0 1 1 2 1 2 2 0 4 1 2 2 3 0 2 5 1 2 7 1 0 3 0 1 0 8 0 3 11 1 1 0 2 2 4 0 2 4 3 3 0 4 2 5 1 2 0 1 0 1 4 2 3 0 1 0 6
"wise" 2 0 1 0 1 4 0 1 1 3 2 5 0 1 0 1 0 8 4 2 1 1 4 4 1 1 1 0 4 3 0 1 0 0 0 1 0 1 0 1 0 1 0 1 2 0 1 2 1 0 0 0 0 0 1 2 0 1 0 1 0 1 2 0 1 1 2 0 2 2 0 4 0 1 2 2 1 2 0 1 0 1 0 4 4 1 1 2 0 0 1 0 0 3 1 1 0 1 3 0 1 2 1 1 3 1 1 0 1 1 1 6 0
