"accomplished" "active" "affable" "affectionate" "agreeable" "amiable" "anxious" "bold" "bright" "calm" "candid" "capable" "careful" "careless" "certain" "cheerful" "childish" "clever" "cold" "complacent" "confused" "congenial" "considerate" "constant" "cool" "cordial" "cruel" "curious" "deep" "determined" "disdainful" "distant" "dull" "eager" "earnest" "elegant" "eloquent" "exact" "expressive" "faithful" "fearful" "fiery" "foolish" "friendly" "generous" "genial" "genteel" "gentle" "gloomy" "graceful" "gracious" "hasty" "haughty" "honest" "humble" "immovable" "impatient" "indifferent" "industrious" "jealous" "kind" "languid" "lively" "loud" "loving" "merry" "mild" "modest" "musical" "narrow" "natural" "observant" "particular" "patient" "playful" "pleasant" "polite" "practical" "profound" "proper" "proud" "quick" "quiet" "reasonable" "responsible" "restless" "rough" "selfish" "serene" "serious" "severe" "shy" "silent" "simple" "slow" "solemn" "spirited" "stable" "steady" "stern" "tender" "thoughtful" "tight" "timid" "unreasonable" "vague" "violent" "vivacious" "warm" "wild" "zealous" "worldly" "wise"
"impatient" 0 0 0 3 1 0 1 0 1 0 0 0 1 1 2 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 2 0 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 2 0 2 1 0 0 2 0 0 0 1 1 0 0 0 0 0 0 1 2 0 1 0 1 0 0 1 0 0 0 0 0 0 1
"indifferent" 0 1 0 1 3 1 0 1 6 0 0 0 1 0 2 0 1 0 3 1 0 1 0 0 1 0 1 1 2 1 1 5 4 0 1 0 0 2 1 2 0 0 0 1 0 0 1 0 2 1 1 0 1 0 0 1 1 0 0 1 0 3 0 2 0 1 0 0 2 0 5 0 3 0 0 2 1 0 0 1 1 2 3 0 2 0 1 1 1 0 0 0 1 1 1 3 0 0 0 0 0 2 0 0 0 0 1 0 2 1 0 0 1
"industrious" 0 0 0 2 3 1 0 0 0 0 0 1 1 0 0 1 2 0 2 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 2 0 0 0 0 0 0 0 2 0 1 2 0 0 1 0 2 1 0 0 0 0 0 2 0 1 1 0 0 0 0
"jealous" 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 4 1 0 2 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 1 0 1 1 4 0 2 0 0 0 1 1 0 2 1 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0
"kind" 1 1 0 4 4 4 6 0 9 0 1 0 1 2 8 1 1 1 5 0 3 1 4 2 2 2 2 7 3 1 0 3 1 1 4 2 0 1 1 1 2 1 3 2 1 0 2 3 1 0 1 2 1 1 0 0 1 0 0 1 0 1 1 1 0 1 0 1 1 2 9 0 6 1 1 8 1 1 0 2 5 4 7 2 1 1 1 0 0 2 0 2 2 1 1 0 3 1 2 1 2 1 0 1 1 1 0 0 3 2 1 4 1
"languid" 0 2 0 1 2 2 2 1 2 0 2 0 1 1 3 0 0 0 2 1 0 1 0 0 1 0 1 0 1 3 0 2 3 0 2 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 2 1 3 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1 2 1 1 0 2 0 2 2 0 0 0 0 0 0 0 0 0 0 2 1 1 0 1 0 0 0 0 0 0 1 0 0 0 2 0 1 1 1
"lively" 0 0 1 1 1 0 0 0 1 0 0 1 1 0 2 2 0 0 0 0 1 0 0 0 0 0 0 1 1 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0 1 1 0 2 0 0 2 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0
"loud" 0 0 1 0 3 0 2 0 4 1 1 1 2 0 1 1 0 0 2 0 1 0 0 0 0 0 0 3 2 1 0 4 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 1 0 0 0 0 0 0 0 2 0 3 0 0 4 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0
"loving" 0 1 0 2 2 0 2 0 1 0 0 0 1 0 0 3 0 0 1 1 1 0 0 0 0 1 0 1 2 0 0 1 1 1 2 0 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 3 0 0 1 0 1 0 0 0 0 1 0 3 1 0 0 0 1 0 1 1 0 3 2 1 0 1 0 1 0 1 1 0 0 1 1 0 0 1 0 0 0 1
"merry" 0 0 1 2 2 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 2 0 1 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 2 1 0 1 1 0 0 0 1 1 0 2 1 1 1 0 0 0 0 0 1 0 2 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0
"mild" 0 1 0 1 1 1 2 0 1 1 0 0 0 0 1 0 0 1 1 0 0 1 0 1 2 0 0 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 3 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 1 0 1 0 2 1 0 0 0 1 0 1 1 1 0 1 0 0 0 0 2 1 0 0 0
"modest" 1 1 0 1 1 1 1 0 0 1 0 0 0 0 3 0 1 1 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 2 0 0 1 0 2 2 2 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0
"musical" 0 2 0 1 1 1 1 0 2 0 0 1 1 0 3 1 1 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 4 1 0 0 0 2 0 1 0 0 0 2 1 0 1 0 1 0 1 0 0 1 0 0 0 2 0 1 1 0 0 0 0 1 0 0 0 0 2 0 4 0 0 1 0 0 1 0 1 3 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 0 0 1 0 0 2 0
"narrow" 0 0 1 0 2 3 5 0 3 1 0 0 3 0 3 1 2 1 5 0 2 1 1 0 0 0 1 6 1 2 3 0 5 0 2 0 0 0 0 1 1 0 3 3 0 0 0 0 2 0 0 1 0 1 1 1 0 0 1 1 2 0 1 0 1 0 0 0 0 0 5 1 3 0 0 4 0 2 1 2 1 4 6 1 0 1 3 0 0 1 2 0 1 0 2 0 0 0 2 0 0 0 1 1 1 0 0 0 3 3 1 0 0
"natural" 2 4 2 3 6 7 6 1 14 1 1 1 2 1 15 2 2 2 7 0 0 1 6 1 4 4 1 9 7 0 2 7 2 4 5 2 2 2 2 6 2 1 2 6 3 1 2 2 2 1 5 2 3 5 4 1 1 5 0 4 9 1 1 2 3 2 1 2 2 5 0 4 7 2 1 7 1 4 1 4 4 4 10 1 3 1 2 3 0 4 1 0 5 4 2 4 1 1 5 0 1 1 4 2 2 2 2 0 4 9 3 2 3
"observant" 1 0 0 0 2 0 2 0 2 0 0 1 0 0 2 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0
"particular" 0 0 0 2 4 0 3 2 9 0 0 2 5 2 8 3 0 2 7 0 2 1 0 3 1 1 2 6 3 1 1 2 2 0 3 2 1 2 0 3 3 1 0 5 2 0 2 2 3 0 3 2 0 1 4 1 2 3 0 2 6 0 2 3 0 0 3 0 4 3 7 1 0 0 0 9 0 3 4 1 6 2 12 0 0 4 1 0 2 2 2 1 4 3 0 1 4 1 6 1 3 4 3 0 2 2 1 0 3 6 1 1 1
"patient" 0 0 0 2 1 0 0 0 2 0 1 1 0 0 1 1 1 1 1 0 1 0 0 1 0 1 0 3 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 1 0 0 1 0 0 1 0 0 1 1 2 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0
"playful" 0 2 0 0 3 1 1 0 0 0 3 1 1 0 3 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 3 0 4 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 2 1 0 0 2 0
"pleasant" 1 1 0 3 12 4 8 2 11 1 3 1 5 3 13 5 3 1 5 1 5 1 2 1 3 0 3 7 4 0 0 6 4 2 5 1 1 2 2 2 1 1 4 4 3 3 1 1 0 2 2 1 0 2 1 3 0 2 1 0 8 2 2 4 1 0 1 2 1 4 7 0 9 0 3 0 0 6 1 2 3 6 9 2 3 1 2 0 2 3 2 1 6 3 4 2 3 1 3 1 2 2 1 1 3 1 2 3 4 2 2 6 1
"polite" 0 0 1 1 3 0 0 1 4 0 1 0 0 0 1 0 0 1 3 1 1 0 0 0 1 0 0 2 0 2 1 3 2 1 2 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 1 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 2 2 0 0 0 2 0 0 0 1 0 1 2 0 1 1 0 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0
"practical" 0 1 0 1 7 2 3 1 3 1 3 3 1 1 5 2 3 1 0 0 2 0 0 0 1 0 0 3 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 1 2 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 2 4 0 3 1 4 6 0 0 0 1 0 1 2 0 2 0 3 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 1 0 1 1 0 3 1 1 0 4 0
"profound" 0 0 1 1 4 1 0 0 1 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 1 1 2 0 0 2 1 1 2 0 1 0 0 0 0 1 1 0 0 1 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 4 0 0 1 0 0 0 1 3 1 3 0 0 1 0 1 0 0 0 1 2 1 1 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"proper" 0 1 0 2 2 2 4 1 2 0 1 0 1 0 2 0 1 0 4 1 0 0 2 0 1 0 0 3 2 1 1 1 2 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 1 0 0 1 1 2 1 0 2 2 2 0 0 0 0 1 0 0 2 4 0 1 0 1 2 1 1 1 0 2 1 4 1 0 2 0 0 1 0 1 0 0 2 0 1 0 1 1 0 2 0 0 1 0 0 0 0 2 0 0 1 0
"proud" 1 2 1 0 3 3 2 1 8 1 0 0 0 0 5 2 1 0 7 0 4 0 0 1 0 1 1 4 3 2 1 3 3 0 4 2 0 0 1 3 2 0 1 1 1 0 1 0 3 1 2 0 1 1 2 0 0 1 1 1 5 0 1 0 1 0 0 2 1 1 4 1 6 1 0 3 1 0 3 2 0 3 7 1 1 3 0 1 0 0 0 1 1 0 1 2 1 0 1 2 0 1 0 0 0 0 2 0 1 1 1 2 0
"quick" 2 1 0 3 3 3 4 0 9 1 1 1 0 1 6 2 3 1 2 0 0 0 2 0 0 0 0 5 3 0 1 4 5 2 4 1 0 0 1 3 0 0 2 2 0 1 2 1 0 0 2 1 1 2 0 2 2 2 1 0 4 2 1 0 0 1 0 2 3 4 4 0 2 1 0 6 2 1 1 1 3 0 2 2 0 2 2 0 0 0 1 2 2 1 1 0 0 0 1 0 0 0 0 2 1 0 0 0 3 1 1 0 0
"quiet" 0 5 3 5 7 4 7 2 11 1 0 2 6 2 15 9 4 3 11 3 3 1 0 5 5 1 0 13 7 5 1 11 5 3 8 2 2 2 1 3 4 2 1 1 1 1 0 5 4 0 3 5 1 3 1 2 1 3 2 3 7 2 0 3 3 1 2 2 1 6 10 0 12 2 0 9 2 2 3 4 7 2 0 1 1 3 7 1 2 3 2 1 9 7 3 5 1 2 7 2 2 7 3 0 2 1 2 2 6 5 1 0 1
"reasonable" 0 2 0 0 2 0 2 0 0 0 1 0 1 1 2 1 0 0 0 0 0 0 1 0 0 0 0 2 3 0 0 0 1 0 1 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 1 0 0 1 0 1 1 0 0 0 0 2 0 0 0 1 1 2 1 0 0 1 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0
"responsible" 0 2 0 1 4 0 0 0 4 0 1 0 0 0 3 0 0 1 2 0 1 0 0 0 1 0 0 3 0 0 0 2 0 0 1 0 0 2 2 0 1 0 0 0 0 0 0 0 1 1 2 2 2 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 3 0 0 0 1 3 0 2 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 2 1 0 0 1 0 0 2 0 1 0 0 0 0
"restless" 1 1 1 0 0 0 3 1 3 0 0 0 0 0 5 0 0 0 3 0 0 0 0 0 0 0 0 1 1 1 0 1 2 0 0 0 0 0 0 2 0 1 0 0 1 0 1 1 1 0 2 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 1 0 1 1 1 4 0 0 1 0 0 1 2 3 2 3 1 0 0 0 0 0 2 1 0 1 1 2 0 0 1 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0
"rough" 0 0 0 2 3 1 0 2 3 0 1 2 0 0 5 3 1 1 2 1 0 0 0 0 2 0 0 3 1 1 1 2 0 0 0 0 0 1 0 1 2 0 2 3 0 0 0 1 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 3 2 0 1 1 1 2 2 3 0 0 0 2 7 0 1 0 0 0 1 2 1 0 1 1 1 2 0 0 1 1 0 0 1 0 1 0 2 1 2 2 0 1 0
"selfish" 0 0 0 1 0 0 2 0 2 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 1 0 0 1 2 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0 0 0
"serene" 0 0 0 0 2 0 2 1 3 0 0 1 0 0 1 3 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 2 0 0 0 1 0 0 2 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0
"serious" 2 0 0 2 2 0 2 1 2 0 0 1 2 1 3 2 1 0 1 0 2 2 0 1 0 1 0 2 3 0 0 1 1 1 3 0 0 0 0 2 0 1 1 1 1 0 0 4 1 1 0 2 1 1 0 2 1 0 0 1 2 0 0 0 1 0 0 0 0 1 4 1 2 0 0 3 0 0 0 0 0 0 3 0 0 2 2 0 1 0 0 0 0 0 1 1 0 1 3 0 1 0 1 1 1 1 0 0 1 1 0 1 2
"severe" 0 0 1 3 3 1 2 0 1 0 0 1 0 0 2 0 0 1 2 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 2 0 0 2 1 0 0 0 0 1 0 2 0 0 0 0 0 1 0 1 0 0 2 1 1 2 0 0 2 1 0 0 1 0 1 2 0 1 1 1 0 1 0 0 0 1 1 0 0 0 0 1 1 0 1 1 0 0 0 0 0 1 1 0 0 0
"shy" 0 1 0 2 1 1 1 0 1 0 0 0 0 0 1 0 0 1 1 0 2 0 0 0 0 0 1 3 1 1 0 2 0 1 1 1 0 0 0 1 2 0 0 0 0 0 1 0 0 0 1 0 2 0 0 1 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 2 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1
"silent" 0 3 0 3 5 0 0 0 6 0 0 0 0 2 4 3 2 1 2 1 1 1 0 1 2 1 0 5 1 4 1 5 2 2 4 1 2 1 2 2 0 1 0 1 2 0 2 3 4 0 3 1 0 0 1 0 0 1 1 0 2 0 0 1 3 0 2 1 0 1 5 1 4 1 0 6 1 1 2 0 1 2 9 2 0 1 1 0 1 0 1 2 0 0 0 0 1 0 2 2 3 2 0 1 1 2 0 1 2 2 0 1 1
"simple" 0 0 0 3 4 2 4 1 2 0 1 0 2 0 2 2 1 1 2 0 0 0 0 1 1 0 0 3 0 1 0 1 2 0 1 1 2 0 1 1 0 0 0 1 0 1 0 2 1 0 1 1 0 3 0 0 0 1 2 0 1 2 0 0 2 0 1 1 0 0 4 0 3 0 1 3 2 1 1 2 0 1 7 0 0 1 1 2 0 0 1 0 0 0 2 2 0 1 2 1 0 4 1 0 0 0 2 0 1 1 0 1 0
"slow" 1 0 0 0 3 0 4 0 3 0 0 0 0 1 3 0 1 0 8 1 1 1 1 1 1 0 1 4 1 0 1 1 3 1 0 0 0 1 2 0 0 1 1 2 1 0 2 0 3 0 0 1 0 2 0 1 0 1 0 0 1 1 0 0 1 1 0 0 1 2 2 1 0 0 0 4 0 1 1 0 1 1 3 1 0 2 1 0 0 1 0 0 0 2 0 0 0 1 1 0 0 0 0 0 2 0 0 0 1 0 0 0 1
"solemn" 0 1 0 0 2 0 0 3 3 0 0 0 0 0 4 0 1 0 4 0 1 0 0 1 1 0 0 0 2 1 0 4 1 1 2 1 0 0 0 2 2 0 0 0 0 0 0 0 2 1 0 0 0 0 1 1 0 3 0 0 0 1 0 0 0 0 0 0 0 0 4 0 1 0 0 2 1 0 0 1 2 0 5 1 1 0 2 0 1 1 0 0 0 2 0 0 0 0 1 0 0 0 1 0 0 0 1 0 2 2 0 0 1
"spirited" 1 0 0 1 2 1 0 0 1 0 0 0 0 0 0 0 0 1 3 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 1 1 0 0 0 1 0 1 0 4 0 0 3 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 0 1 1 0
"stable" 0 0 0 0 0 2 2 0 3 0 1 0 0 0 4 0 0 0 3 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 2 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 2 0 0 1 1 0 1 0 0 0 4 0 0 1 0
"steady" 0 0 0 3 3 0 0 0 2 1 0 1 1 1 8 2 1 0 4 1 1 2 1 1 2 1 1 1 1 1 0 0 2 1 2 0 0 0 1 2 1 1 1 2 0 1 1 0 3 1 2 2 0 0 1 1 2 0 2 0 2 0 1 0 1 0 0 1 1 2 5 0 6 0 0 3 1 0 2 1 1 1 7 0 0 2 1 0 0 3 1 0 2 2 1 1 0 2 0 1 1 2 1 0 1 1 1 1 1 3 0 0 1
"stern" 0 0 0 0 1 0 0 0 2 2 0 1 1 0 1 1 0 1 2 0 0 0 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 2 0 2 0 2 0 1 0 1 0 1 0 2 1 0 0 0 0 1 0 0 1 0 1 0 0 2 0 1 0 0 0 0
"tender" 0 1 0 2 2 1 1 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 1 0 0 1 0 3 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 1 0 0 1 2 0 1 0 1 0 1 0 0 0 1 0 3 0 0 2 0 0 0 2 0 0 2 0 1 0 0 0 0 1 0 0 3 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 1
"thoughtful" 0 0 0 2 2 1 4 1 5 0 0 1 0 0 1 3 0 2 1 1 0 0 0 0 0 0 0 4 1 1 0 1 1 0 1 0 0 1 0 0 0 0 0 2 0 0 0 1 1 0 3 1 0 2 0 0 0 2 0 0 1 0 0 1 1 0 1 0 1 0 1 1 4 0 0 2 0 0 0 0 1 0 7 0 0 1 0 1 1 0 1 0 2 4 0 0 0 1 2 1 0 0 0 0 0 0 0 0 2 1 0 0 0
"tight" 2 0 0 1 3 1 0 0 2 0 0 0 0 0 2 0 0 0 1 1 1 0 1 1 2 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 4 0 3 0 0 1 1 1 0 0 0 0 3 0 0 0 1 1 0 1 1 0 0 1 0 1 0 1 1 0 0 0 0 3 0 0 0 0 2 3 0 0 1
"timid" 0 1 0 2 0 2 0 0 1 0 0 0 1 0 2 0 0 1 1 0 0 0 0 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 1 2 0 0 1 1 1 0 0 0 1 0 2 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 1 0 3 0 0 0 0 0 2 1 0 0 0
"unreasonable" 1 0 0 1 2 1 2 0 1 0 1 1 1 0 2 1 0 1 3 0 1 0 0 1 1 1 0 2 1 1 1 1 1 1 1 0 0 0 0 1 0 1 2 1 0 0 1 0 2 2 1 1 0 1 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 1 2 0 2 1 1 3 1 1 0 0 0 1 2 1 0 0 1 0 0 1 0 0 1 0 2 0 2 1 1 0 0 0 0 0 0 0 0 1 1 1 2 1 0
"vague" 0 0 0 1 0 0 2 0 1 0 0 0 1 2 1 0 0 0 1 0 0 1 0 0 1 2 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 2 1 1 0 0 0 1 0 0 0 0 0 2 0 2 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 2 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1
"violent" 0 1 1 0 3 1 1 0 2 2 0 0 0 0 1 1 0 1 0 0 1 0 1 0 3 0 0 2 0 0 2 2 1 1 0 3 0 1 0 1 1 1 0 1 0 2 2 0 0 2 1 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 2 0 1 0 0 2 1 0 2 0 2 0 2 0 2 0 2 1 0 0 0 1 0 2 0 1 0 0 1 2 1 0 0 0 0 0 0 0 1 2 0 0 0
"vivacious" 0 0 0 0 2 0 1 1 0 0 1 3 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 0 3 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
"warm" 1 1 0 1 1 3 3 1 5 0 1 0 3 2 2 1 3 1 9 2 0 1 0 0 3 0 1 2 2 1 1 3 2 2 2 2 0 0 1 0 1 0 0 0 3 0 1 2 3 1 1 0 0 0 0 2 0 2 1 0 3 2 0 0 1 0 2 0 1 3 4 0 3 0 1 4 0 1 0 2 1 3 6 1 1 0 2 1 1 1 1 0 2 1 1 2 1 4 1 1 0 2 2 2 1 0 1 0 0 5 0 1 1
"wild" 0 1 2 2 1 1 2 1 4 1 0 0 1 0 4 3 1 2 4 0 0 1 1 0 1 0 2 2 1 2 1 1 1 1 0 0 0 0 1 1 1 0 3 2 1 0 1 1 3 0 2 0 1 2 1 2 0 1 0 1 2 0 1 1 0 3 1 1 0 3 9 0 6 0 0 2 0 1 0 0 1 1 5 0 0 1 2 1 0 1 1 0 2 1 0 2 0 0 3 0 0 1 3 1 1 0 2 0 5 0 0 1 0
"zealous" 1 1 0 1 1 2 0 0 1 0 0 0 1 0 2 0 0 1 0 0 0 0 0 1 0 1 1 1 1 1 0 1 0 1 1 0 0 0 0 3 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 3 2 1 1 0 2 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"worldly" 0 0 0 0 3 2 2 0 2 0 1 0 0 1 3 1 1 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 2 1 0 0 1 1 0 0 0 2 0 0 0 0 0 0 4 1 0 1 0 1 0 0 2 0 2 0 1 0 2 6 0 4 0 1 2 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0
"wise" 0 1 0 1 1 0 0 0 1 0 0 0 1 1 1 0 0 0 1 1 0 2 0 0 0 1 1 0 0 0 0 2 1 0 3 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 1 1 0 0 1 0 0 0 0 0 3 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 1 1 0 1 1 0 0 1 0 1 0 1 0 0 1 0 1 1 0 0 0 0
