"accomplished" "affectionate" "agreeable" "amiable" "anxious" "bitter" "bold" "brave" "bright" "calm" "capable" "careful" "certain" "cheerful" "childish" "cold" "confused" "constant" "cool" "cruel" "curious" "deep" "determined" "devilish" "disdainful" "distant" "dull" "earnest" "elegant" "emphatic" "exact" "expressive" "faithful" "fierce" "frank" "friendly" "gallant" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "haughty" "honest" "humble" "indifferent" "jealous" "juvenile" "kind" "lively" "loud" "mild" "modest" "moral" "natural" "observant" "original" "particular" "patient" "pensive" "pleasant" "polite" "presumptuous" "profound" "proper" "proud" "quick" "quiet" "restless" "rough" "sensitive" "serene" "serious" "severe" "silent" "simple" "slow" "social" "solemn" "steady" "stern" "sullen" "tender" "thoughtful" "tight" "timid" "tough" "vague" "violent" "warm" "wild" "worldly"
"quiet" 1 5 1 1 3 0 1 2 16 6 2 1 8 4 4 13 3 4 1 5 5 12 1 2 2 10 3 6 2 1 1 1 4 3 0 3 2 4 0 12 1 5 3 2 5 5 3 2 1 6 0 2 5 4 1 7 2 2 5 4 2 6 1 3 2 4 18 6 0 5 4 0 4 2 2 11 6 3 1 7 2 3 2 2 9 3 4 0 7 5 3 14 3
"restless" 0 0 0 0 1 0 0 0 0 0 1 0 2 1 1 1 1 1 0 1 2 0 0 1 0 2 1 1 0 0 0 0 1 0 0 0 0 1 1 2 1 0 0 0 0 0 0 0 0 1 1 1 1 0 0 2 0 0 0 2 0 2 2 0 0 0 2 0 5 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 0 1 2 0 1 0
"rough" 0 1 1 1 0 0 1 0 4 0 1 0 2 3 0 6 1 5 0 0 1 6 1 1 1 3 4 2 1 1 0 0 4 0 0 3 1 1 0 6 2 0 0 2 4 0 2 2 1 3 1 2 0 0 3 6 0 0 3 1 2 3 0 2 2 1 6 3 4 0 0 1 0 1 2 1 2 1 2 1 1 0 0 0 3 1 3 6 0 2 4 5 2
"sensitive" 2 0 3 1 1 1 0 0 2 0 1 0 3 1 0 3 1 1 1 1 1 1 0 2 1 2 3 0 1 1 0 1 0 0 1 0 0 0 1 0 0 2 0 3 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 1 0 1 0 4 2 0 0 1 0 0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 1 0 1 0 0
"serene" 0 1 1 0 2 1 0 1 2 3 1 1 2 1 2 4 1 0 0 1 0 5 0 0 0 2 3 1 0 0 1 1 1 1 1 3 0 1 0 1 0 0 1 0 1 0 1 0 0 2 0 0 1 0 0 1 0 0 1 2 1 2 0 1 1 0 1 1 4 0 0 0 0 0 0 1 0 2 0 1 1 0 0 0 3 0 0 0 1 0 2 0 1
"serious" 1 0 0 2 0 0 1 0 1 2 0 1 2 3 0 2 0 0 0 2 0 2 0 2 0 1 2 2 0 1 0 0 0 1 0 2 1 0 0 3 0 0 1 2 1 1 0 0 1 2 1 0 2 2 0 2 0 2 0 0 1 1 1 0 0 2 7 3 2 0 1 0 0 0 0 3 0 0 1 0 0 2 0 2 2 1 0 0 0 0 0 1 0
"severe" 1 2 1 0 2 1 1 0 2 2 1 2 3 1 0 5 0 1 1 0 1 1 1 1 1 0 2 3 0 1 1 2 1 0 0 2 1 1 1 0 0 1 1 0 0 1 2 0 0 3 0 0 1 1 0 0 0 0 3 0 0 1 2 0 0 1 4 0 2 1 2 0 0 0 0 4 1 3 0 3 0 0 0 0 1 1 1 2 4 2 2 1 0
"silent" 2 5 4 4 5 1 6 1 16 2 0 1 14 1 1 11 1 1 1 1 5 7 1 6 3 6 4 6 2 1 2 1 2 3 3 4 0 2 0 8 4 4 5 2 2 3 1 4 1 10 2 1 4 4 1 8 4 2 10 3 1 4 1 1 3 5 14 8 11 0 1 1 1 3 4 0 2 3 2 5 4 1 2 4 7 3 4 4 3 6 4 9 0
"simple" 0 0 2 1 1 0 0 1 6 1 2 0 2 2 0 6 0 2 0 2 0 3 0 1 0 2 1 1 1 0 0 1 1 1 1 1 0 2 2 10 0 3 2 0 1 1 2 0 0 5 1 3 1 3 2 7 0 2 3 1 3 1 0 1 0 2 6 0 6 1 2 0 0 0 1 2 0 2 1 3 0 1 1 3 1 2 2 1 2 1 0 3 3
"slow" 0 0 1 0 3 1 2 1 5 2 1 1 6 1 1 4 1 1 0 1 1 3 1 1 0 2 2 1 1 0 1 0 0 1 1 1 0 1 1 1 0 2 3 0 3 1 0 3 0 4 0 1 3 2 0 5 0 2 4 1 3 1 1 0 1 0 4 1 3 0 1 0 2 0 3 3 2 0 0 1 1 0 0 1 5 2 2 1 0 1 1 5 0
"social" 0 0 1 3 0 0 0 1 3 0 0 0 4 1 0 6 0 1 0 1 0 1 0 1 0 3 0 0 0 0 1 1 1 1 1 3 0 1 2 1 0 0 0 3 0 0 3 0 0 2 2 1 1 0 4 4 0 3 4 2 0 0 0 0 0 0 3 1 1 1 2 1 0 1 0 2 1 0 0 2 1 1 1 1 1 1 2 2 1 1 4 2 0
"solemn" 1 2 2 1 4 1 1 1 10 4 2 1 4 6 5 10 3 2 3 3 2 7 0 1 1 5 6 1 1 1 1 0 1 3 1 0 1 1 3 6 2 4 2 3 2 2 2 1 1 3 0 2 2 3 1 6 1 1 4 1 3 2 2 2 1 1 2 3 7 0 1 1 1 0 3 5 3 1 2 0 2 1 1 1 1 1 5 1 2 3 2 7 1
"steady" 0 1 2 1 5 1 0 1 4 0 2 1 3 0 0 4 2 1 0 3 1 6 1 0 1 4 2 2 0 0 1 2 0 0 0 2 1 0 0 1 0 2 1 2 2 1 1 0 0 3 1 0 1 0 0 5 0 0 2 1 0 3 0 0 0 2 5 3 2 1 1 1 1 0 0 4 0 1 1 2 0 0 2 2 1 2 0 0 2 1 0 1 0
"stern" 1 2 3 0 0 0 1 0 2 0 2 1 1 2 0 3 1 0 0 1 1 2 0 0 0 1 1 2 0 1 0 2 0 0 1 0 0 0 1 4 0 0 1 2 1 1 1 0 0 3 1 0 0 2 0 5 0 0 3 0 0 1 1 0 3 0 4 0 3 0 0 1 0 2 0 1 1 0 1 1 0 0 0 2 0 0 1 0 2 2 1 3 0
"sullen" 0 0 0 0 0 0 1 0 2 0 0 0 1 0 1 3 0 1 0 3 0 2 1 0 0 3 2 1 0 0 0 0 0 0 0 1 0 0 0 2 1 1 1 2 0 2 1 1 0 0 0 0 2 0 0 2 0 0 2 2 0 0 0 1 0 0 3 0 2 1 0 0 0 0 0 2 1 0 1 1 2 0 0 0 1 1 0 1 2 0 0 2 1
"tender" 0 1 1 0 0 0 3 0 6 1 0 2 2 1 0 3 0 0 0 0 3 3 0 0 0 3 2 2 0 0 1 2 2 0 0 1 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0 1 0 2 0 3 0 1 2 1 1 2 0 1 0 1 4 2 2 0 0 0 0 2 0 4 3 1 1 1 2 2 0 0 0 2 0 1 0 1 0 4 1
"thoughtful" 1 1 2 3 0 0 2 1 4 2 1 1 8 2 3 6 1 2 0 3 1 3 0 2 0 1 0 3 0 0 0 0 1 1 1 1 0 0 0 4 0 0 1 0 0 1 2 1 0 6 1 0 5 2 0 4 2 1 2 1 3 5 1 1 2 2 6 4 9 1 3 0 3 2 1 7 1 5 1 1 1 0 1 0 0 1 2 1 0 2 1 2 1
"tight" 2 0 0 2 0 1 2 0 2 2 0 0 2 2 1 5 0 0 0 1 1 4 1 3 0 1 1 3 0 0 1 1 1 1 1 2 1 0 0 0 1 2 2 1 1 1 0 1 2 2 2 2 1 1 0 2 0 0 3 1 0 2 1 0 0 0 6 1 3 1 1 0 0 1 1 3 2 2 1 1 2 0 1 2 1 0 0 1 2 3 0 2 0
"timid" 1 0 2 1 2 1 3 1 7 0 2 1 3 1 1 5 0 2 0 2 1 5 0 1 0 2 1 0 0 0 0 1 0 1 0 1 1 0 1 4 3 0 1 0 1 3 0 1 2 2 1 1 0 1 1 5 0 0 2 2 3 1 0 0 0 1 3 1 4 0 3 0 0 0 1 4 2 2 2 5 0 1 0 0 2 0 0 0 2 2 2 2 0
"tough" 0 2 1 0 1 0 0 0 0 0 0 0 1 0 0 5 0 4 0 1 0 1 0 2 2 1 2 1 0 0 0 0 2 0 0 4 0 0 1 2 2 1 1 1 1 0 3 2 1 1 1 1 1 0 2 3 0 1 4 1 0 1 1 1 0 0 9 2 0 0 6 0 0 0 2 4 1 1 2 1 0 0 1 1 1 1 0 0 0 2 2 2 1
"vague" 2 1 2 0 2 1 0 0 5 2 2 2 3 1 0 4 0 1 2 0 2 3 1 1 0 4 2 2 1 0 0 2 1 1 1 0 2 1 1 2 1 2 0 1 0 4 2 1 0 1 0 0 0 0 0 2 0 2 0 1 0 3 1 0 1 2 5 0 7 1 0 1 1 0 4 3 2 0 1 2 2 2 2 0 0 2 2 0 0 4 0 1 1
"violent" 0 1 3 0 0 1 3 0 2 2 1 0 4 1 0 2 0 0 2 0 2 3 1 1 0 1 0 3 0 0 1 1 0 2 0 3 2 1 1 2 1 0 2 1 2 1 2 1 0 1 1 1 1 2 4 2 0 0 2 0 1 5 3 0 3 0 4 2 5 2 2 0 0 0 2 6 1 1 1 3 1 2 0 1 2 3 2 2 4 0 1 3 0
"warm" 0 1 1 2 3 1 1 2 8 0 0 1 3 4 2 11 0 2 1 2 3 4 1 1 1 4 4 3 0 2 2 4 0 2 1 4 0 0 3 3 0 1 0 2 4 0 0 1 0 6 1 0 2 2 2 3 1 2 3 1 1 1 1 2 1 1 5 5 3 0 4 1 2 0 2 4 0 1 4 2 0 1 0 0 1 0 2 2 0 1 0 2 1
"wild" 1 3 0 0 2 0 4 1 10 3 1 0 7 2 3 7 1 2 0 8 2 7 2 1 2 8 1 5 2 0 1 1 2 5 2 0 0 1 0 9 2 1 3 3 4 2 1 3 2 5 0 2 2 3 2 7 2 2 3 2 2 0 1 3 0 2 8 2 14 1 5 0 0 1 1 9 3 5 2 7 1 3 2 4 2 2 2 2 1 3 2 0 1
"worldly" 0 0 0 0 0 0 0 1 2 0 0 0 1 0 1 3 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 2 0 2 1 0 0 0 1 0 1 0 0 1 1 1 0 1 1 0 0 1 0 0 0 4 0 3 0 0 4 0 3 0 2 0 1 0 0 0 3 0 0 1 0 0 1 1 1 0 0 1 1 0 1 1 0
