"active" "affected" "affectionate" "agreeable" "amiable" "anxious" "awkward" "benevolent" "boisterous" "bold" "bright" "calm" "careful" "cautious" "certain" "cheerful" "cold" "complicated" "confused" "constant" "contemplative" "cool" "critical" "cruel" "cunning" "curious" "deep" "determined" "devilish" "dignified" "distant" "dull" "eager" "earnest" "elegant" "eloquent" "emphatic" "enthusiastic" "excessive" "expressive" "facetious" "faithful" "fearful" "fierce" "firm" "foolish" "friendly" "gentle" "gloomy" "graceful" "gracious" "harsh" "hasty" "haughty" "hearty" "honest" "hospitable" "humble" "humorous" "immovable" "indefatigable" "independent" "ingenious" "intense" "intimate" "kind" "lazy" "learned" "lively" "loud" "merry" "moral" "narrow" "natural" "nervous" "noisy" "original" "particular" "pleasant" "poetic" "practical" "precise" "profound" "proper" "proud" "quiet" "reasonable" "respectful" "restless" "rude" "sentimental" "serious" "severe" "silent" "slow" "smart" "solemn" "spirited" "stable" "steady" "stern" "strict" "surly" "suspicious" "talkative" "thoughtful" "tight" "vain" "verbal" "violent" "warm" "wild" "wise"
"honest" 0 0 0 3 1 3 0 0 1 1 0 1 2 1 1 0 2 1 0 0 0 0 1 0 0 1 3 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 2 1 0 0 0 1 0 1 1 1 1 2 0 1 0 3 1 0 1 1 2 1 0 2 0 0 1 0 1 0 1 0 0 1 1 2 1 0 0 0 1 1 0 0 0 1 0 2 2 1 1
"hospitable" 2 0 0 2 1 0 0 1 1 0 1 0 0 0 1 3 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 0 1 1 1 1 0 1 3 1 0 0 0 0 1 0 1 1 1 0 1 0 1 1 1 0 0 0 0 0 3 0 0 0 0 1 1 2 0 1 1 1 0 0 1 1 0 0 1 0 0 0
"humble" 0 1 0 2 2 1 1 1 0 0 1 1 1 1 0 1 2 1 2 0 0 1 2 1 1 0 3 0 1 0 0 0 0 1 1 1 0 1 0 0 0 1 1 0 1 3 3 2 0 1 0 0 0 1 0 1 0 0 1 0 0 1 1 2 1 1 0 0 1 6 0 0 0 2 0 0 0 2 5 1 0 2 2 0 0 1 1 0 0 0 0 1 0 2 0 1 2 1 0 0 1 0 0 0 0 0 2 1 0 0 1 1 0
"humorous" 0 1 0 1 0 0 0 2 2 0 0 0 0 0 0 2 1 1 0 1 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0 0 2 1 1 1 1 0 0 0 3 0 0 0 0 0 0 0 0 2 1 0 1 1 0 0 2 0 0 0 0 1 4 1 1 0 0 0 0 0 1 1 1 0 1 0 1 0 0 1 2 0 0 0 1 0 0 0 0 2 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0
"immovable" 0 0 0 0 0 1 0 0 1 0 1 1 1 0 2 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 1 0 0 0 1 2 1 0 0 2 0 1 1 0 1 1 0 0 0 1 1 1 1 1 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
"indefatigable" 0 0 1 0 0 1 0 1 0 0 1 1 1 0 0 0 1 2 0 1 0 0 0 1 0 0 1 0 0 2 1 0 0 1 0 1 1 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 3 0 0 0 0 0 0 0 2 1 1 0 0 0 1 0 1 0 1 0 0 0 1 1 0 0 1 1 1 0 0 2 0 0 0 1 0 0 0 0 1 1 0 1
"independent" 1 1 0 2 2 2 1 0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 2 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 1 3 1 0 0 0 0 0 2 0 0 0 1 1 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"ingenious" 0 0 0 3 1 3 1 0 1 0 0 1 1 0 2 0 3 2 0 1 0 2 0 0 1 0 1 0 1 1 1 0 0 0 2 1 0 1 1 3 0 2 1 2 0 0 1 3 0 3 0 0 0 0 1 2 0 1 0 2 0 0 0 0 0 1 1 2 3 3 0 1 1 1 1 0 1 3 4 0 1 1 4 2 1 1 2 0 0 0 1 0 0 2 0 1 1 0 1 0 1 1 0 1 0 1 0 0 0 2 1 0 1
"intense" 0 0 1 1 2 1 0 0 2 1 1 1 0 1 1 1 5 2 1 2 0 1 0 2 0 1 4 0 1 0 2 0 1 0 0 1 0 2 0 2 1 3 1 0 0 2 0 2 0 0 0 0 1 0 2 1 1 2 2 1 1 1 0 0 1 2 1 0 1 2 0 0 0 1 1 0 0 4 4 0 0 3 3 5 1 3 0 2 0 2 1 1 1 0 0 1 4 1 0 2 0 0 0 0 0 0 0 0 0 2 2 0 1
"intimate" 0 1 0 1 1 2 1 0 0 0 0 0 2 2 0 1 4 0 0 0 0 0 0 0 1 1 3 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 5 1 0 0 3 1 0 0 3 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 0
"kind" 1 1 1 3 3 0 1 1 0 0 2 0 2 1 2 1 3 0 0 1 0 0 0 0 1 0 3 1 1 0 0 1 2 0 0 1 0 2 1 1 0 1 0 0 0 0 2 0 0 1 0 0 1 1 0 0 1 1 0 0 1 1 1 2 0 0 0 0 1 3 1 0 1 1 1 1 0 3 3 0 0 2 0 2 3 4 0 0 1 2 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 2 1 4 0
"lazy" 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 1 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 2 0 1 0 0 0 0 0 1 1 0 0 0 0 1 2 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 2 0 2 0 1 1 1 0 0 0 1 0 0 2 0 0 0
"learned" 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 1 0 1 0 2 0 1 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 2 1 0 0 1 2 1 1 0 0 2 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 2 0 0 0 0 0 2 0 0 0
"lively" 0 1 0 4 1 1 2 0 1 0 4 2 5 0 2 4 5 0 0 0 1 1 0 0 0 2 4 0 1 0 1 1 0 1 0 1 0 0 1 2 1 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 1 1 1 2 1 0 3 1 0 1 1 0 0 2 1 0 1 1 1 0 1 3 1 2 0 1 2 4 1 3 0 1 0 0 0 2 0 0 0 2 2 0 1 0 1 1 1 0 0 2 0 0 1 1 2 1 0
"loud" 3 2 1 7 2 4 3 2 2 1 5 2 2 1 6 6 16 4 3 3 2 2 2 0 2 4 9 0 3 3 4 1 0 3 0 1 4 5 1 4 2 5 2 4 4 2 2 4 5 2 1 3 1 0 3 1 3 6 4 1 3 0 3 2 5 3 2 0 2 0 5 5 4 1 3 0 1 13 8 1 1 1 8 4 1 8 3 2 2 1 1 1 0 6 2 2 6 0 3 2 2 2 1 1 1 1 4 2 0 8 8 4 4
"merry" 0 0 0 0 1 1 0 2 1 3 2 1 0 0 0 4 5 0 0 0 0 0 0 1 1 1 5 1 0 0 1 1 1 0 0 0 0 0 1 1 0 0 0 2 1 0 0 4 1 0 0 1 0 1 2 1 1 0 1 0 0 0 0 0 1 1 1 0 1 5 0 1 1 1 0 0 0 1 2 1 1 0 2 0 2 4 0 0 1 0 0 3 1 1 0 0 5 0 0 0 0 1 0 0 1 0 0 1 0 0 2 5 1
"moral" 1 2 1 1 1 2 0 1 0 1 0 1 2 1 4 1 2 0 1 1 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 1 2 0 0 3 0 0 0 1 1 1 0 1 0 0 1 1 0 0 2 1 0 0 1 0 0 0 1 0 0 0 0 1 0 5 1 0 0 1 0 0 1 3 1 1 0 0 2 0 0 3 1 1 0 0 0 0 1 0 1 2 2 0 1 1 1 0 0 1 1 0 1 1 0 2 1 0 1
"narrow" 2 0 0 4 1 1 0 0 0 0 1 2 0 0 3 1 6 0 0 1 0 2 0 0 0 4 4 0 0 2 2 1 0 1 0 0 0 0 2 1 1 0 1 1 1 0 2 1 4 0 0 2 1 0 1 1 0 0 0 2 0 0 1 0 0 1 0 2 1 4 1 0 0 3 0 1 0 1 3 0 0 0 1 2 1 3 1 0 1 1 0 0 1 0 2 0 2 0 1 0 0 0 2 1 0 0 0 1 1 3 1 6 1
"natural" 0 0 3 3 5 4 1 1 0 1 2 1 8 3 5 2 4 0 1 2 1 1 0 0 2 5 4 1 0 2 3 1 2 1 1 0 1 0 0 2 0 0 1 0 2 0 3 1 1 0 2 0 1 1 4 2 0 2 0 0 0 1 1 1 3 1 0 1 1 1 1 1 3 0 4 0 1 8 3 0 0 3 4 3 4 5 1 0 1 0 2 1 1 2 1 2 2 0 2 2 1 0 0 3 0 1 1 0 1 1 1 0 2
"nervous" 0 0 0 1 1 3 0 0 0 0 2 0 1 1 2 2 4 0 1 2 1 1 0 0 2 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 1 2 0 0 0 0 1 0 0 1 1 1 1 0 0 1 3 0 0 0 4 0 0 0 5 3 0 0 0 1 3 1 2 0 0 2 1 0 0 1 1 1 1 1 0 0 1 1 0 1 1 0 0 0 2 0 2 0 0 3
"noisy" 1 0 0 1 1 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 4 1 0 1 0 0 1 0 1 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1
"original" 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 1 1 1 1 0 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0 1 0 0 0 1 1 0 0 0 3 0 1 2 0 1 0 0 0 0 0 3 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0
"particular" 1 1 2 7 3 5 2 3 2 2 4 3 6 4 11 4 9 1 2 3 2 1 2 1 2 8 6 0 2 2 3 1 0 1 1 1 4 2 2 5 1 1 1 4 3 0 0 3 3 0 2 0 0 0 1 3 1 2 1 1 2 1 3 4 3 3 1 2 3 13 1 3 1 8 5 0 1 0 6 1 1 4 12 7 3 10 2 2 2 1 0 1 2 1 4 5 5 0 3 1 3 2 1 3 0 0 0 1 1 4 9 4 3
"pleasant" 1 1 3 8 2 5 2 2 0 1 6 3 5 0 7 7 7 2 1 4 1 4 2 2 1 6 7 1 3 2 3 1 0 3 3 3 2 3 2 2 1 4 1 4 0 2 3 5 2 3 0 3 2 2 2 1 1 5 1 1 1 0 4 4 1 3 0 1 1 8 2 1 3 3 3 1 1 6 0 0 1 4 4 4 2 6 3 3 0 1 1 1 0 2 3 5 4 2 0 1 4 1 1 0 1 1 1 0 0 5 4 3 6
"poetic" 0 1 1 0 0 1 0 1 1 0 0 1 2 1 1 1 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 1 2 1 1 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 1 2 1 3 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0
"practical" 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 2 0 2 0 0 1 0 1 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0
"precise" 0 0 1 1 0 3 0 1 0 0 1 0 1 0 1 1 1 0 0 0 1 0 1 0 1 4 3 1 0 1 3 2 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 1 2 1 0 0 0 1 3 1 2 0 0 1 1 0 0 0 3 0 0 0 4 4 0 0 0 2 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2
"profound" 0 0 1 2 2 4 0 4 1 0 3 3 2 1 6 0 6 1 3 1 0 0 0 2 0 6 3 0 2 0 2 0 0 0 0 2 1 2 1 3 1 1 0 1 1 1 1 2 1 2 1 0 1 1 4 2 0 2 0 1 0 1 4 3 0 0 1 2 2 8 2 2 1 4 1 0 3 12 4 2 1 2 0 3 3 6 0 1 1 0 3 0 0 3 1 1 5 0 1 1 0 1 0 2 1 1 0 1 0 2 3 2 0
"proper" 0 1 0 0 1 4 1 1 2 0 3 1 2 0 1 4 5 2 0 2 3 1 1 0 0 0 2 0 0 1 1 2 1 0 0 1 1 2 2 2 1 5 1 1 1 1 0 1 2 1 0 0 1 0 2 1 1 0 1 1 1 1 2 5 0 2 0 0 4 4 0 0 2 3 3 0 0 7 4 0 1 0 3 0 0 6 0 1 0 0 2 1 0 1 1 2 2 0 2 1 1 1 0 0 0 0 0 2 1 3 4 0 1
"proud" 2 0 2 2 3 1 2 0 0 2 4 2 1 0 4 0 5 0 0 1 0 1 0 0 2 2 2 0 2 2 1 2 2 0 2 0 0 1 1 1 0 2 2 3 1 0 4 0 1 0 2 0 2 1 0 0 1 0 0 1 0 3 1 1 0 3 0 0 1 1 2 0 1 4 1 1 1 3 2 0 0 0 3 0 0 3 0 0 3 0 0 3 0 1 0 0 5 1 0 0 0 0 1 0 1 0 0 0 0 0 0 7 2
"quiet" 1 2 1 8 3 4 0 2 3 1 4 0 4 1 8 7 13 0 1 3 1 1 2 0 1 2 7 2 2 0 6 3 1 1 1 1 3 3 1 1 1 0 2 3 0 0 3 5 2 1 0 0 2 2 4 2 1 1 0 1 1 1 1 3 1 4 1 0 3 8 4 3 3 5 2 4 2 10 6 0 0 1 6 6 3 0 3 0 2 2 1 4 0 6 1 3 4 0 1 1 1 2 2 0 3 3 2 0 0 6 6 5 1
"reasonable" 0 1 2 2 1 1 0 0 1 0 1 0 0 0 2 2 1 1 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 2 1 0 0 0 1 1 0 0 0 2 0 0 0 0 1 1 1 0 0 2 0 0 0 0 1 0 3 0 1 1 1 0 1 0 2 3 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 1 3 0 0 1 0 2 0 0 0 0 1 2 0 1 1 1 1 0
"respectful" 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 2 0 0 0 0 1 2 0 1 0 0 0 0 1 2 3 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"restless" 1 0 0 1 1 2 0 1 1 0 3 1 0 0 2 0 7 0 0 0 1 0 0 0 1 3 2 0 0 1 1 2 2 0 1 0 0 1 1 0 0 1 0 0 1 0 2 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 1 0 1 1 2 1 0 2 0 0 0 1 1 0 3 2 0 0 0 0 0 0 1 3 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 2 2 2 0
"rude" 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 3 0 0 0 0 2 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 2 0 0 0 1 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
"sentimental" 0 0 1 1 0 2 0 1 1 0 2 0 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 1 1 3 2 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 1
"serious" 1 0 0 3 1 1 1 1 1 1 3 1 1 1 4 4 2 0 0 1 0 0 0 0 1 0 2 1 0 1 1 0 0 2 0 1 0 1 2 1 1 0 0 3 0 0 0 2 0 0 1 0 0 0 1 0 3 1 1 0 1 2 0 1 1 1 1 0 2 1 3 0 0 1 0 1 0 1 1 2 2 0 0 1 3 4 0 0 0 0 0 0 0 1 1 0 3 2 1 0 1 1 1 0 3 0 0 0 1 1 0 2 0
"severe" 1 0 1 0 1 2 0 0 0 1 1 1 1 0 0 0 3 2 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 1 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 1 1 1 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0
"silent" 0 0 1 1 0 8 0 2 2 0 1 1 1 0 3 2 7 1 1 1 1 0 1 0 1 1 4 1 0 0 1 2 0 0 0 0 2 3 1 1 0 2 2 3 1 1 0 2 1 1 1 0 1 0 1 0 0 2 0 1 0 0 2 0 0 0 0 1 0 6 1 0 0 2 1 1 3 1 2 1 0 1 3 1 1 6 0 0 3 1 1 1 1 0 1 2 1 0 0 0 1 2 1 1 1 1 0 0 1 4 3 3 2
"slow" 0 1 2 1 0 1 0 0 0 0 1 0 1 1 4 0 4 0 0 0 2 0 0 0 1 2 1 0 0 0 1 0 0 3 1 1 0 0 0 0 0 0 1 0 0 1 0 0 1 1 2 3 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 2 0 1 2 1 1 1 0 4 3 2 0 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 3 1 0 1 0 0 0 2 0 1 0 2 0 1 2 1 0
"smart" 0 1 1 0 0 4 0 0 0 0 2 1 1 1 1 3 5 0 1 1 1 1 0 0 0 3 2 0 0 1 1 0 0 1 0 1 1 0 0 1 0 2 0 2 0 0 0 2 2 1 0 2 0 0 2 1 0 1 0 0 1 1 1 1 1 0 1 0 2 2 0 2 0 2 1 1 1 5 5 1 0 0 1 2 0 3 3 0 0 1 0 0 0 2 1 0 3 2 2 0 2 1 1 1 0 0 0 0 2 2 4 1 2
"solemn" 1 0 2 1 3 1 1 3 2 2 2 1 2 1 4 4 10 0 1 2 0 2 0 1 2 3 3 2 2 3 1 1 0 0 1 2 1 0 0 2 0 1 2 0 1 2 2 3 1 1 2 1 2 0 2 1 1 2 2 1 1 1 1 4 1 1 2 1 2 6 5 2 2 2 1 1 1 5 4 3 0 1 5 2 5 4 0 0 1 0 0 3 0 1 3 3 0 2 1 1 0 1 1 1 1 2 0 1 1 2 2 4 4
"spirited" 1 0 0 2 1 3 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 2 1 1 0 0 1 4 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 2 2 0 0 1 1 0 1 0 0 1 0 0 0 0 1 0 0
"stable" 0 0 0 1 1 2 0 0 1 0 1 0 2 1 2 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 1 2 0 0 0 0 0 1 0 0 1 2 0 1 3 0 1 1 2 0 0 0 3 0 0 1 0 1 2 0 1 1 0 0 0 1 1 0 0 0 2 1 0 0 1 1 1 1 0 0 0 0 0 0 2 0 0 2
"steady" 0 0 0 0 1 1 0 0 1 0 0 1 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 2 0 0 1 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 2 0 1 0 2 1 0 0 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0
"stern" 0 1 0 2 0 2 0 0 1 0 0 1 1 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3 0 0 1 1 0 0 0 1 1 2 0 0 0 1 1 0 0 0 0 0 1 0 1 1 1 0 2 0 1 0 0 0 1 0 1 2 0 1 0 1 1 0 0 3 4 0 0 0 0 1 0 1 2 0 1 0 0 1 0 1 0 2 0 1 1 0 0 1 1 1 0 0 1 0 0 2 1 0 1
"strict" 1 0 0 2 0 1 0 1 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 1 1 1 1 0 0 2 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 1 1 1 2 1 0 0 0 0 0 1 2 1 0 0 0 1 1 0 2 0 0 0 0 1 1 0 2 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 3 2 0 1
"surly" 0 0 1 3 0 0 0 0 0 0 0 1 0 0 2 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 1 0 1 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 2 0 1 0 0 1 1 0 0 0 0 0 1 2 0 0 0 0 0 1 0 1 0 1 1 1 1 0 1 1 0 0 0 1 0 0 1 2 1 1 1
"suspicious" 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 1 1 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 1 0 1 0 2 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 1 1 3 1 0 0 3 0 2 0 0 2 0 0 0 0 0 1 0 0 0 0 1 2 1 1 0 0 1 1 0 0 0 0 0 0 0 1 2 0 0 1
"talkative" 0 0 0 1 0 0 0 1 0 0 1 0 0 0 2 2 2 0 0 2 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1 3 0 0 0 0 0 3 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"thoughtful" 0 1 1 1 1 1 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 2 2 0 0 1 0 1 1 0 1 0 0 0 0 0 1 0 0 1 0 0 2 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 3 1 0 0 0 1 0 0 1 1 0 2 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1
"tight" 0 3 1 1 2 0 1 0 0 0 0 0 0 0 1 0 1 2 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 3 0 1 2 1 0 0 0 0 0 1 1 1 0 0 4 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0
"vain" 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 1 4 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 2 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 1 0 0 0 2 1 1 1 0 2 0 0 1 0 1 0 0 1 2 0 0 0 0 1 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0
"verbal" 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 2 1 0 0 0 0 1 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 2 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0
"violent" 1 1 2 3 1 3 1 0 3 0 2 3 0 2 6 3 5 5 1 3 0 1 0 0 0 3 3 1 0 1 2 0 1 1 0 1 1 3 0 0 0 1 1 2 1 0 2 4 2 1 1 2 1 0 2 2 1 0 0 0 1 0 2 2 1 2 2 2 1 8 0 2 3 1 2 0 1 4 5 1 1 0 2 3 0 6 1 0 2 1 1 1 1 4 1 2 2 0 2 1 2 3 2 2 0 1 1 2 1 0 4 2 1
"warm" 0 0 0 3 1 5 0 2 1 0 5 0 1 0 4 4 10 1 1 2 1 1 1 0 0 3 7 1 0 0 1 0 1 2 0 1 2 2 1 2 1 1 1 2 0 1 2 3 1 1 0 1 0 0 2 2 0 1 0 1 1 0 1 2 1 1 0 0 2 8 2 1 1 1 0 1 0 9 4 0 0 2 3 4 0 6 1 0 2 0 1 0 1 3 2 4 2 1 0 0 1 2 1 0 0 0 0 1 1 4 0 1 3
"wild" 1 2 0 2 0 1 0 0 1 3 5 3 0 1 2 3 5 0 0 1 0 1 0 0 1 1 6 1 1 0 2 1 1 0 0 0 0 0 1 0 0 1 1 4 1 0 1 3 1 0 1 1 1 1 0 1 0 1 1 1 0 0 0 0 1 4 0 0 1 4 5 0 6 0 0 1 0 4 3 0 1 0 2 0 7 5 1 0 2 1 0 2 0 3 1 1 4 0 0 0 0 0 1 0 1 0 0 1 0 2 1 0 0
"wise" 0 0 0 0 1 4 0 0 0 1 1 0 2 1 1 2 2 1 0 0 0 1 1 0 2 1 2 2 1 1 0 1 0 0 1 1 2 0 0 2 0 1 1 0 0 0 1 2 0 0 0 0 1 1 1 1 0 0 0 1 1 0 1 1 0 0 0 0 0 4 1 1 1 2 3 1 0 3 6 0 0 2 0 1 2 1 0 0 0 0 1 0 0 2 0 2 4 0 2 0 1 1 1 1 0 1 0 0 0 1 3 0 0
