"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "awkward" "bad" "beautiful" "bold" "capable" "certain" "charming" "cheerful" "comfortable" "concerned" "confused" "cruel" "curious" "dangerous" "delighted" "delightful" "dependent" "determined" "devoted" "difficult" "eager" "embarrassed" "excellent" "extraordinary" "fair" "fine" "foolish" "fortunate" "generous" "gentle" "glad" "good" "grateful" "great" "happy" "helpless" "ignorant" "important" "innocent" "interested" "interesting" "irritated" "kind" "little" "lively" "loud" "lovely" "modest" "natural" "old" "open" "pleased" "polite" "poor" "pretty" "private" "productive" "proper" "proud" "quiet" "respectful" "ridiculous" "rude" "satisfied" "sensible" "serious" "short" "smart" "strange" "strong" "stupid" "surprised" "sweet" "terrible" "thankful" "thoughtful" "tired" "unhappy" "unlucky" "violent" "warm" "weak" "well" "wonderful" "worthy" "young"
"ridiculous" 1 4 2 2 3 1 5 0 3 0 2 4 2 1 0 1 1 3 3 1 0 2 1 0 1 0 4 3 0 1 3 2 3 2 4 3 0 6 7 1 11 2 1 5 2 0 0 0 0 1 11 0 4 1 1 1 6 3 5 0 5 3 3 0 2 1 0 1 0 1 2 1 2 6 1 8 1 1 5 2 1 1 1 3 3 1 2 1 2 0 1 1 9
"rude" 0 1 2 1 3 0 1 0 2 0 0 0 1 0 1 0 0 0 3 2 0 1 0 0 1 0 0 1 1 0 0 3 4 1 0 0 0 3 6 0 4 4 0 2 0 0 0 0 0 0 4 0 1 0 1 0 1 0 3 2 1 1 1 0 0 0 2 0 1 0 2 0 0 2 1 2 0 0 1 1 1 1 0 1 1 0 0 0 2 0 0 2 4
"satisfied" 1 3 3 4 6 1 5 1 3 1 2 2 1 2 0 1 0 2 4 1 1 0 2 1 3 1 2 1 3 3 2 1 4 3 1 3 3 6 17 5 16 6 1 3 3 1 1 1 2 2 12 2 1 1 1 3 3 1 2 2 3 3 2 1 2 1 2 1 2 2 0 6 3 5 1 5 3 1 8 4 1 0 0 3 3 1 6 0 3 1 2 4 12
"sensible" 1 3 2 6 2 0 7 2 0 2 2 0 2 4 2 0 0 1 4 1 1 2 5 2 2 2 3 0 2 3 2 1 2 2 3 3 3 4 13 4 14 3 3 4 2 3 1 0 1 4 9 1 0 2 3 1 3 3 4 1 7 1 2 4 2 2 1 0 1 0 6 0 2 9 0 5 3 1 8 5 1 0 0 1 3 1 3 1 5 2 0 2 10
"serious" 0 2 0 1 2 2 4 0 5 1 1 2 2 2 1 0 1 3 3 1 0 2 1 0 0 0 4 2 2 1 1 1 3 1 0 2 1 3 12 4 10 3 0 3 0 0 1 0 0 1 10 2 0 1 2 2 3 4 4 2 3 2 1 1 1 2 1 0 2 0 3 2 0 6 1 4 3 0 5 1 0 0 1 1 4 1 2 0 3 2 1 2 9
"short" 3 6 6 9 5 1 17 2 6 1 6 3 3 1 3 0 4 4 6 2 2 3 3 1 2 4 10 5 5 6 2 4 5 4 6 7 4 14 33 8 35 13 3 5 10 3 2 0 3 5 28 1 5 2 2 6 9 5 11 4 11 2 5 7 5 4 3 2 6 2 5 9 6 0 2 10 1 3 17 9 2 3 3 5 15 1 7 2 6 3 2 7 20
"smart" 0 1 1 0 3 0 1 0 2 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 2 0 0 0 1 2 4 0 4 2 1 0 0 0 0 0 0 0 4 1 2 0 0 2 1 2 1 1 2 1 0 0 0 1 1 1 1 1 1 0 1 2 0 0 0 0 2 0 0 0 1 4 1 1 1 1 1 0 0 1 6
"strange" 0 3 2 7 1 3 5 1 3 1 2 3 5 1 2 0 0 3 4 1 1 1 0 2 2 2 3 3 4 1 3 3 4 3 1 6 3 11 20 4 17 10 0 6 6 1 1 1 1 2 23 1 4 2 3 2 5 5 8 1 6 4 2 1 3 5 3 1 8 2 5 5 4 10 0 0 3 1 6 3 1 0 1 4 7 2 1 2 2 1 1 3 21
"strong" 1 1 0 2 0 0 2 0 3 0 0 1 2 3 1 1 1 1 6 0 1 1 1 1 1 0 2 2 0 1 3 1 1 0 1 3 1 0 8 2 10 2 1 1 0 0 1 0 0 0 4 0 0 1 1 2 4 0 2 0 4 0 1 1 2 2 0 0 1 0 3 3 3 1 0 3 0 0 6 1 0 2 0 0 2 2 3 0 4 0 1 2 6
"stupid" 0 2 0 2 1 0 2 0 2 0 0 0 0 1 1 1 1 0 2 0 1 1 1 0 3 0 1 1 0 0 0 0 1 1 0 0 0 4 3 0 7 2 0 0 0 0 0 0 1 0 2 0 1 0 0 0 2 0 1 0 0 1 0 1 2 0 0 0 1 0 1 1 0 3 0 1 0 0 2 1 0 0 1 3 0 0 1 0 1 2 0 1 3
"surprised" 3 6 2 7 8 1 10 2 5 4 2 3 5 5 4 1 3 3 8 1 2 3 5 0 3 2 7 4 1 3 3 1 3 4 4 9 3 9 18 6 31 14 2 5 5 3 2 1 2 7 20 0 4 4 3 5 8 6 11 5 11 3 5 6 7 4 4 0 5 1 8 8 5 17 2 6 6 2 0 4 1 3 1 5 7 2 5 1 5 2 1 9 23
"sweet" 2 2 3 5 1 1 6 3 1 2 3 0 2 2 3 0 1 1 4 2 0 2 1 2 2 2 2 4 2 2 2 2 5 1 0 4 3 9 15 6 15 2 2 3 3 2 0 1 2 3 17 1 3 0 1 2 4 3 2 0 3 4 1 1 1 2 2 1 2 1 4 5 1 9 0 3 1 1 4 0 4 2 0 0 4 0 2 0 5 1 3 4 12
"terrible" 0 0 1 2 1 1 0 0 1 1 1 0 2 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 0 1 0 2 1 1 0 0 0 1 4 2 4 0 0 0 1 1 0 0 1 2 4 0 1 0 0 0 0 0 1 0 2 0 3 0 0 0 2 0 1 1 1 1 0 2 0 1 0 0 1 4 0 1 0 0 2 0 1 0 1 0 1 1 3
"thankful" 2 0 1 1 0 0 1 0 1 0 1 0 0 0 1 0 1 0 2 1 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 1 3 1 4 1 1 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 2 0 0 0 2 1 1 1 0 0 1 1 0 0 0 3 0 0 2 0 3 2 1 0 0 0 1 0 1 0 3 0 0 1 2
"thoughtful" 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 1 2 1 0 0 0 1 0 0 0 1 2 1 1 0 0 0 0 0 0 0 1 5 0 4 1 1 0 2 0 0 0 0 1 1 1 1 1 0 0 2 1 1 0 2 0 0 0 1 0 0 0 1 0 0 0 1 3 1 1 0 1 1 0 0 0 0 3 0 1 0 1 2 0 0 0 1
"tired" 0 2 2 1 4 0 4 1 2 1 0 1 2 2 1 1 1 3 0 2 1 1 2 0 3 0 2 3 1 0 0 1 2 3 0 0 1 8 9 2 11 6 1 4 3 0 0 0 1 0 8 1 2 1 1 1 3 1 3 1 3 2 1 0 2 0 1 1 3 1 3 1 1 5 4 4 0 3 5 0 0 0 3 0 2 1 2 1 3 2 0 0 9
"unhappy" 1 4 1 6 1 1 4 3 2 1 2 3 1 0 2 0 4 3 6 0 2 1 0 2 3 2 6 2 2 1 5 2 1 4 3 6 1 4 16 8 18 4 3 3 3 3 4 0 1 3 20 0 2 0 2 2 5 4 3 1 8 0 4 3 3 1 2 1 3 1 3 3 4 15 1 7 2 0 7 4 2 1 0 2 0 0 5 0 4 1 3 3 17
"unlucky" 0 1 0 0 0 0 1 0 2 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 2 1 0 1 1 0 0 0 1 0 0 1 0 0 5 0 4 0 1 0 0 1 0 0 0 1 1 0 1 1 0 0 3 0 2 0 3 0 0 1 0 0 0 0 1 0 1 1 1 1 1 2 2 0 2 0 0 0 1 1 0 0 2 2 1 0 0 0 2
"violent" 1 5 3 2 4 1 5 1 6 1 3 1 3 0 0 1 2 0 5 0 0 2 3 1 2 1 5 3 1 3 2 2 3 2 3 5 1 6 11 3 18 4 1 1 0 1 1 0 1 1 7 1 4 1 0 0 6 3 8 0 7 3 1 4 3 1 1 1 2 0 6 3 2 7 1 1 3 1 5 2 1 1 0 2 5 2 0 1 2 1 3 1 10
"warm" 0 1 0 0 0 1 1 0 2 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 2 0 0 0 0 1 0 0 1 5 0 5 1 1 0 0 1 1 0 0 1 3 1 3 0 0 0 4 0 0 0 3 0 0 1 1 0 1 0 1 0 0 1 0 2 1 2 0 0 1 0 0 0 1 1 0 2 1 0 1 0 0 0 2
"weak" 2 3 0 3 1 0 3 1 1 1 2 2 1 3 2 0 2 3 6 1 2 2 2 1 1 0 3 2 1 3 2 0 2 3 0 4 2 4 13 4 13 7 3 6 1 2 1 0 2 1 11 0 2 2 2 2 3 3 4 0 7 1 1 1 4 3 1 0 2 2 3 5 3 6 1 2 4 1 5 5 1 3 2 3 4 1 2 1 0 0 3 5 13
"well" 0 0 0 1 1 0 3 1 1 1 0 1 0 0 1 2 0 1 1 0 0 0 1 0 2 0 1 2 1 0 1 0 0 0 0 0 1 2 2 0 3 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 1 2 2 3 0 1 0 2 2 1 0 0 0 2 1 0 1 0 0 0 0 0 4
"wonderful" 0 1 0 0 0 0 3 1 1 1 2 1 2 0 0 0 1 2 0 0 0 0 0 0 1 2 1 0 0 0 3 0 2 2 0 1 0 2 3 3 4 2 0 2 1 0 1 0 1 0 5 0 3 0 0 0 0 0 1 0 3 1 1 0 0 0 1 0 1 0 2 0 1 2 0 1 1 0 1 3 1 0 0 0 3 0 3 0 3 0 0 1 6
"worthy" 1 1 0 4 3 1 0 0 1 0 1 1 1 1 1 0 2 0 5 0 0 0 0 1 0 1 1 2 1 3 0 3 3 1 1 4 2 2 13 3 9 4 3 1 2 2 1 1 1 1 11 1 3 2 0 6 1 2 3 2 1 1 1 3 3 2 2 0 1 2 4 2 2 7 1 3 2 1 9 4 1 1 0 0 3 0 1 0 5 0 1 0 12
"young" 3 12 5 11 13 5 10 6 7 6 5 7 9 3 4 4 4 7 16 1 3 5 4 3 10 1 9 9 5 7 11 7 15 8 3 14 6 24 48 9 46 19 5 14 11 6 3 3 3 3 47 3 13 5 6 10 14 12 17 6 18 11 6 4 13 10 8 3 9 4 12 10 9 20 6 21 6 3 23 12 3 2 1 9 17 2 10 2 13 4 6 12 0
