"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "awful" "awkward" "bad" "beautiful" "big" "blind" "bright" "busy" "calm" "careful" "certain" "cheap" "cheerful" "clean" "cold" "comfortable" "complicated" "curious" "decent" "delighted" "delightful" "devoted" "difficult" "elderly" "enthusiastic" "excellent" "excited" "expressive" "extraordinary" "fair" "faithful" "fat" "fine" "friendly" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "hard" "honest" "important" "impressive" "innocent" "interesting" "kind" "little" "lively" "lonely" "loud" "natural" "neat" "nervous" "nice" "old" "open" "ordinary" "plain" "pleasant" "pleased" "poor" "powerful" "pretty" "private" "professional" "proper" "proud" "quiet" "reasonable" "remarkable" "rich" "satisfied" "serious" "short" "smart" "stable" "strange" "strong" "surprised" "sweet" "tall" "thin" "tired" "unhappy" "unusual" "violent" "warm" "wise" "wonderful" "worthy" "young"
"old" 10 30 21 19 14 25 7 10 9 28 29 11 9 27 12 7 15 33 8 23 11 48 24 7 19 12 11 18 11 10 13 11 22 10 12 34 14 14 39 48 10 19 21 146 7 163 14 44 27 7 18 8 7 11 13 157 10 12 40 22 9 7 29 0 53 20 7 29 9 47 12 28 28 16 16 15 34 8 21 22 13 12 80 18 9 36 35 9 13 23 21 13 16 9 19 24 11 10 20 124
"open" 3 11 7 7 6 5 1 4 2 8 9 5 1 11 2 5 4 9 3 3 3 17 9 3 6 3 5 10 3 5 2 1 7 4 4 13 5 6 15 18 3 2 11 43 2 52 3 11 3 1 7 2 3 5 4 55 3 2 15 8 2 5 6 53 0 11 4 10 1 11 5 10 10 7 8 6 8 4 5 3 3 3 28 8 8 12 13 2 4 9 9 3 5 1 4 2 2 2 3 41
"ordinary" 1 1 1 2 2 2 1 2 1 5 1 2 1 7 0 4 4 3 1 1 1 6 3 4 2 2 1 1 0 6 2 2 5 2 1 4 3 3 5 7 1 3 2 21 0 25 2 8 2 1 2 0 2 2 1 21 3 3 6 3 0 3 2 20 11 0 2 7 3 7 1 1 4 5 5 1 2 2 2 4 1 3 10 2 2 4 9 1 2 2 1 2 1 3 4 2 1 1 4 19
"plain" 0 2 0 1 0 2 2 1 0 3 1 0 0 2 0 0 1 1 0 0 0 3 2 0 1 0 0 0 2 0 1 2 5 0 0 0 0 1 1 1 0 2 2 10 0 9 0 2 1 0 0 2 0 1 1 10 1 0 1 2 0 1 0 7 4 2 0 4 1 5 0 0 2 2 2 1 1 0 0 3 2 1 4 2 0 1 1 0 1 1 1 2 1 0 1 2 0 0 0 7
"pleasant" 3 3 8 1 2 5 3 1 2 5 6 3 3 6 2 3 5 7 1 7 4 7 8 2 6 5 6 8 0 3 3 3 9 2 2 3 4 4 9 7 3 5 6 36 0 43 5 16 2 1 8 2 1 3 3 34 1 2 8 3 3 3 10 29 10 7 4 0 4 10 0 7 6 2 4 2 6 3 4 9 6 1 18 5 0 5 7 2 6 4 4 3 0 2 5 4 6 2 7 26
"pleased" 1 0 3 1 0 0 0 0 0 2 2 0 1 2 0 0 1 1 1 5 0 3 3 0 0 0 0 0 0 2 0 0 2 0 0 0 1 0 1 2 0 2 0 9 0 8 0 1 2 0 3 0 0 0 1 8 1 1 2 1 1 0 1 9 1 3 1 4 0 4 0 1 4 0 1 0 3 1 1 2 0 2 2 2 0 1 3 0 1 0 0 1 0 0 2 0 1 4 4 8
"poor" 2 8 6 8 3 5 3 7 3 6 5 2 3 6 3 1 5 9 3 7 3 16 9 1 5 2 2 5 2 5 2 2 7 1 1 6 5 1 12 10 2 6 4 36 3 38 3 15 10 2 6 3 5 3 7 53 0 5 10 8 2 4 8 47 11 7 5 10 4 0 1 9 8 4 4 6 11 3 6 11 3 6 19 4 1 8 10 2 11 8 5 2 8 1 7 5 2 4 7 37
"powerful" 0 4 1 2 0 2 0 1 1 3 3 0 0 0 1 1 2 1 1 0 0 0 2 1 1 0 1 1 1 0 1 0 0 1 0 4 2 1 0 5 2 1 0 7 1 10 1 2 3 1 1 0 0 0 0 9 2 1 3 1 0 0 1 12 5 1 0 0 0 1 0 1 4 2 1 2 2 0 3 0 1 0 6 0 1 4 2 1 1 1 2 0 0 1 1 1 0 1 2 7
"pretty" 3 8 5 4 2 3 3 0 1 2 3 3 2 8 3 2 3 4 2 5 2 10 1 0 2 1 0 4 0 0 2 3 1 1 1 7 3 3 8 9 1 3 7 22 1 32 2 11 3 2 6 2 1 2 1 27 1 2 7 5 4 2 7 28 10 1 0 7 1 9 1 0 0 0 6 2 6 1 3 1 2 2 12 2 2 7 5 1 5 1 2 3 2 2 3 4 2 1 4 27
"private" 1 8 4 1 2 6 1 1 2 2 7 0 0 3 4 3 2 11 3 6 3 8 4 0 6 1 4 6 2 4 4 1 2 4 0 8 4 1 2 6 3 2 1 28 1 35 3 8 4 1 4 1 2 1 2 36 1 1 8 5 0 1 5 28 10 4 2 6 4 8 4 0 0 6 1 4 7 2 7 3 3 4 14 5 2 6 4 2 3 3 3 0 1 1 2 3 1 6 6 20
"professional" 0 3 2 0 2 2 0 1 0 2 1 0 0 0 4 2 1 2 1 0 3 5 3 0 4 2 4 2 1 2 3 1 2 1 1 4 3 1 3 3 4 1 3 17 1 17 0 4 2 0 4 1 2 0 1 19 0 1 6 4 0 1 1 16 7 5 2 2 0 4 2 0 6 0 1 2 3 1 4 1 3 3 13 3 0 0 5 2 0 2 6 0 1 2 1 1 1 0 0 10
"proper" 0 3 0 2 3 4 1 2 1 3 1 3 4 3 1 1 2 1 0 4 0 5 4 2 0 2 1 1 2 1 2 2 2 4 2 5 0 5 5 2 0 1 4 19 2 17 0 3 1 1 4 0 2 1 2 20 4 2 4 3 2 3 1 16 8 5 2 4 1 4 1 6 1 1 0 0 6 0 0 0 2 1 10 2 2 0 4 0 1 3 2 4 2 2 3 4 1 0 3 11
"proud" 2 4 2 4 1 1 0 0 2 1 2 0 1 4 2 2 1 4 1 0 0 5 3 0 2 1 2 1 3 1 0 1 4 2 1 4 2 2 4 8 4 0 1 13 1 15 1 10 1 0 0 1 2 1 3 12 1 2 1 4 0 1 2 15 6 1 1 2 0 6 2 2 4 2 0 0 3 0 3 4 2 3 6 0 0 3 1 0 0 3 3 0 0 0 0 0 2 0 2 7
"quiet" 1 6 8 7 4 4 0 1 0 3 5 3 3 4 4 0 4 8 2 7 4 13 8 0 2 3 2 2 2 5 2 3 5 3 1 7 1 0 5 10 3 5 3 29 2 38 1 9 6 2 1 2 3 3 4 34 3 4 8 5 2 2 3 34 8 2 1 6 3 11 2 6 7 3 6 3 0 3 6 7 3 4 24 3 1 6 4 0 1 6 4 3 3 3 6 6 1 2 4 30
"reasonable" 2 1 2 2 1 1 1 0 0 1 2 1 0 1 1 0 0 2 1 2 2 1 2 1 1 2 0 3 0 1 1 0 0 1 1 1 2 1 1 1 0 1 1 6 0 10 0 0 0 0 0 0 1 0 0 8 0 1 3 1 1 0 2 8 4 2 0 3 1 3 0 1 2 1 0 0 3 0 0 2 0 0 6 3 1 1 4 0 1 1 0 0 1 0 1 1 0 2 0 8
"remarkable" 4 6 6 3 2 5 0 1 0 2 4 0 0 3 2 1 2 4 2 3 0 5 3 1 4 3 4 5 0 4 2 1 6 3 4 7 4 1 9 9 3 1 2 20 0 24 2 9 4 1 2 1 2 1 1 24 2 0 4 3 0 0 9 21 5 2 0 4 1 6 3 3 7 4 0 3 6 0 0 1 3 4 16 1 1 4 3 2 1 2 2 1 1 1 4 3 2 3 1 17
"rich" 3 4 3 4 1 2 1 2 1 4 7 1 2 6 0 1 0 3 2 5 0 11 3 1 4 2 2 3 3 2 2 4 1 0 2 1 3 1 7 9 0 8 3 19 0 21 0 9 6 1 2 1 1 2 1 18 1 5 7 3 1 2 5 22 3 4 3 9 2 11 0 1 3 1 0 4 7 2 1 0 2 1 11 3 0 3 5 2 5 3 3 2 0 0 2 6 3 0 2 21
"satisfied" 0 1 1 2 1 5 2 2 1 3 0 0 0 1 0 1 2 3 0 2 0 2 5 0 3 0 4 0 1 2 3 2 3 1 1 2 1 2 5 3 3 2 6 16 1 16 1 4 1 1 2 0 0 2 1 13 1 2 3 1 1 1 3 13 3 1 2 6 0 3 1 2 3 3 2 2 3 0 3 2 0 1 10 1 1 0 2 1 1 2 3 1 1 0 5 1 2 0 2 10
"serious" 0 2 3 1 0 1 1 1 1 0 1 0 1 3 0 1 1 4 2 4 0 2 1 0 0 0 1 1 1 2 1 1 4 0 1 4 2 0 5 2 0 2 1 11 1 14 0 4 1 0 2 0 0 2 1 12 2 1 1 1 0 0 1 12 3 3 1 1 2 6 0 2 4 3 1 3 4 0 4 1 1 0 6 0 1 0 3 1 1 0 0 2 0 1 1 0 0 1 4 11
"short" 5 16 15 7 6 12 3 7 2 14 12 6 2 12 10 5 9 15 4 10 5 25 13 4 10 5 10 9 1 9 7 8 14 6 5 20 7 7 21 16 10 10 9 78 4 84 2 18 9 2 9 4 3 6 3 75 4 7 22 12 7 5 13 80 28 10 4 18 2 19 6 12 14 13 10 6 24 6 16 11 10 6 0 5 4 14 17 7 5 12 12 6 6 4 14 15 10 3 10 63
"smart" 1 5 0 1 2 4 1 1 0 1 4 4 0 2 2 1 1 1 2 3 3 5 3 0 3 2 3 2 1 1 2 0 2 0 1 6 2 2 3 6 0 2 1 19 1 16 0 6 1 1 4 2 0 0 0 15 2 1 2 2 1 1 3 18 8 2 2 5 2 4 0 2 5 3 2 0 3 3 1 3 1 0 5 0 2 3 2 1 2 4 2 1 0 0 2 4 2 1 1 12
"stable" 0 3 1 2 0 2 0 0 0 2 0 1 0 1 0 0 2 2 1 1 1 0 1 1 0 0 0 0 0 0 1 0 2 0 2 2 1 1 1 4 0 0 2 6 1 7 1 1 1 1 0 0 0 0 1 8 1 0 3 2 1 0 1 9 8 2 0 0 0 1 1 2 2 0 2 0 1 1 1 0 1 1 4 2 0 1 0 1 0 1 1 2 1 0 2 0 2 1 2 6
"strange" 2 9 8 6 4 0 0 1 1 7 6 3 0 4 4 2 6 8 2 2 2 10 4 2 5 4 0 5 3 0 1 2 5 2 1 14 4 2 4 10 4 4 4 28 0 31 2 3 6 3 6 1 2 1 3 30 4 5 6 5 3 3 5 36 12 4 1 5 1 8 4 7 6 0 0 3 6 1 4 3 0 0 14 3 1 0 8 2 4 9 3 2 2 4 4 6 1 1 2 20
"strong" 4 5 5 3 4 3 2 3 2 7 3 1 3 5 2 4 2 5 1 4 2 8 3 2 1 4 1 7 1 3 2 1 0 0 6 6 6 2 7 7 2 5 5 28 1 34 2 7 1 0 4 0 1 3 0 35 3 2 9 3 1 3 7 35 13 9 1 7 3 10 2 5 4 5 4 1 4 4 3 5 2 3 17 2 0 8 0 2 4 5 5 1 3 0 4 6 1 4 2 26
"surprised" 0 3 1 0 2 1 1 1 0 2 2 0 0 1 0 0 1 3 1 0 0 1 0 0 2 0 2 2 0 0 1 0 4 1 0 4 1 1 3 4 0 1 2 8 0 9 0 2 1 0 1 0 1 0 0 8 0 0 2 1 0 0 1 9 2 1 0 2 0 2 1 1 2 2 0 0 0 0 2 2 1 1 7 1 1 2 2 0 1 0 0 0 1 1 0 3 0 0 1 9
"sweet" 1 2 1 3 0 3 1 1 1 3 7 2 1 5 0 0 3 5 1 1 0 8 1 0 3 1 0 4 0 2 2 3 0 0 0 1 2 1 2 2 0 4 4 16 2 16 1 4 2 0 5 1 2 3 1 16 1 1 5 1 1 5 4 13 4 2 1 6 1 11 1 5 3 0 1 0 1 1 1 5 1 1 5 2 0 4 4 1 0 2 1 0 3 1 3 4 2 4 2 17
"tall" 2 7 3 2 4 3 0 1 1 1 3 3 1 3 1 1 3 5 1 5 1 8 5 4 3 3 3 1 1 3 2 1 3 2 0 6 4 1 3 8 2 1 3 18 0 20 3 3 3 3 0 1 2 1 1 20 2 1 6 6 2 1 7 23 9 2 1 4 0 8 1 1 3 2 3 3 6 1 2 3 2 0 12 4 1 9 5 0 2 0 8 1 1 1 4 4 0 0 3 12
"thin" 0 3 2 4 3 3 0 2 1 3 1 2 3 4 4 4 2 3 2 2 3 7 5 1 2 2 3 4 1 2 1 1 3 1 1 5 0 1 4 6 0 2 2 16 2 17 1 9 4 1 1 0 1 0 2 19 0 1 5 2 1 1 3 21 9 1 1 4 0 5 2 2 3 6 2 3 4 0 2 3 3 0 12 2 1 3 5 0 1 8 0 0 3 0 2 1 1 1 2 11
"tired" 0 1 2 1 0 1 0 1 0 3 0 1 2 1 0 0 0 3 0 3 2 1 0 0 2 1 0 2 1 0 1 1 3 0 1 2 1 2 4 1 1 1 1 10 0 11 1 1 1 1 2 0 0 0 2 11 1 1 2 1 1 0 1 13 3 2 2 3 1 2 0 3 0 0 4 0 3 0 1 2 1 2 6 1 2 2 1 0 0 1 0 0 1 0 2 2 0 0 2 7
"unhappy" 0 1 1 1 3 3 0 0 2 5 3 0 0 2 0 0 2 0 1 4 1 4 4 1 1 2 0 1 0 2 1 1 2 3 2 2 0 1 3 4 1 2 3 10 3 14 0 6 3 1 4 0 2 2 3 14 0 0 5 2 2 1 1 16 5 1 1 0 0 8 0 2 1 1 2 0 3 1 1 0 1 0 6 0 1 2 3 1 3 1 3 1 0 2 3 3 2 1 0 13
"unusual" 0 1 1 0 2 2 0 0 1 4 2 0 0 2 0 0 2 2 1 1 1 3 2 0 1 2 1 2 1 1 0 1 2 0 0 4 1 1 1 3 1 2 4 10 1 11 0 2 0 0 2 1 0 0 1 14 4 1 0 2 2 0 3 9 1 3 0 2 0 1 1 2 1 2 2 0 3 0 1 0 0 1 4 0 0 4 0 1 1 1 0 0 2 0 0 2 0 0 1 8
"violent" 2 4 3 3 2 3 1 1 1 3 2 0 1 2 1 3 0 6 0 3 1 5 3 5 3 2 1 1 0 0 1 3 1 3 0 6 1 1 3 3 2 4 2 20 1 18 1 7 4 2 2 0 0 3 2 21 1 2 8 1 3 2 3 19 4 4 1 5 2 7 1 3 2 1 3 0 6 1 4 2 5 1 14 2 2 4 4 0 3 4 2 2 3 0 0 4 1 1 4 13
"warm" 0 6 3 2 5 5 2 2 0 4 8 4 2 5 4 0 1 4 1 4 1 10 3 1 3 5 1 3 1 2 2 2 5 2 2 5 3 1 4 8 2 3 3 19 2 22 1 8 1 2 2 1 0 3 1 20 2 0 8 1 4 0 3 24 2 2 2 4 0 5 1 4 3 1 4 0 6 1 3 6 1 0 15 4 0 6 6 3 4 4 1 2 3 2 4 0 3 1 2 21
"wise" 0 1 0 2 0 4 0 1 0 1 3 0 1 1 0 0 2 1 0 2 0 2 3 1 1 1 2 1 0 1 0 0 3 1 2 1 3 1 4 3 1 2 2 12 1 11 1 2 1 1 4 0 1 2 0 10 0 0 4 2 2 3 2 11 2 1 0 6 1 2 0 2 1 1 1 2 1 0 2 3 2 0 10 2 2 1 1 0 2 0 1 0 2 0 1 3 0 0 1 8
"wonderful" 1 1 4 2 0 2 0 1 0 3 3 0 1 1 1 0 1 3 1 3 2 3 2 0 2 0 0 3 0 3 0 0 0 0 0 3 2 0 2 3 0 2 2 11 0 11 1 0 2 0 3 0 0 1 1 11 3 0 3 0 0 1 2 10 2 1 0 2 4 4 1 1 6 0 0 0 2 2 3 0 0 1 3 1 1 1 4 0 4 0 1 0 1 0 1 1 0 0 3 8
"worthy" 0 3 2 0 0 5 1 2 2 3 3 0 0 1 0 1 3 0 1 3 1 5 3 1 1 1 1 1 0 1 3 2 3 1 0 3 1 2 3 4 0 1 2 17 1 20 2 4 1 2 4 1 1 3 1 16 1 2 6 4 3 1 4 20 3 4 0 7 4 7 2 4 6 0 3 2 4 0 1 2 2 4 10 1 2 2 2 1 2 3 2 2 0 1 4 2 1 3 0 14
"young" 6 22 19 11 8 21 7 11 4 22 23 11 5 20 11 5 11 24 8 17 10 35 24 4 15 8 8 15 4 13 10 8 19 6 14 17 13 6 32 34 10 13 22 118 8 125 10 32 18 6 18 7 8 9 8 123 8 11 31 22 9 10 25 124 41 19 7 26 8 37 7 27 20 10 11 7 30 8 17 21 10 11 63 12 6 20 26 9 17 12 11 7 13 8 13 21 8 8 14 0
