"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "attentive" "awful" "bad" "beautiful" "bitter" "blind" "brave" "bright" "busy" "calm" "careless" "certain" "cheerful" "cold" "compassionate" "confident" "confused" "cool" "cruel" "curious" "dangerous" "determined" "difficult" "direct" "eager" "expressive" "extraordinary" "fair" "faithful" "familiar" "fine" "friendly" "gentle" "glad" "good" "gracious" "great" "handsome" "happy" "hard" "healthy" "honest" "ignorant" "important" "innocent" "interested" "kind" "little" "lonely" "loud" "natural" "old" "open" "original" "plain" "pleasant" "polite" "poor" "popular" "powerful" "pretty" "private" "prosperous" "quiet" "remarkable" "rich" "rough" "satisfied" "short" "strange" "strong" "sweet" "tall" "terrible" "thankful" "thin" "troubled" "unhappy" "unusual" "useful" "violent" "weak" "well" "wonderful" "worthy" "young"
"quiet" 2 2 1 2 2 1 1 2 2 3 1 2 1 6 1 3 0 6 4 6 1 1 2 4 4 2 4 2 2 1 2 2 0 1 0 0 3 2 1 3 14 1 18 1 6 5 1 3 2 0 2 0 1 19 1 5 1 15 4 1 2 3 1 8 0 2 3 1 1 0 3 3 3 0 5 7 9 5 0 2 2 1 0 2 0 4 0 0 3 3 0 9
"remarkable" 1 0 1 3 2 2 3 1 2 2 2 2 4 5 1 1 2 2 1 3 0 1 0 2 2 1 2 0 4 1 0 1 2 1 1 1 1 0 3 1 13 1 10 6 3 6 0 0 2 1 1 2 2 15 0 2 2 9 3 1 0 1 2 6 1 0 3 0 1 3 0 0 1 1 3 1 8 1 2 2 1 2 2 1 1 3 0 0 0 1 2 8
"rich" 0 1 0 1 1 1 0 1 3 1 0 0 0 0 0 1 0 5 0 0 1 1 0 1 2 1 0 0 0 1 0 0 0 1 0 0 3 1 0 0 4 2 5 0 2 0 0 0 0 0 3 0 0 6 0 1 1 5 2 1 1 1 2 2 0 1 2 2 1 3 0 0 2 0 2 1 4 2 0 0 0 0 1 0 0 1 0 0 0 4 0 1
"rough" 0 0 0 0 0 1 0 0 3 0 0 0 0 2 1 0 0 3 0 3 0 1 0 0 2 2 1 0 0 1 1 0 1 2 0 0 3 2 0 1 11 1 9 1 2 0 0 1 1 2 2 0 0 10 1 1 3 7 2 1 1 0 2 3 0 2 1 0 1 3 1 2 0 0 3 4 4 0 3 4 0 0 1 2 0 1 0 0 0 1 1 3
"satisfied" 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 1 0 2 0 0 1 0 1 0 0 0 2 0 0 0 0 0 1 2 1 0 1 1 0 1 6 0 3 0 2 0 0 0 0 1 0 0 0 5 0 0 1 4 2 0 1 0 0 2 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 1 2 1 0 2
"short" 2 6 1 4 2 4 2 0 7 2 3 2 1 5 2 1 1 9 1 9 3 0 1 0 2 1 2 2 5 2 3 0 1 4 0 1 4 1 1 0 23 1 20 0 2 8 3 5 0 2 3 2 2 26 0 1 4 17 10 1 3 3 0 6 1 0 5 2 0 5 3 2 3 1 0 2 11 3 3 3 3 1 2 2 1 1 3 4 4 2 1 11
"strange" 1 1 0 1 1 3 0 1 2 3 0 0 0 5 2 0 1 3 1 4 0 2 1 1 2 4 1 0 4 2 0 1 0 5 0 1 1 1 1 2 10 0 8 0 5 4 0 1 2 1 4 1 0 13 1 2 2 9 2 3 5 1 2 7 1 2 2 1 2 7 1 1 4 0 2 0 5 1 1 2 1 0 1 1 0 1 0 2 0 2 2 7
"strong" 2 7 2 3 3 7 2 2 8 7 2 3 4 8 5 3 4 5 1 8 2 4 3 1 3 6 4 2 5 1 4 0 2 3 2 2 5 4 3 3 32 3 32 5 7 7 3 3 2 2 10 3 4 34 1 4 7 30 14 3 2 3 3 19 2 1 6 6 3 9 8 4 4 1 11 5 0 5 2 5 2 4 5 3 3 5 2 5 4 5 6 18
"sweet" 0 2 0 2 0 1 0 2 3 4 0 0 2 2 0 1 0 2 1 3 2 0 0 2 0 1 1 1 0 0 0 0 0 1 2 0 0 0 4 2 8 1 7 0 1 4 0 1 1 0 3 0 0 10 1 2 1 10 2 0 0 2 0 9 0 0 2 0 1 5 1 2 0 0 3 1 5 0 1 1 1 2 0 0 0 2 0 2 1 1 0 6
"tall" 0 0 1 0 0 1 0 0 1 1 1 0 1 4 0 0 0 0 0 3 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 2 0 0 0 4 1 5 1 1 2 0 0 1 0 0 0 1 8 2 2 1 3 2 1 0 1 1 5 0 0 1 0 0 0 2 0 3 0 3 1 2 1 0 1 0 3 1 1 0 0 0 0 0 0 2 2
"terrible" 0 1 0 1 2 0 1 0 4 0 2 2 2 0 2 0 0 1 1 4 0 0 1 1 2 2 1 1 1 1 2 0 1 3 2 0 0 0 1 1 10 0 8 1 0 5 1 2 0 2 3 1 0 10 0 3 2 9 5 0 2 0 1 2 1 0 2 1 1 2 2 0 4 0 3 2 5 1 1 0 0 1 1 2 0 1 0 0 0 0 0 6
"thankful" 1 3 0 1 0 2 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 1 4 0 3 0 0 1 1 0 0 0 1 1 0 5 0 0 1 2 1 0 0 0 0 2 0 0 0 0 0 2 1 0 0 0 3 1 2 1 0 0 0 0 0 0 1 1 2 1 1 1 0 2
"thin" 0 0 1 0 0 0 1 1 1 0 1 1 2 1 1 1 1 1 0 1 0 0 0 3 1 1 0 0 1 1 0 0 1 1 0 0 3 0 1 0 7 0 7 3 0 1 0 2 0 0 0 1 0 9 2 2 1 4 2 2 0 0 1 3 0 0 1 0 0 1 2 0 0 1 1 0 4 2 3 1 0 0 1 0 1 0 0 0 0 0 0 1
"troubled" 1 1 0 1 0 3 2 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 0 2 2 0 0 3 1 0 0 0 0 0 1 1 0 0 0 5 1 5 0 1 1 1 0 0 0 2 1 2 5 0 0 1 3 1 0 0 1 0 3 1 0 2 0 0 0 2 1 1 0 2 1 5 0 1 1 0 1 0 0 1 0 0 0 0 0 1 1
"unhappy" 0 0 0 1 0 1 0 0 2 1 0 0 1 3 1 0 1 2 1 1 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 0 1 1 1 1 9 1 4 2 4 1 0 0 1 0 3 1 1 9 0 0 3 7 3 0 3 0 0 5 0 0 2 1 0 2 1 0 2 0 2 1 3 0 1 2 0 0 0 0 0 1 0 0 0 0 0 4
"unusual" 0 1 1 0 0 1 1 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 4 0 4 0 1 0 0 0 0 0 0 3 1 4 0 0 1 3 1 1 0 1 0 1 1 0 0 0 0 0 1 0 0 1 1 0 3 0 0 0 1 1 1 0 0 0 0 1 0 1 0 2
"useful" 2 1 1 1 1 3 0 0 0 3 1 0 1 2 0 1 1 2 2 2 1 0 1 1 1 1 2 0 2 0 0 1 2 1 2 1 2 2 2 1 9 2 7 2 3 1 1 0 1 1 0 0 2 9 1 0 2 8 3 0 0 1 1 5 0 0 2 0 2 4 3 1 1 1 1 1 5 2 0 1 1 0 0 1 0 0 1 1 2 3 0 4
"violent" 1 2 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 2 0 1 0 1 0 0 0 1 0 0 0 2 0 4 1 1 1 1 1 0 0 0 1 0 4 1 0 1 3 3 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 3 0 2 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1
"weak" 0 3 1 1 0 2 0 1 3 4 0 0 1 2 0 0 0 0 0 1 1 1 2 0 1 1 0 0 1 1 0 1 0 2 1 2 1 1 1 0 10 1 8 0 1 2 0 0 0 0 3 0 1 9 2 0 1 7 5 1 3 0 0 5 1 1 1 3 0 0 0 0 0 1 4 2 5 2 0 0 1 0 0 0 1 1 0 0 1 0 2 7
"well" 1 3 1 0 2 1 0 0 0 2 0 0 0 0 1 0 0 1 0 0 1 0 2 0 0 1 2 0 0 0 0 0 1 1 0 0 0 2 0 1 6 1 5 0 1 1 1 0 0 2 0 0 2 8 0 1 1 4 5 0 1 1 0 2 0 0 0 1 0 3 0 0 0 2 4 0 4 1 0 0 1 0 0 0 0 2 0 1 0 1 0 3
"wonderful" 0 2 2 1 1 0 0 0 3 2 0 0 0 1 1 0 0 4 1 0 2 0 2 1 1 2 2 0 1 0 0 1 1 2 0 1 2 1 0 0 3 1 6 0 3 1 0 1 0 1 3 0 0 8 1 0 2 7 5 1 1 3 2 4 0 0 2 2 1 3 1 4 1 1 2 2 5 1 0 0 1 0 0 0 1 3 0 0 1 0 0 3
"worthy" 0 0 0 1 1 2 0 0 4 1 0 1 0 4 0 0 1 0 0 1 0 2 0 0 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 0 6 2 4 0 1 1 0 0 1 1 2 0 1 6 1 0 1 4 1 1 1 2 1 3 1 1 1 2 1 0 2 0 1 0 1 2 6 0 2 0 0 0 1 0 0 0 0 2 0 0 0 4
"young" 0 6 2 3 6 6 2 2 9 6 2 3 1 10 4 1 7 11 2 11 4 2 4 0 2 3 3 2 8 3 5 3 1 6 3 3 3 1 3 4 31 2 30 4 7 10 2 6 2 2 5 1 4 38 1 6 9 30 10 2 5 4 2 17 5 1 9 2 2 9 8 1 3 2 11 7 18 6 2 6 2 1 1 4 2 4 1 7 3 3 4 0
