"active" "afraid" "agreeable" "alone" "angry" "anxious" "awake" "bad" "beautiful" "bitter" "blind" "bold" "brave" "bright" "busy" "careful" "careless" "certain" "cheerful" "cold" "comfortable" "cool" "cruel" "curious" "dangerous" "delighted" "difficult" "extraordinary" "fair" "familiar" "fine" "foolish" "friendly" "gentle" "glad" "good" "gracious" "great" "handsome" "happy" "hard" "honest" "impatient" "important" "innocent" "kind" "little" "lonely" "loud" "mean" "natural" "old" "open" "ordinary" "original" "patient" "plain" "pleasant" "poor" "popular" "pretty" "private" "proper" "proud" "quiet" "reckless" "religious" "remarkable" "rich" "rough" "sad" "sensible" "serious" "short" "stable" "strange" "strong" "surprised" "sweet" "tall" "terrible" "thoughtful" "tired" "unhappy" "unusual" "violent" "warm" "weak" "well" "wise" "worthy" "young"
"rough" 2 2 0 2 3 2 1 3 1 0 3 6 2 6 1 0 1 5 2 7 1 2 1 0 2 2 2 0 1 0 5 1 1 2 7 21 1 15 1 2 2 3 2 1 1 2 14 2 1 1 3 14 6 2 1 1 2 5 5 1 2 1 2 5 8 2 0 2 0 0 0 1 1 6 1 5 6 1 2 1 0 0 0 0 2 2 3 0 1 1 3 9
"sad" 0 4 2 4 0 0 1 3 1 0 0 1 1 7 4 3 1 5 4 6 1 2 2 2 0 1 1 0 4 4 1 1 0 1 6 15 0 13 6 6 2 2 0 0 1 1 12 2 0 1 0 13 7 0 6 3 1 2 8 0 2 1 1 3 5 1 0 2 2 0 0 1 1 9 0 9 5 0 0 4 2 1 0 3 0 2 1 0 2 1 1 5
"sensible" 0 1 1 3 0 0 0 3 0 1 1 0 1 1 0 0 0 2 0 3 1 1 0 1 1 1 0 1 1 0 3 1 1 3 2 4 0 7 1 1 1 3 1 0 0 0 7 2 0 0 2 6 1 1 1 0 1 4 3 1 0 1 0 0 2 1 0 0 0 1 1 0 1 4 0 0 2 0 2 0 1 0 0 1 1 0 3 0 1 0 1 4
"serious" 1 2 1 2 0 0 2 3 1 0 0 3 1 3 1 0 1 5 3 7 2 1 1 1 2 1 2 3 1 1 3 2 1 3 7 10 2 15 5 4 2 1 0 1 0 2 14 0 2 0 5 12 4 1 0 1 1 4 7 1 2 3 1 2 8 2 1 0 2 1 1 1 0 6 1 3 5 1 1 3 2 1 2 0 1 0 1 2 0 0 1 7
"short" 3 5 5 12 7 6 2 10 0 5 5 13 5 19 6 4 2 19 9 18 5 5 5 3 3 3 6 5 9 4 12 4 4 7 19 53 2 58 11 14 15 9 2 6 3 4 54 5 4 1 12 46 19 5 12 3 7 8 29 5 6 12 2 9 15 4 4 6 9 6 9 4 6 0 5 20 23 3 4 9 5 3 5 6 5 2 6 4 6 6 4 34
"stable" 3 1 0 2 1 2 1 3 0 1 2 2 1 9 1 3 1 4 4 2 0 1 1 2 0 1 1 3 3 0 2 1 1 3 1 16 1 17 1 5 1 2 0 0 2 2 14 0 2 0 2 14 3 3 0 1 2 2 8 2 0 3 1 6 5 2 1 5 3 1 0 0 1 5 0 4 11 2 0 0 3 3 0 1 1 0 2 0 2 3 1 10
"strange" 3 3 2 12 4 3 3 3 3 3 4 8 2 12 9 3 1 12 8 6 2 4 2 4 2 0 3 3 3 7 6 1 2 4 8 38 0 34 6 8 6 6 1 2 2 5 33 5 3 1 5 36 8 3 6 3 2 7 15 3 2 6 3 6 16 2 2 5 3 5 9 0 3 20 4 0 22 5 1 5 4 2 3 2 6 3 3 2 1 5 4 15
"strong" 9 2 2 8 2 7 3 10 2 2 10 12 7 19 12 4 2 20 10 13 4 5 4 2 3 3 4 6 8 5 11 4 7 8 9 58 6 65 6 11 7 7 4 2 4 7 55 3 12 1 5 56 13 3 7 5 5 6 27 4 4 8 4 7 20 3 5 10 5 6 5 2 5 23 11 22 0 4 2 9 14 3 7 3 6 6 4 5 2 6 3 31
"surprised" 3 2 1 4 0 3 2 2 2 0 3 3 2 5 1 0 1 4 2 4 1 1 0 4 1 1 2 1 1 0 4 3 2 2 3 13 1 11 4 1 3 2 1 2 2 0 12 1 3 1 5 11 2 1 2 0 2 2 6 0 0 2 0 1 3 1 1 3 0 1 0 0 1 3 2 5 4 0 1 1 1 0 1 1 1 2 1 3 1 2 1 7
"sweet" 0 3 1 0 1 0 0 1 4 2 3 1 3 5 2 1 0 5 1 4 2 2 1 1 1 1 4 0 0 1 6 2 0 5 1 11 2 12 2 5 1 2 1 0 0 0 13 1 2 2 4 8 3 0 2 0 0 5 8 0 2 1 2 4 3 1 0 1 0 2 0 2 1 4 0 1 2 1 0 1 1 1 1 1 1 1 1 1 0 1 2 7
"tall" 1 1 1 5 0 2 2 4 1 1 0 6 2 6 3 0 1 8 6 7 1 3 2 1 1 1 2 1 4 3 2 0 1 2 4 14 2 18 3 5 1 1 1 1 1 1 15 3 3 0 1 14 3 0 2 3 1 2 6 1 1 4 1 1 3 0 0 1 2 1 4 0 3 9 0 5 9 1 1 0 1 1 3 0 0 1 1 1 0 3 2 8
"terrible" 5 5 0 5 0 1 0 1 1 0 4 2 2 8 7 4 0 1 3 3 0 2 2 1 1 2 4 2 2 1 0 1 2 1 2 19 1 22 2 3 3 1 1 0 2 1 18 3 3 0 1 16 5 2 1 2 4 2 7 0 2 3 2 2 10 3 1 3 3 0 2 1 2 5 3 4 14 1 1 1 0 2 1 2 1 2 1 4 0 2 1 6
"thoughtful" 2 1 1 5 1 1 2 0 1 2 1 2 0 4 4 1 1 0 1 2 1 3 0 0 0 0 2 2 0 0 2 2 0 3 2 12 1 8 1 3 2 1 1 0 1 1 10 0 0 1 3 10 2 0 1 1 2 2 5 1 2 1 0 2 5 0 1 1 4 0 1 0 1 3 3 2 3 0 1 1 2 0 0 0 0 1 0 2 0 3 1 4
"tired" 1 1 0 0 2 4 0 3 0 0 0 1 1 2 1 0 0 6 1 5 0 0 1 1 0 0 2 2 0 1 3 2 1 2 2 10 2 11 0 1 1 1 0 2 1 2 11 1 2 0 2 9 4 1 2 1 1 0 8 0 1 2 0 2 3 0 0 0 1 0 0 0 2 5 0 3 7 1 1 3 1 0 0 0 1 0 1 0 2 0 2 3
"unhappy" 1 2 1 2 2 0 1 3 1 0 1 1 0 2 1 0 0 2 2 2 1 0 1 1 1 0 1 0 2 1 2 1 0 2 2 12 1 12 4 3 3 4 0 0 1 1 11 0 1 1 0 6 4 0 3 0 1 1 8 0 0 3 0 4 5 0 0 0 0 0 3 1 0 6 1 2 3 1 1 0 2 0 0 0 1 1 1 1 0 0 2 8
"unusual" 3 0 0 3 2 1 2 1 0 0 3 2 1 4 3 0 1 5 1 2 1 1 1 1 2 0 2 2 0 1 3 0 1 3 1 14 1 15 2 1 2 2 0 1 0 3 12 1 1 0 4 13 3 1 2 0 3 1 3 1 0 2 1 1 2 1 0 0 1 2 0 1 1 5 1 6 6 1 1 0 1 0 1 1 0 1 1 0 0 1 2 6
"violent" 2 2 0 2 1 1 1 1 2 1 2 2 1 1 3 0 3 3 3 1 1 0 2 0 1 0 1 0 0 2 0 0 2 1 1 12 1 11 1 3 1 2 1 0 0 1 11 0 3 0 1 10 4 0 1 1 2 3 4 0 0 0 1 1 4 1 1 3 0 2 2 0 0 2 0 3 6 2 1 1 2 1 0 1 1 0 0 0 0 1 0 4
"warm" 3 2 2 5 1 0 1 4 0 1 1 1 1 4 3 0 3 4 4 8 2 4 2 1 1 1 0 1 4 0 3 2 1 2 4 14 0 12 1 4 3 2 1 1 0 2 14 1 1 0 5 14 4 3 1 0 3 6 6 0 0 2 2 1 4 2 1 2 3 3 1 3 1 6 2 3 4 1 1 1 1 0 1 1 1 0 0 1 2 1 1 7
"weak" 2 1 1 3 2 1 0 0 1 1 2 3 2 1 1 2 0 3 1 2 0 0 1 2 3 2 1 0 2 0 2 2 1 3 4 11 1 12 1 1 2 2 1 1 2 2 10 0 4 0 2 9 4 0 2 0 1 3 6 0 2 1 1 4 3 0 2 1 1 0 0 0 2 4 0 2 5 3 1 1 4 2 0 1 0 0 1 0 0 3 1 8
"well" 0 2 2 1 2 2 0 3 1 0 0 1 0 6 0 0 1 5 3 3 0 0 0 1 0 0 1 2 3 1 0 1 1 1 3 11 1 8 2 1 3 2 1 1 0 1 10 1 0 0 2 8 4 1 2 1 3 3 4 1 0 1 0 2 2 0 0 3 1 1 2 1 0 6 2 1 2 1 0 0 0 0 2 0 0 0 2 0 0 1 0 9
"wise" 2 1 1 3 1 4 0 3 1 1 5 3 2 5 3 0 1 8 4 2 1 4 1 1 1 2 0 0 4 3 3 0 1 2 3 13 0 13 1 2 3 1 1 2 2 1 16 0 1 0 4 12 5 0 1 2 2 2 7 0 1 3 0 1 4 1 2 0 3 1 1 0 0 6 3 5 6 2 1 3 2 3 0 0 1 1 1 3 1 0 1 8
"worthy" 2 5 1 2 1 4 1 4 1 0 4 4 2 3 1 0 0 7 1 6 2 3 2 1 0 3 5 1 3 1 4 1 3 2 4 24 0 21 1 3 4 8 1 0 1 2 16 2 2 0 3 17 6 1 0 0 3 1 3 1 1 3 2 4 5 1 0 1 2 3 1 1 1 4 1 4 3 1 2 2 1 1 2 2 2 0 1 1 0 1 0 12
"young" 6 12 8 14 8 9 4 17 8 6 10 17 8 20 6 4 8 25 16 18 6 9 4 6 3 7 9 8 18 0 13 3 9 15 21 86 8 85 19 13 17 17 4 4 5 8 75 5 8 4 15 76 26 5 11 4 9 18 41 2 6 14 5 15 23 6 5 9 9 9 5 4 7 34 10 15 31 7 7 8 6 4 3 8 6 4 7 8 9 8 12 0
