"active" "affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "bad" "beautiful" "busy" "calm" "capable" "certain" "cheerful" "clever" "cold" "comfortable" "delighted" "delightful" "desirable" "determined" "difficult" "eager" "excellent" "extraordinary" "fair" "fine" "foolish" "friendly" "generous" "gentle" "genuine" "glad" "good" "grateful" "great" "handsome" "happy" "honest" "impatient" "important" "independent" "interested" "interesting" "kind" "little" "lively" "lovely" "modest" "natural" "nice" "old" "open" "pleasant" "pleased" "pleasing" "poor" "pretty" "private" "proper" "quiet" "reasonable" "respectable" "rich" "sad" "satisfied" "selfish" "sensible" "serious" "short" "strange" "strong" "surprised" "sweet" "tall" "terrible" "thankful" "tired" "unhappy" "unlucky" "unreasonable" "useful" "valuable" "warm" "wonderful" "young"
"good" 9 7 19 34 14 16 25 15 32 5 9 6 15 16 9 13 11 17 8 14 9 14 8 13 16 7 20 31 5 9 6 15 6 39 0 12 94 16 60 4 9 13 7 6 9 27 109 14 6 11 27 10 37 16 32 25 6 38 22 12 21 16 7 13 8 9 31 9 14 20 39 9 31 16 15 5 6 9 7 9 7 8 27 4 17 9 64
"grateful" 0 1 4 3 1 2 3 3 3 0 0 0 1 0 0 3 1 1 0 2 2 2 1 0 4 1 1 2 1 0 0 1 0 5 12 0 8 0 9 0 0 1 0 0 1 5 9 2 0 1 5 3 3 5 5 3 1 3 1 0 5 1 0 1 1 1 4 1 4 3 2 1 2 1 2 0 0 2 0 1 0 0 3 0 2 1 9
"great" 8 8 16 33 11 13 25 12 24 5 9 6 15 13 6 9 6 16 8 12 10 13 6 11 16 5 23 27 5 10 5 14 5 34 94 8 0 9 52 4 9 10 7 9 9 28 95 13 6 11 22 10 32 16 23 19 6 34 22 15 18 16 6 13 5 9 27 6 16 20 34 7 30 12 12 5 5 8 8 9 6 7 24 6 16 8 53
"handsome" 1 0 2 3 1 3 2 2 5 1 0 0 2 3 2 2 5 3 2 0 1 0 1 1 0 2 3 5 1 1 2 1 0 6 16 0 9 0 7 2 0 3 2 0 3 3 13 2 1 0 2 1 6 2 3 3 1 6 7 3 0 1 0 3 2 1 2 2 0 2 5 0 1 3 3 3 2 1 0 2 1 1 1 1 3 2 8
"happy" 4 7 15 20 7 8 13 7 14 3 5 4 8 6 5 7 7 12 5 8 6 10 5 8 9 2 9 13 3 4 3 6 5 24 60 9 52 7 0 3 8 5 4 5 7 18 64 11 4 9 20 7 16 11 18 15 3 23 12 4 13 12 7 5 3 4 16 4 7 14 20 6 15 6 8 3 4 1 3 6 4 6 16 2 12 5 38
"honest" 0 0 0 2 0 0 2 0 2 1 0 0 1 1 1 1 1 2 1 0 1 2 0 0 0 0 2 2 0 2 0 0 0 2 4 0 4 2 3 0 0 0 1 0 0 0 5 2 1 0 2 0 0 2 2 2 1 4 1 0 1 0 2 0 1 0 2 0 0 2 0 0 3 0 1 1 0 1 1 1 0 0 0 0 0 0 1
"impatient" 3 1 3 1 1 1 4 2 2 1 2 0 0 0 3 0 0 2 1 1 0 1 0 3 2 0 3 2 1 0 0 0 1 3 9 0 9 0 8 0 0 3 0 1 1 4 9 0 0 2 3 2 3 0 2 2 0 4 1 0 2 3 1 1 0 1 2 0 0 1 3 0 2 1 0 0 0 1 1 0 0 0 5 1 0 0 6
"important" 3 2 2 3 2 1 5 5 3 0 1 1 0 1 0 3 0 1 0 4 2 2 1 3 0 1 3 3 0 3 1 0 1 6 13 1 10 3 5 0 3 0 1 0 2 5 10 1 1 2 5 0 7 0 2 1 0 6 4 4 3 1 2 0 0 1 2 2 2 3 4 0 4 1 3 1 0 1 0 1 1 0 5 0 1 3 7
"independent" 0 1 1 3 1 0 2 1 1 1 0 1 3 1 1 0 2 4 0 0 1 5 0 0 1 0 0 2 0 1 0 1 0 3 7 0 7 2 4 1 0 1 0 1 0 2 9 2 1 1 3 1 3 1 4 4 1 0 2 3 2 0 1 3 0 0 2 0 1 2 5 0 5 0 1 1 1 1 0 0 1 0 0 0 1 1 4
"interested" 1 0 2 1 0 0 0 0 2 0 1 0 2 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 1 0 2 1 6 0 9 0 5 0 1 0 1 0 1 0 7 2 0 1 4 0 3 2 1 3 0 3 1 0 3 3 0 0 0 0 2 1 3 1 3 0 2 2 1 1 0 0 0 1 0 1 4 0 1 2 6
"interesting" 1 2 2 4 0 2 2 1 3 1 1 1 1 2 0 1 1 2 1 3 0 1 1 1 2 1 2 3 2 1 1 1 1 5 9 1 9 3 7 0 1 2 0 1 0 4 8 0 1 3 2 0 4 4 3 3 0 3 3 3 1 2 2 0 1 1 2 0 2 3 3 1 2 3 1 2 1 0 0 0 1 1 3 2 1 0 6
"kind" 2 3 3 8 3 4 4 3 5 1 1 1 2 2 1 3 4 6 5 3 4 3 1 3 4 4 5 3 0 2 1 2 0 10 27 5 28 3 18 0 4 5 2 0 4 0 21 5 2 3 7 2 5 4 8 6 1 5 3 4 4 1 5 4 2 3 7 3 4 6 6 0 9 3 4 1 0 0 2 2 1 0 6 3 5 2 13
"little" 10 10 23 30 14 15 29 16 31 7 7 5 19 17 11 11 14 21 9 14 10 14 9 13 15 7 23 32 6 10 5 15 7 43 109 9 95 13 64 5 9 10 9 7 8 21 0 14 6 14 26 10 39 15 26 18 6 47 20 13 20 19 10 14 7 11 32 8 16 20 37 8 31 14 13 7 8 8 10 10 6 9 25 4 18 10 63
"lively" 1 1 5 6 1 1 3 0 2 1 0 1 2 2 2 1 4 3 2 0 2 2 1 2 0 0 3 4 0 1 0 1 1 7 14 2 13 2 11 2 0 1 2 2 0 5 14 0 0 0 7 0 7 4 7 5 2 6 5 2 4 1 1 2 1 0 4 1 3 5 6 0 8 4 2 2 1 0 0 2 2 0 1 0 7 1 12
"lovely" 1 1 2 5 2 1 1 1 1 1 1 0 2 0 1 0 1 2 0 2 0 2 0 1 0 0 1 3 0 1 0 3 0 3 6 0 6 1 4 1 0 1 1 0 1 2 6 0 0 1 0 0 3 2 2 2 1 2 2 1 1 1 1 0 0 2 3 1 0 0 2 1 1 0 2 0 0 0 0 0 1 2 0 1 1 1 2
"modest" 2 3 1 4 1 0 2 4 6 0 2 2 4 2 1 2 0 0 0 2 2 0 1 2 5 0 5 2 3 1 0 2 0 2 11 1 11 0 9 0 2 2 1 1 3 3 14 0 1 0 2 0 6 0 4 5 1 6 4 0 5 2 1 2 0 3 5 0 2 4 1 1 3 0 1 1 0 0 0 1 1 0 2 2 2 2 9
"natural" 3 3 7 12 2 3 6 3 6 2 3 3 5 7 4 2 5 7 3 5 1 6 3 5 3 1 5 6 0 4 3 2 2 15 27 5 22 2 20 2 3 5 3 4 2 7 26 7 0 2 0 2 12 6 10 5 2 11 7 1 8 5 3 3 2 2 9 1 5 5 12 2 10 6 5 2 1 1 1 4 0 1 10 2 5 5 17
"nice" 0 1 2 5 1 1 0 3 1 1 2 0 1 0 0 2 0 2 1 0 0 1 1 1 3 0 2 2 1 0 0 1 0 1 10 3 10 1 7 0 2 0 1 0 0 2 10 0 0 0 2 0 4 2 3 3 1 5 0 0 2 1 0 0 0 3 2 0 1 1 3 0 3 0 1 0 0 1 1 0 0 1 4 0 3 0 6
"old" 4 3 11 10 4 2 9 5 11 5 3 2 3 10 6 3 5 9 3 5 5 3 4 8 6 2 9 15 4 2 1 2 2 16 37 3 32 6 16 0 3 7 3 3 4 5 39 7 3 6 12 4 0 5 11 9 0 19 10 3 9 8 0 7 2 4 10 0 4 6 13 1 6 5 6 6 3 3 3 3 2 1 10 3 4 4 23
"open" 0 0 3 8 0 3 6 2 3 1 1 0 4 2 2 1 1 2 2 2 2 2 1 0 2 2 3 5 1 2 2 3 1 8 16 5 16 2 11 2 0 0 1 2 4 4 15 4 2 0 6 2 5 0 5 5 0 8 1 3 7 2 1 2 2 0 7 1 3 6 5 0 1 1 1 1 1 3 0 2 3 1 2 2 4 2 12
"pleasant" 2 1 3 15 3 4 3 3 9 5 2 2 3 4 4 4 5 5 2 4 3 5 2 4 6 0 7 11 3 3 0 2 1 13 32 5 23 3 18 2 2 2 4 1 3 8 26 7 2 4 10 3 11 5 0 10 3 9 11 1 6 6 2 2 1 2 6 3 5 5 8 1 9 2 4 1 0 3 2 2 4 2 3 2 6 3 20
"pleased" 2 1 4 10 2 2 4 2 4 3 3 1 3 4 2 0 1 2 4 3 3 4 3 3 5 0 5 9 2 3 1 3 0 8 25 3 19 3 15 2 2 1 4 3 3 6 18 5 2 5 5 3 9 5 10 0 3 7 8 1 6 2 2 0 1 2 5 0 4 5 7 2 8 0 2 2 0 3 1 1 1 0 4 2 4 2 20
"pleasing" 1 0 0 5 0 0 1 1 3 0 1 1 1 1 0 2 0 0 1 1 0 2 1 0 1 0 4 0 1 2 0 1 0 1 6 1 6 1 3 1 0 0 1 0 0 1 6 2 1 1 2 1 0 0 3 3 0 2 3 0 2 2 0 0 1 1 4 0 1 0 2 1 1 0 3 1 0 1 0 0 0 0 1 0 1 2 5
"poor" 7 4 11 6 6 3 14 6 17 2 2 1 5 5 4 6 0 6 6 4 5 3 2 6 8 2 15 15 4 5 4 5 3 18 38 3 34 6 23 4 4 6 0 3 3 5 47 6 2 6 11 5 19 8 9 7 2 0 11 5 13 6 1 4 4 6 12 2 4 12 12 2 10 6 7 3 4 2 4 5 4 3 14 1 8 4 26
"pretty" 2 2 5 11 1 4 6 3 7 2 0 2 3 3 2 2 2 1 2 5 2 1 3 5 2 2 9 8 1 2 2 2 0 12 22 1 22 7 12 1 1 4 2 1 3 3 20 5 2 4 7 0 10 1 11 8 3 11 0 2 3 3 0 3 1 1 7 1 2 6 8 3 5 1 6 3 1 2 2 3 4 2 3 3 4 5 18
"private" 1 0 3 2 2 3 4 1 3 1 1 0 3 2 0 0 1 2 1 2 1 4 0 3 2 0 4 7 2 3 0 3 1 4 12 0 15 3 4 0 0 4 3 0 3 4 13 2 1 0 1 0 3 3 1 1 0 5 2 0 1 1 2 2 1 2 2 2 0 2 6 0 5 3 2 1 1 1 1 1 2 0 6 1 1 1 6
"proper" 4 4 3 5 3 3 7 2 9 1 1 2 5 4 2 4 2 1 0 0 4 6 4 1 6 2 8 6 1 3 1 3 1 7 21 5 18 0 13 1 2 3 2 3 1 4 20 4 1 5 8 2 9 7 6 6 2 13 3 1 0 4 1 2 1 2 4 1 3 5 7 0 6 4 1 2 1 2 0 0 3 0 6 0 3 3 13
