"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "awake" "bad" "beautiful" "bold" "bright" "busy" "capable" "careless" "certain" "charming" "cheerful" "clean" "clever" "cold" "comfortable" "decent" "delighted" "delightful" "determined" "difficult" "disappointed" "distinguished" "eager" "embarrassed" "excellent" "extraordinary" "fair" "faithful" "famous" "fine" "foolish" "fortunate" "generous" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "hard" "harmless" "honest" "ignorant" "impatient" "important" "independent" "intelligent" "interested" "interesting" "jealous" "joyful" "kind" "liberal" "little" "lively" "loud" "lucky" "natural" "neat" "nice" "old" "open" "ordinary" "plain" "pleasant" "pleased" "pleasing" "polite" "poor" "positive" "pretty" "private" "proper" "quiet" "reasonable" "remarkable" "respectable" "rich" "sad" "satisfied" "secure" "selfish" "sensible" "serious" "short" "sincere" "smart" "strange" "strong" "stubborn" "stupid" "surprised" "sweet" "thin" "tired" "uncomfortable" "unhappy" "unusual" "useful" "violent" "warm" "well" "wise" "wonderful" "worthy" "young"
"interested" 0 3 1 0 0 0 1 0 0 2 0 0 0 1 1 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 0 1 3 0 4 0 1 0 0 0 1 1 0 0 1 0 1 0 0 0 0 4 1 0 0 1 0 1 0 1 0 1 0 2 1 1 2 0 2 0 3 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 1 2 0 0 1 0 0 0 1 0 1 0 1 0 0 4
"interesting" 3 2 0 1 0 0 2 1 1 2 0 2 0 1 0 2 2 3 0 1 0 2 2 0 1 1 1 0 0 1 0 1 0 1 1 0 2 0 0 0 1 3 5 0 6 2 2 0 1 1 1 1 3 0 1 1 0 0 0 2 1 8 0 0 1 0 1 1 2 4 0 1 2 2 1 0 3 0 1 0 0 1 0 2 1 0 0 2 0 0 1 0 3 1 0 0 0 0 2 2 1 0 1 1 0 0 0 0 1 2 2 0 0 6
"jealous" 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 1 1 0 0 0 1 0 1 1 1 0 0 1 1 0 0 1 0 3 0 2 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 4 2 0 0 0 0 0 1 0 0 1 0 1 0 0 3 1 1 1 0 0 0 1 1 0 0 1 0 1 0 0 2 2 1 3 2 2 1 0 1 1 1 2 0 0 1 0 0 0 0 1 0 3
"joyful" 1 0 1 0 0 2 2 0 1 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 2 0 0 2 2 0 3 0 0 1 0 1 1 2 1 2 2 2 0 3 0 0 1 0 1 0 1 0 0 0 0 0 1 0 4 1 0 0 0 1 1 2 1 0 1 0 0 1 0 1 0 1 1 0 1 2 0 0 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 3
"kind" 2 2 1 1 3 3 4 0 2 0 0 0 0 0 0 1 4 2 2 1 1 1 2 2 3 0 1 0 0 1 1 2 2 1 0 1 1 1 1 1 1 4 9 0 6 2 4 1 0 2 0 3 1 1 0 0 2 1 1 0 1 6 0 0 0 2 0 0 5 2 0 1 2 3 2 0 3 0 2 2 1 0 1 1 2 1 1 3 3 0 0 1 5 1 1 1 2 1 2 2 2 1 0 2 1 0 1 0 0 0 0 2 1 9
"liberal" 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 2 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 2 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 1 0 0 0 2 0 0 1 1 0 0 1 0 0 0 0 0 2
"little" 7 10 14 4 4 10 8 3 7 7 3 4 4 2 3 9 10 6 1 4 3 9 3 6 14 5 1 6 2 6 2 11 5 9 3 5 17 4 2 4 6 17 40 3 40 10 27 1 2 7 3 5 4 3 2 4 8 4 4 6 1 0 5 3 2 7 3 2 16 12 2 7 10 8 5 2 18 5 9 4 5 6 4 6 3 5 2 7 4 2 5 1 23 4 3 12 7 2 5 7 8 2 10 5 4 2 3 1 4 3 2 2 3 33
"lively" 0 1 2 0 0 0 1 0 0 0 1 0 0 0 1 2 0 0 0 0 0 1 0 0 2 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 2 1 4 1 3 0 2 0 1 0 1 0 0 1 1 1 0 2 1 0 0 5 0 0 0 1 0 0 1 1 1 3 0 2 1 0 2 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 2 3 0 1 0 1 0 2 0 0 1 1 0 0 0 0 0 1 0 0 0 4
"loud" 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 1 0 1 0 2 1 0 0 2 2 0 0 1 0 2 4 1 3 0 4 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 2 1 0 0 0 0 0 0 1 0 0 1 0 2 0 1 0 1 0 1 0 0 1 0 3 0 0 1 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1
"lucky" 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 1 0 0 1 0 0 1 0 2 0 0 0 1 0 0 2 0 1 0 1 2 3 0 2 0 3 0 1 0 1 0 1 0 1 0 1 0 0 0 0 2 0 1 0 0 0 0 1 1 0 0 0 0 1 0 2 0 1 1 0 2 0 1 0 0 0 0 0 0 1 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 2
"natural" 2 2 2 1 2 2 1 1 0 1 1 0 2 0 0 1 2 1 0 1 0 1 1 1 4 1 0 0 1 3 0 1 1 1 0 1 2 1 1 2 0 1 7 0 7 1 7 1 0 0 2 1 0 2 1 1 0 0 0 2 0 7 1 0 0 0 0 0 2 0 1 1 1 2 2 1 4 1 0 1 2 1 1 1 0 1 2 1 1 0 1 1 3 1 0 2 1 0 2 2 0 1 2 0 1 1 0 0 1 0 0 0 2 6
"neat" 0 0 2 0 0 1 1 0 3 1 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 1 0 0 1 2 1 1 0 0 2 0 0 0 1 0 2 0 3 1 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 3 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 2
"nice" 1 2 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 3 1 1 3 0 1 0 0 1 0 0 0 1 0 1 1 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 1 0 0 2 1 0 0 0 0 0 0 1 0 0 3
"old" 3 5 5 2 4 4 4 0 4 4 1 1 0 1 2 2 5 4 2 1 1 3 2 2 7 0 1 4 1 3 2 7 4 5 1 4 11 2 1 1 4 9 18 2 17 7 9 1 0 3 0 1 2 0 0 0 2 1 2 5 1 16 1 2 1 2 2 1 0 4 1 2 3 2 0 1 5 3 5 1 1 2 0 4 1 3 2 2 3 1 1 0 13 1 2 6 2 1 2 2 4 1 5 2 1 1 1 3 1 0 1 1 1 14
"open" 2 4 1 2 3 4 2 1 0 3 2 2 0 2 0 4 1 2 1 0 2 3 2 1 5 2 1 3 1 2 1 4 3 2 2 1 5 1 0 1 1 6 12 2 10 2 8 2 1 0 2 2 2 0 1 1 4 0 1 2 2 12 1 1 1 0 0 0 4 0 1 2 4 4 2 0 5 2 2 0 4 4 0 2 1 1 0 2 2 2 2 1 9 2 1 3 1 0 2 3 2 0 0 2 2 2 1 2 1 1 1 1 0 9
"ordinary" 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 2 2 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 2 0 3 2 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 2 1 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 0 1 3
"plain" 0 2 2 0 0 0 1 0 2 0 2 1 1 0 0 1 0 0 1 0 0 0 0 0 3 2 0 1 0 0 1 3 3 1 0 1 2 0 0 0 1 1 7 1 5 3 2 0 0 0 1 0 1 0 1 1 1 1 1 1 0 7 3 0 0 1 1 0 2 2 1 0 1 2 1 0 2 0 1 0 1 1 0 1 1 0 0 0 0 1 0 0 2 1 2 1 1 1 1 3 0 1 1 0 0 0 1 0 0 1 0 1 0 5
"pleasant" 1 2 3 1 3 2 2 1 0 2 1 1 1 0 0 2 2 0 0 0 1 0 1 3 4 0 1 1 0 0 0 1 0 1 0 2 6 0 0 1 0 3 8 0 7 3 3 0 0 2 0 2 0 0 0 0 2 0 0 2 0 10 0 0 0 1 0 0 3 4 0 1 0 3 0 0 2 1 2 1 1 0 0 1 1 3 0 2 1 0 0 1 5 0 1 0 1 0 1 1 1 0 2 2 0 0 0 0 0 1 0 0 1 6
"pleased" 1 4 2 2 2 2 1 1 0 3 1 1 1 1 0 2 1 0 1 1 0 0 1 1 4 1 1 0 0 1 0 0 2 0 1 1 2 1 0 1 1 3 8 0 8 0 3 1 1 0 1 3 0 1 1 2 2 1 0 3 0 8 2 0 0 2 0 0 2 4 0 2 3 0 1 0 3 0 1 0 3 0 0 1 0 0 0 2 1 0 0 0 2 1 0 1 1 1 1 1 1 0 1 0 0 0 2 0 1 1 0 0 0 8
"pleasing" 1 2 2 0 0 1 1 0 0 0 0 0 0 1 0 1 2 1 0 0 1 1 1 0 1 0 0 1 1 1 0 0 1 2 0 0 1 0 1 1 0 1 5 0 3 1 3 0 1 0 2 2 1 1 2 1 1 0 1 2 0 5 1 0 1 2 0 0 0 2 0 1 0 1 0 0 3 0 1 1 2 1 1 1 0 1 1 1 2 0 2 1 2 1 0 1 0 0 1 2 1 0 0 0 1 1 0 0 1 0 1 0 0 5
"polite" 1 1 0 1 0 0 0 1 0 1 0 0 1 0 2 0 2 2 0 0 1 1 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 2 0 2 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 2 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 2
"poor" 6 5 3 1 2 3 4 0 2 3 0 1 1 1 2 4 1 2 1 3 2 4 2 0 5 1 0 2 1 3 0 2 2 3 1 0 6 2 0 0 3 7 16 1 14 1 10 1 1 3 3 0 2 2 2 2 3 3 1 3 1 18 2 1 2 4 0 2 5 5 0 2 2 3 3 0 0 5 3 3 1 3 2 4 1 0 2 3 3 1 4 0 13 2 1 9 4 1 4 3 2 1 2 3 2 1 2 1 2 0 2 2 0 12
"positive" 1 0 1 1 1 2 0 0 0 2 1 1 0 1 2 3 1 1 0 0 0 2 1 0 1 1 0 0 0 1 0 0 0 0 1 0 3 1 0 0 1 3 4 0 4 1 4 0 0 1 1 0 0 0 0 0 0 1 0 0 2 5 1 0 0 1 0 0 3 2 1 0 1 0 0 0 5 0 1 0 0 1 0 2 0 1 1 0 0 0 1 0 4 1 0 3 0 0 0 0 2 0 0 1 0 1 0 1 0 0 0 0 0 4
"pretty" 1 1 1 2 3 2 2 1 2 2 0 1 0 2 1 2 1 1 1 0 0 1 0 2 3 0 0 2 0 3 1 3 1 1 1 0 7 1 0 1 1 2 8 0 9 3 5 0 1 0 1 2 1 0 1 2 1 1 1 2 0 9 0 0 1 0 1 0 5 2 0 1 2 1 1 1 3 1 0 2 2 2 1 2 3 2 0 2 1 0 2 1 2 0 2 3 2 1 1 2 1 1 2 0 0 0 2 0 2 0 1 1 1 8
"private" 1 0 2 0 1 2 1 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 1 1 1 1 0 2 0 1 1 1 0 2 0 0 1 0 0 0 1 1 3 0 3 0 4 0 0 0 0 1 0 1 0 0 0 1 1 2 0 4 0 1 1 1 1 0 1 0 0 0 1 0 1 0 3 0 2 0 0 1 0 0 1 3 1 1 1 1 0 1 4 1 0 2 2 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 3
"proper" 0 2 1 1 2 1 0 0 0 1 0 0 0 1 1 0 1 0 1 0 1 0 0 0 5 0 0 0 1 1 0 1 2 0 1 0 0 0 0 1 0 2 8 0 6 1 4 2 0 1 1 1 0 0 1 3 0 0 0 1 0 5 1 0 0 2 0 0 1 4 0 1 1 3 2 1 1 0 2 0 0 0 0 0 1 1 0 1 2 1 1 2 2 0 0 2 2 0 2 2 1 0 2 0 1 1 1 0 1 0 0 0 0 4
"quiet" 1 0 1 1 0 3 2 1 0 1 1 1 0 1 0 3 0 1 0 0 1 2 0 0 2 0 0 3 0 1 1 2 0 1 0 1 4 1 0 0 1 2 4 1 5 0 6 0 1 0 1 0 1 0 1 0 1 0 1 0 0 6 1 2 2 1 0 0 2 4 0 1 0 0 1 0 3 1 2 1 0 0 1 2 0 1 0 0 0 1 1 0 4 1 0 2 1 0 0 1 0 0 0 0 0 1 0 1 1 0 1 1 0 2
"reasonable" 2 0 0 1 0 2 3 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 1 1 1 0 2 2 1 3 0 3 1 0 1 1 1 0 1 0 0 0 0 2 1 0 4 0 0 0 1 0 1 0 0 0 0 0 0 1 0 2 0 1 0 0 1 0 1 0 0 0 2 0 0 2 0 0 0 0 1 0 0 1 1 1 0 2 0 0 0 0 0 1 0 0 0 0 4
"remarkable" 2 1 0 1 0 0 2 1 1 3 0 1 0 2 1 1 2 2 1 1 0 1 0 0 2 0 1 0 1 1 0 2 1 0 1 1 6 1 0 0 0 1 6 0 7 3 5 1 1 1 2 1 1 0 1 0 2 1 0 1 0 6 0 1 1 1 0 0 4 2 0 1 1 1 1 0 4 2 2 0 0 2 1 0 1 1 0 1 0 0 2 0 3 0 1 2 1 1 2 1 0 1 1 0 0 0 1 0 2 1 1 1 0 4
"respectable" 0 1 0 0 1 0 1 0 1 0 0 0 0 0 1 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0 0 2 1 0 1 0 1 0 0 0 0 1 2 0 4 1 1 0 0 0 0 1 0 0 0 1 1 1 0 2 0 3 0 0 0 0 0 0 1 1 0 1 1 0 0 1 1 0 3 1 1 0 0 1 0 1 0 0 0 0 0 1 2 1 1 2 2 1 1 1 0 1 1 0 0 0 1 0 1 0 0 1 1 2
"rich" 1 1 2 0 2 2 1 0 1 2 0 0 0 0 0 2 0 0 0 0 1 0 0 1 1 0 0 1 1 0 1 2 0 1 0 2 4 0 0 1 1 1 5 1 5 1 3 0 0 0 0 1 0 0 0 0 0 0 1 1 0 5 0 1 0 1 1 0 3 1 0 0 3 0 1 0 0 1 2 3 1 1 0 1 1 0 0 1 1 0 1 2 3 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 4
"sad" 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 3 0 2 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 0 2 1 0 2 0 0 0 0 0 1 0 2 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 2 1 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 2
"satisfied" 4 1 0 1 0 2 4 0 0 2 0 0 0 1 0 0 3 1 0 1 2 0 1 1 2 1 1 0 1 3 0 1 0 2 1 0 2 1 1 3 1 2 8 1 4 3 3 1 0 2 1 2 0 0 0 1 2 1 1 3 1 7 0 1 0 1 0 0 2 2 0 0 2 2 1 0 3 0 2 1 1 0 2 1 0 1 0 0 0 1 2 0 2 0 0 1 1 0 2 0 5 0 1 2 0 0 1 0 1 0 0 0 0 6
"secure" 0 0 0 1 2 1 1 0 2 0 0 0 1 0 0 0 1 1 1 1 2 1 1 1 1 0 0 1 1 0 0 0 1 0 0 1 1 1 0 0 1 3 5 0 4 1 3 1 0 2 0 0 1 1 0 0 0 0 0 3 0 4 0 0 0 1 0 0 3 2 0 0 1 1 2 0 3 0 1 1 2 0 0 0 0 1 1 0 0 0 1 1 5 1 1 2 0 0 1 2 0 0 1 0 2 1 0 1 0 0 0 1 0 3
"selfish" 1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 2 1 1 0 2 0 0 0 0 0 0 1 0 3 1 1 0 2 1 0 0 0 0 0 0 0 0 0 1 1 0 0 2 1 0 0 0 0 0 1 2 0 1 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 2 1 0 1 1 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0
"sensible" 3 0 0 2 1 0 2 0 0 1 0 0 0 1 0 2 0 1 0 1 1 2 0 0 0 0 1 0 2 3 0 0 0 0 0 0 4 2 0 1 0 5 6 1 3 0 4 1 1 1 2 0 1 1 1 0 1 0 1 0 0 5 1 1 1 1 0 1 1 2 0 0 0 0 2 0 4 1 2 0 1 1 2 2 0 1 0 2 1 0 0 1 1 0 0 2 0 0 2 0 2 0 2 0 1 1 0 0 2 0 1 0 0 3
"serious" 0 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 3 0 2 0 2 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 2 0 0 0 1 2 0 0 1 0 1 0 4 0 0 2 0 0 2 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0
"short" 5 5 6 0 2 6 5 0 5 4 1 2 1 2 3 4 6 4 0 2 3 5 2 3 8 2 0 5 1 3 2 4 1 5 3 3 9 1 1 0 5 10 25 2 21 7 17 0 0 3 0 3 3 1 0 0 3 2 1 5 1 23 2 3 2 3 1 0 13 9 1 2 5 2 2 1 13 4 2 4 2 4 0 3 2 3 2 2 5 2 1 4 0 4 1 8 4 0 3 5 3 0 4 4 3 2 1 2 1 1 0 0 3 16
"sincere" 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 2 1 1 0 0 0 2 1 0 0 0 0 1 0 0 1 1 0 1 1 0 0 1 0 0 2 1 3 1 2 0 3 0 1 0 0 0 0 2 0 0 1 2 1 1 0 4 3 0 0 1 0 0 1 2 0 1 0 1 1 0 2 1 0 1 0 1 0 0 1 0 1 0 1 1 0 0 4 0 0 1 0 1 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 3
"smart" 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 1 0 1 0 0 0 2 2 0 0 0 3 0 0 0 0 1 3 0 2 3 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 3 0 0 0 0 0 0 2 1 0 2 1 0 0 0 1 0 2 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 1 1 1 1 2 0 1 1 0 0 0 1 0 0 0 0 1 0 3
"strange" 3 3 2 1 2 5 0 1 2 0 0 1 1 2 2 1 2 2 1 0 4 4 0 0 2 1 1 3 2 2 0 2 1 2 2 0 3 2 0 0 0 6 13 1 14 2 6 0 1 2 0 1 1 2 0 1 0 3 1 1 2 12 1 1 1 2 0 2 6 3 0 1 0 1 1 2 9 3 3 2 2 2 1 2 2 1 1 1 2 1 2 2 8 1 1 0 5 2 2 1 2 1 4 2 3 3 1 4 1 1 1 3 0 7
"strong" 2 4 1 0 0 1 1 0 1 2 0 0 1 0 2 0 2 1 1 0 3 0 0 2 5 2 1 2 0 2 0 2 1 1 0 0 1 0 1 1 0 2 9 0 7 3 4 0 0 1 0 0 0 1 0 1 0 2 0 2 1 7 0 1 1 1 0 0 2 1 0 1 1 1 0 2 4 0 2 2 2 1 0 1 2 0 0 1 0 1 0 0 4 0 1 5 0 1 1 1 2 1 3 2 2 0 1 0 2 0 0 1 1 6
"stubborn" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 2 0 2 1 1 0 1 0 0 0 0 1 0 0 0 2 0 1 0 2 1 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 2 1 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 2
"stupid" 2 2 0 0 0 0 3 0 1 2 0 0 0 0 0 0 0 0 1 2 1 0 1 0 3 0 0 0 2 0 0 1 1 1 0 0 2 1 0 0 0 3 5 0 4 1 2 1 0 0 1 0 0 0 0 1 2 1 0 2 0 5 0 0 0 2 0 1 2 2 0 1 1 1 1 0 4 0 1 0 2 0 1 2 1 1 0 2 1 0 2 2 3 0 1 2 1 1 0 1 0 1 1 0 1 1 1 0 1 0 1 1 0 4
"surprised" 0 6 1 2 1 2 4 1 1 2 0 1 0 2 0 0 2 1 0 1 1 2 1 1 5 1 1 1 0 1 0 1 3 1 2 0 6 0 0 0 0 4 10 0 8 4 4 1 0 0 1 1 0 1 1 2 2 0 0 2 0 7 2 0 0 2 0 1 2 3 1 3 1 1 2 0 3 0 2 1 2 1 1 1 1 0 1 0 2 1 0 1 5 2 2 1 1 0 1 0 1 0 1 1 1 0 0 0 1 2 1 0 0 8
"sweet" 1 2 1 2 2 3 2 0 0 1 0 0 0 1 0 1 4 1 0 0 2 0 0 3 3 2 1 1 0 4 0 2 1 3 0 1 2 1 1 2 1 4 7 1 5 1 3 1 0 2 0 2 1 0 0 0 1 1 1 2 2 8 0 2 0 0 0 0 4 2 0 0 1 1 1 0 2 2 1 1 1 0 1 0 0 0 0 5 0 2 2 0 3 0 0 2 2 0 0 1 0 0 1 2 0 0 0 2 1 0 0 0 0 5
"thin" 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 2 1 0 0 0 1 0 2 1 1 0 0 1 0 0 0 0 0 2 0 2 2 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 1 0 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 1 0 0 0 1 0 0 0 0 1 1 1
"tired" 3 2 3 0 0 1 2 0 2 2 1 1 0 0 2 1 5 1 0 1 1 2 1 1 4 2 0 2 2 2 0 3 1 2 0 0 3 2 0 0 0 3 10 1 10 5 6 1 1 2 1 1 1 2 0 1 1 1 1 0 0 10 1 0 0 2 2 2 5 0 1 1 2 1 0 2 2 0 2 0 2 0 2 1 1 0 1 1 1 0 2 0 4 1 1 4 3 1 1 1 1 1 0 1 1 0 0 0 2 0 0 0 1 9
"uncomfortable" 1 2 4 0 1 2 1 0 0 0 0 0 0 0 1 1 1 1 0 1 2 1 0 0 0 1 1 0 1 1 0 2 0 2 0 1 1 0 0 0 2 2 6 0 2 2 1 0 0 1 0 0 0 0 0 0 1 2 0 2 1 5 1 0 0 0 0 1 2 2 0 0 2 0 0 0 3 1 0 1 0 0 0 0 0 0 0 2 0 1 0 0 4 1 0 2 2 0 0 1 2 0 1 0 1 0 0 0 0 0 0 0 0 6
"unhappy" 0 2 1 1 0 0 3 1 2 0 0 0 2 0 0 0 1 1 0 0 2 2 1 0 0 0 1 1 1 1 0 1 1 0 0 0 1 0 0 0 1 1 4 0 2 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 1 4 0 0 0 1 1 0 1 2 0 0 0 0 1 1 2 0 0 0 1 0 0 0 0 1 1 0 2 0 1 1 3 0 0 3 2 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1
"unusual" 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 2 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 2 0 0 0 0 1 0 1 1 0 0 1 1 0 0 0 1 1 0 1 0 1 1 2 0 0 3 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1
"useful" 0 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 1 1 0 1 0 2 0 0 1 1 0 3 0 3 1 2 0 0 0 0 1 0 0 0 1 0 1 0 1 0 3 0 0 0 0 0 0 1 1 0 1 0 2 0 0 2 0 2 0 1 0 0 1 1 0 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 3
"violent" 0 1 0 0 1 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 1 1 0 1 1 0 0 0 1 1 1 0 1 1 1 0 0 0 0 1 1 5 2 1 0 0 0 0 0 3 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 3 2 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 4 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 2 0 2
"warm" 2 3 0 1 0 0 1 0 0 3 0 1 0 1 1 1 2 1 0 1 0 1 0 1 1 1 0 0 1 2 0 1 1 1 0 0 4 1 1 0 1 2 6 0 4 1 3 1 1 0 2 0 1 0 1 1 1 0 0 0 0 4 0 0 2 1 0 0 1 1 0 0 0 1 1 1 2 0 2 0 1 1 1 2 1 0 0 1 0 0 2 0 1 0 0 1 2 0 1 1 1 0 2 0 0 0 0 0 0 0 1 0 1 5
"well" 1 0 0 1 0 1 0 1 1 1 0 1 0 1 0 1 2 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 3 0 3 0 1 0 0 0 0 2 1 0 0 0 2 0 0 0 0 3 1 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"wise" 1 1 0 0 0 1 1 0 0 1 0 0 0 1 0 1 0 1 0 1 0 2 0 0 0 0 1 0 0 1 0 0 0 2 0 0 1 0 0 0 0 1 1 0 3 1 1 0 1 0 1 0 1 0 1 1 2 0 0 0 0 2 0 0 1 0 0 1 1 1 0 0 0 0 1 0 2 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 2
"wonderful" 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 1 0 1 0 1 1 0 0 0 1 1 0 0 0 0 2 0 3 1 0 0 0 0 0 0 2 0 0 0 0 1 0 2 0 2 0 0 0 0 0 0 1 1 0 1 0 0 0 0 2 0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 1 3 1 1 1 0 0 1 0 0 0 1 1 2 0 0 0 0 0 2
