"active" "affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "attentive" "awkward" "bad" "beautiful" "blind" "capable" "cautious" "certain" "charming" "cheerful" "clever" "cold" "comfortable" "concerned" "cruel" "curious" "delighted" "delightful" "desirable" "determined" "difficult" "disappointed" "eager" "embarrassed" "excellent" "extraordinary" "fair" "fine" "foolish" "fortunate" "friendly" "generous" "gentle" "glad" "good" "gracious" "grateful" "great" "handsome" "happy" "hard" "ignorant" "impatient" "important" "intelligent" "interested" "interesting" "kind" "little" "lively" "lucky" "mean" "natural" "nervous" "nice" "old" "open" "original" "plain" "pleasant" "pleased" "pleasing" "polite" "poor" "pretty" "private" "proper" "proud" "quiet" "reasonable" "remarkable" "respectable" "rich" "satisfied" "secure" "selfish" "sensible" "serious" "short" "sincere" "strange" "strong" "surprised" "sweet" "tall" "thankful" "uncomfortable" "unhappy" "unlucky" "unreasonable" "useful" "valuable" "violent" "warm" "weak" "well" "young"
"natural" 1 3 5 3 2 1 1 3 0 1 2 4 3 1 1 6 1 0 2 1 1 2 1 0 1 2 1 0 2 1 2 1 1 2 2 3 0 1 1 0 0 3 16 0 2 10 4 7 0 1 1 2 1 0 3 3 11 1 1 1 0 0 0 2 1 0 3 4 2 3 0 4 4 2 1 3 1 2 2 3 1 6 1 1 4 3 6 2 0 4 3 0 0 0 2 4 1 1 1 1 2 2 3 2 9
"nervous" 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 1 1 0 0 0 1 1 2 1 0 1 0 0 0 2 3 0 0 3 1 1 1 2 0 0 1 0 0 0 4 1 1 1 0 0 0 1 0 0 0 0 1 0 0 3 1 1 1 0 0 0 1 0 1 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 4
"nice" 1 0 1 1 0 3 0 1 0 0 0 1 0 0 0 2 0 0 0 1 2 1 0 0 0 1 0 0 1 0 0 0 2 1 0 2 0 0 0 0 0 2 4 1 0 3 0 2 0 0 0 1 0 0 0 0 4 1 0 0 0 0 0 1 1 0 0 2 1 1 0 2 1 0 1 0 1 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3
"old" 0 0 3 3 1 1 1 3 0 1 0 1 0 2 1 7 1 0 0 1 1 2 1 0 3 3 2 1 1 1 1 0 2 3 2 6 0 0 0 1 2 5 10 0 2 8 4 4 0 1 2 0 1 0 1 1 9 2 2 1 2 1 1 0 1 1 1 2 1 1 0 4 1 1 4 2 2 1 2 1 0 1 2 0 3 1 1 0 1 2 2 0 0 0 0 0 1 0 1 2 1 1 0 0 8
"open" 1 1 2 2 1 4 1 0 0 0 0 0 0 0 0 4 1 1 0 1 0 0 0 1 0 0 2 0 0 0 1 0 3 2 0 2 0 0 0 1 1 2 3 2 2 7 1 2 0 1 1 1 1 0 2 2 7 1 1 1 1 0 1 1 0 1 1 2 1 1 1 2 0 2 0 1 1 1 2 0 1 2 0 0 1 2 3 0 1 0 3 0 0 1 0 0 0 1 0 1 0 0 0 0 8
"original" 0 0 2 2 2 0 0 0 1 0 1 1 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 2 1 1 2 1 1 0 1 1 2 2 0 1 3 0 0 0 0 2 0 1 0 2 0 4 0 2 0 0 0 0 1 1 0 1 1 0 2 0 1 0 1 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 2
"plain" 0 1 3 2 1 0 0 1 0 0 1 1 0 0 0 3 2 0 0 0 0 0 1 0 0 1 1 0 1 0 1 0 1 1 1 3 0 0 0 0 0 2 2 1 1 6 2 0 0 0 1 0 0 0 1 2 5 0 0 0 3 0 0 1 1 1 0 2 0 2 0 0 2 0 2 1 0 0 1 0 0 1 0 0 1 0 3 0 2 1 1 1 0 0 1 0 1 0 0 0 0 1 0 1 4
"pleasant" 1 1 6 6 1 2 0 2 1 3 2 3 1 2 0 7 1 0 0 3 3 1 1 0 1 4 0 0 1 0 0 0 5 1 0 6 0 2 1 0 0 5 10 0 0 12 6 4 0 0 0 1 1 0 1 1 12 4 1 1 4 0 2 2 2 1 2 0 5 3 2 6 4 1 1 2 1 0 2 1 3 1 1 1 1 1 2 0 0 4 4 1 2 1 0 2 2 0 0 0 1 1 0 2 8
"pleased" 1 2 7 10 3 3 4 6 2 1 3 2 1 5 1 8 6 1 1 3 3 2 1 1 1 1 2 2 2 1 5 2 5 6 2 4 1 5 3 3 2 5 20 3 2 16 10 13 2 1 0 3 1 2 3 1 20 4 0 1 2 1 1 1 1 0 0 5 0 5 1 5 3 1 5 6 1 4 3 5 2 6 2 2 8 3 8 2 0 4 5 0 3 0 1 1 2 0 2 3 1 1 2 2 13
"pleasing" 1 4 4 7 3 2 5 0 3 1 3 4 2 1 1 5 6 0 1 1 1 2 4 0 1 1 1 1 1 2 1 0 3 0 1 5 1 4 1 1 0 4 15 1 1 15 7 6 1 1 2 1 1 1 2 2 14 2 1 1 3 0 1 1 1 2 2 3 5 0 1 5 3 1 3 4 1 2 1 2 2 3 1 0 3 2 4 3 2 0 2 2 0 0 2 1 0 0 1 0 1 0 2 1 12
"polite" 0 0 0 2 0 0 0 0 1 2 0 0 1 1 0 1 0 0 0 1 1 2 1 0 0 0 1 0 2 0 0 0 1 0 0 0 0 1 0 0 0 2 2 0 1 4 1 0 0 0 0 0 0 0 1 0 4 1 0 0 0 0 0 0 1 0 0 2 1 1 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 1 1 0 0 1 0 0 1 0 0 0 0 1
"poor" 3 4 6 3 4 1 3 2 2 2 4 1 0 5 1 6 1 0 1 2 2 2 1 0 1 1 1 2 4 1 1 1 5 3 3 5 1 1 1 2 1 6 19 0 2 17 4 2 3 5 2 3 3 0 4 4 20 3 1 1 4 3 2 4 2 1 0 6 5 5 1 0 4 0 0 4 3 2 1 1 3 3 1 1 6 3 4 3 1 3 4 1 1 2 1 3 0 1 1 5 2 0 1 2 14
"pretty" 1 2 2 6 2 2 1 2 0 0 2 4 1 1 1 4 2 0 1 1 1 0 0 0 1 4 1 0 0 0 0 0 3 0 2 5 0 2 1 0 0 4 8 0 0 9 4 1 2 0 0 0 3 0 0 1 7 3 0 0 4 1 1 1 0 0 2 4 3 3 0 4 0 1 1 4 1 0 1 1 2 3 1 0 3 1 2 0 0 3 0 0 1 0 0 0 1 0 1 2 2 0 0 1 8
"private" 1 2 2 5 2 1 1 0 1 2 1 1 2 1 1 3 1 0 2 2 1 0 0 0 1 1 1 0 0 1 0 1 1 0 2 2 0 0 1 0 0 2 6 0 1 7 1 6 0 3 1 0 0 0 0 2 8 3 1 0 2 1 0 1 2 1 0 1 1 1 2 0 1 0 3 2 0 1 1 1 2 3 0 1 4 2 1 0 0 2 3 0 0 0 0 0 0 0 1 0 0 0 0 1 5
"proper" 0 3 5 4 0 3 0 3 1 1 1 0 0 1 0 3 2 0 1 0 1 1 1 0 2 1 3 0 2 1 2 0 1 3 4 5 0 3 1 1 0 3 11 0 2 13 3 10 0 2 1 3 0 2 0 0 12 2 1 1 1 1 1 4 0 0 2 1 5 3 0 0 1 3 0 1 1 1 3 3 1 4 0 1 2 2 2 0 1 3 4 1 1 1 0 0 1 0 0 0 1 1 0 1 9
"proud" 1 2 4 6 1 2 5 3 3 3 2 4 2 4 1 3 4 1 1 2 1 2 1 2 2 3 0 1 1 0 1 2 1 2 1 5 1 3 2 2 2 3 11 1 1 11 7 4 1 1 1 2 2 1 5 2 14 5 1 0 3 0 0 2 1 2 1 2 6 4 1 4 4 2 1 0 3 3 1 2 3 3 1 0 3 3 3 1 1 0 2 1 3 0 1 1 0 0 0 3 2 1 0 0 8
"quiet" 1 2 3 0 0 2 3 1 0 1 2 0 0 1 0 2 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 1 0 3 0 0 0 0 0 3 5 0 0 3 1 1 1 0 0 2 0 0 0 0 4 3 0 0 1 0 1 2 1 0 0 1 1 1 0 3 1 0 1 3 0 2 0 1 1 1 0 0 1 1 1 1 0 0 2 0 0 2 1 1 0 0 0 1 2 0 0 1 2
"reasonable" 0 4 4 1 1 2 3 5 0 1 0 2 1 0 0 2 0 0 0 2 0 1 1 0 1 2 0 3 0 0 1 2 1 4 1 1 1 1 1 1 0 1 9 1 1 4 0 6 1 4 1 0 0 1 0 2 9 1 0 1 2 0 0 1 1 0 0 0 4 2 0 2 0 1 1 3 2 0 0 2 2 1 1 2 2 2 4 2 0 1 2 1 1 0 2 1 1 2 1 0 2 1 1 1 8
"remarkable" 1 0 1 3 1 0 0 0 0 1 0 1 0 0 0 2 1 0 0 0 0 0 0 0 1 1 2 0 0 1 1 0 1 2 1 3 0 1 0 0 0 2 2 1 1 6 4 3 1 0 0 1 1 1 1 1 6 0 1 0 2 1 0 2 2 0 1 2 3 1 0 1 1 1 3 1 0 0 0 1 0 2 0 0 1 1 1 0 0 2 1 0 1 0 0 0 0 0 1 0 1 1 0 0 5
"respectable" 0 0 3 3 1 0 3 2 1 3 3 2 1 1 1 5 3 1 2 0 1 0 0 0 3 0 2 3 2 1 2 0 4 3 2 3 1 1 1 0 1 1 11 0 0 10 3 5 0 3 0 2 0 1 2 1 5 2 1 0 3 0 0 1 0 0 0 1 5 2 0 1 1 1 3 2 1 2 1 0 2 4 0 0 7 1 4 2 0 0 1 1 0 1 0 2 1 0 0 2 1 3 0 0 10
"rich" 1 2 1 2 1 2 2 0 2 3 0 1 0 2 0 5 4 0 0 1 1 0 0 0 2 1 2 1 1 0 1 0 1 2 0 1 0 1 1 0 0 1 7 1 0 8 3 7 0 2 1 1 2 1 1 3 8 3 1 0 1 1 0 0 1 0 0 3 2 2 0 3 2 2 1 3 1 2 0 2 0 0 2 0 4 1 1 2 1 0 1 1 0 0 0 1 2 1 0 1 1 0 0 0 9
"satisfied" 0 3 6 7 4 2 2 3 1 1 3 1 1 2 1 5 3 1 3 1 2 1 1 1 0 4 3 0 3 2 2 1 1 2 1 5 1 1 2 0 1 2 17 0 3 13 7 12 2 2 0 3 0 0 4 2 10 2 0 1 6 0 1 1 2 0 1 1 6 3 0 3 3 3 4 3 1 1 2 4 0 0 0 0 5 3 8 1 1 4 4 2 2 1 2 3 0 0 0 1 1 1 2 1 12
"secure" 0 0 0 1 0 0 2 1 0 0 0 1 0 1 1 4 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 1 2 0 0 0 0 0 0 1 4 2 0 3 2 4 0 0 0 1 1 0 0 1 3 0 0 0 1 0 0 2 0 0 0 1 2 1 0 1 1 0 0 1 0 1 0 0 2 0 0 0 1 2 2 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 2
"selfish" 0 0 4 0 1 2 1 2 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 2 0 0 0 0 0 1 0 1 4 0 0 2 0 0 0 0 0 0 0 0 0 0 4 0 0 1 1 0 0 0 0 0 0 1 2 0 0 1 0 1 1 0 0 2 0 0 0 0 0 0 1 1 2 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 2 2
"sensible" 2 1 5 10 4 2 7 6 2 1 1 2 1 2 2 6 5 1 3 1 5 2 1 1 1 2 3 1 1 2 2 1 8 5 7 3 2 4 1 1 1 4 22 0 1 21 5 12 2 4 3 1 2 1 5 3 18 3 1 0 4 3 0 3 1 1 1 1 8 3 0 6 3 4 2 3 1 2 1 7 4 5 1 1 0 3 10 2 3 2 4 0 1 0 2 2 4 1 4 3 1 1 1 1 19
"serious" 0 2 6 4 2 3 3 4 0 1 1 1 0 2 2 5 3 1 0 2 0 2 0 0 1 1 2 0 2 2 2 2 2 2 2 2 0 1 0 0 0 4 11 2 0 11 1 9 0 2 0 2 0 2 2 4 10 1 0 0 3 0 2 1 2 0 0 1 3 2 1 3 1 2 2 3 1 2 1 1 1 3 2 1 3 0 5 2 0 0 3 0 1 1 1 3 2 2 0 0 0 0 0 1 10
"short" 1 2 11 12 4 5 7 4 3 1 4 3 1 2 2 11 3 2 1 6 3 0 2 4 1 6 2 2 1 3 4 3 4 4 7 3 2 3 3 3 1 3 28 2 4 23 4 14 1 2 3 3 1 1 3 3 24 0 0 0 6 0 0 1 3 1 3 2 8 4 0 4 2 1 2 3 1 4 1 4 1 8 2 2 10 5 0 2 2 2 7 3 2 2 3 3 2 0 3 3 3 3 4 3 16
"sincere" 1 4 2 1 0 1 1 1 1 1 1 0 0 0 0 3 2 1 0 1 0 0 0 0 0 1 2 0 1 0 2 1 2 2 1 0 1 0 1 0 0 0 7 0 0 5 1 5 0 3 0 2 0 1 0 2 5 0 0 0 2 0 0 0 0 0 0 0 2 3 0 3 0 0 0 1 1 2 0 2 2 1 0 0 2 2 2 0 1 1 0 1 0 0 1 1 1 1 0 1 1 0 2 0 6
"strange" 1 1 3 4 0 1 2 1 1 0 0 1 0 0 0 3 3 0 0 0 2 0 1 1 1 1 3 0 1 0 0 0 2 0 0 1 1 0 1 1 1 2 4 1 0 8 3 4 1 1 1 0 0 0 0 3 6 1 0 0 0 0 0 1 1 0 2 0 0 2 1 1 0 0 1 1 0 0 0 0 1 1 0 0 3 0 2 1 0 0 2 1 1 2 1 0 0 0 0 0 1 0 0 0 6
"strong" 1 4 3 5 1 2 0 3 0 1 2 0 1 2 0 4 0 0 2 1 4 0 0 1 0 3 1 1 1 1 0 0 4 1 3 2 0 1 2 1 0 3 8 0 3 9 1 7 1 1 0 0 1 0 0 0 10 1 0 2 4 1 1 2 0 0 1 4 4 0 0 3 3 2 3 0 0 1 2 0 0 4 0 1 2 0 2 1 0 0 3 0 0 0 1 2 0 1 1 0 3 0 1 3 7
"surprised" 0 1 5 9 1 3 4 1 2 2 2 0 0 4 0 5 3 0 2 4 4 2 2 2 2 4 2 2 1 1 2 0 3 2 3 2 1 1 1 0 1 6 13 0 3 15 3 7 0 2 1 2 0 2 2 3 14 0 0 1 3 0 0 2 3 0 1 4 5 2 2 4 0 3 4 2 2 2 1 1 1 4 0 0 4 3 7 0 2 3 0 1 2 2 2 2 1 1 0 0 1 0 1 2 9
"sweet" 1 2 3 2 1 0 1 0 1 0 1 1 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 1 0 1 0 0 4 0 0 5 1 3 0 2 0 2 0 0 0 1 4 0 0 0 0 0 0 0 0 1 1 1 0 2 0 1 0 0 1 1 0 1 0 1 1 2 0 0 0 0 3 1 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 3
"tall" 0 0 0 2 0 1 2 1 0 0 0 1 0 0 1 2 0 0 0 1 0 0 0 0 0 2 1 0 2 0 1 2 0 2 1 3 0 1 1 0 1 0 5 1 0 5 3 1 0 0 1 0 0 0 2 1 7 3 0 1 0 0 0 0 0 0 0 2 3 0 1 1 1 0 1 3 0 1 1 0 0 2 1 0 1 1 2 0 1 0 2 0 0 1 2 0 0 0 0 0 1 0 0 0 3
"thankful" 1 0 3 1 0 1 1 0 1 0 2 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 1 1 1 0 1 0 2 0 1 1 0 1 0 1 0 2 4 1 0 7 0 5 1 2 0 3 0 1 1 2 3 2 0 0 0 0 1 0 1 0 0 1 0 0 1 2 0 0 1 0 2 0 0 1 0 1 0 0 0 1 2 0 2 0 2 1 1 0 0 0 0 1 0 0 1 0 0 1 3
"uncomfortable" 0 2 0 0 0 2 2 1 0 0 1 2 1 1 0 3 1 0 1 1 0 0 1 0 0 2 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 6 1 2 3 0 2 0 0 1 0 0 0 0 0 7 0 0 1 2 0 0 0 0 0 1 0 1 2 0 1 0 0 0 1 1 2 0 0 0 2 1 0 2 1 3 1 1 1 2 0 2 0 0 1 1 0 0 0 2 0 2 0 2
"unhappy" 0 1 2 3 3 0 1 2 2 1 2 0 0 1 1 5 0 0 1 2 0 1 0 0 1 0 1 1 1 1 1 0 1 0 1 1 1 0 0 0 0 2 11 0 1 6 0 5 0 1 0 1 0 0 2 2 7 2 1 0 4 0 0 0 0 1 0 2 1 1 0 3 0 0 0 1 1 1 0 2 1 3 0 0 2 3 3 1 0 2 2 0 0 0 1 0 0 1 1 1 2 1 1 0 6
"unlucky" 0 2 4 1 0 1 1 2 0 0 0 0 0 3 1 3 2 0 1 1 1 1 0 1 1 4 1 0 1 0 2 1 1 0 4 0 1 2 0 0 0 4 8 0 1 5 1 4 0 0 1 0 0 2 2 2 7 0 0 0 1 0 0 1 0 0 1 2 2 0 1 0 1 0 1 0 0 1 0 1 2 0 1 1 4 2 2 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 8
"unreasonable" 0 2 0 1 0 0 1 0 1 0 1 0 0 2 0 3 0 1 0 1 1 1 0 0 0 0 0 3 0 0 2 0 0 1 1 0 0 0 0 0 0 1 2 0 0 3 0 3 1 2 1 0 0 2 3 2 4 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 1 1 2 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 0 0 1 5
"useful" 2 1 0 2 1 0 3 0 1 0 0 1 0 0 0 2 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 3 0 3 1 0 1 0 2 0 1 4 0 0 4 2 4 1 1 0 0 1 0 0 1 5 0 0 0 1 1 0 1 0 0 0 0 2 1 0 1 1 1 0 0 0 1 1 0 0 0 1 0 4 0 3 0 0 1 0 1 0 0 0 1 0 0 0 0 1 1 1 0 5
"valuable" 0 1 2 2 2 1 1 1 0 0 2 0 0 3 0 4 0 0 0 0 0 2 0 0 0 0 0 1 2 1 1 1 3 1 0 2 0 1 2 2 2 2 7 0 2 5 1 0 1 1 1 1 2 0 1 0 5 1 1 0 1 0 0 2 1 1 0 0 3 0 1 5 2 0 0 3 1 0 0 2 1 1 0 1 3 0 3 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 4
"violent" 1 2 3 2 1 1 2 0 1 1 4 2 1 1 0 3 0 1 2 0 1 0 1 0 2 2 1 2 0 0 0 0 1 1 1 2 0 3 0 1 0 2 8 0 2 7 1 5 1 2 3 0 1 0 0 2 9 3 1 0 2 1 0 1 0 0 0 1 1 1 0 2 2 0 1 2 2 2 1 1 1 1 0 0 1 0 3 1 1 3 1 0 1 1 2 2 0 1 1 0 0 0 3 0 6
"warm" 0 1 2 1 1 0 1 0 0 1 1 2 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 2 1 1 1 1 0 1 1 1 1 5 0 0 4 1 2 0 1 0 0 0 0 1 0 4 0 1 0 2 0 0 1 0 0 1 1 1 0 0 0 0 0 1 1 0 1 1 3 0 1 0 0 1 0 3 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 2
"weak" 0 1 1 0 1 0 2 0 1 0 2 1 1 1 0 2 1 2 2 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0 1 1 3 0 1 0 1 7 0 2 6 1 6 0 1 2 1 0 0 0 0 5 0 0 0 3 0 0 0 0 0 0 0 2 2 0 1 0 0 0 0 0 1 0 0 0 2 0 0 1 0 4 2 0 1 1 0 0 0 2 1 0 0 1 0 3 0 0 0 4
"well" 0 0 4 1 0 0 1 0 0 0 1 0 1 0 0 3 0 0 0 0 2 0 0 1 0 1 0 2 0 0 0 0 1 1 0 1 0 1 1 1 0 2 5 0 1 3 1 3 0 1 0 1 0 0 1 0 6 0 0 1 2 0 0 0 0 0 1 2 2 1 0 2 1 1 1 0 1 1 0 0 0 1 0 2 1 1 3 0 0 3 2 0 0 1 0 0 0 1 0 0 0 0 0 0 4
"young" 3 9 15 19 5 8 12 7 5 4 6 5 1 9 3 20 8 2 4 4 5 2 2 1 9 8 8 7 7 3 7 2 12 9 12 12 2 9 3 5 1 18 49 3 5 48 14 29 4 10 6 5 3 6 7 10 52 8 5 3 9 4 3 8 8 2 4 8 13 12 1 14 8 5 9 8 2 8 5 10 9 12 2 2 19 10 16 6 6 7 9 3 3 3 2 6 8 5 5 4 6 2 4 4 0
