"active" "affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "attentive" "awful" "bad" "beautiful" "bright" "busy" "careful" "certain" "cheerful" "cold" "comfortable" "confused" "cool" "curious" "delightful" "devoted" "difficult" "distinguished" "excellent" "extraordinary" "fair" "faithful" "familiar" "fine" "friendly" "gentle" "glad" "good" "gracious" "great" "handsome" "happy" "hard" "honest" "hopeful" "important" "innocent" "interested" "joyful" "kind" "little" "natural" "neat" "old" "open" "plain" "pleasant" "pleased" "poor" "powerful" "practical" "pretty" "private" "professional" "proper" "proud" "quiet" "remarkable" "respectable" "rich" "rough" "sensible" "serious" "short" "strange" "strong" "surprised" "sweet" "thin" "tired" "troubled" "unhappy" "unusual" "useful" "warm" "weak" "well" "worthy" "young" "youthful"
"strange" 3 0 7 8 10 2 5 2 4 0 8 11 12 5 5 7 3 8 2 4 1 10 6 3 6 2 3 3 0 3 6 8 2 2 9 41 2 37 6 12 3 5 3 2 6 2 2 5 41 9 2 22 13 9 8 2 15 1 1 4 4 2 1 2 8 3 3 3 0 4 2 12 0 5 2 2 2 1 0 1 2 2 3 3 1 2 20 3
"strong" 8 2 12 5 6 4 4 3 5 3 11 9 9 9 1 7 2 7 6 5 0 11 3 5 5 3 4 5 5 5 3 13 0 3 10 48 4 35 4 9 10 4 1 1 3 2 2 5 47 12 2 35 9 7 10 1 18 3 2 7 5 3 1 5 6 6 3 2 3 1 2 17 5 0 6 3 2 3 3 1 2 1 2 6 5 4 26 3
"surprised" 3 4 5 3 3 3 2 3 0 2 5 7 6 7 1 5 3 6 5 0 3 7 5 1 6 2 1 4 3 1 4 10 5 3 9 28 3 26 5 10 1 1 1 1 4 6 0 3 33 7 2 20 13 6 4 3 13 0 2 10 2 1 2 1 4 3 1 1 3 4 3 11 2 6 0 4 0 3 1 2 3 2 3 2 1 1 16 1
"sweet" 1 0 4 3 2 1 5 2 0 0 3 9 8 3 1 3 1 5 4 2 1 1 1 2 4 1 3 1 2 2 2 6 1 0 6 12 1 16 4 11 2 2 2 1 1 2 3 0 19 3 1 15 3 2 2 1 8 0 1 7 1 2 1 5 7 1 0 3 3 1 0 7 2 3 4 0 0 2 1 5 0 2 2 2 0 1 12 1
"thin" 0 3 0 5 2 1 6 0 0 1 3 4 2 2 1 5 2 5 1 0 1 2 0 1 1 2 2 0 1 0 1 0 2 2 5 14 2 11 1 4 1 0 1 0 1 0 2 2 16 1 1 9 4 1 5 1 5 1 0 3 1 4 0 0 3 2 4 4 0 2 0 6 2 2 0 0 0 1 2 2 0 0 3 1 2 0 6 3
"tired" 0 1 7 4 6 1 1 2 0 2 6 6 6 4 3 0 4 6 2 1 1 5 1 4 0 0 5 2 2 0 0 3 0 1 6 20 0 17 2 11 3 0 2 1 0 1 1 2 23 5 0 15 6 2 0 1 15 1 0 4 1 2 1 1 8 0 2 1 1 4 1 8 1 3 3 2 1 0 1 1 0 1 4 4 2 1 12 1
"troubled" 0 1 3 3 2 2 2 2 2 0 5 3 4 2 0 4 2 1 2 2 1 3 0 1 1 2 1 0 1 1 2 2 3 0 3 12 1 12 4 0 4 1 0 0 2 0 1 1 16 2 2 12 4 2 4 1 3 0 0 3 3 2 1 2 1 0 0 0 1 0 0 5 0 3 1 1 2 1 0 3 0 1 1 2 1 1 5 1
"unhappy" 3 5 6 4 1 2 4 4 1 0 4 4 3 6 2 2 2 5 2 3 2 1 0 3 3 0 2 2 1 3 1 2 2 3 5 14 2 17 0 13 5 1 2 3 4 2 2 4 22 4 2 9 6 2 2 0 8 1 0 5 1 4 0 4 7 1 1 3 1 3 1 8 1 1 2 5 2 1 3 0 1 1 0 2 1 1 7 1
"unusual" 1 2 2 2 2 2 1 0 0 1 3 2 2 0 2 4 1 3 1 0 0 2 1 0 3 1 0 1 1 1 0 3 1 1 5 8 1 13 3 3 1 1 1 1 2 3 0 2 14 2 1 9 1 5 3 2 4 0 0 0 3 1 1 1 5 1 1 3 1 1 0 9 2 2 3 0 0 0 0 1 0 1 0 3 1 1 8 1
"useful" 1 2 5 4 3 1 3 2 1 1 1 2 3 4 1 3 1 3 1 1 0 1 1 1 3 0 1 0 1 1 3 2 0 0 5 13 1 12 2 8 2 2 1 1 3 2 0 0 16 2 0 11 5 1 2 2 7 0 2 0 1 1 1 4 4 2 0 2 1 1 0 4 2 1 2 2 0 1 1 1 1 0 0 2 0 2 6 0
"warm" 1 1 1 1 3 2 3 0 2 3 5 7 5 4 3 2 1 9 4 0 3 2 0 1 2 1 4 0 4 0 3 4 0 2 5 18 1 17 1 2 0 0 1 1 2 3 1 3 25 4 2 12 5 2 4 2 11 3 1 4 0 1 2 1 6 3 3 1 2 2 1 8 3 2 3 2 3 4 1 0 0 0 0 3 0 0 14 3
"weak" 0 3 10 5 2 2 2 2 0 1 7 4 3 3 3 5 2 5 1 1 0 6 0 3 3 4 2 1 3 1 2 5 1 1 4 25 0 17 2 8 4 2 1 3 1 3 0 2 24 4 0 19 5 3 6 2 12 0 1 5 2 2 2 0 6 1 0 5 2 1 1 9 3 6 2 2 1 4 2 2 3 2 3 0 3 1 8 0
"well" 0 1 4 3 2 0 4 1 0 1 4 2 4 0 0 5 0 2 0 0 1 1 2 1 2 1 4 0 2 0 1 3 1 0 4 17 3 13 1 6 6 1 0 1 0 2 0 0 15 5 0 12 3 3 2 0 7 0 0 3 1 2 2 0 4 1 1 0 0 0 0 3 1 5 1 0 2 2 1 1 1 0 0 3 0 0 10 1
"worthy" 2 1 2 1 2 1 3 3 2 1 0 0 7 3 2 3 3 4 2 1 1 3 1 2 0 1 2 0 3 4 2 2 2 2 6 14 1 11 4 5 1 3 0 2 2 2 0 1 17 4 1 16 6 2 2 3 4 3 0 3 1 2 2 4 3 0 1 1 2 2 3 5 2 4 1 1 0 1 1 1 1 2 0 1 0 0 8 1
"young" 10 13 26 23 25 14 16 9 4 6 30 30 28 16 6 30 11 21 12 10 10 27 12 8 19 8 20 5 15 8 5 33 8 6 47 129 12 112 17 43 25 5 4 6 11 11 10 13 153 31 6 105 32 17 25 9 65 10 9 30 15 13 7 14 30 12 16 13 10 11 3 40 20 26 16 12 6 12 5 7 8 6 14 8 10 8 0 11
"youthful" 0 2 1 2 1 0 3 0 0 1 4 4 5 1 1 3 1 2 1 1 0 2 2 1 2 2 2 0 2 1 0 4 1 0 5 9 3 12 2 2 3 0 0 0 2 1 1 0 16 4 1 11 5 3 4 0 7 0 3 2 1 1 0 0 3 1 2 2 3 0 1 7 3 3 1 1 3 1 1 1 1 0 3 0 1 1 11 0
