"active" "admirable" "affectionate" "agreeable" "alone" "annoying" "anxious" "awful" "beautiful" "bitter" "blind" "bold" "bright" "busy" "calm" "capable" "certain" "cheerful" "childish" "clean" "clever" "cold" "confused" "cool" "cruel" "dangerous" "delighted" "delightful" "dependent" "depressed" "devoted" "difficult" "disappointed" "distinguished" "eager" "enthusiastic" "evil" "excellent" "expressive" "fair" "familiar" "feminine" "fine" "firm" "fortunate" "furious" "generous" "gentle" "glad" "good" "grateful" "great" "happy" "hard" "harmless" "helpless" "ignorant" "impatient" "innocent" "interested" "interesting" "kind" "little" "lively" "loud" "lovely" "modest" "natural" "nervous" "old" "open" "original" "passionate" "patient" "peaceful" "plain" "pleasant" "pleased" "poor" "powerful" "practical" "pretty" "proud" "remarkable" "rich" "romantic" "rough" "rude" "sad" "satisfied" "secure" "selfish" "sensitive" "serious" "short" "sincere" "strange" "strong" "surprised" "sweet" "tall" "terrible" "terrific" "thin" "unfair" "unhappy" "unusual" "valuable" "violent" "warm" "weak" "well" "wonderful" "young" "worthy" "useful" "youthful"
"hard" 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 1 2 1 0 0 1 0 1 1 0 3 0 2 3 0 0 0 1 0 2 1 0 1 5 0 1 2 0 1 0 3 1 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 3 1 0 0 0 0 0 2 0 2 1 1 2 0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0 1
"harmless" 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 1 0 1 0 0 2 0 0 0 1 1 0 2 1 2 2 0 0 0 2 0 1 0 0 1 3 1 0 0 0 0 0 2 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0
"helpless" 1 1 0 0 1 0 0 0 0 2 0 0 1 1 0 2 0 0 0 0 0 2 2 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 2 0 0 0 1 1 0 0 0 0 0 2 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 1 2 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0
"ignorant" 0 0 1 0 2 0 1 0 0 2 2 1 0 0 1 0 1 1 1 0 0 4 0 1 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 2 3 0 4 0 3 2 1 2 0 0 0 1 1 0 1 6 2 1 3 0 0 0 4 0 1 1 1 0 0 0 0 3 1 0 0 0 0 0 0 0 0 1 0 1 1 2 0 1 0 5 2 0 0 0 3 1 0 0 1 0 0 0 1 1 0 2 2 0 0 1
"impatient" 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 2 0 3 0 0 0 0 0 0 1 0 1 0 3 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 2 0 0 0
"innocent" 1 1 1 0 2 0 1 1 1 5 1 0 0 0 2 3 1 0 1 0 0 3 1 0 0 0 0 0 0 0 1 1 0 1 0 0 2 3 0 3 1 0 1 0 0 0 4 2 1 4 1 5 5 2 1 2 1 1 0 1 0 4 5 0 0 2 0 0 0 2 1 0 1 0 0 2 1 1 9 1 0 0 1 0 0 0 0 1 3 1 0 0 0 0 1 1 5 1 1 1 0 0 1 0 0 4 0 0 1 0 0 1 2 1 2 0 1
"interested" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 1 1 0 0 1 0 1 0 0 0 3 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1
"interesting" 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 3 0 4 2 0 0 0 0 1 0 0 0 2 1 2 0 2 0 0 1 1 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 2 1 1 2 0 1 0
"kind" 0 1 0 0 0 0 1 1 0 2 1 0 0 0 1 2 1 2 1 0 0 2 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 1 2 0 0 1 0 2 0 2 1 2 6 2 7 6 1 1 0 1 0 4 0 2 0 4 0 1 2 0 0 1 2 2 0 1 0 0 0 0 1 5 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0 2 1 3 1 2 1 0 1 0 1 0 1 1 0 1 0 1 2 0 2 0 1 0
"little" 3 0 3 4 3 1 3 0 4 3 6 1 5 1 6 2 2 5 2 1 1 6 1 1 2 1 2 2 0 2 2 2 2 2 0 1 3 4 3 5 6 1 0 1 4 1 2 11 2 14 3 16 13 5 3 2 6 3 5 3 1 4 0 4 3 8 1 4 2 12 5 2 1 1 1 1 6 2 12 2 1 1 2 1 2 1 1 5 2 3 1 1 2 2 8 2 11 2 3 7 1 2 1 2 1 8 1 2 2 5 3 3 4 6 2 1 1
"lively" 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 3 0 0 1 0 1 1 0 0 0 0 0 0 1 2 1 1 1 1 0 0 0 0 0 0 0 3 0 3 1 1 2 0 1 0 2 0 0 1 2 0 4 0 0 1 1 1 2 3 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 1 0 1 1 1 0 2 2 1 0 0 0 0 2 0 0 1 1 0 0 2 2 0 0 0
"loud" 0 0 0 0 0 0 0 1 0 1 1 0 0 0 2 1 0 1 0 0 0 2 0 0 0 1 0 1 1 1 1 0 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 1 3 0 3 4 1 0 0 1 0 0 0 0 1 3 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 2 0 2 0 1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 2 0 0 0
"lovely" 2 1 1 1 4 0 2 0 7 3 4 0 3 2 2 2 2 5 2 1 0 3 0 0 1 0 3 1 0 1 3 0 0 1 1 2 0 5 1 4 2 0 2 0 1 0 2 9 1 8 0 6 6 2 0 1 3 0 2 0 2 2 8 1 1 0 0 1 0 7 1 0 0 1 2 0 1 2 7 1 0 0 0 0 2 0 0 3 3 1 0 0 1 0 4 0 3 1 1 5 1 2 2 1 1 4 0 1 1 1 0 0 3 6 2 1 2
"modest" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
"natural" 0 0 0 0 2 1 1 0 2 2 0 1 1 2 2 2 1 1 1 0 1 2 0 0 1 0 0 2 0 0 2 0 0 2 2 0 1 3 2 1 2 0 1 0 1 1 0 1 0 5 1 7 3 1 0 0 0 1 0 0 0 0 4 1 0 1 1 0 1 2 0 0 0 0 2 0 0 0 0 1 1 1 0 0 1 1 2 0 1 2 0 1 0 1 3 0 2 0 2 2 1 2 0 1 0 0 0 1 3 1 0 0 3 1 0 0 1
"nervous" 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 1 0 0 0 0 1 4 1 0 1 0 1 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 1 0 0 2 1 3 1 2 1 0 0 0 0 0 0 0 1 1 2 2 1 0 1 1 0 0 2 0 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 2 0 1 0 1 1 1 1 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0
"old" 1 0 2 1 1 0 2 0 6 2 5 1 0 0 2 3 0 5 1 2 0 5 0 1 0 2 2 1 0 1 0 1 0 1 0 1 2 6 1 4 3 0 1 0 2 0 1 7 0 10 2 9 6 3 2 0 4 0 2 2 1 2 12 3 1 7 0 2 0 0 3 1 1 1 2 0 4 2 6 2 1 0 0 1 2 0 0 4 4 1 1 0 1 1 4 1 8 1 1 5 0 3 0 2 2 2 1 0 2 1 0 2 6 6 0 0 1
"open" 0 0 0 1 1 0 2 0 1 1 0 0 0 3 2 4 0 1 0 1 0 4 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 1 3 1 7 3 1 0 0 0 1 1 1 1 2 5 0 1 1 0 0 2 3 0 0 0 0 0 0 2 1 3 0 0 0 0 1 0 0 0 1 0 2 0 0 0 1 3 0 4 0 1 0 0 1 0 1 0 0 1 0 0 1 1 2 0 0 1 0 1
"original" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 2 0 0 1 1 1 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0
"passionate" 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0
"patient" 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0
"peaceful" 0 0 0 0 2 0 1 0 2 1 1 0 1 2 2 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 0 0 0 0 1 0 1 0 0 1 0 1 0 2 2 0 1 0 0 0 0 0 1 0 1 0 0 2 0 2 1 2 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 1 3 0 1 0 0 1 0 1 0 2 0 0 0 1 0 0 0 1
"plain" 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0
"pleasant" 2 0 1 2 0 0 0 0 2 0 1 0 1 0 2 2 1 2 0 1 0 5 1 0 0 0 1 1 0 1 1 1 0 1 0 0 1 2 0 2 1 0 0 1 0 1 0 4 0 2 0 6 3 0 0 2 0 0 1 0 1 0 6 1 0 1 0 0 0 4 2 1 0 0 1 1 0 0 2 0 1 0 2 0 0 0 0 1 2 1 0 0 0 1 0 0 2 0 2 2 0 0 0 0 1 0 1 1 1 1 0 1 2 0 2 1 0
"pleased" 0 0 0 0 0 0 2 0 2 0 0 0 0 0 2 0 0 2 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 2 0 0 1 3 1 0 0 0 0 1 1 0 1 1 2 0 0 2 0 0 1 2 1 0 0 1 1 0 0 0 3 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 1 1 0 0 0 0 2 0 0 0 0 0 1 0 2 0 0 0
"poor" 2 0 2 0 3 0 2 1 5 6 3 0 3 1 3 3 1 2 2 1 0 5 3 0 1 1 4 0 0 0 2 1 1 1 0 1 1 4 2 6 2 1 1 0 1 0 5 6 2 7 2 9 8 3 1 2 3 2 9 1 1 5 12 0 1 7 0 0 1 6 3 1 1 2 1 2 2 3 0 2 0 0 1 2 1 1 0 2 4 0 1 2 0 0 4 1 8 1 2 6 0 2 3 1 1 5 0 1 3 3 2 3 2 5 1 1 2
"powerful" 0 0 1 0 3 0 0 0 1 2 1 0 0 0 1 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 2 1 0 0 0 1 0 1 1 1 1 3 0 2 2 1 1 0 1 0 1 0 0 0 2 1 0 1 0 1 0 2 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 2 0 0 1 0 0 0 1 1 2 0 0 0 0 0 1 1 0 0 0 0
"practical" 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0
"pretty" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
"proud" 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
"remarkable" 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 2 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0
"rich" 0 0 0 0 1 1 0 0 2 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 2 0 3 1 0 2 0 0 0 0 0 0 0 0 0 2 1 0 2 1 1 1 2 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 3 1 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0
"romantic" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 1 0 2 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"rough" 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 2 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 2 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0
"rude" 1 0 1 0 1 0 0 0 1 1 2 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 1 1 2 1 0 0 1 0 0 3 0 3 0 2 2 3 0 0 0 0 1 1 0 0 5 0 1 3 0 0 0 4 1 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 2 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 1
"sad" 1 0 1 1 0 0 0 1 4 2 1 0 0 0 2 1 0 2 1 1 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 3 0 2 1 0 0 0 0 0 1 2 0 3 0 4 5 1 0 0 1 0 3 0 0 2 2 0 0 3 0 1 0 4 0 0 1 1 0 1 2 1 4 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 4 1 0 2 0 1 0 1 0 2 0 0 2 0 0 0 3 1 0 1 0
"satisfied" 0 0 1 1 3 0 0 0 0 2 0 0 1 2 4 3 0 0 1 1 0 4 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 3 0 3 5 0 0 1 0 1 1 0 1 0 3 1 1 1 0 2 0 1 2 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 2 0 1 2 0 1 2 0 0 0 0 0 1 0 0 1 2 1 0 0 0 1 0 0
"secure" 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0
"selfish" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 3 1 0 1 0 0 0 0
"sensitive" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 0 1 0 2 0 0 2 0 2 0 0 0 1 1 2 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0
"serious" 0 0 0 1 0 0 0 0 0 0 1 0 2 1 1 2 0 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0
"short" 0 0 0 2 0 1 1 1 2 2 0 0 2 1 4 3 0 2 0 1 1 5 0 0 1 1 1 1 1 0 0 0 0 1 0 0 1 2 1 2 3 0 0 0 2 0 0 5 2 5 1 5 2 2 0 0 1 1 1 1 0 2 8 1 2 4 1 3 2 4 3 0 0 1 0 0 0 1 4 0 0 1 0 0 1 1 1 1 1 0 1 1 0 0 0 0 4 1 1 2 2 3 2 1 0 1 1 0 2 2 0 1 1 5 1 0 1
"sincere" 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 0 1 0 0 0 1 0 0 1 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0
"strange" 0 0 2 1 2 0 2 0 3 2 2 1 1 2 5 2 0 3 1 0 0 7 3 1 0 1 2 2 0 2 1 0 0 0 1 1 1 4 1 1 2 0 1 0 2 0 2 7 1 8 1 13 8 2 3 1 5 1 5 2 1 3 11 1 2 3 0 2 1 8 4 2 1 0 0 1 2 2 8 2 1 0 0 1 0 0 0 2 4 2 2 2 2 0 4 0 0 3 1 1 1 3 1 2 0 6 0 0 2 3 2 2 6 3 0 2 1
"strong" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 2 2 1 0 0 2 0 1 0 0 1 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 3 0 0 0 0 2 0 1 0 1 1 0 0 0 0 0 0 1 1 1 0
"surprised" 1 0 1 0 0 1 0 0 1 0 0 1 1 0 1 2 0 0 0 0 1 3 0 0 2 1 1 0 0 0 1 0 0 0 1 0 0 1 2 0 0 0 1 0 0 0 0 3 1 4 1 3 4 1 0 0 0 0 1 0 1 2 3 2 1 1 1 2 1 1 1 0 0 0 1 0 2 0 2 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 0 4 1 0 0 0 1 2 1 2 3 2 1 1 0 4 0 0 0
"sweet" 1 0 1 0 2 1 0 1 4 1 1 0 3 1 2 3 0 2 2 1 1 5 1 0 2 0 3 0 0 0 0 0 0 0 1 0 1 2 2 4 1 1 1 0 2 0 0 6 1 4 1 2 6 2 0 1 0 0 1 0 0 1 7 2 0 5 1 2 1 5 0 1 1 1 3 0 2 1 6 1 0 1 0 0 3 0 2 2 2 2 0 0 0 1 2 1 1 0 4 0 1 1 0 1 2 3 1 1 3 2 0 0 0 4 0 1 0
"tall" 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 2 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 2 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
"terrible" 0 0 0 0 2 0 0 0 2 0 1 0 0 1 1 2 1 2 0 0 0 4 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 4 0 2 3 0 0 0 3 1 0 0 0 1 2 0 0 2 0 2 1 3 1 0 0 0 1 0 0 0 2 0 1 0 0 0 1 1 0 0 1 0 1 0 0 0 3 0 3 2 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 2 1 0 0
"terrific" 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 2 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 2 1 0 0 1 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0
"thin" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 2 0 3 1 1 0 0 0 0 0 0 0 1 2 0 1 1 0 1 1 2 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 2 1 0 1 0 1 0 0 1 0 1 0 1 0 0 0 1 0 0 1 0
"unfair" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0
"unhappy" 1 0 2 1 1 0 1 1 2 1 3 0 3 0 4 1 0 2 0 0 0 2 1 0 1 0 1 1 0 1 2 0 1 0 1 1 2 2 1 1 2 0 0 0 0 0 1 6 2 2 0 4 7 0 1 0 1 1 4 1 0 1 8 2 1 4 0 0 0 2 0 1 1 0 0 1 0 2 5 2 0 0 0 0 0 0 0 1 2 1 0 0 1 1 1 1 6 1 2 3 1 0 0 0 0 0 0 1 1 2 1 0 2 4 0 0 0
"unusual" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0
"valuable" 1 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 1 2 0 2 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0
"violent" 0 0 0 0 0 1 0 0 3 0 0 0 2 1 3 1 0 0 1 0 1 2 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 2 1 1 0 0 0 1 0 0 2 0 2 1 2 2 0 0 0 0 0 1 0 1 1 2 1 0 1 1 3 1 2 0 0 0 0 2 1 1 0 3 0 1 1 0 0 1 0 2 0 2 1 0 0 0 1 2 0 2 0 3 3 1 1 1 1 1 1 1 0 0 0 1 1 1 2 0 0 0
